objectid(long),rockname,rocktype(long),aqname,aqcode(long),shapeleng(double precision),shapearea(double precision)
33.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,104.0,0.27279304225,0.00421440549
34.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,104.0,0.23195370575,9.587113e-05
35.0,Igneous and metamorphic-rock aquifers,600.0,Puget Sound aquifer system,610.0,35.2860867019,5.03036146227
36.0,Sandstone aquifers,100.0,Other rocks,304.0,271.57011945,1.61985191315
37.0,Unconsolidated sand and gravel aquifers,300.0,Pacific Northwest basin-fill aquifers,999.0,51.7024711845,1.61985191315
38.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,315.0,51.7024711845,0.39830744027
39.0,Sandstone aquifers,300.0,Pacific Northwest basin-fill aquifers,315.0,1.44439297495,0.01499092116
40.0,Unconsolidated sand and gravel aquifers,600.0,Other rocks,999.0,1.44439297495,0.00381309877
41.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,104.0,0.1789423274,0.39830744027
42.0,Unconsolidated sand and gravel aquifers,145.0,Other rocks,104.0,0.64274561535,0.01499092116
6.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.1915776097,0.00421440549
44.0,Unconsolidated sand and gravel aquifers,300.0,Pacific Northwest basin-fill aquifers,104.0,0.53610562106,1.61985191315
45.0,Unconsolidated sand and gravel aquifers,600.0,Other rocks,999.0,0.05899403906,9.587113e-05
46.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.07230090962,0.00012065144
47.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.10974255219,0.00023833903
48.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,35.2860867019,9.137092e-05
49.0,Sandstone aquifers,100.0,Other rocks,315.0,0.27279304225,0.39830744027
50.0,Unconsolidated sand and gravel aquifers,300.0,Puget Sound aquifer system,112.0,0.53610562106,0.00172834649
51.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,999.0,0.64274561535,0.00099032086
52.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,999.0,1.31336979544,0.01141123046
53.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,999.0,0.23195370575,1.61985191315
54.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,112.0,7.60187630707,0.00380233993
55.0,Unconsolidated sand and gravel aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,112.0,45.3865380162,0.0037268627
56.0,Unconsolidated sand and gravel aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,2.62787756083,5.03036146227
57.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,2.62787756083,3.753978e-05
58.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,1.31336979544,1.61985191315
2.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,314.0,0.24516423051,0.00380233993
60.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,12.2975702626,0.00380233993
61.0,Sandstone aquifers,300.0,Other rocks,304.0,0.65177688421,0.031690302
45.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,999.0,0.1529917566,1.61985191315
28.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,999.0,61.2794868582,0.00012524051
64.0,Unconsolidated sand and gravel aquifers,600.0,Lower Tertiary aquifers,999.0,2.62787756083,0.00099032086
79.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,999.0,0.12444068585,0.00030307168
66.0,Sandstone aquifers,100.0,Other rocks,304.0,2.62787756083,0.01167720722
67.0,Unconsoldiated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,104.0,0.1789423274,0.00421440549
68.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,1.29540404009,0.01778996879
9.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,999.0,1.44439297495,0.00172834649
6.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,104.0,0.27814991444,0.00279542612
71.0,Unconsolidated sand and gravel aquifers,600.0,Other rocks,999.0,1.31336979544,0.00957052449
33.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,607.0,0.10037612698,9.587113e-05
19.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,999.0,35.2860867019,7.666446e-05
33.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,999.0,0.23195370575,0.07438600542
75.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,999.0,0.64274561535,1.61985191315
76.0,Unconsolidated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,1.31336979544,0.0037268627
77.0,Unconsolidated sand and grvael aquifers,100.0,Other rocks,105.0,0.1789423274,5.03036146227
78.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basaltic-rock aquifers,314.0,0.22079473116,0.07438600542
79.0,Unconsolidated sand and gravel aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,105.0,0.32106460835,0.00380233993
3.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.23195370575,9.756474e-05
4.0,Unconsolidated sand and gravel aquifers,147.0,Lower Tertiary aquifers,104.0,1.80308861985,0.00030307168
82.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,1.29540404009,0.00023833903
79.0,Unconsolidated sand and gravel aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.86820663366,0.031690302
84.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,112.0,0.1789423274,3.753978e-05
2.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,105.0,0.22079473116,0.07438600542
86.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,0.64274561535,5.03036146227
47.0,Unconsolidated sand and gravel aquifers,300.0,Puget Sound aquifer system,112.0,1.31336979544,0.00607872726
88.0,Unconsloidated sand and gravel aquifers,100.0,Other rocks,112.0,0.23195370575,0.40330982137
89.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,105.0,51.7024711845,0.01778996879
3.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,314.0,0.21127803582,0.00023833903
91.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,0.27279304225,0.39830744027
92.0,Sandstone aquifers,300.0,Other rocks,314.0,61.2794868582,22.5365375988
93.0,Sandstone aquifers,100.0,Lower Tertiary aquifers,304.0,35.2860867019,22.5365375988
1.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.98458395081,0.00506378092
95.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,0.64274561535,9.137092e-05
3.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,105.0,0.54730238275,0.00380233993
97.0,Unconsolidated sand and gravel aquifers,300.0,Pacific Northwest basin-fill aquifers,999.0,35.2860867019,1.61985191315
98.0,Unconsolidated sand and gravel aquifers,178.0,Lower Tertiary aquifers,104.0,1.44439297495,0.00279542612
99.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,104.0,51.7024711845,0.01499092116
1.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,0.0486529717,0.031690302
101.0,Sandstone aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,304.0,35.2860867019,0.0037268627
102.0,Unconsolidated sand and gravel aquifers,164.0,Silurian-Devonian aquifers,104.0,1.29540404009,0.0037268627
103.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basaltic-rock aquifers,104.0,61.2794868582,0.40330982137
2995.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,1.44439297495,0.031690302
77.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,1.44439297495,0.01778996879
106.0,Unconsolidated sand and gravel aquifers,999.0,Puget Sound aquifer system,999.0,1.31336979544,0.01141123046
107.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,0.23195370575,0.0037268627
19.0,Unconsolidated sand and gravel aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,105.0,0.23195370575,0.00172834649
109.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,999.0,2.62787756083,0.00381309877
110.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,314.0,1.31336979544,9.137092e-05
111.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,607.0,51.7024711845,0.01167720722
6.0,Unconsolidated sand and gravel aquifers,500.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.37976080103,0.01141123046
113.0,Unconsolidated sand and gravel aqiufers,100.0,Puget Sound aquifer system,105.0,35.2860867019,22.5365375988
35.0,Unconsolidated sand and gravel aquifers,103.0,Other rocks,104.0,271.57011945,0.07438600542
115.0,Sandstone aquifers,100.0,Lower Tertiary aquifers,304.0,0.27279304225,0.01778996879
79.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,112.0,0.04008418224,0.00012065144
117.0,Unconsolidated sand and gravel aquifers,500.0,Silurian-Devonian aquifers,999.0,35.2860867019,0.00298897368
40.0,Sandstone aquifers,999.0,Other rocks,304.0,35.2860867019,0.01141123046
119.0,Igneous and metamorphic-rock aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,610.0,51.7024711845,0.07438600542
120.0,Unconsoklidated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,104.0,0.53610562106,9.587113e-05
33.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,1.31336979544,0.00298897368
122.0,Igneous and metamorphic-rock aquifers,600.0,Other rocks,607.0,12.2975702626,0.01167720722
123.0,Sandstone aquifers,100.0,Lower Tertiary aquifers,304.0,0.12444068585,0.01141123046
4.0,Unconsolidated sand and gravel aquifers,107.0,Other rocks,104.0,0.53610562106,0.07438600542
23.0,Unconsolidated sand and gravel aquifers,114.0,Lower Tertiary aquifers,104.0,1.31336979544,0.00023833903
4.0,Unconsolidated sand and gravel aquifers,116.0,Lower Tertiary aquifers,104.0,0.64274561535,0.031690302
127.0,Unconsolidated sand and gravel aquifers,300.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,61.2794868582,3.753978e-05
128.0,Igneous and metamorphic-rock aquifers,999.0,Other rocks,610.0,12.2975702626,9.137092e-05
129.0,Unconsolidated sand and gravel aqukifers,100.0,Lower Tertiary aquifers,105.0,45.3865380162,5.03036146227
3.0,Sandstone aquifers,999.0,Pacific Northwest basin-fill aquifers,304.0,0.23195370575,0.00957052449
190.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,2.62787756083,0.031690302
6.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,1.29540404009,0.00172834649
133.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,999.0,61.2794868582,9.587113e-05
134.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,610.0,51.7024711845,0.01778996879
184.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,0.23195370575,1.61985191315
136.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,112.0,1.44439297495,0.00421440549
2.0,Igneous and metamorphic-rock aquifers,999.0,Pacific Northwest basaltic-rock aquifers,610.0,35.2860867019,0.01167720722
138.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,61.2794868582,0.01167720722
139.0,Unconsolidated sand and gravel aquifers,300.0,Pacific Northwest basin-fill aquifers,999.0,61.2794868582,0.01167720722
140.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.26394875869,0.07438600542
113.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,0.1529917566,0.031690302
142.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,0.64274561535,0.07438600542
40.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,0.64274561535,0.00029330961
144.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basaltic-rock aquifers,105.0,0.98458395081,0.01167720722
145.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,112.0,61.2794868582,0.0037268627
146.0,Unconsolidated sand and gravel aquifers,100.0,Lower Cretaceous aquifers,112.0,2.62787756083,0.39830744027
147.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,999.0,0.64274561535,46.2714378139
26.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,112.0,2.62787756083,0.00030307168
149.0,Igneous and metamorphic-rock aquifers,600.0,Pacific Northwest basin-fill aquifers,607.0,1.29540404009,0.0037268627
150.0,Igneous and metamorphic-rock aquifers,300.0,Pacific Northwest basin-fill aquifers,607.0,0.23195370575,0.00381309877
151.0,Sandstone and carbonate-rock aquifers,999.0,Other rocks,504.0,45.3865380162,0.00279542612
152.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,112.0,61.2794868582,0.39830744027
8.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,112.0,0.64274561535,0.00012524051
66.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,35.2860867019,0.00380233993
155.0,Unconsolidated sand and graavel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,116.0,12.2975702626,9.137092e-05
156.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,999.0,0.64274561535,1.61985191315
37.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,116.0,1.31336979544,9.137092e-05
2.0,Unconsolidated sand and gravel aquifers,300.0,Pacific Northwest basin-fill aquifers,999.0,0.0269473416,0.00380233993
45.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,0.02756722278,0.40330982137
10.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,0.13856488667,0.40330982137
161.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,112.0,1.31336979544,5.03036146227
162.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,112.0,61.2794868582,1.61985191315
10.0,Unconsolidated sande and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,116.0,0.64274561535,0.031690302
45.0,Unconsolidated sand and gravel aquifers,134.0,Pacific Northwest basin-fill aquifers,104.0,12.2975702626,0.01473462665
151.0,Unconsolidated sand and gravel aquifers,300.0,Silurian-Devonian aquifers,999.0,51.7024711845,0.40330982137
1.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,112.0,45.3865380162,0.00025446207
167.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,314.0,35.2860867019,0.07438600542
6.0,Sandstone and carbonate-rock aquifers,999.0,Pacific Northwest basin-fill aquifers,504.0,0.65177688421,0.39830744027
169.0,Unconsolidated sand and gravel aquifers,134.0,Silurian-Devonian aquifers,104.0,0.53610562106,0.00381309877
170.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,112.0,0.98458395081,0.00421440549
171.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,999.0,35.2860867019,0.40330982137
107.0,Unconsolidated sand and gravel aquifers,102.0,Lower Tertiary aquifers,104.0,0.64274561535,9.587113e-05
173.0,Unconsolidated sand and gravel aquifers,300.0,Silurian-Devonian aquifers,116.0,0.53610562106,0.00279542612
117.0,Sandstone aquifers,999.0,Other rocks,304.0,35.2860867019,0.031690302
175.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,314.0,1.29540404009,0.00421440549
26.0,Igneous and metamorphic-rock aquifers,300.0,Pacific Northwest basin-fill aquifers,607.0,0.26394875869,0.39830744027
177.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basaltic-rock aquifers,999.0,2.62787756083,0.00279542612
178.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,116.0,0.02756722278,46.2714378139
179.0,Unconsolidated sand and gravel aquifers,500.0,Lower Tertiary aquifers,999.0,1.31336979544,0.00421440549
33.0,Unconsolidated sand and gravel aquifers,999.0,Puget Sound aquifer system,999.0,0.23195370575,0.40330982137
2.0,Unconsolidated sand and gravel aquifers,100.0,Lower Cretaceous aquifers,105.0,61.2794868582,9.587113e-05
182.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,116.0,0.23195370575,0.40330982137
183.0,Unconolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,105.0,51.7024711845,0.39830744027
184.0,Ucnonsolidated sand and gravel aquifers,100.0,Other rocks,116.0,0.07230090962,0.40330982137
185.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,314.0,0.64274561535,0.01141123046
45.0,Igneous and metamorphic-rock aquifers,999.0,Other rocks,607.0,1.29540404009,22.5365375988
187.0,Unconsolidated sand and gravel aquifers,179.0,Other rocks,104.0,0.64274561535,0.39830744027
4.0,Igneous and metamorphic-rock aquifers,300.0,Other rocks,607.0,2.62787756083,0.01167720722
189.0,Igneous and metamorphic-rock aquifers,600.0,Pacific Northwest basin-fill aquifers,999.0,51.7024711845,0.00172834649
190.0,Unconsolidatedsand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,116.0,0.1789423274,0.01499092116
40.0,Unconsolidated sand and gravel aquiefrs,100.0,Lower Tertiary aquifers,112.0,0.23195370575,0.01167720722
192.0,Sandstone aquifers,300.0,Other rocks,112.0,0.12444068585,1.61985191315
193.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,105.0,61.2794868582,22.5365375988
194.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,35.2860867019,5.03036146227
25.0,Igneous and metamorphic-rock aquifers,300.0,Pacific Northwest basin-fill aquifers,610.0,45.3865380162,0.00279542612
1.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,1.31336979544,0.00604536531
79.0,Unconsolidated sand nd gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,1.44439297495,0.40330982137
198.0,Igneous and metamorphic-rock aquifers,999.0,Other rocks,610.0,1.44439297495,9.587113e-05
199.0,Unconsolidated sand and gravel aquifers,194.0,Lower Tertiary aquifers,104.0,0.98458395081,1.61985191315
200.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,314.0,1.31336979544,0.39830744027
201.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,105.0,61.2794868582,0.00381309877
9.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,999.0,0.98458395081,1.61985191315
203.0,Unconsolidated sand and gravel aquifers,300.0,Other rocks,112.0,7.60187630707,22.5365375988
204.0,Unconsolidated sand and gravel aquifers,500.0,Silurian-Devonian aquifers,105.0,7.60187630707,0.01141123046
205.0,Unconsolidated sand and gravel aquifers,999.0,Other rocks,999.0,1.44439297495,0.00279542612
37.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,105.0,2.62787756083,46.2714378139
207.0,Unconsolidated sand and gravel aquifers,100.0,Pacific Northwest basaltic-rock aquifers,314.0,0.98458395081,0.0037268627
208.0,Unconsolidated sand and gravel aquifers,600.0,Lower Tertiary aquifers,116.0,1.29540404009,0.00099032086
209.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,104.0,2.62787756083,9.137092e-05
210.0,Unconsolidated sand and gravel aquifers,100.0,Northern Rocky Mountains Intermontane Basins aquifer system,112.0,1.31336979544,0.07438600542
3.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,999.0,51.7024711845,22.5365375988
37.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,105.0,0.23195370575,3.753978e-05
213.0,Unconsolidated sand and gravel aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,999.0,1.31336979544,0.07438600542
2.0,Sandstone aquifers,999.0,Pacific Northwest basin-fill aquifers,304.0,51.7024711845,9.756474e-05
3.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,2.62787756083,0.00298897368
5.0,Igneous and metamorphic-rock aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,607.0,7.60187630707,22.5365375988
217.0,Unconsolidated sand and gravel aquifers,999.0,Cambrian-Ordovician aquifer system,999.0,35.2860867019,0.01167720722
218.0,Igneous and metamorphic-rock aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,610.0,35.2860867019,46.2714378139
219.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,0.98458395081,0.00421440549
220.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basin-fill aquifers,999.0,1.29540404009,1.61985191315
221.0,Unconsolidated sand and gravel aquifers,181.0,Pacific Northwest basin-fill aquifers,104.0,0.1789423274,46.2714378139
222.0,Sandstone aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,313.0,271.57011945,0.00023833903
223.0,Unconsolidated sand and gravel aquifers,100.0,Silurian-Devonian aquifers,999.0,111.200919008,0.39830744027
224.0,Unconsolidated sand and gravel aquifers,999.0,Pacific Northwest basaltic-rock aquifers,999.0,0.64274561535,5.03036146227
5.0,Sandstone and carbonate-rock aquifers,999.0,Lower Tertiary aquifers,504.0,1.29540404009,0.40330982137
226.0,Unconsolidated sanmd and gravel aquifers,100.0,Pacific Northwest basin-fill aquifers,105.0,271.57011945,22.5365375988
3.0,Sandstone aquifers,300.0,Lower Tertiary aquifers,304.0,45.3865380162,0.031690302
1.0,Igneous and metamorphic-rock aquifers,100.0,Other rocks,610.0,0.64274561535,0.39830744027
3.0,Unconsolidated sand and gravel aquifers,300.0,Silurian-Devonian aquifers,999.0,0.23195370575,0.40330982137
230.0,Unconsolidated sand and gravel aquifers,156.0,Puget Sound aquifer system,104.0,0.64274561535,0.01778996879
231.0,Igneous and metamorphic-rock aquifers,999.0,Northern Rocky Mountains Intermontane Basins aquifer system,610.0,7.60187630707,0.39830744027
232.0,Unconsolidated sand and gravel aquifers,500.0,Silurian-Devonian aquifers,999.0,35.2860867019,0.031690302
233.0,Unconsolidated sand andgravel aquifers,100.0,Lower Tertiary aquifers,112.0,61.2794868582,0.01778996879
234.0,Sandstone aquifers,100.0,Other rocks,304.0,111.200919008,0.00381309877
235.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,112.0,2.62787756083,5.03036146227
9.0,Sandstone and carbonate-rock aquifers,999.0,Other rocks,504.0,1.29540404009,0.031690302
237.0,Unconsolidated sand and gravel aquifers,100.0,Lower Tertiary aquifers,105.0,51.7024711845,0.01167720722
238.0,Unconsolidated sand and gravel aquifers,500.0,Silurian-Devonian aquifers,112.0,61.2794868582,0.07438600542
239.0,Unconsolidated sand and gravel aquifers,100.0,Other rocks,112.0,1.31336979544,46.2714378139
36.0,Unconsolidated sand and gravel aquifers,999.0,Silurian-Devonian aquifers,999.0,1.31336979544,0.00025446207
28.0,Unconsolidated sand and gravel aquifers,500.0,Lower Tertiary aquifers,116.0,271.57011945,0.01141123046
242.0,Unconsolidated sand and gravel aquifers,300.0,Lower Tertiary aquifers,104.0,2.62787756083,0.0037268627
6.0,Unconsolidated sand and gravel aquifers,999.0,Lower Tertiary aquifers,999.0,2.62787756083,1.61985191315
