131.objectid,190.0,131
4150.aqname,tOher rocks,Other rocks
2258.rocktype,127,100
386.rocktype,185,100
408.shapearea,1.61985191315,0.00317005928
2835.rockname,Semiconsolidated sand aquifes,Semiconsolidated sand aquifers
264.rockname,Unconsolidnated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
1398.rockname,Igneou and metamorphic-rock aquifers,Igneous and metamorphic-rock aquifers
429.objectid,7.0,360
3894.rockname,Carobnate-rock aquifers,Carbonate-rock aquifers
474.aqname,Lower Tertiary aquifers,Other rocks
3408.aqname,Basin and Range carbonamte-rock aquifers,Basin and Range carbonate-rock aquifers
2166.aqcode,482,401
447.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,Other rocks
36.shapearea,1.61985191315,0.05133821785
558.shapearea,0.01141123046,0.01774724136
2018.rocktype,492,400
2170.rockname,Safndstone aquifers,Sandstone aquifers
2055.aqcode,487,401
722.rocktype,196,100
306.rocktype,300.0,999
368.aqcode,112.0,313
421.aqname,Other rocks,Lower Tertiary aquifers
790.rocktype,139,100
4259.aqname,Hawaiigan Sedimentary deposit aquifers,Hawaiian Sedimentary deposit aquifers
31.objectid,26.0,31
281.aqname,Other rocks,Cambrian-Ordovician aquifer system
2092.rockname,Carbonate-rocrk aquifers,Carbonate-rock aquifers
2318.rockname,Carbonate-rock aquiifers,Carbonate-rock aquifers
1452.rocktype,178,100
3933.rockname,Cabronate-rock aquifers,Carbonate-rock aquifers
1377.aqname,Pacific Northwest basaltic-rock aquifres,Pacific Northwest basaltic-rock aquifers
1596.rockname,Carbonate-rck aquifers,Carbonate-rock aquifers
822.aqname,Otehr rocks,Other rocks
526.shapeleng,0.97729814604,0.03902343913
52.shapeleng,1.31336979544,1.09365448029
2014.rockname,Crbonate-rock aquifers,Carbonate-rock aquifers
452.shapearea,0.00421440549,10.9395410735
2253.aqcode,408,401
577.shapearea,0.00298897368,0.002700836
3658.aqname,Coastal lowlandds aquifer system,Coastal lowlands aquifer system
92.aqname,Other rocks,Lower Tertiary aquifers
469.shapeleng,1.31336979544,0.03417774606
3452.rockname,Unconsolidated san dand gravel aquifers,Unconsolidated sand and gravel aquifers
3835.aqname,Coastal lowlansd aquifer system,Coastal lowlands aquifer system
1657.rockname,Igneous and nmetamorphic-rock aquifers,Igneous and metamorphic-rock aquifers
3666.rockname,Carbonate-rock auqifers,Carbonate-rock aquifers
1100.rockname,Unconsolidated sand and gravel aquifesr,Unconsolidated sand and gravel aquifers
3046.rocktype,169,100
928.rocktype,142,100
1316.aqname,Pcaific Northwest basin-fill aquifers,Pacific Northwest basin-fill aquifers
1855.aqcode,109,101
1461.aqname,Pacific Nrothwest basaltic-rock aquifers,Pacific Northwest basaltic-rock aquifers
334.shapeleng,0.0486529717,0.03346668405
313.shapearea,2.3833903E-4,0.00228240976
2630.rockname,Unconsolidated snad and gravel aquifers,Unconsolidated sand and gravel aquifers
15.rocktype,600.0,999
81.shapearea,3.0307168E-4,0.02613229666
3507.rockname,Unconsolidatd sand and gravel aquifers,Unconsolidated sand and gravel aquifers
1531.rockname,Unconsoildated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
176.objectid,26.0,176
1048.rockname,Igneous and metmorphic-rock aquifers,Igneous and metamorphic-rock aquifers
1942.aqname,Other rokcs,Other rocks
169.aqname,Silurian-Devonian aquifers,Pacific Northwest basin-fill aquifers
995.aqname,Otherrocks,Other rocks
204.aqname,Silurian-Devonian aquifers,Northern Rocky Mountains Intermontane Basins aquifer system
162.shapearea,1.61985191315,0.00209556153
3206.aqname,Other rokcks,Other rocks
56.shapearea,5.03036146227,0.00802074383
3392.aqname,Other ocks,Other rocks
552.rocktype,300.0,999
616.rockname,Carbonte-rock aquifers,Carbonate-rock aquifers
442.rocktype,300.0,999
2951.aqname,Castle Haye aquifer,Castle Hayne aquifer
698.rockname,Unconsolidated and and gravel aquifers,Unconsolidated sand and gravel aquifers
2877.aqname,Otehr rocks,Other rocks
1661.rockname,Uncoonsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
2620.rocktype,101,100
4590.rockname,Unconsolidtated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
3557.aqname,Floridana quifer system,Floridan aquifer system
261.objectid,71.0,261
60.shapeleng,12.2975702626,0.1677349211
97.shapearea,1.61985191315,2.0661191E-4
860.rockname,Unconsolidated san and gravel aquifers,Unconsolidated sand and gravel aquifers
371.aqname,Other rocks,Pacific Northwest basaltic-rock aquifers
1120.aqname,New Yorsk and New England carbonate-rock aquifers,New York and New England carbonate-rock aquifers
278.rocktype,300.0,999
43.objectid,6.0,43
3672.rockname,Carbonate-rocka quifers,Carbonate-rock aquifers
351.shapeleng,12.2975702626,0.01507745729
257.aqname,Other rocks,Cambrian-Ordovician aquifer system
3655.rockname,Semiconsolidated ksand aquifers,Semiconsolidated sand aquifers
534.shapearea,2.3833903E-4,2.2543707E-4
2555.rockname,Unconsolidated sand axnd gravel aquifers,Unconsolidated sand and gravel aquifers
1025.rocktype,120,100
2650.rockname,uUnconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
458.objectid,4.0,389
236.aqname,Other rocks,Paleozoic aquifers
446.shapearea,0.07438600542,0.01986634532
1801.rocktype,481,400
204.shapearea,0.01141123046,0.01301369378
949.rocktype,110,100
571.shapeleng,0.23195370575,0.01541276077
2237.rocktype,130,100
1475.rocktype,195,100
2309.rockname,Unconsolidated snd and gravel aquifers,Unconsolidated sand and gravel aquifers
388.aqname,Lower Tertiary aquifers,Other rocks
830.rocktype,123,100
167.aqcode,314.0,999
1294.rockname,Unconsolidated sand and gravel aquitfers,Unconsolidated sand and gravel aquifers
267.shapeleng,0.1789423274,0.50982246273
265.shapeleng,0.13856488667,0.29953245355
3492.rockname,Unconsolidated sand and gravel aqiuifers,Unconsolidated sand and gravel aquifers
408.shapeleng,1.31336979544,0.28241111136
451.objectid,33.0,382
1836.aqcode,450,401
164.objectid,45.0,164
2308.aqcode,437,401
219.aqname,Lower Tertiary aquifers,Other rocks
430.objectid,6.0,361
2525.rocktype,497,400
243.shapearea,1.61985191315,0.11142508584
18.shapearea,2.3833903E-4,1.47932340229
3075.rockname,Unconsolidated sand and gravel aqifers,Unconsolidated sand and gravel aquifers
4085.rockname,uUnconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
1086.rockname,nconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
319.objectid,44.0,3007
2227.rocktype,441,400
2559.rockname,Carbonate-rocka quifers,Carbonate-rock aquifers
1154.rocktype,106,100
62.aqcode,999.0,112
4012.aqname,Surfiacial aquifer system,Surficial aquifer system
277.shapeleng,35.2860867019,0.11359939524
1808.aqcode,480,401
2629.rockname,andstone and carbonate-rock aquifers,Sandstone and carbonate-rock aquifers
530.rocktype,999.0,400
2531.rockname,Carbonae-rock aquifers,Carbonate-rock aquifers
382.aqname,Pacific Northwest basin-fill aquifers,Pacific Northwest basaltic-rock aquifers
1677.aqname,Other rocfks,Other rocks
293.rocktype,999.0,300
365.shapeleng,0.37976080103,0.01392922093
634.rockname,Carbonate-rock aquiefrs,Carbonate-rock aquifers
3456.aqname,Other rcoks,Other rocks
2714.rockname,Sandstoen and carbonate-rock aquifers,Sandstone and carbonate-rock aquifers
3017.rockname,Unconsolidated sand nad gravel aquifers,Unconsolidated sand and gravel aquifers
2999.rocktype,135,100
2242.rocktype,155,100
2950.aqname,Ohter rocks,Other rocks
74.rocktype,300.0,999
1935.rockname,nUconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
1217.rocktype,176,100
2657.rocktype,160,100
2976.aqcode,192,101
3682.aqname,Coastal lowlands aqufer system,Coastal lowlands aquifer system
523.shapearea,3.479482E-5,0.01254596618
2047.aqname,CambrianO-rdovician aquifer system,Cambrian-Ordovician aquifer system
337.rocktype,300.0,100
4075.rockname,Unconsolidated sand and gravel auqifers,Unconsolidated sand and gravel aquifers
369.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,Pacific Northwest basin-fill aquifers
4303.rockname,Igneous and metamorplhic-rock aquifers,Igneous and metamorphic-rock aquifers
4025.rockname,Unconsoliadted sand and gravel aquifers,Unconsolidated sand and gravel aquifers
2229.aqname,Northern Atlanticq Coastal Plain aquifer system,Northern Atlantic Coastal Plain aquifer system
343.shapeleng,1.31336979544,0.02843513123
2805.rocktype,131,100
1220.rocktype,185,100
2791.aqname,Othe rocks,Other rocks
3031.aqcode,162,101
1079.rockname,Unconsolidated sand and gravelaquifers,Unconsolidated sand and gravel aquifers
405.shapearea,9.587113E-5,2.2382388E-4
2956.rockname,Unconsolidated sand and gravel aquiefrs,Unconsolidated sand and gravel aquifers
1882.rockname,Carbonate-rock aquifesr,Carbonate-rock aquifers
516.objectid,7.0,447
1264.rocktype,149,100
70.shapearea,0.00279542612,0.00375076256
1893.rockname,Carbonte-rock aquifers,Carbonate-rock aquifers
1131.rockname,Unconsolidated savnd and gravel aquifers,Unconsolidated sand and gravel aquifers
3718.aqname,Coastallowlands aquifer system,Coastal lowlands aquifer system
61.shapearea,0.031690302,0.01195801648
2651.rockname,Semiconsolidated sandaquifers,Semiconsolidated sand aquifers
782.aqname,New York and eNw England carbonate-rock aquifers,New York and New England carbonate-rock aquifers
2534.aqname,Silturian-Devonian aquifers,Silurian-Devonian aquifers
483.shapearea,0.01499092116,2.595903E-5
516.shapeleng,45.3865380162,0.5388325464
353.aqname,Pacific Northwest basin-fill aquifers,Hawaiian Sedimentary deposit aquifers
896.rockname,Savndstone aquifers,Sandstone aquifers
238.aqname,Silurian-Devonian aquifers,Puget Sound aquifer system
732.rockname,Carboqnate-rock aquifers,Carbonate-rock aquifers
352.aqname,Other rocks,Hawaiian Sedimentary deposit aquifers
3304.rockname,Unconsolidated sand and gravel aquifesr,Unconsolidated sand and gravel aquifers
524.shapeleng,0.21127803582,0.05027119308
3801.aqname,Coastal lowlands aquifer systme,Coastal lowlands aquifer system
2254.aqcode,450,401
1428.rockname,Unconsolidated sadn and gravel aquifers,Unconsolidated sand and gravel aquifers
3922.rockname,Carbonate-roock aquifers,Carbonate-rock aquifers
3490.aqname,Surficialaquifer system,Surficial aquifer system
450.aqname,Pacific Northwest basin-fill aquifers,Other rocks
1980.rocktype,103,100
227.shapearea,0.031690302,0.00347311268
547.shapearea,9.9032086E-4,9.489231E-5
635.rocktype,170,100
2823.rocktype,495,400
3706.aqname,Coastal lowlands aquifer sytem,Coastal lowlands aquifer system
3962.aqname,Coastal lowands aquifer system,Coastal lowlands aquifer system
1641.rockname,Unconsolidated sand and gravel aquifeers,Unconsolidated sand and gravel aquifers
4024.aqname,Surficial aquisfer system,Surficial aquifer system
3771.rockname,Semicosolidated sand aquifers,Semiconsolidated sand aquifers
1384.aqname,Othr rocks,Other rocks
296.aqcode,999.0,610
545.rocktype,100.0,400
356.shapearea,22.5365375988,1.9211464E-4
3688.rockname,emiconsolidated sand aquifers,Semiconsolidated sand aquifers
486.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,Pacific Northwest basin-fill aquifers
4025.aqname,Srficial aquifer system,Surficial aquifer system
581.rocktype,105,100
2230.rockname,Unconsolidated sand and gravel saquifers,Unconsolidated sand and gravel aquifers
308.aqname,Silurian-Devonian aquifers,Other rocks
3131.rocktype,173,100
166.shapeleng,45.3865380162,0.07876722412
3828.rockname,Carbonate-rock aqiufers,Carbonate-rock aquifers
1600.rocktype,101,100
4436.rockname,Igneous andmetamorphic-rock aquifers,Igneous and metamorphic-rock aquifers
1283.rocktype,178,100
1558.rockname,Sandstkone aquifers,Sandstone aquifers
3152.rockname,Semiconsolidaetd sand aquifers,Semiconsolidated sand aquifers
1550.rocktype,423,400
3070.rocktype,112,100
300.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,California Coastal Basin aquifers
118.aqname,Other rocks,Lower Cretaceous aquifers
90.shapearea,2.3833903E-4,0.00113658017
132.objectid,6.0,132
2136.rockname,Unconsolidated sandand gravel aquifers,Unconsolidated sand and gravel aquifers
413.shapeleng,0.53610562106,0.03828117782
4022.rockname,Unconsolidated sand and gravel aquifes,Unconsolidated sand and gravel aquifers
529.shapearea,0.00607872726,4.3300994E-4
4337.aqname,Hawaijian Sedimentary deposit aquifers,Hawaiian Sedimentary deposit aquifers
3973.aqname,Other urocks,Other rocks
1152.aqname,Pacific Nothwest basin-fill aquifers,Pacific Northwest basin-fill aquifers
429.shapeleng,51.7024711845,0.02227364804
1038.aqname,Pacific Northwest basin-fill aqiufers,Pacific Northwest basin-fill aquifers
3545.rockname,Carbonate-rock aquiferns,Carbonate-rock aquifers
2585.aqname,Northern Atlantic Coastal Plain aquife rsystem,Northern Atlantic Coastal Plain aquifer system
440.aqname,Other rocks,Pacific Northwest basin-fill aquifers
4616.aqname,Other rcoks,Other rocks
448.aqname,Lower Tertiary aquifers,Other rocks
2974.aqname,Catle Hayne aquifer,Castle Hayne aquifer
2699.rocktype,122,100
1737.rockname,Sandstone and carbontae-rock aquifers,Sandstone and carbonate-rock aquifers
4273.aqname,Hawaiia Volcanic-rock aquifers,Hawaiian Volcanic-rock aquifers
2219.aqcode,444,401
2470.aqname,Other rocs,Other rocks
4517.aqname,Puerto Rico North Coast Limestone aquifer systme,Puerto Rico North Coast Limestone aquifer system
2319.rockname,Smeiconsolidated sand aquifers,Semiconsolidated sand aquifers
2242.rockname,Unconsoliduated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
1222.rocktype,177,100
619.rockname,Unconsolidated sanzd and gravel aquifers,Unconsolidated sand and gravel aquifers
1821.aqname,Oqther rocks,Other rocks
1101.aqname,Other rokcs,Other rocks
490.rocktype,300.0,999
3011.aqname,Castle Hayen aquifer,Castle Hayne aquifer
324.shapearea,0.031690302,1.36101100513
4618.rockname,Unconsolidatedy sand and gravel aquifers,Unconsolidated sand and gravel aquifers
3544.aqname,Cxoastal lowlands aquifer system,Coastal lowlands aquifer system
147.shapeleng,0.64274561535,0.45231239568
3855.rockname,Semiconsoflidated sand aquifers,Semiconsolidated sand aquifers
3150.rockname,Unconsolidted sand and gravel aquifers,Unconsolidated sand and gravel aquifers
22.shapearea,0.39830744027,0.00141465921
453.rocktype,300.0,999
1169.aqname,New York and New England carbonate-orck aquifers,New York and New England carbonate-rock aquifers
3754.aqname,Floridana quifer system,Floridan aquifer system
2135.rockname,Unconsolidaetd sand and gravel aquifers,Unconsolidated sand and gravel aquifers
39.shapeleng,1.44439297495,0.88889821546
4609.rockname,Unconsolidated sand andgravel aquifers,Unconsolidated sand and gravel aquifers
524.objectid,12.0,455
3131.aqname,Caliornia Coastal Basin aquifers,California Coastal Basin aquifers
4319.aqname,Haawiian Sedimentary deposit aquifers,Hawaiian Sedimentary deposit aquifers
1325.rocktype,192,100
4386.aqname,Hawaiian Sdimentary deposit aquifers,Hawaiian Sedimentary deposit aquifers
159.aqname,Lower Tertiary aquifers,Other rocks
666.rockname,Carbonate-rock aquifesr,Carbonate-rock aquifers
1982.aqcode,418,401
294.rocktype,100.0,300
1741.aqname,Outher rocks,Other rocks
250.shapearea,0.40330982137,0.22737869283
1881.rockname,Sandstonea nd carbonate-rock aquifers,Sandstone and carbonate-rock aquifers
474.objectid,93.0,405
1692.rockname,Carbonate-rock aquifaers,Carbonate-rock aquifers
463.objectid,39.0,394
77.shapearea,5.03036146227,0.41117010765
1402.rockname,Uncosolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
3233.aqname,Other rocsk,Other rocks
2609.aqcode,170,101
2453.rocktype,113,100
307.shapearea,22.5365375988,0.0144321246
4031.aqname,Surficial aquifer sysatem,Surficial aquifer system
4256.rockname,Igneuos and metamorphic-rock aquifers,Igneous and metamorphic-rock aquifers
328.aqname,Silurian-Devonian aquifers,Other rocks
426.rocktype,138,100
3764.rockname,Carbonate-rcok aquifers,Carbonate-rock aquifers
558.aqcode,112.0,610
378.shapeleng,111.200919008,1.70780510151
1119.rockname,Carbonate-rck aquifers,Carbonate-rock aquifers
2066.rocktype,118,100
4097.rockname,Unkconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
93.shapeleng,35.2860867019,4.28841935719
142.shapeleng,0.64274561535,0.64141653178
3187.aqcode,131,101
3498.rockname,Unconsolidated sand and garvel aquifers,Unconsolidated sand and gravel aquifers
2923.rockname,Unconsolidated sand and grave aquifers,Unconsolidated sand and gravel aquifers
430.shapeleng,61.2794868582,0.39162752907
4051.rockname,Unconsolidated sand andg ravel aquifers,Unconsolidated sand and gravel aquifers
244.rocktype,300.0,100
1300.rocktype,171,100
870.aqname,Northern Rocky Mountains Intermontanee Basins aquifer system,Northern Rocky Mountains Intermontane Basins aquifer system
2583.rockname,Sandstone and cairbonate-rock aquifers,Sandstone and carbonate-rock aquifers
771.rocktype,125,100
270.shapearea,5.03036146227,6.417392E-4
444.shapeleng,0.64274561535,0.11845576936
815.aqname,New York and eNw England carbonate-rock aquifers,New York and New England carbonate-rock aquifers
1070.rockname,nUconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
982.rocktype,128,100
2504.rockname,Carbonate-rockaquifers,Carbonate-rock aquifers
3198.rocktype,173,100
1958.rockname,Carbonate-rock aquiferds,Carbonate-rock aquifers
568.shapeleng,45.3865380162,0.42303604318
134.aqname,Silurian-Devonian aquifers,Columbia Plateau basin-fill aquifers
69.aqname,Lower Tertiary aquifers,Other rocks
1788.aqname,Piedmont and Blue Ridge crystallinerock aquifers,Piedmont and Blue Ridge crystalline-rock aquifers
1299.rockname,Unconsolidated sand and gravels aquifers,Unconsolidated sand and gravel aquifers
2929.aqname,Northern Atalntic Coastal Plain aquifer system,Northern Atlantic Coastal Plain aquifer system
2120.aqcode,428,401
1549.rockname,Carbonfate-rock aquifers,Carbonate-rock aquifers
1318.rocktype,171,100
3161.aqname,Valley aknd Ridge aquifers,Valley and Ridge aquifers
402.shapeleng,271.57011945,1.53671426883
397.aqname,Puget Sound aquifer system,Jacobsville aquifer
21.objectid,79.0,21
541.shapeleng,0.64274561535,0.53589826207
4027.rockname,Unconsolidaed sand and gravel aquifers,Unconsolidated sand and gravel aquifers
583.shapearea,0.39830744027,0.61300340604
2371.aqcode,462,401
250.aqname,Lower Tertiary aquifers,New York and New England carbonate-rock aquifers
398.rocktype,100.0,300
2993.rockname,Unconsolidated dsand and gravel aquifers,Unconsolidated sand and gravel aquifers
437.rockname,Unconsoliadted sand and gravel aquifers,Unconsolidated sand and gravel aquifers
110.shapeleng,1.31336979544,3.55874166826
1738.rocktype,107,100
63.shapeleng,61.2794868582,0.0664362436
1227.rockname,nconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
2269.rocktype,459,400
415.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,Pacific Northwest basin-fill aquifers
3987.aqname,Surfical aquifer system,Surficial aquifer system
2255.rockname,Unconsolidated sand and grvel aquifers,Unconsolidated sand and gravel aquifers
38.aqcode,315.0,999
4065.rockname,nconsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
370.rocktype,100.0,600
198.shapeleng,1.44439297495,0.46533004623
2614.rockname,Uncovnsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
2418.aqcode,420,401
1439.rockname,Carvbonate-rock aquifers,Carbonate-rock aquifers
2174.rocktype,161,100
389.shapearea,0.01141123046,0.00634269492
2403.rocktype,487,400
310.shapeleng,1.44439297495,0.031115886
398.shapeleng,35.2860867019,0.15920001074
337.objectid,16.0,4017
499.shapearea,2.479102E-5,6.746233E-5
2687.aqname,Ozaark Plateaus aquifer system,Ozark Plateaus aquifer system
3999.aqname,Coasta llowlands aquifer system,Coastal lowlands aquifer system
484.shapeleng,0.64274561535,0.03046290608
340.aqname,Northern Rocky Mountains Intermontane Basins aquifer system,Texas coastal uplands aquifer system
2040.aqname,Other ocks,Other rocks
2059.rockname,Unconsoliadted sand and gravel aquifers,Unconsolidated sand and gravel aquifers
272.shapeleng,0.64274561535,0.17687725659
362.shapearea,0.01499092116,4.632757E-5
149.aqname,Pacific Northwest basin-fill aquifers,Columbia Plateau basaltic-rock aquifers
2656.rocktype,402,400
390.shapeleng,271.57011945,0.3106303032
72.aqcode,607.0,999
248.shapeleng,51.7024711845,1.37743774865
3469.rockname,Uncnsolidated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
190.rockname,Unconsolidatedsand and gravel aquifers,Unconsolidated sand and gravel aquifers
540.shapearea,1.2524051E-4,1.3203308E-4
668.rockname,Carboante-rock aquifers,Carbonate-rock aquifers
433.shapearea,0.00279542612,2.262183E-4
3649.rockname,Semiconsolidated sanda quifers,Semiconsolidated sand aquifers
4116.rockname,Unconsolidated sand and gravel aqufers,Unconsolidated sand and gravel aquifers
3105.rocktype,110,100
3427.rockname,Unconsolidated sand ad gravel aquifers,Unconsolidated sand and gravel aquifers
384.rocktype,171,100
1781.aqname,Northern Atlantic Coastal Plainc aquifer system,Northern Atlantic Coastal Plain aquifer system
2647.aqname,Northern Atlantic Coastal Plain aquifer systme,Northern Atlantic Coastal Plain aquifer system
462.shapearea,0.01499092116,1.4647101E-4
1747.rockname,Carbonatew-rock aquifers,Carbonate-rock aquifers
409.shapearea,5.03036146227,0.00246081716
650.rockname,Carbonaterock aquifers,Carbonate-rock aquifers
3036.rockname,Unconsoldated sand and gravel aquifers,Unconsolidated sand and gravel aquifers
3591.rockname,Semiconsolidated sand oaquifers,Semiconsolidated sand aquifers
386.shapeleng,0.23195370575,0.89752380613
3424.rockname,Unconsolidated sand adn gravel aquifers,Unconsolidated sand and gravel aquifers
3214.aqname,Otehr rocks,Other rocks
3021.rockname,Unconsolidated sandand gravel aquifers,Unconsolidated sand and gravel aquifers
1022.rockname,Unconsolidated sand and pgravel aquifers,Unconsolidated sand and gravel aquifers
2428.aqname,Northern Atlantic Coastal Plain aqiufer system,Northern Atlantic Coastal Plain aquifer system
3229.rocktype,177,100
3959.rockname,Carbnate-rock aquifers,Carbonate-rock aquifers
256.objectid,24.0,256
2355.aqname,Pennsylvanitan aquifers,Pennsylvanian aquifers
3169.rockname,Unconsolidated sand and gravl aquifers,Unconsolidated sand and gravel aquifers
844.aqname,Pacific Nzorthwest basaltic-rock aquifers,Pacific Northwest basaltic-rock aquifers
202.rocktype,300.0,999
67.shapeleng,0.1789423274,0.5666937598
139.shapearea,0.01167720722,2.906075E-5
785.rockname,Unconsolidated sand and gravel auifers,Unconsolidated sand and gravel aquifers
1836.rockname,Carbonate-rock aquiefrs,Carbonate-rock aquifers
4021.rockname,Unconsolidated sand and gravel aqufiers,Unconsolidated sand and gravel aquifers
2141.rockname,Unconsolidated sand adn gravel aquifers,Unconsolidated sand and gravel aquifers
232.shapeleng,35.2860867019,0.34640300088
3885.rockname,Carbonate-rock aqusifers,Carbonate-rock aquifers
4012.rockname,Unconsolidated xsand and gravel aquifers,Unconsolidated sand and gravel aquifers
3880.aqname,Coastal lowlads aquifer system,Coastal lowlands aquifer system
569.shapearea,0.01167720722,5.228545E-5
1458.rockname,Unconsolidated sand andz gravel aquifers,Unconsolidated sand and gravel aquifers
2444.aqcode,175,101
2870.aqname,Ofther rocks,Other rocks
638.rockname,Carbonate-rck aquifers,Carbonate-rock aquifers
