facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191.0,SWIMMING POOL,78169.0,FAIRFIELD INN / SPRINGHILL SUITES,132 E JEFFERSON ST,LOUISVILLE,KY,40202,28,2007/05/17 00:00:00,17.0
695,SWIMMING AREA,191.0,SPA,91655.0,DISTRICT AT HURSTBOURNE,9811 VIEUX CARRE,LOUISVILLE,KY,40223,25,2013/05/21 00:00:00,18.0
695,SWIMMING AREA,192.0,SWIMMING POOL,29350.0,ELKS CLUB,2824 KLONDIKE LN.,LOUISVILLE,KY,40218,27,1988/06/07 00:00:00,19.0
695,SWIMMING AREA,191.0,SWIMMING POOL,33308.0,WATERFORD PLACE,4105 WATERFORD CIR,LOUISVILLE,KY,40207,26,2005/06/29 00:00:00,2.0
695,SWIMMING AREA,191.0,WADING POOL,78170.0,PINNACLE PLACE,4301 PINNACLE VIEW PLACE,LOUISVILLE,KY,40272,23,2007/05/03 00:00:00,21.0
695,SWIMMING AREA,192.0,SWIMMING POOL,91657.0,PARK LAUREATE APTS INDOOR,2050 STONYBROOK DRIVE,LOUISVILLE,KY,40220,29,2012/10/18 00:00:00,22.0
695,SWIMMING AREA,191.0,SPA,29358.0,CROWNE PLAZA,830 PHILLIPS LN,LOUISVILLE,KY,40209,27,1988/06/07 00:00:00,8.0
695,SWIMMING AREA,271.0,SWIMMING POOL,33311.0,WATERFORD PLACE,4105 WATERFORD CIR,LOUISVILLE,KY,40207,26,2005/06/29 00:00:00,24.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29738.0,AUDUBON COUNTRY CLUB,3265 ROBIN RD,LOUISVILLE,KY,40213,28,2007/05/23 00:00:00,41.0
695,SWIMMING AREA,191.0,SWIMMING POOL,91985.0,ESPORTA FITNESS,4620 TAYLORSVILLE RD,LOUISVILLE,KY,40220,29,2012/11/26 00:00:00,26.0
695,SWIMMING AREA,191.0,SPA,29360.0,METRO PARKS FAIRDALE POOL,709 FAIRDALE ROAD,LOUISVILLE,KY,40118,23,1988/06/07 00:00:00,10.0
695,SWIMMING AREA,191.0,WADING POOL,33311.0,CYPRESS POINTE #2,425 S. HUBBARDS LN,LOUISVILLE,KY,40207,26,1988/08/03 00:00:00,28.0
695,SWIMMING AREA,191.0,SWIMMING POOL,78380.0,WATERFRONT PARK PLACE,222 E WITHERSPOON ST,LOUISVILLE,KY,40202,24,2007/06/20 00:00:00,17.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,91385.0,U OF L - TRAINING POOL,2216 S FLOYD ST,LOUISVILLE,KY,40208,23,2013/06/30 00:00:00,41.0
695,SWIMMING AREA,191.0,WADING POOL,29369.0,STANDARD COUNTRY CLUB,8208 STANDARD CLUB LANE,LOUISVILLE,KY,40241,21,1988/08/03 00:00:00,4.0
695,SWIMMING AREA,191.0,WADING POOL,33320.0,CYPRESS POINTE #1,425 S. HUBBARDS LN,LOUISVILLE,KY,40207,26,1988/08/03 00:00:00,3.0
695,SWIMMING AREA,191.0,SPA,78411.0,WILLOWGATE,1311 BLACKTHORN RD,LOUISVILLE,KY,40299,22,2007/06/12 00:00:00,7.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,92827.0,SOUTHPOINT AT VALLEY FARMS,10200 RENAISSANCE VALLEY WAY,LOUISVILLE,KY,40272,23,2013/05/24 00:00:00,4.0
695,SWIMMING AREA,199.0,WADING POOL,29370.0,STANDARD COUNTRY CLUB,8208 STANDARD CLUB LANE,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,19.0
695,SWIMMING AREA,191.0,WADING POOL,47621.0,ST. XAVIER HIGH SCHOOL,1609 POPLAR LEVEL RD,LOUISVILLE,KY,40217,27,1992/10/28 00:00:00,10.0
695,SWIMMING AREA,191.0,WADING POOL,98312.0,BEST WESTERN PREMIER,4110 DIXIE HIGHWAY,LOUISVILLE,KY,40216,23,2015/09/11 00:00:00,17.0
695,SWIMMING AREA,191.0,WADING POOL,29742.0,CYPRESS POINTE APARTMENTS,425 S. HUBBARDS LANE,LOUISVILLE,KY,40207,26,1988/08/03 00:00:00,3.0
695,SWIMMING AREA,191.0,WADING POOL,29360.0,EAST CHASE APTS,1700 SOMERSET PLACE,LOUISVILLE,KY,40220,29,1989/03/29 00:00:00,19.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29738.0,EAST CHASE,1600 HUNNINGTON PL,LOUISVILLE,KY,40220,29,1989/03/29 00:00:00,40.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29738.0,BOULDER CREEK VANTAGE POINT #1 PHASE I,10400 PAVILION WAY,LOUISVILLE,KY,40299,22,1994/06/06 00:00:00,41.0
695,SWIMMING AREA,191.0,WADING POOL,33353.0,BRADFORD GROVE,7620 WHITE POST WAY,LOUISVILLE,KY,40220,29,1992/01/24 00:00:00,3.0
695,SWIMMING AREA,191.0,SWIMMING POOL,42501.0,WOLF CREEK,4400 WOLF SPRING DR,LOUISVILLE,KY,40241,21,1988/11/11 00:00:00,4.0
695,SWIMMING AREA,191.0,WADING POOL,36002.0,BRIDGEPOINTE SWIM CLUB,4910 OLDE CREEK WAY,LOUISVILLE,KY,40059,21,1988/09/29 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,36003.0,BRIDGEPOINTE SWIM CLUB,4910 OLDE CREEK WAY,LOUISVILLE,KY,40059,21,1988/09/29 00:00:00,8.0
695,SWIMMING AREA,191.0,WADING POOL,36946.0,MARY T. MEAGHER AQUATIC CENTER,201 RESERVOIR AVE,LOUISVILLE,KY,40206,26,1989/01/24 00:00:00,21.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,38364.0,BROOKHOLLOW HOMEOWNERS ASSO,3513 BROOKHOLLOW DR,LOUISVILLE,KY,40220,22,1997/05/20 00:00:00,26.0
695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,38494.0,WOODS OF ST THOMAS,6701 FALLEN LEAF CIRCLE,LOUISVILLE,KY,40241,21,1998/02/12 00:00:00,13.0
695,SWIMMING AREA,199.0,SWIMMING POOL,38495.0,WOODS OF ST THOMAS,6701 FALLEN LEAF CIRCLE,LOUISVILLE,KY,40241,21,1998/02/12 00:00:00,16.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,91985.0,HARRODS LANDING YACHT CLUB,8804 US HWY 42,PROSPECT,KY,40059,21,1989/07/20 00:00:00,82.0
695,SWIMMING AREA,191.0,SWIMMING POOL,38674.0,HARRODS LANDING CONDOS,8000 HARRODS LANDING DR,LOUISVILLE,KY,40059,21,1992/07/15 00:00:00,3.0
695,SWIMMING AREA,199.0,SWIMMING POOL,33353.0,RIVER OAK APARTMENT,2400 MELLWOOD AVENUE,LOUISVILLE,KY,40206,24,1995/06/12 00:00:00,3.0
695,SWIMMING AREA,191.0,WADING POOL,77694.0,COURTYARD BY MARRIOTT,9608 BLAIRWOOD RD.,LOUISVILLE,KY,40222,29,2007/09/17 00:00:00,1.0
695,SWIMMING AREA,199.0,WADING POOL,42375.0,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,2.0
695,SWIMMING AREA,192.0,SWIMMING POOL,42376.0,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,22.0
695,SWIMMING AREA,191.0,SWIMMING POOL,77694.0,OXMOOR COUNTRY CLUB,9000 LIMEHOUSE DRIVE,LOUISVILLE,KY,40220,29,1990/08/15 00:00:00,4.0
695,SWIMMING AREA,191.0,WADING POOL,42381.0,THE LANDINGS,5500 TIMBER RIDGE RD,PROSPECT,KY,40059,21,1996/09/03 00:00:00,22.0
695,SWIMMING AREA,192.0,SWIMMING POOL,42501.0,BOULDER CREEK VANTAGE POINT #2 PHASE II,10400 PAVILION WAY EAST,LOUISVILLE,KY,40299,22,1990/08/14 00:00:00,18.0
695,SWIMMING AREA,192.0,SWIMMING POOL,42581.0,THE SPRINGS CLUBHOUSE,1099 BALMORAL DRIVE,LOUISVILLE,KY,40205,28,1990/08/23 00:00:00,4.0
695,SWIMMING AREA,191.0,SPA,43218.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,7.0
695,SWIMMING AREA,197.0,SWIMMING POOL,43219.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,21.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29369.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,43221.0,SBTS HEALTH & REC CENTER,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,1990/11/14 00:00:00,3.0
695,SWIMMING AREA,199.0,SWIMMING POOL,44615.0,SOUTH PARK COUNTRY CLUB - WADING POOL,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,17.0
695,SWIMMING AREA,192.0,SWIMMING POOL,44617.0,SOUTH PARK COUNTRY CLUB,915 SOUTH PARK RD,LOUISVILLE,KY,40118,23,1991/06/17 00:00:00,22.0
695,SWIMMING AREA,199.0,SWIMMING POOL,33320.0,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,1.0
695,SWIMMING AREA,192.0,SWIMMING POOL,44644.0,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1991/06/20 00:00:00,26.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,44751.0,GRAYSTONE MANOR CONDOS,3200 GRAYSTONE MANOR PARKWAY,LOUISVILLE,KY,40241,21,1991/07/08 00:00:00,24.0
695,SWIMMING AREA,197.0,SWIMMING POOL,90171.0,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,41.0
695,SWIMMING AREA,199.0,SWIMMING POOL,45507.0,MOCKINGBIRD GARDENS,299 MOCKINGBIRD GARDENS DR,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,16.0
695,SWIMMING AREA,199.0,SWIMMING POOL,45508.0,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,8.0
695,SWIMMING AREA,191.0,WADING POOL,45509.0,LOUISVILLE BOAT CLUB,4200 RIVER ROAD,LOUISVILLE,KY,40207,26,1991/11/19 00:00:00,16.0
695,SWIMMING AREA,191.0,SPA,46780.0,LAKESIDE SWIM CLUB,2010 TREVILLIAN WAY,LOUISVILLE,KY,40205,27,1992/06/16 00:00:00,1.0
695,SWIMMING AREA,199.0,SWIMMING POOL,46900.0,PROMENADE COURT TOWNHOMES,152 PROMENADE CT,LOUISVILLE,KY,40223,29,1993/05/28 00:00:00,21.0
695,SWIMMING AREA,191.0,WADING POOL,29738.0,CANTERBURY PLACE,1005 EAST BRIDGE COURT,LOUISVILLE,KY,40223,25,1992/07/21 00:00:00,40.0
695,SWIMMING AREA,191.0,WADING POOL,47145.0,WOODLANDS ON HARROD CREEK,5630 TIMBER CREEK CT,LOUISVILLE,KY,40059,21,1996/07/25 00:00:00,7.0
695,SWIMMING AREA,191.0,WADING POOL,44615.0,YMCA NORTHEAST-FAMILY POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,1992/09/02 00:00:00,82.0
695,SWIMMING AREA,191.0,WADING POOL,92827.0,SPRINGHURST SWIMMING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,16.0
695,SWIMMING AREA,199.0,WADING POOL,47538.0,SPRINGHURST WADING POOL,4200 SPRINGHURST BLVD,LOUISVILLE,KY,40241,21,1996/09/03 00:00:00,22.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29012.0,CHARLESTOWN OF DOUGLASS HILLS,407 CHARLESTOWN COURT,LOUISVILLE,KY,40243,25,1988/08/02 00:00:00,11.0
695,SWIMMING AREA,192.0,SWIMMING POOL,78634.0,SPRING HILL SUITES LOU AIRPORT,820 PHILLIPS LANE,LOUISVILLE,KY,40209,27,2007/07/24 00:00:00,18.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,29738.0,STAYBRIDGE SUITES,11711 GATEWORTH WAY,LOUISVILLE,KY,40299,22,2015/09/15 00:00:00,82.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29022.0,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29747.0,CLAIBORNE CROSSING,14601 PULPIT DRIVE,LOUISVILLE,KY,40245,25,2014/04/10 00:00:00,41.0
695,SWIMMING AREA,256.0,SWIMMING POOL,29371.0,DERBY RUN APTS,6600 OUTER LOOP,LOUISVILLE,KY,40228,27,1988/06/07 00:00:00,18.0
695,SWIMMING AREA,191.0,WADING POOL,29025.0,SHELBY HOUSE,8605 SHELBYVILLE ROAD UNIT 231,LOUISVILLE,KY,40222,29,1988/06/02 00:00:00,2.0
695,SWIMMING AREA,191.0,WADING POOL,98844.0,ALOFT LOUISVILLE EAST,10700 WESTPORT RD,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,10.0
695,SWIMMING AREA,199.0,SWIMMING POOL,78639.0,PARK LAKE APARTMENTS,7100 LEISURE LANE,LOUISVILLE,KY,40229,27,2007/07/24 00:00:00,1.0
695,SWIMMING AREA,191.0,WADING POOL,90171.0,STONECREST CONDOMINIUMS,750 ZORN AVE,LOUISVILLE,KY,40206,26,1993/03/16 00:00:00,18.0
695,SWIMMING AREA,191.0,WADING POOL,29372.0,STONEHENGE CONDOS,245 STONEHENGE DR,LOUISVILLE,KY,40207,26,1988/06/07 00:00:00,2.0
695,SWIMMING AREA,193.0,SWIMMING POOL,78766.0,HILTON GARDEN INN,9850 PARK PLAZA AVE,LOUISVILLE,KY,40241,21,2007/08/02 00:00:00,3.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29340.0,HURSTBOURNE COUNTRY CLUB,9000 HURSTBOURNE CLUB LN,LOUISVILLE,KY,40222,29,1988/06/06 00:00:00,41.0
695,SWIMMING AREA,197.0,SWIMMING POOL,93920.0,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,18.0
695,SWIMMING AREA,218.0,SWIMMING POOL,48976.0,HILLVIEW WOODS APTS SWIM POOL,4800 BIRCH TREE LANE,LOUISVILLE,KY,40229,27,1993/06/18 00:00:00,24.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29373.0,METRO PARKS SUN VALLEY,6506 BETHANY LN,LOUISVILLE,KY,40272,23,1988/06/07 00:00:00,4.0
695,SWIMMING AREA,256.0,SWIMMING POOL,98913.0,HOLIDAY INN EXPRESS,1921 BISHOP LANE,LOUISVILLE,KY,40218,28,1988/06/07 00:00:00,11.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,78826.0,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK,LOUISVILLE,KY,40213,27,2007/08/22 00:00:00,8.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29156.0,1616 CONDOMINIUMS,1616 GARDINER LN,LOUISVILLE,KY,40205,28,1988/06/06 00:00:00,8.0
695,SWIMMING AREA,192.0,SWIMMING POOL,77694.0,COMFORT SUITES,1850 RESOURCE WAY,JEFFERSONTOWN,KY,40299,22,2013/09/25 00:00:00,13.0
695,SWIMMING AREA,191.0,WADING POOL,49413.0,SUTHERLAND,6800 WINDHAM PKWY,PROSPECT,KY,40059,21,1993/09/02 00:00:00,11.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29376.0,SYCAMORE CONDOS,217 SYCAMORE DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,19.0
695,SWIMMING AREA,198.0,SWIMMING POOL,42581.0,ROBSION PARK SPLASH PAD,8125R LAGRANGE RD,LYNDON,KY,40222,29,1988/06/07 00:00:00,28.0
695,SWIMMING AREA,199.0,SWIMMING POOL,92827.0,HOLIDAY INN,447 FARMINGTON AVE,LOUISVILLE,KY,40209,23,2007/09/12 00:00:00,16.0
695,SWIMMING AREA,192.0,SWIMMING POOL,29161.0,LAKE FOREST - THE LODGE,511 WOODLAKE DR,LOUISVILLE,KY,40245,25,1988/06/06 00:00:00,3.0
695,SWIMMING AREA,197.0,SWIMMING POOL,94109.0,KORT - BROWNSBORO CROSSING,9880 ANGIES WAY,LOUISVILLE,KY,40241,21,2014/01/22 00:00:00,2.0
695,SWIMMING AREA,191.0,WADING POOL,38364.0,MERIDIAN AT SHELBYVILLE,12900 OBSERVATION CIRCLE,LOUISVILLE,KY,40243,25,2014/07/03 00:00:00,82.0
695,SWIMMING AREA,199.0,SWIMMING POOL,36003.0,U OF L - SOCCER COMPLEX #1,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,41.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,94926.0,U OF L - SOCCER COMPLEX #2,337 BYRNE AVE,LOUISVILLE,KY,40209,23,2014/08/01 00:00:00,3.0
695,SWIMMING AREA,191.0,SPA,90171.0,HOLIDAY INN HURSTBOURNE,1325 S. HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2014/05/29 00:00:00,7.0
695,SWIMMING AREA,198.0,SWIMMING POOL,95100.0,SKYVIEW PARK SPLASH PAD,2866 WATTERSON TRAIL,JEFFERSONTOWN,KY,40299,22,2014/07/01 00:00:00,8.0
695,SWIMMING AREA,197.0,WADING POOL,43221.0,SIGNATURE POINT,1200 HELM PLACE LANE,JEFFERSONTOWN,KY,40299,22,2014/06/06 00:00:00,41.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,95523.0,SIGNATURE POINT,1200 HELM PLACE LANE,LOUISVILLE,KY,40299,22,2014/07/10 00:00:00,1.0
695,SWIMMING AREA,198.0,SWIMMING POOL,78036.0,FOUNTAIN SQUARE APT,3600 FOUNTAIN DR,LOUISVILLE,KY,40218,27,2014/07/03 00:00:00,11.0
695,SWIMMING AREA,277.0,SWIMMING POOL,95699.0,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,16.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,77941.0,CLEARWATER FARM APARTMENTS,5401 LOWERFIELD DR,LOUISVILLE,KY,40219,27,2014/07/08 00:00:00,82.0
695,SWIMMING AREA,192.0,SWIMMING POOL,90786.0,HURSTBOURNE ESTATES,10405 WATERMARK PLACE,LOUISVILLE,KY,40223,29,2015/07/06 00:00:00,82.0
695,SWIMMING AREA,191.0,WADING POOL,95995.0,THE CLUBHOUSE,2330 CRITTENDEN DRIVE,LOUISVILLE,KY,40217,28,1988/06/07 00:00:00,1.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,96037.0,ASHBY GREEN,7616 ASHBY LANDINGS DR,LOUISVILLE,KY,40272,23,2015/08/10 00:00:00,18.0
695,SWIMMING AREA,198.0,SWIMMING POOL,96143.0,APPLEGATE FARM APARTMENT,5503 FERNFIELD DR,LOUISVILLE,KY,40219,27,2014/10/22 00:00:00,3.0
695,SWIMMING AREA,192.0,SWIMMING POOL,96206.0,VALHALLA VISTA,15300 SHELBYVILLE RD,LOUISVILLE,KY,40245,25,1988/06/07 00:00:00,21.0
695,SWIMMING AREA,199.0,SWIMMING POOL,96652.0,HYATT PLACE LOUISVILLE EAST,701 S HURSTBOURNE PARKWAY,LOUISVILLE,KY,40222,29,2015/06/16 00:00:00,13.0
695,SWIMMING AREA,191.0,SPA,36003.0,BROOKSIDE APARTMENTS,8117 COOPER CREEK DR,LOUISVILLE,KY,40222,29,2015/06/15 00:00:00,15.0
695,SWIMMING AREA,199.0,SWIMMING POOL,96775.0,MEADOWS APARTMENT HOMES,2204 DEERCROSS DR,LOUISVILLE,KY,40222,29,2015/07/31 00:00:00,10.0
695,SWIMMING AREA,197.0,SWIMMING POOL,42375.0,OXMOOR APARTMENT HOMES,7400 STEEPLE CREST CIRCLE,LOUISVILLE,KY,40222,26,2015/07/06 00:00:00,40.0
695,SWIMMING AREA,199.0,SWIMMING POOL,29748.0,JAMESTOWN APARTMENTS,902 MARKHAM LANE,LOUISVILLE,KY,40207,28,2015/08/14 00:00:00,1.0
695,SWIMMING AREA,197.0,WADING POOL,29738.0,JAMESTOWN APARTMENTS,902 MARKHAM LANE,LOUISVILLE,KY,40207,28,1988/06/07 00:00:00,2.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,78380.0,JEFFERSON POST APARTMENTS,7111 JEFFERSON RUN DR,LOUISVILLE,KY,40219,27,1988/06/07 00:00:00,7.0
695,SWIMMING AREA,199.0,SWIMMING POOL,97048.0,SARATOGA WOODS,4310 SARATOGA WOODS DR,JEFFERSONTOWN,KY,40299,22,2015/06/16 00:00:00,19.0
695,SWIMMING AREA,192.0,SWIMMING POOL,97049.0,SARATOGA WOODS,4310 SARATOGA WOODS DR,LOUISVILLE,KY,40299,22,2015/07/13 00:00:00,8.0
695,SWIMMING AREA,199.0,SWIMMING POOL,97064.0,COURTYARD BY MARRIOTT,100 S. 2ND ST.,LOUISVILLE,KY,40202,28,2015/08/24 00:00:00,10.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,97088.0,HILTON GARDEN INN,1530 ALLIANT AVE,JEFFERSONTOWN,KY,40299,22,2015/05/13 00:00:00,3.0
695,SWIMMING AREA,191.0,WADING POOL,97165.0,THE RETREAT AT LOUISVILLE,1000 MANOR PARK DR,LOUISVILLE,KY,40208,23,2015/07/22 00:00:00,10.0
695,SWIMMING AREA,249.0,SWIMMING POOL,33311.0,KENDAL ON TAYLORSVILLE,4004 KEIGHLEY PARK LANE,JEFFERSONTOWN,KY,40299,22,2015/09/23 00:00:00,3.0
695,SWIMMING AREA,284.0,SWIMMING POOL,97530.0,WOODRIDGE LAKE,5110 WOODRIDGE LAKE BLVD,LOUISVILLE,KY,40229,23,2015/05/11 00:00:00,21.0
695,SWIMMING AREA,199.0,SWIMMING POOL,97623.0,DRURY INN & SUITES,9597 BROWNSBORO RD,LOUISVILLE,KY,40241,21,2016/02/29 00:00:00,4.0
695,SWIMMING AREA,197.0,SWIMMING POOL,97624.0,DRURY INN & SUITES,9597 BROWNSBORO RD,LOUISVILLE,KY,40241,21,2016/02/01 00:00:00,11.0
695,SWIMMING AREA,197.0,SWIMMING POOL,77694.0,UNIVERSITY POINTE,2108 UNITY DRIVE,LOUISVILLE,KY,40208,23,2016/08/23 00:00:00,8.0
695,SWIMMING AREA,191.0,SaWIMMING POOL,90715.0,UNIVERSITY POINTE,2108 UNITY PLACE,LOUISVILLE,KY,40208,23,2016/08/23 00:00:00,22.0
695,SWIMMING AREA,191.0,SWIMMhING POOL,90715.0,GERMANTOWN MILLS LOFT,946 GOSS AVE UNIT 5105,LOUISVILLE,KY,40217,28,2016/05/18 00:00:00,2.0
695,SWIMMING AREA,194.0,SWIMMING POOL,33311.0,HAMPTON INN & HOME2 SUITES,1150 FOREST BRIDGE RD,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,140.0
695,SWIMMING AREA,191.0,SWhIMMING POOL,33308.0,SPRINGHOUSE,8400 TAPESTRY CIRCLE,LOUISVILLE,KY,40222,26,2016/11/11 00:00:00,141.0
695,SWIMMING AREA,198.0,SPLASH PAD,77694.0,BROAD RUN PARK CLIFFSIDE SPRAY,10751 BROAD RUN PARKWAY,FERN CREEK,KY,40291,22,1988/06/07 00:00:00,22.0
695,SWIMMING AREA,191.0,SWIMMING POOmL,50781.0,THE GARDENS OF EASTERN PARKWAY,1267 PARKWAY GARDEN CT,LOUISVILLE,KY,40204,28,1994/05/26 00:00:00,143.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29379.0,FOUR SEASONS APT,8010 SUMMERFIELD CIR,LOUISVILLE,KY,40220,29,1988/06/07 00:00:00,144.0
695,SWIMMING AREA,191.0,SWIMMINxG POOL,79206.0,YMCA NORTHEAST-OUTDOOR POOL,9400 MILL BROOK RD,LOUISVILLE,KY,40223,25,2007/10/18 00:00:00,145.0
