characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
Total,Female,"White, non-Hispanic",2008,9.6,2.41,Reporting standards not met.,142271,56750.9,Reorting standards not met.
Total,Female,"White, non-Hispanic",2009,10.2,2.56,Reporting standards not met.,203362,38033.8,Reporting tsandards not met.
Total - Male,Female,"White, non-Hispanic",2010,6.7,1.8,Reporting standards not met.,257074,25836.4,Data not available.
"Total - Asian, non-Hispanic",Femalpe,"White, non-Hispanic",2011,6.9,1.73,Reporting standards not met.,299738,24270.7,Data not available.
Total,Female,"White, non-Hispanic",2012,4.1,1.32,Reporting standards not met.,56234,27947.5,Data not available.
Total,Female,"Black, non-Hispanic",2000,21.7,5.49,Reporting standards not met.,380883,21457.5,Data not available.
Total,Female,"Black, non-Hispanic",2001,20.4,5.19,Reporting standards not met.,299738,20453.5,Reoprting standards not met.
Total,Female,"Black, non-Hispanic",2002,15.7,4.48,Reporting standards not met.,311837,18864.9,Reporting standardsg not met.
Total - Male,Female,"Black, non-Hispanic",2003,18.1,5.05,Reporting standards not met.,367967,19843.5,Data not available.
Total - Male,Female,"Black, non-Hispanic",2004,17.6,4.82,Reporting standards not met.,111144,18784.7,Data not available.
Total,Female,"Black, non-Hispanic",2005,25.0,6.38,Reporting standards not met.,174790,25320.4,Data not available.
Total,Female,"Black, non-Hispanic",2006,18.9,5.23,Reporting standards not met.,203362,21059.3,Reporting standrds not met.
Total - Female,Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Data not available.
Total - Male,Feale,"Black, non-Hispanic",2008,19.2,6.32,Reporting standards not met.,203362,23868.5,Data not available.
Total,Female,"Black, non-Hispanic",2009,18.3,6.02,Reporting standards not met.,66453,39648.1,Data not available.
Total - Male,Female,"Black, non-Hispanic",2010,14.0,4.52,Reporting standards not met.,51283,59229.6,Data not available.
Total - Male,Female,"Black, non-Hispanic",2011,17.9,5.0,Reporting standards not met.,388254,19081.6,Data not available.
Total,emale,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,201131,—,Data not available.
Total,Female,Hispanic,2000,15.6,4.6,Reporting standards not met.,203362,16550.3,Reporting standards nt met.
Total - Hispanic,Female,Hispanic,2001,24.7,5.94,Reporting standards not met.,203362,22237.2,Reporhting standards not met.
Total - Hispanic,Female,Hispanic,2002,16.6,4.7,Reporting standards not met.,380883,19119.6,Data not available.
Total - Male,Female,Hispanic,2003,16.5,4.48,Reporting standards not met.,56435,20750.1,Data not available.
Total - Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,299738,—,Data not available.
Total,Female,Hispanic,2005,17.9,4.85,Reporting standards not met.,299738,23337,Reporting standrds not met.
Total - Female,Female,Hispanic,2006,12.3,3.87,Reporting standards not met.,54403,38352.5,Reporting standsards not met.
Total - Female,Fmeale,Hispanic,2007,12.6,3.12,Reporting standards not met.,56435,16022.7,Data not available.
Total - Female,Femle,Hispanic,2008,19.3,5.63,Reporting standards not met.,56435,28499,Data not available.
Total,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Data not available.
Total,Female,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,59229.6,Data not available.
Total - Female,Female,Hispanic,2011,9.0,2.9,Reporting standards not met.,367967,15318.6,Data not available.
Total,eFmale,Hispanic,2012,9.0,3.0,Reporting standards not met.,201131,17084.2,Data not available.
Total,eFmale,"Asian, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,388254,—,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,l—,Data not available.
"Total - Asian, non-Hispanic",emale,"Asian, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,43852.4,Data not available.
Total,Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,123809,—,Data not available.
Total,Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,v—,Data not available.
Total,Female,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,43852.4,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,272833,—,Data not available.
Total,Female,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,275729,—,Data not available.
Total - Male,Femlae,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not me.t
Total - Female,Feamle,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,299738,—,Data not available.
Total - Female,Female,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,43852.4,Data not available.
Total,Fmale,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,257074,—,Reporting standadrs not met.
Total,Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,258058,—,Data not available.
Total - Hispanic,Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,272833,—,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,56435,—,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,t—,Reporting stadards not met.
Total,Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,27947.5,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,***,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,367967,—,Reporting standarsd not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,367967,—,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,367967,—,Reporting standardgs not met.
Total - Female,Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not et.,311837,—,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting stadnards not met.,174790,—,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,367967,—,Reportng standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,27947.5,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,eporting standards not met.,388254,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,367967,—,Reportin standards not met.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,51377,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,***,Data not available.
"Total - Asian, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,367967,—,Reporting stadards not met.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispaic",2006,9.0,2.26,Reporting standards not met.,299738,—,Data not available.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,388254,—,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,44418.7,Data not available.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,57242.3,Reporting standarsd not met.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,380883,—,Reporitng standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,186456,—,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,,Data not available.
"Total - Two or more fraces, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,201131,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,174790,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,d—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,174790,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two orh more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting stadards not met.,—,***,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,27947.5,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards notm et.,—,65031.8,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Tw or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,39648.1,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reoprting standards not met.,—,***,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Fewmale,"Two or more racs, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not mte.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"White, non-Hispanic",ale,"White, non-Hispanic",2000,17.6,3.71,Reporting stanards not met.,140206,30837.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2001,14.7,3.22,Reporting standards not met.,117377,26522.8,Reportign standards not met.
"White, non-Hipsanic",Male,"White, non-Hispanic",2002,10.1,2.69,Reporting standards not met.,80468,22125.5,Reporting standadrs not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,Reporting standards notmet.,179785,37075,Reporting standards not met.
"White, non-Hispanic",Male,"Whiet, non-Hispanic",2004,18.3,3.71,Reportng standards not met.,142399,29916,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispainc",2005,14.8,3.56,Reporting standards not et.,114844,28532.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2006,14.5,3.42,Reporting standards not met.,113085,27540.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,Remporting standards not met.,211763,62332.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,Reporting standiards not met.,97302,29009.7,Reporting standards not met.
"Whit,e non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,Reporting standards not met.,96604,28899.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2010,9.5,2.84,Reporting standards not met.,67696,20785.2,Reporting standards not me.t
"White, non-Hispanic",Male,"White, non-Hispanic",2011,8.2,2.45,Reporting standards no tmet.,57580,17570.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,30.3,8.6,Reporting standards not met.,57099,17117.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, no-nHispanic",2001,30.5,8.56,Reporting standards not me.t,58625,1723.3,Reporting standards not met.
"Black, non-Hispanic",Male,"Balck, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,,Reporting stanadrds not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.9,8.06,Reporting standards not met.,4961c2,16193.6,Reporting standards not met.
"Black, non-Hispanic",Mlae,"Black, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not meit.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,37.4,10.54,Reporting standards not met.,70504,21018.1,Reporting standards not me.
"Black, non-Hispanic",Male,"Bklack, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,p—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,9.0,2.26,Reportign standards not met.,b—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hisapnic",2009,9.0,2.26,Reporting standards not met.,***,—,Reportingd standards not met.
"Black, non-Hispanic",Male,"Black, non-Hisanic",2010,9.0,2.26,Reporting standards not met.,—,g—,Reporting standards not met.
"Black, non-Hispanic",Male,"lack, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,,—,Reporting standards ot met.
"Black, non-Hispanic",Male,"Black, nn-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,a—,Reporting standards not met.
Hispanic,ale,Hispanic,2000,26.7,8.18,Reporting standards not met.,46623,15033.4,Reporting standards not met.
Hispanic,Male,Hispanic,2001,38.2,9.95,Reporting standards not met.,6e9536,19136,Reporting standards not met.
Hispanic,Mle,Hspanic,2002,21.1,6.84,Reporting standards not me.t,42585,14503.4,Reporting standards not met.
Hispanic,Male,Hispanic,2003,9.0,2.26,Reporting standards not met.,,—,Reporting standard not met.
Hispanic,Male,Hispaic,2004,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
Hispanic,Male,Hispanci,2005,20.4,6.67,Rporting standards not met.,50570,17e134.8,Reporting standards not met.
Hispanic,Male,Hispanic,2006,9.0,2.26,Reporting standards not meth.,—,e—,Reporting standards not met.
Hispanic,ale,Hismpanic,2007,24.0,5.81,Reporting standards not met.,61742,16022.7,Reporting standards not met.
Hispanic,Male,Hisanic,2008,27.6,8.98,Reporting standards not met.,71085,24042.6,Reporting standards not met.
Hispanic,Male,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Male,Hispnic,2010,9.0,2.26,Reporting standards not met.,—,y—,Reporting standards not met.
Hispanic,Male,Hsipanic,2011,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
Hispanic,Male,Hiospanic,2012,13.5,5.08,Reporting standards not met.,37239,14335.9,Reproting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,,—,Dat not available.
"Asian, non-Hispanic",Mael,"sAian, non-Hispanic",2001,9.0,2.26,Data not available.,—,y—,Dadta not available.
"Asian, non-Hispanic",Mael,"Asian, non-Hipsanic",2002,9.0,2.26,Data not available.,—,,Datan ot available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,a—,Reporting satndards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,c—,Rfeporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanci",2006,9.0,2.26,Reporting standards not met.,—,,Reporting stanadrds not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispaniqc",2007,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanic",Mle,"Asian, non-Hispaxnic",2008,9.0,2.26,Reproting standards not met.,—,x—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, nn-Hispanic",2009,9.0,2.26,Reportxing standards not met.,,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, nno-Hispanic",2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispainc",2011,9.0,2.26,Reporting standards not met.,—,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, ynon-Hispanic",2012,9.0,2.26,Reporting standards not met.,,—,Reporting sandards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,t—,Data ot available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,c—,—,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,,—,Data not available.
"Paicfic Islander, non-Hispanic",Male,"Pacific Islander, non-Hipanic",2003,9.0,2.26,Reporting tandards not met.,—,d—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting stndards not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,,Reporting standard snot met.
"Pacific Islander, non-Hispanic",Male,"Pacifi cIslander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,a—,—,Reportng standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islanxder, non-Hispanic",2007,9.0,2.26,Reorting standards not met.,—,j—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-tHispanic",2008,9.0,2.26,Reportin standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, nonH-ispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporitng standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islgander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standardes not met.,—,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standardsn ot met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Repotring standards not met.,***,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,x—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,m—,—,Reporting standars not met.
"American Indian/Alaska Native, non-Hispanic",Male,"America Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,—,Repgorting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Repovrting standards not met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,w—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Amelrican Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,eporting standards not met.,—,***,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Ammerican Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,v—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"Ammerican Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporcting standards not met.,e—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, onn-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,,Reporting tandards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alasak Native, non-Hispanic",2011,9.0,2.26,Reporting stadnards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alyaska Native, non-Hispanic",2012,9.0,2.26,Rpeorting standards not met.,—,v—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or omre races, non-Hispanic",2000,9.0,2.26,Data not available.,***,—,Data ot available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,***,Datanot available.
"Two or more races, non-Hispanic",Malee,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standard snot met.,r—,—,Reporting standards not met.
"Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,—,Reportign standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standardss not met.,y—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,***,—,Reportings tandards not met.
