characteristic,sex,raceethnicity,yearvalue,rateperonezerozerozero,standarderroronrate,noteonrate,countvalue,standarderroroncount,noteoncount
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,14.7,2.7,Reporting standards not met.,225471,42726.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,10.6,2.06,Reporting standards not met.,159126,32039.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,9.6,2.41,Reporting standards not met.,142271,36546.9,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,10.2,2.56,Reporting standards not met.,147338,38033.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,6.7,1.8,Reporting standards not met.,93478,25836.4,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.9,1.73,Reporting standards not met.,94860,24270.7,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,4.1,1.32,Reporting standards not met.,56234,18192.2,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,21.7,5.49,Reporting standards not met.,80921,21457.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,20.4,5.19,Reporting standards not met.,77452,20453.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,15.7,4.48,Reporting standards not met.,63399,18864.9,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,18.1,5.05,Reporting standards not met.,68502,19843.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,17.6,4.82,Reporting standards not met.,66602,18784.7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,25.0,6.38,Reporting standards not met.,95031,25320.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,18.9,5.23,Reporting standards not met.,73403,21059.3,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,19.2,6.32,Reporting standards not met.,70220,23868.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,18.3,6.02,Reporting standards not met.,66453,22748.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,14.0,4.52,Reporting standards not met.,51283,17271.7,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,17.9,5.0,Reporting standards not met.,65478,19081.6,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2000,15.6,4.6,Reporting standards not met.,54183,16550.3,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2001,24.7,5.94,Reporting standards not met.,88614,22237.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2002,16.6,4.7,Reporting standards not met.,64688,19119.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2003,16.5,4.48,Reporting standards not met.,73489,20750.1,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2005,17.9,4.85,Reporting standards not met.,83425,23337,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2006,12.3,3.87,Reporting standards not met.,54403,17540.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2007,12.6,3.12,Reporting standards not met.,61742,16022.7,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2008,19.3,5.63,Reporting standards not met.,94474,28499,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2011,9.0,2.9,Reporting standards not met.,46428,15318.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2012,9.0,3.0,Reporting standards not met.,50478,17084.2,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,17.6,3.71,Reporting standards not met.,140206,30837.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2001,14.7,3.22,Reporting standards not met.,117377,26522.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2002,10.1,2.69,Reporting standards not met.,80468,22125.5,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,Reporting standards not met.,179785,37075,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2004,18.3,3.71,Reporting standards not met.,142399,29916,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2005,14.8,3.56,Reporting standards not met.,114844,28532.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2006,14.5,3.42,Reporting standards not met.,113085,27540.4,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,Reporting standards not met.,121763,26332.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,Reporting standards not met.,97302,29009.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,Reporting standards not met.,96604,28899.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2010,9.5,2.84,Reporting standards not met.,67696,20785.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2011,8.2,2.45,Reporting standards not met.,57580,17570.2,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,30.3,8.6,Reporting standards not met.,57099,17117.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,30.5,8.56,Reporting standards not met.,58625,17233.3,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.9,8.06,Reporting standards not met.,49612,16193.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,37.4,10.54,Reporting standards not met.,70504,21018.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2000,26.7,8.18,Reporting standards not met.,46623,15033.4,Reporting standards not met.
Hispanic,Male,Hispanic,2001,38.2,9.95,Reporting standards not met.,69536,19136,Reporting standards not met.
Hispanic,Male,Hispanic,2002,21.1,6.84,Reporting standards not met.,42585,14503.4,Reporting standards not met.
Hispanic,Male,Hispanic,2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2005,20.4,6.67,Reporting standards not met.,50570,17134.8,Reporting standards not met.
Hispanic,Male,Hispanic,2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2007,24.0,5.81,Reporting standards not met.,61742,16022.7,Reporting standards not met.
Hispanic,Male,Hispanic,2008,27.6,8.98,Reporting standards not met.,71085,24042.6,Reporting standards not met.
Hispanic,Male,Hispanic,2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Male,Hispanic,2012,13.5,5.08,Reporting standards not met.,37239,14335.9,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,9.0,2.26,Data not available.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
