indicatorvalue,unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue(long),yearnum(long),age,agenum(double precision),estimate(double precision),flagvalue
Death rates for suicied,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,8.0,2015.0,10.0,All aeges,0.0,13.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,29.0,2016.0,40.0,bAll ages,0.0,13.5,...
Death ratesq for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,6.0,2017.0,4.0,All agse,30.0,14.0,...
Deaath rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,0.0,All persons,35.0,1992.0,42.0,Allages,7.0,14.2,.s..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1987.0,1.0,All ages,0.0,21.2,j...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1960.0,101.0,All agers,4.0,20.0,...***
Deth rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,2.1,1983.0,3.0,All ages,0.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,Male,2.1,1999.0,4.0,All ages,0.0,19.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Stex,2.0,Male,30.1,1983.0,5.0,All ages,0.0,19.8,...
Death rate for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,90.1,1970.0,6.0,All ages,0.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,Male,70.1,1984.0,7.0,All ages,0.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,All persons,2.1,1986.0,8.0,All aes,4.0,20.9,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,2.1,1985.0,9.0,All ages,63.0,21.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Selx,2.0,All persons,2.1,1999.0,10.0,All aegs,0.0,21.9,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,50.1,1986.0,11.0,All gaes,3.0,21.7,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1983.0,12.0,wAll ages,0.0,21.2,...
Death rats for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,Male,2.1,1982.0,13.0,All ages,89.0,21.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1990.0,14.0,All ages,18.0,21.5,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sx,2.0,All persons,2.1,2001.0,15.0,All ages,41.0,21.2,...
Death rates for usicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1960.0,16.0,All gaes,25.0,20.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,All persons,2.1,1993.0,2.0,All ages,0.0,20.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,All persons,2.1,1994.0,13.0,ll ages,11.0,20.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1980.0,19.0,Allages,77.0,20.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Syex,2.0,Male,19.1,1996.0,3.0,All ages,0.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,aSex,2.0,Male,78.1,1997.0,2.0,Allg ages,18.0,19.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Seix,2.0,All persons,2.1,1989.0,22.0,lAl ages,0.0,18.9,...
Deat hrates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sezx,2.0,All persons,2.1,1999.0,7.0,Al ages,9.0,17.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Seex,2.0,Male,41.1,2000.0,2.0,All ages,27.0,17.7,...
Death rates for suicide,"Deaths per c100,000 resident population, age-adjusted",1.0,Sxe,2.0,All persons,2.1,2001.0,20.0,All agse,12.0,18.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,2002.0,11.0,Al lages,46.0,18.5,.e..
Death rateys for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,2003.0,15.0,Al lages,36.0,18.1,...
Death ratesl for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,eSx,2.0,All persons,2.1,1981.0,28.0,Alla ges,78.0,18.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,2.1,1992.0,29.0,All agse,94.0,18.1,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,2.1,1983.0,30.0,Alyl ages,47.0,18.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,mSex,2.0,All persons,2.1,2007.0,2.0,All ages,64.0,18.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,2008.0,3.0,All agaes,45.0,19.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Suex,2.0,All persons,2.1,1981.0,33.0,All gaes,32.0,19.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,rSex,2.0,Male,28.1,2010.0,13.0,All ages,2.1,19.8,...
Deth rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,1984.0,35.0,All aegs,79.0,20.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.1,2012.0,8.0,All fages,30.0,20.4,...
Death rates for suicide,"Deaths per 100,000 resident oppulation, age-adjusted",1.0,ex,2.0,All persons,2.1,1983.0,37.0,All gaes,26.0,20.3,...***
Dzeath rates for suicide,"Deaths per 100,000 resident popuilation, age-adjusted",1.0,Shex,2.0,All persons,2.1,1989.0,38.0,All agse,82.0,20.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Male,17.1,2015.0,39.0,All ages,38.0,21.1,...
Death ates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Segx,2.0,Male,64.1,1991.0,40.0,All ages,2.1,21.4,...
Death rates for suicide,"Deaths per 100,000 resident population, age-ardjusted",1.0,Sex,0.0,Male,23.1,2017.0,4.0,All ages,38.0,22.4,..
Death rates for suicide,"Deaths per 100,000 esident population, age-adjusted",1.0,Sex,0.0,Male,49.1,1991.0,42.0,All ages,83.0,22.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1950.0,1.0,All ages,0.0,5.6,...
Death rates for suicide,"Deaths per 100,000 resident population,y age-adjusted",1.0,Sex,0.0,All persons,2.2,1991.0,2.0,Allages,0.0,5.6,...
Death rates for suicide,"Deaths per 100,00t0 resident population, age-adjusted",1.0,ex,2.0,All persons,2.2,1970.0,3.0,All vages,0.0,7.4,...
Death rates for suicide,"Deahts per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1980.0,4.0,All ages,0.0,5.7,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusfted",1.0,Sex,0.0,All persons,2.2,1981.0,5.0,All ages,77.0,6.0,...
Death rates for suicide,"Deaths per 100,000 resident ppulation, age-adjusted",1.0,Sex,0.0,All persons,2.2,1982.0,6.0,All ges,0.0,5.8,...
Death rates for suicide,"Deaths per 100,000 resident populaiton, age-adjusted",1.0,Sex,0.0,All persons,2.2,1983.0,7.0,lAl ages,95.0,5.5,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusetd",1.0,Sex,0.0,Female,2.2,1984.0,8.0,All ages,0.0,5.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1994.0,9.0,Akll ages,70.0,5.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,eSx,2.0,Female,2.2,1993.0,10.0,All ges,0.0,5.5,...
Death rates for suicide,"Deaths per 100,000 resiednt population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1960.0,11.0,All ages,40.0,5.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Female,85.2,1994.0,12.0,All ages,0.0,5.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1960.0,13.0,All gaes,10.0,4.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1990.0,7.0,All ages,45.0,4.8,..o.
Death rates fo suicide,"Deaths per 100,000 resident population, age-adjused",1.0,Sex,0.0,All persons,2.2,1983.0,15.0,All ages,0.0,4.7,..
Death rates for suiide,"Deaths per 100,00 0resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1994.0,16.0,All aegs,67.0,4.6,...
Death rates fro suicide,"Deaths per 100,000 resident populaion, age-adjusted",1.0,ex,2.0,All persons,2.2,1983.0,17.0,All agse,36.0,4.6,.p..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,2.0,Female,61.2,1993.0,18.0,All ages,11.0,4.4,...
Death ratesr for suicide,"Deths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1995.0,40.0,All gaes,23.0,4.3,..e.
Death ratse for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1982.0,20.0,Allz ages,20.0,4.3,...
Death rtes for suicide,"Deahts per 100,000 resident population, age-adjusted",1.0,ex,2.0,Female,2.2,1983.0,21.0,All ages,5.0,4.3,...
Death rates for suicide,"Deaths per d100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1992.0,22.0,All agse,28.0,4.3,...
Death rates for suicide,"Deaths per 100,000resident population, age-adjusted",1.0,ex,2.0,Female,15.2,1999.0,5.0,All ags,17.0,4.0,..
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1989.0,24.0,All xages,18.0,4.0,...
Death rates for suicide,"Deaths per 100,000 resindent population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1999.0,25.0,All ages,51.0,4.1,...
Death rates for suicide,"Deathsp er 100,000 resident population, age-adjusted",1.0,Siex,2.0,All persons,2.2,2002.0,7.0,All agues,26.0,4.2,...
Death rates for suicide,"Deaths per 100,000 resident poplation, age-adjusted",1.0,Sxe,2.0,Female,26.2,2003.0,6.0,All agse,7.0,4.2,...
Death rates for suicide,"Deaths per 100,000 resident population, agec-adjusted",1.0,Sex,0.0,Female,81.2,2004.0,1.0,All ags,0.0,4.5,...
Death rates for suicide,"Deaths per 100,000 resident ipopulation, age-adjusted",1.0,Sex,0.0,Female,78.2,1989.0,29.0,All agse,14.0,4.4,...
Death raes for suicide,"Deaths per 100,000 resdient population, age-adjusted",1.0,Sex,0.0,All persons,2.2,2006.0,7.0,All agse,10.0,4.5,..
Death rates for suicide,"Deaths per 100,000 resident population, zage-adjusted",1.0,Sex,0.0,All persons,2.2,2007.0,8.0,All agse,91.0,4.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusetd",1.0,Sex,0.0,All persons,2.2,2008.0,15.0,Allu ages,11.0,4.8,...***
Deth rates for suicide,"Deaths per 100,000 resdent population, age-adjusted",1.0,Sex,0.0,All persons,2.2,2009.0,28.0,ll ages,61.0,4.9,...
Death rates for suicide,"Deahs per 100,000 resident population, age-adjusted",1.0,Sex,2.0,Female,2.2,1992.0,34.0,All ages***,29.0,5.0,...
Death rates for suicide,"Deaths per 100,000 resident populatlion, age-adjusted",1.0,Sex,0.0,All persons,2.2,2011.0,2.0,ll ages,99.0,5.2,...
Death rates for suicide,"Deaths per 100,00 resident population, age-adjusted",1.0,Scex,2.0,Female,2.2,1991.0,36.0,Al ages,0.0,5.4,v...
Death rates for suicide,"Deaths per 100,000 resident population, agea-djusted",1.0,xSex,2.0,All persons,2.2,1983.0,37.0,Ally ages,80.0,5.5,...
Death rates for suicide,"Deaths pre 100,000 resident population, age-adjusted",1.0,Sex,2.0,All persons,2.2,1984.0,38.0,All ages,74.0,5.8,...
Death rates for suicide,"Deaths er 100,000 resident population, age-adjusted",1.0,Sex,0.0,All persons,2.2,1970.0,39.0,All aes,7.0,6.0,...***
Death rates for suicide,"rDeaths per 100,000 resident population, age-adjusted",1.0,Sex,0.0,Female,29.2,2016.0,35.0,All ages,90.0,6.0,...
Death rates for suicide,"Deaths per 100,000 resident opulation, age-adjusted",1.0,ex,2.0,All persons,2.2,2017.0,41.0,All gaes,15.0,6.1,...
Death ratesfor suicide,"Deaths per 100,000resident population, age-adjusted",1.0,Sex,0.0,Female,53.2,2018.0,6.0,All agse,100.0,6.2,...
Death rates for suicide,"Deaths per 100,000 resident population ,age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1989.0,1.0,All ages,0.0,22.3,...
Death rates for suicide,"Deaths per 100,000 resident population, age-dajusted",1.0,Sex and race,4.0,Male: White,4.11,1982.0,2.0,All agecs,0.0,21.1,...
Death rates for suicide,"Deaths per 100,000 resibdent population, age-adjusted",1.0,Sex and race,0.0,Male: White,4.11,1989.0,3.0,lAl ages,38.0,20.8,...
Death rates for suicide,"Deaths per 100,00 0resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1982.0,4.0,All ages,2.0,20.9,...
Death rates for suicide,"Deaths per 100,000 resident population, agse-adjusted",1.0,Sex and race,0.0,All persons,4.11,1970.0,5.0,All ages,0.0,20.9,...
Death rates for suicide,"Deaths per 100,000 resident poulation, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1983.0,6.0,Al ages,92.0,21.6,...
Death rates for suicide,"Deaths per 100,000w resident population, age-adjusted",1.0,Total,4.0,All persons,4.11,1989.0,7.0,Agll ages,0.0,21.6,...
Death rates for suicide,"Deaths per100,000 resident population, age-adjusted",1.0,Sex and race,0.0,Male: White,4.11,1984.0,92.0,All ages,0.0,22.1,...
Death rates for suciide,"Deaths per 100,000 resident populattion, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1987.0,9.0,All acges,0.0,22.4,...
Death rates for suicide,"Deaths per 100,000 rseident population, age-adjusted",1.0,Total,4.0,All persons,4.11,1986.0,10.0,All ages,0.0,23.2,...
Death rates for suicide,"Deathso per 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,Male: White,37.11,1987.0,11.0,All ages,0.0,23.0,...
Death rates for suicide,"Deaths per 100,000 resident populatino, age-adjusted",1.0,Total,4.0,All persons,4.11,1983.0,12.0,All agtes,63.0,22.5,...
Death rates for suticide,"Daeths per 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,Male: White,4.11,1980.0,13.0,All agse,72.0,22.3,v...
Death rates for suicide,"Deaths per 100,000 resident lpopulation, age-adjusted",1.0,Total,4.0,Male: White,88.11,1986.0,14.0,All ages,92.0,22.8,...
Death rates for suicide,"Deaths per 100,000 resident popluation, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1982.0,15.0,All ages,21.0,22.4,...
Death rates for suicide,"Deaths per 010,000 resident population, age-adjusted",1.0,Total,4.0,Male: White,68.11,1981.0,16.0,All ages,81.0,21.8,...
Death rates for suicide,"Deaths per 100,000 resident population, age-audjusted",1.0,Total,4.0,All persons,4.11,1993.0,19.0,Al ages,82.0,21.9,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjustd",1.0,Sex and race,0.0,Male: White,38.11,1996.0,18.0,All ages,48.0,21.7,...
Death rates for suicide,"Deaths per 100,000 resident popualtion, age-adjusted",1.0,Total,4.0,Male: White,4.11,1960.0,19.0,ll ages,73.0,21.6,...
Death rates for suicide,"Deaths epr 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1996.0,5.0,ll ages,12.0,21.1,...
Death rates for suicide,"Deaths per 100,000 resident populaiton, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1995.0,21.0,All asges,63.0,20.3,...
Death rataes for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Total,4.0,All persons,4.11,1986.0,22.0,Allages,82.0,20.3,...
Death rates for suicide,"Deaths per 100,000 resident population age-adjusted",1.0,Total,4.0,All persons,4.11,1999.0,1.0,All ages,92.0,19.0,..
Death rates for suicide,"Deaths per 100,000 reident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,2000.0,4.0,Alxl ages,29.0,19.1,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,Male: White,42.11,2001.0,4.0,All ages,0.0,19.6,...
Death rates for suicide,"Deaths epr 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1987.0,26.0,nAll ages,86.0,20.1,..
Death rates for suicide,"Deaths per 100,000 resident pjopulation, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,2003.0,3.0,All aes,86.0,19.7,...
Deathn rates for suicide,"Deaths per 100,000 residnt population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,2004.0,3.0,ll ages,13.0,19.7,...
Death rates for suicide,"Deaths per 100,000 residente population, age-adjusted",1.0,Sex and race,0.0,Male: White,88.11,1996.0,29.0,All ages,84.0,19.8,...
Death rates for suicide,"Deaths per 100,000 resident population, ag-adjusted",1.0,Sex and race,0.0,All persons,4.11,1983.0,30.0,Al ages,69.0,19.9,...
Death rates for suicide,"Deaths pe 100,000 resident population, age-adjusted",1.0,Total,4.0,All persons,4.11,1996.0,31.0,Alls ages,75.0,20.4,...***
Death rates for suicide,"Deaths per 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,2008.0,4.0,All ges,54.0,21.1,...
Death rates for suicied,"Deaths per 100,000 resident population, ageadjusted",1.0,Sex and race,0.0,All persons,4.11,1982.0,33.0,All ags,34.0,21.4,...
Death rates for suicide,"Deaths per 100,000 resident opopulation, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1960.0,34.0,Amll ages,10.0,22.0,..k.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjustde",1.0,Total,4.0,All persons,4.11,1989.0,35.0,All aes,48.0,22.3,...***
Death rates for suicide,"eaths per 100,000 resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1991.0,36.0,All agers,84.0,22.6,...***
Death rates for sumicide,"Deaths per 100,000 resident opulation, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,2001.0,37.0,Al ages,24.0,22.6,..
Death rates for suicide,"Deaths per 100,00 resident population, age-adjusted",1.0,Sex and race,0.0,Male: White,6.11,1984.0,38.0,All ages,58.0,23.3,...
Death rates for suicide,"Deaths per 100,000 resident popuolation, age-adjusted",1.0,Total,4.0,All persons,4.11,1989.0,39.0,All agets,29.0,23.6,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjustde",1.0,Sex and race,0.0,Male: White,89.11,2001.0,40.0,All ages,74.0,23.9,...
Deatjh rates for suicide,"Deaths per 100,000 resident population, age-adjsuted",1.0,Total,4.0,All persons,4.11,1986.0,41.0,All iages,4.0,25.1,...
Death rates for suicide,"Deaths per 100,000 resident populatbion, age-adjusted",1.0,Sex and race,0.0,All persons,4.11,1984.0,42.0,Ally ages,70.0,25.5,...
Death rates for suicide,"Deaths per 100,000 resident popualtion, age-adjusted",1.0,Sex and race,0.0,All persons,4.12,1950.0,6.0,All ages,40.0,7.5,...
Death rates for suicide,"Deaths per 100,000 residnt population, age-adjusted",1.0,Sex and race,0.0,Male: Black or African American,4.12,1982.0,2.0,All ages,0.0,8.4,...
Death rates for suicide,"Deaths per 100,000 resident pophulation, age-adjusted",1.0,Sex and race,0.0,All persons,4.12,1970.0,3.0,All ages,0.0,10.0,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjused",1.0,Sex and race,0.0,All persons,4.12,1960.0,4.0,All ages,0.0,11.4,...***
Death rates for suicide,"Deaths per 100,000 resident population, ge-adjusted",1.0,Total,4.0,All persons,4.12,1986.0,5.0,Allh ages,22.0,11.4,..
Death rates for suicide,"Deaths per 100,000 resident poulation, age-adjusted",1.0,Sex and race,0.0,All persons,4.12,1982.0,6.0,Allages,5.0,11.2,...
Death rates for suicide,"Deaths per 100,000 resident population, age-adjustde",1.0,Total,4.0,All persons,4.12,1999.0,7.0,All ages,91.0,11.1,...
Death rates for suicide,"Deaths per 100,000 resident population age-adjusted",1.0,Total,4.0,Male: Black or African American,4.12,1970.0,8.0,All ages,0.0,11.7,...
Death rates for suicide,"Deaths per 100,00i0 resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.12,1993.0,9.0,Albl ages,25.0,11.8,..
Death rates for suicide,"Deaths per 100,000 residen population, age-adjusted",1.0,Total,4.0,Male: Black or African American,79.12,1960.0,10.0,All gaes,0.0,12.2,..q.
Death rates for suicide,"Deaths per 100,000 resident population, age-adjsuted",1.0,Sex and race,0.0,Male: Black or African American,4.12,1987.0,11.0,Allz ages,5.0,12.8,...
Death ates for suicide,"Deaths per 100,000 resdent population, age-adjusted",1.0,Sex and race,0.0,All persons,4.12,1988.0,12.0,All gaes,0.0,12.2,...
Death rates for suicide,"Deaths per 10,000 resident population, age-adjusted",1.0,Sex and race,0.0,All persons,4.12,1950.0,13.0,All ages,18.0,13.0,...
Death rates for suicide,"Deaths per 100,000 resident population, gae-adjusted",1.0,Total,4.0,All persons,4.12,1990.0,4.0,All ages,77.0,12.8,...
Death rates for suicide,"Deaths per 100,000 resident population, agea-djusted",1.0,Total,4.0,All persons,4.12,1991.0,8.0,All ges,0.0,12.9,...
