objectid,cyclevalue,id_three_zero_five_b,watername,locationvalue,watersize,sizeunit,watertype,nhdbasin,ctlakeid,classid,classname,aquatic_life_attainment_code,aquatic_life_attainment,recreational_attainment_code,recreational_attainment,fish_consumptin_attainment_code,fish_consumption_attainment,drinking_water_attainment_code,drinking_water_attainment,impaired,shape_length,shape_area
12.0,2018,CT5302-00-4-L3_01,"Whitney, Lake (Hamden)","Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).",140.42,ACRES,FRESHWATER LAKE,1100004,1549.0,50,Inland Surface Waters Class AA,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,No,34020.8630558587,6116914.66188278
13.0,2018,CT5105-00-2-L2_01,Foster Pond (Killingworth),"South of Rt. 80, across from Chatfield Hollow State Park, Killingworth.",27.92,ACRES,FRESHWATER LAKE,1100004,943.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,10472.180134575,1216204.57694368
14.0,2018,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).",21.58,ACRES,FRESHWATER LAKE,1100004,456.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,4467.48722362686,940092.739834537
15.0,2018,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",22.92,ACRES,FRESHWATER LAKE,1100004,1635.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,4155.48366402287,998367.840002071
16.0,2018,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",2.72,ACRES,FRESHWATER LAKE,1100004,823.0,48,Inland Surface Waters Class A,I,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,1654.87117047857,118638.844686911
17.0,2018,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,189.28,ACRES,FRESHWATER LAKE,1100001,3467.0,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,24334.3122221123,8245167.04334499
18.0,2018,CT3600-00-3-L6_01,Glasgo Pond (Griswold/Voluntown),"Impoundment of Pachaug River, near Griswold/Voluntown border, begining on west side of Sheldon Road Crossing, and DS to east side of Route 201 crossing (Includes portion south of Route 165 crossing). Doaneville Pond portion NOT included.",104.29,ACRES,FRESHWATER LAKE,1100001,1019.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,22397.4939411983,4543021.89705898
19.0,2018,CT2104-00-1-L2_01,Long Pond (Ledyard/North Stonington),"Ledyard, North Stonington border.",111.31,ACRES,FRESHWATER LAKE,1100003,1683.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,24895.6327730097,4848731.4187925
20.0,2018,CT3206-00-1-L1_01,Morey Pond (Union/Ashford),Straddles Ashford - Union line and is split by Rte 84.,47.22,ACRES,FRESHWATER LAKE,1100002,1909.0,50,Inland Surface Waters Class AA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,12386.9198670979,2056898.25825571
21.0,2018,CT3600-00-3-L7_01,Pachaug Pond (Griswold),"Impoundment of Pachaug River, eastern Griswold.",836.92,ACRES,FRESHWATER LAKE,1100001,2134.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,77824.1758830208,36456081.6141571
22.0,2018,CT3400-00-2-L11_01,Quaddick Reservoir (Thompson),Impoundment of Fivemile River in Southeast corner of Thompson. Includes CT DEEP State swimming area in Quaddick State Park.,391.3,ACRES,FRESHWATER LAKE,1100001,2337.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,65539.5657708328,17045110.406563
23.0,2018,CT3203-00-1-L1_01,Mashapaug Lake (Union),Northeastern Union near MA border.,297.92,ACRES,FRESHWATER LAKE,1100002,1779.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,38090.2159112425,12977340.2934508
24.0,2018,CT3400-00-1-L1_01,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border. Headwaters of Fivemile River.",65.82,ACRES,FRESHWATER LAKE,1100001,1648.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,7524.77206212308,2866999.86337798
25.0,2018,CT3300-00-3+L3_01,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.",58.66,ACRES,FRESHWATER LAKE,1100001,2033.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,18760.6963392008,2555402.07561616
26.0,2018,CT3700-28-1-L1_01,Wauregan (Quinebaug) Pond (Killingly),Southwestern corner of Killingly.,71.06,ACRES,FRESHWATER LAKE,1100001,2343.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,9990.13750921345,3095502.20998354
27.0,2018,CT4315-10-1-L1_01,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street",8.13,ACRES,FRESHWATER LAKE,1080207,1752.0,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,5593.24259792881,354019.18031934
28.0,2018,CT4300-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.",852.34,ACRES,FRESHWATER LAKE,1080207,568.0,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,63814.4863274421,37128146.1703807
29.0,2018,CT5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Road (Route 66).",69.89,ACRES,FRESHWATER LAKE,1100004,239.0,48,Inland Surface Waters Class A,I,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,18777.7119415127,3044564.32714191
30.0,2018,CT3109-01-1-L1_01,Mono Pond (Columbia),"Southern Columbia, south of Rte 66.",101.98,ACRES,FRESHWATER LAKE,1100002,1899.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,19222.0255066831,4442177.62010009
31.0,2018,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",308.86,ACRES,FRESHWATER LAKE,1100001,69.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,64711.4490705672,13453792.1267319
32.0,2018,CT1100-00-1-L1_01,Porter Pond (Sterling),"Headwaters of Wood River near Rhode Island border, Sterling.",10.4,ACRES,FRESHWATER LAKE,1090005,2293.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4361.25502832462,453216.35243088
33.0,2018,CT2205-00-1-L2_01,Pataganset Lake (East Lyme),"East Lyme, Pataganset River system.",125.7,ACRES,FRESHWATER LAKE,1100003,2184.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,19706.497826737,5475656.07208822
34.0,2018,CT2205-00-1-L3_01,Gorton Pond (East Lyme),East Lyme. Impoundment of Pataganset River.,52.41,ACRES,FRESHWATER LAKE,1100003,1045.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,14586.1936901236,2282996.33871605
35.0,2018,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",29.59,ACRES,FRESHWATER LAKE,1100003,743.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,5134.89383570469,1288826.92081265
36.0,2018,CT4303-02-1-L1_01,Burr Pond (Torrington),"CT DEEP Burr Pond State Park. South of Burr Mountain Rd, Northeast corner of Torrington.",83.39,ACRES,FRESHWATER LAKE,1080207,382.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,16500.1561230003,3632584.06798023
37.0,2018,CT4321-00-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.",9.4,ACRES,FRESHWATER LAKE,1080207,112.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4301.44782322676,409580.229077604
38.0,2018,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,49.9,ACRES,FRESHWATER LAKE,1080205,2994.0,49,Inland Surface Waters Class B,N,NOT SUPPORTING,I,UNASSESSED,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,8614.07142319367,2173456.36391191
39.0,2018,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.",580.57,ACRES,FRESHWATER LAKE,1100005,1554.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,72327.8061340326,25289589.4604226
40.0,2018,CT3705-00-1-L1_01,Griggs Pond (Woodstock),Northwest corner of Woodstock.,37.56,ACRES,FRESHWATER LAKE,1100001,1092.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,7640.62529214094,1635983.49149069
41.0,2018,CT3203-00-1-L2_01,Bigelow Pond (Union),DS of Mashapaug Lake in northern Union.,25.8,ACRES,FRESHWATER LAKE,1100002,214.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,8980.97603020878,1123731.54260915
42.0,2018,CT3201-01-1-L1_01,Black Pond (Woodstock),"Eastern Woodstock, south of Rte 197.",71.88,ACRES,FRESHWATER LAKE,1100002,236.0,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,8213.55301830889,3130968.1663953
43.0,2018,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,96.38,ACRES,FRESHWATER LAKE,1100001,2465.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,Yes,10217.3549883874,4198419.69951084
44.0,2018,CT3101-03-1-L1_01,Crystal Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.",187.38,ACRES,FRESHWATER LAKE,1100002,655.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,15824.0721676844,8162240.69080054
45.0,2018,CT3700-23-1-L1_01,Alexander Lake (Killingly),Dayville section of Killingly.,189.55,ACRES,FRESHWATER LAKE,1100001,21.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,20428.8341881384,8256818.30413313
46.0,2018,CT3200-01-1-L1_01,Halls Pond (Eastford/Ashford),SW corner of Eastford.,83.16,ACRES,FRESHWATER LAKE,1100002,1132.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,No,15866.3436360267,3622364.23149572
47.0,2018,CT3108-02-1-L2_01,"Bolton Lake, Middle (Vernon)",Southeast section of Vernon.,117.2,ACRES,FRESHWATER LAKE,1100002,266.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,14402.0904400297,5105195.54061232
48.0,2018,CT3108-02-1-L3_01,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.",176.46,ACRES,FRESHWATER LAKE,1100002,265.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,14188.1128171674,7686569.5593503
49.0,2018,CT3100-00-3-L1_01,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.",79.49,ACRES,FRESHWATER LAKE,1100002,792.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17987.1309552964,3462805.21049851
50.0,2018,CT3105-00-1-L1_01,Waumgumbaug Lake (Coventry),East - Central Coventry,374.45,ACRES,FRESHWATER LAKE,1100002,3387.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,28780.0565177026,16310861.2067953
51.0,2018,CT3502-07-1-L1_01,Moosup Pond (Plainfield),Northeast section of Plainfield.,89.27,ACRES,FRESHWATER LAKE,1100001,1906.0,48,Inland Surface Waters Class A,X,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,8348.27434824061,3888701.76511075
52.0,2018,CT3108-13-1-L1_01,Columbia Lake (Columbia),NW Columbia,277.28,ACRES,FRESHWATER LAKE,1100002,575.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,21109.907842455,12078446.763889
53.0,2018,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",57.2,ACRES,FRESHWATER LAKE,1100002,3352.0,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,14935.9782480639,2491844.77596168
54.0,2018,CT3600-00-3-L8_01,Hopeville Pond (Griswold),"CT DEEP Hopeville Pond State Park. Impoundment of Pachaug River (DS of Pachaug Pond), Griswold.",106.6,ACRES,FRESHWATER LAKE,1100001,1284.0,49,Inland Surface Waters Class B,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,29443.5258515292,4643768.13889446
55.0,2018,CT3600-00-3-L3_01,Beachdale Pond (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.",37.32,ACRES,FRESHWATER LAKE,1100001,143.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,12065.1074097609,1625623.78754073
56.0,2018,CT3900-00-4-L1_01,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.",58.54,ACRES,FRESHWATER LAKE,1100003,915.0,49,Inland Surface Waters Class B,I,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,13949.1101671157,2549905.95843891
57.0,2018,CT3900-01-1-L1_01,Red Cedar Lake (Lebanon),South corner of Lebanon.,132.92,ACRES,FRESHWATER LAKE,1100003,2368.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,19134.1142548049,5789932.6763013
58.0,2018,CT1002-00-1-L1_01,Green Falls Reservoir (Voluntown),"SE Voluntown, east of Route 49, south of Route 138. Includes CT DEEP swimming area in Pachaug State Forest camping area.",46.15,ACRES,FRESHWATER LAKE,1090005,1075.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,10451.5622689073,2010121.45604685
59.0,2018,CT3906-00-1-L1_01,Gardner Lake (Salem/Montville/Bozrah),"CT DEEP Gardner Lake State Park. At junction of Salem, Montville and Bozrah.",527.29,ACRES,FRESHWATER LAKE,1100003,985.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,30886.4049147694,22968962.6670846
60.0,2018,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.",112.42,ACRES,FRESHWATER LAKE,1100003,33.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,I,INSUFFICIENT INFORMATION,Yes,13730.4604964013,4897161.93134104
61.0,2018,CT3605-00-1-L1_01,Billings Lake (North Stonington),North central North Stonington.,94.88,ACRES,FRESHWATER LAKE,1100001,216.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17083.5185930168,4132840.53157222
62.0,2018,CT3605-01-1-L1_01,Anderson Pond (North Stonington),North central North Stonington,49.18,ACRES,FRESHWATER LAKE,1100001,35.0,48,Inland Surface Waters Class A,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,10054.1435736335,2142210.92544215
63.0,2018,CT3002-04-1-L1_01,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.",45.62,ACRES,FRESHWATER LAKE,1100003,80.0,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,5721.77159239972,1987174.78589208
64.0,2018,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.",98.94,ACRES,FRESHWATER LAKE,1090005,3586.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,13629.450663532,4309780.11882848
65.0,2018,CT3600-00-1-L1_01,Beach Pond (Voluntown/Rhode Island),Eastern border of Voluntown with RI.,407.6,ACRES,FRESHWATER LAKE,1100001,142.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,36181.8914183612,17755106.5457513
66.0,2018,CT3002-06-1-L1_01,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.",91.25,ACRES,FRESHWATER LAKE,1100003,1530.0,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,18330.7087111275,3974740.96645567
67.0,2018,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",339.25,ACRES,FRESHWATER LAKE,1100005,1554.0,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,60747.8782725628,14777856.5875912
68.0,2018,CT2104-00-1-L1_01,Lantern Hill Pond (Ledyard/North Stonington),Border of Ledyard and North Stonington; now part of Mashentucket Reservation.,20.06,ACRES,FRESHWATER LAKE,1100003,1575.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,4067.42272376651,873636.09097816
69.0,2018,CT2205-00-1-L1_01,Powers Lake (East Lyme),"East Lyme, Headwaters of Pataganset River.",146.5,ACRES,FRESHWATER LAKE,1100003,2310.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17778.8646610467,6381745.54169005
70.0,2018,CT6002-00-1-L1_01,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,565.31,ACRES,FRESHWATER LAKE,1100005,3409.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,27835.1513328381,24624742.1440618
71.0,2018,CT6100-04-1-L1_01,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Wood Creek.",147.62,ACRES,FRESHWATER LAKE,1100005,3556.0,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,17293.9645245026,6430413.23414667
72.0,2018,CT6005-00-1-L1_01,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,348.14,ACRES,FRESHWATER LAKE,1100005,3555.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,15376.5147310104,15165031.4594084
