objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
33,2008,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries. Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",6.12085444,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,58735.5333781603,170639628.623612
34,2008,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",4.40852689,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,46023.1439721937,122902676.142884
35,2008,CT-E3_008,"LIS EB Midshore - Old Lyme, CT River","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary near CT River mouth to approximately 1000 ft offshore Hatchett Point, Old Lyme, out to 50 ft contour (offshore of Connecticut River).",3.51738638,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,47590.3354094752,98059104.4931676
36,2008,CT-W1_011,"LIS WB Inner - Saugatuck River, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at RR crossing (DS of I95 crossing), US to saltwater limit at Hydraulic Pond outlet Dam, Westport.",0.18871986,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36982.8585532212,5261207.77923258
37,2008,CT-C1_017,"LIS CB Inner - Oyster River, Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at Oyster River Beach (just DS of New Haven Avenue crossing), US to saltwater limit near Woodmont Road, Milford.",0.0123927,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13934.9533915806,345488.811060252
38,2008,CT-C1_016,"LIS CB Inner - Cove River, West Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at West Haven West Beach (just DS of Ocean Avenue crossing), US to saltwater limit near Riverview Terrace, West Haven.",0.00815046,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,8911.65684078344,227221.790537857
39,2008,CT-E1_012,"LIS EB Inner - Poquonuck River (Mouth), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Poquonuck River from mouth at Baker Cove (along East of Groton-New London Airport), US to saltwater limit just US of RR crossing, Groton.",0.36658811,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,41045.3933202502,10219890.0639634
40,2008,CT-E1_013,"LIS EB Inner - Baker Cove, Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Baker cove from Avery Point and tip of Pine Island, to mouth of Poquonuck River (South of Groton-New London Airport), Groton.",0.31438643,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28487.1170411747,8764590.71257235
41,2008,CT-E1_015-SB,"LIS EB Inner - Thames River (middle), Ledyard","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Thames River from I95 crossing, US to just below outlet of Poquetanuck Cove (near Walden Island), and adjacent to Route 12 at Cardinal Lane intersection, Ledyard.",3.31590894,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,165470.097581137,92442236.0257599
42,2008,CT-E1_020,"LIS EB Inner - Niantic River (mouth), Niantic","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Niantic River (Inner Niantic Bay) from outlet at Route 156 and RR crossing, US to saltwater limit in Banning Cove (between Route 1 crossing and I95/I395), East Lyme/Waterford.",1.30455058,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,68748.1940410612,36368783.0805891
43,2008,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford",0.80513473,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,160562.942934892,22445868.1449313
44,2008,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Crk, all SB water of Harbor area), Bridgeport",1.43415755,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,199178.427272333,39982017.9477789
45,2008,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",0.3180177,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,49916.2431344272,8865824.75693325
46,2008,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",0.03610179,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14199.499641636,1006460.25132272
47,2008,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",0.11354344,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,20584.359403294,3165409.62045516
48,2008,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",0.11298497,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17689.4423605944,3149840.36585975
49,2008,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",0.19115355,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,32641.230842191,5329055.27311996
50,2008,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",0.03099564,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10331.9964637195,864108.868579571
51,2008,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",0.07233047,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13931.7434392543,2016457.98698027
52,2008,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",1.55517546,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,152946.582019049,43355803.5615809
53,2008,CT-E1_027-SB,"LIS EB Inner - Duck River, Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",0.00656988,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,7220.30823167854,183157.772196225
54,2008,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",3.28375584,Not Assessed,Not Assessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,187381.763210123,91545858.8730836
55,2008,CT-C2_019-SB,"LIS CB Shore - New Haven Harbor (West), Milford","See Map for Boundaries. Central portion of LIS from Merwin Point to Oyster River Point area (includes Woodmont Beach, Oyster River outlet), out approximately 1000 ft offshore, Milford.",0.29474798,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,18686.6867463042,8217102.09775337
56,2008,CT-W1_019,"LIS WB Inner - Cos Cob Harbor (upper), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from RR crossing, US to saltwater limit at Mianus River Dam, Route 1 crossing (includes I95 bridge crossing), Greenwich.",0.13155771,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18741.7910472614,3667618.56309681
57,2008,CT-W1_008,"LIS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",0.16784632,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,50701.3364762648,4679287.04699399
58,2008,CT-C1_011,"LIS CB Inner - Farm River, East Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at Route 142 (Short Beach Road), US to saltwater limit above RR crossing and near Route 1, East Haven/Branford.",0.06617114,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,45781.0219088525,1844745.66682275
59,2008,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",0.04725394,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26350.7315293489,1317364.32839152
60,2008,CT-C1_020-SB,"LIS CB Inner - Housatonic River (lower), Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from Route 1 crossing, US to Route 15 crossing (includes Peacock, Carting, Long, Popes, and Fowler Islands, and mouth of Pumpkin Ground Brook) Milford/Stratford.",0.74091911,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,85798.6565892212,20655639.3579372
61,2008,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",3.18194797,Not Assessed,Not Assessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,247663.829781432,88707618.375856
62,2008,CT-C1_008,"LIS CB Inner - Joshua Cove, Beattie Pond, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at outlet into Joshua Cove, US to saltwater limit above Route 146 and RR crossing (includes Beattie Pond), Guilford.",0.1042381,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,24560.9029499239,2905991.46438415
63,2008,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries. Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",0.34953842,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29178.2386357076,9744571.94522925
64,2008,CT-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries. Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.44429914,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,27604.1661395995,12386349.3606052
65,2008,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",5.6394416,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,57646.7166726261,157218608.931288
66,2008,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",2.69189548,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,40337.5174447492,75045739.0451791
67,2008,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",7.40699718,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,88773.6682578699,206495230.394368
68,2008,CT-E1_030,"LIS EB Inner - Hamburg Cove/Eightmile River (mouth), Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Hamburg Cove (Eightmile River from mouth on Connecticut River near Brockway Island, US to saltwater limit adjacent to Cove Road (just South of intersection with Route 156), Essex.",0.1812927,Not Assessed,Not Assessed,Fully Supporting,"Not Evaluated, Natural Conditions Not Viable For Shellfish",18265.9738655041,5054150.63724267
69,2008,CT-W3_010,"LIS WB Midshore - Outer Cove Harbor, Darien","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (off of Long neck Point, outer Cove Harbor, Darien Cove, Scott Cove area), out to 50 ft contour, Darien.",2.11286406,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,38700.8838749336,58903269.493238
70,2008,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries. Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",0.54599814,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,52267.5214991965,15221554.6687621
71,2008,CT-C3_009-I,"LIS CB Midshore - Thimble Islands, Branford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",1.45685837,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,75470.3197500749,40614880.4899732
72,2008,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries. Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",0.37861221,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,39606.805607261,10555102.7738397
73,2008,CT-W1_020,"LIS WB Inner - Indian Harbor (upper), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, upper Indian Harbor (lower portion of Greenwich Creek) from Davis Avenue crossing, US to saltwater limit at West Brother Drive crossing (includes I95 crossing), Greenwich.",0.02460644,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,9582.32452348792,685988.438871483
74,2008,CT-W2_023,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich","See Map for Boundaries. Western portion of LIS from Field Point to Tweed Island (includes Round Island, Tweed Island, Smith Cove, Indian Harbor) out approximately 1000 ft offshore, Greenwich.",0.37430833,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,36286.0095426858,10435117.5662644
