OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MCDName,TotalStructures_072014,LikelyOccupied_072014,PotentiallyVacant_072014,LikelyVacant_072014,VeryLikelyVacant_072014,TotalStructures_112014,LikelyOccupied_112014,PotentiallyVacant_112014,LikelyVacant_112014,VeryLikelyVacant_112014,TotalStructures_052015,LikelyOccupied_052015,PotentiallyVacant_052015,LikelyVacant_052015,VeryLikelyVacant_052015,GlobalID,Shape_STArea__,Shape_STLength__
36,26,163,512200,1013,261635122001013,Block 1013,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4c9c8554-810b-437f-a686-cb6cd75b5bee,89106.9880190161,1190.04155575598
37,26,163,506400,1029,261635064001029,Block 1029,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4a65a356-056c-4c3a-93bc-39ef174926b2,18495.8169110415,739.17625254051
38,26,163,511400,1029,261635114001029,Block 1029,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5a78ce94-abb3-432f-8501-a625f0e53186,22603.813131371,680.257427905463
39,26,163,524900,1042,261635249001042,Block 1042,Detroit,10,8,1,0,1,10,8,1,0,1,10,8,1,0,1,0682118c-5a4e-4032-a3f6-e8e959423802,168712.413900672,1681.26530982441
40,26,163,525400,1001,261635254001001,Block 1001,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19a0785e-d987-407f-a287-4d7b116c2fab,22316.7467815479,738.057732266773
41,26,163,525500,2008,261635255002008,Block 2008,Detroit,9,7,2,0,0,9,7,2,0,0,9,7,2,0,0,84aad1b3-91b3-4357-8d3c-cfc507efd9bf,238143.980998226,2091.92859129421
42,26,163,525400,2011,261635254002011,Block 2011,Detroit,6,4,0,2,0,6,4,0,2,0,6,4,1,1,0,788d17ea-7fe8-4aba-bd4c-c019a2379b7f,181316.552027831,1882.61435183794
43,26,163,525400,2005,261635254002005,Block 2005,Detroit,18,11,3,3,1,18,11,3,3,1,18,11,4,3,0,e8b96576-bb99-4c30-a19c-7f04bb40246f,188963.196757535,1940.38609416206
44,26,163,525400,2014,261635254002014,Block 2014,Detroit,10,8,2,0,0,10,8,2,0,0,10,9,1,0,0,c7aa270d-b0e4-4c25-a974-893843e7ca50,166076.212542084,1765.82461725986
45,26,163,525400,2006,261635254002006,Block 2006,Detroit,15,10,1,1,3,15,10,0,2,3,15,10,0,3,2,beeef845-fad1-44db-96c3-aa3198ce510e,225120.987176956,2043.49219322811
46,26,163,505400,3014,261635054003014,Block 3014,Detroit,14,1,1,7,5,14,1,1,6,6,14,1,1,3,9,ace44fde-bfef-40f6-9efe-7d5d8eb519e9,219793.480420777,2194.47725232017
47,26,163,500400,4013,261635004004013,Block 4013,Detroit,6,1,2,0,3,6,0,3,0,3,6,0,2,1,3,e1be5601-ab42-447a-8529-411ac2437dd4,127854.790679244,1513.91834306717
48,26,163,523100,1050,261635231001050,Block 1050,Detroit,8,6,0,0,2,8,6,0,0,2,8,4,2,0,2,e37e4bf5-8c0a-4a77-a525-3717d37ac301,148828.352351732,1562.95997406275
49,26,163,523100,1051,261635231001051,Block 1051,Detroit,16,10,2,1,3,16,10,2,1,3,16,9,2,1,4,0c99688b-0213-4f16-afcd-a26d87939a75,236618.456689305,2036.58121196419
50,26,163,523100,1047,261635231001047,Block 1047,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0a29b2ab-9bc2-4c08-af4c-a4a145b5c067,249404.850446195,4294.10907587872
51,26,163,537300,4002,261635373004002,Block 4002,Detroit,29,10,2,3,14,29,10,2,1,16,29,10,3,1,15,39b40105-593a-491e-998a-55f9d8ed7edf,314105.691965338,2924.47334441582
52,26,163,537300,4006,261635373004006,Block 4006,Detroit,50,20,7,6,17,50,20,8,5,17,50,24,3,6,17,7cd6fd32-704a-48fa-b7ff-ac4094e3ac81,350938.906383842,3107.50598385187
53,26,163,537300,4008,261635373004008,Block 4008,Detroit,26,15,1,2,8,27,15,1,2,9,27,14,2,3,8,713edba9-ca3e-462d-abfa-1e136c5fb9cd,244445.285070092,2252.94947544479
54,26,163,501500,5002,261635015005002,Block 5002,Detroit,24,11,6,4,3,24,11,6,4,3,24,16,1,5,2,f19158bb-19b7-40b0-b4c8-dcc41aeff5a0,228412.110881541,1906.5810338728
55,26,163,505500,1036,261635055001036,Block 1036,Detroit,4,4,0,0,0,4,4,0,0,0,4,3,1,0,0,e52be483-2dea-4983-9333-b924c164bac2,480263.957765504,3490.25008151304
56,26,163,526000,2018,261635260002018,Block 2018,Detroit,25,22,3,0,0,25,22,3,0,0,25,22,2,1,0,7cf8a141-26aa-4e21-99fd-3d567da190bf,238459.325645097,2195.00853869582
57,26,163,525800,2017,261635258002017,Block 2017,Detroit,15,6,1,4,4,15,6,2,3,4,15,7,3,4,1,daf799b9-17f5-4fc2-9482-391ebd4f6e84,102280.20566563,1284.31238257654
58,26,163,524900,1012,261635249001012,Block 1012,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d4b4a679-2a8b-4eb6-b264-e9047ad59c3d,96388.047642115,3090.63893689677
59,26,163,533900,3046,261635339003046,Block 3046,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1aacccbf-0245-4651-8c15-fa6eb0a82be1,170158.217379037,2579.24295989218
60,26,163,511900,1037,261635119001037,Block 1037,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,57a40a66-0afd-4a98-9032-d86ed51cd84d,72674.8094298494,1563.32947895892
61,26,163,985100,1045,261639851001045,Block 1045,Detroit,3,1,1,0,1,3,1,1,0,1,3,1,1,0,1,ab3ac98a-1c9c-4af8-8471-57eda351f70d,809543.097320206,3817.7610361361
62,26,163,521100,1018,261635211001018,Block 1018,Detroit,7,4,1,1,1,7,4,1,1,1,7,4,1,2,0,d42f3eaa-8a5b-42ec-9806-d7dc4a839118,123222.930242367,1439.39222900426
63,26,163,540100,1010,261635401001010,Block 1010,Detroit,20,15,3,1,1,20,16,1,2,1,20,13,4,3,0,563d0493-2eac-4f7c-b7b1-e2a5572cdb49,182116.460064667,1780.43774724427
64,26,163,514200,2004,261635142002004,Block 2004,Detroit,30,23,2,0,5,30,23,1,1,5,31,20,5,1,5,f8ae8a34-9c25-4198-a4b7-3edc230fdeec,389016.848788143,3313.21854917498
65,26,163,514200,1005,261635142001005,Block 1005,Detroit,27,14,6,3,4,27,15,4,4,4,27,15,5,5,2,8d44fc3d-c5a2-4a78-8868-d4ea1ab03983,300030.028729106,2612.61843200866
66,26,163,515900,3017,261635159003017,Block 3017,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a12a3293-ce7e-4d3e-9888-3ed0d4c0fc06,96541.8794920349,1243.10525505625
67,26,163,516000,4001,261635160004001,Block 4001,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148c91f3-f5ec-4407-990d-408970d291d5,162311.823573407,1682.32125699134
68,26,163,516000,2000,261635160002000,Block 2000,Detroit,16,6,3,0,7,16,5,4,0,7,15,8,0,4,3,01dd1f7c-c78e-4402-9b52-116917a4fffc,173937.181346047,1761.14999880886
69,26,163,516000,2002,261635160002002,Block 2002,Detroit,14,7,3,0,4,14,7,3,0,4,14,8,3,2,1,f925fe44-55be-4580-b15d-36fa755c936d,169919.426327662,1766.3804134437
70,26,163,515200,2003,261635152002003,Block 2003,Detroit,10,5,2,1,2,10,5,2,1,2,10,6,1,0,3,d8616ec5-b063-4c7d-97e4-a4796d18bb22,194050.501839112,2116.6600612228
71,26,163,526200,2003,261635262002003,Block 2003,Detroit,12,5,1,4,2,12,5,1,4,2,12,6,1,4,1,15787a95-afac-436b-8e4b-6528e034c576,155813.887285163,1680.14917880104
72,26,163,526500,1000,261635265001000,Block 1000,Detroit,18,8,2,3,5,18,8,2,1,7,18,9,2,1,6,9ade537f-7ab7-4d45-a031-ea43d67f0102,223199.831037331,2122.48422441571
73,26,163,526300,2004,261635263002004,Block 2004,Detroit,31,14,5,2,10,31,14,5,2,10,31,15,4,3,9,42de94a0-cb1d-4f47-a87e-590f0bf79384,192637.028692781,1958.46245903996
74,26,163,526500,3001,261635265003001,Block 3001,Detroit,35,24,3,2,6,35,24,3,2,6,35,23,4,1,7,dae3829f-02ac-4473-a4f9-46ec8d70f1b3,294087.350106452,2496.24633391206
75,26,163,533400,4013,261635334004013,Block 4013,Detroit,1,0,0,1,0,1,0,0,1,0,2,0,1,1,0,5e6f2457-ff8e-4205-b27c-a34f0549b804,71216.489163037,1092.06053278674
76,26,163,533400,4012,261635334004012,Block 4012,Detroit,35,8,8,12,7,35,8,8,12,7,35,9,7,13,6,bc51c385-167b-4097-9957-9ef689845bb6,366469.802150635,3306.59415159896
77,26,163,516800,1027,261635168001027,Block 1027,Detroit,8,3,1,0,4,8,3,1,0,4,8,2,2,1,3,ecd30912-85e8-4592-893d-e76a0eee48fd,171615.302124609,1754.71229386125
78,26,163,515900,2016,261635159002016,Block 2016,Detroit,9,9,0,0,0,9,9,0,0,0,9,8,1,0,0,1f921372-71d9-4cef-8c14-2f25ee3456bc,149653.962879546,1657.3949917582
79,26,163,515900,1032,261635159001032,Block 1032,Detroit,22,16,1,1,4,22,16,1,1,4,22,13,4,0,5,ca67b8fc-3a7b-4643-b631-70d87fb16fcd,315592.934225587,2769.14554763708
80,26,163,514200,5001,261635142005001,Block 5001,Detroit,30,15,6,3,6,30,15,6,3,6,31,16,6,4,5,31a5a350-f0af-4bed-b507-a08c0600a5c1,278263.858392901,2526.02402654609
81,26,163,515900,1005,261635159001005,Block 1005,Detroit,29,16,5,1,7,29,16,5,1,7,29,18,3,1,7,d5b91229-3acc-4ec4-b555-58a6a92051af,365712.190185147,4257.6351727852
82,26,163,515900,1013,261635159001013,Block 1013,Detroit,15,11,1,1,2,15,11,1,1,2,15,11,1,2,1,674d6285-9369-480c-8c70-38e75055fcdc,115236.174249351,1373.08062059577
83,26,163,515900,1012,261635159001012,Block 1012,Detroit,12,5,2,0,5,12,5,2,0,5,12,5,2,0,5,8efb57c1-baf4-4e08-b552-5c565b1d1100,212797.248455652,2043.16599862904
84,26,163,500800,1003,261635008001003,Block 1003,Detroit,30,26,4,0,0,30,26,4,0,0,30,27,3,0,0,980560f7-3086-4592-9e21-b066bfb6ae5c,190382.41710295,1898.94323791736
85,26,163,500800,1008,261635008001008,Block 1008,Detroit,27,22,2,2,1,27,20,3,2,2,27,20,4,2,1,0fe79ea1-5b2d-4075-8c22-d5f96666c590,179962.492824168,1866.49656256084
86,26,163,500900,1002,261635009001002,Block 1002,Detroit,17,14,1,1,1,17,14,0,1,2,17,14,0,1,2,17f10d8f-be18-4ae8-8f5f-ae29b5d94ee6,173011.553344893,1763.80765825372
87,26,163,501500,5009,261635015005009,Block 5009,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79dcbbfe-b8d0-4792-bdf5-5e4c857461fd,3731.4580051785,367.911911898935
88,26,163,505500,1053,261635055001053,Block 1053,Detroit,4,2,0,1,1,4,2,0,1,1,4,2,0,1,1,d907ca2e-3994-441b-9c0e-5b07814e70e4,135359.642319312,1438.75536762465
89,26,163,501500,2006,261635015002006,Block 2006,Detroit,26,20,3,2,1,26,19,2,4,1,26,20,1,3,2,c6544e7d-62e8-48ae-a036-055633e6e501,185735.444098399,1906.47494313352
90,26,163,540300,4011,261635403004011,Block 4011,Detroit,23,20,1,1,1,23,20,1,1,1,23,20,1,1,1,ddf48fd6-730f-4d0b-8569-2d0cf99aec2c,210993.744844888,1958.65958069495
91,26,163,540400,4005,261635404004005,Block 4005,Detroit,24,17,4,2,1,24,16,4,2,2,24,19,3,2,0,ee4b1ab1-ffa7-419d-84cc-f363508d31c5,193994.582035253,1897.65436476919
92,26,163,540400,4003,261635404004003,Block 4003,Detroit,17,14,1,2,0,17,14,1,2,0,17,14,1,2,0,cfe38b83-3849-4c8c-963c-c0c7aac7d624,210525.318624057,1956.24498976224
93,26,163,540200,3003,261635402003003,Block 3003,Detroit,30,24,4,1,1,30,25,3,1,1,30,25,2,1,2,3b78ea7b-a3bc-47f6-83d3-e89dab19b5e7,183323.451878229,1869.97831709498
94,26,163,538600,5005,261635386005005,Block 5005,Detroit,27,19,4,2,2,27,18,4,4,1,27,22,3,2,0,03573f2e-84c2-404e-b2d8-0ab99d827421,193434.848195304,1898.85113306909
95,26,163,538700,1015,261635387001015,Block 1015,Detroit,33,25,2,5,1,33,25,2,5,1,33,24,1,6,2,ad2c513c-ab07-48ef-92d2-04a5864abe3d,195439.378497403,1917.64627344813
96,26,163,538900,4019,261635389004019,Block 4019,Detroit,22,18,4,0,0,22,17,5,0,0,22,20,2,0,0,d7265476-203a-4f92-83f6-0f2bdff7c843,201094.072577107,1924.80179164541
97,26,163,539000,2008,261635390002008,Block 2008,Detroit,33,25,4,2,2,33,24,4,1,4,32,25,3,2,2,c8ff874a-1d7a-43cc-b8ee-9ca88c8cf44d,394377.029691722,2678.7226284224
98,26,163,538900,2023,261635389002023,Block 2023,Detroit,24,20,2,1,1,24,21,1,1,1,24,22,1,1,0,d8d221a2-a6b4-46bf-9d8b-7563535405cd,200442.145134426,1878.53556636534
99,26,163,501600,1002,261635016001002,Block 1002,Detroit,25,16,2,2,5,25,14,3,3,5,25,15,2,6,2,6809db79-c8d5-41e0-aff6-54ebb2977931,170125.971736083,1788.21033027431
100,26,163,535300,4008,261635353004008,Block 4008,Detroit,37,31,2,3,1,37,30,2,4,1,37,32,2,3,0,c43e0c50-5679-4d07-b65f-ab00b90e9cc1,265885.750062924,2399.91230836442
101,26,163,525000,2049,261635250002049,Block 2049,Detroit,3,2,1,0,0,3,2,1,0,0,3,2,1,0,0,9cd6ec2c-f495-4bdf-bfaf-74947ad93b42,249927.349563755,2037.17446342057
102,26,163,516300,1021,261635163001021,Block 1021,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,8cc8fb25-9daa-48d4-9738-997b4478f0c0,152413.5728249,2233.1215244674
103,26,163,515200,2016,261635152002016,Block 2016,Detroit,31,14,2,5,10,31,15,2,4,10,31,16,3,1,11,f4cfd48d-ee26-4a3a-869d-361362d703d9,269200.190903505,2409.84415595789
104,26,163,515200,1006,261635152001006,Block 1006,Detroit,35,22,3,1,9,35,22,3,2,8,35,22,3,2,8,fd0e38a5-08e0-4a0f-a4e6-d5a8e2b53d9e,274821.551166411,2509.55659621045
105,26,163,537300,2023,261635373002023,Block 2023,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2d744d7d-ee44-45ea-8d21-79fac6416756,60436.8803301,2359.31365890637
106,26,163,545200,4002,261635452004002,Block 4002,Detroit,30,13,5,5,7,30,12,6,5,7,30,13,5,3,9,9af132f7-a78b-4b0c-a76f-bfa6c19fa7c1,285417.609466113,2401.43068669808
107,26,163,538200,1014,261635382001014,Block 1014,Detroit,17,17,0,0,0,17,17,0,0,0,17,17,0,0,0,755fda13-1327-4dbc-8070-f1ca689c23c0,175657.128364644,1875.59798885291
108,26,163,538600,1005,261635386001005,Block 1005,Detroit,33,29,2,1,1,33,29,2,2,0,33,28,4,0,1,cd676121-0680-4699-b97e-754c2e62d21c,201477.631302947,1924.38652588061
109,26,163,538600,1007,261635386001007,Block 1007,Detroit,33,27,3,2,1,33,27,3,2,1,33,25,5,3,0,3049eae5-23a7-4561-9967-5c23de136be2,191448.012156287,1896.55919737136
110,26,163,538400,2006,261635384002006,Block 2006,Detroit,12,12,0,0,0,12,12,0,0,0,12,12,0,0,0,82c8c0f7-e53f-431a-a748-0cee1dd28cc0,225647.946764665,1941.59674111368
111,26,163,538500,1003,261635385001003,Block 1003,Detroit,15,13,1,1,0,15,12,2,1,0,30,24,4,2,0,9941ea6f-2fab-4f22-af03-61e0515a6d20,188312.833169651,1878.99398181082
112,26,163,538500,2006,261635385002006,Block 2006,Detroit,14,8,2,1,3,14,8,0,3,3,26,15,1,5,5,8919d7bc-6e2d-4ec2-a381-c7b812238e0f,189877.489418232,1890.99115768451
113,26,163,538400,3008,261635384003008,Block 3008,Detroit,13,13,0,0,0,13,13,0,0,0,13,13,0,0,0,afd93614-5be5-4017-8ffa-3d81a408ee28,233853.723021767,1985.04734678819
114,26,163,538400,3003,261635384003003,Block 3003,Detroit,24,23,1,0,0,24,23,1,0,0,24,23,1,0,0,bf3d4517-9adf-4bc2-8581-67bd83a6d5e0,216418.833253409,1973.67250656204
115,26,163,535300,4003,261635353004003,Block 4003,Detroit,30,22,3,0,5,30,22,3,0,5,30,22,3,0,5,b8fc8018-a1ac-4899-98c5-b9a883a90894,253293.239138249,2309.99230091949
116,26,163,535300,4001,261635353004001,Block 4001,Detroit,33,28,3,0,2,33,27,4,0,2,33,27,4,1,1,66281cb7-4b88-4b6b-b45d-915a55a1aa25,254815.990803075,2322.43662007336
117,26,163,535300,3005,261635353003005,Block 3005,Detroit,38,27,4,0,7,38,28,3,0,7,38,27,4,0,7,6ffd1fd8-25a9-4bff-832e-3270a2a4516c,266185.329977605,2396.16281439857
118,26,163,543700,1008,261635437001008,Block 1008,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4b77d81c-49a0-420b-8a02-529cff0fa9f9,87603.4242104235,1939.07371380525
119,26,163,543900,2030,261635439002030,Block 2030,Detroit,5,3,0,1,1,5,3,0,1,1,7,3,0,1,3,b43eb11a-93d5-4471-b46f-07f9e97262d6,133868.918631947,1501.23343779934
120,26,163,543900,2012,261635439002012,Block 2012,Detroit,6,5,0,0,1,6,5,0,0,1,6,5,0,0,1,af045243-ed44-409d-b2b4-c317a20da813,85892.3453287082,1190.05476326975
121,26,163,543700,2014,261635437002014,Block 2014,Detroit,28,11,6,2,9,28,11,5,3,9,26,12,3,3,8,ebe1608d-7416-4b14-843c-a9c568db4e67,346811.325154304,2355.30401821447
122,26,163,543900,2013,261635439002013,Block 2013,Detroit,21,3,2,2,14,21,3,2,2,14,20,4,1,1,14,195a029e-74e8-42b0-924e-46bbf11fb999,335142.852061331,2877.64805718344
123,26,163,539300,1014,261635393001014,Block 1014,Detroit,12,8,1,3,0,12,8,1,3,0,12,8,0,4,0,bca09a5f-e78f-467d-878b-5432ae1a55d2,144738.849968592,1686.48105792916
124,26,163,516900,1007,261635169001007,Block 1007,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4f7ba44e-dcf1-44ff-a477-1f037fd7726e,40612.1132851324,1539.69313761533
125,26,163,543700,1017,261635437001017,Block 1017,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b3067348-d4cd-42c5-a3b3-cd4d9fe5e888,133112.262796676,1573.79436351361
126,26,163,546900,1031,261635469001031,Block 1031,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e20ee05e-6f95-4174-8fd4-9d0f493c98c3,54294.5293774956,2254.0646321521
127,26,163,543700,1015,261635437001015,Block 1015,Detroit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e0e3432-b631-4c7f-9fca-e422f265e431,71299.4548486581,2724.1516916991
128,26,163,540500,1018,261635405001018,Block 1018,Detroit,87,72,10,3,2,87,70,11,4,2,87,71,9,5,2,f293839b-1588-4848-924c-5e75ff20f2af,1608322.65827549,5412.3254787394
129,26,163,515400,2010,261635154002010,Block 2010,Detroit,17,15,2,0,0,17,15,2,0,0,17,16,1,0,0,6ea87915-a9f6-48a6-9d85-1afd4ecf12e8,310133.989641447,2286.03328952963
130,26,163,515300,3014,261635153003014,Block 3014,Detroit,14,5,5,2,2,14,4,6,1,3,14,9,2,0,3,2e120ade-5047-4f8a-8702-179b53be998b,323481.468282053,2317.58619391326
131,26,163,516400,1009,261635164001009,Block 1009,Detroit,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,91e7c170-3ea5-4d70-a708-95a46e9d9f12,99722.3755242977,1268.70981989253
132,26,163,515300,2009,261635153002009,Block 2009,Detroit,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,fcf5f314-42ed-4882-9049-b59b8926147c,90344.4816944987,1193.89274193965
