yearvalue,statevalue,county,hai,facilityid,facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted,patientdays
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,3,3.03,36840
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,California Rehabilitation Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.44,22981
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.26,13438
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.05,2407
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,Catalina Island Medical Center,Critical Access Hospital,Critical Access,0,0.0,90
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,Cedars-Sinai Marina Del Rey Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.34,9612
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Centinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",4,1.43,32672
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,"Centinela Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,2222
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,1,2.01,54780
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,3.97,35705
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038.0,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.3,5479
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114.0,College Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.91,14888
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040.0,Community Hospital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",0,0.17,7448
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,DOCS Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.01,336
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053.0,East Los Angeles Doctors Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,0.45,10443
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056.0,Emanate Health Foothill Presbyterian Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.35,11188
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070.0,Emanate Health Inter-Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.9,17610
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Emanate Health Queen of the Valley Hospital,Acute Care Hospital,"Community, >250 Beds",2,1.12,28751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"Emanate Health Queen of the Valley Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1324
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,Encino Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.15,2762
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,"Encino Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1394
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Garfield Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.25,19769
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,"Garfield Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Glendale Memorial Hospital and Health Center,Acute Care Hospital,"Community, >250 Beds",0,0.78,15429
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,"Community, >250 Beds",2,2.14,39221
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Good Samaritan Hospital, Los Angeles, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2779
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,Greater El Monte Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.43,9296
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Henry Mayo Newhall Hospital,Acute Care Hospital,"Community, >250 Beds",1,1.42,22639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,"Henry Mayo Newhall Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1475
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,Hollywood Presbyterian Medical Center,Acute Care Hospital,"Community, >250 Beds",1,1.65,35730
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,"Hollywood Presbyterian Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.04,2357
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,Huntington Hospital,Acute Care Hospital,"Community, >250 Beds",0,3.31,50432
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,"Huntington Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2612
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543.0,"Kaiser Foundation Hospital, Baldwin Park",Acute Care Hospital,Major Teaching,2,0.83,22849
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,"Kaiser Foundation Hospital, Downey",Acute Care Hospital,Major Teaching,1,2.18,39090
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072.0,"Kaiser Foundation Hospital, Los Angeles",Acute Care Hospital,Major Teaching,6,2.99,53345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000050.0,"Kaiser Foundation Hospital, Panorama City",Acute Care Hospital,Major Teaching,0,1.18,19241
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,"Kaiser Foundation Hospital, South Bay",Acute Care Hospital,Major Teaching,3,1.29,25100
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,"Kaiser Foundation Hospital, West LA",Acute Care Hospital,"Community, >250 Beds",0,0.75,21409
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,"Kaiser Foundation Hospital, Woodland Hills",Acute Care Hospital,Major Teaching,1,0.83,18045
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Keck Hospital of USC,Acute Care Hospital,Major Teaching,0,1.25,16245
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,"Keck Hospital of USC, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.01,345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033.0,Kindred Hospital Paramount,Long-Term Acute Care Hospital,Long-Term Acute Care,3,2.0,14998
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144.0,"Kindred Hospital, Baldwin Park",Long-Term Acute Care Hospital,Long-Term Acute Care,3,1.79,13237
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"Kindred Hospital, La Mirada",Long-Term Acute Care Hospital,Long-Term Acute Care,1,1.09,8746
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000088.0,"Kindred Hospital, Los Angeles",Long-Term Acute Care Hospital,Long-Term Acute Care,8,2.15,13981
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000042.0,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care Hospital,Long-Term Acute Care,0,1.5,10168
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000039.0,"Kindred Hospital, South Bay",Long-Term Acute Care Hospital,Long-Term Acute Care,5,1.34,8802
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000035.0,L.A. Downtown Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.34,8608
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000040.0,LAC+USC Medical Center,Acute Care Hospital,Major Teaching,10,6.14,74985
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000027.0,LAC/Harbor UCLA Medical Center,Acute Care Hospital,Major Teaching,2,2.84,37571
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000038.0,LAC/Olive View UCLA Medical Center,Acute Care Hospital,Major Teaching,2,0.9,22172
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000028.0,LAC/Rancho Los Amigos National Rehabilitation Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.39,9270
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000028.0,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.27,14001
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000047.0,Lakewood Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.65,21825
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000085.0,Los Angeles Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.26,6436
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),60000035.0,Martin Luther King Jr. Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.51,20658
