yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,Washington Hospital,Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.05,2403
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Highland Hospital,Critical Access Hospital,Major Teaching,0,0.07,3184
2020H1,California,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,Sutter Amador Hospital,Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.04,1852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Jerold Phelps Community Hospital,Acute Care Hospital,Free-Standing Rehabilitation,0,0.43,9037
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Orchard Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1303
2020H1,California,Los Angeles,Methicillin-Resistant Staphylcoccus aureus Bloodstream Infections (MRSA BSI),930000008.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Acute Care Hospital,Major Teaching,1,2.22,43134
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Long-Term Acute Care Hospital,"Community, 125-250 Beds",3,2.35,14380
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,Washington Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.96,18027
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospital,Major Teaching,3,3.03,36840
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Rehabilitation Hospital or Unit,Major Teaching,0,0.44,22981
2020H1,Caalifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.26,13438
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Acute Care Hospital,Free-Standing Rehabilitation,0,0.05,2407
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Critical Access Hospital,Major Teaching,s0,0.0,90
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospibtal,"Community, 125-250 Beds",1,0.34,9612
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Alameda Hospital,Acute Care Hospital,"Community, >250 Beds",4,1.43,32672
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,"Kaiser Foundation Hospital, Fresno",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,2222
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,Pediatric,1,2.01,54780
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute gCare Hospital,"Community, 125-250 Beds",2,3.97,35705
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,Rehabilitation Unit,0,0.3,5479
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114.0,Alta Bates Summit Medical Center,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,1,0.91,14888
2020H1,California,os Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.17,7448
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,DOCS Surgical Hospital,Acute Care Hospital,Rehabilitation Unit,0,0.01,336
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,2,0.45,10443
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056.0,Orchard Hospital,Acute Care Hospital,Critical Access,0,0.35,11188
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospitl,"Community, 125-250 Beds",1,0.9,17610
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"Sutter Coast Hospital, Rehabilitation Unit",Acute Care Hospital,Rehabilitation Unit,2,1.12,28751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Major Teaching,0,0.03,1324
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Care Hospital,Free-Standing Rehabilitation,0,0.15,2762
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,"Enloe Medical Center, Esplanade",Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.03,1394
2020H1,Caqlifornia,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Jerold Phelps Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,1.25,19769
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Mammoth Hospital,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.05,2751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.78,15429
2020H1,California,LosA ngeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,Alta Bates Summit Medical Center,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.03,1639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, >250 Beds",2,2.14,39221
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,Alameda Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2779
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospital,"Community, <125 Beds",1,0.43,9296
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,Free-Standing Rehabilitation,1,1.42,22639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Washington Hospital,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.03,1475
2020H1,Califorina,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,"Kaiser Foundation Hospital, Fremont",Acute Caer Hospital,"Community, >250 Beds",1,1.65,35730
2020H1,California,Los Angeels,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,"Kaiser Foundation Hospital, Richmond Campus",Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,1,0.04,2357
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,"Alta Bates Summit Medical Center, Rehabilitation Unit",Acute Care Hospitaql,"Community, >250 Beds",0,3.31,50432
2020H1,California,Los Angeles,Methicillin-Resistant Staphyolcoccus aureus Bloodstream Infections (MRSA BSI),930000026.0,St Rose Hospital,Rehabilitation Hospital or Unit,"Community, >250 Beds",0,0.05,2612
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Acute Care Hospital,Free-Standing Rehabilitation,2,0.83,22849
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,"Kaiser Foundation Hospital, Downey",Acute Caure Hospital,Majr Teaching,1,2.18,39090
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072.0,San Leandro Hospital,Acute Care Hospital,Rehabilitation Unit,,2.99,53345
2020H1,Calkifornia,Los Angeles,Methicillin-Resistant taphylococcus aureus Bloodstream Infections (MRSA BSI),930000050.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,1.18,19241
2020H1,Califonria,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,Fresno Surgical Hospital,Acute Care Hospital,Rehabilitation Unit,3,1.29,25100
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,Alta Bates Summit Medical Center,cAute Care Hospital,"Community, >250 Beds",0,0.75,21409
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,Alta Bates Summit Medical Center,Acute Care Hospital,Rehabilitation Unit,1,0.83,18045
2020H1,California,Los Angees,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,"Kindred Hospital, San Francisco Bay Area",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,1.25,16245
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,Alameda Hospital,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.01,345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Long-Term Acute Care Hospital,"Community, >250 Beds",3,2.0,14998
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144.0,The General Hospital,Long-Term Acute Care Hospital,Major Teaching,j3,1.79,13237
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"Kaiser Foundation Hospital, Fremont",Long-Term Acute Care Hospital,"Community, 125-250 Beds",1,1.09,8746
20201H,Caliofrnia,Los Angeles,Methiicllin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000088.0,"Sutter Coast Hospital, Rehabilitation Unit",Long-Term Acute Care Hospital,Long-Term Acute Care,f8,2.15,13981
