420.facilityname,Sierra View Medtical Center,Sierra View Medical Center
202.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Encompass Health Rehabilitation Hospital of Tustin
71.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Barlow Respiratory Hospital
212.hai,Methicillin-Resistant Staphylococcus aaureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
152.infectionsreported,r6,6
157.facilityname,"Kaiser Foundation Hospital, Fresno",Providence Saint John's Health Center
225.yearvalue,0220H1,2020H1
54.hospitalcategoryriskadjustment,Acute Care Hospitaml,Acute Care Hospital
166.facilitytype,Rehabilitation Unit,"Community, >250 Beds"
91.facilityname,"Sutter Coast Hospital, Rehabilitation Unit","Emanate Health Queen of the Valley Hospital, Rehabilitation Unit"
247.hai,Methicillin-Resistanet Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
51.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Providence Redwood Memorial Hospital
173.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, <125 Beds"
253.hai,Methicillin-Resistant Staphylococcus aureus Bloodstraem Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
149.facilitytype,"Community, >250 Beds",Rehabilitation Unit
155.facilitytype,"Community, >250 Beds",Rehabilitation Unit
429.yearvalue,2020Hu1,2020H1
39.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Marshall Medical Center
26.facilityname,Sutter Amador Hospital,Colusa Medical Center
408.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
371.infectionsreported,***,2
298.facilityname,ictor Valley Global Medical Center,Victor Valley Global Medical Center
76.facilitytype,Free-Standing Rehabilitation,"Community, <125 Beds"
182.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Critical Access
33.facilityname,"Kaiser Foundation Hospital, San Leandro","Kaiser Foundation Hospital, Walnut Creek"
107.facilitytype,Free-Standing Rehabilitation,Major Teaching
178.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Kentfield Hospital
227.hospitalcategoryriskadjustment,Acute Care Hospitaxl,Acute Care Hospital
62.hospitalcategoryriskadjustment,Acute Cdare Hospital,Acute Care Hospital
93.facilityname,"Enloe Medical Center, Esplanade","Encino Hospital Medical Center, Rehabilitation Unit"
235.hai,Methicillin-Resistant Stapylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
175.county,Mdera,Madera
274.hospitalcategoryriskadjustment,Acute Care oHspital,Acute Care Hospital
158.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
382.county,SantaClara,Santa Clara
183.hai,Methicillin-Resistant Staphylococus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
122.facilityname,Alta Bates Summit Medical Center,L.A. Downtown Medical Center
20.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Community, <125 Beds"
103.hospitalcategoryriskadjustment,Acute Caer Hospital,Acute Care Hospital
181.facilitytype,"Community, >250 Beds",Critical Access
248.infectionsreported,***,0
280.hospitalcategoryriskadjustment,Acdute Care Hospital,Acute Care Hospital
157.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,"Community, >250 Beds"
168.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,"Community, >250 Beds"
214.infectionsreported,,2
141.facilityname,San Leandro Hospital,"Northridge Hospital Medical Center, Rehabilitation Unit"
198.statevalue,Caslifornia,California
131.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
149.facilityname,Mammoth Hospital,"Palmdale Regional Medical Center, Rehabilitation Unit"
109.facilityname,San Leandro Hospital,"Kaiser Foundation Hospital, Los Angeles"
144.facilityname,"Kindred Hospital, San Francisco Bay Area","PIH Health Hospital, Downey"
258.hospitalcategoryriskadjustment,Acute Cavre Hospital,Acute Care Hospital
280.facilityname,Community Hsopital of San Bernardino,Community Hospital of San Bernardino
59.statevalue,Caligfornia,California
248.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
139.facilityname,Barton Memorial Hospital,Monterey Park Hospital
139.county,Los Angelees,Los Angeles
89.hospitalcategoryriskadjustment,Acute Care Hospitl,Acute Care Hospital
75.facilityname,"Sutter Coast Hospital, Rehabilitation Unit",Casa Colina Hospital
171.hospitalcategoryriskadjustment,Acute Care yHospital,Acute Care Hospital
46.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Major Teaching
185.facilityname,"Kaiser Foundation Hospital, Downey",Modoc Medical Center
97.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Rehabilitation Unit
209.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,"Hoag Memorial Hospital Presbyterian, Rehabilitation Unit"
230.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
14.facilitytype,Major Teaching,Long-Term Acute Care
85.county,os Angeles,Los Angeles
302.hai,Mehicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
169.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Major Teaching
130.facilityname,San Leandro Hospital,Martin Luther King Jr. Community Hospital
426.hospitalcategoryriskadjustment,Acute Cae Hospital,Acute Care Hospital
119.infectionsreported,f8,8
397.county,Solanho,Solano
207.hospitalcategoryriskadjustment,Acute Care Hospitla,Acute Care Hospital
307.facilityname,Palomar Medical Cneter,Palomar Medical Center
164.facilityname,Mammoth Hospital,Southern California Hospital at Hollywood
372.hospitalcategoryriskadjustment,Acute Care Hopsital,Acute Care Hospital
116.facilitytype,"Community, >250 Beds",Long-Term Acute Care
34.facilityname,Alta Bates Summit Medical Center,San Ramon Regional Medical Center
189.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
84.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Community, 125-250 Beds"
170.facilityname,St Rose Hospital,USC Verdugo Hills Hospital
424.statevalue,Calfiornia,California
221.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
300.facilityname,Grossmnot Hospital,Grossmont Hospital
417.hospitalcategoryriskadjustment,Critical Acces Hospital,Critical Access Hospital
332.hospitalcategoryriskadjustment,Acute Care oHspital,Acute Care Hospital
225.hospitalcategoryriskadjustment,Acute Cpare Hospital,Acute Care Hospital
100.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",Greater El Monte Community Hospital
336.county,San Francisoc,San Francisco
111.facilitytype,Rehabilitation Unit,Major Teaching
384.facilitytype,Rehabilitatio Unit,Rehabilitation Unit
70.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Antelope Valley Hospital
331.hai,Methicililn-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
86.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
23.facilitytype,Pediatric,Critical Access
24.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Oroville Hospital
351.hospitalcategoryriskadjustment,Acute Care Hospitoal,Acute Care Hospital
193.hospitalcategoryriskadjustment,Acute Care Hosppital,Acute Care Hospital
202.infectionsreported,,0
330.infectionsreported,***,0
55.yearvalue,20201,2020H1
277.statevalue,alifornia,California
12.yearvalue,020H1,2020H1
110.facilityname,St Rose Hospital,"Kaiser Foundation Hospital, Panorama City"
140.facilityname,"Kindred Hospital, San Francisco Bay Area",Northridge Hospital Medical Center
212.facilityname,"Kaiser Foudnation Hospital, Orange County, Anaheim","Kaiser Foundation Hospital, Orange County, Anaheim"
89.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",Emanate Health Inter-Community Hospital
122.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
278.statevalue,Claifornia,California
397.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectinos (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
210.hospitalcategoryriskadjustment,Acutre Care Hospital,Acute Care Hospital
138.facilityname,"Kaiser Foundation Hospital, Fresno",Monrovia Memorial Hospital
47.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Free-Standing Rehabilitation
137.facilityname,San Leandro Hospital,Mission Community Hospital
90.facilitytype,Rehabilitation Unit,"Community, >250 Beds"
152.hai,Methicillin-Resistant Staphylococcsu aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
119.facilityname,"Sutter Coast Hospital, Rehabilitation Unit","Kindred Hospital, Los Angeles"
294.hospitalcategoryriskadjustment,Acute Car Hospital,Acute Care Hospital
383.hospitalcategoryriskadjustment,Acute sCare Hospital,Acute Care Hospital
161.facilitytype,Free-Standing Rehabilitation,"Community, <125 Beds"
337.statevalue,Caifornia,California
43.facilityname,Alta Bates Summit Medical Center,Fresno Heart and Surgical Hospital
112.facilityname,Alta Bates Summit Medical Center,"Kaiser Foundation Hospital, West LA"
377.facilitytype,Major Teachign,Major Teaching
258.infectionsreported,,0
173.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,West Covina Medical Center
178.facilitytype,"Community, <125 Beds",Long-Term Acute Care
192.facilityname,Highland Hospital,Salinas Valley Memorial Hospital
69.facilityname,Orchard Hospital,"Alhambra Hospital Medical Center, Rehabilitation Unit"
413.facilityname,Oak Valley Hospita District,Oak Valley Hospital District
148.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Palmdale Regional Medical Center
5.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infxections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
127.facilitytype,"Community, <125 Beds",Rehabilitation Unit
414.facilityname,Stanislaus nSurgical Hospital,Stanislaus Surgical Hospital
90.facilityname,"Sutter Coast Hospital, Rehabilitation Unit",Emanate Health Queen of the Valley Hospital
210.hai,Methicillin-esistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
40.facilityname,Alta Bates Summit Medical Center,Clovis Community Medical Center
70.hai,Methicillin-Resistant Staphylcoccus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
79.facilityname,Alameda Hospital,Centinela Hospital Medical Center
65.facilityname,Washington Hospital,Adventist Health Clearlake
305.hospitalcategoryriskadjustment,Acute Care Hopital,Acute Care Hospital
75.statevalue,Caalifornia,California
167.facilitytype,"Community, <125 Beds",Rehabilitation Unit
423.hospitalcategoryriskadjustment,Acute Car Hospital,Acute Care Hospital
179.facilitytype,Free-Standing Rehabilitation,"Community, 125-250 Beds"
159.hai,Methicillin-Resistant Staphylococcus aurues Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
37.facilitytype,"Community, >250 Beds",Rehabilitation Unit
158.facilityname,The General Hospital,Providence Saint Joseph Medical Center
420.county,Tqulare,Tulare
209.facilitytype,ehabilitation Unit,Rehabilitation Unit
420.hospitalcategoryriskadjustment,Acute Care ospital,Acute Care Hospital
138.facilitytype,"Community, <125 Beds",Long-Term Acute Care
24.hospitalcategoryriskadjustment,Aute Care Hospital,Acute Care Hospital
88.facilitytype,Critical Access,"Community, <125 Beds"
342.facilitytype,MajorTeaching,Major Teaching
201.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,College Hospital Costa Mesa
184.facilitytype,Free-Standing Rehabilitation,"Community, 125-250 Beds"
240.yearvalue,20201H,2020H1
43.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Major Teaching
250.statevalue,Califonria,California
64.facilitytype,"Community, <125 Beds",Critical Access
177.facilityname,"Kaiser Foundation Hospital, Fremont","Kaiser Foundation Hospital, San Rafael"
36.facilityname,Alta Bates Summit Medical Center,Sutter Coast Hospital
113.facilitytype,Rehabilitation Unit,Major Teaching
32.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Major Teaching
173.infectionsreported,v0,0
395.hospitalcategoryriskadjustment,Reahbilitation Hospital or Unit,Rehabilitation Hospital or Unit
55.facilitytype,Major Teaching,Critical Access
75.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Free-Standing Rehabilitation
133.facilitytype,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Rehabilitation Unit
398.hospitalcategoryriskadjustment,Acute Care Hosital,Acute Care Hospital
326.facilityname,UC Sn Diego Health Hillcrest,UC San Diego Health Hillcrest
174.facilitytype,Rehabilitation Unit,"Community, >250 Beds"
233.facilityname,West Anahteim Medical Center,West Anaheim Medical Center
413.hospitalcategoryriskadjustment,Acvute Care Hospital,Acute Care Hospital
25.facilityname,"Kaiser Foundation Hospital, Fremont",Mark Twain Medical Center
65.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Critical Access
219.yearvalue,2002H1,2020H1
375.hospitalcategoryriskadjustment,Acutew Care Hospital,Acute Care Hospital
357.facilitytype,"Comunity, <125 Beds","Community, <125 Beds"
286.infectionsreported,***,0
171.facilityname,Highland Hospital,Valley Presbyterian Hospital
142.infectionsreported,***,0
166.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit","St. Mary Medical Center, Long Beach"
55.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Northern Inyo Hospital
197.facilityname,Highland Hospital,AHMC Anaheim Regional Medical Center
96.facilityname,St Rose Hospital,Glendale Memorial Hospital and Health Center
180.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Novato Community Hospital
29.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Major Teaching
83.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
42.facilitytype,"Community, <125 Beds",Rehabilitation Unit
324.yearvalue,200H1,2020H1
314.hai,Methicillin-Resistant Stamphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
241.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
60.facilitytype,Free-Standing Rehabilitation,Major Teaching
78.facilityname,"Alta Bates Summit Medical Center, Rehabilitation Unit",Cedars-Sinai Marina Del Rey Hospital
117.facilityname,The General Hospital,"Kindred Hospital, Baldwin Park"
249.county,Rvierside,Riverside
164.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
388.hospitalcategoryriskadjustment,Acute Care kHospital,Acute Care Hospital
207.facilityname,"Kaiser Foundation Hospital, Richmond Campus",Hoag Hospital Irvine
25.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Critical Access
332.hai,Methicillin-Resistant Staphylococcus aurues Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
379.statevalue,Californai,California
278.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
59.facilitytype,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,"Community, <125 Beds"
339.hospitalcategoryriskadjustment,Acute Care Hgospital,Acute Care Hospital
30.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Rehabilitation Unit
140.facilitytype,Major Taching,Major Teaching
165.statevalue,Califronia,California
126.facilitytype,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,"Community, 125-250 Beds"
118.facilitytype,"Community, 125-250 Beds",Long-Term Acute Care
132.yearvalue,220H1,2020H1
175.facilitytype,Long-Term Acute Care,"Community, <125 Beds"
77.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Catalina Island Medical Center
177.hai,Methiicllin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
386.hospitalcategoryriskadjustment,Acute Cre Hospital,Acute Care Hospital
107.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Kaiser Foundation Hospital, Baldwin Park"
187.facilitytype,Rehabilitation Unit,"Community, >250 Beds"
373.hai,Methicillin-Resistant Staphylcooccus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
174.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
299.yearvalue,220H1,2020H1
288.infectionsreported,***,2
57.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Bakersfield Memorial Hospital
97.county,LosA ngeles,Los Angeles
189.facilityname,Mammoth Hospital,George L. Mee Memorial Hospital
194.facilityname,Jerold Phelps Community Hospital,"Providence Queen of the Valley Medical Center, Rehabilitation Unit"
46.facilityname,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Saint Agnes Medical Center
64.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Ridgecrest Regional Hospital
85.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Community Hospital of Huntington Park
201.statevalue,Cailfornia,California
303.hospitalcategoryriskadjustment,Acutei Care Hospital,Acute Care Hospital
109.facilitytype,Rehabilitation Unit,Major Teaching
42.statevalue,Californa,California
141.infectionsreported,,0
60.facilityname,Fresno Surgical Hospital,Kern Medical Center
176.facilityname,"Kaiser Foundation Hospital, Fremont",Valley Children's Hospital
19.infectionsreported,m2,2
340.facilityname,"St. Mary's Medical Centre, Rehabilitation Unit","St. Mary's Medical Center, Rehabilitation Unit"
120.facilitytype,Major Teaching,Long-Term Acute Care
21.statevalue,Californai,California
236.hospitalcategoryriskadjustment,Acute Care Hospitahl,Acute Care Hospital
208.hospitalcategoryriskadjustment,Acute aCre Hospital,Acute Care Hospital
108.hospitalcategoryriskadjustment,Acute Caure Hospital,Acute Care Hospital
13.infectionsreported,,1
127.facilityname,"Kaiser Foundation Hospital, Fresno","LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit"
274.infectionsreported,j2,2
231.hai,Methicillin-Resistannt Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
146.facilitytype,"Community, 125-250 Beds",Rehabilitation Unit
187.facilityname,"Kaiser Foundation Hospital, San Leandro",Community Hospital of The Monterey Peninsula
315.yearvalue,2002H1,2020H1
228.hospitalcategoryriskadjustment,Acte Care Hospital,Acute Care Hospital
150.facilitytype,Free-Standing Rehabilitation,Major Teaching
420.yearvalue,2002H1,2020H1
199.facilitytype,Free-Standing Rehabilitation,"Community, <125 Beds"
184.statevalue,Califorina,California
288.yearvalue,200H1,2020H1
391.county,Shasat,Shasta
185.facilitytype,"Community, 125-250 Beds",Critical Access
265.hospitalcategoryriskadjustment,cute Care Hospital,Acute Care Hospital
345.hospitalcategoryriskadjustment,Acute Care Hogspital,Acute Care Hospital
262.hospitalcategoryriskadjustment,Acute CareH ospital,Acute Care Hospital
119.hai,Methiicllin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
228.facilityname,Providence St. Jude Medicl Center,Providence St. Jude Medical Center
312.infectionsreported,,0
104.facilityname,"Kaiser Foundation Hospital, Richmond Campus","Hollywood Presbyterian Medical Center, Rehabilitation Unit"
87.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,East Los Angeles Doctors Hospital
154.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Providence Little Company of Mary Medical Center San Pedro
195.facilitytype,Rehabilitation Unit,"Community, <125 Beds"
27.facilityname,Washington Hospital,Contra Costa Regional Medical Center
303.statevalue,Califorina,California
196.facilityname,Alta Bates Summit Medical Center,Tahoe Forest Hospital
121.facilityname,Barton Memorial Hospital,"Kindred Hospital, South Bay"
63.facilityname,St Rose Hospital,Mercy Southwest Hospital
108.facilitytype,Majr Teaching,Major Teaching
104.county,Los Angeels,Los Angeles
324.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
329.hospitalcategoryriskadjustment,Rehambilitation Hospital or Unit,Rehabilitation Hospital or Unit
28.yearvalue,020H1,2020H1
415.hospitalcategoryriskadjustment,Acute Cae Hospital,Acute Care Hospital
231.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
97.facilityname,Alta Bates Summit Medical Center,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit"
30.facilityname,Alta Bates Summit Medical Center,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit"
314.hospitalcategoryriskadjustment,Acute Care Hosptal,Acute Care Hospital
371.hospitalcategoryriskadjustment,AcuteC are Hospital,Acute Care Hospital
422.yearvalue,020H1,2020H1
64.infectionsreported,***,0
74.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,California Rehabilitation Institute
429.county,Venturua,Ventura
312.facilitytype,Pedimatric,Pediatric
273.county,Sn Benito,San Benito
178.hai,Mehicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
204.hospitalcategoryriskadjustment,AcuteCare Hospital,Acute Care Hospital
48.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus",Glenn Medical Center
9.facilityname,Alta Bates Summit Medical Center,Eden Medical Center
221.yearvalue,20201,2020H1
140.hospitalcategoryriskadjustment,Aucte Care Hospital,Acute Care Hospital
387.infectionsreported,o0,0
83.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus",Coast Plaza Hospital
369.hospitalcategoryriskadjustment,Acue Care Hospital,Acute Care Hospital
54.infectionsreported,h0,0
282.hospitalcategoryriskadjustment,Aacute Care Hospital,Acute Care Hospital
155.facilityname,Jerold Phelps Community Hospital,"Providence Little Company of Mary Medical Center San Pedro, Rehabilitation Unit"
327.yearvalue,20o20H1,2020H1
322.facilitytype,Maor Teaching,Major Teaching
226.facilityname,"Providence Mission Hospital, Rehabilidtation Unit","Providence Mission Hospital, Rehabilitation Unit"
41.facilityname,Barton Memorial Hospital,Community Regional Medical Center
135.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Community, >250 Beds"
387.yearvalue,0220H1,2020H1
211.hospitalcategoryriskadjustment,Acut eCare Hospital,Acute Care Hospital
111.facilityname,Fresno Surgical Hospital,"Kaiser Foundation Hospital, South Bay"
188.facilityname,"Kindred Hospital, San Francisco Bay Area","Community Hospital of The Monterey Peninsula, Rehabilitation Unit"
24.yearvalue,20201H,2020H1
117.infectionsreported,j3,3
419.facilityname,Porterville Developemntal Center,Porterville Developmental Center
128.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Lakewood Regional Medical Center
47.statevalue,Califgornia,California
350.hospitalcategoryriskadjustment,Acute Cagre Hospital,Acute Care Hospital
54.facilityname,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,El Centro Regional Medical Center
192.facilitytype,Rehabilitation Unit,"Community, >250 Beds"
380.hai,Methicillin-Resisotant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
118.facilityname,"Kaiser Foundation Hospital, Fremont","Kindred Hospital, La Mirada"
194.statevalue,Califsornia,California
205.facilityname,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Garden Grove Hospital and Medical Center
132.facilityname,Sutter Amador Hospital,MemorialCare Long Beach Medical Center
85.facilitytype,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,"Community, <125 Beds"
292.hospitalcategoryriskadjustment,Critical Access Hospital***,Critical Access Hospital
358.statevalue,Calfornia,California
68.facilitytype,Free-Standing Rehabilitation,"Community, 125-250 Beds"
127.infectionsreported,,0
197.facilitytype,Rehabilitation Unit,"Community, 125-250 Beds"
367.county,Snta Barbara,Santa Barbara
130.facilitytype,Free-Standing Rehabilitation,"Community, 125-250 Beds"
427.hospitalcategoryriskadjustment,Acutoe Care Hospital,Acute Care Hospital
376.yearvalue,0220H1,2020H1
165.facilityname,Fresno Surgical Hospital,St. Francis Medical Center
200.facilitytype,Critical Access,Pediatric
329.infectionsreported,***,0
193.facilityname,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Providence Queen of the Valley Medical Center
163.hai,Methicillin-Resistant taphylococcus aureus Bloodstream Infections (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
359.hospitalcategoryriskadjustment,Acrute Care Hospital,Acute Care Hospital
101.facilityname,"Alta Bates Summit Medical Center, Alta Bates Campus",Henry Mayo Newhall Hospital
298.hospitalcategoryriskadjustment,cAute Care Hospital,Acute Care Hospital
11.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)***,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI)
