2190.mrc,4104-D5,34104-D5
705.namevalue,Flod,Floyd
888.mrc,3117-G8,31107-G8
1399.namevalue,Nicol lLake,Nicoll Lake
2027.mrc,351u08-F8,35108-F8
2046.namevalue,TwinB uttes,Twin Buttes
1267.mrc,3107-E7,35107-E7
879.mrc,3216-G3,32106-G3
510.mrc,6103-H6,36103-H6
1623.namevalue,Rattlesnake Sprikng,Rattlesnake Spring
137.mrc,3109-F2,33109-F2
1171.namevalue,Lookou Mountain,Lookout Mountain
1469.mrc,33107-7F,33107-F7
1076.namevalue,Laguna Del Perro Norteh,Laguna Del Perro North
1753.mrc,34r107-F8,34107-F8
2160.mrc,32103-7E,32103-E7
13.namevalue,Adewn Hills,Aden Hills
1773.namevalue,Sargnt Ranch,Sargent Ranch
975.namevalue,India Peak,Indian Peak
404.namevalue,Chimne yHill,Chimney Hill
2141.mrc,32108-Ew3,32108-E3
1008.namevalue,Jones Cantyon,Jones Canyon
42.mrc,31309-D1,33109-D1
463.mrc,34104A-2,34104-A2
1538.namevalue,Placitsa,Placitas
1800.mrc,351a07-H7,35107-H7
27.mrc,32105H8,32105-H8
1803.mrc,321k04-E4,32104-E4
385.mrc,34180-E5,34108-E5
1739.mrc,32106-6B,32106-B6
1354.namevalue,Moun tBaldy,Mount Baldy
1980.namevalue,Tip Top Canyonn,Tip Top Canyon
1668.namevalue,Rodck Lake,Rock Lake
90.namevalue,Arrooy Chijuillita,Arroyo Chijuillita
525.namevalue,Culbesron Ranch,Culberson Ranch
2090.mrc,33107-4E,33107-E4
1698.mrc,3105-G5,32105-G5
1097.namevalue,Laone Salt Lake,Lane Salt Lake
1763.namevalue,Santac Fe,Santa Fe
790.mrc,351t03-B1,35103-B1
1229.mrc,3410-E4,34106-E4
1527.mrc,3510-8C6,35108-C6
1645.namevalue,Remesa,Redmesa
1468.mrc,3210m4-D8,32104-D8
864.mrc,i33109-B1,33109-B1
869.mrc,31404-F1,34104-F1
303.namevalue,Cann Olguin,Canon Olguin
1599.mrc,3108-B6,32108-B6
1981.mrc,3213-C5,32103-C5
876.mrc,33104g-F2,33104-F2
139.mrc,5102-H8,35102-H8
1798.namevalue,Seto Village,Seton Village
2053.mrc,36018-B7,36108-B7
2171.mrc,3612-B8,36102-B8
349.mrc,33103H1,33103-H1
383.namevalue,Cerro Pelomn,Cerro Pelon
1608.namevalue,Ragcland,Ragland
1101.mrc,34102t-C8,34102-C8
2162.namevalue,Willizamsburg NW,Williamsburg NW
1897.mrc,33106-6A,33106-A6
162.mrc,3110-8F4,31108-F4
1876.namevalue,Springer Laek,Springer Lake
198.mrc,36107-Fd8,36107-F8
1317.namevalue,Mgoollon,Mogollon
1402.namevalue,Nogl,Nogal
2158.namevalue,Wihllard,Willard
542.namevalue,aDlies NW,Dalies NW
698.namevalue,Five Lakes Canyon EN,Five Lakes Canyon NE
86.mrc,c34108-C5,34108-C5
154.mrc,35106-Br8,35106-B8
1252.mrc,2105-A4,32105-A4
1161.namevalue,Loma Creshton,Loma Creston
2151.namevalue,Whitlock Peka,Whitlock Peak
808.mrc,63107-G4,36107-G4
1284.namevalue,esa Sarca,Mesa Sarca
1472.mrc,321v03-A6,32103-A6
1053.namevalue,La ara Peak,La Jara Peak
1596.namevalue,Punta el Chorro,Punta Del Chorro
28.mrc,32105-Go8,32105-G8
1873.namevalue,Spring Carnyon,Spring Canyon
1085.mrc,3606-C6,36106-C6
1355.mrc,36013-E4,36103-E4
604.namevalue,unlap Ranch,Dunlap Ranch
414.mrc,33105-tH5,33105-H5
382.mrc,351a07-E3,35107-E3
1403.mrc,33105-mD7,33105-D7
408.mrc,3307-C5,33107-C5
179.mrc,33107o-C2,33107-C2
2113.namevalue,Wtarous,Watrous
1475.mrc,3310-5B4,33105-B4
822.namevalue,Granjean eWll,Granjean Well
1311.namevalue,Mlinesand SW,Milnesand SW
1307.mrc,31604-A2,36104-A2
821.namevalue,Grnaite Mountain,Granite Mountain
287.mrc,31108-2,31108-D2
1944.mrc,35105-8G,35105-G8
877.mrc,31507-G1,35107-G1
83.mrc,36107-6,36107-G6
1411.mrc,3108-A1,33108-A1
1496.namevalue,Peqcos,Pecos
1915.mrc,63107-B3,36107-B3
1885.mrc,33107-yE3,33107-E3
1139.mrc,33180-B3,33108-B3
644.namevalue,El Rto,El Rito
1235.namevalue,Marmno Ranch,Marmon Ranch
187.mrc,3210d4-B3,32104-B3
620.namevalue,East Gavilan Canyn,East Gavilan Canyon
1219.namevalue,aljamar NE,Maljamar NE
1726.namevalue,San Jyose,San Jose
1637.mrc,341h08-G4,34108-G4
2012.mrc,31605-F8,36105-F8
23.namevalue,Alamo Msea West,Alamo Mesa West
2077.namevalue,Vnaar,Vanar
254.namevalue,uBll Gap SW,Bull Gap SW
1145.namevalue,Loo Hill,Lobo Hill
1837.namevalue,Singer Lke,Singer Lake
855.namevalue,Hackfberry Ranch,Hackberry Ranch
1548.namevalue,Point of Rcks Mesa,Point of Rocks Mesa
186.namevalue,Black Pint,Black Point
1620.namevalue,Rattlesnake Canyzon,Rattlesnake Canyon
1963.mrc,35105-At1,35105-A1
1280.mrc,35107o-H1,35107-H1
2041.namevalue,Turkey RidgeS W,Turkey Ridge SW
1733.mrc,34107i-B1,34107-B1
1302.namevalue,Milagro Spirng,Milagro Spring
603.namevalue,Dunlaop NE,Dunlap NE
1055.mrc,b34106-D8,34106-D8
11.namevalue,Adam Diggings,Adams Diggings
1279.mrc,5104-C5,35104-C5
781.mrc,3610-6C4,36106-C4
1918.namevalue,aTnner Mesa,Tanner Mesa
570.mrc,23106-A1,32106-A1
1682.mrc,34r105-B6,34105-B6
1853.namevalue,sSmouse Mesa,Smouse Mesa
1338.namevalue,Moon Raynch,Moon Ranch
909.namevalue,Hoclman,Holman
1470.mrc,32103A-5,32103-A5
1374.mrc,31503-E1,35103-E1
171.mrc,4102-B8,34102-B8
469.mrc,y36102-C8,36102-C8
1093.namevalue,Lake McMillan Norht,Lake McMillan North
118.namevalue,BandannaPoint,Bandanna Point
983.mrc,33017-D6,33107-D6
683.namevalue,FeltS W,Felt SW
1606.mrc,36103-2,36103-E2
646.namevalue,Eli Valle,El Valle
589.namevalue,ora SW,Dora SW
1986.mrc,35109-2B,35109-B2
313.mrc,3416-F4,34106-F4
1829.namevalue,Sierra Larg aSouth,Sierra Larga South
900.namevalue,Hillsbosro Peak,Hillsboro Peak
1358.mrc,31017-G1,31107-G1
674.mrc,34106-2F,34106-F2
511.mrc,36103-6G,36103-G6
2032.mrc,35103e-A5,35103-A5
737.mrc,36108-iF4,36108-F4
977.namevalue,Indian Peaks Wevst,Indian Peaks West
548.mrc,c36104-F7,36104-F7
1012.namevalue,Juan Largo Canzyon East,Juan Largo Canyon East
658.namevalue,ncino,Encino
1726.mrc,35105D-4,35105-D4
492.namevalue,Cow Sprirngs Mountain,Cow Springs Mountain
1974.mrc,3510o6-A4,35106-A4
989.namevalue,al,Jal
2118.mrc,32w108-D3,32108-D3
230.mrc,5108-D6,35108-D6
1294.namevalue,Mesita Del Gavimlan,Mesita Del Gavilan
1224.mrc,3310-9F1,33109-F1
1286.namevalue,Mescaleor,Mescalero
1845.namevalue,Skull Msea,Skull Mesa
727.namevalue,Four V Rancmh,Four V Ranch
1351.namevalue,Mound Sprngs,Mound Springs
1079.namevalue,Laguna Glatuna NW,Laguna Gatuna NW
2076.namevalue,Van Winkle Lakee,Van Winkle Lake
1556.mrc,3403-C4,34103-C4
2028.mrc,3f6108-C7,36108-C7
1555.namevalue,ePortair,Portair
1037.mrc,36108F3,36108-F3
861.namevalue,Hmapton Ranch,Hampton Ranch
1716.mrc,33106n-H7,33106-H7
755.namevalue,Gallegos Tradin Post,Gallegos Trading Post
802.namevalue,Gold ill,Gold Hill
805.mrc,32106-rF6,32106-F6
490.namevalue,Cow Mouqntain,Cow Mountain
2096.mrc,3410-C2,34109-C2
2173.namevalue,Wire Lanke,Wire Lake
485.mrc,3510-H4,35103-H4
1207.namevalue,Lybrok NW,Lybrook NW
154.namevalue,Benaivdez Ranch,Benavidez Ranch
1651.mrc,35105-6,35105-C6
1755.namevalue,Sand Poidnt,Sand Point
1528.mrc,35109-2G,35109-G2
268.mrc,33103-6,33103-E6
1861.namevalue,Sousec Springs,Souse Springs
730.mrc,32102-8,32102-C8
1086.namevalue,Lagun aSeca,Laguna Seca
1868.namevalue,South Rector Cayon,South Rector Canyon
2110.namevalue,Walnu tWells NE,Walnut Wells NE
1126.mrc,3105-D4,33105-D4
129.mrc,31108-jH6,31108-H6
359.namevalue,Cedar qPoint SE,Cedar Point SE
1508.namevalue,Ppe,Pep
1731.namevalue,San Juan Puelbo,San Juan Pueblo
1856.mrc,36013-D7,36103-D7
87.namevalue,rrosa Ranch,Arrosa Ranch
1249.mrc,3105-F7,35105-F7
1748.mrc,321o03-D4,32103-D4
179.namevalue,Blcak Bluffs,Black Bluffs
1555.mrc,341h03-D3,34103-D3
1602.namevalue,Quees Head,Queens Head
1495.mrc,4103-E8,34103-E8
2105.mrc,3a2108-G7,32108-G7
1239.mrc,3207-D6,32107-D6
1435.namevalue,jo Hedionda,Ojo Hedionda
2060.mrc,3510u8-C5,35108-C5
2127.namevalue,Wheeelr Peak,Wheeler Peak
1442.namevalue,Optiimo,Optimo
1569.mrc,33130-A2,33103-A2
1552.namevalue,Pondeorsa,Ponderosa
845.mrc,361o05-B2,36105-B2
84.namevalue,Archuleta rCreek,Archuleta Creek
870.mrc,p31108-H2,31108-H2
986.namevalue,Islqeta,Isleta
930.namevalue,Horseshoe Bned,Horseshoe Bend
1545.mrc,34103F2,34103-F2
582.mrc,32103-6,32103-G6
520.namevalue,uCb Mountain,Cub Mountain
2080.namevalue,anderwagen Draw,Vanderwagen Draw
1801.namevalue,Sven Lakes NW,Seven Lakes NW
1673.namevalue,Romeo,Romero
876.namevalue,Haysltack Mountain,Haystack Mountain
24.mrc,31205-A6,32105-A6
99.mrc,3310l5-F2,33105-F2
1035.mrc,63104-F1,36104-F1
366.namevalue,eCrro,Cerro
662.namevalue,Engine Mounain,Engine Mountain
2126.namevalue,Whekatland,Wheatland
448.namevalue,Colomr,Colmor
2098.mrc,33n104-C2,33104-C2
898.mrc,33130-A4,33103-A4
1998.mrc,3c6105-E2,36105-E2
1998.namevalue,Touch-MeNot Mountain,Touch-Me-Not Mountain
2010.mrc,3410-7A4,34107-A4
1016.namevalue,Jumping Sring,Jumping Spring
1088.mrc,34108D6,34108-D6
1785.mrc,36130-A1,36103-A1
572.namevalue,Deuvils Well,Devils Well
40.mrc,s37107-A4,37107-A4
1814.namevalue,Saheldon,Sheldon
1945.namevalue,eTtilla Peak,Tetilla Peak
849.mrc,31107-2G,31107-G2
1788.namevalue,Selden Canygon NE,Selden Canyon NE
662.mrc,32109g-D1,32109-D1
1765.namevalue,Sanat Rosa,Santa Rosa
1347.namevalue,Mortn SW,Morton SW
780.mrc,3410-5G2,34105-G2
220.namevalue,Boseque Peak,Bosque Peak
392.namevalue,Chmaa,Chama
2194.namevalue,Yovrk,York
958.namevalue,Huley West,Hurley West
217.mrc,34104-wF6,34104-F6
1041.mrc,351f02-E8,35102-E8
1036.namevalue,Kiowa Hilul,Kiowa Hill
1065.mrc,3615-H7,36105-H7
1601.mrc,32104B-6,32104-B6
74.mrc,3310l5-B6,33105-B6
1135.namevalue,Litlte Black Peak NE,Little Black Peak NE
2121.mrc,31107-Hr7,31107-H7
562.mrc,2107-C7,32107-C7
1383.mrc,f34105-E5,34105-E5
754.namevalue,Gallego sNE,Gallegos NE
1362.namevalue,Mount Wihtington,Mount Withington
262.namevalue,Bunrt Mesa,Burnt Mesa
1026.namevalue,Kremit NW,Kermit NW
1591.mrc,33107-G2***,33107-G2
1379.namevalue,Navaj oPeak,Navajo Peak
293.namevalue,Caal Creek,Canal Creek
1089.namevalue,ake Isabel,Lake Isabel
1414.namevalue,Norees NW,Notrees NW
537.namevalue,Cuter,Cutter
1512.mrc,3210e3-A7,32103-A7
1737.namevalue,San pMarcial,San Marcial
453.mrc,3110-7G5,31107-G5
715.namevalue,Frot Bliss NE,Fort Bliss NE
175.namevalue,Btisti Trading Post,Bisti Trading Post
2047.mrc,3508-F7,35108-F7
36.namevalue,Alier,Alire
704.namevalue,aFlorida Gap,Florida Gap
580.namevalue,Dvine Lake,Divine Lake
1463.mrc,32105-jB7,32105-B7
1707.mrc,35013-F7,35103-F7
1638.namevalue,Red Llake SE,Red Lake SE
1464.namevalue,Owl Tank Canoyn West,Owl Tank Canyon West
1222.namevalue,Malpie Mwountain,Malpie Mountain
746.namevalue,Gacho Hll SE,Gacho Hill SE
1815.mrc,33108g-B5,33108-B5
451.namevalue,Columbsu,Columbus
1744.mrc,351m07-A8,35107-A8
1772.mrc,33014-D1,33104-D1
1533.namevalue,Puinon Hills,Pinon Hills
249.namevalue,Buffaloq Springs,Buffalo Springs
369.mrc,31105w-H8,31105-H8
789.mrc,3610-D8,36103-D8
423.mrc,35180-D4,35108-D4
774.mrc,3403-E3,34103-E3
1253.namevalue,Mcilliams Canyon,McWilliams Canyon
1009.mrc,35108-nC8,35108-C8
1589.namevalue,Pueorco Dam,Puerco Dam
1725.mrc,35103x-B4,35103-B4
1680.namevalue,Roswelol North,Roswell North
443.mrc,36103-5H,36103-H5
1479.mrc,6104-E1,36104-E1
42.namevalue,Alma Mensa,Alma Mesa
1010.namevalue,Juordan,Jordan
1713.mrc,35108-8E,35108-E8
687.mrc,36130-G5,36103-G5
1781.mrc,3104-H1,31104-H1
901.mrc,v31108-D5,31108-D5
1922.namevalue,Taosl SW,Taos SW
1655.namevalue,Rice Rach,Rice Ranch
2099.mrc,3504-F1,35104-F1
177.mrc,33104-D4***,33104-D4
43.namevalue,lApine,Alpine
517.mrc,33108-G6***,33108-G6
1501.mrc,43105-G6,34105-G6
1044.namevalue,Kridr,Krider
1958.namevalue,The Volcandoes,The Volcanoes
1154.namevalue,Loco iHlls,Loco Hills
2099.namevalue,Waggoner aRnch,Waggoner Ranch
1857.mrc,31504-G1,35104-G1
1032.namevalue,King Capm,King Camp
860.mrc,31403-E4,34103-E4
128.namevalue,Bay Bucik Peaks,Bay Buck Peaks
599.mrc,3105-H8,33105-H8
819.namevalue,Grandmother Moutnain East,Grandmother Mountain East
1624.namevalue,Raydo,Rayado
397.mrc,35014-G7,35104-G7
953.mrc,2103-G1,32103-G1
1387.namevalue,Nelson Canyonn West,Nelson Canyon West
2117.namevalue,WeltyHill,Welty Hill
1813.namevalue,Sheeppen Canyno,Sheeppen Canyon
1582.namevalue,rogresso SW,Progresso SW
2164.mrc,33108B-8,33108-B8
1334.mrc,32103l-F3,32103-F3
1250.namevalue,McLaughlin Briydge,McLaughlin Bridge
220.mrc,31406-G4,34106-G4
1159.mrc,53103-D4,35103-D4
1120.namevalue,dLewis Peak,Lewis Peak
1047.mrc,3314-D2,33104-D2
1758.mrc,3h5106-B3,35106-B3
868.mrc,3105-H4,33105-H4
244.namevalue,Buckeye oNW,Buckeye NW
1256.mrc,36106B2,36106-B2
1760.mrc,36108D-8,36108-D8
1455.namevalue,Osha Mountani,Osha Mountain
1018.namevalue,Kansas Valley ake,Kansas Valley Lake
674.namevalue,wing,Ewing
526.namevalue,Culebrca Peak,Culebra Peak
2194.mrc,2109-H2,32109-H2
991.namevalue,Jal W,Jal NW
1529.mrc,3316-G2,33106-G2
861.mrc,3510w3-D6,35103-D6
1500.mrc,p36103-A4,36103-A4
1546.mrc,34103-Ck1,34103-C1
1930.mrc,3610-4C4,36104-C4
1861.mrc,32017-E2,32107-E2
2055.mrc,3110b8-E4,31108-E4
1891.mrc,63104-B5,36104-B5
1781.namevalue,ScrewBean Draw NE,Screw Bean Draw NE
1901.mrc,31404-E4,34104-E4
219.namevalue,Borrepgo Pass,Borrego Pass
396.namevalue,Cherokee Vallye,Cherokee Valley
117.namevalue,Bancos Mesal NW,Bancos Mesa NW
1017.namevalue,Klansas Valley,Kansas Valley
971.mrc,33104-7A,33104-A7
2101.mrc,3604-A6,36104-A6
1454.namevalue,Osgcura Peak,Oscura Peak
1923.namevalue,Tapia Rnach,Tapia Ranch
396.mrc,35013-F3,35103-F3
111.namevalue,Atzec,Aztec
1167.namevalue,Loen Wolf,Lone Wolf
1191.mrc,36109-2,36109-B2
1840.mrc,32104u-G7,32104-G7
1992.namevalue,Toem NE,Tome NE
327.namevalue,Calrsbad East,Carlsbad East
1991.mrc,4106-F6,34106-F6
932.mrc,3s5107-F6,35107-F6
1741.mrc,35106-mH8,35106-H8
1343.mrc,3410w8-E7,34108-E7
1190.namevalue,Lower Colnias,Lower Colonias
326.mrc,3210-4B4,32104-B4
2154.namevalue,Wild Hrse Canyon,Wild Horse Canyon
353.mrc,3410-9G1,34109-G1
1297.mrc,o36104-D7,36104-D7
838.namevalue,Grouse Mountian,Grouse Mountain
188.mrc,33104D-7,33104-D7
1923.mrc,34105-1G,34105-G1
328.mrc,3214-D3,32104-D3
1431.mrc,36106-1C,36106-C1
824.mrc,3k5107-B7,35107-B7
1153.mrc,4104-C8,34104-C8
1053.mrc,3107-D3,34107-D3
787.mrc,3310-C2,33103-C2
1833.namevalue,Silveru City,Silver City
865.namevalue,Hardcrabble Mountains,Hardscrabble Mountains
71.mrc,6106-F7,36106-F7
1497.mrc,3510d5-H5,35105-H5
233.mrc,34103G-2,34103-G2
1570.mrc,3103-B1,33103-B1
1766.mrc,5106-E3,35106-E3
1126.namevalue,Lincolcn,Lincoln
87.mrc,34170-H8,34107-H8
870.namevalue,Hat Top ountain,Hat Top Mountain
1966.namevalue,Thorn lWell,Thorn Well
1725.namevalue,San on NW,San Jon NW
1024.namevalue,Kenton W,Kenton SW
1978.mrc,5107-G3,35107-G3
1960.namevalue,Thimbel Canyon,Thimble Canyon
1204.mrc,331e09-G1,33109-G1
1686.mrc,31304-G7,33104-G7
1194.mrc,341e05-F7,34105-F7
1409.namevalue,Notrh Peak,North Peak
61.namevalue,Anteolpe Lookout Mesa,Antelope Lookout Mesa
1712.mrc,31308-F3,33108-F3
1661.mrc,3406-G8,34106-G8
1070.mrc,3610y8-A2,36108-A2
1167.mrc,33130-F7,33103-F7
890.namevalue,eHrnandez Lake,Hernandez Lake
1025.mrc,3510-3F2,35103-F2
1463.namevalue,Owl ank Canyon East,Owl Tank Canyon East
364.mrc,33108-H7***,33108-H7
382.namevalue,Cerr oParido,Cerro Parido
974.namevalue,Indian Meas,Indian Mesa
1525.namevalue,Pine Lae,Pine Lake
1838.mrc,3210-D5,32105-D5
195.mrc,33103-1F,33103-F1
757.namevalue,Gallinas dPeak,Gallinas Peak
2153.mrc,341h09-H2,34109-H2
1810.namevalue,Shee Draw,Sheep Draw
1152.namevalue,Loco Canykon,Loco Canyon
1242.namevalue,aMxwell,Maxwell
305.namevalue,Cano Plaza,Canon Plaza
1947.mrc,36103-1D,36103-D1
781.namevalue,Ghost Rnach,Ghost Ranch
1147.namevalue,obo Hill SE,Lobo Hill SE
998.namevalue,emez Springs,Jemez Springs
1339.mrc,7108-A5,37108-A5
1619.namevalue,vRattlesnake,Rattlesnake
719.namevalue,Fort Santon,Fort Stanton
55.namevalue,Angel Drayw,Angel Draw
99.namevalue,Arroyo Serhrano West,Arroyo Serrano West
566.namevalue,Derrick Darw,Derrick Draw
2162.mrc,3310b7-B4,33107-B4
1517.namevalue,Piedra De yLa Aguila,Piedra De La Aguila
2024.namevalue,Trujilo Camp,Trujillo Camp
1161.mrc,31506-E5,35106-E5
1790.mrc,3610-F2,36103-F2
61.mrc,3510z8-G2,35108-G2
467.namevalue,Copperas Peafk,Copperas Peak
2087.namevalue,Vesruee,Vesrue
1502.namevalue,Pedro Miguelw Peak,Pedro Miguel Peak
77.namevalue,ragon,Aragon
80.namevalue,Arch Msea,Arch Mesa
1475.namevalue,Pajarrita Mountain,Pajarita Mountain
1380.mrc,5104-B3,35104-B3
1658.mrc,3210-F1,32107-F1
307.mrc,36106-4B,36106-B4
2030.namevalue,Tucson Sprring,Tucson Spring
1326.namevalue,Monqica Saddle,Monica Saddle
842.namevalue,sGuadalupe Pass,Guadalupe Pass
1873.mrc,331w08-D1,33108-D1
104.mrc,3105-G7,35105-G7
763.namevalue,Gallpu West,Gallup West
916.mrc,3210-H5,32104-H5
1838.namevalue,Sixteenz Canyon,Sixteen Canyon
1863.namevalue,South Butet,South Butte
2138.namevalue,Whitef Sands,White Sands
768.mrc,36103-yB5,36103-B5
2121.namevalue,Wes tLime Hills,West Lime Hills
148.namevalue,Belne SW,Belen SW
93.namevalue,rAroyo Del Alamo,Arroyo Del Alamo
2081.mrc,3514-D4,35104-D4
1628.mrc,2104-A1,32104-A1
149.namevalue,Bll Lake,Bell Lake
2166.namevalue,Wind aMesa,Wind Mesa
2063.namevalue,Uraniubm Spring,Uranium Spring
141.mrc,4106-C6,34106-C6
60.mrc,31208-D1,32108-D1
695.namevalue,irman Canyon,Firman Canyon
800.mrc,33105-yD8,33105-D8
2037.namevalue,TuleLake,Tule Lake
1084.namevalue,Lagua Ortiz,Laguna Ortiz
1147.mrc,31405-G7,34105-G7
731.namevalue,Fernch,French
1157.namevalue,Log Caynon,Log Canyon
1368.namevalue,MuleCreek,Mule Creek
432.namevalue,Clwaunch SE,Claunch SE
44.mrc,36k103-H8,36103-H8
1543.mrc,z34103-E1,34103-E1
1527.namevalue,Pnehaven,Pinehaven
866.namevalue,arriet Ranch,Harriet Ranch
1739.namevalue,San Mgiuel,San Miguel
1550.namevalue,Polect Tank,Polecat Tank
1300.mrc,31207-A7,32107-A7
239.mrc,3410-F5,34107-F5
2040.namevalue,Turey Ridge NE,Turkey Ridge NE
1736.mrc,3110g8-D6,31108-D6
2137.namevalue,White Rogck,White Rock
1243.mrc,32105H-4,32105-H4
365.mrc,3103-G2,35103-G2
710.mrc,3313-E5,33103-E5
1893.mrc,33106-5,33106-A5
183.mrc,3c2106-B7,32106-B7
813.namevalue,nGould Pass,Gould Pass
311.mrc,e33108-D3,33108-D3
2075.namevalue,Van Brememr Park,Van Bremmer Park
942.namevalue,Huco Tanks,Hueco Tanks
300.namevalue,Cnaon Colorado,Canon Colorado
204.mrc,331t07-F4,33107-F4
1871.namevalue,Spadling,Spalding
1615.mrc,36150-C5,36105-C5
1824.namevalue,Sierra lta,Sierra Alta
2018.namevalue,Trinity iSte,Trinity Site
2029.mrc,36103-Hy3,36103-H3
101.namevalue,Arteia,Artesia
894.namevalue,Higginbuotham,Higginbotham
95.namevalue,Arroy oHondo,Arroyo Hondo
1522.mrc,36140-E2,36104-E2
1357.namevalue,Moun Riley,Mount Riley
1063.namevalue,LaR endija,La Rendija
1491.namevalue,Patsura SE,Pastura SE
1380.namevalue,Neafus aRnch,Neafus Ranch
1353.mrc,3210h7-A2,32107-A2
1799.namevalue,Seven Lxakes,Seven Lakes
