namevalue,lat(double precision),long(double precision),mrc
Bancos Mesa,36.875,-107.25,36107-H3
Bancos Mesal NW,36.875,-107.375,36107-H4
BandannaPoint,32.25,-104.5,32104-C5
Bar C Bar Ranch,33.125,-104.125,33104-B2
Bar Y Ranch,35.125,-104.625,35104-B6
Bard,35.125,-103.125,35103-B2
Barela,37.0,-104.25,37104-A3
Barn Draw,33.5,-104.625,33104-E6
Barth Well,34.875,-109.0,34109-H1
Bascom Camp,35.25,-103.625,35103-C6
Basijn Well,32.875,-104.0,32104-H1
assett Lake,32.0,-105.75,32105-A7
Bay Bucik Peaks,33.75,-107.5,33107-G5
Beacon Hill,31.875,-108.625,31108-jH6
Bear Mountain,33.0,-108.75,33108-A7
Bear Mountain,33.5,-109.125,33109-E2
Bear Peak,32.5,-106.5,32106-E5
Bear Spring,32.625,-105.5,3205-F5
Bear Springs Peak,35.625,-106.5,35106-F5
Bearwallow Mountain,33.375,-108.625,33108-D6
Beaver Canyon,35.875,-104.25,35104-H3
Beaverhead,33.625,-109.125,3109-F2
Becenti Lake,35.75,-108.0,35108-G1
Beck Ranch,35.875,-102.875,5102-H8
Becker,34.375,-106.5,34106-D5
Becker SW,34.25,-106.625,4106-C6
Beclabito,36.75,-109.0,36109-G1
Bedford Hill,35.0,-103.375,35103-A4
Beenham,36.125,-103.625,36103-B6
Beenham SW,36.0,-103.625,36103-A6
Belen,34.625,-106.75,34106-F7
Beslen NW,34.625,-106.875,34106-F8
Belne SW,34.5,-106.875,34106-E8
Bll Lake,32.125,-103.5,32103-B5
Bell Mountain,33.0,-107.5,33107-A5
Bell Peak,33.875,-108.25,33108-H3
Bell Ranch,35.5,-104.0,35104-E1
Belliew,34.75,-103.0,34103-G1
Benaivdez Ranch,35.125,-106.875,35106-Br8
Bnnett Mountain,32.5,-106.375,32106-E4
Bernalillo,35.25,-106.5,35106-C5
Bernalillo NW,35.375,-106.625,35106-D6
Bethel,34.125,-103.375,34103-B4
Bible Top Butte,36.5,-103.25,36103-E3
Big Costilla Peak,36.875,-105.25,36105-H3
Big Gyp Mountain,33.25,-106.625,33106-C6
Big Hatchet Peak,31.625,-108.375,3110-8F4
Big Heiser Tank,31.875,-105.625,31105-H6
Big Hole Canyon,37.0,-102.875,37102-A8
Big Lue Mountains,33.0,-109.0,33109-A1
Big Rock Hill,35.625,-108.625,35108-F6
Big Sinks,32.125,-103.75,32103-B7
Bigbee Draw,34.25,-106.125,34106-C2
Bighorn Peak,36.875,-106.125,36106-H2
Billy Rice Canyon,36.25,-107.125,36107-C2
Birdwell Ranch,34.125,-102.875,4102-B8
Bisbee Hills,32.0,-107.875,32107-A8
Bishop Cap,32.125,-106.5,32016-B5
Bishop Ranch,34.125,-106.375,34106-B4
Btisti Trading Post,36.25,-108.25,3108-C3
Bitter Creek,33.125,-106.125,33106-B2
Bitter Lake,33.375,-104.375,33104-D4***
Bixler Ranch,36.75,-107.125,36107-G2
Blcak Bluffs,33.25,-107.125,33107o-C2
Black Butte,34.375,-106.625,34106-D6
Black Canyon,36.375,-103.375,36103-D4
Black Hiyll,33.5,-107.125,33107-E2
Black Mesa,32.125,-106.75,3c2106-B7
Black Moutain,33.375,-108.125,33108-D2
Bhlack Peak,34.0,-108.75,34108-A7
Black Pint,31.375,-108.875,31108-D8
Black River Village,32.125,-104.25,3210d4-B3
Blackwater Hill,33.375,-104.75,33104D-7
Blaines Lake,34.25,-108.75,31408-C7
Blakemore Well,33.5,-106.625,33106-E6
Blanco,36.625,-107.75,36107-F7
Blanco Trading Post,36.25,-107.75,36107-C7
Bland,35.75,-106.375,35106-G4
Bledsoe,33.5,-103.0,33103-E1
Bledsoe NE,33.625,-103.0,33103-1F
Bledsoe vSW,33.5,-103.125,33103-E2
Blind Gap,36.625,-103.5,36103-F5
Bolomfield,36.625,-107.875,36107-Fd8
Blue,33.5,-109.0,33109-E1
Blue Hills,34.375,-108.125,34108-D2
Blue Hole,35.25,-103.125,35103-C2
Blue Mesa,34.75,-107.625,34107-G6
Blue Mountain,32.0,-109.125,32109-A2
Blue Mountain,33.625,-107.375,331t07-F4
Bluewater,35.25,-107.875,35107-C8
Bluff Springs,32.75,-105.625,32105-G6
Bluit,33.625,-103.125,33103-F2
Boiler Gap,36.625,-103.375,36103-F4
Boiling Over Well,36.625,-109.125,36109-F2
Bond Draw,32.125,-104.125,32104-B2
Bondad Hill,37.0,-107.75,37107-A7
Bonine Canyon,34.5,-107.875,34107-E8
Bonner Canyon,33.125,-107.875,33107-B8
Bonner Lake,34.25,-104.125,34104-C2
Bookout Ranch,35.25,-104.25,35104-C3
Bootleg Ridgte,32.25,-103.625,32103-C6
Borica,34.625,-104.625,34104-wF6
Borica SW,34.5,-104.625,34104-E6
Borrepgo Pass,35.5,-107.875,35107-E8
Boseque Peak,34.75,-106.375,31406-G4
Bottomless Lakes,33.25,-104.25,33104-C3
Bovina,34.5,-102.875,34102-E8
Bowlin Ranch,32.125,-107.75,32107-B7
Box Canyon Ranch,32.5,-104.625,32104-E6
Box Lake,33.75,-105.375,33105-G4
Branson,37.0,-103.875,37103-A8
Branson SE,37.0,-103.75,3103-A7
Brazos,36.75,-106.5,36106-G5
Brazos Peak,36.75,-106.375,36106-G4
Bread Springs,35.375,-108.625,5108-D6
Brinson Ranch,32.5,-102.875,32102-E8
Briscoe Ranch,35.0,-103.75,35103-A7
Broadview,34.75,-103.125,34103G-2
Brockman,32.0,-108.375,32108-A4
Broke Off Mountain,36.75,-106.125,36106-G2
Broken Back Crater,33.75,-106.0,33106-G1
Bronco,33.25,-103.0,33103-C1
Bronhco NE,33.375,-103.0,33103-D1
Broom Mountain,34.625,-107.5,3410-F5
Brunson Ranch,31.875,-103.375,31103-H4
Brushy Muntain,32.75,-108.625,32108-G6
Buckdeye,32.75,-103.5,32103-G5
Buckeye NE,32.875,-103.5,32103-H5
Buckeye oNW,32.875,-103.625,32103-H6
Buckhorn,33.0,-108.625,33108-A6
Buell Park,35.875,-109.0,35109-H1
Bueyeros,35.875,-103.625,35103-H6
Bueyeros NE,35.875,-103.5,35103-H5
Buffaloq Springs,35.625,-103.625,35103-F6
Bug Scuffle Canyon,32.625,-105.75,32105-F7
Bull Basin,33.625,-108.875,33108-F8
Bull Canyon,35.375,-105.75,35105-D7
Bull Gap,33.5,-106.0,33106-E1
uBll Gap SW,33.5,-106.125,33106-E2
Bmullard Peak,32.625,-108.5,32108-F5
Bulldog Mesa,35.0,-103.625,35103-A6
Bullis Sprnig Ranch,32.5,-105.0,32105-E1
Burned Mountain,36.625,-106.125,36106-F2
Burned Timber Canyon,35.125,-108.5,35108-B5
Burnham Trading Post,36.25,-108.375,36108-C4
Burnt Corral Canyon,33.25,-108.125,33108-C2
Bunrt Mesa,36.875,-107.5,36107-H5
Burro Lake,34.625,-105.0,34105-F1
Burro Peak,32.5,-108.375,32108-E4
Bustos Well,34.0,-106.625,34106-A6
Button Mesa NE,33.625,-103.5,33103-F5
Button Mesa North,33.625,-103.625,33103-F6
Button Mesa South,33.5,-103.625,33103-6
C And L Draw,31.875,-105.25,31105-H3
C Bar Ranch,32.375,-108.375,32108-D4
C-N Lake,33.875,-107.75,33107-H7
Cabalol,32.875,-107.25,32107-H3
Cabezon Peak,35.5,-107.0,35107-E1
Cabin Wells,31.5,-108.125,31108-E2
Cabra Hill,35.25,-104.625,35104-C6
Cactuso Tank,35.25,-104.75,35104-C7
Cal Ship Mesa,34.25,-107.75,34107-C7
Caliente Canyon North,36.875,-104.75,36104-H7
Caliente Canyon South,36.75,-104.75,36104-G7
Camaleon Draw East,34.25,-105.25,34105-C3
Camaleon Draw West,34.25,-105.375,34105-C4
Cambray,32.125,-107.25,32107-B3
Camel Mountain,31.75,-107.25,31107-G3
Cammak Camp,35.375,-103.125,35103-D2
Campana,35.5,-103.875,35103-E8
Campbell,33.5,-104.125,33104-E2
Campbell Well,31.375,-108.125,31108-2
Canada,35.625,-106.375,35106-F4
Canada Calladita,35.625,-107.25,35107-F3
Canada Colorado,34.75,-104.25,34104-G3
Canada Ojitos,36.375,-106.875,36106-D8
Canador Peak,32.625,-108.875,32108-F8
Caal Creek,36.875,-108.75,36108-H7
Candy Mesa,34.5,-104.0,34104-E1
Canjilon,36.375,-106.375,36106-D4
Canjilon Mountain,36.5,-106.25,36106-E3
Canjilon SE,36.25,-106.25,36106-C3
Canon Agua Buena,33.875,-106.625,33106-H6
Canon Ancho,35.75,-104.5,35104-G5
Cnaon Colorado,36.0,-104.375,36104-A4
Canon Encierro,35.75,-104.25,35104-G3
Canon Las Cuevas,35.875,-104.375,35104-H4
Cann Olguin,35.5,-104.5,35104-E5
Canon Pedroso,35.625,-104.75,35104-F7
Cano Plaza,36.5,-106.125,36106-E2
Canoncito School,35.0,-107.0,35107-A1
Canones,36.125,-106.375,36106-4B
Cantaralo Spring,34.625,-108.875,34108-F8
Canteen Canyon,33.0,-108.5,33108-A5
Canutillo,31.875,-106.5,31106-H5
Canyon Creek Mountains,33.375,-108.25,e33108-D3
Canyon iHll,33.0,-108.375,3108-A4
Capilla Peak,34.625,-106.375,3416-F4
Capitan,33.5,-105.5,33105-E5
Capitn Pass,33.5,-105.375,33105-E4
Capitan Peak,33.5,-105.25,33105-E3
Capitol Dome,32.125,-107.625,32107-B6
Capitol Peak,33.375,-106.375,33106-D4
Capitol Peak SE,33.25,-106.25,33106-C3
aprock,33.375,-103.625,33103-D6
Cafprock Mountain,32.5,-108.75,32108-E7
Captain Davis Mountain,35.25,-106.0,35106-C1
Capulin,36.625,-103.875,36103-F8
Car Top Butte,36.125,-103.375,36103-B4
Carbon Springs,34.25,-107.125,34107-C2
Carlsbad Caverns,32.125,-104.375,3210-4B4
Calrsbad East,32.375,-104.125,32104-D2
Carlsbad West,32.375,-104.25,3214-D3
Canrne,32.25,-107.5,3210h7-C5
Carnero Peak,32.25,-104.375,32104-C4
Carpenter Mesa NW,35.375,-103.875,3510r3-D8
Carpenter Mesa SW,35.25,-103.875,35103-C8
Carracas,37.0,-107.25,37107-A3
Carracas Canyon,36.875,-107.125,36107-H2
Carrisito Spring,34.5,-109.0,34109-E1
Carirzozo East,33.625,-105.75,33105-F7
Carrizozo West,33.625,-105.875,33105-F8
Carson,36.25,-105.75,36105-C7
Carson Trading Post,36.375,-108.0,36108-D1
Casa Colorada,34.5,-106.625,34106-E6
Casa Grande,36.875,-104.875,36104-H8
Casa Grande SW,36.75,-104.875,36104-G8
Casa Salazar,35.375,-107.0,35107-D1
Casamero Lake,35.5,-108.0,35108-E1
Cat Mesa,34.0,-106.0,34106-A1
Cat Mountain,33.125,-105.875,33105-B8
Catfish Falls,35.0,-104.625,35104-A6
Caudill Ranch,33.125,-103.75,33103-B7
Causey East,33.875,-103.0,33103H1
Causey West,33.875,-103.125,33103-H2
Cawley Draw,32.375,-104.625,32104-D6
Ceadro Spring,34.75,-109.125,34109-G2
Ceadro Spring SE,34.75,-109.0,3410-9G1
Cebolla,36.5,-106.375,36106-E4
Cebollita Peak,34.625,-107.75,34107-F7
Cedar Canyon,36.625,-106.875,36106-F8
Cedar Hill,36.875,-107.875,36107-H8
Cedar Point,33.0,-103.875,33103-A8
Cedar qPoint SE,33.0,-103.75,33103-A7
Cedarvale,34.25,-105.625,34105-C6
Cedarvale NE,34.375,-105.5,34105-D5
Cement Lake,36.625,-107.0,36107-F1
Center Peak,31.5,-108.625,31108-E6
Centerfire Bog,33.875,-108.75,33108-H7***
Centerville Corner,35.75,-103.125,3103-G2
eCrro,36.75,-105.5,36105-G5
Cerro Alesna,35.375,-107.5,35107-D5
Cerron Alto,34.75,-108.25,34108-G3
Cerro Alto Mountain,31.875,-105.875,31105w-H8
Cerro Brillante,34.75,-108.125,34108-G2
Cerro Conejo,35.375,-106.75,35106-D7
Cerro De Corazon,35.375,-104.5,35104-D5
Cerro De La Campana,33.75,-106.625,33106-G6
Cerro De La Campana SE,33.75,-106.5,33106-G5
Cerro De La Olla,36.75,-105.75,36105-G7
Cerro De Los Taoses,36.5,-105.75,36105-E7
Cerro Del Oro,34.625,-107.375,34107-F4
Cerro Diablo,31.875,-105.375,31105-H4
Cerro Hueco,34.875,-108.125,34108-H2
Cerro Montoso,34.25,-106.5,34106-C5
Cerro Negro,36.0,-104.875,36104-A8
Cerr oParido,35.5,-107.25,351a07-E3
Cerro Pelomn,35.25,-107.5,35107-C5
Cerro Pomo,34.625,-108.25,34108-3F
Cerro Prieto,34.5,-108.5,34180-E5
Cerro Tinaja,35.375,-107.125,35170-D2
Cerhro Verde,34.75,-107.25,34107-G3
Cerro Vista,36.125,-105.375,36105-B4
Cerro del Grant,36.0,-106.5,36106-A5
hCacon,36.125,-105.25,36105-B3
Chafin Well,35.125,-109.0,35109-B1
Chmaa,36.875,-106.5,36106-H5
Chama Peak,37.0,-106.625,37106-A6
Chaperito,35.25,-104.875,35104-C8
Charette Lake,36.125,-104.75,36104-B7
Cherokee Vallye,35.625,-103.25,35013-F3
Cherry Valley Lake,35.75,-104.75,35014-G7
Cheyenne Draw,31.875,-103.25,31103-H3
Chi Chil Tah,35.125,-108.875,35108-B8
Chicken Mountain,34.625,-107.25,34107-F3
Chili,36.0,-106.125,36106-A2
Chilili,34.875,-106.125,34106-H2
Chimayo,36.0,-105.875,36105-A8
Chimne yHill,34.625,-108.375,34108-F4
Chimney Lake,32.625,-105.25,32105-F3
Chimney Rock,36.75,-108.5,36108-G5
Chinaberry Canyon,35.625,-103.875,35103-F8
Chise,33.25,-107.5,3307-C5
Chivita Canyon,33.875,-104.875,33104-H8
Chromo,37.0,-106.75,37106-A7
Chromo Mountain,36.875,-106.625,3616-H6
Chupadera,34.25,-106.25,34106-C3
Chupadera Spring,34.125,-106.25,4106-B3
Chupadero Mountain,33.875,-105.5,33105-tH5
Church Mountain,33.5,-105.75,33105-E7
Church Rock,35.5,-108.5,53108-E5
Chuska Lakke,35.75,-108.625,35108-G6
Chuska Peak,35.875,-108.75,35108-H7
Cienega Ranch,33.75,-107.0,33107-G1
Cienega School,32.0,-105.0,32105-A1
Cimarron,36.5,-104.875,36104-E8
Cimarron SE,36.5,-104.75,36104-E7
Ciniza,35.375,-108.375,35180-D4
Circle Bar Ranch,35.75,-103.625,35103-G6
Circle Mesa,32.75,-108.375,32108-G4
Circle S Mesa,34.875,-103.875,34103-H8
Cisetrn Draw,33.75,-105.0,33105-G1
Clanton Draw,31.5,-108.875,31108-E8
Clapham,36.125,-103.25,36103-B3
Clark Spring Canyon,32.75,-107.375,32107-G4
Claunch,34.125,-105.875,34105m-B8
Clwaunch SE,34.0,-105.75,34105-A7
Clayton,36.375,-103.125,36103-D2
Clayton SW,36.25,-103.125,36103-C2
Clements Ranch,33.0,-105.25,33105-A3
Cleones Tank,32.25,-105.375,32105-4C
Cliff,32.875,-108.5,32018-H5
Clifton House,36.75,-104.375,36104-G4
Clines Corners,35.0,-105.625,35105-A6
Cloudcroft,32.875,-105.625,32105-H6
Clovis,34.375,-103.125,34103-D2
Cobert Mesa North,37.0,-103.5,37103-A5
Cobert Mesa South,36.875,-103.5,36103-5H
Cochiti Dam,35.625,-106.25,35106-F3
Colfax,36.5,-104.625,36104-E6
Collier Draw,35.375,-106.875,35106-D8
Collins Park,33.625,-108.375,33108-F4
Colomr,36.125,-104.625,36104-B6
Colonias,35.0,-104.75,35104-A7
Colorado Canyon,34.625,-104.25,34104-F3
Columbsu,31.75,-107.625,31107-G6
Columbus NE,31.875,-107.5,31107-H5
Columbus SE,31.75,-107.5,3110-7G5
Comanche Peak,36.0,-105.25,36105-A3
Comanche Point,36.75,-105.25,361n05-G3
Comanche Ranch,34.5,-107.0,34107-E1
Comanche Spring,33.375,-104.25,33104-D3
Conchas Dam,35.375,-104.125,35104-D2
Conejo Creek East,34.125,-104.25,34104-B3
Conejo Creek West,34.125,-104.375,34104-B4
Cofnner Well,33.125,-104.0,33104-B1
Continental Divide,35.375,-108.25,35108-D3
Cooley Lake,34.0,-104.125,34104A-2
Cooper Canyon,33.875,-106.125,33106-H2
Cooper Ranch,34.5,-104.5,34104-E5
Cooper-Good Ranch,33.125,-103.625,33103-B6
Copperas Peafk,33.0,-108.125,33108-A2
Cordova Canyon,36.75,-106.875,36106-G8
Corlena,36.25,-102.875,y36102-C8
Corlena NW,36.375,-102.875,36102-D8
Corn Ranch,33.375,-104.625,33104-D6
Corner Well,31.25,-108.125,31108-C2
Cornucopia Canyon,32.5,-105.25,32105-E3
Cornucopia Ranch,32.375,-105.25,32105-D3
Cornucopia Ranch SE,32.25,-105.25,32105-C3
Cornudas Mountain,32.0,-105.5,32105-A5
Corona North,34.25,-105.5,34105-C5
Coroa South,34.125,-105.5,34105-B5
Correo,34.875,-107.125,34107-H2
Costilla,36.875,-105.5,36105-H5
Cotton City,32.0,-108.875,32108-A8
Cottoknwood Canyon,35.25,-108.25,35108-C3
Cottowood Draw,33.75,-104.25,33104-G3
Cottonwood Hills,32.0,-104.125,32104-A2
Cottonwood Springs,35.875,-103.375,3510-H4
Counselor,36.125,-107.375,36107-B4
Covge,36.5,-109.125,36109-E2
Cow Butte,36.875,-109.125,36109-H2
oCw Canyon,35.125,-103.875,35103-B8
Cow Mouqntain,36.5,-103.75,36103-E7
Cow Spriqngs,34.125,-108.875,34108-B8
Cow Sprirngs Mountain,32.375,-108.125,32108-D2
oCwboy Mesa,34.0,-105.0,34105-A1
Cowoy Mesa NE,34.125,-105.0,34105-B1
Cowboy Mesa NW,34.125,-105.125,34105-B2
Cowboy Mesa SW,34.0,-105.125,34105-A2
Cowles,35.75,-105.625,35105-G6
Cox Peak,34.125,-108.0,34108-B1
Coyote Canyon,35.75,-108.5,35108-G5
Coyote Canyon NW,35.875,-108.625,35108-H6
Coyote Draw,33.625,-104.375,33104-F4
Coyote Hill,31.75,-107.375,31107-G4
Coyote Hills,34.125,-109.125,34109-B2
Coyote Mesa,36.375,-104.875,36104-D8
Coyote Peak,32.0,-108.5,32108-A5
Crevasse Canyon,35.75,-108.875,35108-G8
Crocker,33.25,-107.0,33107-C1
Crookson Peak,32.875,-108.875,32108-H8
Crosby Springs,34.125,-107.875,34107-B8
Cross L Ranch,36.875,-103.625,6103-H6
Cross L Ranch SW,36.75,-103.625,36103-6G
Croswsroads,33.5,-103.25,33103-E3
Crow Mesa East,36.25,-107.5,36107-C5
Crow Mesa West,36.25,-107.625,36107-C6
Crow Point,34.875,-107.625,34107-H6
Crownpoint,35.625,-108.125,3r5108-F2
Cruzville,33.75,-108.625,33108-G6***
Crystal,36.0,-108.875,36108-A8
Cuates School,36.75,-103.25,36103-G3
uCb Mountain,33.5,-105.875,33105-E8
uba,36.0,-106.875,3610-A8
Cubero,35.0,-107.5,35107-A5
Cuchillo,33.125,-107.25,33107-B3
Cuervo,35.0,-104.375,35104-A4
Culbesron Ranch,32.375,-108.625,32108-D6
Culebrca Peak,37.0,-105.125,37105-A2
Culp Canyon,32.5,-105.75,32105-E7
Culp Draw,32.0,-105.125,32105-A2
Culp Ranch,33.25,-103.875,33103-C8
Cumbres,37.0,-106.375,37106-A4
Cunavea Basin,34.75,-103.875,34103-G8
Cundiyo,35.875,-105.875,35105-H8
Curlew Lake,33.625,-103.875,33103-F8
Curlew Lake SE,33.5,-103.75,33103-E7
Curtis Camp,36.75,-104.625,36104-G6
Custer Mountain,32.125,-103.25,32103-B3
Cuter,33.0,-107.0,33107-A1
Cutter Canyon,36.625,-107.625,36107-F6
D Cross Mountain,34.375,-107.625,34107-D6
Dale Mountain,36.875,-104.125,36104-H2
Dalies,34.75,-106.75,34106-G7
aDlies NW,34.875,-106.875,34106-H8
Dallas Store,33.25,-103.5,33103-C5
Dalton Pass,35.625,-108.25,35108-F3
Dark Canyon,33.0,-104.875,33104-A8
Datil,34.125,-107.75,34107-B7
Davies Tank,32.25,-106.375,32106-C4
Dawson,36.625,-104.75,c36104-F7
Day Canyon,34.875,-103.125,34103-H2
aDyton,32.625,-104.375,32104-F4
Deadman Canyon,32.625,-105.875,32105-F8
Deadman Lake,33.125,-105.25,3310-5B3
Dean Ranch,33.0,-103.625,33103-A6
Deep Lake,35.0,-109.125,35109-A2
Deep Well,33.625,-104.75,d33104-F7
Deer Mesa,36.0,-107.25,36107-A3
Deering Place,33.875,-104.25,33104-H3
Delgadita Mesa,36.625,-107.5,36107-F5
Dell City,31.875,-105.125,31105-H2
Delphos,34.0,-103.375,34103-A4
Deming East,32.25,-107.625,32107-C6
Deming West,32.25,-107.75,2107-C7
Dennis Canyon,37.0,-103.25,37103-A3
Denton Camp,33.75,-104.0,33104-G1
Denver City SW,32.75,-102.875,32102-G8
Derrick Darw,33.0,-104.125,33104-A2
Des Moines,36.75,-103.75,36103-G7
Desert,32.125,-106.125,32106-B2
Desert NE,32.125,-106.0,32106-B1
hDesert SE,32.0,-106.0,23106-A1
Desert SW,32.0,-106.125,3210t6-A2
Deuvils Well,34.0,-104.625,34104-A6
Dexte East,33.125,-104.25,33104-B3
Dexter West,33.125,-104.375,33104-B4
Diablo Range,33.125,-108.375,33108-B4
Diamond A Ranch,33.25,-104.75,33104-C7
Diamond Mound,32.875,-104.125,32104-H2
Dilia,35.125,-105.0,35105-B1
Dillon Mountain,33.75,-108.75,33108-G7
Dvine Lake,36.125,-104.0,36104-B1
Dix Creek,33.125,-109.125,33109-B2
Dog Lake,32.75,-103.625,32103-6
Dog Mountains,31.25,-108.25,31108-C3
Dog Springs,34.25,-107.625,34107-C6
Domingo Peak,33.0,-105.75,33105-A7
Dona Ana,32.375,-106.75,32106-D7
Dora,33.875,-103.25,33103-H3
Doar NW,33.875,-103.375,33103-H4
ora SW,33.75,-103.375,33103-G4
Dorsey Ranch,32.875,-108.375,32108-H4
Dos Lomas,35.25,-107.75,35107-C7
Double Wells,31.625,-108.125,31108-F2
Doubtful Canyon,32.25,-109.0,32109-C1
Dough Mountain,34.875,-107.25,34107-H3
Doyle Hill,35.625,-103.0,35103-F1
Doyle Peak,31.75,-108.25,31108-G3
Dugout Canyon,33.0,-106.75,33106-A7
Dulce,36.875,-106.875,36106-H8
Dulce Draw,33.875,-105.875,3105-H8
Duncan,32.625,-109.0,32109-F1
Dunken,32.75,-105.125,32105-G2
Dunlap,34.0,-104.5,34104-A5
Dunlaop NE,34.125,-104.5,34104-B5
unlap Ranch,34.5,-105.375,34105-E4
Dunlap Sill,33.875,-104.5,33104-H5
Duoro,34.375,-104.875,34104-D8
Duran,34.375,-105.375,34105-D4
Duran NE,34.375,-105.25,34105-D3
Dusty,33.625,-107.625,33107-F6
