objectid(long),routeid,beginpoint(double precision),endpoint(double precision),xsp,stlnstlocname,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
5195,103-N,5.03,5.15,CONT,CHURCH ST,100,NORTH HAVEN,2022,a1b99014-86ad-4ee3-8df8-f42a5af5cc69,603.753826114667
5196,103-N,5.15,5.31,CONT,WASHINGTON AVE,100,NORTH HAVEN,2022,e9f7b3e2-3be7-4aaf-8e1c-672989f0c134,881.268121484844
5197,104-S,2.11,2.26,REV,LONG RIDGE RD,135,STAMFORD,2022,feb5b047-bdb9-42b8-af21-1afa0d856de0,742.174291303956
5198,106-N,1.53,4.32,CONT,HOYT ST,35,DARIEN,2022,29083a4d-8752-4dea-9596-2af57b33fec9,14772.9620826568
5199,106-N,7.47,8.97,CONT,SILVERMINE RD,89,NEW CANAAN,2022,9d24fb74-43c4-42d5-ab90-b8036b2a8836,7948.6395940341
5200,106-N,9.03,9.1,CONT,NEW CANAAN RD,89,NEW CANAAN,2022,03531aba-8372-41b4-be42-c3f8132eaf28,370.950177270172
5201,107-N,0.0,0.18,CONT,SCHOOL ST,161,WILTON,2022,9465a035-2fbd-4db1-800a-5d5c8cbd4924,959.850391758547
5202,107-N,3.78,6.66,CONT,LONETOWN RD,116,REDDING,2022,149cf3a3-e3ec-45d9-9cec-2852bfed4af8,15258.5661796849
5203,108-N,7.61,10.57,CONT,SHELTON AVE,126,SHELTON,2022,b0eea965-42e2-498c-9bd7-921fb85f5be2,15610.4791094818
5204,108-S,0.0,0.03,REV,NICHOLS AVE,138,STRATFORD,2022,b9a69a0a-f742-43b4-bd6a-e5c9ccf7ca91,182.45479680074
5205,1-N,12.66,12.88,CONT,BOSTON POST RD,35,DARIEN,2022,462138a5-548d-4344-af79-e7ee3b548a1b,1167.53170948455
5206,1-N,12.88,13.85,CONT,CONNECTICUT AVE,102,NORWALK,2022,609d116b-a9c6-49de-9b90-776d7f8c4628,5130.2253509147
5207,1-N,19.22,20.45,CONT,POST RD EAST,158,WESTPORT,2952,34b34e61-510e-4ce6-b148-339c5063e350,6486.97988089746
5208,1-N,28.15,28.2,CONT,KINGS HIGHWAY EAST,50,FAIRFIELD,1427,99e55e17-7642-44fd-9898-98f353ae55be,283.074381257025
5209,1-N,28.2,28.27,CONT,NORTH AVE,15,BRIDGEPORT,2022,00b0556b-3818-42b2-acbf-4650d187b1f1,379.998339232768
5210,1-N,29.14,30.85,CONT,NORTH AVE,15,BRIDGEPORT,2022,808ce56a-2fee-447e-b3c3-8a2b2bf5c075,9028.8203639248
5211,1-N,35.47,37.33,CONT,BRIDGEPORT AVE,83,MILFORD,2080,ca09ce32-4b26-46ac-b368-c6764b598ec9,9806.83774457375
5212,109-E,12.45,14.06,CONT,WEST ST,86,MORRIS,2022,19f435af-ce11-4286-8ace-4ced13b0f099,8505.51514924088
5213,111-S,11.67,11.7,REV,MONROE TPKE,84,MONROE,1607,ed7919f7-34da-4bc2-8510-c4e4b64535c4,193.984033434738
5214,113-N,5.61,6.01,LOG,MAIN ST,138,STRATFORD,1709,769215ca-60b3-4b4a-86bf-cceb4ca33d0e,2138.25858560342
5215,114-N,3.17,6.15,CONT,RACEBROOK RD,167,WOODBRIDGE,2022,811630a6-5dec-4a1b-a9ef-0fa1dd70b007,15813.7734859909
5216,12-N,30.31,30.75,CONT,MAIN ST,108,PLAINFIELD,2611,f2dd99c4-d45b-4861-86ed-d554b6f7cb67,2334.19774276816
5217,12-N,36.1,36.16,LOG,WAUREGAN RD,68,KILLINGLY,2022,fbcbfdcd-3096-41ea-8ac7-9cc8fa26c874,291.58956807715
5218,131-N,0.0,3.78,CONT,QUINEBAUG RD,141,THOMPSON,2022,95ea9fb9-be32-40db-acd4-9ff3698138bf,20025.3597726422
5219,132-N,9.72,9.88,CONT,OLD WATERTOWN RD,153,WATERTOWN,2022,1bfeeba8-bfe4-40e9-acd5-356ceceafbbb,842.130337572
5220,133-N,3.65,7.62,CONT,MAIN ST SOUTH,16,BRIDGEWATER,2022,2cd66855-8cb9-4968-87f2-942abdf9b78a,20964.1790221649
5221,135-N,2.03,2.58,CONT,STILLSON RD,50,FAIRFIELD,2022,595bdc12-73e7-4cba-9bf0-940752382196,2907.01713087031
5222,136-N,1.26,1.41,CONT,CUDLIPP AVE,102,NORWALK,2022,db3f563c-b696-48eb-a841-f248217ea769,764.54780283707
5223,136-N,2.32,2.58,CONT,HIGHLAND AVE,102,NORWALK,2022,c508257b-45a1-4cab-9e83-b13881a85d3a,1363.40420528603
5224,136-N,8.35,8.49,CONT,CHARLES ST,158,WESTPORT,2022,7b81126c-ad3b-4ee3-b3c6-e441ad4c7859,710.329009867396
5225,136-N,8.64,9.14,CONT,BRIDGE ST,158,WESTPORT,2022,f8c626ae-72a5-41a9-9b93-962eb15ac3b5,2619.34265106276
5226,14A-E,3.62,6.95,CONT,PLAINFIELD PIKE RD,108,PLAINFIELD,2022,d5c8a7db-14a7-4331-9dfc-2020184dad29,17534.8768409503
5227,15-N,67.96,73.34,CONT,BERLIN TPKE,7,BERLIN,2022,d8259421-9768-4833-a8ff-34c7334123ab,28455.0683572135
5228,15-N,67.96,73.34,LOG,BERLIN TPKE,7,BERLIN,2022,43f62226-a989-4a9c-b635-b79fe7cd2ed1,28455.0683572135
5229,150-N,8.56,9.04,CONT,SOUTH BROAD ST,148,WALLINGFORD,2022,72276c73-3e50-4d1b-81dd-001bac3f56fc,2550.97249992435
5230,151-N,0.0,2.73,CONT,TOWN ST,40,EAST HADDAM,2022,d07f4d7f-a393-4e04-99a0-52a797a6870c,14404.7575019374
5231,154-N,0.0,0.09,CONT,OLD BOSTON POST RD,105,OLD SAYBROOK,2022,2844d336-e9df-497a-bac6-604ea151836f,486.865653784746
5232,154-N,6.68,7.1,CONT,BOSTON POST RD,105,OLD SAYBROOK,3005,b57714ab-fb50-4689-8800-fe69191c23d4,2222.68522423194
5233,154-N,11.19,11.78,CONT,MAIN ST,49,ESSEX,2022,8386b741-b6c2-48ca-a9b1-ae8d73e6cce2,3142.27171710809
5234,154-N,27.8,27.85,LOG,SAYBROOK RD,82,MIDDLETOWN,2022,85076df4-3b7c-464e-9e12-d0dcd821994d,239.697978840225
5235,154-S,6.17,6.68,REV,MAIN ST,105,OLD SAYBROOK,2022,e9d94f98-808c-49be-ac00-0cc65ccbed47,2647.48494264256
5236,136-N,9.14,10.49,CONT,COMPO RD SOUTH,158,WESTPORT,2022,704d6b84-d04e-43c2-9899-8ebeb4f1107a,7132.2389804309
5237,136-N,5.96,5.97,LOG,VAN ZANT ST,102,NORWALK,2022,f5b24629-0620-4b77-b990-9ae8895d39ee,97.7849201248625
5238,137-N,1.83,9.33,CONT,HIGH RIDGE RD,135,STAMFORD,2022,ffe1068b-93cc-471b-bb15-1c906ba20a48,39535.5431688788
5239,137-N,1.59,1.83,LOG,COLD SPIRNG RD,135,STAMFORD,2022,4dedbeb8-3039-4435-bd1d-5dfb605d67b7,1268.93136232318
5240,138-E,14.82,17.73,CONT,ROCKVILLE RD,147,VOLUNTOWN,2022,abb88f4d-24d2-4002-848f-a2677ea1a42a,15359.3487208397
5241,14-E,6.68,8.05,CONT,PALMER RD,123,SCOTLAND,2022,f364fa97-61ac-4a4f-b60e-c38a12a8d969,7210.44492065129
5242,14-E,8.05,12.93,CONT,WESTMINSTER RD,22,CANTERBURY,2022,6ea03bdf-4843-495c-8539-f393534f2d35,25813.567986994
5243,14-E,13.46,16.61,CONT,BLACK HILL RD,108,PLAINFIELD,2022,ede6020f-0dd8-4c74-af23-6c63de6f95e8,16645.4895219098
5244,140-E,8.63,9.33,CONT,MELROSE RD,46,EAST WINDSOR,2714,daf1f6aa-a1e7-404a-8323-c6b88c2d9144,3672.25450180792
5245,140-E,12.38,13.7,CONT,MAPLE ST,47,ELLINGTON,2022,f4962b6d-5f0c-4523-be9f-eb613001c0ea,6884.11573157343
5246,142-E,0.0,0.04,CONT,HEMINGWAY AVE,43,EAST HAVEN,2022,fccc0cae-fa59-46c4-97c4-337f8b91c2af,222.890018854087
5247,142-E,0.26,0.97,CONT,HEMINGWAY AVE,43,EAST HAVEN,2022,fde81fb6-473e-4468-9e0b-6b7ef592be89,3818.28794624567
5248,146-E,1.07,1.6,CONT,MONTOWESE ST,14,BRANFORD,2022,91826efd-64bf-40be-8110-442ee060f158,2854.60027850375
5249,146-E,10.35,11.68,CONT,WATER ST,59,GUILFORD,2022,1d13c35f-97e9-4141-85ce-58cb48ffe127,7002.69895087044
5250,147-N,2.76,2.88,LOG,BAILEYVILLE RD,81,MIDDLEFIELD,2022,0bcbe533-04ef-437c-bc8e-1c18401d2f7c,645.354847695804
5251,148-E,8.8,13.22,CONT,WEST MAIN ST,26,CHESTER,2022,7c4e303e-1b41-40ea-9c5c-3533acdfa0a6,23329.7094451922
5252,14A-E,2.88,3.29,CONT,NORWICH RD,108,PLAINFIELD,2022,040b82c2-186f-449a-9cf3-f12972d706b0,2120.68585047501
5253,121-N,0.0,1.88,CONT,NORTH ST,83,MILFORD,2022,b260390f-ceb8-49c0-a5f6-d0ceeccf48ca,9960.99077896146
5254,122-N,0.93,2.28,CONT,FOREST RD,156,WEST HAVEN,2022,62c07fa0-2272-4451-8627-976b10626387,7177.94207366244
5255,122-N,3.39,3.51,CONT,DAYTON ST,92,NEW HAVEN,2022,0d452f75-5d47-4c5a-aeee-df9e82b046c8,708.197187366594
5256,128-E,0.0,0.05,CONT,CORNWALL - SHARON TPKE,125,SHARON,2972,7e79d2a0-9c41-483c-b8ad-b66ec5add704,288.669579594046
5257,130-E,1.7,1.86,CONT,FAIRFIELD AVE,15,BRIDGEPORT,2022,1b692a02-55ac-47c4-8463-cfd1c8d61bab,873.04623820574
5258,130-E,3.9,4.11,LOG,STRATFORD AVE,15,BRIDGEPORT,2022,55354898-2ae7-4504-8c99-43f7599465a5,1083.54483690522
5259,159-N,9.87,10.49,CONT,NORTH MAIN ST,165,WINDSOR LOCKS,2022,558ccde8-8f94-4971-b783-133d56a8276a,3280.98650968682
5260,159-N,1.46,1.9,LOG,WINDSOR AVE,164,WINDSOR,2022,e472ac99-45ac-49d9-a184-0e8e92e776e9,2439.58619016015
5261,160-E,5.96,6.06,CONT,MEADOW RD,118,ROCKY HILL,2022,e8654b3a-51cd-464e-9876-31ea7f4f2b4f,509.651972116994
5262,162-E,10.06,10.34,CONT,BULL HILL LA,106,ORANGE,2206,e1e5a3eb-ec2a-407d-b686-3ef144590799,1551.87634628617
5263,164-N,5.64,7.83,CONT,PRESTON RD,57,GRISWOLD,2022,8de5b845-086a-4676-9577-be62580eebbc,11601.7666392522
5264,167-N,4.94,9.73,CONT,BUSHY HILL RD,128,SIMSBURY,2022,4448295f-c153-46de-9a52-9028669ef0ff,25205.4773471171
5265,169-N,3.19,3.24,CONT,NEWENT RD,103,NORWICH,2022,6a7161d6-824a-46ef-8f1f-1bb59c1ba61a,231.139357343801
5266,169-N,6.45,9.54,CONT,NORTH BURNHAM HWY,72,LISBON,2805,9e75fbbf-b30b-475e-a1fe-8338df59bfde,16343.408913562
5267,177-N,8.37,11.82,CONT,LOVELY ST,4,AVON,2022,aa659739-f7cb-484e-bf55-365a972db6c7,18266.4024756233
5268,178-E,1.69,3.37,CONT,PARK AVE,11,BLOOMFIELD,2606,8a8a49ea-79d3-4f2a-856a-d48118dbcaf0,8981.2287760587
5269,178-E,3.37,3.86,CONT,SCHOOL ST,11,BLOOMFIELD,2022,8852369c-dbf2-4006-96cd-bcb2c31ce841,2632.73626510533
5270,179-N,0.0,1.96,CONT,CANTON RD,20,BURLINGTON,2022,8a0f5906-c1a8-40d5-a8c3-1917a9d16270,10331.6870179817
5271,179-N,1.96,2.02,CONT,CANTON RD,23,CANTON,2022,3c07bef1-f839-45f6-be7a-27860c91c159,333.12137556023
5272,179-N,4.03,10.72,CONT,CHERRY BROOK RD,23,CANTON,2022,86d6acef-7c1f-4d74-818f-4e64fcedb83a,35185.2048456188
5273,181-N,1.78,5.91,CONT,CENTER HILL RD,5,BARKHAMSTED,2022,d87ad754-4bfc-4cef-bd11-0f606df5c0c0,21865.2446778182
5274,182-E,1.59,3.81,CONT,STILLMAN HILL RD,29,COLEBROOK,2022,82e49762-e0ff-43d7-bf51-3f7ff5329f79,11681.3914594289
5275,182A-E,1.29,2.09,CONT,COLEBROOK RD,29,COLEBROOK,2022,ff717b1a-1fbf-48e1-a297-083b63cb41ee,4212.29503337169
5276,183-N,18.5,19.06,CONT,SANDY BROOK RD,97,NORFOLK,2022,bf34d6c7-bf58-4249-a0b9-17bb1c4c418c,2969.44552569122
5277,183-S,9.15,9.25,REV,MAIN ST,162,WINCHESTER,2022,0c685ab0-0353-4973-ab23-f39dc1de4d2a,478.558712773701
5278,169-N,14.07,17.83,CONT,NORTH CANTERBURY RD,22,CANTERBURY,2825,1b3a9aa3-c2c1-449d-b11d-2e22413ab761,19831.0818248395
5279,169-N,31.32,38.25,CONT,NORWICH-WORCESTER TPKE,169,WOODSTOCK,2022,cd0ad94e-d7dd-48dc-a176-bce04d3b31db,36523.3185935768
5280,17-N,1.19,5.21,CONT,MIDDLETOWN AVE,100,NORTH HAVEN,2022,de756118-1cb1-4421-a5d9-a359e4b59da3,21235.6451393235
5281,17-N,5.21,10.78,CONT,MIDDLETOWN AVE,98,NORTH BRANFORD,2022,bbd658f9-69d3-4482-9dcd-41864b877151,29536.6852745674
5282,17-N,17.29,21.52,CONT,SOUTH MAIN ST,82,MIDDLETOWN,1519,565f8f2a-0cb8-4645-926a-bd6a9f24e7c1,22420.932236521
5283,17-S,21.52,22.14,REV,SOUTH MAIN ST,82,MIDDLETOWN,2022,545b0cb5-7f80-449f-b79a-aeb2d69927a4,2608.77794299709
5284,17-S,23.11,23.14,REV,MIDDLETOWN AVE,82,MIDDLETOWN,2005,be22cc6c-f093-48bd-b9cf-68c8a5948212,186.830843019451
5285,171-E,2.75,6.94,CONT,BIGELOW HOLLOW RD,145,UNION,2022,e1413c39-49ef-4850-8c7e-01c0dd46ada8,22054.4027139539
5286,171-E,19.87,20.7,CONT,PROVIDENCE ST,115,PUTNAM,2022,7e6504bc-448f-43d8-b133-c2ce85b24d0f,4464.43388707082
5287,173-N,0.0,0.21,CONT,RICHARD ST,93,NEWINGTON,2022,f9e3fbdc-b4c2-4e16-aab0-bea6e74a9a0c,1132.89444721317
5288,173-N,0.21,4.35,CONT,WILLARD AVE,93,NEWINGTON,2022,2353fed8-1bf9-4234-9799-8ae938afc90f,21939.2481333282
5289,175-E,0.0,0.33,CONT,ALLEN ST,88,NEW BRITAIN,2022,d2328af3-4826-45e2-a41b-e49a916f9e8d,1769.63936428415
5290,175-E,1.01,2.81,CONT,CEDAR ST,93,NEWINGTON,2022,47d13aea-84bb-4e45-b9ef-b726970ef0de,9548.2812699306
5291,177-N,0.0,0.22,CONT,TOWN LINE RD,109,PLAINVILLE,2022,a3a9a4a3-abbb-4d20-80d2-753a35587273,1221.92348775038
5292,177-N,2.29,3.53,CONT,UNIONVILLE AVE,109,PLAINVILLE,2022,914bdb39-b1b1-49cf-86d8-cf0e3e0356d9,6629.24377157092
5293,155-E,0.0,2.22,CONT,RANDOLPH RD,82,MIDDLETOWN,2022,a43cddc7-f9d3-4867-a4fb-9cdec4392ede,11757.2000025141
5294,156-E,20.11,22.76,CONT,ROPE FERRY RD,152,WATERFORD,2022,d6757183-deb5-4b1a-86c5-e5697fa7c96c,13900.9251963593
5295,159-N,0.34,0.39,CONT,WINDSOR AVE,164,WINDSOR,2022,2366fb3c-226d-4fcd-a08d-b249bcd8e873,274.963248241465
5296,159-N,9.12,9.87,CONT,MAIN ST,165,WINDSOR LOCKS,2740,e2290fc0-4ab3-436b-a0a1-a80dc7f0b115,3962.22498664171
5297,184-E,12.29,15.66,CONT,PROVIDENCE-NEW LONDON TPKE,101,NORTH STONINGTON,2022,79220786-8e12-4930-8d71-6cc28bcae77b,17638.6421215458
5298,185-E,0.56,1.71,CONT,HARTFORD RD,128,SIMSBURY,2381,87b4be90-1af9-453a-bdd2-23a9c91efcd5,6001.99270011448
5299,185-E,1.71,4.75,CONT,SIMSBURY RD,11,BLOOMFIELD,2022,22bba3bc-5dda-4934-987c-2dd0ca625f8a,16066.7925215436
5300,187-N,5.81,6.88,LOG,BLUE HILLS AVE,11,BLOOMFIELD,2022,566022ce-6bde-464c-8ca0-37beab0f5b98,5728.41083328923
5301,198-N,8.17,10.86,CONT,EASTFORD RD,38,EASTFORD,2022,9b2d5d02-f72d-4687-8d9c-a2a76ee14585,14152.2937519403
5302,198-N,12.82,15.95,CONT,BLACK POND RD,169,WOODSTOCK,2022,45f8274e-79bc-4551-939a-2e2795b9aafa,16505.5404661247
5303,222-N,3.1,3.61,CONT,HILL RD,65,HARWINTON,1453,0fe74e1a-1e09-4b3a-92e9-36bdc62645e4,2653.86812190875
5304,229-N,5.9,5.94,CONT,KING PL,17,BRISTOL,2022,f8523b6f-f4ff-4ed4-a3e8-ec019fea5e0c,222.458033240112
5305,25-N,20.51,22.86,CONT,MT PLEASANT RD,96,NEWTOWN,1677,7eaa9a35-25fa-43a2-a5b0-4badc637cf30,12330.9098044451
5306,25-N,24.52,28.4,CONT,WHISCONIER RD,18,BROOKFIELD,2022,be192000-91a6-4f54-9447-417eb5423c5e,20438.4186725808
5307,262-N,3.75,3.77,CONT,FROST BRIDGE RD,140,THOMASTON,2022,c73ae011-c9a2-43de-bea6-95db9f811fb0,114.087446826301
5308,263-E,5.53,6.09,CONT,BOYD ST,162,WINCHESTER,2022,83c7bc54-d099-4b2e-be62-91e5bf2d364f,2911.64141111371
5309,263-E,6.09,6.23,CONT,LAKE ST,162,WINCHESTER,2022,f93251b3-bab1-4a6c-b4ec-582520364249,801.333939067661
5310,27-N,1.56,2.71,CONT,WHITEHALL AVE,137,STONINGTON,2022,ac558f33-7820-4ac1-a777-8917b2589df9,5997.28948290017
5311,272-N,13.41,13.75,CONT,GREENWOODS RD WEST,97,NORFOLK,2022,47374fc7-a037-437f-9885-d5b19b9ce3f4,1825.64688251088
5312,287-E,0.76,0.83,LOG,BERLIN TPKE,93,NEWINGTON,2022,04d8b98e-b0b7-4cf8-97a8-7edbea26a0b1,338.680171282147
5313,289-N,0.0,4.32,CONT,BEAUMONT HWY,70,LEBANON,2022,ba4fc81b-436b-4138-954e-28928c379a01,22820.0821076653
5314,3-N,7.52,8.22,CONT,MAPLE ST,118,ROCKY HILL,2022,36a2be7e-2faf-4f44-ab1c-c2a554466c71,3779.47922634221
5315,3-N,8.22,10.88,CONT,MAPLE ST,159,WETHERSFIELD,2022,9d38ca79-7c83-47cc-bf52-390edc485e16,14063.5985492641
5316,3-N,10.88,11.86,LOG,MAPLE ST,159,WETHERSFIELD,2022,960ee09f-f834-4367-93f7-4666edbe6e11,5098.04640526611
5317,30-N,12.22,13.4,CONT,HARTFORD TPKE,142,TOLLAND,2022,bdff69ce-b431-4883-82ee-00c48875ff8d,6204.75755706525
5318,305-W,2.24,2.62,REV,BLOOMFIELD AVE,164,WINDSOR,2022,4873aacf-f554-4562-9b66-36de0d6f1ffc,2015.00103560712
5319,2-E,38.15,39.57,CONT,WASHINGTON ST,103,NORWICH,2022,5ec36c62-0967-481e-808d-c2922c53ba7f,7652.56288779022
5320,2-E,39.57,39.59,CONT,CHELSEA HARBOR DR,103,NORWICH,2022,c4fe46c7-cc27-4164-b48c-40c06234fc8d,135.787052557761
5321,2-E,39.59,39.82,LOG,CHELSEA HARBOR DR,103,NORWICH,1954,437d1ce3-009c-4891-80d8-a5d85487a4b3,1188.59932433648
5322,2-E,54.31,54.34,LOG,NORWICH WESTERLY RD,101,NORTH STONINGTON,2022,a6c22ef0-df81-4867-90d7-5507628f5159,151.324827896315
5323,2-E,54.34,54.36,LOG,PROVIDENCE-NEW LONDON TPKE,101,NORTH STONINGTON,2022,4fed01ee-17c0-4f48-8ff0-0cabf7fb37a4,92.6036564146764
5324,2-E,54.29,54.31,REV,PROVIDENCE-NEW LONDON TPKE,101,NORTH STONINGTON,1591,90e8caa9-106a-42f8-9522-ed56de92130a,106.262231327203
5325,2-W,54.34,54.36,LOG,PROVIDENCE-NEW LONDON TPKE,101,NORTH STONINGTON,2022,dccb927a-9253-41db-8dc8-b2a67e910289,101.094351338172
5326,2-W,39.59,39.82,REV,CHELSEA HARBOR DR,103,NORWICH,2022,d63315a4-ad34-4b02-94c9-8245020cac4d,998.91136990677
5327,2-W,54.36,54.41,REV,NORWICH WESTERLY RD,101,NORTH STONINGTON,2022,d4685a69-a802-437b-826d-efef0e7a6233,204.748772720402
5328,20-E,22.13,23.02,CONT,EAST GRANBY RD,55,GRANBY,2022,a1087474-e4b8-4c86-9c4a-69b64a3ceca5,4599.78776960575
5329,20-E,26.78,26.92,LOG,RAINBOW RD,39,EAST GRANBY,2223,d0bbba12-740a-4fa6-8412-1eb82c4973a9,665.179758490298
5330,20-W,27.37,27.72,REV,RAINBOW RD,39,EAST GRANBY,2022,2ebfa165-a203-4107-84b7-44035ad48ee4,1794.5457905338
5331,202-N,2.85,3.82,CONT,LAKE AVE EXT,34,DANBURY,2022,b0361006-a4cb-440f-9199-1063f017adf8,5058.74518820236
5332,202-N,20.03,20.52,CONT,POPLAR ST,95,NEW MILFORD,2022,e498141f-cc09-4ef0-97ad-27e138989d8a,2573.50540458508
5333,202-N,21.64,25.74,CONT,LITCHFIELD RD,95,NEW MILFORD,2022,4ee29ca8-c5eb-44eb-ac31-cb710329d0c2,21697.5306066928
5334,202-N,32.8,37.64,CONT,BANTAM RD,73,LITCHFIELD,2022,ab6e304e-7d8f-4798-8483-59cca9fb0cb6,25611.8102793608
5335,202-N,41.7,43.78,CONT,NEW LITCHFIELD ST,143,TORRINGTON,2022,7e4a2f70-cbd2-4e0d-8862-31af8544124c,10982.8344364432
5336,202-N,44.71,47.19,CONT,EAST MAIN ST,143,TORRINGTON,2022,a6e2d0b1-8b0e-4c67-ba3c-c99d2b4b9384,13130.6275994298
5337,202-N,57.84,58.11,LOG,ALBANY TPKE,23,CANTON,2022,a593a8fb-3a46-4657-9a97-a65395050798,1457.81074020519
5338,207-E,0.76,10.68,CONT,EXETER RD,70,LEBANON,2022,6577fd4d-f8d4-469f-9b53-beda403a5def,52267.3624363115
5339,207-E,10.68,14.75,CONT,POND RD,52,FRANKLIN,2022,45d74f17-4fcc-4602-b211-07dbfc98143b,21439.1434295935
5340,213-N,4.48,4.77,CONT,NILES HILL RD,94,NEW LONDON,2022,a86ef8d5-c699-4c60-b735-9a9a4c0f29e6,1544.55634403517
5341,218-E,2.24,5.09,LOG,COTTAGE GROVE RD,11,BLOOMFIELD,2022,baff4566-c977-4e75-8669-f0749ef55303,15041.5540153952
5342,219-N,4.63,7.2,CONT,RESERVOIR RD,91,NEW HARTFORD,2022,f6db0d73-9df3-4f5e-bb1e-48759d5f19ed,13572.5655239167
5343,22-E,6.39,6.46,CONT,OLD POST RD,98,NORTH BRANFORD,2022,f3acb525-3404-414d-bb8b-12d3e288acf5,374.248262340856
5344,22-E,12.38,14.04,CONT,NOTCH HILL RD,98,NORTH BRANFORD,2022,75db5dbc-215e-48e0-9fea-242a6d04315c,8757.35283226277
5345,188-N,1.34,3.01,CONT,ROCKHOUSE HILL RD,107,OXFORD,2022,66ea8b96-61da-4f03-9d2b-cfd83e13b764,8798.175963037
5346,189-N,9.12,9.57,CONT,HARTFORD AVE,128,SIMSBURY,2022,65ca2e21-18a4-4644-9c19-2e1a73cb210d,2369.40229913301
5347,189-N,12.87,12.96,CONT,SALMON BROOK ST,55,GRANBY,2815,458621cb-72f4-482b-83e6-90b7834f3105,497.100904398075
5348,190-E,0.61,1.69,CONT,THOMPSONVILLE RD,139,SUFFIELD,2022,c88bc64b-f310-40d4-ae94-d6f0d0ad7219,5782.79356843513
5349,190-E,19.25,19.26,REV,MAIN ST,134,STAFFORD,2022,7d676cdd-16bc-407e-9044-125b4b7e50ac,55.1674742716134
5350,192-N,0.0,3.49,CONT,NORTH MAPLE ST,48,ENFIELD,2022,27a3bfc6-e08f-40a9-86a3-b579bdca1ef4,18477.1920709985
5351,196-N,0.11,3.73,CONT,YOUNG ST,41,EAST HAMPTON,2022,17baf229-7649-41f1-bf48-6e2de941549f,19126.3921345546
5352,196-N,4.47,4.595,CONT,MAIN ST,41,EAST HAMPTON,2022,50d31fda-ebd1-44d3-88aa-c787ec65b722,672.642226382575
5353,32-N,1.13,1.89,LOG,MOHEGAN AVE,94,NEW LONDON,2022,4b48e580-f990-4fff-9816-38924c624450,3961.58303504458
5354,322-E,6.0,6.26,LOG,MERIDEN WATERBURY TPKE,131,SOUTHINGTON,2450,bfc58892-7fc3-4133-8fcc-d761b810928c,1386.96021342317
5355,33-N,7.18,12.26,CONT,RIDGEFIELD RD,161,WILTON,2022,e3b23c76-fa2c-44f9-bcf6-dca2bbde801b,26747.0301002689
5356,334-E,3.57,4.09,CONT,FRANKLIN ST,2,ANSONIA,1999,b2c9f0f7-8e94-47af-bac7-171b75ab1251,2768.66042341097
5357,341-E,3.41,8.36,CONT,SEGAR MOUNTAIN RD,67,KENT,2022,303001f9-ee26-4092-a328-33bcb0baa32b,26006.211227514
5358,35-N,1.8,2.96,CONT,MAIN ST,117,RIDGEFIELD,2022,53fbcc23-5936-461b-9d12-155637248a63,6124.89734281967
5359,35-N,2.96,5.66,CONT,DANBURY RD,117,RIDGEFIELD,1946,a050208a-246b-42cd-a218-b2949f2b5a1f,14283.3588267801
