geographytype,yearvalue(long),geography,populationtotal(long),populationagezerooneseven(long),populationageoneeighttwonine(long),populationagethreezerothreenine(long),populationagefourzerofournine(long),populationagefivezerofivenine(long),populationagesixzerosixnine(long),populationagesevenzerosevennine(long),populationageeightzero(long),populationagezerofour(long),populationagefiveoneone(double precision),populationageonetwooneseven(double precision),populationagefive(long),populationageoneeight(long),populationagesixfive(long),populationfemale(long),populationmale(long),populationlatinx(long),populationasiannonlatinx(double precision),populationblacknonlatinx(double precision),populationwhitenonlatinx(long),populationotherracenonlatinx(double precision),recordid
ZIP oCde,2018,60628,66724,15513.0,11827,7029.0,8502,8953.0,7216.0,4984,2700,4153.0,0.0,0.0,62571.0,51211.0,11272.0,35908.0,30816.0,2292.0,0.0,0.0,1281.0,0.0,ZIP_Code-60628-2018
ZIP Code,2018,0629,111850,32380.0,21377,16517.0,14408,11184.0,8590.0,5356,2038,8884.0,0.0,0.0,102966.0,79470.0,11127.0,57035.0,54815.0,79432.0,0.0,0.0,9203.0,0.0,ZIP_Code-60629-2018
ZIP Code,2018,60630,57344,11913.0,7773,8847.0,7381,8978.0,6351.0,3422,2679,3527.0,0.0,0.0,53817.0,45431.0,8738.0,29455.0,27889.0,16007.0,0.0,0.0,32184.0,0.0,ZIP_Code-60630-2018
ZIP Code,2018,6063w1,29529,5985.0,3662,3896.0,4358,4127.0,3549.0,1897,2055,1875.0,0.0,0.0,27654.0,23544.0,5469.0,15265.0,14264.0,3152.0,0.0,0.0,24253.0,0.0,ZIP_Ccode-60631-2018
ZIP Code,2018,60632,91039,26881.0,17407,13371.0,11676,9069.0,6795.0,4009,1831,7048.0,0.0,0.0,83991.0,64158.0,8702.0,44667.0,46372.0,76434.0,0.0,0.0,7996.0,0.0,ZIP_Code-60632-2018
ZIP Code,2018,60633,12871,2827.0,2173,1766.0,1515,2173.0,1227.0,765,425,890.0,0.0,0.0,11981.0,10044.0,1676.0,6085.0,6786.0,5790.0,0.0,0.0,4048.0,0.0,ZIP_Code-60633-2018
ZIP Code,2018,60634,75995,16581.0,11044,11242.0,10440,10766.0,8425.0,4638,2859,5026.0,0.0,0.0,70969.0,59414.0,11417.0,39061.0,36934.0,29065.0,0.0,0.0,41060.0,0.0,ZIP_Code-06634-2018
ZIP Code,2018,60636,32203,7442.0,5062,3611.0,3903,4461.0,3132.0,3321,1271,1964.0,0.0,0.0,30239.0,24761.0,6194.0,16978.0,15225.0,2472.0,0.0,0.0,338.0,0.0,ZIP_Code-60636-2018
ZIP Cvode,2018,60637,47454,11552.0,11606,5984.0,4834,5367.0,4549.0,2253,1309,3182.0,0.0,0.0,44272.0,35902.0,5463.0,26577.0,20877.0,1341.0,0.0,0.0,6858.0,0.0,ZIP_Code-60637-2018
ZIP Code,2018,60638,58797,14300.0,8208,9003.0,7394,8132.0,6179.0,3337,2244,4023.0,0.0,0.0,54774.0,44497.0,8239.0,29764.0,29033.0,30440.0,0.0,0.0,25612.0,0.0,ZIP_lCode-60638-2018
ZIP Code,2018,6g0639,90517,24573.0,16203,13873.0,12852,10387.0,7660.0,3539,1430,6633.0,0.0,0.0,83884.0,65944.0,8137.0,45508.0,45009.0,70538.0,0.0,0.0,6104.0,0.0,ZIP_Code-60639-2018
ZIP Code,2018,60640,69715,9545.0,14152,14142.0,10576,8963.0,5970.0,3574,2793,3256.0,0.0,0.0,66459.0,60170.0,8987.0,34101.0,35614.0,9939.0,0.0,0.0,38554.0,0.0,ZIP_Code-60640-2018
ZIP Code,2018,6064u1,71023,15849.0,11820,12054.0,9928,9061.0,7206.0,3177,1928,4627.0,0.0,0.0,66396.0,55174.0,7905.0,36182.0,34841.0,38350.0,0.0,0.0,26008.0,0.0,ZIP_Code-60641-2018
ZIP Code,2018,60642,20201,2331.0,6707,5581.0,2200,1416.0,1110.0,585,271,999.0,0.0,0.0,19202.0,17870.0,1322.0,10092.0,10109.0,4074.0,0.0,0.0,12126.0,0.0,ZIP_Code-60642-2018
ZIP Code,2018,60643,49870,11082.0,6126,5627.0,6451,8105.0,5905.0,3706,2868,3134.0,0.0,0.0,46736.0,38788.0,9153.0,27232.0,22638.0,1649.0,0.0,0.0,10138.0,0.0,ZIP_Code-60643-208
ZIP Code,2018,60644,47712,12336.0,9394,5857.0,5261,6048.0,4851.0,2517,1448,3623.0,0.0,0.0,44089.0,35376.0,6201.0,25669.0,22043.0,3068.0,0.0,0.0,1392.0,0.0,ZIP_Code-66044-2018
ZIP Code,2018,60645,47732,12906.0,7091,6952.0,5824,5468.0,5064.0,2621,1806,4329.0,0.0,0.0,43403.0,34826.0,6564.0,23992.0,23740.0,8127.0,0.0,0.0,21481.0,0.0,ZIP_Code-60645-2018
ZIP Code,2018,60646,27987,6000.0,3377,3458.0,3787,4086.0,3238.0,2108,1933,1802.0,0.0,0.0,26185.0,21987.0,5732.0,14765.0,13222.0,3971.0,0.0,0.0,20315.0,0.0,ZIP_Code-60646-2018
ZIP Code,2018,6067,87509,16298.0,22356,20993.0,11055,7700.0,5309.0,2695,1103,5924.0,0.0,0.0,81585.0,71211.0,6224.0,43182.0,44327.0,39226.0,0.0,0.0,38809.0,0.0,ZIP_Code-60647-2018
ZIPCode,2018,60649,46024,10493.0,7505,6417.0,5950,5706.0,5593.0,2807,1553,3215.0,0.0,0.0,42809.0,35531.0,6570.0,26852.0,19172.0,1183.0,0.0,0.0,1315.0,0.0,ZIP_Code-60649-2018
ZIP Cmode,2018,60651,63218,17329.0,11457,8910.0,7649,7391.0,5787.0,3359,1336,4780.0,0.0,0.0,58438.0,45889.0,7220.0,34084.0,29134.0,26860.0,0.0,0.0,2623.0,0.0,ZIP_Code-60651-2018
ZIP Code,2018,60652,43907,11679.0,7185,5764.0,6105,6065.0,4062.0,1897,1150,2769.0,0.0,0.0,41138.0,32228.0,4740.0,23123.0,20784.0,17479.0,0.0,0.0,4472.0,0.0,ZIP_Code-60652-2018
ZIP Code,2018,606z53,31972,8912.0,4760,4635.0,4404,3369.0,3233.0,1547,1112,2632.0,0.0,0.0,29340.0,23060.0,4122.0,18269.0,13703.0,689.0,0.0,0.0,1374.0,0.0,ZIP_Code-60653-2018
ZIP Code,2018,60654,19135,1611.0,5273,5645.0,2508,2217.0,1231.0,489,161,1164.0,0.0,0.0,17971.0,17524.0,1127.0,9381.0,9754.0,997.0,0.0,0.0,14124.0,0.0,ZIP_Code-60654-2018
ZIP Code,2018,60655,28804,7015.0,4153,3686.0,3798,4366.0,3278.0,1582,926,2026.0,0.0,0.0,26778.0,21789.0,3731.0,14928.0,13876.0,2390.0,0.0,0.0,23795.0,0.0,ZIP_Code-60655-2018
IP Code,2018,6066,27579,4947.0,3690,4934.0,3623,3805.0,3208.0,2115,1257,1697.0,0.0,0.0,25882.0,22632.0,4637.0,13587.0,13992.0,3382.0,0.0,0.0,21053.0,0.0,ZIP_Code-60656-o2018
ZIP Code,2018,60657,70052,8438.0,23899,17032.0,7053,5646.0,4288.0,2099,1597,3808.0,0.0,0.0,66244.0,61614.0,5618.0,34638.0,35414.0,4901.0,0.0,0.0,56392.0,0.0,ZIP_Code-60657-2018
ZIP Code,2018,66059,41068,10154.0,7449,6165.0,5198,5372.0,3730.0,2043,957,2847.0,0.0,0.0,38221.0,30914.0,4603.0,20037.0,21031.0,7880.0,0.0,0.0,16363.0,0.0,ZIP_Code-60659-2018
ZIP Code,2018,60660,43242,5045.0,10237,8402.0,5742,5475.0,4709.0,2347,1285,1891.0,0.0,0.0,41351.0,38197.0,5741.0,21705.0,21537.0,7728.0,0.0,0.0,22313.0,0.0,ZIP_Code-60660-2018
ZIP oCde,2018,60661,9926,683.0,3772,3229.0,1227,623.0,369.0,23,0,447.0,0.0,0.0,9479.0,9243.0,217.0,4817.0,5109.0,640.0,0.0,0.0,5091.0,0.0,ZIP_Code-60661-2018
ZPI Code,2018,60666,15,0.0,0,40.0,70,0.0,15.0,0,86,68.0,0.0,63.0,37.0,0.0,0.0,66.0,76.0,0.0,0.0,0.0,0.0,0.0,ZIP_Code-60666-2018
ZIP Code,2018,c60707,43019,9285.0,6546,5958.0,5818,6006.0,5111.0,2582,1713,2292.0,0.0,0.0,40727.0,33734.0,6745.0,22267.0,20752.0,16505.0,0.0,0.0,20677.0,0.0,ZIP_Code-60707-2018
ZIP ode,2018,60827,28577,8345.0,4822,3415.0,3957,3569.0,2879.0,1196,394,2591.0,0.0,0.0,25986.0,20232.0,2763.0,15666.0,12911.0,1222.0,0.0,0.0,760.0,0.0,ZIP_Code-60827-2018
Citywide,2019,Chicago,2693959,555424.0,526788,469300.0,340219,294864.0,261009.0,157790,88565,162797.0,210448.0,180859.0,2531162.0,2138535.0,362629.0,1382528.0,1311431.0,776290.0,184768.0,768524.0,901941.0,62436.0,Citywide-Chicago-2019
Zip Code,2019,60601,15083,880.0,5207,2796.0,2090,970.0,1733.0,1154,253,426.0,237.0,199.0,14657.0,14203.0,2109.0,8054.0,7029.0,1224.0,2859.0,638.0,9939.0,423.0,ZIP_Code-60601-2019
Zipz Code,2019,66002,1145,149.0,207,527.0,180,66.0,16.0,37,0,56.0,91.0,0.0,1089.0,996.0,6.0,506.0,639.0,74.0,245.0,49.0,680.0,97.0,ZIP_Code-60602-2019
Zip Code,2019,60603,1052,16.0,498,131.0,76,174.0,85.0,72,0,5.0,35.0,11.0,1047.0,1036.0,120.0,529.0,523.0,34.0,337.0,34.0,640.0,7.0,ZIP_Code-60603-2019
Zip Code,2019,60604,823,36.0,325,159.0,55,91.0,103.0,45,9,10.0,7.0,19.0,813.0,787.0,72.0,431.0,392.0,28.0,240.0,41.0,514.0,0.0,ZIP_Code-60604-2019
Zip Code,2019,60605,29060,2411.0,8519,7270.0,3621,3180.0,2165.0,1445,449,1047.0,966.0,390.0,28013.0,26649.0,2923.0,15928.0,13132.0,2185.0,4377.0,4270.0,16865.0,1363.0,ZIP_Code-60605-2019
Zip Code,2019,60606,3287,119.0,660,1096.0,483,342.0,479.0,108,0,75.0,44.0,0.0,3212.0,3168.0,378.0,1606.0,1681.0,188.0,667.0,58.0,2206.0,168.0,ZIP_Code-60606-2019
Zip Code,2019,60607,29293,3141.0,11280,7216.0,3107,2154.0,1403.0,651,341,1317.0,1257.0,542.0,27976.0,26152.0,1544.0,14563.0,14730.0,2151.0,6304.0,4168.0,15719.0,951.0,ZIP_Code-60607-2019
Zip Code,2019,60608,80059,14812.0,20455,14507.0,10292,8176.0,6705.0,3266,1846,4318.0,6021.0,4449.0,75741.0,65247.0,7939.0,35599.0,44460.0,38984.0,9914.0,13326.0,16955.0,880.0,ZIP_Code-60608-2019
Zip Coed,2019,60609,60939,15773.0,12444,8167.0,7597,6735.0,5442.0,3723,1058,4648.0,6112.0,4998.0,56291.0,45166.0,7373.0,30782.0,30157.0,32291.0,3792.0,15015.0,9232.0,609.0,ZIP_Code-60609-2019
Zip Code,2019,60610,40548,3716.0,11990,9127.0,3566,3454.0,4325.0,3148,1222,1670.0,997.0,1041.0,38878.0,36832.0,6537.0,21529.0,19019.0,2526.0,3532.0,5880.0,27468.0,1142.0,ZIP_Code-60610-2019
Zip Code,2019,60611,33224,1856.0,7778,7168.0,2693,4066.0,4806.0,3344,1513,965.0,445.0,446.0,32259.0,31368.0,7142.0,17716.0,15508.0,1573.0,6156.0,967.0,23769.0,759.0,ZIP_Code-60611-2019
Zip Code,2019,60612,33735,7837.0,7330,5921.0,4020,3695.0,2842.0,1363,727,2255.0,2832.0,2431.0,31480.0,25898.0,3325.0,17781.0,15954.0,4056.0,1449.0,19873.0,7629.0,728.0,ZIP_Code-60612-2019
Zpi Code,2019,60613,50761,5885.0,14036,13315.0,5534,5059.0,3409.0,2080,1443,2726.0,1981.0,1178.0,48035.0,44876.0,4904.0,25108.0,25653.0,5645.0,3491.0,2985.0,37074.0,1566.0,ZIP_Code-60613-2019
Zip Code,2019,60614,71954,10115.0,24583,14628.0,7458,5728.0,5230.0,2735,1477,3738.0,3678.0,2638.0,68216.0,61839.0,6729.0,35273.0,36681.0,4438.0,5218.0,3016.0,57117.0,2165.0,ZIP_Code-60614-2019
Zip Code,2019,60615,40590,6219.0,10400,6495.0,4407,4266.0,4536.0,2621,1646,2054.0,2323.0,1842.0,38536.0,34371.0,6411.0,22464.0,18126.0,2220.0,3448.0,21960.0,11148.0,1814.0,ZIP_Code-60615-2019
Zip Code,2019,60616,54197,7829.0,11557,8634.0,7107,7319.0,6256.0,3243,2252,2095.0,2782.0,2923.0,52102.0,46368.0,8636.0,28388.0,25809.0,4569.0,21379.0,12694.0,14418.0,1137.0,ZIP_Code-60616-2019
Zip Code,2019,60617,83553,22163.0,14558,8990.0,10282,10804.0,7459.0,5638,3659,5372.0,8092.0,8699.0,78181.0,61390.0,12578.0,45646.0,37907.0,31048.0,220.0,46967.0,4934.0,384.0,ZIP_Code-60617-2019
Zip Code,2019,60618,94907,20662.0,16885,20317.0,14662,9723.0,6847.0,3814,1997,6642.0,8411.0,5570.0,88265.0,74245.0,8699.0,47171.0,47736.0,38208.0,5757.0,2408.0,45593.0,2941.0,ZIP_Code-60618-2019
Zip Code,2019,60619,61207,12737.0,9612,7647.0,6791,9186.0,8006.0,4051,3177,3861.0,4870.0,4002.0,57346.0,48470.0,10458.0,33573.0,27634.0,804.0,145.0,58412.0,903.0,943.0,ZIP_Code-60619-2019
Zip Code,2019,60620,67711,15359.0,10807,7456.0,8139,9801.0,7622.0,5110,3417,3914.0,5860.0,5585.0,63797.0,52352.0,11975.0,37282.0,30429.0,1246.0,276.0,64588.0,847.0,754.0,ZIP_Code-60620-2019
Zip Code,2019,6061,28018,7506.0,4822,3148.0,2806,3819.0,3002.0,1793,1122,2387.0,2964.0,2151.0,25631.0,20512.0,3969.0,14898.0,13120.0,891.0,68.0,26517.0,289.0,253.0,ZIP_Code-60621-209
Zip Code,2019,60622,53294,7684.0,14300,15850.0,6692,3993.0,2626.0,1236,913,3536.0,2437.0,1708.0,49758.0,45610.0,3275.0,25366.0,27928.0,12207.0,2335.0,3150.0,34207.0,1395.0,ZIP_Code-60622-2019
Zip Code,2019,60623,81283,23403.0,15040,12147.0,9672,8570.0,6534.0,4516,1401,6073.0,9735.0,7595.0,75210.0,57880.0,8645.0,41033.0,40250.0,54297.0,80.0,24101.0,2366.0,439.0,ZIP_Code-60623-2019
Zip Code,2019,60624,34892,10189.0,6449,4158.0,4122,3967.0,3369.0,1585,1053,2839.0,4268.0,3074.0,32053.0,24703.0,4038.0,18344.0,16548.0,1773.0,53.0,31436.0,1109.0,521.0,ZIP_Code-60624-2019
Zip Code,2019,60625,79444,15998.0,14847,17078.0,11236,8505.0,6608.0,3005,2167,5762.0,5896.0,4285.0,73682.0,63446.0,8057.0,40178.0,39266.0,25483.0,10658.0,3599.0,36289.0,3415.0,ZIP_Code-60625-2019
Zip Code,2019,6d0626,50544,8949.0,12083,9436.0,6774,5958.0,3966.0,1959,1419,2851.0,3615.0,2397.0,47693.0,41595.0,4957.0,25646.0,24898.0,9906.0,2712.0,13410.0,22592.0,1924.0,ZIP_Code-60626-2019
Zip oCde,2019,60628,64254,14482.0,11307,7139.0,7957,8359.0,7303.0,4771,2936,3945.0,5447.0,5085.0,60309.0,49772.0,11046.0,34294.0,29960.0,2267.0,135.0,59478.0,1333.0,1041.0,ZIP_Code-60628-2019
Zip Code,2019,60629,110029,31655.0,21216,15007.0,14724,11187.0,8119.0,6041,2080,8901.0,11658.0,11095.0,101128.0,78374.0,11593.0,56206.0,53823.0,78826.0,582.0,21116.0,8463.0,1042.0,ZIP_Code-60629-2019
Zip fCode,2019,60630,56433,11266.0,7717,8800.0,7969,8263.0,6654.0,3340,2424,3111.0,4526.0,3621.0,53322.0,45167.0,8687.0,28985.0,27448.0,16066.0,6177.0,831.0,31403.0,1956.0,ZIP_Code-60630-2019
Zip Code,2019,60631,29529,5864.0,3630,4016.0,3914,4447.0,3717.0,1794,2147,2066.0,2248.0,1550.0,27463.0,23665.0,5573.0,15197.0,14332.0,3500.0,1031.0,269.0,23763.0,966.0,ZIP_Code-60631-2019
Zip oCde,2019,60632,89857,25874.0,17624,12751.0,11240,9063.0,6797.0,4774,1734,6734.0,10103.0,9037.0,83123.0,63983.0,9384.0,43856.0,46001.0,74575.0,6176.0,1034.0,7652.0,420.0,ZIP_Code-60632-2019
Zip Coe,2019,60633,12689,2781.0,1909,1787.0,1480,1943.0,1286.0,975,528,710.0,805.0,1257.0,11979.0,9908.0,2089.0,6044.0,6645.0,6038.0,0.0,2955.0,3654.0,42.0,ZIP_Code60633-2019
Zip Coed,2019,60634,75082,16271.0,10415,11160.0,10302,10919.0,8529.0,4761,2725,4508.0,6182.0,5573.0,70574.0,58811.0,11445.0,38764.0,36318.0,28812.0,4121.0,1073.0,40322.0,754.0,ZIP_Code-60634-2019
Zp Code,2019,60636,30024,6693.0,4672,3304.0,3432,3969.0,3019.0,3746,1189,1859.0,2461.0,2373.0,28165.0,23331.0,6321.0,16097.0,13927.0,2823.0,24.0,26359.0,441.0,377.0,ZIP_Code-60636-2019
Zip Code,2019,60637,47300,11114.0,11975,5877.0,4931,5254.0,4636.0,2183,1330,3022.0,4169.0,3813.0,44278.0,36186.0,5588.0,26629.0,20671.0,1543.0,2218.0,35425.0,6966.0,1148.0,ZIP_Code-6063-2019
Zip Code,2019,60638,58669,14545.0,7924,8989.0,7264,7874.0,6506.0,3398,2169,3884.0,5542.0,5119.0,54785.0,44124.0,8240.0,29443.0,29226.0,29543.0,311.0,2177.0,26016.0,622.0,ZIP_Code-60638-2019
Zpi Code,2019,60639,88204,23036.0,15550,13440.0,12571,10179.0,8034.0,3780,1614,6161.0,9273.0,7600.0,82043.0,65168.0,8698.0,44143.0,44061.0,68792.0,1124.0,10828.0,6628.0,832.0,ZIP_Code-60639-2019
Zip Code,2019,60640,69363,9048.0,14021,15071.0,10179,8372.0,6017.0,3545,3110,2910.0,3768.0,2323.0,66453.0,60315.0,9319.0,33290.0,36073.0,9772.0,7411.0,11484.0,38787.0,1909.0,ZIP_Code-60640-2019
Zip Code,2019,60641,69880,15420.0,10959,11809.0,10150,8899.0,7444.0,3286,1913,4385.0,5936.0,5075.0,65495.0,54460.0,8121.0,35575.0,34305.0,38120.0,3208.0,1429.0,25014.0,2109.0,ZIP_Code-60641-2019
Zip Code,2019,60642,19716,1839.0,6660,5777.0,2209,1378.0,1149.0,484,220,916.0,581.0,342.0,18800.0,17877.0,1175.0,9427.0,10289.0,3202.0,1427.0,1962.0,12534.0,591.0,ZIP_Code-60642-2019
Zip Code,2019,60643,48887,10830.0,5760,5903.0,5640,7757.0,6766.0,3341,2890,2989.0,3560.0,4254.0,45898.0,38057.0,9169.0,26875.0,22012.0,1509.0,139.0,35352.0,10446.0,1441.0,ZIP_Code-60643-2019
Zip Code,2019,60464,46591,12104.0,8152,5982.0,5530,5631.0,5072.0,2507,1613,3337.0,4801.0,3963.0,43254.0,34487.0,6470.0,24672.0,21919.0,3194.0,103.0,41158.0,1781.0,355.0,ZIP_Code-60644-2019
Zip Code,2019,60645,47270,12801.0,7047,6555.0,6026,5847.0,4682.0,2478,1834,4422.0,4648.0,3717.0,42848.0,34469.0,6345.0,23525.0,23745.0,8312.0,8373.0,7200.0,21103.0,2282.0,ZIP_Code-60645-2019
Zip Code,2019,60646,28569,6507.0,3187,3464.0,3915,3779.0,3546.0,2231,1940,1801.0,2422.0,2284.0,26768.0,22062.0,5914.0,15310.0,13259.0,4300.0,2771.0,286.0,20625.0,587.0,ZIP_Code-60646-2019
Zip Code,2019,60647,87633,15892.0,22226,21408.0,11447,7438.0,5301.0,2800,1121,5848.0,5377.0,4637.0,81785.0,71741.0,6315.0,43228.0,44405.0,37622.0,3019.0,4268.0,40544.0,2180.0,ZIP_Code-60647-2019
Zip Code,2019,60649,46633,10399.0,7662,7040.0,6036,5582.0,5548.0,2849,1517,3122.0,3913.0,3359.0,43511.0,36234.0,6723.0,26590.0,20043.0,1189.0,148.0,43366.0,1234.0,696.0,ZIP_Code-60649-2019
Zip Code,2019,60651,63492,17077.0,11299,9175.0,8027,7257.0,5959.0,3196,1502,4563.0,6594.0,5906.0,58929.0,46415.0,7500.0,34216.0,29276.0,27245.0,295.0,32223.0,2799.0,930.0,ZIP_Code-60651-2019
Zip Code,2019,60652,43447,11360.0,7017,5397.0,6166,6133.0,4153.0,2034,1187,2695.0,4731.0,3933.0,40752.0,32087.0,5061.0,23006.0,20441.0,18027.0,429.0,19747.0,4183.0,1061.0,ZIP_Code-60652-2019
Zip Code,2019,60653,33154,9162.0,5169,4760.0,4211,3680.0,3352.0,1842,978,2902.0,3319.0,2923.0,30252.0,23992.0,4239.0,18812.0,14342.0,913.0,418.0,29379.0,1624.0,820.0,ZIP_Code-60653-2019
