OBJECTID,DFIRM_ID,FIRM_ID,ST_FIPS,PCOMM,PANEL,SUFFIX,FIRM_PAN,PANEL_TYP,EFF_DATE,SCALE,PNP_REASON,NW_LAT,NW_LONG,SE_LAT,SE_LONG,SOURCE_CIT
3696,50003C,50003C_89,50,003C,0570,D,50003C0570D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3697,50003C,50003C_90,50,003C,0465,D,50003C0465D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3698,50003C,50003C_91,50,003C,0155,D,50003C0155D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3699,50003C,50003C_92,50,003C,0165,D,50003C0165D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3700,50003C,50003C_93,50,003C,0170,D,50003C0170D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3701,50003C,50003C_94,50,003C,0095,D,50003C0095D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3702,50003C,50003C_95,50,003C,0135,D,50003C0135D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3703,50003C,50003C_96,50,003C,0270,D,50003C0270D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3704,50003C,50003C_97,50,003C,0090,D,50003C0090D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3705,50003C,50003C_98,50,003C,0405,D,50003C0405D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3706,50003C,50003C_99,50,003C,0185,D,50003C0185D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3707,50003C,50003C_100,50,003C,0440,D,50003C0440D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3708,50003C,50003C_101,50,003C,0335,D,50003C0335D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3709,50003C,50003C_102,50,003C,0375,D,50003C0375D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3710,50003C,50003C_103,50,003C,0418,D,50003C0418D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3711,50003C,50003C_104,50,003C,0419,D,50003C0419D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3712,50003C,50003C_105,50,003C,0502,D,50003C0502D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3713,50003C,50003C_106,50,003C,0514,D,50003C0514D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3714,50003C,50003C_107,50,003C,0183,D,50003C0183D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3715,50003C,50003C_108,50,003C,0191,D,50003C0191D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3716,50003C,50003C_109,50,003C,0512,D,50003C0512D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3717,50003C,50003C_110,50,003C,0511,D,50003C0511D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3718,50003C,50003C_111,50,003C,0505,D,50003C0505D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3719,50003C,50003C_112,50,003C,0070,D,50003C0070D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3720,50003C,50003C_11,50,003C,0410,D,50003C0410D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3721,50003C,50003C_12,50,003C,0075,D,50003C0075D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,AREA OUTSIDE COUNTY BOUNDARY,,,,,50003C_BASE8
3722,50003C,50003C_13,50,003C,0250,D,50003C0250D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,AREA OUTSIDE COUNTY BOUNDARY,,,,,50003C_BASE8
3723,50003C,50003C_15,50,003C,0475,D,50003C0475D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3724,50003C,50003C_16,50,003C,0050,D,50003C0050D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,24000,,,,,,50003C_BASE8
3725,50003C,50003C_17,50,003C,0520,D,50003C0520D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3726,50003C,50003C_18,50,003C,0560,D,50003C0560D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3727,50003C,50003C_19,50,003C,0350,D,50003C0350D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3728,50003C,50003C_14,50,003C,0180,D,50003C0180D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3729,50003C,50003C_1,50,003C,0600,D,50003C0600D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3730,50003C,50003C_2,50,003C,0650,D,50003C0650D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3731,50003C,50003C_3,50,003C,0675,D,50003C0675D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3732,50003C,50003C_4,50,003C,0625,D,50003C0625D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3733,50003C,50003C_5,50,003C,0025,D,50003C0025D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3734,50003C,50003C_6,50,003C,0400,D,50003C0400D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,AREA OUTSIDE COUNTY BOUNDARY,,,,,50003C_BASE8
3735,50003C,50003C_7,50,003C,0500,D,50003C0500D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,24000,,,,,,50003C_BASE8
3736,50003C,50003C_8,50,003C,0150,D,50003C0150D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3737,50003C,50003C_9,50,003C,0275,D,50003C0275D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,AREA OUTSIDE COUNTY BOUNDARY,,,,,50003C_BASE8
3738,50003C,50003C_10,50,003C,0290,D,50003C0290D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3739,50003C,50003C_20,50,003C,0325,D,50003C0325D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,24000,,,,,,50003C_BASE8
3740,50003C,50003C_21,50,003C,0160,D,50003C0160D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3741,50003C,50003C_22,50,003C,0125,D,50003C0125D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,AREA OUTSIDE COUNTY BOUNDARY,,,,,50003C_BASE8
3742,50003C,50003C_23,50,003C,0450,D,50003C0450D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3743,50003C,50003C_24,50,003C,0260,D,50003C0260D,"Countywide, Not Printed",2015/12/02 00:00:00+00,12000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3744,50003C,50003C_25,50,003C,0257,D,50003C0257D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3745,50003C,50003C_26,50,003C,0278,D,50003C0278D,"Countywide, Not Printed",2015/12/02 00:00:00+00,6000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3746,50003C,50003C_27,50,003C,0281,D,50003C0281D,"Countywide, Not Printed",2015/12/02 00:00:00+00,6000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3747,50003C,50003C_28,50,003C,0294,D,50003C0294D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3748,50003C,50003C_29,50,003C,0276,D,50003C0276D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3749,50003C,50003C_30,50,003C,0277,D,50003C0277D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3750,50003C,50003C_31,50,003C,0279,D,50003C0279D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3751,50003C,50003C_32,50,003C,0283,D,50003C0283D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3752,50003C,50003C_33,50,003C,0284,D,50003C0284D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3753,50003C,50003C_34,50,003C,0282,D,50003C0282D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3754,50003C,50003C_35,50,003C,0305,D,50003C0305D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3755,50003C,50003C_36,50,003C,0301,D,50003C0301D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3756,50003C,50003C_37,50,003C,0302,D,50003C0302D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3757,50003C,50003C_38,50,003C,0291,D,50003C0291D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3758,50003C,50003C_39,50,003C,0292,D,50003C0292D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3759,50003C,50003C_40,50,003C,0293,D,50003C0293D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3760,50003C,50003C_41,50,003C,0395,D,50003C0395D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3761,50003C,50003C_42,50,003C,0412,D,50003C0412D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3762,50003C,50003C_43,50,003C,0411,D,50003C0411D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3763,50003C,50003C_44,50,003C,0413,D,50003C0413D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3764,50003C,50003C_45,50,003C,0414,D,50003C0414D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3765,50003C,50003C_46,50,003C,0420,D,50003C0420D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3766,50003C,50003C_47,50,003C,0493,D,50003C0493D,"Countywide, Not Printed",2015/12/02 00:00:00+00,6000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3767,50003C,50003C_48,50,003C,0492,D,50003C0492D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3768,50003C,50003C_49,50,003C,0491,D,50003C0491D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3769,50003C,50003C_50,50,003C,0494,D,50003C0494D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3770,50003C,50003C_51,50,003C,0513,D,50003C0513D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3771,50003C,50003C_52,50,003C,0605,D,50003C0605D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3772,50003C,50003C_53,50,003C,0602,D,50003C0602D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3773,50003C,50003C_55,50,003C,0194,D,50003C0194D,"Countywide, Not Printed",2015/12/02 00:00:00+00,6000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3774,50003C,50003C_56,50,003C,0189,D,50003C0189D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3775,50003C,50003C_54,50,003C,0190,D,50003C0190D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3776,50003C,50003C_57,50,003C,0193,D,50003C0193D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3777,50003C,50003C_58,50,003C,0192,D,50003C0192D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3778,50003C,50003C_59,50,003C,0220,D,50003C0220D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3779,50003C,50003C_60,50,003C,0218,D,50003C0218D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3780,50003C,50003C_61,50,003C,0219,D,50003C0219D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3781,50003C,50003C_62,50,003C,0240,D,50003C0240D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3782,50003C,50003C_63,50,003C,0238,D,50003C0238D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3783,50007C,50007C_16,50,007C,0292,E,50007C0292E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3784,50007C,50007C_17,50,007C,0293,E,50007C0293E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3785,50007C,50007C_18,50,007C,0314,E,50007C0314E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3786,50007C,50007C_19,50,007C,0316,E,50007C0316E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3787,50007C,50007C_20,50,007C,0318,E,50007C0318E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3788,50007C,50007C_21,50,007C,0311,E,50007C0311E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3789,50007C,50007C_22,50,007C,0312,E,50007C0312E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3790,50007C,50007C_23,50,007C,0313,E,50007C0313E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3791,50007C,50007C_33,50,007C,0310,D,50007C0310D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,12000,,,,,,50007C_FIRM1
3792,50007C,50007C_34,50,007C,0159,D,50007C0159D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3793,50007C,50007C_35,50,007C,0164,D,50007C0164D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3794,50007C,50007C_36,50,007C,0156,D,50007C0156D,"Countywide, Not Printed",2011/07/18 00:00:00+00,6000,PANEL NOT PRINTED - NO SPECIAL FLOOD HAZARD AREAS,,,,,50007C_FIRM1
3795,50007C,50007C_37,50,007C,0158,D,50007C0158D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3796,50007C,50007C_1,50,007C,0132,D,50007C0132D,"Countywide, Not Printed",2011/07/18 00:00:00+00,6000,PANEL NOT PRINTED - NO SPECIAL FLOOD HAZARD AREAS,,,,,50007C_FIRM1
3797,50007C,50007C_2,50,007C,0133,D,50007C0133D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3798,50007C,50007C_3,50,007C,0155,D,50007C0155D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,12000,,,,,,50007C_FIRM1
3799,50007C,50007C_4,50,007C,0403,D,50007C0403D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3800,50007C,50007C_5,50,007C,0455,D,50007C0455D,"Countywide, Not Printed",2011/07/18 00:00:00+00,12000,PANEL NOT PRINTED - NO SPECIAL FLOOD HAZARD AREAS,,,,,50007C_FIRM1
3801,50007C,50007C_6,50,007C,0451,D,50007C0451D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3802,50007C,50007C_7,50,007C,0452,D,50007C0452D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3803,50007C,50007C_8,50,007C,0480,D,50007C0480D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,12000,,,,,,50007C_FIRM1
3804,50007C,50007C_9,50,007C,0428,D,50007C0428D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3805,50007C,50007C_10,50,007C,0432,D,50007C0432D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3806,50007C,50007C_11,50,007C,0436,D,50007C0436D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3807,50007C,50007C_12,50,007C,0425,E,50007C0425E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,24000,,,,,,50007C_FIRM1
3808,50007C,50007C_13,50,007C,0294,E,50007C0294E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3809,50007C,50007C_14,50,007C,0290,E,50007C0290E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,12000,,,,,,50007C_FIRM1
3810,50007C,50007C_15,50,007C,0291,E,50007C0291E,"Countywide, Panel Printed",2014/08/04 00:00:00+00,6000,,,,,,50007C_FIRM1
3811,50007C,50007C_24,50,007C,0437,D,50007C0437D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3812,50007C,50007C_25,50,007C,0438,D,50007C0438D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3813,50007C,50007C_26,50,007C,0350,D,50007C0350D,"Countywide, Not Printed",2011/07/18 00:00:00+00,24000,PANEL NOT PRINTED - NO SPECIAL FLOOD HAZARD AREAS,,,,,50007C_FIRM1
3814,50007C,50007C_27,50,007C,0194,D,50007C0194D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3815,50007C,50007C_28,50,007C,0225,D,50007C0225D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,24000,,,,,,50007C_FIRM1
3816,50007C,50007C_29,50,007C,0185,D,50007C0185D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,12000,,,,,,50007C_FIRM1
3817,50007C,50007C_30,50,007C,0192,D,50007C0192D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3818,50007C,50007C_31,50,007C,0215,D,50007C0215D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,12000,,,,,,50007C_FIRM1
3819,50007C,50007C_32,50,007C,0213,D,50007C0213D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3820,50007C,50007C_48,50,007C,0186,D,50007C0186D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3821,50007C,50007C_49,50,007C,0187,D,50007C0187D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3822,50007C,50007C_50,50,007C,0188,D,50007C0188D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3823,50007C,50007C_51,50,007C,0254,D,50007C0254D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3824,50007C,50007C_52,50,007C,0259,D,50007C0259D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3825,50007C,50007C_53,50,007C,0264,D,50007C0264D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3826,50007C,50007C_54,50,007C,0251,D,50007C0251D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3827,50007C,50007C_55,50,007C,0252,D,50007C0252D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3828,50007C,50007C_56,50,007C,0253,D,50007C0253D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3829,50007C,50007C_57,50,007C,0256,D,50007C0256D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3830,50007C,50007C_58,50,007C,0258,D,50007C0258D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3831,50007C,50007C_59,50,007C,0261,D,50007C0261D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3832,50007C,50007C_38,50,007C,0161,D,50007C0161D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3833,50007C,50007C_39,50,007C,0162,D,50007C0162D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3834,50007C,50007C_40,50,007C,0163,D,50007C0163D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3835,50007C,50007C_41,50,007C,0166,D,50007C0166D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3836,50007C,50007C_42,50,007C,0167,D,50007C0167D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3837,50007C,50007C_43,50,007C,0168,D,50007C0168D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3838,50007C,50007C_44,50,007C,0180,D,50007C0180D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,12000,,,,,,50007C_FIRM1
3839,50007C,50007C_45,50,007C,0189,D,50007C0189D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3840,50007C,50007C_46,50,007C,0191,D,50007C0191D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3841,50007C,50007C_47,50,007C,0193,D,50007C0193D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3842,50003C,50003C_64,50,003C,0630,D,50003C0630D,"Countywide, Not Printed",2015/12/02 00:00:00+00,12000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3843,50003C,50003C_65,50,003C,0530,D,50003C0530D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3844,50003C,50003C_66,50,003C,0544,D,50003C0544D,"Countywide, Not Printed",2015/12/02 00:00:00+00,6000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3845,50003C,50003C_67,50,003C,0540,D,50003C0540D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3846,50003C,50003C_68,50,003C,0541,D,50003C0541D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3847,50003C,50003C_69,50,003C,0542,D,50003C0542D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3848,50003C,50003C_70,50,003C,0543,D,50003C0543D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3849,50003C,50003C_71,50,003C,0539,D,50003C0539D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3850,50003C,50003C_72,50,003C,0627,D,50003C0627D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3851,50003C,50003C_73,50,003C,0215,D,50003C0215D,"Countywide, Not Printed",2015/12/02 00:00:00+00,12000,NO SPECIAL FLOOD HAZARD AREAS,,,,,50003C_BASE8
3852,50007C,50007C_70,50,007C,0278,D,50007C0278D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
3853,50007C,50007C_71,50,007C,0281,D,50007C0281D,"Countywide, Panel Printed",2011/07/18 00:00:00+00,6000,,,,,,50007C_FIRM1
