1027.facility_name,"tS. Joseph Hospital, Eureka","St. Joseph Hospital, Eureka"
86.facility_name,Adventist Medical Center,"Kaiser Foundation Hospital, Fontana"
1411.county,Alamead,Alameda
1245.county,Almaeda,Alameda
715.facility_name,Sa nJoaquin Community Hospital,San Joaquin Community Hospital
71.facility_name,Barstow Community Hospital,Henry Mayo Newhall Hospital
36.facility_id,120000338,250000006
48.facility_name,Alta Bates Summit Medical Center,El Camino Hospital
87.facility_name,Barton Memorial Hospital,"Kaiser Foundation Hospital, Fremont"
753.county,Alamedma,Alameda
89.facility_name,Alta Bates Summit Medical Center,"Kaiser Foundation Hospital, Los Angeles"
908.facility_name,Sutter Solano Medical Centr,Sutter Solano Medical Center
65.facility_id,60000002,930000068
54.facility_id,60000002,930000056
1216.facility_id,11000006f8,110000068
809.facility_name,"Kaiser Foundation Hospital and Reha bCenter, Vallejo","Kaiser Foundation Hospital and Rehab Center, Vallejo"
910.facility_id,12000167,120001467
19.facility_id,930000005,60000006
7.facility_name,Centinela Hospital Medical Center,Anaheim Global Medical Center
55.facility_id,930000005,60000011
1435.county,Alajmeda,Alameda
1446.facility_name,Kaeah Delta Medical Center,Kaweah Delta Medical Center
84.facility_id,40000122,930001543
84.facility_name,Adventist Medical Center,"Kaiser Foundation Hospital, Baldwin Park"
73.facility_id,40000122,140000034
808.county,Contra Ctosta,Contra Costa
847.county,El Droado,El Dorado
43.facility_id,930000005,70000139
87.facility_id,630012960,140001086
66.facility_id,240000100,70000153
859.facility_name,Northbay Vacavnalley Hospital,Northbay Vacavalley Hospital
45.facility_name,Barton Memorial Hospital,East Los Angeles Doctors Hospital
1235.county,Alamda,Alameda
21.facility_name,Centinela Hospital Medical Center,Children's Hospital at Mission
831.facility_name,Kern Medcal Center,Kern Medical Center
1149.facility_id,120000710,120000701
1126.facility_name,Kern Medical Cneter,Kern Medical Center
14.facility_name,Alta Bates Summit Medical Center,Beverly Hospital
31.facility_name,Delano Regional Medical Center,Community Hospital of Huntington Park
763.facility_name,Bakersfield rMemorial Hospital,Bakersfield Memorial Hospital
912.facility_id,1100000i70,110000070
12.facility_id,930000005,240000001
62.facility_id,140000425,930000093
37.facility_name,Delano Regional Medical Center,Dameron Hospital
46.facility_name,Banner Lassen Medical Center,Eden Medical Center
42.facility_name,California Hospital Medical Center - Los Angeles,Doctors Medical Center
63.facility_id,930000005,930000060
52.facility_name,Alta Bates Summit Medical Center - Alta Bates Campus,Fairchild Medical Center
671.facility_name,ern Medical Center,Kern Medical Center
863.county,Blutte,Butte
681.facility_name,Mad River Cmmunity Hospital,Mad River Community Hospital
956.county,Awlameda,Alameda
1102.county,pAlameda,Alameda
550.county,Cnotra Costa,Contra Costa
61.facility_id,60000002,930000059
335.county,Aameda,Alameda
49.facility_id,40000122,90000040
707.facility_id,120000409***,120000409
824.county,lameda,Alameda
77.facility_id,240000100,60000015
1026.county,Aameda,Alameda
540.county,Fersno,Fresno
32.facility_id,140000425,240000082
11.facility_id,40000122,230000008
33.facility_id,930000005,70000137
1287.county,Contra Cossta,Contra Costa
82.facility_id,140000425,110000011
1002.facility_name,Kern Medicali Center,Kern Medical Center
772.county,Alamea,Alameda
1430.county,Cnotra Costa,Contra Costa
26.facility_name,Bakersfield Memorial Hospital,Citrus Valley Medical Center - QV Campus
93.facility_id,930000008,630013398
88.facility_id,930000005,40000949
34.facility_id,60000002,50000014
9.facility_name,Alta Bates Summit Medical Center,Arrowhead Regional Medical Center
77.facility_name,Adventist Medical Center - Selma,Huntington Beach Hospital
1300.county,Alamead,Alameda
1092.county,Conrta Costa,Contra Costa
1055.county,Aslameda,Alameda
99.facility_id,630012960,30001370
564.facility_id,12000444,120001444
510.facility_id,11000049,110000049
13.facility_id,60000002,30000114
28.facility_id,60000002,930000038
1074.county,Aalmeda,Alameda
95.facility_name,Barton Memorial Hospital,"Kaiser Foundation Hospital, Orange County, Irvine"
795.county,Butte***,Butte
24.facility_id,60000074,240000003
29.facility_name,Delano Regional Medical Center,College Medical Center
81.facility_id,930000005,140000187
656.county,Almeda,Alameda
1363.county,eAlameda,Alameda
100.facility_name,Centinela Hospital Medical Center,"Kaiser Foundation Hospital, Sacramento"
1049.facility_name,Bakersield Memorial Hospital,Bakersfield Memorial Hospital
740.county,Amadomr,Amador
670.facility_id,120001444***,120001444
1140.facility_name,Marin Genearl Hospital,Marin General Hospital
16.facility_name,Centinela Hospital Medical Center,California Pacific Medical Center - California West Campus Hospital
40.facility_id,60000002,240001330
1370.facility_id,120000l342,120000342
75.facility_name,Bakersfield Memorial Hospital,Hoag Memorial Hospital Presbyterian
