189.locationvalue,"(41.99o82282538, -87.6671044665)","(41.9982282538, -87.6671044665)"
359.locationvalue,"(41.655188r5903, -87.5469994185)","(41.6551885903, -87.5469994185)"
368.locationvalue,"(41.706874405, -87.6333809292)","(41.7506874405, -87.6333809292)"
51.address,4213 N KEZIE AVE,4213 N KEDZIE AVE
254.storename,SAVE-A-LTO  # 858,SAVE-A-LOT  # 858
159.address,8235  WIRVING PARK RD,8235 W IRVING PARK RD
250.storename,KHsALIL FOOD & LIQUOR,KHALIL FOOD & LIQUOR
140.communityareaname,IRVIGN PARK,IRVING PARK
79.storename,KOL TUV KOHSER FOODS INC,KOL TUV KOSHER FOODS INC
481.buffersize,,A
273.address,4183 N CLAREDON AVE,4183 N CLARENDON AVE
240.address,338 W WRIGHTWOOD AVE,3638 W WRIGHTWOOD AVE
388.buffersize,pA,A
175.address,5952 W gGRAND AVE,5952 W GRAND AVE
117.buffersize,***,B
137.address,2445  WDEVON AVE,2445 W DEVON AVE
331.locationvalue,"(41.8093228701, -87.6f133355212)","(41.8093228701, -87.6133355212)"
33.address, N HALSTED ST,1 N HALSTED ST
358.communityareaname,DUNNIGN,DUNNING
174.locationvalue,"(j41.8046211506, -87.7199070655)","(41.8046211506, -87.7199070655)"
32.storename,ANDYS FRIT RANCH,ANDYS FRUIT RANCH
402.locationvalue,"(41.8956627719, -h87.637220715)","(41.8956627719, -87.637220715)"
499.locationvalue,"(41.9683547002,-87.7073943249)","(41.9683547002, -87.7073943249)"
132.address,4359 S jCAMPBELL AVE,4359 S CAMPBELL AVE
356.communityareaname,OODLAWN,WOODLAWN
437.communityareaname,SOUTHC HICAGO,SOUTH CHICAGO
21.buffersize,nA,A
307.buffersize,sB,B
388.communityareaname,LOWRE WEST SIDE,LOWER WEST SIDE
310.locationvalue,"(41.8862936769, -87.6426439206)","(41.8862936679, -87.6426439206)"
432.storename,The nit,The Unit
263.address,460 N BROADWAY,3460 N BROADWAY
350.communityareaname,ROSEAND,ROSELAND
12.storename,ARNICERIA LA GLORIA,CARNICERIA LA GLORIA
354.buffersize,,B
369.address,49s32 N SHERIDAN RD,4932 N SHERIDAN RD
281.locationvalue,"(41.6709717654, -87.641533046)","(41.6709717654, -87.6415330496)"
247.locationvalue,"(41.697238208,8 -87.6814748042)","(41.6972382088, -87.6814748042)"
386.locationvalue,"4(1.9745429477, -87.8113468842)","(41.9745429477, -87.8113468842)"
411.buffersize,sB,B
157.communityareaname,hWEST TOWN,WEST TOWN
495.buffersize,,A
439.storename,"DOMINICK'S Finevr Foods, Inc. #1695","DOMINICK'S Finer Foods, Inc. #1695"
168.communityareaname,IRVIN GPARK,IRVING PARK
56.locationvalue,"(41.69631368, -87.5966224)","(41.69631368, -87.59663224)"
147.communityareaname,RGOERS PARK,ROGERS PARK
37.storename,EL  PASEO BORICUA,EL  PASEO  BORICUA
269.buffersize,lB,B
369.buffersize,***,B
203.address,5629 W FILLOMRE ST,5629 W FILLMORE ST
406.locationvalue,"(41.7512179339,- 87.6014014102)","(41.7512179339, -87.6014014102)"
60.storename,PETE'S RODUCE,PETE'S PRODUCE
282.locationvalue,"(41.7071353216, -87.61824f17299)","(41.7071353216, -87.6182417299)"
243.storename,ALD'S,ALDI'S
425.buffersize,***,A
63.locationvalue,"(419.225974657, -87.6970976291)","(41.9225974657, -87.6970976291)"
506.address,3311 W 26TH T,3311 W 26TH ST
367.storename,TREASURE SLAND FOODS,TREASURE ISLAND FOODS
2.storename,QUIK STOP FOOD MART,QUICK STOP FOOD MART
398.buffersize,,A
228.communityareaname,UTOWN,UPTOWN
116.storename,"MORELIA SUPERMARKET #2, zINC.","MORELIA SUPERMARKET #2, INC."
487.buffersize,,B
12.address,551 W 51ST ST,2551 W 51ST ST
274.storename,JEWEL FOOsD STORE #3043,JEWEL FOOD STORE #3043
487.storename,"CARNICERIA LA HlACIENDA, INC.","CARNICERIA LA HACIENDA, INC."
120.locationvalue,"(41.692319266, -87.6546632113)","(41.6923196266, -87.6546632113)"
396.address,6316S ASHLAND AVE,6316 S ASHLAND AVE
307.communityareaname,LINCOLN SQrUARE,LINCOLN SQUARE
200.storename,FOOD 4 LESS MIDWEST #78l9,FOOD 4 LESS MIDWEST #789
460.buffersize,***,B
276.storename,UPER MAS MARKET,SUPER MAS MARKET
207.communityareaname,OGERS PARK,ROGERS PARK
149.storename,SUPRMERCADO EL MEXICANO,SUPERMERCADO EL MEXICANO
16.address,421 W NORTH AVE,4821 W NORTH AVE
12.locationvalue,"(41.8009692763, -87.887220987)","(41.8009692763, -87.6887220987)"
395.locationvalue,"(41.9101322404, -8.6946003939)","(41.9101322404, -87.6946003939)"
380.locationvalue,"(41.9872696368,-87.7785157048)","(41.9872696368, -87.7785157048)"
60.communityareaname,CALUMET HEIGHTiS,CALUMET HEIGHTS
392.locationvalue,"(41.8482371659, -87.640955527)5","(41.8482371659, -87.6409555275)"
346.locationvalue,"(41.997853h6894, -87.6890642657)","(41.9978536894, -87.6890642657)"
279.locationvalue,"(41.966797112, -87.7672w994806)","(41.966797112, -87.7672994806)"
133.address,6057 S WESTERN AdVE,6057 S WESTERN AVE
413.locationvalue,"(41.7678312792, -87.647659397)","(41.7678312792, -87.6247659397)"
452.buffersize,nA,A
382.communityareaname,SOUTH LfAWNDALE,SOUTH LAWNDALE
256.locationvalue,"(41.7247877337, -87.6533842508)","(41.7427877337, -87.6533842508)"
498.communityareaname,SOUTH LAWNDALkE,SOUTH LAWNDALE
176.address,5202 W GRAhND AVE,5202 W GRAND AVE
16.buffersize,***,A
419.storename,JEWEL FOOD STORE 3368,JEWEL FOOD STORE #3368
427.locationvalue,"(41.9241891458, -87.758j2297412)","(41.9241891458, -87.7582297412)"
182.storename,SUPER MERCADOb EL GUERRO,SUPER MERCADO EL GUERRO
142.communityareaname,UPTpOWN,UPTOWN
271.buffersize,tB,B
48.address,124 6E 87TH ST,1246 E 87TH ST
116.address,483 3W DIVERSEY AVE,4833 W DIVERSEY AVE
159.storename,JOSEPH FOO MART,JOSEPH FOOD MART
317.storename,MICELI'S DELI & FOO DMART,MICELI'S DELI & FOOD MART
436.buffersize,,A
235.storename,THE MARKET PLACE FoOODSTORE,THE MARKET PLACE FOODSTORE
453.storename,JEWEL FOyOD STORE #3443,JEWEL FOOD STORE #3443
184.storename,Chicao Health - Maple Street,Chicago Health - Maple Street
290.buffersize,,A
155.locationvalue,"(41.919779401, -87.7707265258)","(41.919774901, -87.7707265258)"
301.storename,"CARNICERIA LA McEJOR PRODUCE, INC.","CARNICERIA LA MEJOR PRODUCE, INC."
29.locationvalue,"(41.9205964582, -87.775192j6809)","(41.9205964582, -87.7751926809)"
214.storename,LA FERA GROCERY,LA FERIA GROCERY
223.address,2255  DEVON AVE,2255 W DEVON AVE
471.communityareaname,LNICOLN PARK,LINCOLN PARK
187.locationvalue,"(41.855317671, -87.6237256152)","(41.855317671, -87.6237265152)"
409.buffersize,***,A
318.communityareaname,SOUTH SHOER,SOUTH SHORE
479.communityareaname,ORSELAND,ROSELAND
230.communityareaname,UNNING,DUNNING
37.communityareaname,WEST kTOWN,WEST TOWN
221.storename,SUPERMERCAO CHAPALA,SUPERMERCADO CHAPALA
342.communityareaname,BELMONT CRAGNI,BELMONT CRAGIN
346.address,2340 W DEON AVE,2340 W DEVON AVE
426.buffersize,***,B
394.locationvalue,"(41.7578056585, -87.586268528)","(41.7578056585, -87.586268258)"
166.buffersize,,A
87.communityareaname,OSELAND,ROSELAND
496.address,2526 W ERMAK RD,2526 W CERMAK RD
105.locationvalue,"(14.9655577007, -87.653559279)","(41.9655577007, -87.653559279)"
20.storename,MID TOWN FOOS,MID TOWN FOODS
128.address,3021 NCICERO AVE,3021 N CICERO AVE
478.address,2323  W111TH ST,2323 W 111TH ST
344.storename,DOMINICK'S FINER FOODS - STORE #2775,DOMINICK'S FINER FOODS - STORE # 2775
82.communityareaname,WEST GARFEILD PARK,WEST GARFIELD PARK
289.address,3867 W GARND AVE,3867 W GRAND AVE
18.locationvalue,"(41.6803322053, -78.6625846787)","(41.6803322053, -87.6625846787)"
431.buffersize,***,A
289.communityareaname,HUMBODLT PARK,HUMBOLDT PARK
306.locationvalue,"(41.8446873274, -87.702102936q)","(41.8446873274, -87.702102936)"
273.locationvalue,"(41.958008015, -87.6496537356)","(41.9580048015, -87.6496537356)"
7.locationvalue,"(41.8910492873, -78.7597328373)","(41.8910492873, -87.7597328373)"
462.communityareaname,PORATGE PARK,PORTAGE PARK
209.storename,PA RBIRDIE FOODS,PAR BIRDIE FOODS
505.storename,JEWEL FOOD STOREu #3302,JEWEL FOOD STORE #3302
232.communityareaname,SOUqTH LAWNDALE,SOUTH LAWNDALE
219.storename,MARKET N THE PARK,MARKET IN THE PARK
440.locationvalue,"(41.97198u12207, -87.7279868979)","(41.9719812207, -87.7279868979)"
149.address,6701s N CLARK ST,6701 N CLARK ST
267.address,1300 W LAtKE ST,1300 W LAKE ST
424.locationvalue,"(41.8462971046, -87.7v159164295)","(41.8462971046, -87.7159164295)"
144.locationvalue,"(41.88004498n08, -87.7704933793)","(41.8800449808, -87.7704933793)"
86.address,2233 W HOWARgD ST,2233 W HOWARD ST
52.locationvalue,"(41.7226403487, -87.5742922611)","(41.7262403487, -87.5742922611)"
222.storename,SPERMERCADO GELA'S,SUPERMERCADO GELA'S
160.storename,HARPER FOOmDS,HARPER FOODS
83.storename,WALGREESN #232,WALGREENS #232
390.address,067 N CLARK ST,7067 N CLARK ST
385.buffersize,lA,A
50.address,3557 S CALIFORNlIA AVE,3557 S CALIFORNIA AVE
122.address,310 N KOSNER AVE,310 N KOSTNER AVE
141.locationvalue,"(41.8521511995, -87.670074601)9","(41.8521511995, -87.6700746019)"
325.locationvalue,"(41e.8498575327, -87.7053434771)","(41.8498575327, -87.7053434771)"
188.communityareaname,AUBURN RGESHAM,AUBURN GRESHAM
161.communityareaname,NEAR NOTRH SIDE,NEAR NORTH SIDE
267.storename,PEORI APACKING LTD,PEORIA PACKING LTD
83.buffersize,kA,A
435.storename,STOP & GOy FOOD MART,STOP & GO FOOD MART
424.storename,"LA NUEVA IMAGEN GROCERY,I NC.","LA NUEVA IMAGEN GROCERY, INC."
375.address,26l01 N HALSTED ST,2601 N HALSTED ST
455.communityareaname,BELMONT RCAGIN,BELMONT CRAGIN
371.address,1956t W ARMITAGE AVE,1956 W ARMITAGE AVE
14.locationvalue,"(r41.9905852147, -87.6935345218)","(41.9905852147, -87.6935345218)"
229.locationvalue,"(41.8519838396, -87.6857857042m)","(41.8519838396, -87.6857857042)"
426.communityareaname,OLOP,LOOP
449.address,70v51 W ADDISON ST,7051 W ADDISON ST
243.buffersize,***,A
112.buffersize,,A
122.storename,Three Stars Liquosr,Three Stars Liquors
188.address,1351 W 87jTH ST,1351 W 87TH ST
431.locationvalue,"(41.9672666701, -87.7281470487)","(41.9672666701, -87.7281470478)"
106.locationvalue,"4(1.8364683477, -87.6655669021)","(41.8364683477, -87.6655669021)"
261.storename,ALMART,WALMART
119.address,1300  E47TH ST,1300 E 47TH ST
503.address,1402 N ASHLxAND AVE,1402 N ASHLAND AVE
453.address,5o343 N BROADWAY,5343 N BROADWAY
401.address,13355 S INIANA AVE,13355 S INDIANA AVE
455.buffersize,,B
71.storename,NAYA MART,NAYAB MART
215.communityareaname,NEAR NORTH SIiDE,NEAR NORTH SIDE
129.locationvalue,"(41.9270360931, 87.756106183)","(41.9270360931, -87.756106183)"
333.storename,FAIRiPLAY FINER FOODS INC,FAIRPLAY FINER FOODS INC
491.buffersize,hB,B
364.buffersize,,A
414.locationvalue,"(41.7904800194, -87.643450657)","(41.7904800194, -87.6643450657)"
325.communityareaname,SOUTH LANDALE,SOUTH LAWNDALE
346.communityareaname,WEST kRIDGE,WEST RIDGE
135.address,4234 N KEDZIEA VE,4234 N KEDZIE AVE
281.buffersize,mB,B
378.storename,SAFAH FOOD & LIQUOR IC,SAFAH FOOD & LIQUOR INC
101.locationvalue,"(41.9100494194, -87.t7214580839)","(41.9100494194, -87.7214580839)"
78.communityareaname,BEVRELY,BEVERLY
339.communityareaname,HUMBbOLDT PARK,HUMBOLDT PARK
286.locationvalue,"(41.7302972736 ,-87.6433090924)","(41.7302972736, -87.6433090924)"
270.locationvalue,"(41.8011278091, -87.6740830441)","(41.8011278091, -87.6740803441)"
296.storename,"R & S DISCOUNT FOOD, WINE, & LIQUrOR","R & S DISCOUNT FOOD, WINE, & LIQUOR"
222.locationvalue,"(41.8424245295, 87.7170303155)","(41.8424245295, -87.7170303155)"
289.buffersize,***,B
411.storename,UPER JIM'S,SUPER JIM'S
332.locationvalue,"(41.803a782323, -87.6646953279)","(41.803782323, -87.6646953279)"
326.locationvalue,"(41.9631977799, -87.6545929748)","(41.9613977799, -87.6545929748)"
375.buffersize,kA,A
178.buffersize,sB,B
5.storename,WHOLE FOOD MARKET,WHOLE FOODS MARKET
428.address,317 Eo GARFIELD BLVD,317 E GARFIELD BLVD
497.address,3132  CALIFORNIA AVE,3132 N CALIFORNIA AVE
500.storename,WALGREENS #05192,WALGREENS # 05192
416.address,4353 W MADIdSON ST,4353 W MADISON ST
29.communityareaname,ELMONT CRAGIN,BELMONT CRAGIN
381.communityareaname,LINCOL NSQUARE,LINCOLN SQUARE
251.buffersize,***,A
364.locationvalue,"(14.7743058812, -87.6056480253)","(41.7743058812, -87.6056480253)"
334.communityareaname,bAUSTIN,AUSTIN
42.locationvalue,"(41.7978225881, -87g.6645368783)","(41.7978225881, -87.6645368783)"
8.locationvalue,"(41.968445246, -87.719416575d8)","(41.968445246, -87.7194165758)"
393.communityareaname,GREATER RGAND CROSSING,GREATER GRAND CROSSING
404.locationvalue,"(41.909274566,7 -87.765187785)","(41.9092745667, -87.765187785)"
252.locationvalue,"(41.89m5314759, -87.7201998415)","(41.895314759, -87.7201998415)"
358.buffersize,***,B
343.locationvalue,"(41.9978600139, -87.763445798)6","(41.9978600139, -87.7634457986)"
149.locationvalue,"(42.0035849743, -87.623519319)","(42.0035849743, -87.6723519319)"
340.locationvalue,"4(1.921096268, -87.6876710129)","(41.921096268, -87.6876710129)"
79.locationvalue,"(41.9976012880, -87.7036126719)","(41.9976012808, -87.7036126719)"
200.locationvalue,"(41.80y9668528, -87.6751156964)","(41.809668528, -87.6751156964)"
318.locationvalue,"(41.7659900011,v -87.5737873367)","(41.7659900011, -87.5737873367)"
400.buffersize,***,A
241.locationvalue,"(41.9615238247, -87.66603985q56)","(41.9615238247, -87.6660398556)"
383.address,6025 S WESTER NAVE,6025 S WESTERN AVE
430.locationvalue,"(42.019164625, -8b7.668397288)","(42.019164625, -87.668397288)"
265.buffersize,***,A
216.communityareaname,PTOWN,UPTOWN
272.locationvalue,"(41.765790774, -87.6639668865)","(41.7657907704, -87.6639668865)"
210.buffersize,***,A
478.locationvalue,"(41.696179204, -87.6797791725)","(41.691679204, -87.6797791725)"
123.buffersize,mB,B
377.locationvalue,"(41.931852775,2 -87.7129012497)","(41.9318527752, -87.7129012497)"
325.address,2300 S KEDIE AVE,2300 S KEDZIE AVE
359.buffersize,cB,B
488.storename,CICERO DELI NIC.,CICERO DELI INC.
245.communityareaname,AUBUN GRESHAM,AUBURN GRESHAM
479.buffersize,***,B
356.locationvalue,"(41.7729559093, -87.6100578109)","(41.7729559039, -87.6100578109)"
469.storename,SUPER DOLLAR DISCOUTN,SUPER DOLLAR DISCOUNT
231.buffersize,***,B
468.locationvalue,"(41.8416044818, -j87.6319155034)","(41.8416044818, -87.6319155034)"
64.buffersize,***,B
198.locationvalue,"(41.7630223653, -87.5863901691)","(41.7630223653, -87.5863901619)"
183.buffersize,,A
495.communityareaname,ASHBRN,ASHBURN
192.locationvalue,"(41.977792769, -87.6769588663)","(41.8977792769, -87.6769588663)"
440.buffersize,***,A
126.address,01500 S MICHIGAN AVE,10500 S MICHIGAN AVE
253.buffersize,tB,B
289.locationvalue,"(41.905059454, -87.7239513845)","(41.9050594546, -87.7239513845)"
453.locationvalue,"(41.9794282549 ,-87.6598058547)","(41.9794282549, -87.6598058547)"
300.communityareaname,GRAND BOULEVhARD,GRAND BOULEVARD
283.buffersize,***,A
366.storename,WAGREENS # 06297,WALGREENS # 06297
131.locationvalue,"(41.9731612999, -87.6q578331796)","(41.9731612999, -87.6578331796)"
138.communityareaname,ENLGEWOOD,ENGLEWOOD
491.address,12315f S STATE ST,12315 S STATE ST
459.communityareaname,BRIoDGEPORT,BRIDGEPORT
202.address,1853 W 87T ST,1853 W 87TH ST
159.locationvalue,"(41.9520185577, -8.8331668434)","(41.9520185577, -87.8331668434)"
305.storename,JOLANTA'S INTERNATIONtAL DELI,JOLANTA'S INTERNATIONAL DELI
278.address,5640 W FULLERTON AE,5640 W FULLERTON AVE
257.communityareaname,OUTH SHORE,SOUTH SHORE
473.address,4023 S ACHER AVE,4023 S ARCHER AVE
274.locationvalue,"(41.8330447382z, -87.6146113644)","(41.8330447382, -87.6146113644)"
418.storename,RODRIGEUZ FRUITS & VEGETABLE,RODRIGUEZ FRUITS & VEGETABLE
438.buffersize,pB,B
304.locationvalue,"(41.959100433 ,-87.6823922417)","(41.959100433, -87.6823922417)"
102.buffersize,uB,B
297.buffersize,yA,A
23.storename,CUENCuA'S BAKERY & GROCERIES,CUENCA'S BAKERY & GROCERIES
56.communityareaname,rPULLMAN,PULLMAN
392.storename,HOGN KONG MARKET,HONG KONG MARKET
255.address,128z1 W 71ST ST,1281 W 71ST ST
158.storename,WHOLEF OODS MARKET,WHOLE FOODS MARKET
158.buffersize,***,A
96.buffersize,***,B
136.storename,OLD OWRLD MARKET,OLD WORLD MARKET
482.buffersize,,B
239.buffersize,***,B
459.buffersize,***,B
403.address,4241 Wl MADISON ST,4241 W MADISON ST
128.communityareaname,BELMONT CRAIGN,BELMONT CRAGIN
36.locationvalue,"(41.7729575221,p -87.6099733981)","(41.7729575221, -87.6099733981)"
363.address,2226 S WENTWORTH AVE***,2226 S WENTWORTH AVE
154.storename,LADI INC #58,ALDI INC #58
459.storename,OTLET KINGDOM,OUTLET KINGDOM
193.locationvalue,"(42.0043992612, -87.818485755h4)","(42.0043992612, -87.8184857554)"
420.buffersize,***,A
39.storename,SHOP & SAVE MARKTE,SHOP & SAVE MARKET
158.address,15d50 N KINGSBURY ST,1550 N KINGSBURY ST
367.locationvalue,"(41.8947983703, -87.6158666457)***","(41.8947983703, -87.6158666457)"
298.buffersize,nB,B
467.address,4459 W BELMOkNT AVE,4459 W BELMONT AVE
130.storename,CARNICERIA yJIMENEZ #2,CARNICERIA JIMENEZ #2
505.communityareaname,MKCINLEY PARK,MCKINLEY PARK
67.locationvalue,"(41.7036623609, -87.5257142268)","(41.7036623609, -87.5257124268)"
298.communityareaname,ALgBANY PARK,ALBANY PARK
430.buffersize,lB,B
180.storename,FIVE STAR CERTIFIDE INC,FIVE STAR CERTIFIED INC
456.buffersize,,B
330.buffersize,oA,A
80.locationvalue,(41.9946209588 -87.6996868624),"(41.9946209588, -87.6996868624)"
78.storename,"CALABRIA IMPORTS, IN.","CALABRIA IMPORTS, INC."
122.communityareaname,WEST GARIELD PARK,WEST GARFIELD PARK
