sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Male,Female,"Black, non-Hispanic",2011,231.0,1.0,Data not available.
Total,Female,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Female,"Black, non-Hispanic",2013,232.0,0.7,Data not available.
Total - Male,emale,Hispanic,2000,218.0,5.1,Data not available.
Total,Female,Hispanic,2001,229.0,0.7,Data not available.
Total - Male,Female,Hispanic,2002,229.0,0.7,Data not available.
Total,Female,Hispanic,2003,228.0,1.5,Data not available.
Total - Hispanic,Female,Hispanic,2004,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,Hispanic,2005,229.0,1.0,Data not available.
Total - Male,Female,Hispanic,2006,229.0,0.7,Data not available.
Total - Female,Female,Hispanic,2007,231.0,1.3,Data not available.
Total,Female,Hispanic,2008,229.0,0.7,Data not available.
Total - Male,Female,Hispanic,2009,235.0,1.4,Data not available.
Total - Female,Female,Hispanic,2010,229.0,0.7,Data not available.
Total,Female,Hispanic,2011,237.0,1.3,Data not available.
Total - Female,Female,Hispanic,2012,229.0,0.7,Data not available.
Total - Hispanic,Feale,Hispanic,2013,238.0,1.0,Data not available.
Total,Female,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percentor greater. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Faemale,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Hispanic,Female,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2005,249.0,3.5,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2007,249.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2009,253.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2011,266.0,6.0,Data for 2000 through 2009 include Pacific Islnders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2013,258.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not avalable.
Total,Female,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Female,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander,n on-Hispanic",2004,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not availale.
Total - Male,Female,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
Total - Male,Femalze,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data ngot available.
"Total - Pacific Islander, non-Hispanic",Femlae,"Pacific Islandezr, non-Hispanic",2009,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2011,227.0,7.3,Data not vailable.
Total - Male,Female,"Pacific Islander, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Asian, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,232.0,4.3,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",2003,234.0,1.7,Data not available.
Total - Hispanic,Feamle,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"mAerican Indian/Alaska Native, non-Hispanic",2005,236.0,2.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Npative, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femle,"American mIndian/Alaska Native, non-Hispanic",2007,235.0,2.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispnaic",2008,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,232.0,3.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hrispanic",2010,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Natipve, non-Hispanic",2011,232.0,3.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"merican Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, nwon-Hispanic",2013,241.0,4.0,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Hispanic,Female,"Two or more races, non-Hispanic",2002,229.0,0.7,Data not available.
Total,emale,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not pavailable.
Total,Female,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Dat anot available.
Total - Male,Female,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2009,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Feamle,"Two or more races, non-Hispanic",2011,250.0,5.3,Data not available.
Total,Feamle,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2013,248.0,2.9,Data not available.
Total - Male,Male,"White, non-Hispanic",2000,244.0,3.2,Data nrot available.
Total,Male,"White, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2003,256.0,0.7,Data not available.
Total - Male,Mayle,"White, non-Hispanic",2004,229.0,0.7,Dta not available.
Total,Male,"White, non-Hispanic",2005,258.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2007,260.0,0.7,Data not available.
Total - Female,Male,"White, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2009,263.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2011,264.0,0.8,Data not available.
Total,Male,"White, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Male,"White, non-Hispaic",2013,262.0,0.7,Data not available.
Total - Female,Male,"Black, non-Hispanic",2000,206.0,4.8,Data not available.
Total - Male,Male,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Male,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Male,"Black, non-Hispanic",2003,220.0,1.2,Data not available.
Total - Male,aMle,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Hispanic,Male,"Black, non-Hispanic",2005,224.0,1.1,Data not available.
Total,Male,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Male,"Black, non-Hispanic",2007,227.0,1.5,Data not available.
Total,Male,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Male,"Black, non-Hispanic",2009,231.0,1.4,Data not available.
Total,Male,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Male,"Black, non-Hispanic",2011,232.0,1.2,Data not available.
Total - Male,Mae,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Male,"Black, non-Hispanic",2013,234.0,0.9,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Female,Male,Hispanic,2001,229.0,0.7,Data not available.
Total - Male,Male,Hispanic,2002,229.0,0.7,Data not available.
Total - Male,Male,Hispanic,2003,230.0,2.0,Data not available.
"Total - White, non-Hispanic",Male,Hispanic,2004,229.0,0.7,Data not available.
Total,Male,Hispanic,2005,232.0,1.4,Data not available.
Total,Male,Hispanic,2006,229.0,0.7,Datan ot available.
Total,Male,Hispanic,2007,233.0,1.6,Data not available.
Total,Male,Hispanic,2008,229.0,0.7,Data not available.
Total,Male,Hispanic,2009,238.0,1.6,Data not available.
Total,Male,Hispanic,2010,229.0,0.7,Data not available.
"Total - Male, Hispanic",Malqe,Hsipanic,2011,239.0,1.7,Data not available.
Total - Female,Male,Hispanic,2012,229.0,0.7,Data not available.
Total,Male,Hispanic,2013,239.0,1.3,Data not available.
Total,Male,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 200 0through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2003,253.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,249.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Male,"Asian, non-Hispanic",2007,248.0,4.8,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Male,"Asian, non-Hispanic",2009,254.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mlae,Asian non-Hispanic,2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2011,267.0,7.1,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mae,"Asian ,non-Hispanic",2013,264.0,5.0,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Datap not available.
"Total - Male, Pacific Islander, non-Hispanic",dMale,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2004,229.0,0.7,Data not vailable.
Total - Female,Mae,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2009,229.0,0.7,Daat not available.
Total,Male,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2011,229.0,9.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander,n on-Hispanic",2012,229.0,0.7,Data not oavailable.
"Total - Male, Pacific Islander, non-Hispanic",Mawle,"Pacific Islander ,non-Hispanic",2013,231.0,4.5,Data not available.
"Total - Asian, non-Hispanic",Maloe,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",ale,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not eavailable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,234.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American ndian/Alaska Native, non-Hispanic",2005,237.0,2.5,Data no available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"Aerican Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaiska Native, non-Hispanic",2007,236.0,3.8,Data not available.
"Total - White, non-Hispanic",Mle,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,234.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indina/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Hispanic,Male,"American Indian/Alaska Native, non-Hispanic",2011,237.0,4.4,Data not vailable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mwale,"American Indian/Alaska Native, nokn-Hispanic",2012,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, non-Hdispanic",2013,245.0,4.2,Data not available.
Total - Female,Male,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
Total - Male,Male,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",aMle,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Male,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not availabe.
Total,Male,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2009,229.0,0.7,Data xnot available.
Total,ale,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Male,Male,"Two or more races, non-Hispanic",2011,254.0,6.9,Data not available.
"Total - Male, Two or more races, non-Hispanic",Meale,"Two or more races, non-Hisapnic",2012,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races,a non-Hispanic",2013,252.0,4.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,229.0,3.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Femael,"White, non-Hispanic",2003,247.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Feale,"Whqite, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Fmale,"Wite, non-Hispanic",2005,248.0,0.8,Data nt available.
"Total - Female, White, non-Hispanic",Femael,"White, non-Hispaic",2006,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Femle,"White, non-Hispaniwc",2007,251.0,1.2,Data not available.
"Total - Female, White, non-Hispanic",Feamle,"White, non-iHspanic",2008,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",emale,"Whit,e non-Hispanic",2009,254.0,0.8,Data not availaable.
"Total - Female, White, non-Hispanic",emale,"White, non-Hispannic",2010,229.0,0.7,Data nt available.
"Total - Female, White, non-Hispanic",Femlae,"White, non-Hyispanic",2011,254.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Femamle,"White, non-Hisanic",2012,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Faemale,"White, non-Hoispanic",2013,252.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2000,206.0,5.1,Data not available.
"Total - Female, Black, non-Hispanic",Femalde,"Black ,non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Femle,"Black, onn-Hispanic",2003,217.0,1.8,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",eFmale,"Black, non-Hisanic",2005,219.0,1.3,Data not availabe.
"Total - Female, Black, non-Hispanic",Feamale,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Blakc, non-Hispanic",2007,225.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",emale,"Blcak, non-Hispanic",2008,229.0,0.7,Data not availablez.
"Total - Female, Black, non-Hispanic",Feale,"Black ,non-Hispanic",2009,226.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black, non-Hisanic",2010,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Fgemale,"Black, non-Hispanci",2011,229.0,1.5,Data not available.
"Total - Female, Black, non-Hispanic",Femlae,"Bxlack, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Fmale,"Bblack, non-Hispanic",2013,229.0,1.4,Data not avaialble.
"Total - Female, Hispanic",Female,Hispanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Femae,Hispanic,2001,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2002,229.0,0.7,Data not available.
"Total - Female, Hispanic",Feale,Hispainc,2003,225.0,2.2,Data not available.
"Total - Female, Hispanic",Feale,Hispanc,2004,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,225.0,1.6,Data not available.
"Total - Female, Hispanic",Feale,Hispainc,2006,229.0,0.7,Data not available.
"Total - Female, Hispanic",eFmale,Hisspanic,2007,227.0,2.4,Data not available.
"Total - Female, Hispanic",Femle,Hispanijc,2008,229.0,0.7,Data not available.
"Total - Female, Hispanic",Femle,Hspanic,2009,229.0,2.3,Data not available.
"Total - Female, Hispanic",Femkale,Hsipanic,2010,229.0,0.7,Data not available.
"Total - Female, Hispanic",Femalbe,Hisvpanic,2011,233.0,2.2,Data not available.
"Total - Female, Hispanic",eFmale,Hispnic,2012,229.0,0.7,Data not available.
"Total - Female, Hispanic",emale,Hsipanic,2013,235.0,1.6,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femafle,"Asian,u non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fesmale,"Asian, non-Hispanic",2003,247.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Femael,"Asia,n non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",emale,"Asan, non-Hispanic",2005,249.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Feale,"Asian, non-Hispxanic",2007,250.0,5.6,Data for 2000 through 2009 include Pacific Islanders.
