Rank,Country,GDP (PURCHASING POWER PARITY),Date of Information
147,Niger,"$17,670,000,000",2014 est.
148,Moldova,"$17,190,000,000",2014 est.
149,Kosovo,"$16,890,000,000",2014 est.
150,Guinea,"$15,310,000,000",2014 est.
151,Iceland,"$13,810,000,000",2014 est.
152,Malawi,"$13,760,000,000",2014 est.
153,Malta,"$13,380,000,000",2014 est.
154,Sierra Leone,"$12,890,000,000",2014 est.
155,Mauritania,"$12,860,000,000",2014 est.
156,New Caledonia,"$11,100,000,000",2014 est.
157,Togo,"$10,180,000,000",2014 est.
158,Montenegro,"$9,499,000,000",2014 est.
159,Suriname,"$9,240,000,000",2014 est.
160,"Bahamas, The","$9,034,000,000",2014 est.
161,Swaziland,"$8,672,000,000",2014 est.
162,Burundi,"$8,396,000,000",2014 est.
163,Timor-Leste,"$8,364,000,000",2014 est.
164,Eritrea,"$7,855,000,000",2014 est.
165,Fiji,"$7,292,000,000",2014 est.
166,French Polynesia,"$7,150,000,000",2012 est.
167,Monaco,"$6,790,000,000",2013 est.
168,Isle of Man,"$6,298,000,000",FY 2012/13 est.
169,Somalia,"$5,896,000,000",2010 est.
170,Bhutan,"$5,867,000,000",2014 est.
171,Jersey,"$5,771,000,000",FY 2012/13 est.
172,Bermuda,"$5,600,000,000",2011 est.
173,Lesotho,"$5,589,000,000",2014 est.
174,Guyana,"$5,498,000,000",2014 est.
175,Guam,"$4,600,000,000",2010 est.
176,Barbados,"$4,513,000,000",2014 est.
177,Maldives,"$4,254,000,000",2014 est.
178,Liberia,"$3,771,000,000",2014 est.
179,Guernsey,"$3,420,000,000",2013 est.
180,"Gambia, The","$3,362,000,000",2014 est.
181,Cabo Verde,"$3,286,000,000",2014 est.
182,Liechtenstein,"$3,200,000,000",2009 est.
183,Andorra,"$3,163,000,000",2012 est.
184,Curacao,"$3,128,000,000",2012 est.
185,Belize,"$2,907,000,000",2014 est.
186,Central African Republic,"$2,861,000,000",2014 est.
187,Djibouti,"$2,858,000,000",2014 est.
188,Aruba,"$2,516,000,000",2009 est.
189,Cayman Islands,"$2,507,000,000",2014 est.
190,Guinea-Bissau,"$2,502,000,000",2014 est.
191,Seychelles,"$2,304,000,000",2014 est.
192,Greenland,"$2,133,000,000",2011 est.
193,San Marino,"$2,007,000,000",2014 est.
194,Antigua and Barbuda,"$1,989,000,000",2014 est.
195,Saint Lucia,"$1,893,000,000",2014 est.
196,Gibraltar,"$1,850,000,000",2013 est.
197,Virgin Islands,"$1,577,000,000",2004 est.
198,Faroe Islands,"$1,471,000,000",2010 est.
199,Grenada,"$1,248,000,000",2014 est.
200,Saint Kitts and Nevis,"$1,220,000,000",2014 est.
201,Comoros,"$1,211,000,000",2014 est.
202,Saint Vincent and the Grenadines,"$1,198,000,000",2014 est.
203,Solomon Islands,"$1,046,000,000",2014 est.
204,Samoa,"$995,000,000",2014 est.
205,Western Sahara,"$906,500,000",2007 est.
206,Dominica,"$757,000,000",2014 est.
207,Northern Mariana Islands,"$733,000,000",2010 est.
208,Vanuatu,"$687,000,000",2014 est.
209,Turks and Caicos Islands,"$632,000,000",2007 est.
210,Sao Tome and Principe,"$612,000,000",2014 est.
211,American Samoa,"$575,300,000",2007 est.
212,Saint Martin,"$561,500,000",2005 est.
213,Tonga,"$523,000,000",2014 est.
214,British Virgin Islands,"$500,000,000",2010 est.
215,Sint Maarten,"$365,800,000",2014 est.
216,"Micronesia, Federated States of","$331,000,000",2014 est.
217,Palau,"$272,000,000",2014 est.
218,Saint Pierre and Miquelon,"$215,300,000",2006 est.
219,Cook Islands,"$183,200,000",2005 est.
220,Kiribati,"$180,000,000",2014 est.
221,Marshall Islands,"$178,000,000",2014 est.
222,Anguilla,"$175,400,000",2009 est.
223,Falkland Islands (Islas Malvinas),"$164,500,000",2007 est.
224,Wallis and Futuna,"$60,000,000",2004 est.
225,Nauru,"$60,000,000",2005 est.
226,Montserrat,"$43,780,000",2006 est.
227,Tuvalu,"$35,000,000",2014 est.
228,"Saint Helena, Ascension, and Tristan da Cunha","$31,100,000",FY09/10 est.
229,Niue,"$10,010,000",2003 est.
230,Tokelau,"$1,500,000",1993 est.
