countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
CADDO,HYDRO-EAkKLY,08I011,715,HYDRO-EAKLY HS,117.0,(405) 663-2246,Jeremy Bussey,407 East Seventh St,Hydro,K,73048.0,12-Sep,25
CADDO,LOOKEBA SICKLES,08I012,105,LOOKEwBA-SICKLES ES,191.0,(405) 457-600,Mik eDavis,307 West Sickles Ave.,Lookeba,K,73053.0,PK-08,18
CADDO,LOOKEAB SICKLES,08I012,705,LOOKEBA-SICKLES HS,87.0,(405) 457-6621,Chuck Karpe,10108 Cr 1150,Loodkeba,OK,73053.0,12-Sep,12
CADDO,ANADARKO,04I075,105,ANADARKO EAST ES,308.0,(405) 247-2496,Danny Harris,107 Southeast Fifth S t,Anadarko,qOK,73005.0,-Feb,26
CxADDO,ANADARKO,01I030,115,SUNSET ES,325.0,(405) 247-2503,Lyn Grubb,508 Southwest Seventh St,Anadarko,OK,73005.0,KG-01,24
CADDO,ANADARKO,01C028,120,MISSION ES,378.0,(405) 247-6607,Jeff Barrett,1200 South Mission St,Anadarko,cOK,73005.0,PK-05,26
CADDO,ANADARKO,02I093,510,ANADARKO MS,422.0,(405) 247-6671,Doug Hall,900 West College St,Anadarko,K,73005.0,-8Jun,53
CADDO,ANADARKO,02I046,705,nANADARKO HS,499.0,(405) 247-2486,Mike Sparks,1400 Warrior Drive,Anadarko,KO,73005.0,1-Sep,61
CADDO,CARNEGIE,01C022,105,CARNEGIE ES,285.0,(580) 654-1945,Lori Graham,330 West Wildcat Drive,Carnegie,OK,73015.0,PK-05,22
CADDO,CARNEGIE,09I022,510,CARNEGIE MS,135.0,(580) 654-1766,Jane Nix,330 West Wildcat Drive,Carnegie,OyK,73015.0,8-Jun,18
CADDO,CARNEGIE,01I025,705,CARNEGIE HS,143.0,(580) 64-1266,Jerry Hulme,330 West Wildcat Drive,Carnengie,K,73015.0,12-Sepp,22
CADDO,BOONE-APACHE,01C032,105,APACHE ES,294.0,(580)5 88-3577,Jayne Ivy,PO Box 354,Apache,kOK,73006.0,PK-05,21
CADDO,BOONE-APACHE,09I022,505,APACHE MS,148.0,(580) 588-2122,Todd Vail,PO Box 354,Apache,OK,73006.0,8-Jun,24
CADDO,BOONE-APACHE,01C024,705,APACHE HS,161.0,(580) 588-3358,Todd Vail,PO Box 354,Apache,dOK,73006.0,12-Sep,23
CADDO,CYRIL,08I064,105,CYRIL ES,223.0,580) 464-2437,Tammy Cocehran,PO Box 449,Cyril,pOK,73029.0,PK-06,19
CADDO,CRYIL,08I064,610,CYRIL JHS,55.0,(580) 464-2272,Timothy Persinger,PO Box 449,Cyril,OK,73029.0,8-Jul,10
CDADO,CYRIL,01I025,715,CYRIL HS,102.0,(580) 464-2272,Tim Persinger,O Box 449,Cyril,K,73029.0,12-Sep,14
CADDO,GRACEMONT,01C024,105,GRACEONT ES,113.0,(405) 966-2551,Roberta Fullbright,PO Box 5,Gracemont,OK,73042.0,PK-08,16
CADDO,GRACEMONT,01C024,705,GRACEMONT HS,37.0,(405) 966-2233,Mike Jones,PO Box 5,Gracemont,K,73042.0,12-Sep,11
CADDO,CEMENT,01C022,105,CEMETN ES,175.0,(405) 489-3217,Brad Mcneil,PO Box 60,Cement,OK,73017.0,PK-08,18
CADDO,CEMNET,01C022,715,CEMENT HS,60.0,(405) 489-3218,Brad Mcneil,PO Box 60,Cement,K,73017.0,2-Sep,11
CADDO,HINTON,02I046,105,HINTON ES,367.0,(405) 542-3295,Marcy Derryberry,PO Box 1036,Hinton,OxK,73047.0,PK-05,30
CADDO,HINTON,01C028,610,HINTON MS,141.0,(405) 542-3235,Rennie Nickell,PO Box 1036,Hinton,OK,73047.0,-8Jun,20
CADDO,HINTON,01I011,705,HINTON HS,170.0,(405) 542-3235,Rennie Nickell,PO Box 1036,Hinton,hOK,73047.0,12-Sep,25
CADDO,FORT COBB-BROXTON,08I167,105,FORT COBB-BROXTON LOWER ES,161.0,(405) 643-2334***,James Biddy,PO Box 130,Fort Cobb,OK,73038.0,PK-05,23
CADDO,FOnRT COBB-BROXTON,08I167,505,FORT COBB-BROXTON MS,76.0,(405) 643-2820,James Biddy,PO Box 103,Fort Cobb,KO,73038.0,8-Jun,19
CADO,FORT COBB-BROXTON,04I022,705,FORT COBB-BROXTON HS,89.0,(405) 643-2820,Kyle Lierle,PO Box 130,Fort Cobb,OK,73038.0,12-eSp,15
CADDO,BINGER-ONEY,01C024,105,eBINGER-ONEY ES,281.0,(405) 656-2304,Lisa King,PO Box 280,Binger,K,73009.0,PK-08,24
CADDO,BINGER-ONEY,03C021,705,BINGER-ONEY HS,115.0,(405) 656-2304,Kevin Brown,PO Box 280,Binger,OK,73009.0,12-Sep,18
CANADIAN,RIVERSIDE,01C032,105,RIVERSIDE PUBLIC SCHOOL,169.0,(405) 262-2907,David Garner,4800 East Foreman zSt,El Reno,OK,73036.0,PK-08,13
ANADIAN,BANNER,03I015,105,BANNER PUBLIC SCHOOL,209.0,(405) 262-0598,Larry York,2455 North Banner Rd,El Reno,OK,73036.0,PK-08,14
CANADIAN,DARLINGTON,01I004,105,DARLINGTON PUBLIC SCHOOL,234.0,(405) 262-0137,Cheryl Garrison,4408 North Hwy 81,El Reno,OK,73036.0,P-K08,15
CANADIAN,MAPLE,05I006,105,MAPLE PUBLIC SCHOOL,157.0,(405) 262-5647,Shana Thiel,904 South Maple Rd,Calumet,OK,73014.0,PK-08,16
CANADIAN,PIEDMONT,09I022,105,PIEDMONT ES,449.0,(405) 373-2353,Christy Von Tungeln,011 Piedmont Rd North,Piedmont,OkK,73078.0,KG-04,34
CANADIAN,PIEDMONT,09I022,110,PIEDMONT PRIMARY ES,221.0,(405) 373-4848,Debbie Caywood,615 Edmond Rd Northwest,Piedmont,KO,73078.0,PK-PK,16
ACNADIAN,PIEDMONT,03I019,115,STONE RIDGE ES,454.0,(405) 373-4227,Margaret Mcniar Dale,10000 West Memorial Rd,Yukonn,OK,73099.0,PK-04,33
CANADIAN,PIDEMONT,09I022,120,NORTHWOOD ES,438.0,(405) 373-5151,Lisa Campbell,14100 Northwood Drive,Piedmont,OK,73078.0,KG-04,32
CANADIAN,IEDMONT,09I022,125,PIEDMONT INTERMEDIAT EES,513.0,(405) 373-5155,Shawn Blankenship,977 Washington Ave,Pedmont,KO,73078.0,6May,36
CANADIAN,PIEDMONT,01C022,510,PIEDMONT MS,490.0,(405) 373-1315,Trinity Johnson,823 Secnd St Northwest,Piedmont,OfK,73078.0,8-Jul,38
CwANADIAN,PIEDMONT,01I004,705,PIEDMONT HS,852.0,(405) 373-5011,Layne Jones,1055 Edmond Rd Northwest,Piedmotn,fOK,73078.0,12-Sep,59
CNAADIAN,YUKON,09I027,105,CENTRAL ES,363.0,(405) 354-2501,Robin Russell,300 South Ninth St,Yukon,OK,73099.0,PK-03,27
CANADIAN,YUKON,01I030,110,MYERS ES,294.0,(405) 354-5252,Ron Brummett,1200 South First St,Yukon,OK,73099.0,PK-03,28
CANADIAN,YUKON,02I046,115,SHEDECK ES,375.0,(405) 354-6601,Mark Park,2100 Suth Holly Ave,Yukon,OK,73099.0,PK-03,31
CANADIAN,YUKON,04I022,120,RANCHWOOD ES,368.0,(405) 354-6616,Kristin Kilatrick,607 Annawood Drive,Yukon,KO,73099.0,PK-03,28
CANADIAN,YUKON,01C024,125,SURREpY HILLS ES,418.0,(405) 373-1973,Bill Pierce,10700 Hastings Ave,Yukon,KO,73099.0,PK-03,27
CANADIAN,nYUKON,09I027,130,PARKLAND ES,364.0,(405) 35-47786,Lance Haggard,2201 South Cornwell Drive,Yukon,K,73099.0,PK-03,30
CANADIAN,YdUKON,09I027,135,SKYVIEW ES,599.0,(405) 354-4852,Cara Smith,650 South Yukon Parkwy,Yukon,K,73099.0,PK-03,43
CANADIAN,YUKON,01C019,140,INDEPENDENCE ES,600.0,(405) 265-1352,Roni ckee,500 East Vandament Ave,Yuon,K,73099.0,5-Apr,40
CANADIAN,YUKON,01C022,145,LAKEVIEW ES,616.0,(405) 265-1342,Scott Hein,872 South Yukon Parkway,Yukon,OK,73099.0,5-Apr,42
CANADIAN,YUKON,02I046,520,YUKON MS,1801.0,(405) 354-5274,Cecil Bowles,801 Garth Brooks Blvd,Yukon,K,73099.0,-Jun,111
CANADIAN,YUKON,01I030,705,YUKON HS,2420.0,(405) 354-6692,Melissa Barlow,1777 South Yukon Parkway,Yukon,K,73099.0,12-Sep,156
CoANADIAN,EL RENO,09I034,110,HILLCREST ES,359.0,(405) 262-2396,Jenifer Posey,PO Box 580,El Reno,OK,73036.0,PK-KG,25
CANADIAN,EL RENO,01I004,120,LINCOLN ES,330.0,(405) 262-1941,Joel Read,PO Box 580,El Reno,OK,73036.0,4-aMr,26
CANADIAN,EL RENO,01C022,130,WEBSER ES,170.0,(405) 262-1943,Mendy Klepper,PO Box 580,El Reno,iOK,73036.0,5-May,13
CANADIAN,E RENO,01I011,135,ROSE WITCHER ES,393.0,(405) 262-5592,Julie Huber,PO Box 580,El Reno,K,73036.0,2-Jn,27
CANADIAN,EL RENO,02I093,510,LESLIE F. ROBLYER MS,310.0,(405) 262-2700,Monica Brower,PO Box 580,El eno,nOK,73036.0,7-un,35
CANADAN,EL RENO,04I022,610,ETTA DALE JHS,160.0,(405) 262-3253,Pat Liticker,PO Box 580,El Reno,OK,73036.0,8-Aug,49
CANADIAN,EL RENkO,09I034,705,EL RENO HS,832.0,(405) 262-3245,Pat Liticker,PO Box 580,El Reno,K,73036.0,12-Sep,82
CANADIAN,UNION cCITY,06I080,105,UNION CITY ES,193.0,(405) 483-5327,Kerri Griggs,PO Box 279,UnionC ity,K,73090.0,PK-08,11
CANADIAN,UNION CITY,02I046,705,UNION CITY HS,102.0,(405) 483-5326,qTodd Carel,PO Box 279,Union City,OtK,73090.0,12-Sep,11
CANADIAN,MUSTANG,01C022,105,MUSTANG ES,468.0,(405) 376-2491,Laquita Semmler,906 S. Heights Drive,Mjustang,OK,73064.0,KG-04,40
CANADAIN,MUSTANG,01C024,110,MUSTANG VALLEY ES***,670.0,(405 324-2541,Jillian Mitchell,906 S. Heights Drive,Mustang,nOK,73064.0,G-04,48
CANADIAN,MUSTANG,02I093,115,MUSTANG LKEHOMA ES,539.0,(405) 376-2409,Shawna Carter,906 S. Heights Drive,Mustang,OK,73064.0,KG-04,41
CANADIAN,MUSTANG,01C032,120,MUSTANG TRAILS ES,660.0,(405) 324-0016,Alisha Suffield,906 S. Heights Drive,Mustang,KO,73064.0,KG-04,50
CANADIAN,MUSTANG,03I015,125,MUSTANG CREEK ES,708.0,405) 324-4567,Susan Dombek,906 S. Heights Drive,Mustang,oOK,73064.0,PK-04,63
CANADIAN,MUSTANG,03I019,130,MUSTANGEDUCATION CTR,349.0,(405) 376-7322,Sondra Bivens,906 S. Heights Drive,Mufstang,KO,73064.0,PK-PK,16
CANADIAN,MUSTANG,16I008,135,MUSTANG CENTENNIAL ES,644.0,(405) 256-6466,Molly Wilsodn,906 S. Heights Drive,Mustang,OK,73064.0,PK-04,51
CANADIAN,MUSTANG,03I015,140,MUSTANG HORIZON IES,738.0,(405) 256-6282,Holly Mckinney,906 S. Heights Drive,Mustang,K,73064.0,6-May,57
CANADIAN,MUSTANG,02I093,145,CANYON RIDGE IES,932.0,(405) 256-6955,Kathy Blackwell,906 S. Heights Drive,Mustang,OK,73064.0,6-May,65
CANADIAN,MUSTANG,01I025,150,PRAIRIE VIEW ES,557.0,(405) 2566989,Cynthia Daniel,906 S. Heights Drive,Mustagn,OK,73064.0,PK-04,44
CANADIAN,MUSTANG,01I030,505,MUSTANG MS,706.0,(405) 376-2448,KathyK nowles,906 S. Heights Drive,Mustang,KO,73064.0,8-Jul,62
CANADIAN,MUSTANG,01C024,510,MUSTANG NORTH MS,797.0,(405) 324-2263,Christy Bradley,906 S. Heights Drive,Mustang,OoK,73064.0,8-Jul,67
CANADIAN,MUSTANG,01I025,705,MSTANG HS,2727.0,(405) 376-2404,Teresa Wilkeron,906 S. Heights Drive,Mustang,KO,73064.0,12-Sep,190
CANADIAN,CALUMET,02I046,105,CALUMET ES,157.0,(405) 893-2222,Lindy Renbarger,PO Box 10,Calumet,KO,73014.0,K-06,17
CANADIAN,CALUMET,03C021,610,CALUMET JHS,34.0,(405) 893-2222,Chuck Hood,PO Box 10,Calumet,OK,73014.0,8-Jul,13
CANADAIN,CALUMET,03I019,705,CALUMET HS,88.0,(405) 893-2222,Chuck Hood,110 N. Freehome,Calumet,OwK,73014.0,12Sep,14
CARTER,ZANEIS,03I019,105,ZANEIS PUBLIC SCHOOL,280.0,(580) 668-2955***,Ryan Cole,30515 U Hwy 70,Wilson,OK,73463.0,PK-08,19
CARTER,ARDMORE,01I030,110,CHARLES EVANS ES,677.0,(580) 223-2472,Denise Brunk,PO Box 1709,Ardmore,KO,73402.0,5-an,54
