151.sexraceethnicity,"Total - aMle, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
27.sex,emale,Female
152.noteonpercent,Data not availauble.,Data not available.
5.noteonpercent,Data not avbailable.,Data not available.
306.raceethnicity,"Two or more races, non-Hispanci","Two or more races, non-Hispanic"
66.sex,eFmale,Female
305.raceethnicity,"Two or mobre races, non-Hispanic","Two or more races, non-Hispanic"
45.sex,Fzemale,Female
86.sex,mFemale,Female
124.noteonpercent,Daat not available.,Data not available.
115.sexraceethnicity,"Total - Amrican Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
276.sex,Femael,Female
39.sex,Feamle,Female
106.noteonpercent,Data not aailable.,Data not available.
59.sexraceethnicity,"Total - Black, non-Hsipanic ","Total - Black, non-Hispanic "
288.noteonpercent,Data not avaialble.,Data not available.
15.sexraceethnicity,Total-  Male,Total - Male
239.sexraceethnicity,"Total - Feemale, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
72.noteonpercent,Data not avaialble.,Data not available.
299.sex,nFemale,Female
232.sex,Femael,Female
241.raceethnicity,"Black, non-Hispanc ","Black, non-Hispanic "
62.sex,Femlae,Female
286.raceethnicity,"Pacific Islander, non-Hispanric","Pacific Islander, non-Hispanic"
116.noteonpercent,Datanot available.,Data not available.
137.raceethnicity,"White, non-Hisplanic","White, non-Hispanic"
107.noteonpercent,Data nots available.,Data not available.
44.sexraceethnicity,"Total - hite, non-Hispanic","Total - White, non-Hispanic"
3.sex,Femazle,Female
29.sex,emale,Female
162.sex,Mlae,Male
246.raceethnicity,"Black, non-Hispanihc ","Black, non-Hispanic "
63.raceethnicity,"Black, non-oHispanic ","Black, non-Hispanic "
284.sexraceethnicity,"Total - Female, Pacific Islandcer, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
85.sexraceethnicity,"Total - Asian, non-Hispapnic","Total - Asian, non-Hispanic"
76.noteonpercent,Dahta not available.,Data not available.
99.raceethnicity,"acific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
33.sexraceethnicity,Total - Fmeale,Total - Female
240.sexraceethnicity,"Total - Femae, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
107.sex,Fmale,Female
226.sex,Femtale,Female
286.sex,Femae,Female
259.raceethnicity,Hispanc,Hispanic
123.sexraceethnicity,"Total - Twoo or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
45.noteonpercent,Data not availble.,Data not available.
285.sexraceethnicity,"Total - Female, Pacific Islander ,non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
128.raceethnicity,"Two or more rces, non-Hispanic","Two or more races, non-Hispanic"
198.noteonpercent,Daeta not available.,Data not available.
3.sexraceethnicity,otal ,Total 
258.sex,fFemale,Female
24.sexraceethnicity,Toal - Male,Total - Male
102.sexraceethnicity,"Total  Pacific Islander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
57.noteonpercent,Dat not available.,Data not available.
159.sex,Mle,Male
66.sexraceethnicity,Total - Hisapnic,Total - Hispanic
279.raceethnicity,"Pacific Islander, xnon-Hispanic","Pacific Islander, non-Hispanic"
146.noteonpercent,Data not aavilable.,Data not available.
238.sexraceethnicity,"Total - Fmale, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
77.sex,Fmeale,Female
300.sexraceethnicity,"Total - Femalpe, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
116.sex,Feale,Female
173.sex,ale,Male
273.sexraceethnicity,"oTtal - Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
172.noteonpercent,Data not avalable.,Data not available.
311.noteonpercent,Data not availble.,Data not available.
69.sexraceethnicity,Total - Hispnic,Total - Hispanic
67.sex,Femalee,Female
270.raceethnicity,"Asian, no-Hispanic","Asian, non-Hispanic"
84.sexraceethnicity,"Total - Aksian, non-Hispanic","Total - Asian, non-Hispanic"
46.raceethnicity,"White, on-Hispanic","White, non-Hispanic"
2.noteonpercent,Data not availabel.,Data not available.
186.sex,ale,Male
279.sex,Femlae,Female
306.noteonpercent,Data not availabe.,Data not available.
178.sexraceethnicity,"Total - Male, Aisan, non-Hispanic","Total - Male, Asian, non-Hispanic"
245.noteonpercent,Data not avalable.,Data not available.
91.noteonpercent,Dwata not available.,Data not available.
82.sex,yFemale,Female
40.sex,Fetmale,Female
139.sexraceethnicity,"Totl - Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
96.sexraceethnicity,"Total - Pacific wIslander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
171.sexraceethnicity,"Total - Male, Aisan, non-Hispanic","Total - Male, Asian, non-Hispanic"
154.raceethnicity,"uBlack, non-Hispanic ","Black, non-Hispanic "
105.raceethnicity,"American Indian/Alaska Native, non-Hispanci","American Indian/Alaska Native, non-Hispanic"
116.sexraceethnicity,"Total - American Indian/Alask Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
76.raceethnicity,Hipsanic,Hispanic
3.raceethnicity,"American Indian/lAaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
175.sexraceethnicity,"Total - Male Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
160.raceethnicity,Hispanci,Hispanic
211.sex,wMale,Male
120.noteonpercent,Data not availale.,Data not available.
89.noteonpercent,Data not avaialble.,Data not available.
301.raceethnicity,"Two org more races, non-Hispanic","Two or more races, non-Hispanic"
264.raceethnicity,"Asian, on-Hispanic","Asian, non-Hispanic"
56.sexraceethnicity,"Totl - Black, non-Hispanic ","Total - Black, non-Hispanic "
139.raceethnicity,"White, non-Hipsanic","White, non-Hispanic"
21.sexraceethnicity,Totakl - Male,Total - Male
53.raceethnicity,"Black, non-Hispani c","Black, non-Hispanic "
166.noteonpercent,Data not availalbe.,Data not available.
297.raceethnicity,"American Indian/laska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
117.sexraceethnicity,"Total - American IndianA/laska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
210.raceethnicity,"Twfo or more races, non-Hispanic","Two or more races, non-Hispanic"
27.raceethnicity,"American nIdian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
45.raceethnicity,"Whit, non-Hispanic","White, non-Hispanic"
65.sexraceethnicity,"Total - Black, non-Hisxpanic ","Total - Black, non-Hispanic "
40.sexraceethnicity,"Total - White ,non-Hispanic","Total - White, non-Hispanic"
178.sex,sMale,Male
194.raceethnicity,"Pacific Islande, non-Hispanic","Pacific Islander, non-Hispanic"
2.raceethnicity,"American Indian/Alaska Native, njon-Hispanic","American Indian/Alaska Native, non-Hispanic"
256.raceethnicity,Hispainc,Hispanic
162.noteonpercent,Data not availalbe.,Data not available.
293.sex,iFemale,Female
245.sex,Fesmale,Female
161.raceethnicity,Hipsanic,Hispanic
264.sexraceethnicity,"Total- Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
40.noteonpercent,Datat not available.,Data not available.
179.raceethnicity,"Asihan, non-Hispanic","Asian, non-Hispanic"
259.sex,Fmeale,Female
190.sex,Matle,Male
192.sex,wMale,Male
43.sexraceethnicity,"Totla - White, non-Hispanic","Total - White, non-Hispanic"
143.noteonpercent,Data notavailable.,Data not available.
18.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
302.raceethnicity,"Two or more races ,non-Hispanic","Two or more races, non-Hispanic"
136.sex,uMale,Male
99.noteonpercent,Data not avilable.,Data not available.
61.sex,Femvale,Female
87.sex,Femael,Female
252.raceethnicity,Hispapnic,Hispanic
168.sex,ale,Male
296.raceethnicity,"American IndianA/laska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
73.noteonpercent,Data nt available.,Data not available.
221.raceethnicity,"Two or more races, non-Hispnic","Two or more races, non-Hispanic"
12.sex,Femae,Female
247.sex,Feale,Female
125.raceethnicity,"Two or more races, non-Hispamnic","Two or more races, non-Hispanic"
129.sex,Femael,Female
161.sexraceethnicity,"Total- Male, Hispanic","Total - Male, Hispanic"
111.sexraceethnicity,"Total - American Indian/Alaska Native, non-Hsipanic","Total - American Indian/Alaska Native, non-Hispanic"
225.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
238.noteonpercent,Data not availalble.,Data not available.
13.raceethnicity,"American Indian/Alaska Natie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
162.raceethnicity,Hlispanic,Hispanic
299.raceethnicity,"AmericanI ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
290.raceethnicity,"Americtan Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
29.sexraceethnicity,oTtal - Female,Total - Female
63.sexraceethnicity,"Total - Black, nomn-Hispanic ","Total - Black, non-Hispanic "
133.noteonpercent,Data not availale.,Data not available.
158.sex,aMle,Male
108.raceethnicity,"American Indian/Alaska aNtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
5.sexraceethnicity,Totl ,Total 
59.noteonpercent,Data not vaailable.,Data not available.
98.sex,Femalye,Female
207.sex,Malce,Male
91.sex,Femalle,Female
110.noteonpercent,Data ot available.,Data not available.
65.sex,jFemale,Female
84.noteonpercent,Data ont available.,Data not available.
257.raceethnicity,Hispanc,Hispanic
312.sex,Fmale,Female
93.sex,emale,Female
292.raceethnicity,"Amreican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
98.sexraceethnicity,"Total - Pacific Islander, non-Hispmanic","Total - Pacific Islander, non-Hispanic"
267.noteonpercent,Data no available.,Data not available.
82.noteonpercent,Data not aviailable.,Data not available.
50.raceethnicity,"hite, non-Hispanic","White, non-Hispanic"
22.sex,Mle,Male
283.sexraceethnicity,"Total - Femae, Pacific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
50.sex,Femaqle,Female
168.raceethnicity,kHispanic,Hispanic
237.noteonpercent,Data not avaialble.,Data not available.
75.raceethnicity,Hispanric,Hispanic
295.raceethnicity,"American Indian/Alaska Naitve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
287.sex,Femle,Female
15.noteonpercent,Data not vaailable.,Data not available.
300.noteonpercent,Data not availalbe.,Data not available.
302.noteonpercent,Data not vailable.,Data not available.
211.noteonpercent,Datba not available.,Data not available.
188.sexraceethnicity,"Total - Male, Pacific Islander, non-Hipsanic","Total - Male, Pacific Islander, non-Hispanic"
18.sex,Mael,Male
109.sex,Feale,Female
181.raceethnicity,"Asain, non-Hispanic","Asian, non-Hispanic"
52.sexraceethnicity,"Totasl - White, non-Hispanic","Total - White, non-Hispanic"
123.sex,Femalye,Female
272.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
151.sex,Mael,Male
232.raceethnicity,"White, non-Hipsanic","White, non-Hispanic"
12.noteonpercent,Data notavailable.,Data not available.
3.noteonpercent,Dadta not available.,Data not available.
233.raceethnicity,"White, non-Hispanc","White, non-Hispanic"
180.noteonpercent,Dtaa not available.,Data not available.
194.sexraceethnicity,"Total k- Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
14.sexraceethnicity,Totaol - Male,Total - Male
99.sex,Feamle,Female
140.sexraceethnicity,"dTotal - Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
262.noteonpercent,aDta not available.,Data not available.
77.sexraceethnicity,Total - wHispanic,Total - Hispanic
248.sexraceethnicity,"Total - Female, Hiuspanic","Total - Female, Hispanic"
207.sexraceethnicity,"Total  -Male, American Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
91.raceethnicity,"Aisan, non-Hispanic","Asian, non-Hispanic"
188.noteonpercent,Dadta not available.,Data not available.
47.sexraceethnicity,"Total - White,n on-Hispanic","Total - White, non-Hispanic"
86.noteonpercent,Dacta not available.,Data not available.
195.noteonpercent,Data not availabe.,Data not available.
279.noteonpercent,Data ot available.,Data not available.
266.raceethnicity,"Asian, non-Hilspanic","Asian, non-Hispanic"
187.sexraceethnicity,"Total-  Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
62.sexraceethnicity,"Total - Black, non-Hipsanic ","Total - Black, non-Hispanic "
110.raceethnicity,"American Indan/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
290.sex,Femle,Female
255.raceethnicity,Hisxpanic,Hispanic
170.noteonpercent,ata not available.,Data not available.
143.sex,aMle,Male
205.raceethnicity,"American IndianAlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
110.sex,Femawle,Female
