410.locationvalue,"(41.815550396096, -876228565224104)","(41.815550396096, -87.6228565224104)"
440.locationvalue,"(41.9688003768019, 8-7.6836327092268)","(41.9688003768019, -87.6836327092268)"
352.communityareaname,Oaklnad,Oakland
12.managementcompany,"Metrodplex, Inc.","Metroplex, Inc."
35.communityareaname,pOakland,Oakland
203.communityareaname,rand Boulevard,Grand Boulevard
429.propertytype,Multfamily,Multifamily
558.locationvalue,"(41.9712198343036, -87.661248060476p2)","(41.9712198343036, -87.6612480604762)"
14.address,901 W. 63rd Streext,901 W. 63rd Street
318.propertyname,Montclare Senior Residences fo Calumet Heights,Montclare Senior Residences of Calumet Heights
312.propertytype,Multiamily,Multifamily
465.managementcompany,Elderly Housing Dev.p & Operations Corp.,Elderly Housing Devp. & Operations Corp.
190.communityareaname,West oTwn,West Town
260.propertyname,Heritage Woods ofChicago,Heritage Woods of Chicago
376.communityareaname,Grand Bouleovard,Grand Boulevard
436.propertyname,Coppiny House,Coppin House
296.communityareaname,Hyde Pakr,Hyde Park
521.propertytype,uMltifamily,Multifamily
209.address,357 W. Palmer St.,3572 W. Palmer St.
263.propertytype,Secnior,Senior
78.communityareaname,Near North Sied,Near North Side
282.managementcompany,H.O..E.,H.O.M.E.
385.propertyname,Park Boulveard IIA,Park Boulevard IIA
361.address,7538 S. Kingsto nAve.,7538 S. Kingston Ave.
119.managementcompany,LUCAH,LUCHA
228.locationvalue,"(4f1.8660400255621, -87.7267241436599)","(41.8660400255621, -87.7267241436599)"
454.propertytype,Mulifamily,Multifamily
378.propertytype,Multfiamily,Multifamily
144.locationvalue,"(41.7784934339328, -87.6050742236176)","(41.7784934339328, -87.6050724236176)"
105.address,1224 S. Washztenaw Ave.,1224 S. Washtenaw Ave.
378.phonenumber,s773-893-4800,773-893-4800
88.propertytype,ultifamily,Multifamily
291.managementcompany,Holsten Manageument Corp.,Holsten Management Corp.
471.communityareaname,Washiungton Park,Washington Park
285.communityareaname,Ausin,Austin
191.propertytype,eSnior,Senior
526.address,1122 W. Chicgao Ave.,1122 W. Chicago Ave.
165.propertytype,Multifaxmily,Multifamily
55.address,2285 S. Halsted St.,2825 S. Halsted St.
223.propertytype,Multfamily,Multifamily
439.phonenumber,773-494-2r444,773-494-2444
401.propertyname,Buffet Pilace,Buffet Place
123.propertytype,Multfiamily,Multifamily
225.propertytype,Supportive/Teengae Moms,Supportive/Teenage Moms
534.managementcompany,The Ckommunity Builders,The Community Builders
304.propertytype,Multifaimly,Multifamily
25.phonenumber,317-56-2168,317-596-2168
90.managementcompany,Kass Manaegment,Kass Management
38.locationvalue,"(41.7814080036687, -87r.6058071227519)","(41.7814080036687, -87.6058071227519)"
378.propertyname,Park Doulas,Park Douglas
193.locationvalue,"(41.95332945388426, -87.74631600967054)","(41.95332945388426, -87.74613600967054)"
143.phonenumber,77-486-7410,773-486-7410
10.locationvalue,"(41.96576829t198519, -87.65754719663556)","(41.96576829198519, -87.65754719663556)"
307.managementcompany,NHS Redevelopment oCrp.,NHS Redevelopment Corp.
533.propertytype,Supportive Housnig,Supportive Housing
188.phonenumber,312-944-8500***,312-944-8500
62.address,1255 S. Fairfield Ae.,1255 S. Fairfield Ave.
115.locationvalue,"(41.9635353994208, -87f.651796190778)","(41.9635353994208, -87.651796190778)"
52.propertytype,Senuior,Senior
62.managementcompany,Intesrtate Realty Management Co.,Interstate Realty Management Co.
230.address,1649-51N . Drake Ave.,1649-51 N. Drake Ave.
333.phonenumber,773-22t7-6332,773-227-6332
129.phonenumber,i773-722-7320,773-722-7320
475.propertyname,Dorchetser Apts.,Dorchester Apts.
469.propertytype,Supporitve/Veterans,Supportive/Veterans
200.locationvalue,"(41.8921534052465, -8k7.7075265659001)","(41.8921534052465, -87.7075265659001)"
507.propertyname,Bronzeville Family Apt.s,Bronzeville Family Apts.
463.propertytype,Multifamiyl,Multifamily
507.managementcompany,Peoples Co-Op Managment Service,Peoples Co-Op Management Service
436.managementcompany,Interfaith Housing Cgorp.,Interfaith Housing Corp.
231.phonenumber,773-722-7302,773-722-7320
367.propertyname,Prairie Pamrk Apts.,Prairie Park Apts.
404.address,166N . Aberdeen St.,166 N. Aberdeen St.
433.propertytype,enior,Senior
45.address,718-l20 N. Troy St.,718-20 N. Troy St.
212.propertytype,Multiufamily,Multifamily
277.propertyname,Xaver Chicago,Xavier Chicago
160.phonenumber,312-91m3-9333,312-913-9333
520.managementcompany,Holten Management Corp.,Holsten Management Corp.
103.address,4340-2 S. Chamlain St.,4340-2 S. Champlain St.
437.phonenumber,773-255-1501,773-525-1501
190.propertyname,Cqentrum Wicker Park,Centrum Wicker Park
461.phonenumber,312-2165103,312-216-5103
353.propertytype,Multifamilny,Multifamily
66.address,1310-14 Sl. Washtenaw Ave.,1310-14 S. Washtenaw Ave.
178.managementcompany,Village Greedn Management Co.,Village Green Management Co.
255.address,3053 W. Franklin Blvde.,3053 W. Franklin Blvd.
3.managementcompany,"La Casa Nowrte, Inc.","La Casa Norte, Inc."
165.locationvalue,"(41.8497568840392, -87.732047259626)","(41.8497568840392, -87.7132047259626)"
395.propertytype,RO,ARO
421.communityareaname,Oakleand,Oakland
180.locationvalue,"(41.78535412n48735, -87.8010979955144)","(41.7853541248735, -87.8010979955144)"
539.propertyname,gPhoenix House,Phoenix House
432.managementcompany,Intertsate Realty Management Co.,Interstate Realty Management Co.
191.address,1637-59 W. Washhington Blvd.,1637-59 W. Washington Blvd.
292.phonenumber,7e73-548-8792,773-548-8792
51.address,1200 N.c Clybourn Ave.,1200 N. Clybourn Ave.
199.propertyname,Nelson Manqdela Apts.,Nelson Mandela Apts.
436.address,325-b43 E. 55th Place,325-43 E. 55th Place
12.propertyname,Mayfair wCommons,Mayfair Commons
341.address,33s41 W. Ohio St.,3341 W. Ohio St.
112.address,632 S. Indiana Ave.,3632 S. Indiana Ave.
480.phonenumber,773-22-76332,773-227-6332
526.propertyname,Nevele 22 Apt.,Nevele 22 Apts.
17.communityareaname,Roers Park,Rogers Park
2.phonenumber,773-638-0368,773-638-0386
149.propertyname,Lawndale Restoraiton II Apts. (scattered sites),Lawndale Restoration II Apts. (scattered sites)
251.propertytype,Multfamily,Multifamily
366.address,6d143-51 S. Indiana Ave.,6143-51 S. Indiana Ave.
138.propertyname,Senior Suites o Norwood Park,Senior Suites of Norwood Park
343.propertyname,Cornrstone Apts.,Cornerstone Apts.
254.address,5525 Wx. Diversey Ave.,5525 W. Diversey Ave.
173.managementcompany,LUHCA,LUCHA
248.address,6438 N. Sheridajn Road,6438 N. Sheridan Road
193.communityareaname,Portage Pasrk,Portage Park
461.propertytype,Multifamilwy,Multifamily
515.locationvalue,"(41.97412g95261027, -87.6599553011627)","(41.9741295261027, -87.6599553011627)"
359.phonenumber,h773-765-3090,773-765-3090
456.communityareaname,Humbolxdt Park,Humboldt Park
173.communityareaname,Logan Suqare,Logan Square
492.propertyname,Concordia pAts.,Concordia Apts.
496.address,10426 S.Michigan Ave.,10426 S. Michigan Ave.
497.managementcompany,hTe Brixen,The Brixen
100.communityareaname,Washingto Park,Washington Park
308.address,n1062 W. Bryn Mawr Ave.,1062 W. Bryn Mawr Ave.
76.address,3800 S. King vDr.,3800 S. King Dr.
159.managementcompany,The CommunityBuilders Inc.,The Community Builders Inc.
386.address,1645j W. LeMoyne St.,1645 W. LeMoyne St.
165.propertyname,Casa Tabasoc,Casa Tabasco
222.locationvalue,"(41.8988591503, -87.6867764252445)","(41.8988951503, -87.6867764252445)"
449.propertyname,Nerlson Mandela Apts.,Nelson Mandela Apts.
397.phonenumber,844-783-h6887,844-783-6887
161.managementcompany,Sergio & Banks Realx Estate,Sergio & Banks Real Estate
200.address,607 N. bSawyer Ave.,607 N. Sawyer Ave.
325.propertytype,Multifamliy,Multifamily
212.managementcompany,"Urban Property Advxisors, LLC","Urban Property Advisors, LLC"
78.locationvalue,"(41.9036488171287, -87.64046321927w71)","(41.9036488171287, -87.6404632192771)"
473.phonenumber,w773-548-8795,773-548-8795
261.address,5423 S. Woodlawn Ave.,5432 S. Woodlawn Ave.
497.propertytype,ARcO,ARO
541.address,034 S. State St.,4034 S. State St.
303.phonenumber,773-227-63l32,773-227-6332
497.propertyname,6602-22 W. Divesrey,6602-22 W. Diversey
551.address,20 S. Maplewood Ave.,320 S. Maplewood Ave.
559.managementcompany,Interstate Realt yManagement Co.,Interstate Realty Management Co.
23.managementcompany,Marquette Maangement Inc.,Marquette Management Inc.
426.communityareaname,Chicago Lan,Chicago Lawn
555.address,630 W. 51st St.,3630 W. 51st St.
143.managementcompany,Hispanic Housing ev. Corp.,Hispanic Housing Dev. Corp.
78.address,459q W. Division St.,459 W. Division St.
553.communityareaname,Lincon Square,Lincoln Square
87.phonenumber,773-404-9904***,773-404-9904
469.phonenumber,773-72-4801,773-772-4801
315.address,822 N. Sawyer Ave.,1822 N. Sawyer Ave.
561.locationvalue,"(41.8030392758336, -87.6077548851795)","(41.8030397258336, -87.6077548851795)"
68.address,3220 N. Lincln Ave.,3220 N. Lincoln Ave.
10.address,4611 N. roadway,4611 N. Broadway
434.propertytype,AO,ARO
340.locationvalue,"(41.9201p379786438, -87.71697197414618)","(41.9201379786438, -87.71697197414618)"
388.address,4239 N. Oak Park ve.,4239 N. Oak Park Ave.
177.propertytype,dMultifamily,Multifamily
221.communityareaname,Oakladn,Oakland
43.propertytype,AOR,ARO
226.communityareaname,Gxrand Boulevard,Grand Boulevard
270.phonenumber,773736-1900,773-736-1900
552.propertyname,Crystal Courts/Anixer Center,Crystal Courts/Anixter Center
61.propertytype,bARO,ARO
404.locationvalue,"(41.88502582463289, -87.65460592239103)","(41.88502582436289, -87.65460592239103)"
524.address,160 N. Elizabeth tS.,160 N. Elizabeth St.
328.phonenumber,73-762-3389,773-762-3389
475.communityareaname,Woodlawdn,Woodlawn
524.locationvalue,"(4.88476168481302, -87.6589883360869)","(41.88476168481302, -87.6589883360869)"
8.managementcompany,Wilot Properties,Wilmot Properties
336.propertyname,St. Edmund's Cornerjs,St. Edmund's Corners
319.communityareaname,SouthS hore,South Shore
537.managementcompany,Honore Proyperties,Honore Properties
369.phonenumber,773d-227-6332,773-227-6332
150.locationvalue,"(41.8913106255178, 87.646324463052)","(41.8913106255178, -87.646324463052)"
326.locationvalue,"(41.779170261036, -87.6767569483975)","(41.7791670261036, -87.6767569483975)"
301.address,5400 N. Norhtwest Hwy.,5400 N. Northwest Hwy.
426.address,3214 W. 63rd l,3214 W. 63rd Pl
98.phonenumber,b312-858-6212,312-858-6212
359.communityareaname,West Rideg,West Ridge
89.address,2917-39 Nj. Central Ave.,2917-39 N. Central Ave.
419.managementcompany,The Habtat Co.,The Habitat Co.
107.managementcompany,Lawndale Christian Residental Svcs.,Lawndale Christian Residential Svcs.
86.communityareaname,eNar West Side,Near West Side
102.managementcompany,33 Reaty,33 Realty
215.communityareaname,Washingtone Park,Washington Park
360.propertyname,4801 N. Ravenswood Av.e,4801 N. Ravenswood Ave.
561.propertytype,Seniro,Senior
474.address,2639 .W 12th Pl,2639 W. 12th Pl
364.propertytype,Multxifamily,Multifamily
485.managementcompany,CIG Mangement,CIG Management
133.locationvalue,"(41.9263486263737, -8i7.7031962197989)","(41.9263486263737, -87.7031962197989)"
406.communityareaname,Astin,Austin
390.propertyname,Enola A. Deqw Senior Apts.,Enola A. Dew Senior Apts.
20.address,4500 S. Wavbash Ave.,4500 S. Wabash Ave.
83.communityareaname,Near North ide,Near North Side
55.propertyname,Senior Suites of Brideport,Senior Suites of Bridgeport
212.phonenumber,773-684-o2056,773-684-2056
424.managementcompany,Childrens Place Associtaion,Childrens Place Association
400.propertyname,Homan Squarew Apartments Phase V,Homan Square Apartments Phase V
370.managementcompany,Fified Cos.,Fifield Cos.
495.address,26 S. Central Ave.,126 S. Central Ave.
232.propertytype,Mltifamily,Multifamily
376.propertytype,Multifmaily,Multifamily
4.propertyname,Hearts United I-The Langston (scatterewd sites),Hearts United I-The Langston (scattered sites)
538.propertyname,Kennedy JordanManor,Kennedy Jordan Manor
189.locationvalue,"(1.9158694795437, -87.687634267083)","(41.9158694795437, -87.687634267083)"
96.managementcompany,"East Lake Management kGroup, Inc.","East Lake Management Group, Inc."
236.propertyname,211 N. Milwaukee Ave.,2211 N. Milwaukee Ave.
510.propertytype,RAO,ARO
474.communityareaname,orth Lawndale,North Lawndale
80.propertyname,The Ducnan,The Duncan
268.propertyname,uPullman Suites,Pullman Suites
198.managementcompany,Intersgtate Realty Management Co.,Interstate Realty Management Co.
456.propertyname,Harodl Washington Unity Coop,Harold Washington Unity Coop
449.communityareaname,Humvboldt Park,Humboldt Park
381.propertytype,Multifaily,Multifamily
63.address,5282 N. Western Ave.,5822 N. Western Ave.
295.address,1834-o36 N. Sawyer Ave.,1834-36 N. Sawyer Ave.
123.locationvalue,"(41.8503913261082, -87.714813990107)","(41.8503913261082, -87.7148138990107)"
248.propertytype,Multifamly,Multifamily
351.propertyname,2556 Armtiage LLnC,2556 Armtiage LLC
300.locationvalue,"(41.909892381712, -87.7160529794187)","(41.9098923381712, -87.7160529794187)"
77.phonenumber,773-4t88-7205,773-488-7205
26.address,636 E. 50lth St.,636 E. 50th St.
236.communityareaname,Logany Square,Logan Square
176.propertyname,The eBel,The Bel
302.propertyname,Eden rGeen Apts.,Eden Green Apts.
544.phonenumber,3127-38-2280,312-738-2280
115.address,847-4 9W. Sunnyside Ave.,847-49 W. Sunnyside Ave.
123.address,2243 S. Central Prk Ave.,2243 S. Central Park Ave.
211.propertyname,Rockwell Gardnes Phase IA & IIA,Rockwell Gardens Phase IA & IIA
96.communityareaname,Near West ide,Near West Side
398.phonenumber,z312-274-8200,312-274-8200
175.propertyname,Lornigton Apts.,Lorington Apts.
440.propertyname,Lawence,Lawrence
106.communityareaname,Edgkewater,Edgewater
352.locationvalue,"(41.8188128855705,-87.5999659460719)","(41.8188128855705, -87.5999659460719)"
208.propertyname,Hearts United II-The Quincy (scattered siteso),Hearts United II-The Quincy (scattered sites)
77.managementcompany,Eergreen Real Estate LLC,Evergreen Real Estate LLC
483.managementcompany,IMCO,AIMCO
518.phonenumber,773-27-6332,773-227-6332
307.locationvalue,"(41.7030773785091, -8y7.6205446770862)","(41.7030773785091, -87.6205446770862)"
335.managementcompany,Volulnteers of America Illinois,Volunteers of America Illinois
540.address,6565 S. Yale Aev.,6565 S. Yale Ave.
323.managementcompany,Spaces Real Esttae,Spaces Real Estate
398.locationvalue,"(41.88556e47009563, -87.6468550832448)","(41.8855647009563, -87.6468550832448)"
456.address,3120-38 W.O hio St.,3120-38 W. Ohio St.
125.propertyname,Casa Puuebla,Casa Puebla
504.propertytype,Multiframily,Multifamily
90.phonenumber,773-457-3329,773-457-3239
128.propertyname,1125 VanBuren LLC,1125 Van Buren LLC
233.propertyname,Parkz Douglas,Park Douglas
71.locationvalue,"(41.8914803509781, -87.711689514043)","(41.8914803509781, -87.7111689514043)"
504.address,1955 N. tS. Louis Ave.,1955 N. St. Louis Ave.
10.propertytype,RAO,ARO
314.managementcompany,Catholic Charities ousing Devp.,Catholic Charities Housing Devp.
480.managementcompany,Bckerdike Apts.,Bickerdike Apts.
415.communityareaname,Belhmont Cragin,Belmont Cragin
148.locationvalue,"(41.9664930631947, -87.792672013702)","(41.9664930631947, -87.6792672013702)"
394.address,5014 S. Princeton Ave.,5041 S. Princeton Ave.
338.phonenumber,77-3538-3800,773-538-3800
535.phonenumber,j312-660-1374,312-660-1374
335.communityareaname,Englewood***,Englewood
278.communityareaname,Lake Viwe,Lake View
64.propertytype,Mulatifamily,Multifamily
131.communityareaname,NearWest Side,Near West Side
314.address,1222 W. 79h St.,1222 W. 79th St.
184.phonenumber,737-434-4929,773-434-4929
526.locationvalue,"(41.89636175681857, -87.65616994808683)","(41.89636175681587, -87.65616994808683)"
231.locationvalue,"(41.8711971734122, -8.77108484249133)","(41.8711971734122, -87.7108484249133)"
384.managementcompany,Bikerdike Apts.,Bickerdike Apts.
448.propertytype,Multifamiyl,Multifamily
513.locationvalue,"(z41.9950154575665, -87.6585160357341)","(41.9950154575665, -87.6585160357341)"
383.managementcompany,Seminarya Properties,Seminary Properties
347.phonenumber,73-324-2270,773-324-2270
460.communityareaname,Aubun Gresham,Auburn Gresham
60.locationvalue,"(41.8867274206876, -87.7071332901046)","(41.8867274206876, -87.7701332901046)"
200.propertytype,Multzifamily,Multifamily
175.address,3126 WPalmer Blvd.,3126 W.Palmer Blvd.
354.locationvalue,"(41.891235311207, -87.7126750162555)","(41.8912353311207, -87.7126750162555)"
241.propertyname,West Rkidge Senior Apts.,West Ridge Senior Apts.
233.address,1220 S. Talman Av.,1220 S. Talman Ave.
8.propertytype,AyRO,ARO
24.managementcompany,"HSR Property Services, LLbC","HSR Property Services, LLC"
378.communityareaname,Norh Lawndale,North Lawndale
281.phonenumber,773-772-8500***,773-772-8500
249.address,3251 E. 92d St.,3251 E. 92nd St.
31.communityareaname,Lowcer West Side,Lower West Side
510.phonenumber,224-534-93k61,224-534-9361
187.locationvalue,"(41.8838079875001, -87.6828o170157199)","(41.8838079875001, -87.6828170157199)"
171.phonenumber,773-572-2572,773-572-5272
258.phonenumber,73-227-6332,773-227-6332
189.propertytype,RAO,ARO
293.managementcompany,Heartland Houisng Iinc.,Heartland Houisng Inc.
456.phonenumber,773-227-632,773-227-6332
30.locationvalue,"(4.8963617568158, -87.6561699480868)","(41.8963617568158, -87.6561699480868)"
360.propertytype,RO,ARO
421.propertyname,Lakefront Phse II,Lakefront Phase II
427.locationvalue,"(41.9304982134092, -87.7079475066222)","(41.93043982134092, -87.7079475066222)"
249.locationvalue,"(41.728213546397, -87.5446927938825)","(41.7282135463978, -87.5446927938825)"
552.locationvalue,"(41.90177644987999, b-87.6969974803004)","(41.90177644987999, -87.6969974803004)"
405.communityareaname,Upown,Uptown
535.communityareaname,Hunobldt Paek,Hunboldt Paek
337.locationvalue,"(4.9122341944022, -87.6871237293732)","(41.9122341944022, -87.6871237293732)"
111.address,1333 N. Kingsbuyr St.,1333 N. Kingsbury St.
2.address,119 S. Sacramento Ave.,1129 S. Sacramento Ave.
466.propertytype,Multifamiyl,Multifamily
238.phonenumber,312-666-123,312-666-1323
453.address,3700 S. Dearborn Sgt.,3700 S. Dearborn St.
480.address,505 N. jTroy St.,505 N. Troy St.
470.managementcompany,Kass Managemenmt,Kass Management
305.communityareaname,Lincoln quare,Lincoln Square
33.propertyname,Senior Suites of Auburzn-Gresham,Senior Suites of Auburn-Gresham
302.phonenumber,773-5687033,773-568-7033
28.managementcompany,Elderly Housing Dvp. & Operations Corp.,Elderly Housing Devp. & Operations Corp.
155.address,155 S. Hamlin Ave.,1550 S. Hamlin Ave.
343.communityareaname,Gand Boulevard,Grand Boulevard
458.managementcompany,Pathway Sneior Living,Pathway Senior Living
194.managementcompany,"Urba nProperty Advisors, LLC","Urban Property Advisors, LLC"
325.managementcompany,"Urban Proeprty Advisors, LLC","Urban Property Advisors, LLC"
326.address,2109 W.63rd St.,2109 W. 63rd St.
44.propertyname,Nelsn Mandela Apts.,Nelson Mandela Apts.
285.phonenumber,773-2871592,773-287-1592
429.managementcompany,Metropolitan Housing Devg. Corp.,Metropolitan Housing Dev. Corp.
517.managementcompany,ZidanM anagement Group,Zidan Management Group
475.phonenumber,77-3572-5500,773-572-5500
542.phonenumber,312-878-000,312-878-0300
269.propertytype,Mulatifamily,Multifamily
350.locationvalue,"(41.965272561138, -87.646360379986)","(41.965272561138, -87.6546360379986)"
167.communityareaname,Asutin,Austin
310.phonenumber,7732-27-6332,773-227-6332
46.managementcompany,Mercfy Housing,Mercy Housing
379.locationvalue,"(41.8076990345395, -87.v6245595888703)","(41.8076990345395, -87.6245595888703)"
271.managementcompany,Hxeartland Housing Inc.,Heartland Housing Inc.
359.locationvalue,"(42.0050761227234,a -87.6902190302217)","(42.0050761227234, -87.6902190302217)"
122.communityareaname,ogan Square,Logan Square
204.propertytype,RAO,ARO
531.communityareaname,umboldt Park,Humboldt Park
362.locationvalue,"41.9236568472526, -87.697531225726)","(41.9236568472526, -87.697531225726)"
211.locationvalue,"(41.88098907675494, -87.69300683002724)","(41.880989071675494, -87.69300683002724)"
94.address,3656 W. Huro St.,3656 W. Huron St.
55.phonenumber,312-326-033n3,312-326-0333
197.managementcompany,"Urban Porperty Advisors, LLC","Urban Property Advisors, LLC"
246.propertyname,Bmorinquen Bella Apts.,Borinquen Bella Apts.
483.locationvalue,"(41.8639940987888, -87.655752387243)8","(41.8639940987888, -87.6557523872438)"
364.locationvalue,"(41.9029237079623, -87.70861609157)","(41.9029237079623, -87.708616099157)"
328.communityareaname,aNorth Lawndale,North Lawndale
509.address,2324 W. Irvingw Park Road,2324 W. Irving Park Road
496.phonenumber,773-648-1901,773-468-1901
470.phonenumber,312-72q5-2276,312-725-2276
58.managementcompany,"Urban Property Advisrs, LLC","Urban Property Advisors, LLC"
404.managementcompany,One Six Srix Chicago,One Six Six Chicago
58.propertytype,Mulitfamily,Multifamily
412.managementcompany,Realty & Mortgage eCo.,Realty & Mortgage Co.
37.communityareaname,West Tonw,West Town
359.propertytype,Seniwor,Senior
20.propertyname,Margaret Ford Manor Independent Liing,Margaret Ford Manor Independent Living
271.address,18 N. Mayfield Ave.,148 N. Mayfield Ave.
186.communityareaname,Updtown,Uptown
176.phonenumber,773-32-4975,773-327-4975
43.address,162 3N. Talman Ave.,1623 N. Talman Ave.
162.locationvalue,"(41.7419591237r961, -87.5598598952004)","(41.7419591237961, -87.5598598952004)"
320.managementcompany,Prelmark Realty Management LLC,Perlmark Realty Management LLC
542.address,n300 N. Michigan Ave.,300 N. Michigan Ave.
345.address,852-54 W. Sunnyside Ave./4509 N. Hazel tS.,852-54 W. Sunnyside Ave./4509 N. Hazel St.
295.phonenumber,77-276-5338,773-276-5338
53.managementcompany,Interstae Realty Management Co.,Interstate Realty Management Co.
42.communityareaname,Nort hCenter,North Center
270.locationvalue,"4(1.9677357509555, -87.7578424774051)","(41.9677357509555, -87.7578424774051)"
334.address,2537 N. Halted St.,2537 N. Halsted St.
402.communityareaname,Humbold tPark,Humboldt Park
134.address,850 W. Eastwod Ave.,850 W. Eastwood Ave.
407.propertyname,Prak Douglas,Park Douglas
133.address,2480-252q2 N. Milwaukee Ave.,2480-2522 N. Milwaukee Ave.
67.propertyname,oosevelt Towers,Roosevelt Towers
483.phonenumber,312-563-0909,312-563-0099
358.managementcompany,The Resurrection Projetc,The Resurrection Project
109.phonenumber,737-276-5338,773-276-5338
216.address,1038-40 N. Ashalnd Ave.,1038-40 N. Ashland Ave.
494.propertytype,RO,ARO
234.communityareaname,Logan Suare,Logan Square
45.locationvalue,"(41.8943364506332, -87.70543577020683)","(41.89433674506332, -87.70543577020683)"
88.phonenumber,312-6661-323,312-666-1323
238.address,1427 W. Cullertn St.,1427 W. Cullerton St.
465.communityareaname,North ark,North Park
4.phonenumber,773-92-42100,773-924-2100
321.propertyname,The Park at Central Statfion,The Park at Central Station
58.locationvalue,"(41.8181391196842, -87.599362683332)3","(41.8181391196842, -87.5993626833323)"
507.address,400 E 41st St.,400 E. 41st St.
356.propertytype,Multpifamily,Multifamily
205.communityareaname,Washingtokn Heights,Washington Heights
421.managementcompany,"Urban roperty Advisors, LLC","Urban Property Advisors, LLC"
428.communityareaname,Upown,Uptown
414.propertyname,Trianon Lofs,Trianon Lofts
407.propertytype,Multifaily,Multifamily
420.locationvalue,"(41.8925007736027a5, -87.70631775512356)","(41.89250077360275, -87.70631775512356)"
546.phonenumber,773-332-0689,773-332-0698
147.locationvalue,"(41.8m18579809058, -87.5993837218511)","(41.818579809058, -87.5993837218511)"
257.managementcompany,Greater Southwest Dev. Crop.,Greater Southwest Dev. Corp.
140.communityareaname,eWst Town,West Town
58.communityareaname,Oaklad,Oakland
469.propertyname,6b5th Infantry Boringueneers Apts.,65th Infantry Boringueneers Apts.
266.managementcompany,Interstate Realty Mnagement Co.,Interstate Realty Management Co.
