objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,acres,nhdbasin,aquaticlife,recreation,fishconsumption,drinkingwatersupply,ctlakeid,shape_length,shape_area
17,2008,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,189.28298966,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3467,24334.3122221123,8245167.04334499
18,2008,CT3600-00-3-L6_01,Glasgo Pond (Griswold/Voluntown),"Impoundment of Pachaug River, near Griswold/Voluntown border, begining on west side of Sheldon Road Crossing, and DS to east side of Route 201 crossing (Includes portion south of Route 165 crossing). Doaneville Pond portion NOT included.",104.29343749,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1019,22397.4939411983,4543021.89705898
19,2008,CT2104-00-1-L2_01,Long Pond (Ledyard/North Stonington),"Ledyard, North Stonington border.",111.31155522,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1683,24895.6327730097,4848731.4187925
20,2008,CT3206-00-1-L1_01,Morey Pond (Union/Ashford),Straddles Ashford - Union line and is split by Rte 84.,47.21988403,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1909,12386.9198670979,2056898.25825571
21,2008,CT3600-00-3-L7_01,Pachaug Pond (Griswold),"Impoundment of Pachaug River, eastern Griswold.",836.91647599,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2134,77824.1758830208,36456081.6141571
22,2008,CT3400-00-2-L11_01,Quaddick Reservoir (Thompson),Southeast corner of Thompson; impoundment of the Fivemile River.,391.30189365,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2337,65539.5657708328,17045110.406563
23,2008,CT3203-00-1-L1_01,Mashapaug Lake (Union),Northeastern Union near MA border.,297.91873695,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1779,38090.2159112425,12977340.2934508
24,2008,CT3400-00-1-L1_01,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border. Headwaters of Fivemile River.",65.81726082,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1648,7524.77206212308,2866999.86337798
25,2008,CT3300-00-3+L3_01,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.",58.66395909,1100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2033,18760.6963392008,2555402.07561616
26,2008,CT3700-28-1-L1_01,Wauregan (Quinebuag) Pond (Killingly),Southwestern corner of Killingly.,71.06295223,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2343,9990.13750921345,3095502.20998354
27,2008,CT4315-10-1-L1_01,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street",8.12716314,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1752,5593.24259792881,354019.18031934
28,2008,CT4300-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.",852.34495865,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,568,63814.4863274421,37128146.1703807
29,2008,CT5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Doad (Route 66).",69.89357814,1100004,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,239,18777.7119415127,3044564.32714191
30,2008,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","From Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside).",580.56909076,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,1554,72327.8061340326,25289589.4604226
31,2008,CT3705-00-1-L1_01,Griggs Pond (Woodstock),Northwest corner of Woodstock.,37.55701349,1100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1092,7640.62529214094,1635983.49149069
32,2008,CT3203-00-1-L2_01,Bigelow Pond (Union),DS of Mashapaug Lake in northern Union.,25.79732582,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,214,8980.97603020878,1123731.54260915
33,2008,CT3201-01-1-L1_01,Black Pond (Woodstock),"Eastern Woodstock, south of Rte 197.",71.87713872,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,236,8213.55301830889,3130968.1663953
34,2008,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,96.38245575,1100001,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,2465,10217.3549883874,4198419.69951084
35,2008,CT3101-03-1-L1_01,Crystal Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.",187.37926371,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,655,15824.0721676844,8162240.69080054
36,2008,CT3700-23-1-L1_01,Alexander Lake (Killingly),Dayville section of Killingly.,189.55047334,1100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21,20428.8341881384,8256818.30413313
37,2008,CT3200-01-1-L1_01,Halls Pond (Eastford/Ashford),SW corner of Eastford.,83.15803735,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1132,15866.3436360267,3622364.23149572
38,2008,CT3108-02-1-L2_01,"Bolton Lake, Middle (Vernon)",Southeast section of Vernon.,117.19916389,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,266,14402.0904400297,5105195.54061232
39,2008,CT3108-02-1-L3_01,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.",176.459358,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,265,14188.1128171674,7686569.5593503
40,2008,CT3100-00-3-L1_01,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.",79.49506558,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,792,17987.1309552964,3462805.21049851
41,2008,CT3105-00-1-L1_01,Waumgumbaug Lake (Coventry),East - Central Coventry,374.44584685,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3387,28780.0565177026,16310861.2067953
42,2008,CT3502-07-1-L1_01,Moosup Pond (Plainfield),Northeast section of Plainfield.,89.27231045,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1906,8348.27434824061,3888701.76511075
43,2008,CT3108-13-1-L1_01,Columbia Lake (Columbia),NW Columbia,277.28298467,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,575,21109.907842455,12078446.763889
44,2008,CT3109-01-1-L1_01,Mono Pond (Columbia),"Southern Columbia, south of Rte 66.",101.97836279,1100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1899,19222.0255066831,4442177.62010009
45,2008,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)",308.85656611,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,69,64711.4490705672,13453792.1267319
46,2008,CT1100-00-1-L1_01,Porter Pond (Sterling),"Headwaters of Wood River near Rhode Island border, Sterling.",10.40441574,1090005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2293,4361.25502832462,453216.35243088
47,2008,CT3805-00-3-L7_01,Versailles Pond (Sprague),"Impoundment of Little River, southeast corner of Sprague.",57.20488098,1100002,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,3352,14935.9782480639,2491844.77596168
48,2008,CT3600-00-3-L8_01,Hopeville Pond (Griswold),"Impoundment of Pachaug River, Griswold; ds of Pachaug Pond.",106.60624247,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1284,29443.5258515292,4643768.13889446
49,2008,CT3600-00-3-L3_01,Beachdale Pond (Voluntown),"Impoundment of Pachaug River, Voluntown; US of Glasgo and DS of Beach Ponds.",37.31918688,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,143,12065.1074097609,1625623.78754073
50,2008,CT3900-00-4-L1_01,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.",58.53778634,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,915,13949.1101671157,2549905.95843891
51,2008,CT3900-01-1-L1_01,Red Cedar Lake (Lebanon),South corner of Lebanon.,132.91856622,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2368,19134.1142548049,5789932.6763013
52,2008,CT1002-00-1-L1_01,Green Falls Reservoir (Voluntown),"SE Voluntown, east of Rte 49, south of Rte 138, in Pachaug State Forest",46.14604106,1090005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1075,10451.5622689073,2010121.45604685
53,2008,CT3906-00-1-L1_01,Gardner Lake (Salem/Montville/Bozrah),"At junction of Salem, Montville and Bozrah.",527.29482885,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,985,30886.4049147694,22968962.6670846
54,2008,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.",112.42337329,1100003,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,33,13730.4604964013,4897161.93134104
55,2008,CT3605-00-1-L1_01,Billings Lake (North Stonington),North central North Stonington.,94.87696431,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,216,17083.5185930168,4132840.53157222
56,2008,CT3605-01-1-L1_01,Anderson Pond (North Stonington),North central North Stonington,49.17839569,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,35,10054.1435736335,2142210.92544215
57,2008,CT3002-04-1-L1_01,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.",45.61925414,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,80,5721.77159239972,1987174.78589208
58,2008,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.",98.93893459,1090005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,3586,13629.450663532,4309780.11882848
59,2008,CT3600-00-1-L1_01,Beach Pond (Voluntown/Rhode Island),Eastern border of Voluntown with RI.,407.60116265,1100001,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,142,36181.8914183612,17755106.5457513
60,2008,CT3002-06-1-L1_01,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.",91.24749477,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1530,18330.7087111275,3974740.96645567
61,2008,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/Southbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).",339.25290172,1100005,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,1554,60747.8782725628,14777856.5875912
62,2008,CT2104-00-1-L1_01,Lantern Hill Pond (Ledyard/North Stonington),Border of Ledyard and North Stonington; now part of Mashentucket Reservation.,20.05592742,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1575,4067.42272376651,873636.09097816
63,2008,CT2205-00-1-L1_01,Powers Lake (East Lyme),"East Lyme, Headwaters of Pataganset River.",146.50472053,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2310,17778.8646610467,6381745.54169005
64,2008,CT2205-00-1-L2_01,Pataganset Lake (East Lyme),"East Lyme, Pataganset River system.",125.70376449,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2184,19706.497826737,5475656.07208822
65,2008,CT2205-00-1-L3_01,Gorton Pond (East Lyme),East Lyme. Impoundment of Pataganset River.,52.41038355,1100003,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1045,14586.1936901236,2282996.33871605
66,2008,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"East Lyme; near Niantic village center, east of Rte 161, north of Rte 156.",29.58739324,1100003,Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,743,5134.89383570469,1288826.92081265
67,2008,CT6002-00-1-L1_01,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,565.30629517,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3409,27835.1513328381,24624742.1440618
68,2008,CT6100-04-1-L1_01,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Wood Creek.",147.62196966,1100005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3556,17293.9645245026,6430413.23414667
69,2008,CT6005-00-1-L1_01,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,348.14121964,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3555,15376.5147310104,15165031.4594084
70,2008,CT6301-00-1-L1_01,"Wononpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (also known as Long Pond).",167.5012753,1100005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3554,14481.3305624685,7296355.4535811
71,2008,CT6905-00-1-L3_01,"Winchester, Lake (Winchester)",HUC: 01100005,248.06948104,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1550,28598.1475973225,10805906.532606
72,2008,CT6301-00-2-L2_01,Mudge Pond (Sharon),Northwest Sharon.,211.17193756,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1945,15099.2556114172,9198649.64997093
73,2008,CT6905-00-1-L4_01,Park Pond (Winchester),Southwest corner of Winchester; drains to East Branch of Naugatuck River,74.95130788,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2165,11072.9595260387,3264879.01088874
74,2008,CT6008-00-1-L1_01,Cream Hill Lake (Cornwall),Northeastern Cornwall.,67.30831532,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,636,7408.72177274746,2931950.27860726
75,2008,CT6701-01-1-L1_01,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,40.36769879,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,3463,5484.33917802115,1758416.97078921
76,2008,CT6904-00-3-L1_01,Stillwater Pond (Torrington),"Impoundment of West Branch of the Naugatuck River, Torrington; east of Rte 272.",93.51925519,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2761,17087.9883430974,4073698.59932615
77,2008,CT6701-00-1-L1_01,Tyler Lake (Goshen),West central Goshen; headwaters of Marshepaug River.,187.22468136,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,2985,18755.5130839859,8155507.1032156
78,2008,CT6703-00-2-L1_01,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,65.76622525,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,746,7494.95399457667,2864776.68723796
79,2008,CT6700-03-1-L2_01,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,16.33725966,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1894,3355.22721190262,711650.978445848
80,2008,CT6500-00-1-L1_01,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,82.25993559,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,2681,8764.79567797353,3583242.82886709
81,2008,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris",955.44317016,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,110,49683.926527037,41619104.5919821
82,2008,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington; headwaters of East Aspetuck River.",640.80862486,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1544,48901.5422399421,27913623.9889144
83,2008,CT6016-00-1-L2_01,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.",20.14435029,1100005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1602,4538.23578406038,877487.876644157
84,2008,CT6705-14-1-L1_01,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corner of Morris, southwest corner of Litchfield, within Mount Tom State Park.",55.13972797,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,1934,7952.2130398767,2401886.590557
85,2008,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook.",65.65717495,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1172,9102.20490686733,2860026.727609
86,2008,CT6909-00-2-L1_01,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",5.30096427,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2048,2783.44511940392,230909.922728745
87,2008,CT6804-02-1-L1_01,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.",101.4093098,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1675,18026.993986236,4417389.51563255
88,2008,CT6912-05-1-L2_01,"Winnemaug, Lake (Watertown)",Southwest Watertown.,112.87363947,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1552,17503.1563122235,4916775.61325428
89,2008,CT6400-00-1-L5_01,"Candlewood, Lake (New Fairfield/Danbury/Sherman/New Milford)","Parts of Brookfield, Danbury, New Milford, New Farfield, & Sherman.",5085.6743594,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1490,345092.827981207,221531973.909846
90,2008,CT6023-00-1-L1_01,"Quassapaug, Lake (Middlebury/Woodbury)",Northwestern Middlebury; headwaters of Eightmile Brook.,296.89079611,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1533,32964.6934018462,12932563.1609834
91,2008,CT6400-03-1-L1_01,Squantz Pond (New Fairfield/Sherman),"Northeast corner of New Fairfield and into Sherman; a large cove of Candlewood Lake, contained by Squantz Pond Dam at Route 39 crossing.",266.80555528,1100005,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2719,28210.8322218542,11622050.0133052
92,2008,CT6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",25.77221396,1100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1281,9200.12640646454,1122637.76098188
93,2008,CT6402-00-1-L1_01,Ball Pond (New Fairfield),New Fairfield,80.7004323,1100005,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,100,9286.35747511145,3515310.78198847
94,2008,CT6018-00-1-L1_01,Taunton Pond (Newtown),Central Newtown.,124.60674411,1100005,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2852,12136.8005858179,5427869.75285913
95,2008,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",56.75161745,1100005,Fully Supporting,Not Supporting,Fully Supporting,Fully Supporting,1509,8916.19982305404,2472100.46420373
96,2008,CT6000-00-5+L4_01,"Housatonic, Lake (Shelton/Derby/Seymour/Oxford/Monroe)","From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.",346.29206945,1100005,Fully Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,1508,69430.8367147932,15084482.8283525
97,2008,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",4.02313783,1100005,Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,310,1855.56413566313,175247.794143589
98,2008,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",100.30008682,1100005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1252,19245.3777139289,4369071.70432592
99,2008,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester. Within Babcock Pond Wildlife Management Area.",122.76090032,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,88,24396.2679771253,5347464.87930803
100,2008,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,214.44591028,1080207,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2354,60317.9244968307,9341263.77225124
101,2008,CT4020-06-1-L1_01,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,275.36583035,1080205,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2453,31984.5558284626,11994935.5862266
102,2008,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.",14.32309194,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1297,3575.16350728842,623913.792405779
103,2008,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,385.74814108,1080207,Fully Supporting,Fully Supporting,Not Supporting,Fully Supporting,1522,52352.7224734222,16803189.2427698
104,2008,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellington/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.",511.84462678,1080205,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting,2596,38880.7337830691,22295951.9761804
105,2008,CT4305-00-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwest corner of New Hartford.,245.54598559,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3448,17327.4032895767,10695983.3037961
106,2008,CT4303-02-1-L1_01,Burr Pond (Torrington),"South of Burr Mountain Rd, Northeast corner of Torrington.",83.39265659,1080207,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,382,16500.1561230003,3632584.06798023
