region,regioncode,periodvalue,pctmdpanpmuaiu,pctmdpanpmu,pctmdmuaiu,pctmdmu,pctnpmuaiu,pctnpmu,pctpamuaiu,pctpamu,pcthospitalsmuaiu,pcthospitalsmu,pctcahsmallruralmuaiu,pctcahsmallruralmu
Tennessee,TN,2016,0.62,0.47,0.68,0.58,0.57,0.19,0.04,0.008,0.99,0.98,0.97,0.97
Texas,TX,2016,0.58,0.5,0.65,0.58,0.4,0.17,0.022,0.011,0.98,0.96,0.98,0.96
Utah,UT,2016,0.58,0.52,0.72,0.67,0.17,0.08,0.021,0.013,1.0,0.98,1.0,1.0
Vermont,VT,2016,0.7,0.59,0.75,0.67,0.87,0.54,0.017,0.011,1.0,1.0,1.0,1.0
Virginia,VA,2016,0.6,0.54,0.7,0.65,0.29,0.15,0.011,0.005,1.0,0.99,1.0,1.0
Washington,WA,2016,0.7,0.56,0.76,0.65,0.73,0.35,0.071,0.037,0.99,0.96,0.98,0.98
West Virginia,WV,2016,0.54,0.48,0.65,0.6,0.35,0.2,0.071,0.04,0.98,0.98,1.0,1.0
Wisconsin,WI,2016,0.8,0.73,0.92,0.86,0.57,0.36,0.027,0.019,1.0,1.0,1.0,1.0
Wyoming,WY,2016,0.45,0.39,0.57,0.52,0.22,0.08,0.006,0.0,1.0,1.0,1.0,1.0
National,US,2015,0.57,0.48,0.64,0.56,0.38,0.16,0.047,0.019,0.98,0.95,0.97,0.93
Alabama,AL,2015,0.56,0.47,0.62,0.54,0.32,0.14,0.046,0.003,1.0,1.0,1.0,1.0
Alaska,AK,2015,0.45,0.32,0.52,0.4,0.49,0.23,0.056,0.015,1.0,0.9,1.0,0.88
Arizona,AZ,2015,0.51,0.38,0.61,0.48,0.26,0.07,0.014,0.001,0.96,0.96,0.95,0.95
Arkansas,AR,2015,0.58,0.49,0.63,0.57,0.42,0.19,0.111,0.052,0.97,0.96,1.0,0.97
California,CA,2015,0.59,0.49,0.64,0.54,0.46,0.18,0.149,0.069,0.94,0.89,0.95,0.87
Colorado,CO,2015,0.59,0.5,0.7,0.61,0.41,0.15,0.054,0.013,0.96,0.96,0.98,0.98
Connecticut,CT,2015,0.5,0.41,0.54,0.48,0.53,0.14,0.01,0.002,0.9,0.87,1.0,1.0
Delaware,DE,2015,0.62,0.54,0.72,0.65,0.42,0.2,0.006,0.0,1.0,0.86,1.0,1.0
District Of Columbia,DC,2015,0.6,0.44,0.62,0.47,0.66,0.24,0.02,0.0,1.0,1.0,1.0,1.0
Florida,FL,2015,0.53,0.45,0.6,0.53,0.32,0.11,0.015,0.005,0.98,0.95,1.0,1.0
Georgia,GA,2015,0.49,0.41,0.59,0.5,0.24,0.1,0.024,0.008,0.95,0.95,0.9,0.9
Hawaii,HI,2015,0.56,0.49,0.59,0.53,0.5,0.25,0.009,0.0,0.91,0.78,0.83,0.58
Idaho,ID,2015,0.48,0.41,0.61,0.54,0.29,0.15,0.086,0.038,0.98,0.85,0.97,0.86
Illinois,IL,2015,0.64,0.55,0.7,0.62,0.42,0.22,0.032,0.011,1.0,1.0,1.0,1.0
Indiana,IN,2015,0.55,0.47,0.61,0.55,0.34,0.13,0.016,0.01,0.96,0.91,0.98,0.85
Iowa,IA,2015,0.64,0.56,0.78,0.71,0.33,0.18,0.068,0.05,1.0,1.0,1.0,1.0
Kansas,KS,2015,0.5,0.44,0.6,0.55,0.32,0.13,0.006,0.001,0.95,0.87,0.94,0.84
Kentucky,KY,2015,0.54,0.42,0.6,0.51,0.47,0.18,0.091,0.022,0.99,0.89,0.98,0.88
Louisiana,LA,2015,0.55,0.45,0.58,0.5,0.5,0.24,0.091,0.036,0.94,0.93,0.98,0.96
Maine,ME,2015,0.79,0.57,0.84,0.65,0.94,0.53,0.113,0.042,1.0,0.91,1.0,0.86
Maryland,MD,2015,0.53,0.45,0.6,0.53,0.26,0.08,0.009,0.002,0.98,0.96,1.0,1.0
Massachusetts,MA,2015,0.73,0.61,0.82,0.71,0.4,0.19,0.009,0.003,0.94,0.92,1.0,1.0
Michigan,MI,2015,0.62,0.51,0.69,0.59,0.45,0.15,0.096,0.052,0.98,0.98,0.98,0.98
Minnesota,MN,2015,0.8,0.76,0.93,0.9,0.46,0.25,0.009,0.005,0.98,0.96,0.98,0.98
Mississippi,MS,2015,0.63,0.47,0.64,0.53,0.61,0.3,0.105,0.026,0.96,0.95,0.96,0.96
Missouri,MO,2015,0.58,0.5,0.64,0.57,0.36,0.19,0.03,0.019,0.97,0.97,0.94,0.92
Montana,MT,2015,0.46,0.4,0.56,0.51,0.26,0.12,0.075,0.055,0.95,0.95,0.94,0.94
Nebraska,NE,2015,0.49,0.45,0.63,0.59,0.22,0.1,0.012,0.006,0.98,0.92,0.97,0.96
Nevada,NV,2015,0.41,0.36,0.47,0.43,0.19,0.07,0.042,0.002,0.97,0.91,1.0,0.93
New Hampshire,NH,2015,0.64,0.58,0.8,0.75,0.24,0.09,0.012,0.0,0.88,0.88,0.85,0.85
New Jersey,NJ,2015,0.47,0.42,0.51,0.47,0.14,0.05,0.046,0.004,0.97,0.95,1.0,1.0
New Mexico,NM,2015,0.56,0.37,0.61,0.43,0.55,0.21,0.145,0.078,0.98,0.93,1.0,0.92
New York,NY,2015,0.48,0.37,0.55,0.43,0.3,0.13,0.007,0.001,0.96,0.92,0.94,0.83
North Carolina,NC,2015,0.61,0.53,0.74,0.67,0.4,0.16,0.032,0.012,0.95,0.94,0.93,0.9
North Dakota,ND,2015,0.59,0.54,0.77,0.73,0.15,0.05,0.05,0.0,0.89,0.89,0.86,0.86
Ohio,OH,2015,0.64,0.55,0.68,0.61,0.53,0.25,0.011,0.002,0.97,0.94,1.0,0.93
Oklahoma,OK,2015,0.6,0.45,0.66,0.52,0.76,0.34,0.066,0.024,0.91,0.91,0.94,0.92
Oregon,OR,2015,0.71,0.62,0.8,0.74,0.57,0.24,0.055,0.026,1.0,0.98,1.0,1.0
Pennsylvania,PA,2015,0.56,0.49,0.66,0.6,0.16,0.08,0.008,0.003,0.97,0.94,1.0,0.96
Rhode Island,RI,2015,0.43,0.36,0.47,0.4,0.34,0.17,0.013,0.0,0.91,0.91,1.0,1.0
South Carolina,SC,2015,0.56,0.46,0.63,0.54,0.38,0.15,0.034,0.011,0.98,0.93,0.91,0.91
South Dakota,SD,2015,0.63,0.57,0.83,0.78,0.27,0.13,0.084,0.056,0.97,0.97,0.98,0.98
Tennessee,TN,2015,0.53,0.4,0.59,0.5,0.45,0.14,0.11,0.027,0.96,0.92,0.95,0.9
Texas,TX,2015,0.51,0.43,0.58,0.51,0.29,0.11,0.026,0.009,0.91,0.89,0.98,0.95
Utah,UT,2015,0.56,0.49,0.7,0.63,0.16,0.07,0.02,0.013,1.0,0.98,1.0,1.0
Vermont,VT,2015,0.64,0.52,0.7,0.6,0.76,0.43,0.028,0.0,1.0,1.0,1.0,1.0
Virginia,VA,2015,0.54,0.48,0.63,0.58,0.25,0.13,0.021,0.006,0.94,0.92,1.0,1.0
Washington,WA,2015,0.68,0.53,0.76,0.63,0.6,0.26,0.088,0.037,0.98,0.91,0.98,0.9
West Virginia,WV,2015,0.51,0.42,0.61,0.53,0.27,0.14,0.143,0.052,0.94,0.94,0.92,0.92
Wisconsin,WI,2015,0.73,0.66,0.85,0.79,0.46,0.28,0.032,0.014,0.99,0.98,1.0,0.97
Wyoming,WY,2015,0.37,0.32,0.48,0.43,0.14,0.05,0.012,0.0,0.96,0.96,1.0,1.0
National,US,2014,0.52,0.43,0.59,0.51,0.32,0.12,0.03,0.01,0.94,0.91,1.0,0.9
Alabama,AL,2014,0.52,0.43,0.58,0.5,0.27,0.1,0.03,0.0,1.0,0.99,1.0,1.0
Alaska,AK,2014,0.41,0.27,0.48,0.35,0.42,0.14,0.04,0.0,0.95,0.91,1.0,0.88
Arizona,AZ,2014,0.46,0.33,0.55,0.41,0.23,0.06,0.01,0.0,0.95,0.96,1.0,0.95
Arkansas,AR,2014,0.52,0.43,0.57,0.5,0.35,0.12,0.05,0.01,0.97,0.95,1.0,0.97
California,CA,2014,0.55,0.45,0.59,0.5,0.39,0.14,0.12,0.05,0.93,0.87,1.0,0.82
Colorado,CO,2014,0.53,0.44,0.63,0.55,0.35,0.11,0.03,0.01,0.96,0.97,1.0,0.98
Connecticut,CT,2014,0.46,0.37,0.5,0.43,0.44,0.11,0.0,0.0,0.9,0.87,1.0,1.0
Delaware,DE,2014,0.57,0.5,0.66,0.6,0.32,0.16,0.0,0.0,1.0,0.86,1.0,0.0
District Of Columbia,DC,2014,0.44,0.34,0.46,0.37,0.34,0.15,0.0,0.0,1.0,1.0,1.0,0.0
Florida,FL,2014,0.48,0.4,0.55,0.48,0.26,0.08,0.01,0.0,0.97,0.95,1.0,0.95
Georgia,GA,2014,0.45,0.36,0.54,0.46,0.21,0.06,0.01,0.0,0.95,0.94,1.0,0.9
Hawaii,HI,2014,0.51,0.41,0.54,0.46,0.35,0.03,0.01,0.0,0.74,0.74,1.0,0.58
Idaho,ID,2014,0.44,0.35,0.55,0.47,0.27,0.1,0.05,0.01,0.85,0.83,1.0,0.83
Illinois,IL,2014,0.58,0.49,0.65,0.56,0.32,0.14,0.02,0.01,0.99,0.98,1.0,0.97
Indiana,IN,2014,0.5,0.42,0.56,0.5,0.27,0.09,0.0,0.0,0.95,0.9,1.0,0.85
Iowa,IA,2014,0.6,0.51,0.73,0.65,0.3,0.14,0.03,0.02,0.98,0.99,1.0,1.0
Kansas,KS,2014,0.47,0.41,0.57,0.53,0.27,0.09,0.0,0.0,0.87,0.75,1.0,0.68
Kentucky,KY,2014,0.46,0.34,0.53,0.42,0.35,0.1,0.03,0.01,0.99,0.89,1.0,0.88
Louisiana,LA,2014,0.49,0.4,0.53,0.45,0.41,0.18,0.06,0.02,0.94,0.91,1.0,0.94
Maine,ME,2014,0.72,0.5,0.77,0.57,0.85,0.44,0.05,0.03,1.0,0.89,1.0,0.83
Maryland,MD,2014,0.48,0.41,0.54,0.47,0.2,0.06,0.0,0.0,0.94,0.92,1.0,1.0
Massachusetts,MA,2014,0.68,0.56,0.77,0.66,0.37,0.15,0.0,0.0,0.94,0.92,1.0,1.0
Michigan,MI,2014,0.53,0.44,0.6,0.51,0.29,0.09,0.08,0.04,0.97,0.96,1.0,0.94
Minnesota,MN,2014,0.74,0.69,0.87,0.83,0.38,0.15,0.01,0.0,0.94,0.91,1.0,0.9
Mississippi,MS,2014,0.56,0.41,0.58,0.47,0.52,0.22,0.03,0.01,0.95,0.87,1.0,0.94
Missouri,MO,2014,0.52,0.44,0.58,0.51,0.3,0.14,0.02,0.0,0.97,0.95,1.0,0.92
Montana,MT,2014,0.39,0.34,0.49,0.44,0.19,0.08,0.06,0.04,0.92,0.92,1.0,0.91
Nebraska,NE,2014,0.45,0.4,0.59,0.53,0.19,0.06,0.0,0.0,0.94,0.87,1.0,0.91
Nevada,NV,2014,0.36,0.32,0.42,0.38,0.12,0.03,0.02,0.0,0.91,0.83,1.0,0.73
New Hampshire,NH,2014,0.61,0.54,0.75,0.7,0.23,0.07,0.0,0.0,0.88,0.88,1.0,0.85
New Jersey,NJ,2014,0.43,0.39,0.47,0.43,0.13,0.05,0.0,0.0,0.98,0.97,1.0,0.0
New Mexico,NM,2014,0.54,0.35,0.58,0.4,0.54,0.2,0.12,0.07,0.98,0.93,1.0,0.92
New York,NY,2014,0.42,0.32,0.47,0.38,0.24,0.09,0.0,0.0,0.95,0.91,1.0,0.79
North Carolina,NC,2014,0.55,0.47,0.68,0.61,0.31,0.1,0.01,0.0,0.91,0.86,1.0,0.8
North Dakota,ND,2014,0.53,0.49,0.7,0.66,0.13,0.03,0.02,0.0,0.84,0.86,1.0,0.84
Ohio,OH,2014,0.59,0.49,0.63,0.55,0.43,0.18,0.0,0.0,0.97,0.94,1.0,0.93
Oklahoma,OK,2014,0.54,0.4,0.6,0.46,0.64,0.26,0.03,0.01,0.89,0.89,1.0,0.9
Oregon,OR,2014,0.65,0.56,0.74,0.67,0.5,0.18,0.04,0.02,0.97,0.98,1.0,1.0
Pennsylvania,PA,2014,0.51,0.45,0.61,0.54,0.14,0.07,0.01,0.0,0.95,0.92,1.0,0.96
Rhode Island,RI,2014,0.37,0.31,0.41,0.36,0.25,0.11,0.0,0.0,0.91,0.91,1.0,0.0
South Carolina,SC,2014,0.52,0.42,0.59,0.49,0.33,0.11,0.02,0.01,0.98,0.95,1.0,1.0
South Dakota,SD,2014,0.56,0.51,0.74,0.69,0.21,0.08,0.07,0.05,0.89,0.9,1.0,0.9
Tennessee,TN,2014,0.48,0.36,0.54,0.45,0.41,0.12,0.04,0.01,0.93,0.88,1.0,0.85
Texas,TX,2014,0.46,0.38,0.52,0.45,0.24,0.08,0.02,0.01,0.91,0.88,1.0,0.93
Utah,UT,2014,0.49,0.42,0.62,0.54,0.15,0.05,0.02,0.01,0.98,0.96,1.0,0.95
Vermont,VT,2014,0.58,0.42,0.63,0.5,0.69,0.27,0.01,0.0,1.0,1.0,1.0,1.0
Virginia,VA,2014,0.49,0.43,0.58,0.52,0.22,0.09,0.01,0.0,0.92,0.91,1.0,1.0
Washington,WA,2014,0.63,0.48,0.7,0.57,0.55,0.21,0.05,0.03,0.97,0.9,1.0,0.9
West Virginia,WV,2014,0.46,0.38,0.56,0.47,0.26,0.12,0.08,0.04,0.94,0.92,1.0,0.88
Wisconsin,WI,2014,0.69,0.61,0.8,0.73,0.41,0.2,0.02,0.01,0.99,0.98,1.0,0.97
Wyoming,WY,2014,0.34,0.27,0.44,0.37,0.11,0.04,0.01,0.0,1.0,1.0,1.0,1.0
National,US,2013,0.41,0.31,0.47,0.38,0.24,0.06,0.02,0.01,0.9,0.84,1.0,0.8
Alabama,AL,2013,0.42,0.33,0.47,0.38,0.2,0.04,0.03,0.0,0.94,0.94,1.0,0.97
Alaska,AK,2013,0.3,0.12,0.36,0.16,0.25,0.04,0.03,0.0,0.95,0.68,1.0,0.59
Arizona,AZ,2013,0.36,0.23,0.43,0.29,0.18,0.02,0.01,0.0,0.96,0.84,1.0,0.68
Arkansas,AR,2013,0.43,0.32,0.48,0.38,0.26,0.1,0.03,0.01,0.95,0.88,1.0,0.87
California,CA,2013,0.44,0.34,0.48,0.39,0.33,0.08,0.09,0.03,0.9,0.82,1.0,0.72
Colorado,CO,2013,0.42,0.3,0.5,0.39,0.25,0.02,0.02,0.0,0.91,0.91,1.0,0.91
Connecticut,CT,2013,0.35,0.26,0.38,0.31,0.36,0.04,0.0,0.0,0.84,0.87,1.0,1.0
Delaware,DE,2013,0.5,0.43,0.58,0.51,0.28,0.15,0.0,0.0,1.0,0.71,1.0,0.0
District Of Columbia,DC,2013,0.33,0.24,0.35,0.27,0.23,0.0,0.0,0.0,0.86,0.88,1.0,0.0
Florida,FL,2013,0.37,0.29,0.43,0.35,0.22,0.05,0.01,0.0,0.99,0.92,1.0,0.89
Georgia,GA,2013,0.34,0.26,0.42,0.33,0.15,0.04,0.01,0.0,0.92,0.87,1.0,0.85
Hawaii,HI,2013,0.34,0.34,0.38,0.37,0.01,0.0,0.0,0.0,0.65,0.65,1.0,0.58
Idaho,ID,2013,0.32,0.22,0.4,0.3,0.19,0.04,0.05,0.01,0.76,0.68,1.0,0.62
Illinois,IL,2013,0.45,0.35,0.51,0.41,0.21,0.03,0.01,0.0,0.91,0.93,1.0,0.87
Indiana,IN,2013,0.38,0.31,0.43,0.37,0.18,0.06,0.0,0.0,0.93,0.86,1.0,0.83
Iowa,IA,2013,0.51,0.42,0.63,0.54,0.26,0.11,0.02,0.02,0.96,0.9,1.0,0.89
Kansas,KS,2013,0.35,0.29,0.44,0.38,0.18,0.04,0.0,0.0,0.65,0.68,1.0,0.6
Kentucky,KY,2013,0.36,0.24,0.41,0.3,0.26,0.07,0.02,0.01,0.98,0.84,1.0,0.82
Louisiana,LA,2013,0.39,0.28,0.42,0.32,0.32,0.13,0.05,0.02,0.94,0.86,1.0,0.9
Maine,ME,2013,0.62,0.33,0.67,0.39,0.72,0.27,0.04,0.03,1.0,0.86,1.0,0.83
Maryland,MD,2013,0.3,0.23,0.35,0.27,0.11,0.01,0.0,0.0,0.96,0.88,1.0,1.0
Massachusetts,MA,2013,0.59,0.44,0.67,0.52,0.28,0.08,0.0,0.0,0.94,0.85,1.0,0.8
Michigan,MI,2013,0.4,0.32,0.45,0.37,0.19,0.05,0.06,0.02,0.86,0.89,1.0,0.87
Minnesota,MN,2013,0.56,0.47,0.66,0.58,0.28,0.02,0.0,0.0,0.79,0.8,1.0,0.74
Mississippi,MS,2013,0.47,0.28,0.49,0.33,0.43,0.14,0.03,0.01,0.95,0.78,1.0,0.83
Missouri,MO,2013,0.44,0.35,0.49,0.4,0.26,0.1,0.01,0.0,0.97,0.89,1.0,0.84
Montana,MT,2013,0.32,0.26,0.39,0.33,0.18,0.04,0.06,0.04,0.84,0.8,1.0,0.78
Nebraska,NE,2013,0.37,0.29,0.49,0.4,0.15,0.02,0.0,0.0,0.91,0.78,1.0,0.84
Nevada,NV,2013,0.26,0.22,0.31,0.27,0.07,0.0,0.02,0.0,0.74,0.77,1.0,0.67
New Hampshire,NH,2013,0.5,0.45,0.64,0.58,0.14,0.03,0.0,0.0,0.81,0.88,1.0,0.85
New Jersey,NJ,2013,0.34,0.3,0.37,0.33,0.11,0.02,0.0,0.0,0.94,0.94,1.0,0.0
New Mexico,NM,2013,0.45,0.25,0.48,0.29,0.46,0.12,0.11,0.06,0.95,0.76,1.0,0.68
New York,NY,2013,0.33,0.23,0.37,0.28,0.19,0.04,0.0,0.0,0.9,0.84,1.0,0.76
North Carolina,NC,2013,0.43,0.34,0.53,0.44,0.21,0.05,0.01,0.0,0.78,0.78,1.0,0.73
North Dakota,ND,2013,0.43,0.38,0.56,0.52,0.09,0.0,0.01,0.0,0.7,0.61,1.0,0.57
Ohio,OH,2013,0.48,0.37,0.52,0.42,0.32,0.09,0.0,0.0,0.94,0.88,1.0,0.8
Oklahoma,OK,2013,0.44,0.29,0.49,0.34,0.52,0.18,0.03,0.01,0.83,0.74,1.0,0.67
Oregon,OR,2013,0.53,0.44,0.61,0.53,0.38,0.1,0.03,0.01,0.9,0.83,1.0,0.78
Pennsylvania,PA,2013,0.42,0.35,0.5,0.42,0.12,0.05,0.01,0.0,0.92,0.91,1.0,0.96
Rhode Island,RI,2013,0.3,0.22,0.34,0.26,0.17,0.02,0.0,0.0,0.91,0.91,1.0,0.0
South Carolina,SC,2013,0.41,0.3,0.46,0.35,0.27,0.06,0.02,0.01,0.9,0.85,1.0,0.82
South Dakota,SD,2013,0.46,0.38,0.61,0.53,0.13,0.03,0.07,0.03,0.85,0.8,1.0,0.77
Tennessee,TN,2013,0.39,0.25,0.43,0.33,0.32,0.06,0.03,0.0,0.89,0.85,1.0,0.83
Texas,TX,2013,0.36,0.28,0.41,0.33,0.19,0.04,0.01,0.0,0.87,0.79,1.0,0.84
Utah,UT,2013,0.35,0.3,0.44,0.38,0.12,0.03,0.01,0.01,0.98,0.87,1.0,0.84
Vermont,VT,2013,0.45,0.28,0.49,0.34,0.56,0.15,0.01,0.0,1.0,1.0,1.0,1.0
Virginia,VA,2013,0.4,0.33,0.47,0.4,0.17,0.04,0.01,0.0,0.9,0.89,1.0,0.92
Washington,WA,2013,0.5,0.34,0.56,0.41,0.44,0.14,0.04,0.02,1.0,0.76,1.0,0.76
West Virginia,WV,2013,0.38,0.28,0.46,0.36,0.2,0.05,0.06,0.03,0.88,0.84,1.0,0.79
Wisconsin,WI,2013,0.58,0.47,0.67,0.57,0.33,0.07,0.02,0.0,0.98,0.91,1.0,0.9
Wyoming,WY,2013,0.21,0.16,0.27,0.22,0.07,0.01,0.01,0.0,0.89,0.81,1.0,0.81
