OBJECTID,CYCLE,ID_305b,Water_Name,LOCATION_DESCRIPTION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,HUC_8,HU_8_Name,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Drinking_Water_Attainment_Code,Drinking_Water_Attainment,Impaired,SHAPE_Length
15,2018,CT1100-00_01,Wood River (Voluntown/Sterling)-01,"INLET Hazard Pond (Rhode Island border) just DS Bailey Pond Road crossing, Voluntown, US to OUTLET Porter Pond dam, just US Porter Pond Road crossing, Sterling.",1.99,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10488.3920759221
16,2018,CT1100-01_01,Carson Brook (Voluntown)-01,"Hazard Pond INLET (upper portion of wetland) near Rhode Island border, DS Bailey Pond Road crossing, US to Bailey Pond dam OUTLET just US Bailey Pond Road crossing, Voluntown.",0.2,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1054.81917972595
17,2018,CT1100-01_02,Carson Brook (Voluntown/Sterling)-02,"Bailey Pond INLET near Rhode Island border, DS of Nipmuc Trail Road crossing (at town border), Voluntown, US to HW at outlet unnamed pond just US Newport Road crossing, Sterling.",2.9,Miles,RIVER,01090005,Pawcatuck-Wood,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,15548.9057103031
18,2018,CT2000-22_01,Fort Hill Brook (Groton)-01,"Mumford Cove (Under RR tracks) US to HW US I95 crossing (parallel to Route 117 and south of Route 184), Groton.",3.71,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,19569.3218219645
19,2018,CT2000-30_01,Fenger Brook (Waterford)-01,"Head of tide, Alewife Cove (just DS Niles Hill Road (Route 213) crossing), US to HW (southeast Clark Lane and Chester Street intersection), Waterford.",3.47,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18332.6933200255
20,2018,CT2101-00_01,Anguilla Brook (Stonington/N. Stonington)-01,"Wequetequock Cove (saltwater limit) DS Greenhaven Road crossing (parallel Route 1) Stonington, US (include Wequetequock Pond) to HW US Route 184 crossing, North Stonington.",6.08,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,32104.4105721303
21,2018,CT2102-00_01,Copps Brook (Stonington)-01,"Quiambog Cove (parallel Cove Road), US to Palmer (Mystic) Reservoir dam OUTLET (just US Jerry Brown Road crossing), Stonington.",0.77,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,4043.39431591768
22,2018,CT2102-00_02,Copps Brook (Stonington/North Stonington)-02,"Palmer (Deans/Mystic) Reservoir INLET (just DS Pequot Trail (Route 234) road crossing), Stonington, US to HW (just US Mystic Road (Route 201) crossing, North Stonington.",4.32,Miles,RIVER,01100003,Thames,50,Inland Surface Waters Class AA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,Yes,22817.8563904229
23,2018,CT2102-00-trib_01,Unnamed tributary Copps Brook (Stonington)-01,"Confluence Copps Brook just US Quiambog Cove (parallel Cove Road), US to HW near Jerry Brown Road, Stonington (intermittent).",0.66,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3479.85756925154
24,2018,CT2103-00_01,Seth Williams Brook (Ledyard)-01,"Confluence Whitford Brook at Ledyard/Stonington town line, US to Shewville Road crossing, Ledyard.",0.42,Miles,RIVER,01100003,Thames,49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,2227.06412486354
25,2018,CT2103-00_02,Seth Williams Brook (Ledyard)-02,"Shewville Road crossong, US to Highlands POTW (DS Town Farm Road, parallel Shewville Road), Ledyard.",0.53,Miles,RIVER,01100003,Thames,49,Inland Surface Waters Class B,I,INSUFFICIENT INFORMATION,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,2795.08265915911
26,2018,CT2103-00_03,Seth Williams Brook-03,"Highlands POTW (DS Town Farm Road crossing, parallel Shewville Road), US to HW (US Shewville Road crossing, south Route 214 intersection), Ledyard.",2.1,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,11091.3885771908
27,2018,CT2104-00_01,Whitford Brook (Ledyard/Stonongton)-01,"Head of Mystic River Estuary (confluence Haleys Brook, above Mystic River, DS Route 27 crossing), Stonington/Groton town line, US to area east of Shewville Road and Gallup Hill Road intersection, river is Ledyard/Stonington town line.",1.63,Miles,RIVER,01100003,Thames,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,8601.57215003808
28,2018,CT2104-00_02a,Whitford Brook (Ledyard/Stonington)-02a,"Area east of Shewville Road and Gallup Hill Road intersection, river is Ledyard/Stonington town line, US to entrance ""Lantern Hill"" wellfield (west Lantern Hill Road, in marsh parallel Stony Pond), river is Ledyard/Stonington town line.",0.74,Miles,RIVER,01100003,Thames,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,3916.4083067842
29,2018,CT2104-00_02b,Whitford Brook (Ledyard/Stonington)-02b,"Entrance ""Lantern Hill"" wellfield (west Lantern Hill Road, in marsh parallel with Stony Pond), river is Ledyard/Stonington town line, US to confluence Seth Williams Brook, river is Ledyard/Stonington town line.",0.43,Miles,RIVER,01100003,Thames,49,Inland Surface Waters Class B,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,2258.60221480208
30,2018,CT2104-00_03,Whitford Brook-03,"Confluence Seth Williams Brook, US to Whitford Pond dam OUTLET (just US Whitford Road crossing), river is Ledyard/Stonington town line.",0.3,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1565.1308442032
31,2018,CT2104-00_04,Whitford Brook (Ledyard/Stonington)-04,"Whitford Pond INLET (northeast portion of pond), river is Ledyard/Stonington town line, US to Long Pond dam OUTLET (just US Lantern Hill Road crossing), river is Ledyard/North Stonington town line.",0.89,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4675.41607719361
32,2018,CT2105-00_01,Haleys Brook (Groton/Ledyard)-01,"Confluence Whitford Brook above Mystic River just DS River Road crossing, parallel to Main Street (Route 27), Groton, US to HW parallel Fox Hollow off Sable Drive (off Route 117), Ledyard.",5.86,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,30963.6741572084
33,2018,CT2107-05_01,Hempstead Brook (Groton)-01,"Buddington Pond INLET (above Groton Reservoir), just DS Route 184 (Gold Star highway) crossing, US to HW at YMCA Pond OUTLET (just US Gungywamp Rd crossing), Groton.",1.8,Miles,RIVER,01100003,Thames,50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,9275.36377010707
34,2018,CT2201-00_01,Jordan Brook (Waterford)-01,"Saltwater limit Jordan Cove at Jordan Mill Pond Dam .18 miles DS Route 156 (Rope Ferry Road) crossing, US to US side Waterford Parkway (just US I95 crossing), Waterford.",2.52,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,13295.7825674461
35,2018,CT2201-00_02,Jordan Brook (Waterford)-02,"US side Waterford Parkway (just US I95 crossing), US to HW 1.23 miles US (north) I395 crossing (parallel with Vauxhall Street), Waterford.",3.7,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,19536.9618590614
36,2018,CT2202-00_01,Latimer Brook (East Lyme)-01,"Confluence Niantic River (head of tide at Banning Cove inlet, just DS Route 1 crossing, south side I95, east exit 75), US to confluence Cranberry Meadow Brook (parallel Route 161), East Lyme.",4.23,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,22354.8687399263
37,2018,CT2202-00_02,Latimer Brook (East Lyme/Montville)-02,"Confluence Cranberry Meadow Brook (parallel Route 161), East Lyme, US to Beckwith Pond dam OUTLET (boundary drinking water watershed, just US Route 85 crossing), Montville.",3.43,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,18104.1629744592
38,2018,CT2202-00_03,Latimer Brook (Montville/Salem)-03,"INLET Beckwith Pond (in marsh on northern side), US to HW at Barnes Reservoir dam OUTLET, Montville/Salem.",1.26,Miles,RIVER,01100003,Thames,50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,6677.96012758753
39,2018,CT2202-08_01,Cranberry Meadow Brook (East Lyme)-01,"Confluence Latimer Brook, parallel Chesterfield Road (Route 161) at Ponderosa Park, US to confluence unnamed tributary just US Nehantic State Forest property boundary and parallel Walnut Hill Road, and 1 mile DS Grassy Hill Road, East Lyme.",2.05,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10836.872167419
40,2018,CT2203-00_01,Oil Mill Brook (East Lyme/Waterford)-01,"Confluence Niantic River, parallel Oil Mill Road, river is Waterford/East Lyme town line, US to I95 north bound crossing, Waterford.",0.26,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1397.45321037766
41,2018,CT2203-00_02,Oil Mill Brook (Waterford)-02,"I95 north bound crossing (includes under I95 both lanes), US to confluence Lakes Pond Brook, above I395 crossing, just US Way Hill Road crossing, Waterford.",1.73,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,9130.03366113321
42,2018,CT2203-02_01,Willys Meadow Brook (Waterford)-01,"Confluence Oil Mill Brook just DS I395 crossing, US to HW unnamed pond, Waterford.",1.29,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6790.81696568257
43,2018,CT2204-03_01,Stony Brook (Waterford)-01,"Confluence Niantic River (saltwater limit Keeny Cove), DS Oswegatchie Road crossing, US to ponded section on US side Route 1 crossing, Waterford.",0.23,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,1197.80565681871
44,2018,CT2204-03_02,Stony Brook (Waterford)-02,"US side Route 1 crossing (including ponded section) US to US side I95 (includes section under I95 both lanes) and just DS Waterford Parkway crossing, Waterford.",0.84,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,4455.06992829714
45,2018,CT2204-03_03,Stony Brook (Waterford)-03,"US side I95 (above section under I95 both lanes) and just DS Waterford Parkway crossing, US to HW just US power line access cut and parallel Route 85 (north of Cross Road area, in undeveloped land behind businesses), Waterford.",1.39,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,7313.31853841279
46,2018,CT2205-00_01,Pattagansett River (East Lyme)-01,"Head of tide, just DS Route 156 crossing, US to Gorton Pond dam OUTLET (just US Roxbury Road crossing, west Route 161 intersection), East Lyme.",1.2,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,6357.00984887961
47,2018,CT2205-00_02,Pattagansett River (East Lyme)-02,"Gorton Pond INLET (northern side in marsh, DS I95 crossing), US to Pattagansett Lake dam OUTLET (US Route 1 crossing), East Lyme.",1.9,Miles,RIVER,01100003,Thames,48,Inland Surface Waters Class A,N,NOT SUPPORTING,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,10058.3372458573
48,2018,CT4013-08_02,Long Hill Brook (Middletown)-02,"INLET to Pameacha Pond parallel to Main Street (Route 17) near Norfolk Street intersection, US to OUTLET of Dooley Pond, just US of Brush Hill Road crossing, near Main Street (Route 17) intersection, Middletown.",2.42,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,12788.6657045078
49,2018,CT4014-03_01,Ponsett Brook (Haddam)-01,"Mouth at Route 154 crossing, confluence with Candlewood Hill Brook, above Higganum Creek, US to Higganum Reservoir outlet, above Route 31 crossing, Haddam. ",0.38,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,1982.5803756212
50,2018,CT4014-03_02,Ponsett Brook (Haddam)-02,"From inlet to Higganum Reservoir, between Route 9 and Route 81, near Nelson Place, US to confluence with Saltpeter Brook, between Route 81 and Dish Mill Road, Haddam.",1.28,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,6737.9117532607
51,2018,CT4014-10_01,Bible Rock Brook (Haddam)-01,"Mouth at confluence with Higganum Creek (above Nosal Rd crossing) north side of Depot Rd, US to HW at Stepanski Pond oulet, just US of Oxbow Rd crossing, Haddam.",4.8,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,25272.8378120479
52,2018,CT4101-12_01,Clay Brook (Suffield)-01,"Mouth at confluence with Muddy Brook .5 mile DS Russell Avenue crossing (closer to west end of Marbern Drive), US to HW at unnamed pond just US of Halladay Avenue crossing, Suffield.",1.9,Miles,RIVER,01080205,Lower Connecticut,48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,10213.2366118892
53,2018,CT4200-00_01,Scantic River-01,"From mouth at Connecticut River, US to confluence with Broad Brook, East  Windsor.",9.38,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,49507.6823549018
54,2018,CT4200-00_02,Scantic River-02,"From confluence with Broad Brook, East Windsor, US to Somersville Pond outlet, Somers (passes Somers WPCF at upper end below lake).",13.56,Miles,RIVER,01080205,Lower Connecticut,49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,71575.9101604966
55,2018,CT4200-00_03,Scantic River-03,"From Somersville Pond inlet, Somers, US to MA border.",6.05,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,31943.3713145814
56,2018,CT4203-00_01,Gulf Stream (Somers)-01,"Mouth at Scantic River, US to Shady Lake outlet, just US of Route 83 crossing, Somers.",1.88,Miles,RIVER,01080205,Lower Connecticut,50,Inland Surface Waters Class AA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,9929.84189707776
57,2018,CT4316-01_01,Chidsey Brook (Avon)-01,"Fom mouth at confluence with Big Brook, forming HW of Thompson Brook (DS of Scoville Road crossing), US to Lamonica Pond outlet (just US of West Avon Road crossing), Avon",1.34,Miles,RIVER,01080207,Farmington,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,7089.79888723598
58,2018,CT4317-00_01,Nod Brook (Avon/Simsbury)-01,"Mouth at Farmington River (includes dredge holes, Twin Lakes North and South and outlet to Farmington River in wildlife management area), Avon, US to headwaters (just US of Rocklyn Road crossing), Simsbury.",6.95,Miles,RIVER,01080207,Farmington,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,36702.9766330021
59,2018,CT4318-00_01,Hop Brook (Simsbury)-01,"Mouth Farmington River, US to HW at outlet Tuller Reservoir, Simsbury.",6.74,Miles,RIVER,01080207,Farmington,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,35608.912422507
60,2018,CT4318-03_01,Stratton Brook-01,"From mouth at confluence with Hop Brook (just DS of Farms Village Road (Route 309) crossing), US to headwaters (near Bushy Hill Road (Route 167), Simsbury.",3.89,Miles,RIVER,01080207,Farmington,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,20528.2893240435
61,2018,CT6705-01_01,Ivy Mountain Brook (Goshen)-01,"Mouth at confluence with Bantam River at intersection of Resrvoir Road and East Street, US to HW at marsh outlet US side of Hageman Shean Road crossing, Goshen.",6.35,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,No,33531.2305797449
62,2018,CT6705-12_01,Hill Brook-01,"From mouth at confluence with Bantam River (just DS of West Morris Road crossing, and DS of Litchfield WPCF outfall on Bantam River), US to headwaters (US of Old Forge Hollow Road crossing=dirt road), Litchfield.",2.64,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,13951.5125865118
63,2018,CT6706-00_01,Jacks Brook (Roxbury)-01,"Mouth at confluence with Shepaug River, DS of River Rd crossing, US to HW just US of Booth Rd crossing, Roxbury.",6,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",50,Inland Surface Waters Class AA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,UNASSESSED,No,31744.6556025846
64,2018,CT6800-00_01,Pomperaug River-01,"From mouth at confluence with Housatonic River (DS of River Road crossing, near west side of I84, exit 13), US to confluence withTransylvania Brook (south side of East Flat Hill Road), Southbury.",2.74,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",49,Inland Surface Waters Class B,F,FULLY SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,Yes,14485.5143124704
65,2018,CT6920-00_01,Little River (Seymour)-01,"From mouth at confluence with Naugatuck River (just DS of River Street (Route313) crossing) Seymour, US to Swans Pond INLET (segment includes Swans Pond, on eastern side, parallel to Oxford Road (Route 67)), Oxford.",1.12,Miles,RIVER,01100005,"Housatonic. Connecticut, Massachusetts, New York.",48,Inland Surface Waters Class A,I,INSUFFICIENT INFORMATION,I,INSUFFICIENT INFORMATION,F,FULLY SUPPORTING,,Water Not Classified For Drinking Supply,No,5926.51500301266
