planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Municipal,NY0223107,NEWBURGH WWTP,Surface,9.0,RENWICK ST,NbEWBURGH,YN,USA,12550.0,41.49,-74.01,"(43.08, -76.0)"
Industrial,NY0257940,LYME BUS FUELING CENTER,Surface,0.0,CO RTE 8 - E SIDE - N OF ST RTE 12E,CHAUMONT,NY,USA,13622.0,44.08,-76.15,"(42.01, -74.27)"
Muicipal,NY0023680,WARWICK STP,Surface,1.0,RIVER ST,WARWICK,NY,UA,10990.0,41.25,-74.37,"(41.25, -74.37)"
Municipal,NY0023680,CAMDEN WASTEWATER TREATMENT PLANT,Surfavce,0.8,TABERG ST,CAMDEN,NY,USA,13316.0,43.33,-75.74,"(43.33, -75.74)"
Industrial,NY0023680,HANSON GREAT BEND,Surface,0.08,23080 CO RTE 47,GREAT BEND,NY,USA,13643.0,44.0,-75.69,"(41.71, -74.56)"
Municipal,NY0268771,STILLWATER STP,Surface,0.55,RUNDLE LN,STILLWATER,NY,USA,12170.0,42.94,-73.65,"(43.25, -73.82)"
Industrial,NY0272582,JOCOSA LLC WASTE OIL RECYCLING FACILITY,Surface,0.0,1141 RIVER RD,NEW WINDSOR,NY,UAS,12553.0,41.48,-74.01,"(43.25, -73.82)"
Municipal,NY0027766,LEWISTON MASTER SD,Surface,2.75,501 PLETCHER RD,LWISTON,NY,USA,14092.0,43.21,-79.04,"(43.08, -76.0)"
Industrial,NY0259616,WUW LAUNDROMAT INC,round,0.01,1052ISLIP AVE,BRENTWOOD,NY,USA,11717.0,40.77,-73.21,"(40.77, -73.21)"
Indutrial,NY0206181,MEENAN RETAIL SALES BLDG,Ground,0.0,3020 BURNS AVE,WANTAGH,Y,USA,11793.0,40.67,-73.52,"(43.08, -76.0)"
Industrial,NY0257567,DOT SALT STORAGE BUILDING,Surface,0.0,BRADLEY STREET RD,ATERTOWN,NY,USA,13601.0,44.0,-75.92,"(44.0, -75.92)"
Municipal,NY0272582,NYS GLENFIELD SEWER DIST,Surface,0.06,BLUE nST,GLENFIELD,NY,USA,13343.0,43.72,-75.4,"(43.72, -75.4)"
Industrial,NY0098736,SNOW WHITE LAUNDRY,Ground,0.02,50 CO RD 39A|SCTM#904-4-2-020,SOUTHAMPTON,NY,hUSA,11968.0,40.9,-72.4,"(41.71, -74.56)"
Industrial,NY0023680,FRESH KILLS PARK,Surface,0.0,FRESH KILLS LANDFILL SITE,STATEN ISLAND,NY,USA,10314.0,40.57,-74.2,"(40.57, -74.2)"
Industrial,NY0005134,CON ED-59TH ST STATION,Surface,5.21,850 12TH AVE,NEW YORK,NY,USA,10019.0,40.77,-73.99,"(44.0, -75.92)"
Municipal,NY0032972,CHELSEA COVE WASTE WATER TREATMENT PLANT,Surface,0.12,94 MILLER RD,HOPEWELL JUNCTION,NY,USA,12533.0,41.61,-73.75,"(43.21, -78.37)"
Indutrial,NY0265594,ROYAL ANCHORAGE SEWER DISTRICT NO 1,Groudn,0.01,LAPOINTE LN & ANCHORAGE WAY,fPUTNAM,NY,USA,12861.0,43.75,-73.46,"(43.75, -73.46)"
Industrial,NY0257567,CATSKILL AQUEDUCT OUTLET IN KENSICO RESERVOIR,Surface,0.0,600 NANNYHAGEN RD,THORNWOOD,NY,USA,10594.0,41.12,-73.75,"(41.12, -73.75)"
Industrial,NY0228478,"HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX",Surface,1.95,ROCHESTER-C ROW FROM HEMLOCK LAKE TO CITY,LIVINGSTON & MONROE CO,NY,USA,11717.0,42.78,-77.61,"(42.01, -74.27)"
Industrial,NY0098736,CHAUTAUQUA HARDWARE CORP,Surface,0.0,31-33 WATER ST,JAMESTOWN,NY,USA,14701.0,42.09,-79.23,"(42.09, -79.23)"
Industrial,NY0257940,Ticonderoga- Republic 2 & Ticonderoga - Whitehall 3,Surface,0.0,Multiple locations,"Crown Point, Dresden, Moiah, Putnam, Ticonderoga, Whitehall",NY,USA,11717.0,44.08,-73.5,"(42.09, -79.23)"
Municipal,NY0032972,CHAUMONT WWTP,Surface,0.1,ABANDONED STONE QUARRY NORTH OF VILLAGE ON CO RTE 179,CHAUMONT,NY,USA,13622.0,44.07,-76.13,"(44.07, -76.13)"
Municipal,NY0271420,TOWN OF BETHLEHEM - CEDAR HILL WPCP,Surface,6.0,98 DINMORE RD & ST RTE 144,SELKIRK,NY,USA,12158.0,42.54,-73.76,"(42.74, -73.36)"
Municipal,NY0271420,VOORHEESVILLE - V SD 1 STP,Surface,0.11,STNINGTON HILL RD,VOORHEESVILLE,NY,USA,12186.0,42.65,-73.93,"(42.74, -73.36)"
Municipal,NY0032972,WILLSBORO SEWER DISTRICT NO. 1 WASTEWATER TREATMENT FACILITY,Surface,0.08,76 GLILILAND LN,WILLSBOOR,NY,USA,12996.0,44.37,-73.39,"(40.77, -73.21)"
Inkdustrial,NY0027766,EASTERN ALLOYS INC,Surface,0.0,11 HENRY HENNING DR,MAYBROOK,Y,SA,12543.0,41.51,-74.2,"(41.12, -73.75)"
Municipal,NY0259616,COEYMANS-RAVENA WATER POLLUTION CONTROL FACILITY,Surface,0.82,67 SEWER PLANT ACCESS RD - S MAIN ST & ST RTE 144,COEYMANS,NY,USA,12045.0,42.47,-73.79,"(41.12, -73.75)"
Industrial,NY0005134,STEVE'S CAR WASH,Ground,0.0,2331 ST RTE 66,GHET,NY,USA,11717.0,42.33,-73.61,"(42.3, -73.61)"
Industrial,NY0228478,KELLEY MEATS LLC,Gronud,0.0,8937 BECKWITH RD,TABERG,NY,USA,13471.0,43.31,-75.62,"(43.08, -76.0)"
Municipal,NY0028401,ALBION JOINT MUNICIPAL INDUSTRIAL STP,Surface,2.3,14740 DENSMORE ST,GAINES,NY,USA,11717.0,43.25,-78.17,"(42.18, -73.52)"
Industrial,NY0267091,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(40.96, -72.26)"
Industrial,NY0242896,ALLEGANY GENERATING STATION,Surface,0.0,11537 ST RTE 19A,nHume,NiY,UAS,14536.0,42.5,-78.07,"(42.5, -78.07)"
nIdustrial,NY0268771,ORANGE COUNTY TERMINALS,Surface,0.0,6 SLEEPY HOLLOW RD|RIVER & HOOK RDS,PORT JERVIS,NY,USA,12771.0,41.41,-74.73,"(43.25, -73.82)"
Industrial,NY0223107,MARKIN TBUING,Ground,0.02,1 MARKIN LN,WYOMING,NY,UAS,14591.0,42.84,-78.05,"(43.08, -76.0)"
Industrial,NY0206148,HAIG GRAPHIC COMMUNICATIONS,Ground,0.0,690 OLD WILLETS PATH,HAUPPAUGE,NzY,USA,11788.0,40.81,-73.23,"(40.81, -73.23)"
Industrial,NY0223107,HAROLD F WOOLSHLAGER WATER PLANT,Boh,0.01,NUMBER FOUR RD,WATSON,NY,SA,13367.0,43.82,-75.33,"(43.82, -75.33)"
Industrial,NY0027766,SPRAGUE OPERATING RESOURCES LLC,Surface,0.0,1 BAY BLVD,LAWRENCE,NY,UA,11559.0,40.63,-73.74,"(42.01, -74.27)"
Municipal,NY0107051,PLEASANT STREET SEWER DISTRICT #2,Groud,0.0,PLEASANT ST,VOORHEESVILLE,NY,USA,12186.0,42.65,-73.92,"(41.71, -74.56)"
Industral,NY0005134,CORELLE BRANDS LLC,Surface,0.0,1 STEUBEN ST,CORNING,NY,USA,14830.0,42.14,-77.04,"(40.77, -73.21)"
Municipal,NY0223107,CENTRAL SQUARE - V STP,Surface,0.45,ST RTE 49 E - S SIDE,CENTRAL SQUARE,NY,USA,13036.0,43.28,-76.14,"(42.74, -73.36)"
Industrial,NY0271217,TOWN SWIM POND,Surface,0.0,29 RECREATION CTR RD,BEEKMAN,NY,USA,11717.0,41.62,-73.7,"(43.08, -76.0)"
Industrial,NY0257940,NYS DOT RES ENG SUBHDQTRS GRANBY,Surface,0.0,RATHBURN RD,GRANBY,NY,USA,11717.0,43.33,-76.5,"(43.75, -73.46)"
Municipal,NY0223107,EAST ONEIDA LAKE SD WWT FAC,Surface,2.0,3100 VIENNA RD,SYLVAN BEACH,NY,UrSA,13157.0,43.21,-75.72,"(43.21, -75.72)"
Inudstrial,NY0206148,SOS FUEL COMPANY,Surface,0.0,10 E VILLAGE RD,TUXEDO,NY,USA,10987.0,41.19,-74.18,"(40.77, -73.21)"
Industrial,NY0265594,OSPREY DOMINION VINEYARD & WINERY,Ground,0.0,44075 MAIN RD (ST RTE 25),MATTITUCK,NY,USA,11952.0,41.04,-72.45,"(41.04, -72.45)"
Municipal,NY0269573,REDWOOD SEWER DISTRICT,Surface,0.04,OLD ST RTE 37,THERESA,NY,USA,13691.0,44.29,-75.8,"(44.29, -75.8)"
Industrial,NY0268771,WORLD FINANCIAL CENTER,Surface,19.2,250 VESEY ST,NEW YORK,YN,USA,10167.0,40.71,-74.02,"(40.71, -74.02)"
Industrial,NY0005134,CALVERTON STP,Surface,0.01,4062 GRUMMAN BLVD|135.20-1-12,CALVERTON,NY,USA,11933.0,40.92,-72.75,"(41.12, -73.75)"
Industrial,NY0257567,DUNWOODIE CENTRAL SUBSTATION,Surface,0.0,MARCO & SMART AVE,YONKESR,NY,USA,10704.0,40.94,-73.86,"(40.94, -73.86)"
Industrial,NY0257567,GARLOCK SEALING TECHNOLOGIES,Surface,0.04,1666 DIVISION ST,PALMYRA,NY,USA,14522.0,43.07,-77.22,"(43.07, -77.22)"
Industrial,NY0265276,AGRI-CYCLE COMPOSTING FACILITY,Surfce,0.0,BELLE RD,BUSIRK,NY,USA,12028.0,42.98,-73.43,"(42.98, -73.43)"
ndustrial,NY0005134,CORNELL UNIVERSITY CENTRAL ENERGY PLANT,Surface,0.0,COLLEGiE AVE,ITHACA,NY,USA,14853.0,42.44,-76.48,"(42.44, -76.48)"
Industial,NY0027766,ERIE CO E AURORA HWY MAINTENANCE CTR,Surface,0.0,119 ELLICOTT RD|RT 240,EAS TAURORA,bNY,USA,14052.0,42.73,-78.69,"(40.94, -72.97)"
Industrial,NY0215601,BARRETT PAMELIA MATERIALS - WATERTOWN FACILITY,Surface,0.0,26572 ST RTE 37 - N OF ST RTE 342,WATERTOWN,NY,USA,13601.0,44.05,-75.9,"(44.05, -75.9)"
Municipal,NY0032051,ELMA SD #4 BRIGGSWOOD,Surface,0.02,JACKMAN LN,ELMA,NY,USA,14059.0,42.85,-78.65,"(42.85, -78.65)"
Industrial,NY0206181,ASHE OIL CO,urface,0.0,5540 WOLFSPRING RD,SCIO,NY,USA,14880.0,42.1,-78.04,"(42.1, -78.04)"
Municipal,NY0199214,FISHERS ISLAND SEWAGE TREATMENT PLANT,Ground,0.02,FOX LN,FISHERS ISLAND,zNY,USA,6390.0,41.25,-72.03,"(43.25, -73.82)"
Municipal,NY0257567,PAWLING JOINT SEWER COMMISSION WWTP,Surface,0.28,39 CORBIN RD,PAWLNIG,NY,UAS,12564.0,41.57,-73.59,"(41.57, -73.59)"
Industril,NY0259616,MOENCH TANNING CO,Surface,0.38,465 PALMER ST,GOWANDA,NY,USA,14070.0,42.45,-78.92,"(42.4, -78.92)"
Municipal,NY0271420,ALEXANDRIA BAY WWTP,Surface,0.75,35 ANTHONY ST,ALEXANDRIA BAY,NY,USA,13607.0,44.34,-75.91,"(43.25, -73.82)"
Municipal,NY0265594,VICTOR - V STP,Surface,0.5,1250 BRACE RD,VICTOR,NY,USA,14564.0,42.98,-77.4,"(43.25, -73.82)"
Industrial,NY0005134,TESSY PLASTICS - SKANEATELES FACILITY,Slurface,0.0,700 VISIONS DR,SKANEATELES FALS,NY,USA,13153.0,42.99,-76.46,"(40.94, -72.97)"
Municipal,NY0026701,MAMARONECK WWTP,Surface,20.6,W BOSTON POST RD,WHITE PLAINS,NY,USA,10601.0,40.95,-73.73,"(40.95, -73.73)"
Industrial,NY0268771,SEAVEY RD QUARRY,Surface,0.08,164 SEAVEY RD,GOUVERNEUR,NY,USA,13642.0,44.38,-75.47,"(44.38, -75.47)"
Industrial,NY0271420,ALpLIED WASTE NIAGARA FALLS LANDFILL,Surface,0.4,56TH ST & NIAGARA FALLS BLVD,NIAGARA FALLS,NY,USA,14304.0,43.1,-78.99,"(42.18, -73.52)"
Municipal,NY0107051,fVILLAGE OF FISHKILL STP,Surface,0.45,4 JACKSON ST,FISHKILL,NY,USA,12524.0,41.53,-73.9,"(42.18, -73.52)"
Industrial,NY0259616,ALLIANT TECHSYSTEMS OPERATIONS LLC,Ground,0.0,77 RAYNOR AVE,RONKONKOMA,Y,USA,11779.0,40.8,-73.11,"(40.94, -72.97)"
Municipoal,NY0269573,OWEGO - V STP,Surface,1.0,75 SOUTHSIDE DR - N OF I-86 (ST RTE 17) @ EXIT 64,OWEGO,NY,USA,13827.0,42.09,-76.27,"(42.47, -77.77)"
Industrilal,NY0005134,PONTAC HOLDING PROERTY,Surface,0.0,169 WESTERN AVE,WEST NYACK,NY,USA,10994.0,41.09,-73.96,"(42.18, -73.52)"
Inustrial,NY0257567,WAWBEEK MAINTENANCE SUBHEADQUARTERS,Ground,0.0,ST RTES 3 & 30 W OF WAWBEEK,WAWBEEK,NY,USA,12986.0,44.24,-74.38,"(44.24, -74.38)"
Industrial,NY0257567,IMERYS WOLLASTONITE PLANT,Surface,0.0,803 MOUNTAIN VIEW DR,WILLSBOOR,NY,USA,12996.0,44.36,-73.4,"(43.08, -76.0)"
Industriaal,NY0032972,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SwUFFOLK,NY,SUA,11717.0,94.96,-72.26,"(40.96, -72.26)"
Industrial,NY0023680,KANONA TRUCK STOP,Ground,0.01,7748 ST RTE 53|EXIT 37 OF I-86,KANONA,NY,USA,14810.0,42.38,-77.36,"(42.38, -77.36)"
Industrial,NY0210803,MCENROE ORGANIC COMPOSTING,Groudn,0.0,CO RTE 58 - OPPOSITE CO RTE 61,NORTHESAT,Y,USA,11717.0,41.9,-73.52,"(42.74, -73.36)"
Industrial,NY0206181,PATH TUNNELS A & B,Surface,0.0,WORLD TRADE CENTEuR,NEW YORK,YN,USA,10048.0,40.71,-74.01,"(43.75, -73.46)"
Industial,NY0098736,EAGLE ISLAND WATER SUPPLY,Surfaec,0.0,EAGLE ISLAND,HURON,NY,UAS,11717.0,43.26,-76.95,"(40.94, -72.97)"
Muncipal,NY0267091,FREEVILLE - V STP,Surface,0.12,DPW DR,FREEVILLE,NY,USA,13068.0,42.51,-76.34,"(42.51, -76.34)"
Industrial,NY0259616,VILLAGE OF SARANAC LAKE - 3 MAIN ST BUILDING,Surface,0.0,3 MAIN ST,SARANAC LAKE,NY,USA,12983.0,44.32,-74.13,"(43.33, -75.74)"
Municipal,NY0268771,COBLESKILL-V-WATER POLL CONTROL PLANT,Surface,1.8,EAST MACARTHUR AVE,COBLESKILL,xNY,SA,12043.0,42.68,-74.48,"(43.72, -75.4)"
Industrial,NY0268771,UNION TERMINALS,Ground,0.57,201 Union Blvd,West Islpi,NY,USA,11795.0,40.71,-73.31,"(40.71, -73.31)"
Industrial,NY0223107,ERRY,Surface,2.3,158 ST RTE 320,NORWICH,NY,SUA,13815.0,42.55,-75.52,"(41.71, -74.56)"
Industrial,NY0257940,BAYPORT SHOPPES LAUDROMAT,Ground,0.02,885 MONTAUK HWY,BAPYORT,NY,USA,11705.0,40.75,-73.05,"(40.57, -74.2)"
Industrila,NY0257567,LAUNDERMAGIC OF PATCHOGUE,Ground,0.0,770 MONTAUK HWY,EAST PATCHOGUE,NY,USA,11772.0,40.77,-72.99,"(40.77, -72.99)"
wIndustrial,NY0259616,GORMAN TERMINALS,Surface,0.0,290 RIVERSIDE AVE,RENSSELARE,NY,USA,12144.0,42.62,-73.75,"(43.08, -76.0)"
Municipal,NY0269573,SKANEATELES (V) WWTP,Surface,0.85,26 FENNELL ST,SKANEATELES,NY,USA,13152.0,42.96,-76.44,"(42.09, -79.23)"
Industrial,NY0271420,ONTARIO WTP,Surface,0.7,1633 RATHBURN RD,OSWEGO,NY,USA,13126.0,43.43,-76.52,"(43.43, -76.52)"
Industrial,NY0228478,WILLIAMSON - T WATER TREAT PLT,Surface,0.0,7901 HAMILTON ST EXT,WILLIAMSON,NvY,USA,14589.0,43.28,-77.19,"(43.28, -77.19)"
Industrial,NY0210803,EXIT 7 PALISADES PKY MAINTENANCE FAC,Surfcae,0.0,TOWN LINE RD,WEST NYACK,NY,USA,10994.0,41.09,-73.99,"(41.09, -73.99)"
Munitcipal,NY0257940,OYSTER BAY SEWAGE TREATMENT PLANT,Surfaec,1.8,15 BAY AVE|27-A-6,OYSTER BAY,NY,USA,11771.0,40.88,-73.53,"(40.88, -73.53)"
Industrial,NY0282677,PORT OF COEYMANS,Surface,0.02,2170 ST RTE 144,COEYMANS,NY,USA,12045.0,42.48,-73.79,"(40.94, -72.97)"
Municipal,NY0257940,RICHFIELD SPRINGS WASTEWATER TREATMENT PLANT,Surface,0.6,140 BLOOMFIELD DR,RICHFIELD SPRNGS,NY,USeA,13439.0,42.85,-74.99,"(42.85, -74.99)"
Municipal,NY0259616,WHITEHALL STP,Surface,1.7,RIVERSIDE DR,WpHITEHALL,NY,SA,12887.0,43.55,-73.4,"(43.08, -76.0)"
Industrial,NY0256340,HOGANSBURG RES ENG SUBHEADQUARTERS,Ground,0.0,ST RTE 95 - S OF ST RTE 37,HOGANSBURG,NY,USA,13655.0,44.96,-74.64,"(42.18, -73.52)"
Industrial,NY0269573,215 DEPOT ROAD REALTY CORP,Ground,0.02,215 DEPOT RD,HUNTINGTON STATION,NY,USA,11746.0,40.84,-73.4,"(40.84, -73.4)"
Industrial,NY0259616,BELLOWS POND RD WELL FIELD - PLANT NO. 4,Ground,0.09,60 BELLOWS POND RD,HAMPTON BAYS,Y,USA,11946.0,40.88,-72.55,"(40.57, -74.2)"
Industrial,NY0206181,MERTO NORTH RR BREWSTER YARD,Surface,0.07,PROSPECT HILL RD - PUTNAM JCT,BREWSTER,NY,USA,10509.0,41.41,-73.62,"(41.41, -73.62)"
Municipal,NY0269573,POTSDAM SEWER DISTRICT NO 1 STP,Surface,0.04,gSISSONVILLE RD,UNIONVILLE,NY,USA,13676.0,44.72,-74.99,"(44.72, -74.99)"
Municipal,NY0269573,TRI-MUNICIPAL WWTP,Surface,2.78,171 SHEAFE RD,WAPPINGERS FALLS,NY,USA,12590.0,41.61,-73.94,"(41.61, -73.94)"
nIdustrial,NY0269573,LI RAIL ROAD - OYSTER BAY YARD,Grousnd,0.0,1 RAIL RD PLZ,YSTER BAY,NY,USA,11771.0,40.87,-73.53,"(40.87, -73.53)"
Industrial,NY0265594,HWY MAINTENANCE SUBHQTRS,Surface,0.0,CO RTE 175 AT ST RTE 17,LIBERTY,NY,USA,12754.0,41.78,-74.73,"(41.78, -74.73)"
Municipal,NY0029076,LITTLE FALLS WASTEWATER TREATMENT PLANT,Surface,7.0,223 RIVER RD E,LITTLE FALLS,NY,USjA,13365.0,43.04,-74.84,"(43.33, -75.74)"
Municipal,NY0268771,HULETTS LANDING SEWER DISTRICT NO 1,Ground,0.03,BROOK WAY OFF CO RTE 6B,HULETTS LANDIG,NY,USA,12841.0,43.64,-73.5,"(43.64, -73.5)"
Industrial,NY0223107,PACTIV LLC,Sdurface,0.11,5250 NORTH ST,CANANDAIGUA,NY,USA,14424.0,42.91,-77.3,"(41.25, -74.37)"
Municipal,NY0210803,MARATHON - V STP,Surface,0.2,FRONT ST EXT,MARATHON,NY,USA,13803.0,42.43,-76.03,"(42.01, -74.27)"
Industrial,NY0027766,TESSY PLASTICS - ELBRIDGE CAMPUS,Surface,0.0,488 ST RET 5 W|1300'' W OF HAMILTON RD,ELBRIDGE,NY,UAS,13021.0,43.03,-76.47,"(43.08, -76.0)"
Industrial,NY0268771,RCF FUEL OIL CORP,Ground,0.0,274-D W MONTAUK HWY,HAMPTON BAYS,NY,USA,11717.0,40.87,-72.55,"(42.01, -74.27)"
Industrial,NY0032972,YRC FREIGHT-MAYBROOK TERMINAL 123,Surface,0.0,1000 HOMESTEAD AVE,MAYBROOK,NY,USA,12543.0,41.5,-74.21,"(41.5, -74.21)"
Industrial,NY0259616,AMERICAN FELT & FILTER CO,Surface,0.04,WALSH AVE,NEW WINDSOR,NY,USA,12553.0,41.49,-74.02,"(42.74, -73.36)"
Industral,NY0257940,ERIE CO STURGEON POINT WATER TRTMNT PLT,Surface,0.92,722 STURGEON PT RD,EDRBY,NY,USA,14047.0,42.69,-79.04,"(42.69, -79.04)"
Muniipal,NY0023680,CLYDE - V STP,Surface,0.4,45 FORD ST,CLYDE,NY,UAS,14433.0,43.08,-76.87,"(43.08, -76.87)"
Industrial,NY0032972,DOT SPRINGFIELD MAINTENANCE SUBHEADQTRS,Surface,0.0,4675 US RTE 20,SPRINGFIELD,nNY,USA,11717.0,42.84,-74.89,"(43.21, -78.37)"
Industrial,NY0210803,CITY OF ONEIDA WATER TREATMENT PLANT,urface,0.1,10176 GLENMORE RD,ANNSVILLE,NY,USA,11717.0,43.35,-75.62,"(43.21, -78.37)"
Industrial,NY0259616,SHANDAKEN TUNNEL OUTLET,Surface,0.0,7148 ST RTE 28,SHANDAKEN,NY,USA,12480.0,42.11,-74.36,"(42.1f1, -74.36)"
Industrial,NY0223107,INDECK OLEAN ENERGY CENTER,Surface,0.0,140 MOORE AVE,OLEAN,NY,USA,14760.0,42.09,-78.45,"(42.09, -78.45)"
Industrial,NY0257940,TIFFEN MFG CORP,Ground,0.0,90 OSER AVE,HAUPPAUGE,NY,USA,11787.0,40.82,-73.24,"(40.82, -73.24)"
Industrial,NY0210803,Greenlawn Village Laundromat,Ground,0.02,80 A BROADWAY,GREENLAWN,Y,USA,11740.0,40.87,-73.36,"(42.47, -77.77)"
Industrial,NY0257940,CHARLES RIVER LABORATORY,Surface,0.02,3121 NYS RTE 209,STONER IDGE,NY,USA,12484.0,41.87,-74.12,"(43.25, -73.82)"
Municipal,NY0259616,VILLAGE OF THERESA WWTF,Surface,0.07,124 COMMERCIAL ST,THERESA,NY,USA,13691.0,44.22,-75.8,"(44.22, -75.8)"
Muniicpal,NY0028401,WATERVLIET - V COMBINED SEWER OVERFLOWS,Surface,0.01,HUDSON RIVER,WATERVLIET,NY,USA,12189.0,42.71,-73.7,"(42.71, -73.7)"
Municipal,NY0257940,ECSD NO 6 LACKAWANNA WATER RESOURCE RECOVERY FACILITY,Surface,4.5,260 LEHIGH AVE|NE ORNER OF WILLMUTH & WELL STS,LACKAWANNaA,NY,USA,14218.0,42.82,-78.84,"(42.47, -77.77)"
Industrial,NY0265594,HUNTLEY FLY ASH LANDFILL,uSrface,0.0,RIVER RD,TONAWANDA,NY,USA,14150.0,42.99,-78.93,"(43.72, -75.4)"
Municipal,NY0223107,BELGRAVE WPCD,Surface,2.0,34-01 255TH ST|2/374/-11,GREAT NECK,YN,USA,11022.0,40.78,-73.74,"(42.74, -73.36)"
Industrial,NY0257940,BARTON ROAD QUARRY,Surftace,0.01,91 BARTON RD,LANCASTER,NY,USA,14086.0,42.95,-78.65,"(40.57, -74.2)"
Industrial,NY0257940,POUGHKEEPSIE CORP CENTER,Surface,0.14,350 DUTCHESS TPKE,POUGHKEEPSIE,NxY,USA,12603.0,41.71,-73.87,"(43.72, -75.4)"
Industrial,NY0005134,POULIN GRAIN INC,Ground,0.0,6005 US RTE 11,CANTON,NY,UAS,13617.0,44.6,-75.14,"(44.6, -75.14)"
nIdustrial,NY0259616,LEHIGH NORTHEAST CEMENT CO - CEMENTON TERMINAL,Ground,0.0,120 ALPHA BLVD US RTE 9W,CEMENTON,NY,USA,12415.0,42.14,-73.91,"(42.14, -73.91)"
Industrial,NY0210803,ASTORIA CENTRAL WTF,Surface,0.0,20TH AVE & 23RD ST,pASTORIA,NY,USA,11717.0,40.78,-73.91,"(43.75, -73.46)"
Industrial,NY0210803,KEARNEY PIT,Sufrace,0.03,121 COLUMBIA CO RTE 31 (BLUE HILL RD),UHDSON,NY,USA,12534.0,42.2,-73.8,"(42.01, -74.27)"
Industrial,NY0223107,NYS DOT MAINTENANCE SUBHEADQUARTERS,Surface,0.0,4222 ST RTE 417,OLEAN,NY,UAS,14760.0,42.11,-78.53,"(42.09, -79.23)"
Industrial,NY0269573,SUPERIOR PLUS ENERGY SERVICES - CORTLAND,Surface,0.0,US RTE 11 E OF CORTLAND @ POLKVILLE,COTLANDVILLE,NY,USA,11717.0,42.59,-76.14,"(42.59, -76.14)"
Industrial,NY0272582,PELLEH POULTRY,Ground,0.0,522 HAPPY AVE,BETHEL,NY,USA,12783.0,41.71,-74.86,"(40.94, -72.97)"
Municipal,NY0269573,HAMILTON - V WATER POLLUTION CONTROL PLANT,Surface,0.85,81 COLLEGE ST,HAMILTON,NY,USA,13346.0,42.82,-75.55,"(42.82, -75.55)"
Municipal,NY0210803,WESTFIELD WATER POLLUTION CONTROL FACILITY,Surface,2.6,OLD HAWLEY ST,WESTFIELD,NY,USA,14787.0,42.33,-79.59,"(42.33, -79.59)"
ndustrial,NY0210803,MORTON SALT INC,Surface,0.2,45 RIBAUD AVE E,SILVER SPRINGS,YN,USA,14550.0,42.66,-78.08,"(42.66, -7808)"
Municipal,NY0210803,WALTON - V WWTP,Surface,1.55,SOUTH ST,WALTON,NY,USjA,13856.0,42.16,-75.14,"(42.16, -75.14)"
