106.facility,SULLIAVN PLAYGROUND,SULLIVAN PLAYGROUND
8.dedicated_division,Westren,Western
64.leftvalue,35,395
88.control_link,Yse,Yes
77.lights_renovated,Yes2009,Yes 2009
88.cd,fNo,No
71.neighborhood,righton Heights,Brighton Heights
93.drag,Yse,Yes
78.control_link,Yse,Yes
104.drag,Yse,Yes
26.cd,es,Yes
52.center,108,180
52.cd,Yse,Yes
122.permit,eYs,Yes
100.field_name,Scherer bField,Scherer Field
77.field_name,Mellxon Field L.L.,Mellon Field L.L.
46.center,m140,140
78.center,u364,364
42.lights_renovated,Ye 2009,Yes 2009
76.neighborhood,Manckhester,Manchester
37.field_renovated,"2z008 ( Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
31.drag,eYs,Yes
82.facility,MORE PARK,MOORE PARK
36.lights_renovated,Yes 2009***,Yes 2009
5.center,k190,190
121.facility,HOMEWOOD PLAYGROlUND,HOMEWOOD PLAYGROUND
37.facility,DUNBAR PLAYGRlOUND,DUNBAR PLAYGROUND
85.control_link,Yfes,Yes
2.cd,Yces,Yes
104.facility,SPRING HILL PLYAGROUND,SPRING HILL PLAYGROUND
59.cd,oN,No
106.leftvalue,35,325
110.cd,o,No
90.field_name,Panther lHollow,Panther Hollow
10.rightvalue,c180,180
57.control_link,Nso,No
13.field_name,Brighton Higchts Field # 4,Brighton Hights Field # 4
42.center,p180,180
33.control_link,Ys,Yes
71.cd,yNo,No
106.field_name,Sullivian Field,Sullivan Field
1.field_name,Ammon Field 1#,Ammon Field #1
33.leftvalue,18,148
99.drag,Yse,Yes
22.field_renovated,"008 ( Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
105.control_link,eYs,Yes
18.facility,BROOKwLINE MEMORIAL FIELD,BROOKLINE MEMORIAL FIELD
61.permit,tYes,Yes
27.cd,Yse,Yes
99.control_link,zYes,Yes
94.control_link,Yse,Yes
113.leftvalue,1p68,168
79.lights_renovated,es 2009,Yes 2009
97.control_link,oN,No
113.drag,Ys,Yes
14.facility,BdRIGHTON HEIGHTS PARK,BRIGHTON HEIGHTS PARK
65.control_link,Nwo,No
17.neighborhood,Brodhead Manor,Broadhead Manor
81.center,t200,200
55.neighborhood,Morniingside,Morningside
66.rightvalue,104,140
92.drag,Yse,Yes
80.permit,Yse,Yes
111.field_renovated,"2005 (R.Sprow$ 7,512.30)","2005 (R.Sprow $7,512.30)"
47.control_link,es,Yes
114.control_link,eYs,Yes
22.leftvalue,200***,200
21.control_link,oN,No
65.field_name,Larime Field,Larimer Field
99.field_name,Sam Bryen Fieldh #2,Sam Bryen Field #2
75.field_renovated,"2008 ( Plavchak $13,907.8o0)","2008 ( Plavchak $13,907.80)"
35.cd,o,No
21.rightvalue,19f7,197
119.center,00,200
92.leftvalue,305,350
33.field_name,Diworth Field #2,Dilworth Field #2
101.lights_renovated,Yes2 009,Yes 2009
4.leftvalue,213,231
15.leftvalue,282,228
77.field_renovated,2008 ( Plavchak $13907.80),"2008 ( Plavchak $13,907.80)"
102.neighborhood,Sheraen,Sheraden
100.center,q170,170
90.control_link,fNo,No
86.drag,Yse,Yes
53.permit,Yues,Yes
31.field_renovated,"20p08 ( Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
37.neighborhood,Crafton Heighst,Crafton Heights
57.dedicated_division,Westegrn,Western
59.facility,JOE NATOLI PLAGROUND,JOE NATOLI PLAYGROUND
48.rightvalue,274,247
34.permit,Yse,Yes
76.lights_renovated,es 2009,Yes 2009
80.dedicated_division,Nortern,Northern
103.drag,Ndo,No
52.dedicated_division,estern,Western
37.leftvalue,2t00,200
22.field_name,Carmalt Shcool Field,Carmalt School Field
118.leftvalue,b185,185
49.field_renovated,"2008 ( Plavchak $13,907.80)***","2008 ( Plavchak $13,907.80)"
83.drag,Yse,Yes
79.permit,zYes,Yes
28.center,2d00,200
19.neighborhood,Hazelood,Hazelwood
113.permit,es,Yes
57.leftvalue,20e0,200
36.cd,o,No
9.drag,o,No
114.field_name,WarringtonField,Warrington Field
100.rightvalue,1r95,195
108.permit,eYs,Yes
82.neighborhood,rBookline,Brookline
103.control_link,es,Yes
65.drag,o,No
58.leftvalue,3u37,337
107.neighborhood,Stanton Heighst,Stanton Heights
76.cd,es,Yes
79.rightvalue,19,179
51.control_link,uYes,Yes
71.facility,MARMADUKE LAYGROUND,MARMADUKE PLAYGROUND
45.center,3r00+,300+
70.leftvalue,351,315
68.drag,es,Yes
89.permit,Ynes,Yes
42.leftvalue,l180,180
47.permit,Ys,Yes
99.neighborhood,Brooklien,Brookline
27.leftvalue,q217,217
61.field_renovated,"2004 (R. Sprow $6,579.e00)","2004 (R. Sprow $6,579.00)"
70.lights_renovated,es 2009,Yes 2009
99.permit,Yse,Yes
3.leftvalue,50,250
13.permit,es,Yes
122.drag,eYs,Yes
12.neighborhood,Squirrel HillSouth,Squirrel Hill South
31.dedicated_division,oSuthern,Southern
59.drag,kYes,Yes
62.leftvalue,17,417
9.neighborhood,Alelntown,Allentown
116.cd,Yse,Yes
115.facility,WEST PENN PRAK,WEST PENN PARK
70.neighborhood,Manchestr,Manchester
45.facility,FORT PITT PLAYGROUdND,FORT PITT PLAYGROUND
41.field_name,Fern Hollmow,Fern Hollow
84.leftvalue,00,200
56.dedicated_division,Notrhern,Northern
89.rightvalue,2e00,200
57.field_renovated,206 ?,2006 ?
87.center,95,195
52.control_link,Yebs,Yes
117.control_link,eYs,Yes
38.lights_renovated,Ynes 5-2011,Yes 5-2011
119.lights_renovated,Yes o2009,Yes 2009
42.dedicated_division,Nrotheast,Northeast
67.dedicated_division,Sntate,State
24.control_link,Yems,Yes
17.control_link,oN,No
42.field_renovated,"2008 (f Plavchak $13,907.80)","2008 ( Plavchak $13,907.80)"
58.lights_renovated,Yes 20k09,Yes 2009
74.leftvalue,00,200
108.drag,es,Yes
96.lights_renovated,Ye s2009,Yes 2009
23.center,y200,200
20.cd,Yeas,Yes
60.neighborhood,Morninlgside,Morningside
109.cd,Nno,No
118.field_renovated,"2010 ( Plavchak $15d,204.68)","2010 ( Plavchak $15,204.68)"
103.field_name,Southside Park iFeld,Southside Park Field
121.lights_renovated,yes 82002,yes 8-2002
11.rightvalue,206+,260+
60.field_renovated,"2008 ( Plavhcak $13,907.80)","2008 ( Plavchak $13,907.80)"
108.facility,VANUCI FIELD,VANUCCI FIELD
