field_name,dedicated_division,facility,neighborhood,battting_cage(double precision),concession_stand(double precision),back_stop(double precision),infield(double precision),goal_post(double precision),lights(double precision),leftvalue,center,rightvalue,permit,drag,pashek_map_number(double precision),field_renovated,cd,lights_renovated,control_link
Braddock Field #1,Eastern,FICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,326+,336,206+,Yes,Yes,47.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Braddock Field #2,Eastern,FRICK PARK,Squirrel HillSouth,1.0,2.0,1.0,1.0,2.0,1.0,408,362,267,Yes,Yes,48.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Higchts Field # 4,Northern,BRIGHTON HEGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,374,361,194,es,Yejs,18.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Hights Field # 5,Northern,BdRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,31c8,363,63,Yes,Yes,19.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,hNo
Brighton Hights Field #1,Northern,BRIGHTON HEIGHTS PAK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,282,238,300+,Yse,Yse,15.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Hights Field #2,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,260,375,252,Yes,Yes,16.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Broadhead manor,Western,BROADHEAD MANOR FIELD,Brodhead Manor,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,oN
Brookline T-ball,outhern,BROOKwLINE MEMORIAL FIELD,Brookline,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,eYs,Yes,1.0,2003 (Built in house),No,Yes 2009,No
Bud Hammer Field,Schenlye,BUD HAMMER PLAYGROUND,Hazelood,1.0,1.0,1.0,1.0,2.0,1.0,180,d190,177,Yes,Yes,25.0,"2004 (R.Spro 6,953.50)",Yes,Yes 2009,No
Burgwin Field,Schenlye,BURGWIN PLAYGROUND,Hazelwood,1.0,1.0,1.0,1.0,1.0,1.0,327,310,298,Yes,Yes,26.0,"2004 (R.Sprow 11,202.13)",Yeas,Yes 2009,Yes
Camelius Sangnini Field # 6,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,197,196,19f7,Yes,Yes,20.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,oN
Carmalt Shcool Field,Southern,CARMALT SCHOOL,Overbrooqk,1.0,1.0,1.0,1.0,2.0,1.0,200***,200,250,Yes,Yes,27.0,"008 ( Plavchak $13,907.80)",Nvo,Yes 2009,No
Chadwick Field,Eastern,CHADWICK RECd CENTER,Lincoln-Lemington-Belmar,1.0,1.0,1.0,1.0,2.0,1.0,200,y200,250,Yes,Yes,28.0,2007 / 2009,Yes,Yes 2009,No
Chartiers Field #1,Western,CHARTIERS PLAYGtROUND,Windgap,1.0,1.0,1.0,1.0,2.0,1.0,305,340,360,Yes,Yes,29.0,"2004 (R. Sprow $8,818.84)",No,Yes 2009,Yems
Chartiers Field #2,Western,CHARTIERS PLAYGROUND,Windgap,1.0,1.0,1.0,1.0,2.0,1.0,360,340,305,Yes,No,30.0,"2008 ( Plavchak $13,907.80)",No,Yes r2009,Yes
Cowley Field #1,Northern,COWLEY PLAYGROUND,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,248,264,178,Yes,Yes,31.0,"2004 (R.Sprow $7,576.48)",es,Yes 2009,Yes
Cowley Field #2,Norhern,COWLEY PLAYGORUND,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,q217,220,170,Yes,Yes,32.0,"2004 (R.Sprow $9,031.20)",Yse,Yes 2009,Yes
Dan Marino Field,Schenley,FRAZIER PLAYGROUND,South Oakland,1.0,1.0,1.0,1.0,2.0,1.0,200,2d00,250,Yes,Yes,46.0,"2004 (R. Sprow $6,794.00)",es,Yes 2009,Yes
Dan McGibbeny Field,Sjouthern,RBOOKLINE MEMORIAL FIELD,Brookline,1.0,2.0,1.0,1.0,2.0,1.0,200,917,197,Yes,es,22.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Dean Field,Northeast,BLOOMFIELD PLAYGROUND,Bloomfield,1.0,1.0,1.0,1.0,2.0,1.0,311,260,2t41,Yes,No,14.0,2007,Yes,Yes 2009,Yes
Devlin Field,oSuthern,DEVLIN FIELD,Arlington,1.0,1.0,1.0,1.0,2.0,1.0,276,285,269,Yes,eYs,33.0,"20p08 ( Plavchak $13,907.80)",Yes,Yes 2009,oN
Dilworth Field #1,Western,MT WASHINGTON PARK,Mount Washignton,1.0,1.0,1.0,1.0,2.0,1.0,172,157,210,Yes,Yhes,85.0,"2005 (R. Sprow $9,360.90)",Yes,Yes 2009,hYes
Diworth Field #2,Western,MT WASHINGTON PARK,Mount Waishington,1.0,1.0,1.0,1.0,2.0,1.0,18,154,193,Yes,Yes,86.0,"2005 (R. Sprow $9,360.90)",Yes,Yes 2009,Ys
Dinan Field,Northeast,DINAN PLAYGROUND,Stanton Heights,1.0,1.0,1.0,1.0,2.0,1.0,318,290,282,Yse,Yse,34.0,2009 (Plavchak),No,Yes 2009,No
Dunbar Field #1,Western,DUNBAR PLAYGROUND,Crafton Heights,1.0,1.0,1.0,1.0,2.0,1.0,177,350,300,Yes,Yes,35.0,"2004 (R. Sprow $7,780.49)",o,Yes 2009,Yes
Dunbar Field #2,Western,DUNBAR PLAYGROUND,Crafton Heights,1.0,1.0,1.0,1.0,2.0,1.0,200,200,50,Yes,Yes,36.0,"2004 (R. Sprow $6,128.29)",o,Yes 2009***,Yes
Dunbar Field #3,Western,DUNBAR PLAYGRlOUND,Crafton Heighst,1.0,1.0,1.0,1.0,2.0,1.0,2t00,200,250,Yes,No,37.0,"2z008 ( Plavchak $13,907.80)",No,Yes 2009,Yebs
East Hills Park Field,Eastern,AST HILLS PARK,East Hills,1.0,1.0,1.0,1.0,2.0,1.0,325,266,248,Yes,Yes,38.0,"2008 ( Plavchak $13,907.80)",Yes,Ynes 5-2011,Yes
East Liberty Park,Northebast,EAST LIBERTY PARK,East Lbierty,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,39.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Farmhouse Field,Northeast,HIGHLAND PARK,Hihgland Park,1.0,1.0,1.0,1.0,2.0,1.0,210,255,191,Yes,Yes,59.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Fern Hollmow,Eastern,FRICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yces,No,50.0,"2004 (R Sprow $4,150)",No,Yes 2009,No
Fifty-Seventh St. Field,Nrotheast,FIFTY-SEVENTH ST PLAYGROUND,Upper Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,l180,p180,179,Yes,Yes,1.0,"2008 (f Plavchak $13,907.80)",Yes,Ye 2009,No
Fineview Field,Northern,FINEVIEW PLAYGROUND & FIELD,Fineview,1.0,1.0,1.0,1.0,2.0,1.0,65,u280,236,Yes,Yes,41.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Fort Pitt Field #1,Northeast,FORT PITT PLAYGROUND,Garfield,1.0,1.0,1.0,1.0,2.0,1.0,315,387,284,Yes,Yes,42.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Fort Pitt Field #2,Northeast,FORT PITT PLAYGROUdND,Garfield,1.0,1.0,1.0,1.0,2.0,1.0,269,3r00+,180,Yes,No,43.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Four Mile Run Field,Schenley,FOUR MILE RUN PLAYGROUND,uGreenfield,1.0,1.0,1.0,1.0,2.0,1.0,16i0,m140,130,Yes,No,44.0,"200 ( Plavchak $13,907.80)",No,Yes 2009,No
Fowler Field # 1,Northern,FOWLER PARK,Perry South,1.0,1.0,1.0,1.0,2.0,1.0,372,346,271,Ys,Yes,45.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 5-2010,es
Fowler Field # 2,Nonrthern,FOWLER PARK,Perry South,1.0,1.0,1.0,1.0,2.0,1.0,242,236,274,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",eYs,Yes 2009,No
Gardner Fiedl,Northern,GARDNER FIELD,Troy iHll,1.0,1.0,1.0,1.0,2.0,1.0,258,290,250,Yes,Yes,51.0,"2008 ( Plavchak $13,907.80)***",Yes,Yes 9-2011,Yes
Gladsotne Field,Schenley,GLADSTONE FIELD,Hazelwood,1.0,1.0,1.0,1.0,2.0,1.0,256,274,163,Yes,Yes,52.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,o
Herschel Field #1 (Lower),Western,HERSCHEL PLAYGROUND,Elliott,1.0,1.0,1.0,1.0,2.0,1.0,315,s387,367,Yes,Yoes,53.0,"2004 (R. Sprow $9,756.50)",Yes,yes 9-2003,uYes
Herschel Field #2,estern,HERSCHEL PLAYGROUND,Elloitt,1.0,1.0,1.0,1.0,2.0,1.0,180,108,180,Yes,mYes,55.0,2002 (Construction Division),Yse,Yes 2009,Yebs
Heth's Field #1,Northeast,HETHS PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,376,315,195,Yues,Yes,56.0,"2004 (R.Sprow $8,220.29)",No,Yes 2009,No
Heth's Field #2,Northeast,HETHS PLAYGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,362,270,182,Yes,Yes,57.0,"2004 (R.Sprow $7,763.13)",No,Yes 2009,No
Heth's Field #3,Northeast,HETHS PLAYGROUND,Morniingside,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,58.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Horace Mann Field,Notrhern,HORACE MxANN FIELD,Marshall-Shadeland,1.0,1.0,1.0,1.0,2.0,1.0,290,340,e240,Yes,eYs,61.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Jim Rawe Field,Westegrn,ALTON PLAYGROUND,Beechview,1.0,1.0,1.0,1.0,2.0,1.0,20e0,200,250,Yes,Yes,2.0,206 ?,vNo,Yes2009,Nso
Joe Natoli Field #1,Northeast,JOE NATOLI PLAYGROuUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,3u37,351,290,Yes,Yes,62.0,2009,No,Yes 20k09,Yes
Joe Natoli Field #2,Northeast,JOE NATOLI PLAGROUND,Morningside,1.0,1.0,1.0,1.0,2.0,1.0,254,311,227***,Yes,kYes,63.0,2009( just touched up),oN,Yes 2009,Yes
Joe Natoli Field #3,Northeast,JOE NATOLI PLAYGROUND,Morninlgside,1.0,1.0,1.0,1.0,2.0,1.0,200,200,50,Yes,No,1.0,"2008 ( Plavhcak $13,907.80)",No,Yes 2009,Yens
John McGrane Field #1,Northeast,LESLIE PARK,Central Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,413,320,2x05,tYes,Yes,66.0,"2004 (R. Sprow $6,579.e00)",Yes,Yes 2009,Yes
John McGrane Field #2,Northeast,LESLIE PARK,Central Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,17,296,263,Yes,Yes,67.0,"2004 (R. Sprow $9,84.50)",Yes,Yes 2009,Yes
John Merry Field #3,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,302,375,252,Yes,Yes,17.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Kennard Field #1,Shcenley,KENNARD PLAYGROUND,Terrace Village,1.0,1.0,1.0,1.0,2.0,1.0,35,453,345,Yes,Yes,65.0,"2004 (R. Sprow $8,178.30)",Yes,Yes 2009,Yes
Larime Field,Northeast,LARIMER PLAYGROUND,Larimer,1.0,1.0,1.0,1.0,2.0,1.0,193,216,127,Yes,o,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Nwo
Loretta Miller Field,Southern,McKINLEY PARK,Bteltzhoover,1.0,1.0,1.0,1.0,2.0,1.0,159,15,104,Yes,Yes,76.0,"2005 (R. Sprow $10,982.90)",Yes,Yes 2009,No
M.L.King School,Sntate,ALLEGHENY COMMONS PARK,Allegheny Center,1.0,1.0,1.0,1.0,2.0,1.0,109,276,190,Yes,Yes,40.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Magee Field #1,Schenlewy,MAGEE PLAYGROUND,Greenfield,1.0,1.0,1.0,1.0,2.0,1.0,362,234,209,Yes,es,68.0,"2004 (R. Sprow $17,626.88)",No,Yes 2009,Yes
Magee Field #2,Schenley,MAGEE PLAYGROUND,Greenfield,1.0,1.0,1.0,1.0,1.0,1.0,304,362,280,Yes,Yes,69.0,"2004 (R. Sprow $17,626.88)",No,Yse 2009,Yes
Manchester Field,Northern,MANCHESTER PLAYGROUND,Manchestr,1.0,1.0,1.0,1.0,2.0,1.0,351,401,350,Yes,Yes,70.0,"2008 ( Plavchak $13,907.80)",Yes,es 2009,Yse
Marmaduke Field,Northern,MARMADUKE LAYGROUND,righton Heights,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,71.0,"2008( Plavchak $13,907.80)",yNo,Yes 2009,No
Mazeroski Field,Schenley,SCHENLEY PARK,Squirrel Hill Soth,1.0,1.0,1.0,1.0,2.0,1.0,182,185,182,Yes,Yes,64.0,2004 (Pampena),oN,qYes 2009,No
McBride ParkField,Southern,McBRIDE PARK,Lincoln Place,1.0,1.0,1.0,1.0,2.0,1.0,299,327,179,Yes,Yels,73.0,"2004 (R.Spow 7,216.40)",No,Yes 2009,No
McGonigle Field,Western,McGONIGLE PLAYGROUND,Sheraden,1.0,1.0,1.0,1.0,2.0,1.0,00,222,250,Yes,Yes,74.0,"008 ( Plavchak $13,907.80)",No,Yes 2009,No
McKinley Field #1,Southern,McKINLEY PARK,Beltzhoover,1.0,1.0,1.0,1.0,1.0,1.0,358,317,182,Yes,Yes,75.0,"2008 ( Plavchak $13,907.8o0)",Yes,Yes 2009,Yes
McKnight Fild,Northern,McKNIGHT PLAYGROUND,Manckhester,1.0,1.0,1.0,1.0,2.0,1.0,200,200,20,Yes,No,77.0,"2008 ( Plavchak $13,907.80)",es,es 2009,o
Mellxon Field L.L.,Eastern,MELLON PARK,Shadyside,1.0,1.0,1.0,1.0,2.0,1.0,162,165,161,Yes,Yes,78.0,2008 ( Plavchak $13907.80),No,Yes2009,No
Mellon Field Main,Eastern,MELLON PARK,Shadyside,1.0,1.0,1.0,1.0,2.0,1.0,346,u364,359,Yes,Yes,79.0,"2004 (R. Sprow $9,595.90) (2005 regrade because permit holder R.Sprow $700)",No,yes -2012,Yse
Mellon Field Middle,Eastern,MELLON PARK,Shadyside,1.0,1.0,1.0,1.0,2.0,1.0,179,195,19,zYes,Yes,80.0,"2008 ( Plavchak $13,907.80)",No,es 2009,No
Michael Flynn Field,Nortern,SRING GARDEN FIELD,Spring Garden,1.0,1.0,1.0,1.0,2.0,1.0,178,170,153,Yse,Yes,105.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Monongahela Field,Southesrn,MONONGAcHELA PLAYGROUND,Sotuhside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,020,t200,162,Yes,Yes,82.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2090,No
Moore Field #1,Southern,MORE PARK,rBookline,1.0,1.0,1.0,1.0,2.0,1.0,306,424,311,Yes,Yes,83.0,"2002 (R.Sprow ""SAMPLE OF WORK"")",No,Yes-2013,Yes
Moore Field #2,Southern,MOORE PARK,Brookline,1.0,1.0,1.0,1.0,2.0,1.0,189,304,216,Yes,Yse,84.0,"2008 (Plavchak $13,907.80)",No,Yes 2009,No
Oakwood,Western,OAKWOOD PLAYGROUND,Oakwood,1.0,1.0,1.0,1.0,2.0,1.0,00,200,250,Yes,Yes,87.0,"2010 ( Plavchak $15,205.18)",pNo,Yes 2009,o
Olympia Field #1,Western,OLYMPIA PARK,Mount Washington,1.0,1.0,1.0,1.0,2.0,1.0,286,440,353,Yes,Yes,88.0,"2004 (R. Sprow $10,331.70)",No,yes 4-2004,Yfes
Olympia Field #2,Western,OLYMPIA PARK,Mount Washington,1.0,1.0,1.0,1.0,2.0,1.0,319,461,395,Yes,Yse,89.0,"2008 ( Plavchak $13,907.80)",No,yes 4-2004,Yes
Ormsby Field,Southern,ORMSBY PLAYGROUND,Southside Flats,1.0,1.0,1.0,1.0,2.0,1.0,165,95,135,Yes,es,90.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Oval Field,Schenley,SCHqENLEY PARK,Squirrel Hill South,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,98.0,"2008 ( Plavchak $13,907.80)",fNo,yes 6-2007,Yse
Panorama Field,Southern,PANORAMA FIELD,New Homestead,1.0,1.0,1.0,1.0,2.0,1.0,200,200,2e00,Ynes,Yes,93.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Panther lHollow,Schenpley,SCHENLEY PARK,Squirrel Hill South,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,1.0,"2004 (Eichenlaub $9,650.00) 2007(R Sprow $5500.00)",No,Yes 2009,fNo
Paulson Field,Eastern,PyAULSON PLAYGROUND,Lincoln-Lemington-Belmar,1.0,1.0,1.0,1.0,2.0,1.0,259,247,274,Yes,Yes,94.0,"2008 (m Plavchak $13,907.80)",Ys,Yes 2009,Yes
Phillip Murray Field,Southern,PHILLIP MURRAY PLAYGROUND,Mt. Oliver Neigborhood,1.0,1.0,1.0,1.0,2.0,1.0,305,318,250,Yes,Yse,95.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Phillips Park Field,Southern,PHILLIPS PARK,Carrick,1.0,1.0,1.0,1.0,2.0,1.0,200,200,195,Yes,Yse,96.0,"2008 ( Plavchak $13,907.80)",No,Yes 2090,Yes
Quarry Field,Southern,SOUTHSIDE PARK,Southside Slopes,1.0,2.0,1.0,1.0,2.0,1.0,200,00,250,Yes,No,104.0,"2008 ( Plavchak $13,907.80)",Yes,yes 11-2011,Yse
Ray Miller Field,Schenley,BLAIR ST PARKLET,Hazelwood,1.0,1.0,1.0,1.0,2.0,1.0,131,260,241,Yes,Yes,13.0,"2008 ( Plavchak $13,907.80)",Yse,Yes 2009,No
Richie McCabe Field,State,ALLEGHENY COMMONS PARK,Allegheny Center,1.0,1.0,1.0,1.0,2.0,1.0,307,336,289,Yes,Yes,115.0,"2008 ( Plavchak $13,907.80)",Yes,Ye s2009,No
Rye-Molt Field,Northern,YOUNG FIELD,Marshall-Shadeland,1.0,1.0,1.0,1.0,2.0,1.0,220,270,215,Yes,Yes,122.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,oN
Sam Bryen Field #1,Southern,BROOKLINE MEMORIAL FIELD,Brookline,2.0,2.0,1.0,1.0,2.0,1.0,200,197,197,Yes,Yes,23.0,"2004 (R.Sprow $7,724.05) 2008 ( Plavchak $1,500.00)",No,Yes 2009,Yes
Sam Bryen Fieldh #2,Southern,BROOKLINE MEMORIAL FIELD,Brooklien,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yse,Yse,24.0,"2004 (R.Sprow $7,866.43)",No,Yes 2009,zYes
Scherer bField,Northern,SCHERER FIELD,Spring Hill-City View,1.0,1.0,1.0,1.0,2.0,1.0,176,q170,1r95,Yes,Yes,100.0,"2008 ( Plavchak $139,07.80)",Yes,Yes 2009,No
Sheraden Field #1,Western,SHERADEN PARK,Sheraden,1.0,1.0,1.0,1.0,2.0,1.0,246,235,180,Yes,Yes,101.0,"2008 ( Plavchak $13,907.80)",No,Yes2 009,Yes
Sheraden Field #2,Western,SHERADEN PARK,Sheraen,1.0,1.0,1.0,1.0,2.0,1.0,370,275,209,Yes,Yes,102.0,2009 (in house),No,Yes 2009,No
Southside Park iFeld,Southern,SOUTHSIDE PARK,Southside Slopes,1.0,2.0,1.0,1.0,2.0,1.0,150,105,150,Yes,Ndo,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes-,es
Spring Hill Field,Northern,SPRING HILL PLYAGROUND,Spring Hill-City View,1.0,1.0,1.0,1.0,2.0,1.0,264,301,301,Yes,Yse,106.0,"2008 ( Plavchak $13,907.80)",eYs,Yes 2009,Yes
Stan Lederman Fiezld,Eastern,FRICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,183,189,192,Yes,Yes,49.0,"2008 ( Plavchak $13,907.80)",oN,Yes 2009,eYs
Sullivian Field,Northaest,SULLIAVN PLAYGROUND,Lower Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,35,329,230,Yes,Yes,107.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Sunnyside iFeld,Northeast,DINAN PLAYGROUND,Stanton Heighst,1.0,1.0,1.0,1.0,2.0,1.0,202,205,201,Yes,Yes,108.0,"2004 (R.Sprow $2,100.00)",No,Yes 2009,No
Vanucci Field #1,Westen,VANUCI FIELD,Beechview,1.0,1.0,1.0,1.0,2.0,1.0,250,250,250,eYs,es,109.0,"2004 (R.Sprow $15,304.30)",No,Yes 2009,es
Vanucci Field #2,Western,VANUCCI FtIELD,Beechview,1.0,1.0,1.0,1.0,2.0,1.0,174,187,185,Yes,Yes,110.0,"2004 (R.Sprow $6,373.00)***",Nno,Yes 2009,Yes
Volunteers Field #1,Southern,VOLUNTEERS FIELD,Carrick,1.0,1.0,1.0,1.0,2.0,1.0,271,255,285,Yes,Yes,111.0,"2005 (R.Sprow $6,544.00)",o,Yes 2009,Yes
Volunteers Field #2,Southern,VOLUNTEERS FIELD,Carrick,1.0,1.0,1.0,1.0,2.0,1.0,174,187,185,Yes,es,112.0,"2005 (R.Sprow$ 7,512.30)",No,Yes 2009,es
Wabash Field,Western,ABASH PLAYGROUND,West End,1.0,1.0,1.0,1.0,2.0,1.0,372,175,100,Yes,Yes,113.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Warren K Branch qField,Schenley,MARTIN LUTHER KING FIELD,Terrace Village,1.0,1.0,1.0,1.0,2.0,1.0,1p68,182,186,es,Ys,72.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
WarringtonField,Southern,WARRINGTON PLAYGROUND,Beltzhoover,1.0,1.0,1.0,1.0,2.0,1.0,206,725,198,Yes,Yes,114.0,"2005 (R. Sprow $10,249.03)",Yes,Yes 2009,eYs
Wet Penn Field #1,State,WEST PENN PRAK,Polish Hill,1.0,1.0,1.0,1.0,2.0,1.0,268,337,355,Yes,Yes,116.0,"2005 (R. Sprow $11,339.70)",Yes,Yes-2013,Yes
West Penn Field #2,State,WEST PENN PARK,Polish Hill,1.0,1.0,1.0,1.0,2.0,1.0,355,403,215,Yes,Yes,117.0,"2005 (R. Sprow $ 10,191.30)",Yse,Yes-2013,Yes
Westwood Field #1,Western,WESTWOOD SCHOOL,Westwood,1.0,1.0,1.0,1.0,2.0,1.0,300,270,185,es,Yes,118.0,"2010 ( Plavchak $17,482.21)",No,Yes 2009,eYs
Westwood Field #2,Western,WESTWOOD CHOOL,Westwood,1.0,1.0,1.0,1.0,2.0,1.0,b185,270,300,Yes,Yes,119.0,"2010 ( Plavchak $15d,204.68)",No,Yes 2009,Yes
Wightman Field,Eastern,WIGHTMAN PLAYGROUND,Squirrel Hill North,1.0,1.0,1.0,1.0,2.0,1.0,200,00,250,Yes,Yes,120.0,"2008 ( Plavchak $13,907.80)",No,Yes o2009,No
Willie Stargell #1,Eastern,HOMEWOOD PLAYGROUND,Homewood South,1.0,1.0,1.0,1.0,2.0,1.0,370,309,20x5,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",Yes,yes 8-2002,Yes
Willie Stargell #2,Eastern,HOMEWOOD PLAYGROlUND,Homewood South,1.0,1.0,1.0,1.0,2.0,1.0,310,297,143,Yes,Yes,60.0,"2008 ( Plavchak $13,907.80)",Yes,yes 82002,Yes
Winters Field,Southern,WINTERS PLAYGROUND,Southside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,234,267,159,eYs,eYs,121.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
