uniqueid,indicatorid,namevalue,measure,measureinfo,geotypename,geojoinid,geoplacename,timeperiod,startdate,datavalue
164932.0,383.0,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2009-10,12/01/2009,4.24
130389.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,407,Southwest Queens,2005-2007,01/01/2005,49.0
130390.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,408,Jamaica,2005-2007,01/01/2005,58.2
130391.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,409,Southeast Queens,2005-2007,01/01/2005,43.0
130392.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,410,Rockaways,2005-2007,01/01/2005,101.1
130393.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,501,Port Richmond,2005-2007,01/01/2005,65.6
130394.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,502,Stapleton - St. George,2005-2007,01/01/2005,80.3
130395.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,503,Willowbrook,2005-2007,01/01/2005,73.8
130396.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,504,South Beach - Tottenville,2005-2007,01/01/2005,65.0
130397.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,17.6
130398.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,2.2
130399.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,24.5
130400.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,4.4
130401.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,16.9
130402.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,19.7
130403.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,3.3
130404.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,0.4
130405.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.8
130406.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.9
130407.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,0.1
130408.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,0.1
130409.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,1.5
130410.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,2.3
130411.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,0.0
130412.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,1.7
130413.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.9
130414.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.3
130415.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,51.0
130416.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,15.7
130417.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,11.6
130418.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,99.7
130419.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,95.0
130420.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,67.4
130421.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,78.8
130422.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,32.9
130423.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,24.9
130424.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,310,Lower Manhattan,2013,01/01/2013,13.7
130425.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,401,Long Island City - Astoria,2013,01/01/2013,6.7
130426.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,402,West Queens,2013,01/01/2013,2.3
130427.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,403,Flushing - Clearview,2013,01/01/2013,5.1
130428.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01/2013,1.6
130429.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,2.7
130430.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,406,Fresh Meadows,2013,01/01/2013,4.3
130431.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,407,Southwest Queens,2013,01/01/2013,0.8
130432.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.5
130433.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2013,0.3
130434.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0
130435.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0
130436.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.4
130437.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0
130438.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0.0
130439.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/2013,6.1
130440.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,1,Bronx,2013,01/01/2013,10.3
130441.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.8
130442.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/2013,50.6
130443.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,2.2
130444.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.1
130445.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,2.0
130446.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,0.3
130447.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,3.0
130448.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,0.5
130449.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,2.0
130450.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,2.4
130451.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,0.4
130452.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,0.1
130453.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.1
130454.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,0.1
130455.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,0.0
130456.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,0.0
130457.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,0.2
130458.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,0.3
130459.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,0.0
130460.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,0.2
130461.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,0.1
130462.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,0.1
130463.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,5.8
130464.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,2.0
130465.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,1.3
130466.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,11.4
130467.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,10.8
130468.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,7.7
130469.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,9.0
130470.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,4.1
130471.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,3.0
130472.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,310,Lower Manhattan,2013,01/01/2013,1.7
130473.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,401,Long Island City - Astoria,2013,01/01/2013,0.8
130474.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,402,West Queens,2013,01/01/2013,0.3
130475.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,403,Flushing - Clearview,2013,01/01/2013,0.6
130476.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,404,Bayside - Little Neck,2013,01/01/2013,0.2
130477.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,01/01/2013,0.3
130478.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,406,Fresh Meadows,2013,01/01/2013,0.5
130479.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,407,Southwest Queens,2013,01/01/2013,0.1
130480.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/01/2013,0.1
130481.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2013,0.0
130482.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,410,Rockaways,2013,01/01/2013,0.0
130483.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,01/01/2013,0.0
130484.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,01/01/2013,0.0
130485.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,503,Willowbrook,2013,01/01/2013,0.0
130486.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/2013,0.0
130487.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/2013,0.7
130488.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,1,Bronx,2013,01/01/2013,1.2
130489.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,2,Brooklyn,2013,01/01/2013,0.1
130490.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/2013,5.9
130491.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,4,Queens,2013,01/01/2013,0.3
130492.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,5,Staten Island,2013,01/01/2013,0.0
130493.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,01/01/2013,42.5
130494.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,102,Northeast Bronx,2013,01/01/2013,33.8
130495.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,2013,01/01/2013,71.0
130496.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,104,Pelham - Throgs Neck,2013,01/01/2013,24.9
130497.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/2013,62.5
130498.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,106,High Bridge - Morrisania,2013,01/01/2013,78.0
130499.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,36.8
130500.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,01/01/2013,18.9
130501.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,32.0
130502.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,203,Bedford Stuyvesant - Crown Heights,2013,01/01/2013,31.7
130503.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,204,East New York,2013,01/01/2013,14.7
130504.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,205,Sunset Park,2013,01/01/2013,13.4
130505.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,206,Borough Park,2013,01/01/2013,34.8
130506.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,2013,01/01/2013,33.5
130507.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2013,6.7
130508.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,01/01/2013,26.5
130509.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,2013,01/01/2013,23.7
130510.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/01/2013,27.8
130511.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,301,Washington Heights,2013,01/01/2013,115.3
130512.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,302,Central Harlem - Morningside Heights,2013,01/01/2013,82.1
130513.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,303,East Harlem,2013,01/01/2013,55.8
130514.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,01/01/2013,247.9
130515.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2013,269.8
130516.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,2013,01/01/2013,204.8
130517.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,2013,01/01/2013,284.7
130518.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,01/01/2013,132.5
130519.0,642.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,309,Union Square - Lower East Side,2013,01/01/2013,126.1
