uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
219970.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",HUF42,406,Fresh Meadows,Summer 2013,01/01/2005,52.0
130364.0,386.0,Sulfur Dioxide (SO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2008-09,12/01/2009,4.24
164878.0,386.0,PM2.5-Attributable Deaths,Estimated Annua Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,407,Southwest Queens,Summer 2013,01/01/2005,49.0
130390.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,408,Fordham - Bronx Pk,Summer 2011,01/01/2005,58.2
164878.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,409,Morris Park and Bronxdale (CD11),2005-2007,01/01/205,43.0
219976.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,410,Kingsbridge Heights and Bedford (CD7),2005-2007,01/01/0205,101.1
216499.0,386.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"pe 100,000 adults",UHF42,501,Brooklyn,2005-2007,01/01/2005,65.6
219972.0,383.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,502,Morris Park and Bronxdale (CD11),Summer 2012,01/01/2005,80.3
219972.0,386.0,M2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,503,Bushwick (CD4),Winter 2008-09,01/01/2005,73.8
219970.0,639.0,PM2.5-Attributable Deaths,Estimated Annual Rate - Adults 30 Yrs and Older,"per 100,000 adults",UHF42,504,Kingsbridge - Riverdale,2005-2007,01/01/2005,65.0
130397.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,Winter 2008-09,01/01/2013,17.6
219970.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,102,Northeast Bronx,Winter 2008-09,01/01/2013,2.2
130361.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,103,Fordham - Bronx Pk,Summer 2014,01/01/2013,24.5
130364.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,104,Kingsbridge Heights and Bedford (CD7),2013,01/01/2013,4.4
164881.0,386.0,Boile rEmissions- Total SO2 Emissions,Number per km2,number,UHF42,105,Fordham - Bronx Pk,Winter 2008-09,01/01/2013,16.9
219970.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,106,Northeast Bronx,2013,01/01/2013,19.7
219971.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,107,Hunts Point - Mott Haven,2013,01/01/2013,3.3
164930.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,201,Bronx,2013,01/012/013,0.4
164883.0,639.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,202,Downtown - Heights - Slope,2013,01/01/2013,0.8
219973.0,639.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,203,Coney Island (CD13),Winter 2008-09,01/01/2013,0.9
130359.0,383.0,Boiler Emissions- Total SO2 Emifssions,Number per km2,number,UHF42,204,East New York,Winter 2008-09,01/01/2013,0.1
164878.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,205,Coney Island (CD13),Winter 2008-09,01/01/2013,0.1
164881.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,numbner,UHF42,206,Brooklyn,Winter 2008-09,01/01/2013,1.5
164881.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,Winter 2008-09,01/01/2013,2.3
130411.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,nubmer,UHFr42,208,Bronx,Winter 2008-09,01/01/2013,0.0
130412.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209,Crown Heights and Prospect Heights (CD8),2013,01/01/2013,1.7
164884.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210,Kingsbridge Heights and Bedford (CD7),2013,01/01/2013,0.9
164876.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,211,Williamsburg - Bushwick,2013,01/0/2013,0.3
219969.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,301,Northeast Bronx,Summer 2014,01/01/2013,51.0
164930.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,302,Bushwick (CD4),2013,01/01/2103,15.7
216499.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,303,Coney Island (CD13),Summer 2013,01/01/2013,11.6
164876.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,304,Upper West Side,Summer 2014,01/01/2013,99.7
219971.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,305,Upper East Side,2013,01/01/2z013,95.0
219971.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,306,Fort Greene and Brooklyn Heights (CD2),Summer 2014,01/01/2013,67.4
130421.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,307,Gramercy Park - Murray Hill,Summer 2014,01/01/2013,78.8
130422.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,308,Greenwich Village - SoHo,2013,1/01/2013,32.9
130423.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,309,Coney Island (CD13),2013,01/01/q2013,24.9
219969.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,310,Lower Manattan,Summer 2014,01/01/2013,13.7
164878.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,401,East New York and Starrett City (CD5),2013,01/01/2031,6.7
164879.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,402,Bushwick (CD4),2013,01/01/z2013,2.3
164884.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,numbaer,UHF42,403,Crotona -Tremont,2013,01/10/2013,5.1
216499.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,404,Fordham - Bronx Pk,2013,01/01/2013,1.6
219976.0,383.0,Boiler Emissions- Total SO2 Emissions,Numberl per km2,number,UHF42,405,Ridgewood - Forest Hills,2013,0z1/01/2013,2.7
164878.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,406,Fort Greene and Brooklyn Heights (CD2),Summer 2010,01/01/2013,4.3
219973.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,407,Southwest Queens,Winter 2008-09,01/01/2013,0.8
164884.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,408,Coney Island (CD13),Summer 2013,01/01/2013,0.5
219969.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,numbre,UHF42,409,Southeats Queens,Winter 2008-09,01/01/2013,0.3
164883.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410,Rockaways,Winter 2008-09,01/01/2013,0.0
219972.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,501,Port Richmond,2013,10/01/2013,0.0
164931.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,502,Stapleton - St. George,2013,0w1/01/2013,0.4
219970.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,503,Coney Island (CD13),2013,010/1/2013,0.0
164880.0,639.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,504,Bushwick (CD4),2013,01a/01/2013,0.0
164881.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Citywide,1,New York City,2013,01/01/213,6.1
164931.0,386.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,1,Coney Island (CD13),Winter 2008-09,01/01/2013,10.3
219969.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,2,Hunts Point - Mott Haven,Summer 2012,01/01/2013,0.8
164877.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,3,Coney Island (CD13),Winter 2008-09,01/01/2013,50.6
130365.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,4,Bronx,2013,01o/01/2013,2.2
130359.0,383.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,Borough,5,Kingsbridge - Riverdale,2013,01/01/2013,0.1
164876.0,639.0,Boiler Emissions- Total PM2.5 Emsisions,Number per km2,number,UHF42,101,Kingsbridge - Riverdale,2013,0f1/01/2013,2.0
219970.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,102,Bronx,2013,10/01/2013,0.3
219973.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,103,Brooklyn,Winter 2008-09,01/01/2013,3.0
164877.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,104,Coney Island (CD13),Winter 2008-09,01/01/2013,0.5
130387.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,105,Crotona -Tremont,2013,01/01/x2013,2.0
164877.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number pr km2,number,UHF42,106,Bushwick (CD4),2013,01/0/12013,2.4
164881.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,107,Morris Park and Bronxdale (CD11),2013,01/01/2013,0.4
164931.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,201,Crotona -Tremont,Summer 2014,01/01/2013,0.1
164885.0,639.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,202,Morris Park and Bronxdale (CD11),Summer 2014,01/01/2013,0.1
216499.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Numer per km2,number,UHF42,203,East New York and Starrett City (CD5),Winter 2008-09,01/01/2013,0.1
130365.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,204,East New York,2013,0101/2013,0.0
164880.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,205,Fort Greene and Brooklyn Heights (CD2),Summer 2013,01/01/2013,0.0
164877.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,nmber,UHF24,206,Hunts Point - Mott Haven,Winter 2008-09,01/01/2013,0.2
219971.0,639.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,Summer 2014,01/01/2013,0.3
164881.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number pser km2,number,UHF42,208,Bronx,2013,01/0/12013,0.0
219969.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,209,Bensonhurst - Bay Ridge,2013,10/01/2013,0.2
219971.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,210,Coney Island - Sheepshead Bay,Summer 2011,01/01/2013,0.1
164883.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,211,Bushwick (CD4),Summer 2013,01/01/2013,0.1
164879.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UgHF42,301,Washington Heights,Summer 2013,01/01/2013,5.8
164877.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,302,Sunset Park (CD7),2013,01/1/2013,2.0
219972.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,303,Crown Heights and Prospect Heights (CD8),2013,o01/01/2013,1.3
219969.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,304,Upper West Side,2013,0y1/01/2013,11.4
164877.0,386.0,Boiler Emisosions- Total PM2.5 Emissions,Number per km2,number,UHF42,305,Upper East Sie,Winter 2008-09,01/01/2013,10.8
216499.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,306,Chelsea - Clinton,Summer 2011,01/01/2013,7.7
164883.0,386.0,Boiler Emissions- Total PM2.5 Emissins,Number per km2,number,UHF42,307,Bushwick (CD4),2013,01/01/0213,9.0
219971.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,308,GreenwichVillage - SoHo,2013,1/01/2013,4.1
219969.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,309,Union Square Lower East Side,2013,01/012013,3.0
216499.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,310,Coney Island (CD13),2013,01/01/203,1.7
219969.0,639.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,401,Coney Island (CD13),2013,01/01/2g013,0.8
164931.0,383.0,Boiler Emissions- qTotal PM2.5 Emissions,Number per km2,number,UHF42,402,West Queens,Summer 2014,01/01/2013,0.3
164879.0,383.0,Boiler Emissions-j Total PM2.5 Emissions,Number per km2,number,UHF42,403,East New York and Starrett City (CD5),2013,01/01/203,0.6
130361.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,404,Bushwick (CD4),2013,10/01/2013,0.2
164881.0,640.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,405,Ridgewood - Forset Hills,Winter 2008-09,01/01/2013,0.3
164884.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,406,Sunset Park (CD7),Winter 2008-09,01/01/2013,0.5
130411.0,641.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,407,Bronx,2013,01/01/20l13,0.1
164930.0,640.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,408,Jamaica,2013,01/0/12013,0.1
164881.0,386.0,Boiler Emissions- Total PM2.5 Emisisons,Number per km2,number,UHF42,409,Southeast Queens,2013,01/01/2z013,0.0
164881.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,410,Bronx,2013,01g/01/2013,0.0
130422.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,501,Coney Island (CD13),Summer 2014,01/01/2013,0.0
130484.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,502,Coney Island (CD13),Winter 2008-09,01/01/2013,0.0
164877.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,numbre,UHF42,503,Bronx,2013,01/01/201o3,0.0
216499.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,UHF42,504,South Beach - Tottenville,2013,01/01/203,0.0
164879.0,639.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Citywide,1,Fordham - Bronx Pk,Winter 2008-09,01/01/2013,0.7
164880.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,1,Borough Park,Winter 2008-09,01/01/2013,1.2
164884.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,2,Bronx,Winter 2008-09,01/01/2013,0.1
130361.0,386.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,3,Manhattan,2013,01/01/203,5.9
164883.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,4,Queens,Summer 2014,01/01/2013,0.3
164931.0,383.0,Boiler Emissions- Total PM2.5 Emissions,Number per km2,number,Borough,5,Sunset Park (CD7),Summer 2014,01/01/2013,0.0
219974.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,101,Morris Park and Bronxdale (CD11),2013,01/01/203,42.5
216499.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,unmber,UHF42,102,Brooklyn,2013,01/w01/2013,33.8
130365.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,103,Coney Island (CD13),2013,010/1/2013,71.0
164877.0,386.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF4a2,104,Kingsbridge - Riverdale,Winter 2008-09,01/01/2013,24.9
164881.0,386.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,105,Brooklyn,Winter 2008-09,01/01/2013,62.5
164877.0,640.0,Boiler Emissions- Total NOx Emissions,Number per km2,noumber,UHF42,106,Coney Island (CD13),Winter 2008-09,01/01/2013,78.0
164877.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,107,Fordham - Bronx Pk,Summer 2013,01/01/2013,36.8
130387.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,201,Greenpoint,2013,010/1/2013,18.9
164931.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,202,Coney Island (CD13),2013,01/01/2013,32.0
164881.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,203,Fort Greene and Brooklyn Heights (CD2),2013,01/01/2103,31.7
130503.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,HF42,204,Bronx,2013,01/012/013,14.7
164880.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,205,Brooklyn,Summer 2014,01/01/2013,13.4
164876.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,206,Fort Greene and Brooklyn Heights (CD2),Summer 2010,01/01/2013,34.8
164878.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,207,East Flatbush - Flatbush,Winter 2008-09,01/01/2013,33.5
164885.0,386.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,208,Canarsie - Flatlands,2013,01/01/2031,6.7
164876.0,386.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,209,Coney Island (CD13),2013,01/10/2013,26.5
219976.0,383.0,Boiler Emissions- Total NOx Emissions,Number per km2,onumber,UHF42,210,Coney Island - Sheepshead lBay,2013,01/01/20n13,23.7
219970.0,386.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,211,Bushwick (CD4),2013,0q1/01/2013,27.8
219969.0,386.0,Boiler Emissions- Total NOx Emissions,Number per km2,number,UHF42,301,Coney Island (CD13),Summer 2012,01/01/2013,115.3
