score_recent(long),grade_recent,date_recent,score_two(long),grade_two,date_two,score_three(long),grade_three,date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
100,A,2023/09/05 00:00:00,100,A,2023/02/09 00:00:00,100,A,2022/08/25 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,10201 CASALANDA DR,LOUISVILLE,KY,40272,1989/01/24 05:00:00+00,1.0
100,A,2023/03/13 00:00:00,100,A,2022/08/24 00:00:00,96,A,2022/04/22 00:00:00,32718.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GEORGIA CHAFFEE TAPP,1010 NEIGHBORHOOD PL,FAIRDALE,KY,40118,1989/01/24 05:00:00+00,9.0
100,A,2023/08/29 00:00:00,99,A,2023/03/01 00:00:00,99,A,2022/08/29 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,1010 NEIGHBORHOOD PL,LOUISVILLE,KY,40118,1989/01/24 05:00:00+00,13.0
100,A,2023/08/29 00:00:00,100,A,2023/02/13 00:00:00,100,A,2022/08/29 00:00:00,31372.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GEORGIA CHAFFEE TAPP,7609 ST ANDREWS CHURCH RD,LOUISVILLE,KY,40214,1988/07/14 04:00:00+00,2.0
100,A,2023/08/31 00:00:00,100,A,2023/02/24 00:00:00,100,A,2022/09/14 00:00:00,32718.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,7601 ST ANDREWS CHURCH RD,LOUISVILLE,KY,40214,1988/07/29 04:00:00+00,9.0
100,A,2023/04/20 00:00:00,100,A,2022/08/12 00:00:00,99,,2022/01/25 00:00:00,32718.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GEORGIA CHAFFEE TAPP,861 S 4TH ST,LOUISVILLE,KY,40203,2009/10/20 04:00:00+00,17.0
100,A,2023/03/21 00:00:00,100,A,2022/08/31 00:00:00,100,A,2022/04/20 00:00:00,32712.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,330 S HUBBARDS LN,LOUISVILEL,KY,40207,1988/07/14 04:00:00+00,17.0
100,A,2023/05/09 00:00:00,99,A,2022/11/14 00:00:00,99,A,2022/03/03 00:00:00,31502.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DOSS HIGH SCHOOL,1001 FAIRDALE RD,LOUISVILLE,KY,40118,1988/07/14 04:00:00+00,13.0
100,A,2023/04/11 00:00:00,100,A,2022/08/16 00:00:00,100,A,2022/02/23 00:00:00,31502.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GEORGIA CHAFFEE TAPP,2010 RUDY LN,LOUISVILLE,KY,40207,1989/01/24 05:00:00+00,4.0
100,A,2023/03/13 00:00:00,100,A,2022/09/19 00:00:00,100,A,2022/03/08 00:00:00,45220.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,3701 E WHEATMORE DR,LOUISVILLE,KY,40215,1991/01/18 05:00:00+00,17.0
100,A,2023/09/15 00:00:00,100,A,2023/03/29 00:00:00,100,A,2022/10/24 00:00:00,31372.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WATTERSON ELEMENTARY,3900 BRECKENRIDGE LN,LOUISVILLE,KY,40218,1988/07/14 04:00:00+00,9.0
100,A,2023/02/27 00:00:00,100,A,2022/09/19 00:00:00,100,A,2022/03/08 00:00:00,32712.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WATTERSON ELEMENTARY,8815 FERNDALE RD,LbOUISVILLE,KY,40291,1988/07/14 04:00:00+00,13.0
100,A,2023/08/23 00:00:00,100,A,2023/01/13 00:00:00,99,,2022/08/18 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,COCHRAN ELEMENTARY SCHOOL,500 W GAULBERT AVE,LOUISVILLE,KY,40208,1991/01/18 05:00:00+00,9.0
99,A,2023/09/01 00:00:00,100,A,2023/02/27 00:00:00,100,A,2022/09/27 00:00:00,32712.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,COCHRAN ELEMENTARY SCHOOL,2800 ALFORD AVE,LOUISVILLE,KY,40212,1991/03/18 05:00:00+00,17.0
99,A,2023/08/29 00:00:00,100,A,2023/04/11 00:00:00,100,A,2022/10/31 00:00:00,45220.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,TRINITY HIGH SCHOOL,1001 FAIRDALE RD,LOUISVILLE,KY,40222,2009/10/20 04:00:00+00,13.0
100,A,2023/02/28 00:00:00,100,A,2022/09/27 00:00:00,100,A,2022/03/03 00:00:00,45220.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,COCHRAN ELEMENTARY SCHOOL,500 W GAULBERT AVE,LOUISVILLE,KY,40213,1991/10/24 04:00:00+00,4.0
98,A,2023/08/23 00:00:00,100,A,2023/02/17 00:00:00,98,A,2022/10/11 00:00:00,32718.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,TRINITY HIGH SCHOOL,425 W KENWOOD DR,LOUISVILLE,KY,40211,1992/12/04 05:00:00+00,4.0
100,A,2023/08/29 00:00:00,99,A,2023/01/30 00:00:00,100,A,2022/10/19 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,330 S HUBBARDS LN,LOUISVILLE,KY,40245,2009/10/20 04:00:00+00,28.0
100,A,2023/01/11 00:00:00,100,A,2022/08/23 00:00:00,100,A,2022/02/25 00:00:00,30248.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,330 S HUBBARDS LN,LOUISVILLE,KY,40242,1994/03/14 05:00:00+00,29.0
100,A,2023/08/29 00:00:00,100,A,2023/04/03 00:00:00,100,A,2022/10/27 00:00:00,45220.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WAGGENER HIGH SCHOOL,8711 LAGRANGE RD,LOUISVILLE,KY,40222,1995/01/17 05:00:00+00,30.0
99,A,2023/03/23 00:00:00,100,A,2022/09/06 00:00:00,100,A,2022/03/11 00:00:00,31502.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WATTERSON ELEMENTARY,7401 RIVERPORT DR,LOUISVILLE,KY,40258,1996/02/12 05:00:00+00,31.0
99,A,2023/08/23 00:00:00,100,A,2023/03/16 00:00:00,100,A,2022/09/01 00:00:00,56895.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,KENNEDY ELEMENTARY SCHOOL,4515 TAYLORSVILLE RD,LOUISVILLE,KY,40220,2009/10/20 04:00:00+00,32.0
100,A,2023/03/20 00:00:00,99,A,2022/10/06 00:00:00,93,C,2022/03/22 00:00:00,59648.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,FARNSLEY MIDDLE SCHOOL,3400 LEES LANE,LOUISVILLE,KY,40216,1998/02/25 05:00:00+00,33.0
100,A,2023/08/14 00:00:00,100,A,2023/03/09 00:00:00,100,A,2022/08/15 00:00:00,60965.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,LOUISVILLE ORAL DEAF SCHOOL,111 E KENTUCKY ST,LOUISVILLE,KY,40203,1998/08/26 04:00:00+00,34.0
100,A,2023/08/29 00:00:00,100,A,2023/01/27 00:00:00,100,A,2022/10/13 00:00:00,61096.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CHRISTIAN ACADEMY OF LOUISVILLE,700 S ENGLISH STATION RD,LOUISVILLE,KY,40245,2009/10/20 04:00:00+00,35.0
98,A,2023/08/28 00:00:00,97,A,2023/01/12 00:00:00,95,A,2022/08/19 00:00:00,61377.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,MCFERRAN ELEMENTARY SCHOOL,1900 S 7TH ST,LOUISVILLE,KY,40208,1998/11/17 05:00:00+00,36.0
100,A,2023/04/27 00:00:00,100,A,2022/08/29 00:00:00,100,A,2022/03/04 00:00:00,62677.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,BRECKINRIDGE FRANKLIN ELEMENTARY SCHOOL,1351 PAYNE ST,LOUISVILLE,KY,40206,1999/07/27 04:00:00+00,37.0
100,A,2023/09/07 00:00:00,100,A,2023/02/10 00:00:00,100,A,2022/09/22 00:00:00,62860.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. MICHAELS SCHOOL,3705 STONE LAKES DR,LOUISVILLE,KY,40299,2009/10/20 04:00:00+00,38.0
100,A,2023/05/18 00:00:00,100,A,2022/09/28 00:00:00,100,A,2022/01/25 00:00:00,63346.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DAWSON ORMAN EDUCATION CENTER,900 S FLOYD ST,LOUISVILLE,KY,40203,1999/12/20 05:00:00+00,39.0
100,A,2023/09/01 00:00:00,100,A,2023/01/25 00:00:00,99,dA,2022/08/29 00:00:00,68894.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CHANCEY ELEMENTARY,4301 MURPHY LN,LOUISVILLE,KY,40241,2002/12/18 05:00:00+00,40.0
100,A,2023/03/20 00:00:00,98,A,2022/10/05 00:00:00,92,C,2022/03/23 00:00:00,32722.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CARTER DUVALLE SCHOOL,3600 BOHNE AVE,LOUISVILLE,KY,40211,1989/02/27 05:00:00+00,41.0
100,A,2023/04/11 00:00:00,100,A,2022/11/01 00:00:00,100,A,2022/03/01 00:00:00,70851.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,NATIVITY ACADEMY,529 E LIBERTY ST,LOUISVILLE,KY,40202,2009/10/20 04:00:00+00,42.0
100,A,2023/02/14 00:00:00,100,A,2022/10/05 00:00:00,100,A,2022/01/26 00:00:00,71034.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ISAAC SHELBY ELEMENTARY SCHOOL,735 ZIEGLER AVE,LOUISVILLE,KY,40217,2004/01/12 05:00:00+00,43.0
100,A,2023/08/23 00:00:00,100,A,2023/02/24 00:00:00,100,A,2022/09/08 00:00:00,76959.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,CHRISTIAN ACADEMY OF LOUISVILLE SW,8307 ST ANDREWS CHURCH RD,LOUISVILLE,KY,40258,2009/10/20 04:00:00+00,44.0
100,A,2023/04/14 00:00:00,100,A,2022/09/29 00:00:00,97,A,2022/01/25 00:00:00,77735.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HIGHLANDS LATIN SCHOOL,2800 FRANKFORT AVE,LOUISVILLE,KY,40206,2009/10/20 04:00:00+00,45.0
100,A,2023/03/13 00:00:00,99,A,2022/10/18 00:00:00,100,,2022/04/26 00:00:00,78775.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,FARMER ELEMENTARY SCHOOL,6405 GELHAUS LN,LOUISVILLE,KY,40299,2007/08/14 04:00:00+00,46.0
100,A,2023/08/21 00:00:00,100,A,2023/01/18 00:00:00,100,A,2022/08/30 00:00:00,78778.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,STOPHER ELEMENTARY,14417 AIKEN RD,LOUISVILLE,KY,40245,2007/08/14 04:00:00+00,47.0
99,A,2023/04/19 00:00:00,99,A,2022/10/19 00:00:00,100,A,2022/04/26 00:00:00,82361.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,RAMSEY MIDDLE SCHOOL,6409 GELHAUS LN,LOUISVILLE,KY,40299,2008/10/30 04:00:00+00,48.0
99,A,2023/08/24 00:00:00,100,A,2023/02/16 00:00:00,100,A,2022/08/24 00:00:00,84377.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ST. MARY ACADEMY,11311 ST MARY LN,PROSPECT,KY,40059,2010/05/12 04:00:00+00,49.0
100,A,2023/04/11 00:00:00,100,A,2022/09/06 00:00:00,100,A,2022/03/16 00:00:00,84425.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,MERCY ACADEMY,5801 FEGENBUSH LN,LOUISVILLE,KY,40228,2009/10/20 04:00:00+00,50.0
100,A,2023/08/30 00:00:00,100,A,2023/02/02 00:00:00,99,A,2022/10/06 00:00:00,86961.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HIGHLANDS LATIN SCHOOL 1,10901 SHELBYVILLE RD,LOUISVILLE,KY,40243,2010/10/11 04:00:00+00,51.0
89,C,2023/08/21 00:00:00,95,C,2023/03/02 00:00:00,100,,2022/08/23 00:00:00,88212.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500 SIX MILE LN,LOUISVILLE,KY,40218,2011/04/21 04:00:00+00,52.0
100,A,2023/09/07 00:00:00,100,A,2023/02/17 00:00:00,100,A,2022/08/18 00:00:00,89185.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,PORTLAND CHRISTIAN SCHOOL,8509 WESTPORT RD,LOUISVILLE,KY,40242,2011/10/03 04:00:00+00,53.0
100,A,2023/04/11 00:00:00,99,A,2022/10/14 00:00:00,99,A,2022/03/23 00:00:00,90352.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,VALIANT CHRISTIAN ACADEMY,5627 NEW CUT RD,LOUISVILLE,KY,40214,2012/05/14 04:00:00+00,54.0
100,A,2023/02/23 00:00:00,97,A,2022/10/07 00:00:00,98,oA,2022/03/21 00:00:00,92294.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,EMMA L MINNIS JR. ACADEMY,1939 MAGAZINE ST,LOUISVILLE,KY,40203,2013/03/06 05:00:00+00,55.0
100,A,2023/04/10 00:00:00,100,A,2022/09/14 00:00:00,99,A,2022/02/10 00:00:00,93866.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,UNSELD EARLY CHILDHOOD LEARNING CENTER,5216 ILEX AVE,LOUISVILLE,KY,40213,2013/08/29 04:00:00+00,56.0
96,A,2023/09/12 00:00:00,94,A,2023/02/23 00:00:00,97,A,2022/10/10 00:00:00,94280.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WEST END SCHOOL,3628 VIRGINIA AVE,LOUISVILLE,KY,40211,2013/10/29 04:00:00+00,57.0
100,A,2023/08/22 00:00:00,100,A,2023/02/03 00:00:00,100,A,2022/08/18 00:00:00,99105.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,PITT ACADEMY,7515 WESTPORT RD,LOUISVILLE,KY,40222,2016/01/15 05:00:00+00,58.0
100,A,2023/08/22 00:00:00,100,A,2023/02/16 00:00:00,100,A,2022/08/22 00:00:00,100515.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,NORTON COMMONS ELEMENTARY,10941 KINGS CROWN DR,PROSPECT,KY,40059,2016/07/26 04:00:00+00,59.0
100,A,2023/05/23 00:00:00,100,A,2022/09/13 00:00:00,98,A,2022/04/12 00:00:00,103329.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,LOUISVILLE COLLEGIATE SCHOOL,2427 GLENMARY AVE,LOUISVILLE,KY,40204,2017/08/11 04:00:00+00,60.0
100,A,2023/04/11 00:00:00,100,A,2022/10/18 00:00:00,99,,2022/02/07 00:00:00,103562.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,LOUISVILLE ADVENTIST ACADEMY,2988 NEWBURG RD,LOUISVILLE,KY,40205,2017/09/12 04:00:00+00,61.0
96,A,2023/04/05 00:00:00,99,A,2022/10/06 00:00:00,100,A,2022/01/14 00:00:00,109559.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,USPIRITUS BROOKLAWN CAMPUS,3121 BROOKLAWN CAMPUS DR,LOUISVILLE,KY,40218,2019/10/22 04:00:00+00,62.0
99,A,2023/04/20 00:00:00,99,A,2022/11/03 00:00:00,100,A,2022/02/02 00:00:00,114431.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WALDORF SCHOOL OF LOUISVILLE,3110 ROCK CREEK DR,LOUISVILLE,KY,40207,2022/02/02 05:00:00+00,63.0
100,A,2023/03/01 00:00:00,100,A,2022/10/04 00:00:00,0,A,2022/08/29 00:00:00,116362.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,W.E.B. DUBOIS HIGH SCHOOL,3901 ATKINSON SQUARE DR,LOUISVILLE,KY,40218,2022/08/08 04:00:00+00,64.0
100,A,2023/02/14 00:00:00,100,A,2022/09/08 00:00:00,0,A,2022/08/29 00:00:00,116382.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,INDIAN TRAIL ELEMENTARY SCHOOL,3709 E INDIAN TRAIL,LOUISVILLE,KY,40213,2022/08/09 04:00:00+00,65.0
100,A,2023/09/06 00:00:00,100,A,2023/02/22 00:00:00,100,A,2022/09/26 00:00:00,116568.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WILKERSON ELEMENTARY SCHOOL,5601 JOHNSONTOWN RD,LOUISVILLE,KY,40272,2022/09/07 04:00:00+00,66.0
0,A,2023/08/29 00:00:00,0,A,2022/10/18 00:00:00,0,A,2022/08/29 00:00:00,119813.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DR WILLIAM H PERRY ELEMENTARY SCHOOL,755 DIXIE HWY,LOUISVILLE,KY,40210,2023/08/07 04:00:00+00,67.0
100,A,2023/09/14 00:00:00,0,A,2022/10/18 00:00:00,0,A,2022/08/29 00:00:00,119843.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ECHO TRAIL MIDDLE SCHOOL,2601 ECHO TRAIL,LOUISVILLE,KY,40245,2023/08/08 04:00:00+00,68.0
97,C,2023/08/30 00:00:00,100,A,2023/01/18 00:00:00,99,A,2022/09/07 00:00:00,31379.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WESTPORT MIDDLE SCHOOL,8100 WESTPORT RD,LOrUISVILLE,KY,40242,1988/07/14 04:00:00+00,69.0
100,A,2023/09/06 00:00:00,100,A,2023/03/02 00:00:00,99,A,2022/09/08 00:00:00,31380.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WESTERN HIGH SCHOOL,2501 ROCKFORD LN,LOUISVILLE,KY,40216,1989/01/24 05:00:00+00,70.0
100,A,2023/03/15 00:00:00,100,A,2022/08/17 00:00:00,100,A,2022/02/25 00:00:00,31381.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WELLINGTON ELEMENTARY,4800 KAUFMAN LN,LOUISVILLE,KY,40216,1989/01/24 05:00:00+00,71.0
100,A,2023/02/22 00:00:00,100,A,2022/08/26 00:00:00,100,A,2022/03/02 00:00:00,31511.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,FERN CREEK HIGH SCHOOL,9115 FERN CREEK RD,LOUISVILLE,KY,40291,1988/07/14 04:00:00+00,72.0
100,A,2023/02/23 00:00:00,100,A,2022/09/16 00:00:00,100,A,2022/02/17 00:00:00,32723.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,LIBERTY HIGH SCHOOL,1281 GILMORE LN,LOUISVILLE,KY,40213,1988/07/29 04:00:00+00,73.0
99,A,2023/08/29 00:00:00,100,A,2023/02/10 00:00:00,100,A,2022/08/15 00:00:00,31383.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,HUDSON MIDDLE SCHOOL,1107 S 17TH ST,LOUISVILLE,KY,40210,1989/01/24 05:00:00+00,74.0
99,A,2023/09/12 00:00:00,100,A,2023/03/20 00:00:00,100,A,2022/08/31 00:00:00,32725.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GREATHOUSE ELEMENTARY SCHOOL,2700 BROWNS LN,LOUISVILLE,KY,40220,1988/07/29 04:00:00+00,75.0
100,A,2023/05/08 00:00:00,100,A,2022/11/10 00:00:00,100,A,2022/01/26 00:00:00,31512.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,EMMET FIELD SCHOOL,120 SACRED HEART LN,LOUISVILLE,KY,40206,2009/10/20 04:00:00+00,76.0
100,A,2023/04/21 00:00:00,100,A,2022/09/21 00:00:00,100,A,2022/03/23 00:00:00,31384.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WHEELER ELEMENTARY SCHOOL,5700 CYNTHIA DR,LOUISVILLE***,KY,40291,1988/07/14 04:00:00+00,77.0
99,A,2023/09/14 00:00:00,99,A,2023/03/14 00:00:00,100,A,2022/08/29 00:00:00,32726.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,GREENWOOD ELEMENTARY SCHOOL,5801 GREENWOOD RD,LOUISVILLE,KY,40258,1989/01/24 05:00:00+00,78.0
100,A,2023/08/29 00:00:00,100,A,2023/02/23 00:00:00,100,A,2022/09/01 00:00:00,31386.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,WILDER ELEMENTARY SCHOOL,1913 HERR LN,LOUISVILLE,KY,40222,1989/02/27 05:00:00+00,79.0
100,A,2023/09/01 00:00:00,93,C,2023/02/23 00:00:00,100,A,2022/10/11 00:00:00,31513.0,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,FOSTER TRADITIONAL ACADEMY,1401 S 41ST ST,OLUISVILLE,KY,40211,1988/07/14 04:00:00+00,80.0
