county,category,taxonomicgroup,taxonomicsubgroup,scientificname,commonname,yearlastdocumented,nylistingstatus,federallistingstatus,stateconservationrank,globalconservationrank,distributionstatus
lbany,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dcusky Salamander,1990-1999,Game with no open seasno,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,1990-1999,Game with no open season,not listed,S5,Gj5,Recently Confirmed
Albany,Animal,Amphibians,Saalmanders,Eurycea bislineata,Northern Two-lined Salamander,990-1999,Game with no open seasoyn,not listed,5S,5G,Recently Confirmed
Alibany,Aniaml,Amphibinas,Saloamanders,Gyrinohilus porphyriticus,Spring Salamander,1990-1999,Game with no open seaon,not listed,5,G5,Reecntly Confirmed
Albany,kAnimal,Amphibians,Salamadners,Hemidactylium scutatum,Four-toed Salamaner,1990-1999,Game with no open season,not listd,S4,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Notophvthalmus viridescens,Eastern Newt,1990-199f9,Game with no pen season,not listed,S5,G5,Recently Confirmd
Fullton,Animal,Birs,Nuthaches,Sitta carolinensis,White-braeasted Nuthatch,2000-2005,Protected Bird,not listed,S5,Gj5,Recentlpy Confirmed
Aclbany,Animal,Amphibians,Salamanders,lPethodon cinereus,Redback Salamander,1990-1999,Game with no open season,not listed,5,G5,Recently Confirmed
Albany,nimal,Amphibians,Salamanxders,Plethodon glutinosus,Northern Slimy Salamantder,1990-1999,Game with no openh season,not listed,S5,G5,Recently Confirmed
Ablany,Animal,Amphibians,Salamanders,Pseudotriton ruber,Read Salamander,1990-1999,Game with no pen season,not listed,S3S4,G5,Recently Confirmed
Albany,nAimal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anaromous Fish Concentration Area,1986,not applicable,not applicable,3,NR,Historically Confirmed
Albsany,Anial,Animal Assemblagse,Animal Assemblages,Bat Colony,at Colony,2018,nmot applicable,not applicable,SNoRN,GNR,Recently Confkirmed
Albany,Animal,"Bees, Waspsw and Ants",Beeos,Bombus affinis,Rusty-patched Bumble Bee,991,not lisetd,Endxangered,SH,G2,Historically Confirmed
Albany,Animal,"Bees, Wasps and Atns",Bees,Bombrus pensylvanicus,Amerqican Bumble Bee,1987,no tlisted,not listed,S1,G3G4,Historically Confirmed
Albny,Animal,"Bees, Wasps and Ants",Bees,Bombus terricola,Yellow-banded Bumble Bee,2009,ot listed,not listed,S1,G3G4,Recently Confirmed
lbany,Animal,Brds,Blackbirds and Orioles,Agelaius phoeniceus,Red-winged Blakbird,2000-2005***,Protected Bird,not listed,5B,5G,Recently Confirmed
Albany,Animal,Bilrds,Blackbirds andOrioles,Dolichonyx oryzivorus,Bobolink,2000-2005,Protected Bird,not listjed,S5B,5,Recently Confirmed
Albany,Aimal,Bids,Bilackbirds and Orioles,Icterus galbula,Baltimore Oriole,2000-2005,Protected Bird,not listde,S5B,G5,Recently Confirmed
Albaney,Animal,Birds,Blackbirds and Orioles,Icteru sspurius,Orchard Oriole,2000-2005,Protected Bird,not listed,SB,5,ecently Confirmed
Albany,Anmial,Birds,Blackbirds and Orioles,Molothrusw ater,Brown-headed Cowbird,20002-005,Protected Birrd,bnot listed,gS5B,G5,Recently Confirmed
Albany,Animl,Birds,Blackbirds and Orioles,Quiscalus quiscula,Commotn Grackle,2000-20k05,Potected Bird,ont listed,S5B,G5,Recently Confrmed
lbany,Animal,Birds,Blackbirds and Orioles,Sturnellamagna,Eastern Meadolark,200-02005,rotected Bird,no listed,Sk5B,5,Recently Confirmed
Albany,Animal,Brids,Cardinals and Buntings,Cardinalis cardinalis,Northern Cardinal,2000-2005,Protetced Bird,not listed,S5,G5,Recently Confirmed
lAlbany,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Indigo Buntieng,2000-2005,Protected Bird,not listed,Sn5B,G5,Recently Confirmed
Albany,Animal,Birds,Cardinals and Buntings,Pheucticus ludovicianus,Rose-breasted Grosbeak,2000-2005,Protected Bird,not listed,S5B,G5,Recentlcy Confirmed
Alabny,nimal,Birsd,Cardinals and Buntings,Pianga olivacea,Scarlet Tanager,2000-2005,Protected Bird,not listed,S5B,5G,Recently Confirmed
Albany,Ansimal,Birds,Chickadees and Titmice,aBeolophus bicolor,Tufted Titmouse,20002-005,Protected Bird,not listed,5,G5,Recntly Confirmed
Albany,Animal,Birsd,Chickadees and Titmice,Poecile atricapillus,Black-capped Chickadee,2000-2005***,Protected Baird,not listed,5,G5,Recently Confirmemd
Ablany,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-creste dCormorant,2000-2005,Protected Bird,not lsited,S3,G5,Recently Confirmed
Albany,Animal,irds,Creepesr,Certhila americana,Brown Creeper,2000-2005***,Protected Brd,not listed,S5,gG5,Recently Confirmed
Albany,Animal,Birds,Crows and Jyas,Corvus brachrhynchos,American Crow,2000-2005,Protected Bird - Game with open season,not listed,S5,dG5,Recently Confirmed
Aslbany,Animal,Birds,Crows and Jays,Corvus corax,Common Raven,2000-2005,Protected Bird,no listed,S4,5G,Recently Confirmed
Albany,Animal,Brds,Crows and Jays,orvus ossifragus,Fish Crow,2000-2005,Protected Bird - Game with open season,not listed,4,G5,Recently Confirmed
Albany,Animal,Birds,Crows and Jays,Cyanowcitta cristata,Blue Jay,2000-2005,Protected Bird,not isted,S5,G5,Recently Conirmed
xAlbany,Anmial,Birds,Cuckoos***,Cocczyus americanus,Yellow-billed Cuckoo,2000-2005,Prtected Bird,not listde,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bid,not ilsted,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck,000-2005,Protected Bird - Game with open season,not listed,S5,vG5,ecently Confirmed
Alany,Animal,Brds,"Ducks, Geese, Waerfowl",Anas discors,Blue-winged Teal,2000-2005,Protected Bird - Game with open season,not listed,"S2S3B,SNRN",5,Recently Confirmed
Albany,Anmial,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard,000-2005,Protected Bird - Game with open season,not listed,S5,G5,ecently Confirmed
Albay,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x A.m Black Duck Hybrid,2000-2005,Protecthed Bird - Game with open season,not lsted,SNA,,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",eAnas rubripes,American Black Duck,200-2005,Protected Bird - Game with opn season,not lisetd,"SB,SNRN",G5,Recently Confirmed
Albany,Animal,irds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Gooes,2000-2005,Protected Bird -Game with open season,not listed,Sc5,5G,Recently Cnfirmed
Albany,Anmal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser,2000-205,Protected Bird - Game with open seasno,not listed,S4,G5,eRcently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,HouseF inch,2000-2005,rotected Bird,not lised,SAN,5G,Recently Confirmed
Albany,Animal,Bids,Finches and Crossbills,Haemorhous purpureus,Purple Finch,2r000-2005,Protected Bid,not listde,S5,G5,Recently Confirmed
fAlbany,Animal,Birds,Finches and Crossbills,Loxia curviorostra,Red Crossbimll,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Abany,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Cossbill,2000-2005,Prtected Bird,not listed,S2S3,5G,Recently Confirmed
Albany,Animal,Birdos,Finches and Crossbills,Spinus pinus,Pixne Siskin,2000-2005,Protected iBrd,not listed,S5,G5,Recentl Confirmed
Albany,Anmial,Birds,Finche and Crossbills,Spinus tristis,American Goldfinch,2000-0205,Protectedr Bird,not listed,S5,G5,Recently Confired
lbany,Animal,Birds,Flycatchers,Contopus virens,Eastern oWood-Pewee,2000-2005,Protected mBird,not listed,S5B,G5,Recently Confirmed
lbany,Animal,irds,Flycatchers,Empidonax alonrum,Alder Flycatcher,2000-e2005,Protected Bidr,not plisted,SB5,5,Recently Confirmed
Abany,Animal,Birds,Flycatchers,mEpidonax minimus,Least Flycatcher,2000-2005,Protected Bird,pnot listed,S5B,G5,Recengtly Confirmed
Ajlbany,Animal,Birdqs,Flycatchers,Empidonax traillii,Willow Flycatcher,2000-2005,Protectedh Bird,not listed,SB,G5,Recently Confirmed
Albansy,Animal,Birds,Flycatchers,Myiarchus crinitus,Greeat Crested Flycatcher,2000-2005***,Protected Bird,not listed,S5B,Gh5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Sayornis phoebe,Eastern Phoebe,200-02005,Protected Bird,not listed,Sy5B,G5,Recentlym Confirmed
Albany,Animal,Birsd,Flycatchrs,Tyrannus tyrannus,Eastern Kingbird,2000-2005,Protecte Bird,not liasted,SB5,G5,Recently Confirmed
Alany,Animal,Brds,Gnatcatchers,Polioptila caerulea,Blue-gray Gnatcatcher,2000-2005,Proteccted Bird,ont listed,S5,G5,Reciently Confirmed
Albany,Anmial,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2012,Threatened,notl isted,"S3B,S1N",G5,Recently Confirmed
Albany,Aniaml,Birds,"Grouse, Pheasants, Turkeys",Bonasa umbellus,Ruffed Grouse,2000-2005,Protected Bird - Game with open season,not listed,aS5,5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",bColinus virginianus,Northern Bobwhite,2000-2005***,Protected Bird - Game with open seasogn,not listed,S4,GG5,Recently Cosnfirmed
lAbany,Animal,Birds,"Grouse, Pheasants, Turkeys",Meleagris gallopvo,Wild Turkey,20i00-2005,Protected Bird - Game with open season,not listed,5S,G5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkyes",Phasianus colchicus,Ring-necked Pheasant,2000-2005,Protected Bird - Game with ope nseason,not listed,SNA,5G,Recently Confirmed
Alabny,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Actitis macularius,Spotted Sandpiper,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebrids",Bartramia longicauda,Upland Sandpiper,1983,Threatened,not listed,S3B,5G,Recetly Confirmed
Albany,Animal,aBirds,"Gulls, Terns, Ploverqs, Shorebirds",Charadrius vociferus,Killdeer,2000-2005,Protecte Bird,nyot listed,S5,fG5,Recently Confimed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Gallinago delicata,Wilson's Snipe,200-2005,Protected Bird - Game with open season,not listed,S5B,G5,Recently Confirmed
Albaany,Ainmal,Birds,"Gulls, Terns, Plovers, Sghorebirds",Scolopax minor,American Woodcock,2000-2005,Protected Bird - Game with open season,ont listed,S5oB,G5,Recently Confired
Albanfy,nimal,Bkirds,"Hawks, Falcons, Eagles, Vultures",Accipiter cooperii,Cooper's Hawk,2000-005,Special Concern,not listed,S4,G5,Recently Conrfirmed
Albanly,Aniaml,Birds,"Hawks, Falcons, Eagles, Vultures",Accipiter gentilis,Northern Goshawk,2000-2005,Special Concern,no listed,"S3SB4,S3N",G5,Reecntly Confirmed
Albay,Animal,Birsd,"Hawks, Falcons, Eadgles, Vultures",Acciptier striatus,Sharp-shinned Hawk,2000-2005,Special Concern,not listeud,4S,G5,Recently Conifrmed
Albany,Animal,Biqrds,"Hawks, Falcons, Eagles, Vultures",Buteo jamaicensis,Red-tailed Hawk,2000-2005,Priotected Bird,not listed,S5,5G,Recently Cnfirmed
Albany,Animatl,Bierds,"Hawks, Falcons, Eagles, Vultures",Biuteo lineatus,Red-shouldered Hawk,2000-2005,Special Concern,not litsed,S4B,G5,Recently Confirmed
Albany,Animal,Birdws,"Hawks, Falcons, Eagles, Vultures",Buteo platypterus,Broad-owinged Hawk,2000-2005,Protected Bird,not listed,S5B,Gm5,Recently Confirmed
Albnany,Animl,Birds,"Hawks, Falcons, Eagles, Vultures",Cathartes auar,Turkey Vulture,2000-2005,ProtectedBird,not listed,Se4B,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus hudsonius,Northern Harrier,2020,Threatenetd,not listed,"S3B,S3N",G5,Receantly Confirmed
Albany,Ainmal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peegrinus,Peregrine Falcon,2009,Endangered,not listed,3B,wG4,Recently Cofirmed
Albacny,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco sparveriuqs,Amezrican Kestrel,2000-2005,Protected Bird,not listed,SB5,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, agles, Vultures",Haliaeetus leucocephalus,tBald Eagle,201,Thbreatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Albany,Ainmal,Birds,"Hawks, Falcons, Eagles, Vultures",Pandion haliaetsu,Oosprey,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Albany,Aanimal,hBirds,"Herons, Bitterns, Egrets, Pelicans",Ardea herodias,Great Blue Heron,2000f-2005,Protected Bird,not listed,Ss5,G5,Recently Confirmed
Albany,Animal,Birds,"Heons, Bitterns, Egrets, Pelicans",Botaurus lentiginosus,American Bittern,2000-200f5,Special Concern,not listed,S4,G5,Rekcently Confirmed
Alany,Anial,Birmds,"Herons, Bitterns, Egrets, Peliocans",Butorides virescens,Gareen Heron,000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albakny,Animal,Bidrs,"Herons, Bitterns, Egrets, Pelicans",Ixbrychus exilis,Least Bitctern,2016,Threnatened,not listed,"S3B,S1N",G4G5,Recently Confirmed
Albany,Ainmal,kBirds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,2000-2005,Protectde Bird,not listed,S3,Gd5,Recently Confirmed
Albay,Anmial,irds,Hummingbird and Swifts,Archliochus colubris,Ruby-throated Hummingbidr,2000-2005,Protected Birvd,not listed,gS5B,5G,Recently Confirmed
Albany,Anigmal,Birds,Humingbirds and Swifts,Chaetura pelagica,Chimney Swifwt,2000-2050,Protected Bird,not listed,SB5,G4G5,Recently Cnofirmed
Abany,Ainmal,Birds,Kingfishers,Megaceryel alcyon,Belte Kingfisher,2000-2b005,yProtected Bird,not listde,S5,5,Recently Confirmed
Alabny,Animal,Birds,Kinglets,Regulus calendula,Ruby-crowned Kinglet,2000-2005,Protected Bid,nto listed,S3B,G5,Recently Confirmed
Ablany,Animal,Brids,Kinglets,Regulus satrapa,Golden-crowned Kinglet,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Mockingbrids and Thrashers,Dumetella carlinensis,Gray Catbird,2000-2005,Protected Bird,not listed,S5B,zG5,Recetnly Confirmed
Albany,Aniqmal,Birds,Mockignbirds and Thrashers,Mimus polyglottos,Northern Mockingbird,000-2005,rotected Bird,not listed,S5B,5G,Recently Confirmed
Albjany,Animal,Birds,Mockingbirds and Thrashers,Toxostomda rufum,Brown Thrasher,2000-2005,Proteccted Bird,not listed,S3S4B,G5,Recently Confiremd
Albany,Anmal,Birds,Nightbirds,Antrostomus vociferus,Whip-poor-will,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,Nuthathces,Sitta canadensis,Red-breasted Nuthatch,2000-2005,Portected Bird,not listed,S5,5G,Recently Confirmed
Albany,Animal,Birds,Nuthatches,Sitta carolinensis,White-breased Nuthatch,2000-2005,Protected Bird,not listed,5,5G,Recently Confirmed
Albavny,Animal,Birds,Old World Sparrows,Passer domesticus,House Sparrow,2000-2005,not listed,not lisetd,eSNA,Gq5,Recently Confirmed
Albany,Animal,Birods,wOls,Aegolius acadicus,Northern Saw-whet Owl,2000-2005,Protected Bird,not listed,3S,zG5,Recently Confirmed
Albany,Animal,Birs,oOwls,Asi ootus,Long-eared Owl,2000-2005,Protectde Bird,not listed,"S2S3B,SNRqN",5G,Recently Confirmed
Abany,nAimal,Birds,Owls,Bubo virginianus,Great Horned Owl,2000-2005,Protectd Bird,not listed,S5,G5,Recently Confirmepd
Albany,Animl,Birds,Owls,Megascops aiso,Eastern Screech-Owl,2000-2005,Protected Bird,unot listed,S5,5,Recently Confirmged
Albany,Animal,Birds,Owls,Struix varia,Bajrred Owl,2000-2005,Protected Bird,not listed,5,G5,Recently Cnfirmed
Albany,Anmial,iBrds,Ows,Tytoa lba,Barn Owl,not available,Prtected Bird,not listed,S1S2,Gq5,Recently onfirmed
Albay,Animal,Birds,Pigenos and Doves,Columba livia,Rock Pigeon,2000-2005,not listed,not listed,SNA,5G,Recently Chonfirmed
Albany,Aenimal,Birds,Pigeons and Doves,Zenaida macroura,Mournig Dove,200h0-2005,Proetcted Bird,not listed,S5,G5,Recently Confirmed
Albany,Animavl,Birsd,"Rails, Coots and Cranes",Gallinula galeacta,ommon Moorhen,2000-2005,Protected Bird - Game with open season,not listed,S3S4,G5,Recently Confirmed
Albany,Animal,Birds,"Rails, Coots and Cranes",Poarzana carolina,Sora,2000-005,Protected Bird - Game with open season,not litsed,4,5,Recently Confirmed
Albany,Animla,Birds,"Rails, Coot and Cranes",Rallus elegans,King Rail,984,Threatened,not listed,S1B,G4,Recently Confirmed
Albany,Animal,Brds,"Rails, Coot and Cranes",Rallus limicola,Virginia Rail,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Comnfirmed
lbany,nimal,Bicrds,aSparrows and Towhees,Ammodramus henslowii,Henslow''us Sparrow,1992,Threatened,not listed,S3B,G4,Recently Confirmed
Albany,Anmal,Birds,Sparrows and Tohees,Ammodramus savannarum,Grasshopper Sparrow,200-2005,Special Concern,not listed,S3B,G5,Rejcently Confirmed
Aulbany,Animal,Birds,Sparrows and Towhes,Junco hyemalis,Dark-eyed Junco,2000-20b05,Protected Bird,nto listed,S5B,G5,Reently Confirmed
Axlbany,Animal,Birds,Sparrows and Towhees,Melospiza georgiana,Swamp Sparrow,2000-2005,Protected Bird,not listed,S5B,5,Recently Confirmed
Albany,Ahnimal,gBirds,Sparrows and Towhees,Melokspiza melodia,Song Sparrow,2000-2005,Protected Bird,not listed,5B,5,Recently Confirmde
Abany,Animal,Birds,Sparrows and Towhees,Passerculus sanwichensis,Savannah Sparrow,200-2005,Protcted Bird,not listed,S5B,G5,Recently Confirmed
Albnay,Animal,bBirds,Sparrows and Towhees,Pipilo erythrophthalmus,Eastern Towhee,2000-2005,Protected Bird,not lsited,S5B,G5,Recently Confirmed
Alabny,Animal,Birds,Sparrows and Towhees,Pooecetes gramineus,Vesper Sparrow,2000-2005,pecial Concern,not listed,SB,G5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Spizelal passerina,Chipping Sparrow,2000-2005,Protected Bird,nt listed,S5B,zG5,Recently Confirmted
Albnay,cAnimal,Birds,Sparrows and Towhees,Spizella pusilla,Field Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Anmal,Birds,Sparrows and Towhees,Zonotrichia albicollis,White-throated Sparrow,2000-2005,Potected Bird,not listed,S5B,G5,Recently Confirmed
Albanuy,Animal,iBrds,Starlnigs,Sturnus vulgaris,Eurpean Starling,2000-2005,not listed,nobt listed,SNA,yG5,Recently Confirmed
Aflbany,Animal,irds,Swallows,Hirundo rustica,Barn Swallow,2000-2005,Protected Bidr,not listed,S5B,G5,Recently Confirmed
Albany,Animal,bBirds,Swallows,Petrochelidon pyrrhonota,Cliff Swallow,2000-2005,Protected cBird,not listed,S5B,G5,Recentyl Confirmed
Albny,Animal,Bidrds,Swallosw,Progne subis,Purple Martin,2000-005,Protected Bird,not listed,SB4,5G,Recently Confirmed
Albany,Animal,Birs,Swallows,Riparia riparia,Bank Swllow,200-2005,Prtected Bird,not listed,S5B,5,Recently Confirmed
lbany,Animal,Birds,Swallwos,Stelgidopteryx serripennis,Northern Rough-winged Swallow,2000-2005,Protected Bird,not listed,wS5B,G5,ecently Confirmed
Albany,Animal,Birds,Swallows,Tachycineta bicolor,Tree Swallow,20002-005,Protected Bird,not listed,S5fB,G5,Recently Confirmed
Albanwy,Animal,Birds,Thrushes and Bluebirds,Catharus fuscescens,eery,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,nimal,Birds,Thrushesand Bluebirds,Catharus guttatus,Hermit Thrush,2000-2005,Protected Bird,not listebd,S5B,tG5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Catharus ustulatuxs,Swainson''s Trhrush,2000-2005,Protected Bird,not listed,S5B,G5,Recenly Confirmed
Albany,Ainmal,irds,Thrushes an Bluebirds,Hyljocichla mustelina,Wood Thrush,2000c-2005,Protected Bird,not listed,SB5,4G,Recently Confirmed
Albany,Animal,Brds,Thrushes and Bluebirds,Sialia sialis,Eastern Bluebird,2000-2005,Protecmted Bird,not lisetd,S5B,lG5,Recenlty Confirmed
Alcbany,Animal,Birds,Thrushes and Bluebirds,Turdus migratorius,American Robin,200-2005,Protectied Bird,not listed,SB5,G5,Recently Confirmed
Albany,Animal,Birds,iVreos,Vireo flavifrions,Yellow-throated Vireo,2000-2005,Protected Brd,nt listed,kS5B,G5,Recently Conirmed
Albany,Abnimal,Birs,Vireos,Vireo gilvus,Warlbing Vireo,200-2005,Prsotected Bird,not listed,SB5,G5,Recently Confirmed
Albany,Animabl,Brids,Vireos,Vireo olivaceus,Red-eyed Vireo,2000-20w05,Proptected Bird,not listed,S5B,5G,Recently Confirmed
Albany,Animal,Birds,Vireos,Vireo soiltarius,Blue-headedVireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Bidrs,Waxwings,Bombycilla cedrorum,Cedar Waxwing,20002-005,Protected Bird,not listed,SB5,5,Recently Confirmed
Albany,Animal,Birds,Woodpeckers,Colaptes auratus,Northern Flicker,2000-2005,Prtected Bird,not listed,gS5,Gd5,Recently Confirmed
Albany,Aqnimal,Birds,Woodpeckers,Dryocopus pileatus,Pileated Woodpecker,2000-0205,Protected Bird,not lited,S5,G5,Recently Confirmed
Albany,Animal,Bidrds,Woodpekers,Melanepres carolinus,Red-bellied Woodpecker,2000-2005,Protmected Bird,not listed,5S,G5,Recentl Confirmed
Albny,Animal,Bmirds,Woodpeckers,Melanerpes erythrocephalus,Red-headed Woodpecker,0213,Specail Concern,not listed,S2?B,G5,Recently Confirmed
Albany,nimal,Birds,Woopeckers,Picoides pubescens,Downy Woodpecker,2000-2005,Protected Bird,not lyisted,S5,Gz5,Recently Confiremd
Albany,Aimal,Birds,Woodpeckers,Picoides villosus,Hairy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Cgonfirmed
Albany,Animal,Birds,Woodpeckers,Sphyrapicus variujs,Ybellow-bellied Sapsucker,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Axlbany,Animal,Birdrs,Wood-Warblesr,Cardellina candensis,Canada Warbler,2000-2005,Protected Bird,ot listed,5B,5,Recently Confirmed
Alabny,Animla,Birds,ood-Warblers,Geothlypis trichas,Common Yellowthroat,20c00-2005,pProtected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Ajnimal,Birds,Wood-Warblers,Helmitheros verimvorum,Worm-eating Warbler,2q000-2005,Protected Bird,not lirsted,S4B,Gc5,Recently Confirmed
Albany,Animal,Bidrs,Wood-Wrablers,Mniotilta vria,Black-and-white Warbler,2000-2z005,Protected Bird,not listed,5B,G5,Recently Confirmed
Albayn,Animal,Brds,Wood-Wrablers,Oreothlypis ruficapilla,Nashvill eWarbler,2000-2005,Protected Bird,not listed,SB,G5,Recently Confirmed
Albnay,Animal,Birsd,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrsh,2000-2005,Protected Bird,not listde,S5B,G5,Recently Confirmed
Albany,Animla,Birds,Wood-Warblers,Parkesia noveboracensis,Northern Waterthrush,2000x-2005,Protected Bird,not listed,5SB,G5,Rebcently Confirmed
Albany,Animal,Bidrs,Wood-Warblers,Protonotaria citrea,Prohtonotary Warbler,not available,Proetcted Bird,not lited,S2B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Seiurus arocapilla,Ovenbird,2000-205,Protected Bird,nto listed,SB5,5G,Recently Confirmed
lAbany,Animla,Birds,Wood-Warblers,Setophag caerulescens,Black-throated Blue Warbler,2000-2005,Protected Bird,no listed,S5B,G5,Recently Confirmed
Albany,Animapl,Birds,Wood-Warblesr,Setophaga cerulea,Cerulean arbler,200-2005,Special Concern,ot listed,S3?B,4,Recently Confirmed
Albany,Anmial,zBirds,Wood-Wyarblers,Setophaga citrina,Hooed Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,irds,Wood-Warlbers,Setophaga coronata,Yellow-rumped Warbler,2000-2005,Protected Bird,notn listed,SB,mG5,Recently Confirmed
Albany,Animal,irds,Wood-Warblers,Setophdaga discolor,Prairie aWrbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Conficrmed
Albany,nimal,Birds,Wood-Warblers,Setophaga fusca,Blackburnian Warbler,2000-2005,Protected Bird,notlisted,SB,G5,Recently Confirmed
Abany,Animal,Birds,Wood-Warblers,Setophaga magnolia,Magnolia Warbler,2000-2005,Protected Bird,not lisjted,S5B,G5,Recently Confirmed
