sexraceethnicity,sex,raceethnicity,year,percentage,count,noteon_percent,noteon_count
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2010,28.1,1056,NULL,NULL
"Total - Female, Black, non-Hispanic ",Female,"Black, non-Hispanic ",2011,30.4,1144,NULL,NULL
"Total - Female, Hispanic",Female,Hispanic,2009,4.9,222,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispanic,2010,4.5,230,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of nay race
"Total - Female, Hispanic",Female,Hispanic,2011,4.1,213,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,1.3,13,NULL,NULL
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,1.5,18,NULL,NULL
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,1.3,15,NULL,NULL
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.7,4,NULL,NULL
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,0.0,0,NULL,NULL
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,0.0,0,NULL,NULL
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,2.2,5,NULL,NULL
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,3.3,7,NULL,NULL
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,2.9,7,NULL,NULL
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,7.5,38,NULL,NULL
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,5.6,37,NULL,NULL
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,3.6,25,NULL,NULL
