246.raceethnicity,"Blback, non-Hispanic ","Black, non-Hispanic "
175.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
146.noteonpercent,Data not availaable.,Data not available.
246.sex,Fmale,Female
155.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
33.sex,Femlae,Female
278.sex,Fdemale,Female
149.noteonpercent,Data not availabel.,Data not available.
161.sexraceethnicity,Total ,"Total - Male, Hispanic"
225.sex,Femlae,Female
123.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
263.sex,Femalme,Female
200.raceethnicity,"American Indian/Alsaka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
219.raceethnicity,"Two or more racces, non-Hispanic","Two or more races, non-Hispanic"
294.sex,Feemale,Female
293.raceethnicity,"American Indian/Alaska Namtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
201.raceethnicity,"American India/nAlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
297.raceethnicity,"American Indian/Alaska Native, nqon-Hispanic","American Indian/Alaska Native, non-Hispanic"
148.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
257.raceethnicity,iHspanic,Hispanic
312.raceethnicity,"Two or more races, non-Hispanihc","Two or more races, non-Hispanic"
226.raceethnicity,"White, non-Hispanci","White, non-Hispanic"
232.raceethnicity,"hite, non-Hispanic","White, non-Hispanic"
177.sexraceethnicity,Total - Female,"Total - Male, Asian, non-Hispanic"
240.raceethnicity,"Black, nonn-Hispanic ","Black, non-Hispanic "
72.sexraceethnicity,Total - Male,Total - Hispanic
153.sexraceethnicity,Total - Male,"Total - Male, Black, non-Hispanic "
210.sexraceethnicity,Total ,"Total - Male, Two or more races, non-Hispanic"
43.noteonpercent,Data no tavailable.,Data not available.
253.raceethnicity,Hdispanic,Hispanic
117.sex,Femkale,Female
155.sex,Mnale,Male
71.raceethnicity,ispanic,Hispanic
264.raceethnicity,"Asqian, non-Hispanic","Asian, non-Hispanic"
116.raceethnicity,"Amercian Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
101.sexraceethnicity,Total - Male,"Total - Pacific Islander, non-Hispanic"
10.sex,Fsemale,Female
65.sex,emale,Female
272.sex,Femael,Female
306.noteonpercent,Data snot available.,Data not available.
252.sex,Fmemale,Female
255.sex,eFmale,Female
216.raceethnicity,"Two or mtore races, non-Hispanic","Two or more races, non-Hispanic"
77.sexraceethnicity,Total - Male,Total - Hispanic
266.raceethnicity,"sian, non-Hispanic","Asian, non-Hispanic"
112.sex,emale,Female
307.raceethnicity,"Two or more races, nozn-Hispanic","Two or more races, non-Hispanic"
118.sexraceethnicity,"Total - Black, non-Hispanic ","Total - Two or more races, non-Hispanic"
299.raceethnicity,"American Indian/Alaska Naive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
180.noteonpercent,Data not avaliable.,Data not available.
164.sexraceethnicity,Total - Male,"Total - Male, Hispanic"
165.sexraceethnicity,Total - Female,"Total - Male, Hispanic"
176.sexraceethnicity,Total - Female,"Total - Male, Asian, non-Hispanic"
251.raceethnicity,Hispnaic,Hispanic
260.raceethnicity,Hipsanic,Hispanic
132.sexraceethnicity,Total - Female,"Total - Male, White, non-Hispanic"
113.sexraceethnicity,"Total - Pacific Islander, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
111.noteonpercent,ata not available.,Data not available.
120.sexraceethnicity,"Total - Male, American Indian/Alaska Native, non-Hispanic","Total - Two or more races, non-Hispanic"
298.sex,Feumale,Female
279.raceethnicity,"Pacific Islande,r non-Hispanic","Pacific Islander, non-Hispanic"
231.noteonpercent,Data not availabhle.,Data not available.
30.noteonpercent,Data not avmailable.,Data not available.
71.sexraceethnicity,"Total - Male, Black, non-Hispanic ",Total - Hispanic
174.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
296.sex,Femalbe,Female
187.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
192.sexraceethnicity,Total - Male,"Total - Male, Pacific Islander, non-Hispanic"
63.sex,Feale,Female
233.raceethnicity,"White, vnon-Hispanic","White, non-Hispanic"
171.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
289.raceethnicity,"American Indian/Alaska Nativ,e non-Hispanic","American Indian/Alaska Native, non-Hispanic"
90.sexraceethnicity,Total - Male,"Total - Asian, non-Hispanic"
190.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
196.sexraceethnicity,"Total - Asian, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
127.sexraceethnicity,"Total - American Indian/Alaska Native, non-Hispanic","Total - Two or more races, non-Hispanic"
271.raceethnicity,"Asian, non-Hispdanic","Asian, non-Hispanic"
265.raceethnicity,"Asian ,non-Hispanic","Asian, non-Hispanic"
136.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
269.noteonpercent,Datanot available.,Data not available.
26.sex,Mae,Male
304.noteonpercent,Data not avilable.,Data not available.
88.sexraceethnicity,Total - Female,"Total - Asian, non-Hispanic"
36.raceethnicity,"American Indin/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
49.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
309.sex,Femle,Female
43.sexraceethnicity,Total ,"Total - White, non-Hispanic"
140.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
202.sexraceethnicity,"Total - Black, non-Hispanic ","Total - Male, American Indian/Alaska Native, non-Hispanic"
100.sexraceethnicity,Total - Female,"Total - Pacific Islander, non-Hispanic"
104.sexraceethnicity,Total - Male,"Total - Pacific Islander, non-Hispanic"
304.sex,Femael,Female
1.sex,Fmeale,Female
59.sexraceethnicity,Total ,"Total - Black, non-Hispanic "
208.sexraceethnicity,"Total - Pacific Islander, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
202.noteonpercent,Datanot available.,Data not available.
259.raceethnicity,Hispnic,Hispanic
121.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
310.raceethnicity,"Two or more races, non-iHspanic","Two or more races, non-Hispanic"
230.raceethnicity,"Whitfe, non-Hispanic","White, non-Hispanic"
76.noteonpercent,Data not availabe.,Data not available.
48.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
111.raceethnicity,"American Indian/Alaska Native, non-Hisanic","American Indian/Alaska Native, non-Hispanic"
207.raceethnicity,"Ameriacn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
204.sexraceethnicity,"Total - Pacific Islander, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
231.raceethnicity,"White, non-Hispanc","White, non-Hispanic"
278.raceethnicity,"Pacific Islande,r non-Hispanic","Pacific Islander, non-Hispanic"
28.sex,emale,Female
167.sexraceethnicity,Total ,"Total - Male, Hispanic"
247.raceethnicity,"Black, non-Hispanci ","Black, non-Hispanic "
232.sex,Fuemale,Female
241.sex,Femael,Female
194.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
295.noteonpercent,Data notu available.,Data not available.
86.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
180.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
282.raceethnicity,"Pacific Isalnder, non-Hispanic","Pacific Islander, non-Hispanic"
206.raceethnicity,"American Indan/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
172.sexraceethnicity,Total - Male,"Total - Male, Asian, non-Hispanic"
269.raceethnicity,"Asian, non-Hispanci","Asian, non-Hispanic"
252.raceethnicity,Hispanivc,Hispanic
306.raceethnicity,"Two or more races, non-Hispanci","Two or more races, non-Hispanic"
251.sex,iFemale,Female
154.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
224.noteonpercent,ata not available.,Data not available.
66.sexraceethnicity,Total ,Total - Hispanic
238.raceethnicity,"Black, non-Hispanc ","Black, non-Hispanic "
25.sex,Mael,Male
306.sex,emale,Female
13.sex,emale,Female
182.sexraceethnicity,Total - Female,"Total - Male, Asian, non-Hispanic"
48.sex,eFmale,Female
202.sex,Mael,Male
46.sexraceethnicity,Total ,"Total - White, non-Hispanic"
183.noteonpercent,Data not availableh.,Data not available.
32.sex,Femlae,Female
302.sex,Femeale,Female
17.sex,Mae,Male
50.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
45.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
108.raceethnicity,"AmericanI ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
215.raceethnicity,"Two or more rcaes, non-Hispanic","Two or more races, non-Hispanic"
111.sex,Femle,Female
35.sex,Femalje,Female
260.sex,Femaqle,Female
76.sexraceethnicity,Total ,Total - Hispanic
149.raceethnicity,"Black, non-Hipsanic ","Black, non-Hispanic "
125.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
304.raceethnicity,"Two or morer aces, non-Hispanic","Two or more races, non-Hispanic"
299.noteonpercent,Data not availauble.,Data not available.
242.raceethnicity,"Black, non-Hidspanic ","Black, non-Hispanic "
206.sex,ale,Male
44.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
57.sexraceethnicity,Total ,"Total - Black, non-Hispanic "
99.sexraceethnicity,Total - Male,"Total - Pacific Islander, non-Hispanic"
309.raceethnicity,"Two or more races, non-Hispnic","Two or more races, non-Hispanic"
219.noteonpercent,Data bnot available.,Data not available.
240.noteonpercent,Data not acvailable.,Data not available.
134.sex,Mael,Male
11.sex,Femle,Female
52.sexraceethnicity,Total - Male,"Total - White, non-Hispanic"
83.noteonpercent,Data not availabple.,Data not available.
239.raceethnicity,"Blac, non-Hispanic ","Black, non-Hispanic "
38.sex,Femle,Female
105.noteonpercent,Daat not available.,Data not available.
184.sexraceethnicity,Total - Female,"Total - Male, Pacific Islander, non-Hispanic"
182.noteonpercent,Data nota vailable.,Data not available.
283.sex,Femalwe,Female
216.sex,Mael,Male
93.sexraceethnicity,"Total - Black, non-Hispanic ","Total - Pacific Islander, non-Hispanic"
281.noteonpercent,Data not availabl.e,Data not available.
241.raceethnicity,"Black, non-Hispzanic ","Black, non-Hispanic "
84.sexraceethnicity,Total - Female,"Total - Asian, non-Hispanic"
144.raceethnicity,"Black, non-Hsipanic ","Black, non-Hispanic "
209.sexraceethnicity,Total ,"Total - Male, Two or more races, non-Hispanic"
130.noteonpercent,Data not avialable.,Data not available.
296.raceethnicity,"American Indian/Alaska Native, non-Hispnic","American Indian/Alaska Native, non-Hispanic"
178.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
42.sexraceethnicity,Total ,"Total - White, non-Hispanic"
250.sex,Fmeale,Female
167.noteonpercent,Data not xavailable.,Data not available.
269.sex,emale,Female
302.raceethnicity,"Tcwo or more races, non-Hispanic","Two or more races, non-Hispanic"
183.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
191.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
221.raceethnicity,"Two or more races, nonl-Hispanic","Two or more races, non-Hispanic"
273.raceethnicity,"sian, non-Hispanic","Asian, non-Hispanic"
307.sex,Femacle,Female
227.sex,Femae,Female
217.sex,Mae,Male
221.sex,Mlale,Male
229.raceethnicity,"White, nn-Hispanic","White, non-Hispanic"
115.sexraceethnicity,"Total - Black, non-Hispanic ","Total - American Indian/Alaska Native, non-Hispanic"
12.sex,Femlae,Female
254.sex,Femaile,Female
303.raceethnicity,"Two or more races, noxn-Hispanic","Two or more races, non-Hispanic"
89.sexraceethnicity,Total - Male,"Total - Asian, non-Hispanic"
217.raceethnicity,"Two or mor races, non-Hispanic","Two or more races, non-Hispanic"
185.sexraceethnicity,Total - Male,"Total - Male, Pacific Islander, non-Hispanic"
67.sexraceethnicity,Total ,Total - Hispanic
24.sex,Mael,Male
85.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
245.raceethnicity,"lack, non-Hispanic ","Black, non-Hispanic "
267.sex,emale,Female
55.sexraceethnicity,Total - Male,"Total - Black, non-Hispanic "
181.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
258.sex,Femle,Female
143.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
90.noteonpercent,Data not availble.,Data not available.
285.raceethnicity,"Pamcific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
114.raceethnicity,"Americn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
267.raceethnicity,"Asian, non-iHspanic","Asian, non-Hispanic"
168.sexraceethnicity,Total ,"Total - Male, Hispanic"
60.sexraceethnicity,Total - Male,"Total - Black, non-Hispanic "
22.sex,Mae,Male
233.sex,Femlae,Female
47.sexraceethnicity,Total ,"Total - White, non-Hispanic"
173.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
119.noteonpercent,Data not avainlable.,Data not available.
239.sex,Femae,Female
220.raceethnicity,"Two or wmore races, non-Hispanic","Two or more races, non-Hispanic"
220.sex,Malke,Male
75.noteonpercent,Data not availablde.,Data not available.
29.raceethnicity,"Americn Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
264.sex,Femael,Female
297.sex,Femle,Female
163.sexraceethnicity,Total ,"Total - Male, Hispanic"
95.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
290.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
298.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
158.noteonpercent,Data not avialable.,Data not available.
188.sexraceethnicity,Total ,"Total - Male, Pacific Islander, non-Hispanic"
238.sex,Femalbe,Female
271.sex,eFmale,Female
294.raceethnicity,"American Indianb/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
141.sex,Mael,Male
268.raceethnicity,"Asiwan, non-Hispanic","Asian, non-Hispanic"
231.sex,Fmeale,Female
56.raceethnicity,"Black, onn-Hispanic ","Black, non-Hispanic "
110.sexraceethnicity,"Total - Pacific Islander, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
193.sexraceethnicity,Total - Male,"Total - Male, Pacific Islander, non-Hispanic"
27.raceethnicity,"American Indian/Alaska Native, non-Hiaspanic","American Indian/Alaska Native, non-Hispanic"
234.raceethnicity,"White, nn-Hispanic","White, non-Hispanic"
158.sexraceethnicity,Total - Male,"Total - Male, Hispanic"
87.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
279.noteonpercent,Data ntot available.,Data not available.
134.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
253.sex,Femle,Female
243.raceethnicity,"Black, non-Hispanoic ","Black, non-Hispanic "
133.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
68.sexraceethnicity,Total ,Total - Hispanic
109.sex,Fmale,Female
281.raceethnicity,"Pacific Islander ,non-Hispanic","Pacific Islander, non-Hispanic"
139.sexraceethnicity,Total ,"Total - Male, White, non-Hispanic"
114.sex,emale,Female
21.sex,Mgale,Male
281.sex,Fmale,Female
283.noteonpercent,Reporting standarfds not met.,Reporting standards not met.
248.noteonpercent,Data not availabl.e,Data not available.
6.sex,Femae,Female
242.sex,Femael,Female
211.sexraceethnicity,Total - Male,"Total - Male, Two or more races, non-Hispanic"
295.sex,Femxale,Female
234.sex,Feemale,Female
79.sexraceethnicity,Total - Male,"Total - Asian, non-Hispanic"
146.sexraceethnicity,Total ,"Total - Male, Black, non-Hispanic "
109.raceethnicity,"American Indian/Alska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
214.sexraceethnicity,Total - Male,"Total - Male, Two or more races, non-Hispanic"
28.raceethnicity,"American Inian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
58.sexraceethnicity,Total ,"Total - Black, non-Hispanic "
213.noteonpercent,Data ot available.,Data not available.
276.sex,Femae,Female
284.sex,Femlae,Female
40.sexraceethnicity,"Total - Male, American Indian/Alaska Native, non-Hispanic","Total - White, non-Hispanic"
103.sexraceethnicity,Total - Male,"Total - Pacific Islander, non-Hispanic"
149.sex,ale,Male
273.sex,Femae,Female
56.sex,Femlae,Female
97.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
272.raceethnicity,"Asian, non-Hilspanic","Asian, non-Hispanic"
299.sex,eFmale,Female
254.noteonpercent,Data notavailable.,Data not available.
78.sexraceethnicity,Total ,Total - Hispanic
20.raceethnicity,"American IndianAlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
70.sexraceethnicity,Total - Female,Total - Hispanic
265.sex,Femlae,Female
236.raceethnicity,"Black, non-Hispxanic ","Black, non-Hispanic "
205.raceethnicity,"AmericanIndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
279.sex,Fegmale,Female
96.sex,Femael,Female
282.noteonpercent,Datanot available.,Data not available.
200.sex,Mle,Male
37.sex,Fenmale,Female
128.sexraceethnicity,Total - Female,"Total - Two or more races, non-Hispanic"
135.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
207.sex,ale,Male
159.sexraceethnicity,Total ,"Total - Male, Hispanic"
189.sexraceethnicity,Total - Female,"Total - Male, Pacific Islander, non-Hispanic"
280.sex,emale,Female
312.sex,Fejmale,Female
91.sexraceethnicity,Total ,"Total - Asian, non-Hispanic"
40.noteonpercent,Dat not available.,Data not available.
94.sexraceethnicity,Total ,"Total - Pacific Islander, non-Hispanic"
227.raceethnicity,"White,non-Hispanic","White, non-Hispanic"
240.sex,Feale,Female
54.sexraceethnicity,Total - Male,"Total - Black, non-Hispanic "
90.sex,Feale,Female
137.sex,Maele,Male
286.noteonpercent,Reoprting standards not met.,Reporting standards not met.
4.sex,Femael,Female
284.raceethnicity,"Pacific Islnder, non-Hispanic","Pacific Islander, non-Hispanic"
258.raceethnicity,Hspanic,Hispanic
126.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
246.noteonpercent,Data not avaialble.,Data not available.
130.sexraceethnicity,Total - Male,"Total - Two or more races, non-Hispanic"
61.sexraceethnicity,Total - Female,"Total - Black, non-Hispanic "
7.sex,Femael,Female
129.sexraceethnicity,Total ,"Total - Two or more races, non-Hispanic"
64.sexraceethnicity,Total ,"Total - Black, non-Hispanic "
95.sex,emale,Female
20.sex,Manle,Male
203.raceethnicity,"American Indian/Alaska Native, non-ispanic","American Indian/Alaska Native, non-Hispanic"
36.sex,Femael,Female
162.sexraceethnicity,Total ,"Total - Male, Hispanic"
268.sex,Fzemale,Female
81.sexraceethnicity,Total - Male,"Total - Asian, non-Hispanic"
270.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
286.raceethnicity,"Pacific Islande,r non-Hispanic","Pacific Islander, non-Hispanic"
58.sex,eFmale,Female
51.sexraceethnicity,Total ,"Total - White, non-Hispanic"
92.sexraceethnicity,"Total - Black, non-Hispanic ","Total - Pacific Islander, non-Hispanic"
259.sex,Femlae,Female
293.sex,Feemale,Female
112.raceethnicity,"American Indian/Alaska Native,s non-Hispanic","American Indian/Alaska Native, non-Hispanic"
41.sexraceethnicity,Total ,"Total - White, non-Hispanic"
205.sex,ale,Male
102.sex,Fefmale,Female
257.sex,Fmeale,Female
179.sexraceethnicity,Total ,"Total - Male, Asian, non-Hispanic"
9.sex,Fmale,Female
62.sexraceethnicity,Total - Female,"Total - Black, non-Hispanic "
255.raceethnicity,Hispxanic,Hispanic
292.sex,emale,Female
285.sex,Feale,Female
142.sexraceethnicity,Total - Male,"Total - Male, White, non-Hispanic"
198.sexraceethnicity,"Total - Pacific Islander, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
169.sexraceethnicity,Total ,"Total - Male, Hispanic"
23.sex,gMale,Male
230.sex,Femael,Female
270.sex,Fmeale,Female
