33.superintendentemail,skinsey@beaver.k12.ok.su,skinsey@beaver.k12.ok.us
422.websiteurl,www.sallisawps.rg,www.sallisawps.org
256.superintendent,Patricia eville,Patricia Deville
227.fax,(580)652-3118,(580) 652-3118
311.address,7v01 Belt Ave.,701 Belt Ave.
169.fax,(580v) 487-3368,(580) 487-3368
417.websiteurl,www.rwolandschools.org,www.rolandschools.org
386.phone,918) 432-5062,(918) 432-5062
364.address,606 East 6th t,606 East 6th St
530.fax,(045) 745-6322,(405) 745-6322
76.phone,(918) 563-4331,(580) 889-1996
473.websiteurl,www.tecumseh.k12.ok.wus,www.tecumseh.k12.ok.us
364.city,Owlustee,Olustee
150.boardpresident,Steve Jenpsen,Steve Jensen
327.city,Altsu,Altus
267.statevalue,sOK,OK
435.websiteurl,wwws.equoyaheagles.net,www.sequoyaheagles.net
74.code,33-I018,40-I017
2.statevalue,K,OK
131.fax,(918) 94d9-4269,(918) 949-4269
171.address,500 Sosuth Ross Ave.,500 South Ross Ave.
363.boardpresident,Matt Hodsn,Matt Hodson
88.city,Chrandler,Chandler
103.countyname,DELAWARE    ***,DELAWARE    
420.address,1201 Washington t,1201 Washington St
386.superintendentemail,cgraham@pittsburg.k12f.ok.us,cgraham@pittsburg.k12.ok.us
77.code,19-C035,74-I018
383.address,713 Piedmont Road Nroth,713 Piedmont Road North
437.superintendent,Bruec Gillham,Bruce Gillham
463.districtname,STROToHER                      ,STROTHER                      
139.fax,5(80) 223-7947,(580) 223-7947
45.code,19-C035,36-I045
330.websiteurl,www.newkirkpscom,www.newkirkps.com
235.statevalue,OxK,OK
41.code,63-I112,52-I002
549.boardpresident,Jamie Williamosn,Jamie Williamson
363.address,9352 South 436th est Ave.,9352 South 436th West Ave.
122.phone,(405) 427-371,(405) 427-3771
96.superintendent,oydon Tilley,Roydon Tilley
205.phone,(918) 297-226,(918) 297-2626
381.superintendent,James aRmsey,James Ramsey
99.code,55-Z005,46-I032
257.city,iowa,Kiowa
118.boardpresident,arl Williams,Carl Williams
496.superintendent,Muatthew Simpson,Matthew Simpson
145.websiteurl,www.dnucanps.org,www.duncanps.org
69.superintendentemail,randy.baett@cacheps.org,randy.batt@cacheps.org
466.superintendent,sGary Jones,Gary Jones
76.code,19-C035,03-I026
83.phone,(580) 857-2417,(918) 266-8603
480.boardpresident,Chris Clitf,Chris Clift
550.phone,(918) 8462467,(918) 846-2467
426.districtname,SAPULPA                      ,SAPULPA                       
325.code,a09-I069,09-I069
183.websiteurl,www.garbre.k12.ok.us/,www.garber.k12.ok.us/
404.boardpresident,Batr Howell,Bart Howell
325.statevalue,KO,OK
188.countyname,CCURTAIN   ,MCCURTAIN   
194.phone,(580) 47-5237,(580) 479-5237
408.districtname,REYDON                     d   ,REYDON                        
312.districtname,MONROE                        ***,MONROE                        
132.boardpresident,Jkohn Robertson,John Robertson
256.boardpresident,Ryo King,Roy King
369.fax,(918) 336-438,(918) 336-4238
65.boardpresident,Terry Graxham,Terry Graham
417.statevalue,K,OK
356.address,107 WestD ate St,107 West Date St
504.countyname,PONTOTO C   ,PONTOTOC    
22.websiteurl,www.asher.k12.o.us,www.asher.k12.ok.us
278.code,3p8-I002,38-I002
336.superintendent,Leon Ashlfock,Leon Ashlock
433.boardpresident,iBlal Erturk,Bilal Erturk
164.city,Fehlt,Felt
316.countyname,NOBLE    d   ,NOBLE       
8.websiteurl,www.alex.k12.ok.su/,www.alex.k12.ok.us/
21.phone,(918) 785-2424,(580) 885-7811
397.websiteurl,www.preston.k1.ok.us/,www.preston.k12.ok.us/
533.fax,(45) 257-2303,(405) 257-2303
347.phone,(405) 605-6200,(405) 605-2600
32.code,64-C002,54-C029
324.countyname,MUSKOGEEy    ,MUSKOGEE    
275.fax,(y405) 729-4666,(405) 729-4666
391.superintendent,Joel Qvuinn,Joel Quinn
544.fax,(91j8) 456-5015,(918) 456-5015
31.code,57-C035,48-I071
19.superintendentemail,sbates@rdmoreschools.org,sbates@ardmoreschools.org
181.city,Gagfe,Gage
366.phone,(580) 338-6y712,(580) 338-6712
280.address,21132 Est 640 Road,21132 East 640 Road
82.phone,(405) 784-2331,(405) 433-2741
383.superintendent,James Whtie,James White
417.address,300 sRanger Blvd.,300 Ranger Blvd.
400.countyname,MAEYS       ,MAYES       
503.statevalue,K,OK
412.city,El Renoo,El Reno
198.city,Bunnch,Bunch
127.superintendentemail,cgarrison@darlingtn.k12.ok.us,cgarrison@darlington.k12.ok.us
465.boardpresident,Bobby alley,Bobby Talley
241.superintendentemail,cjohnson@jonsehs.k12.ok.us,cjohnson@joneshs.k12.ok.us
218.superintendent,Dwyne Noble,Dwayne Noble
381.fax,(45) 547-2020,(405) 547-2020
238.websiteurl,www.jeksps.org,www.jenksps.org
15.superintendentemail,chackney@apswarrors.com,chackney@apswarriors.com
296.websiteurl,ww.mcalester.k12.ok.us,www.mcalester.k12.ok.us
188.statevalue,yOK,OK
167.city,Laton,Lawton
126.boardpresident,Rbin Wiley-Greene,Robin Wiley-Greene
194.fax,(580) 4g79-3381,(580) 479-3381
131.countyname,TULSA      ,TULSA       
35.districtname,BELFONTE   i                   ,BELFONTE                      
101.code,07-I003,66-I001
219.fax,(918) 63-8725,(918) 683-8725
96.code,58-I026,24-I042
453.superintendentemail,chunteyr@springer.k12.ok.us,chunter@springer.k12.ok.us
515.superintendentemail,cnshaw@wanette.k12.ok.us,cshaw@wanette.k12.ok.us
373.districtname,PANOLA        x                ,PANOLA                        
319.superintendent,lfred Gaches,Alfred Gaches
141.websiteurl,www.dove.rk12.ok.us,www.dover.k12.ok.us
51.code,55-Z005,08-I056
255.statevalue,KO,OK
222.superintendentemail,brown@hodgen.k12.ok.us,wbrown@hodgen.k12.ok.us
52.code,64-C002,12-I001
259.code,6m1-C009,61-C009
270.code,68-C01,68-C001
404.districtname,QUINTON                       ***,QUINTON                       
288.boardpresident,David Bidlerback,David Bilderback
36.districtname,BENNINGTON      m              ,BENNINGTON                    
88.code,46-I002,41-I001
199.code,34-C003,43-C003
53.code,26-I056,67-I003
259.superintendentemail,ptulrner@krebs.k12.ok.us,pturner@krebs.k12.ok.us
387.countyname,CRTER      ,CARTER      
438.code,77f-I003,77-I003
49.code,64-C002,13-I002
50.phone,(918) 446-1966,(918) 969-2491
48.districtname,BLUEJACEKT                    ,BLUEJACKET                    
479.countyname,CUSTE      ,CUSTER      
20.code,57-C035,40-I091
82.code,46-I002,37-I089
229.superintendent,Tod aHrrison,Tod Harrison
297.websiteurl,www.mccord.1k2.ok.us,www.mccord.k12.ok.us
90.phone,(405) 990-2282,(918) 473-5610
136.superintendent,Todd Bleen,Todd Been
173.phone,(508) 873-2712,(580) 873-2712
14.phone,(918) 785-2424,(405) 224-5768
420.countyname,JEFFERSOqN   ,JEFFERSON   
492.code,15-I02,15-I002
438.address,210 S Mapel St,210 S Maple St
2.websiteurl,www.achilleisd.okrg/,www.achilleisd.org/
70.phone,(405) 785-2605,(580) 367-2208
462.websiteurl,www.stringtown.k1.2ok.us,www.stringtown.k12.ok.us
31.fax,(580 )241-7847,(580) 241-7847
298.websiteurl,www.mcdcurtain.k12.ok.us,www.mccurtain.k12.ok.us
505.fax,(405) 382-8j618,(405) 382-8618
224.superintendent,Jennifeor Mcqueen,Jennifer Mcqueen
523.superintendent,David oPwell,David Powell
385.code,2-4I056,24-I056
429.code,5-I031,05-I031
276.websiteurl,www.lonegrove.k21.ok.us,www.lonegrove.k12.ok.us
243.superintendent,Davidx Garroutte,David Garroutte
101.phone,(918) 923-2400,(918) 923-4200
249.districtname,KEYES                        ,KEYES                         
127.fax,(405) 2623215,(405) 262-3215
461.address,341 North lEm St,341 North Elm St
27.phone,(405) 785-2605,(580) 646-3385
194.code,71I-249,71-I249
25.city,Tsuhka,Tushka
236.phone,a(405) 835-2133,(405) 835-2133
192.code,54-054,54-I054
109.statevalue,K,OK
281.websiteurl,www.dbcschool.iorg,www.dbcschool.org
236.statevalue,K,OK
120.countyname,OKLAHOM A   ,OKLAHOMA    
30.code,20-I005,74-I030
382.boardpresident,Aaron rFable,Aaron Frable
304.fax,(405e) 485-3204,(405) 485-3204
414.districtname,RCK CREEK                    ,ROCK CREEK                    
86.superintendent,Larrhy G. Henson,Larry G. Henson
31.phone,(580) 226-7650,(580) 241-7810
234.address,900 Southw Hwy 113,900 South Hwy 113
254.boardpresident,Michael oCpeland,Michael Copeland
496.websiteurl,tushk.ak12.ok.us,tushka.k12.ok.us
154.superintendent,Donny Dzarrow,Donny Darrow
162.districtname,FANSHAWE                     ,FANSHAWE                      
516.boardpresident,Jeff Baxter***,Jeff Baxter
144.superintendentemail,kbrown@dukeschool.com,kbrown@dukeschools.com
85.code,64-C002,08-I160
534.phone,(98) 256-4484,(918) 256-4484
454.boardpresident,Joe Joier,Joe Joiner
547.boardpresident,James Carpejr,James Carper
231.superintendent,Bill Derrbyerry,Bill Derryberry
143.boardpresident,Anthoy Sylvester,Anthony Sylvester
104.fax,(9g18) 358-3071,(918) 358-3071
95.fax,(045) 222-6590,(405) 222-6590
281.superintendent,Kurt Nemal,Kurt Neal
496.fax,(580) 889-6v144,(580) 889-6144
546.websiteurl,www.woodwardps.nnet,www.woodwardps.net
417.superintendent,Paul Wood***,Paul Wood
522.countyname,JEvFFERSON   ,JEFFERSON   
260.phone,(58)0 874-2284,(580) 874-2284
319.websiteurl,www.moundspsc.om,www.moundsps.com
283.phone,(405) 598-389g2,(405) 598-3892
486.address,2525 S 1a01St East Ave.,2525 S 101St East Ave.
54.code,07-I003,57-C007
433.city,Oklahom aCity,Oklahoma City
346.phone,(405) 720-4322,(405) 702-4322
134.websiteurl,www.ednison.k12.ok.us,www.denison.k12.ok.us
115.superintendentemail,jdaniel@cotqtonwoodps.org,jdaniel@cottonwoodps.org
166.phone,(580) 549w-3016,(580) 549-3016
56.code,20-I005,69-I042
121.websiteurl,www.crowder.k12.o.us,www.crowder.k12.ok.us
469.city,Tahlewquah,Tahlequah
39.code,58-I026,63-I003
92.code,44-I004,02-I046
433.zip,75027.0,74960.0
366.city,Optmia,Optima
358.city,Bartlesvlile ,Bartlesville 
190.statevalue,K,OK
65.phone,(405) 785-2605,(580) 431-2501
425.websiteurl,www.bcschool.org,www.dbcschool.org
84.statevalue,KO,OK
328.countyname,SEMIxNOLE    ,SEMINOLE    
51.phone,(918) 263-2135,(580) 588-3369
529.phone,(405) 365-2534,(405) 356-2534
124.countyname,CADDO       ***,CADDO       
312.superintendent,Kareno Larosa,Karen Larosa
63.superintendent,Martin Aams,Martin Adams
72.city,Calmuet,Calumet
95.phone,(580) 283-3775,(405) 222-6500
73.superintendent,Chrisopher Karch,Christopher Karch
102.districtname,CLAYTON                      ,CLAYTON                       
41.phone,(918) 563-4331,(580) 725-3271
200.superintendent,Sandy Jo Coly,Sandy Jo Coaly
259.phone,(981) 426-4700,(918) 426-4700
341.address,632 West Oklahoam Ave.,632 West Oklahoma Ave.
245.superintendent,Joe Piere,Joe Pierce
370.code,72-pI011,72-I011
19.code,44-I004,10-I019
153.countyname,BECKHAM     ***,BECKHAM     
111.statevalue,KO,OK
513.superintendent,Jim Ogdgen,Jim Ogden
134.fax,(580 )286-5743,(580) 286-5743
97.code,58-I026,07-K002
83.code,75-I010,66-I002
527.phone,918) 788-3129,(918) 788-3129
345.phone,(405) 06-8742,(405) 606-8742
317.fax,(918) 422-j5971,(918) 422-5971
520.boardpresident,Meliss aReynolds,Melissa Reynolds
28.phone,(918) 263-2135,(405) 262-0598
183.boardpresident,Lacey Deesd,Lacey Deeds
13.superintendent,Steveu Parkhurst,Steve Parkhurst
317.phone,(18) 505-1000,(918) 505-1000
531.address,500 W Chncapin,500 W Chincapin
177.superintendentemail,dmccuiston@freedomk.12.ok.us,dmccuiston@freedom.k12.ok.us
57.code,63-I112,26-I095
62.fax,(91o8) 775-3638,(918) 775-3638
173.superintendentemail,supt@frottowson.k12.ok.us,supt@forttowson.k12.ok.us
122.districtname,CRUTCHO                      ,CRUTCHO                       
65.superintendentemail,gelliott@burlingtosnchool.com,gelliott@burlingtonschool.com
182.code,68-0I04,68-I004
276.boardpresident,DarrylH oward,Darryl Howard
201.superintendent,Sheirl Payne,Sheril Payne
424.boardpresident,iMllard Jones,Millard Jones
387.districtname,PLAINVIEW                     ***,PLAINVIEW                     
47.districtname,BLANCHARD                    ,BLANCHARD                     
292.superintendent,oLri Means,Lori Means
124.phone,(580) 446-2419,(580) 464-2419
344.boardpresident,Bilal Erurk,Bilal Erturk
174.superintendent,Bret Phelps,Brent Phelps
525.districtname,WEATHREFORD                   ,WEATHERFORD                   
99.phone,(918) 267-3628,(918) 476-8376
422.boardpresident,Jasosn Ely,Jason Ely
87.code,33-I018,69-I034
308.code,35I-002,35-I002
528.websiteurl,wwwweleetka.k12.ok.us,www.weleetka.k12.ok.us
151.superintendent,Mchael Parsons,Michael Parsons
511.fax,(918) 256-567,(918) 256-5617
526.countyname,MUSOKGEE    ,MUSKOGEE    
30.websiteurl,www.bps-nok.org,www.bps-ok.org
213.code,4-I006,48-I006
186.address,201E ast Lone Chimney,201 East Lone Chimney
140.superintendentemail,alpdoveschools.org,alp@doveschools.org
62.phone,(580) 298-5504,(918) 775-4458
253.statevalue,KO,OK
230.superintendentemail,mdewoody@hulbertriders.caom,mdewoody@hulbertriders.com
293.superintendentemail,amsonsupt@mason.k12.ok.us,masonsupt@mason.k12.ok.us
194.websiteurl,www.grandfield.k12.xok.us/,www.grandfield.k12.ok.us/
159.fax,(918 689-1080,(918) 689-1080
25.districtname,ATOK-COAL COUNTIES (ILC)    ,ATOKA-COAL COUNTIES (ILC)    
382.countyname,ONBLE       ,NOBLE       
11.phone,(918) 375-2261,(918) 224-4440
73.code,55-Z005,32-I048
151.phone,(580) 63-32219,(580) 633-2219
73.fax,(405 )645-2384,(405) 645-2384
305.superintendentemail,bdouglas@midwahy.k12.ok.us,bdouglas@midway.k12.ok.us
346.fax,(405) 6010-904,(405) 601-0904
99.boardpresident,James Gorssman,James Grossman
27.code,44-I004,04-I075
448.address,17800 South Rock Cree kRoad,17800 South Rock Creek Road
473.districtname,TECUMSEH                      ***,TECUMSEH                      
66.phone,(918) 245-0289,(580) 562-4844
306.websiteurl,www.md-del.net,www.mid-del.net
248.superintendent,Pete Hviseley,Pete Hiseley
51.superintendent,Don Schnberger,Don Schneberger
517.countyname,MUKOGEE    ,MUSKOGEE    
35.code,19-C035,68-C050
64.phone,(918) 245-0289,(918) 522-4426
464.boardpresident,John Coko,John Cook
426.countyname,REEK       ,CREEK       
219.superintendentemail,kcoody@hilldleps.org,kcoody@hilldaleps.org
242.address,35607 Ew 1310,36507 Ew 1310
361.code,56-nI001,56-I001
155.statevalue,K,OK
44.fax,(918 366-4241,(918) 366-4241
14.code,64-C002,26-I128
255.address,e400 Ne 3Rd,400 Ne 3Rd
115.countyname,COzAL        ,COAL        
125.statevalue,KO,OK
205.boardpresident,Ruty Johnson,Rusty Johnson
219.countyname,MUSpKOGEE    ,MUSKOGEE    
131.code,2-G001,72-G001
215.superintendent,Trery Shaw,Terry Shaw
78.websiteurl,www.canton.k12.oku.s/,www.canton.k12.ok.us/
166.countyname,COMANCHeE    ,COMANCHE    
73.districtname,CALVIN                       ,CALVIN                        
177.boardpresident,Joe Jessp,Joe Jessup
176.superintendentemail,svanderburg@rederickbombers.net,svanderburg@frederickbombers.net
95.code,55-Z005,26-I001
120.address,1405 S Eastern Aveneue,1450 S Eastern Aveneue
513.code,51-0C09,51-C009
285.fax,(580) 782-2331,(580) 782-2313
256.phone,(918) 678-3338,(918) 768-3338
83.superintendent,Rimck Kibbe,Rick Kibbe
512.boardpresident,Brend aBarney,Brenda Barney
313.code,14I-002,14-I002
246.code,1-C030,21-C030
49.phone,(580) 857-2417,(580) 544-3110
272.statevalue,wOK,OK
133.countyname,GRAT       ,GRANT       
29.code,33-I018,57-I029
454.superintendent,JulieP oteete,Julie Poteete
219.address,500 East Smith Ferry Rod,500 East Smith Ferry Road
432.countyname,ESMINOLE    ,SEMINOLE    
313.statevalue,OtK,OK
219.districtname,HILLDALE                      ***,HILLDALE                      
132.fax,(405) 34-83049,(405) 348-3049
6.districtname,AGRA                         ,AGRA                          
452.websiteurl,www.spir.k12.ok.us,www.spiro.k12.ok.us
433.superintendent,Umit Aplaslan,Umit Alpaslan
431.city,Seliing,Seiling
221.countyname,KIOWA    h   ,KIOWA       
259.boardpresident,Bill Pembeton,Bill Pemberton
333.fax,(405)h 366-5851,(405) 366-5851
169.address,504 eWst Main,504 West Main
43.code,76-I001,16-C049
484.districtname,TRI-COUNTY (ILCa)               ,TRI-COUNTY (ILC)               
243.websiteurl,www.justustiawa.com,www.justustiawah.com
74.districtname,CAMERON             i          ,CAMERON                       
74.countyname,LE FLORE    ***,LE FLORE    
275.countyname,KINGFISeHER  ,KINGFISHER  
79.code,19-C035,75-I011
81.phone,(580) 481-2100,(405) 865-2344
390.districtname,PONCA CITY            r        ,PONCA CITY                    
98.address,12880 Nrotheast Tenth St,12880 Northeast Tenth St
346.websiteurl,www.hardnigfinearts.org,www.hardingfinearts.org
69.phone,(918) 336-8600,(580) 429-3266
310.statevalue,KO,OK
121.boardpresident,Chester Mson,Chester Mason
210.websiteurl,www.harrahschools.com***,www.harrahschools.com
539.countyname,MAEYS       ,MAYES       
81.code,64-I013,41-I105
93.phone,(918) 366-2200,(918) 453-5400
513.phone,(9c18) 474-3484,(918) 474-3484
513.countyname,MUSKOGEE   h ,MUSKOGEE    
451.phone,(918) 288-6285,(918) 288-6258
94.phone,(580) 310-7200,(580) 497-3371
481.countyname,TLILMAN     ,TILLMAN     
282.fax,(405) 2i77-3498,(405) 277-3498
188.boardpresident,Jamiev Stewart,Jamie Stewart
271.countyname,TULSA    o   ,TULSA       
97.phone,(918) 563-4331,(580) 931-0691
461.city,Stratforad,Stratford
65.code,26-I056,02-I001
363.code,91-I017,19-I017
25.phone,(918) 785-2424,(580) 889-2664
337.code,60-C1h04,60-C104
519.superintendentemail,billseitter@watongae.k12.ok.us,billseitter@watonga.k12.ok.us
470.code,40d-I052,40-I052
181.code,2-3I039,23-I039
39.phone,(405) 785-2605,(405) 273-0385
553.superintendentemail,jason.simeroth@ywukonps.com,jason.simeroth@yukonps.com
139.code,10I077,10-I077
555.phone,(918) 696-7866***,(918) 696-7866
365.superintendent,Max Tanenr,Max Tanner
281.phone,(508) 584-6834,(580) 584-6834
521.districtname,WAUKOMIS           i           ,WAUKOMIS                      
434.boardpresident,Rusty Shileds,Rusty Shields
54.phone,(918) 563-4331,(918) 336-6892
159.countyname,MCINTOiSH    ,MCINTOSH    
203.districtname,GUYMON                       ,GUYMON                        
213.fax,(580r) 245-2265,(580) 245-2265
239.code,9-C002,59-C002
464.superintendentemail,jvantuylr@stroud.k12.ok.us,jvantuyl@stroud.k12.ok.us
446.address,810 St. Luois St.,810 St. Louis St.
527.address,707 gS Curtis St,707 S Curtis St
532.statevalue,KO,OK
239.countyname,PAWsNEE      ,PAWNEE      
188.address,701 Lavendre Rd.,701 Lavender Rd.
315.countyname,OKMULGE E   ,OKMULGEE    
367.countyname,MAYE       ,MAYES       
341.countyname,KINkGFISHER  ,KINGFISHER  
50.code,55-Z005,40-I026
315.superintendentemail,jlyons@hmorrisschools.net,jlyons@morrisschools.net
35.phone,(405) 785-2605,(918) 427-3522
490.superintendentemail,cwilliams@tulmsalegacy.org,cwilliams@tulsalegacy.org
25.code,55-Z005,03-K002
111.countyname,STEPHENS    ***,STEPHENS    
117.superintendent,Jeff Hoplmes,Jeff Holmes
433.websiteurl,wpww.dbcschool.org,www.dbcschool.org
397.code,56-I050,56-I005
424.city,Tusa,Tulsa
191.superintendent,Miek Jones,Mike Jones
406.fax,(580)371-3067,(580) 371-3067
350.websiteurl,www.kippreach.org***,www.kippreach.org
29.phone,(405) 247-6605,(918) 847-2271
530.phone,(40) 350-3410,(405) 350-3410
70.code,44-I004,07-I005
179.address,48 Frink Rd,485 Frink Rd
87.statevalue,K,OK
86.phone,(918) 875-3351,(918) 775-5525
158.superintendent,Jeff Kelly***,Jeff Kelly
36.phone,(405) 990-2282,(580) 847-2737
282.statevalue,K,OK
441.fax,(918) 793-0261,(918) 793-2061
91.code,64-C002,66-I003
426.statevalue,K,OK
256.fax,(9x18) 768-3221,(918) 768-3221
175.statevalue,KO,OK
310.phone,(405) 352-48b67,(405) 352-4867
101.superintendentemail,mmcclaren@clarwemore.k12.ok.us,mmcclaren@claremore.k12.ok.us
537.boardpresident,oyce Alverson,Royce Alverson
509.fax,(918) w773-3051,(918) 773-3051
89.phone,(405) 784-2331,(580) 597-3347
38.code,64-I013,55-I088
448.fax,(405) 273-8296,(405) 273-8926
478.statevalue,KO,OK
261.superintendent,Roland Smth,Roland Smith
345.statevalue,OlK,OK
122.websiteurl,dwww.crutchoesd.org,www.crutchoesd.org
37.superintendentemail,mike.champbell@berryhillschools.org,mike.campbell@berryhillschools.org
533.code,67u-I002,67-I002
160.districtname,FAIRLAND                    i  ,FAIRLAND                      
22.districtname,SHER                         ,ASHER                         
376.address,1801 Mckenzie Raod,1801 Mckenzie Road
23.countyname,OKAHOMA    ,OKLAHOMA    
396.countyname,LINCOLN     ***,LINCOLN     
164.websiteurl,www.felt.12.ok.us/,www.felt.k12.ok.us/
532.code,32-I050,32-I005
225.districtname,HOLLY CREEK                  ,HOLLY CREEK                   
84.code,64-C002,01-I030
168.superintendentemail,john.smih@forestgrove.k12.ok.us,john.smith@forestgrove.k12.ok.us
152.address,Hwyk 17 & Mighty Owl Ave.,Hwy 17 & Mighty Owl Ave.
182.boardpresident,Jesse Jamse,Jesse James
395.websiteurl,www.gpoteau.k12.ok.us,www.poteau.k12.ok.us
425.statevalue,K,OK
530.code,55I041,55-I041
13.phone,(918) 257-4470,(580) 327-4823
145.boardpresident,Eric aDvis,Eric Davis
123.superintendent,Koln Kniht,Koln Knight
502.boardpresident,ohn Everett,John Everett
114.boardpresident,Rnady Abernathy,Randy Abernathy
98.code,63-I112,55-I004
376.superintendent,andon Berry,Landon Berry
227.city,Hookr,Hooker
23.code,63-I112,55-G004
85.phone,(405) 990-2282,(405) 489-3216
169.websiteurl,ww.forgan.k12.ok.us,www.forgan.k12.ok.us
49.statevalue,sOK,OK
108.address,433 South Laurmon,433 South Larmon
388.city,Shawneve,Shawnee
376.phone,(918) 287-1625,(918) 287-1265
292.city,Stilell,Stilwell
75.phone,(580) 481-2100,(918) 339-7251
544.superintendentemail,lclink@woodal.lk12.ok.us,lclink@woodall.k12.ok.us
148.city,Earlsbro,Earlsboro
151.address,2a00 North 7th St,200 North 7th St
444.superintendent,Delbert Mbcroom,Delbert Mcbroom
434.superintendent,ason Goostree,Jason Goostree
31.city,Brkoen Bow,Broken Bow
499.city,kOmulgee,Okmulgee
427.websiteurl,wjww.sasakwaschools.org/,www.sasakwaschools.org/
69.code,46-I002,16-I001
97.boardpresident,Jarvis Dobs,Jarvis Dobbs
52.phone,(918) 336-8600,(580) 566-2558
539.fax,(918) 434-a3592,(918) 434-3592
182.superintendent,Larry alloway,Larry Calloway
262.city,Tulssa,Tulsa
499.countyname,OKiMULGEE    ,OKMULGEE    
106.code,r15-I001,15-I001
141.superintendent,Shanonon Grimes,Shannon Grimes
434.countyname,WASHITA     ***,WASHITA     
112.districtname,COMMERCE                     ,COMMERCE                      
96.boardpresident,Aaron Harmlon,Aaron Harmon
515.fax,(4a05) 383-2449,(405) 383-2449
94.code,64-I013,65-I007
273.superintendentemail,jy.thomas@littleaxeps.org,jay.thomas@littleaxeps.org
252.websiteurl,www.kiefer.k12.k.us,www.kiefer.k12.ok.us
435.superintendentemail,terry.saul@sequoyaheagle.net,terry.saul@sequoyaheagles.net
487.websiteurl,www.collegiatehall.org***,www.collegiatehall.org
52.districtname,BOWSELL                       ,BOSWELL                       
446.superintendent,Soctt Van Worth,Scott Van Worth
162.websiteurl,www.dbccshool.org,www.dbcschool.org
38.phone,(918) 267-3628,(405) 789-3801
421.phone,(918) 434-5019,(918) 434-5091
529.code,41I-004,41-I004
240.city,Oklahoam City,Oklahoma City
290.fax,(580) 276-437,(580) 276-4037
396.code,41-kI103,41-I103
547.phone,(580)9 81-2824,(580) 981-2824
79.phone,(580) 857-2417,(580) 472-3295
64.code,55-Z005,39-I003
476.countyname,JEFFERSONg   ,JEFFERSON   
551.superintendentemail,dbledsoe@yale.k12ok.us,dbledsoe@yale.k12.ok.us
292.address,"gRural Route 6, Box 2840","Rural Route 6, Box 2840"
433.address,100 Baison Dr.,100 Bison Dr.
71.code,58-I026,07-I048
126.countyname,POTTAWATdOMIE,POTTAWATOMIE
232.districtname,IDABEL                y        ,IDABEL                        
439.websiteurl,www.shattukc.k12.ok.us,www.shattuck.k12.ok.us
523.city,Waqyne,Wayne
316.address,2Nd StA nd C Ave.,2Nd St And C Ave.
351.city,Okklahoma City,Oklahoma City
42.phone,(918) 563-4331,(405) 656-2304
319.countyname,CREEK      ,CREEK       
361.city,lOkmulgee,Okmulgee
11.districtname,ALLEN-BOWDEN                  ***,ALLEN-BOWDEN                  
423.code,72-002,72-I002
369.code,57-C003***,57-C003
