67.global_id,1d888612-8c67-40b4r-a1d1-534ede06b2bd,1d888612-8c67-40b4-a1d1-534ede06b2bd
15.boroughareadescription,Stoningotn,Stonington
72.boroughareadescription,Ctiy Of Groton,City Of Groton
224.global_id,6121cb76-7806-4bdfl-b22a-1c8e6ff1bdc2,6121cb76-7806-4bdf-b22a-1c8e6ff1bdc2
87.boroughareadescription,Jewet City,Jewett City
106.boroughareadescription,Woodmoynt,Woodmont
144.global_id,bd3b7d84-3ca0-42s91-8e9c-7c89ba0cf793,bd3b7d84-3ca0-4291-8e9c-7c89ba0cf793
98.global_id,6b59cc60-7494-4a57-bca9-3761fa1d6fe5,6b59cc60-7494-4a57-bca9-3761fa1d6f5e
193.boroughareadescription,ewett City,Jewett City
203.boroughareadescription,iCty Of Groton,City Of Groton
20.global_id,533eab3f-0c4a-4c20-a658-eea6z68a1d238,533eab3f-0c4a-4c20-a658-eea668a1d238
186.global_id,7d72b7d-87546-49ba-9121-05e6f5189401,7d72b7d8-7546-49ba-9121-05e6f5189401
261.global_id,c8bb4d1c-a731-489a-a914-2b5c3afb66e02,c8bb4d1c-a731-489a-a914-2b5c3fb66e02
116.global_id,49623f70-c8ea-44dc-983c-79732a810d37,49623f70-c8ea-44cd-983c-79732a810d37
49.global_id,c8kf45df6-a8bd-4d17-aa4a-0c5788d87d09,c8f45df6-a8bd-4d17-aa4a-0c5788d87d09
51.global_id,7f4a36ac-1244-41de-2d2-9d780b8d6e42,7f4a36ac-1244-41de-92d2-9d780b8d6e42
188.global_id,fe2b5982-0848-j4789-aa14-4c73d803c9bd,fe2b5982-0848-4789-aa14-4c73d803c9bd
209.boroughareadescription,City fO Groton,City Of Groton
201.global_id,369d60bb-ec61-4f5a-bad9-5b2dfbcb158c,369d60bb-ec61-4f5a-bad9-5b2dfbcb518c
128.global_id,27660570-a196-48b4-93ab-423bb9d390f,27660570-a196-48b4-93ab-4823bb9d390f
266.boroughareadescription,Stdonington,Stonington
258.boroughareadescription,Wvoodmont,Woodmont
43.boroughareadescription,Jewwett City,Jewett City
151.boroughareadescription,Stoninton,Stonington
227.boroughareadescription,Jewet City,Jewett City
