Citing Patent,Filing date,Publication date,Applicant,Title
US7979789 *,19 Dec 2005,12 Jul 2011,Microsoft Corporation,System and method of replacing a delegate component associated with a delegate modular software component at software execution time
US7987428 *,23 Oct 2007,26 Jul 2011,Microsoft Corporation,Dashboard editor
US8010897,25 Jul 2007,30 Aug 2011,Paxson Dana W,Method and apparatus for presenting electronic literary macram�s on handheld computer systems
US8091017,25 Jul 2007,3 Jan 2012,Paxson Dana W,Method and apparatus for electronic literary macram� component referencing
US8091031,24 Jan 2011,3 Jan 2012,"Ecomsystems, Inc.",System and method for computer-created advertisements
US8095417,23 Oct 2007,10 Jan 2012,Microsoft Corporation,Key performance indicator scorecard editor
US8122052,28 Apr 2010,21 Feb 2012,International Business Machines Corporation,Data model simplification through field fallout
US8176408,12 Sep 2005,8 May 2012,Microsoft Corporation,Modularized web provisioning
US8176484,29 Sep 2006,8 May 2012,Oracle International Corporation,One click deployment
US8179555,8 Mar 2002,15 May 2012,"Hewlett-Packard Development Company, L.P.",Printing and finishing capability for customized document production system and method
US8195531,29 Jan 2010,5 Jun 2012,"The Softad Group, LLC.",Modular E-commerce web site development system
US8214735,4 Dec 2008,3 Jul 2012,International Business Machines Corporation,Structured document processor
US8239749 *,2 Jun 2005,7 Aug 2012,Apple Inc.,Procedurally expressing graphic objects for web pages
US8260845,20 Nov 2008,4 Sep 2012,"Appcelerator, Inc.",System and method for auto-generating JavaScript proxies and meta-proxies
US8265942,15 Apr 2005,11 Sep 2012,Fmr Llc,Multi-authoring within benefits content system
US8266202,12 Dec 2008,11 Sep 2012,"Appcelerator, Inc.",System and method for auto-generating JavaScript proxies and meta-proxies
US8266579 *,14 Oct 2005,11 Sep 2012,International Business Machines Corporation,System and method for developing and deploying a model-driven editor
US8275652,7 Nov 2008,25 Sep 2012,Fmr Llc,Method for establishing a person as a user in a system
US8285590,2 Jul 2010,9 Oct 2012,"Ecomsystems, Inc.",Systems and methods for computer-created advertisements
US8285813,3 Dec 2008,9 Oct 2012,"Appcelerator, Inc.",System and method for emulating different user agents on a server
US8291079,3 Jun 2009,16 Oct 2012,"Appcelerator, Inc.","System and method for developing, deploying, managing and monitoring a web application in a single environment"
US8296183,2 Jul 2010,23 Oct 2012,"Ecomsystems, Inc.",System and method for dynamic layout intelligence
US8296653 *,6 Apr 2009,23 Oct 2012,Xerox Corporation,Variable imaging asset upload and verification
US8321457,31 May 2001,27 Nov 2012,Oracle International Corporation,Techniques for automatically developing a web site
US8335799 *,16 Aug 2006,18 Dec 2012,Site Technologies Inc.,Automatic website generator
US8335982,3 Dec 2008,18 Dec 2012,"Appcelerator, Inc.",System and method for binding a document object model through JavaScript callbacks
US8438562,24 Apr 2012,7 May 2013,Oracle International Corporation,One click deployment
US8447832 *,21 Apr 2011,21 May 2013,Rpx Corporation,System and method for providing a web-based operating system
US8453050,30 Jun 2008,28 May 2013,International Business Machines Corporation,Method and apparatus for creating and editing electronic documents
US8510378,11 Sep 2012,13 Aug 2013,"Appcelerator, Inc.",System and method for auto-generating JavaScript
US8527860,2 Dec 2008,3 Sep 2013,"Appcelerator, Inc.",System and method for exposing the dynamic web server-side
US8566807,22 Nov 2008,22 Oct 2013,"Appcelerator, Inc.",System and method for accessibility of document object model and JavaScript by other platforms
US8584005 *,28 Jun 2006,12 Nov 2013,Adobe Systems Incorporated,Previewing redaction content in a document
US8607139 *,29 Apr 2004,10 Dec 2013,Twain Typesetting Llc,System and process for managing content organized in a tag-delimited template using metadata
US8607147 *,9 Dec 2005,10 Dec 2013,International Business Machines Corporation,System and methods for previewing alternative compositions and arrangements when composing a strictly-structured flow diagram
US8639743,3 Dec 2008,28 Jan 2014,"Appcelerator, Inc.",System and method for on-the-fly rewriting of JavaScript
US8689097,8 Jan 2007,1 Apr 2014,Satyam Computer Services Ltd.,System and method for automatic generation of presentations based on agenda
US8689134,22 Mar 2011,1 Apr 2014,Dana W. Paxson,Apparatus and method for display navigation
US8719451,22 Nov 2008,6 May 2014,"Appcelerator, Inc.","System and method for on-the-fly, post-processing document object model manipulation"
US8732003,27 Jun 2003,20 May 2014,"Vistaprint Usa, Inc.",Product pricing system and method
US8756579,30 Nov 2008,17 Jun 2014,"Appcelerator, Inc.",Client-side and server-side unified validation
US8788311,15 Apr 2005,22 Jul 2014,Fmr Llc,Quality control of authoring work flow within a benefits content system
US8806431,2 Dec 2008,12 Aug 2014,"Appecelerator, Inc.",Aspect oriented programming
US8813067,30 Apr 2013,19 Aug 2014,Oracle International Corporation,One click deployment
US8819539,30 Nov 2008,26 Aug 2014,"Appcelerator, Inc.",On-the-fly rewriting of uniform resource locators in a web-page
US8874692,27 Mar 2006,28 Oct 2014,"At&T Intellectual Property Ii, L.P.",Method and apparatus for organizing information in a world wide web page format
US8887036,5 Sep 2008,11 Nov 2014,Adobe Systems Incorporated,Automatic linking of documents
US8914774,14 Nov 2008,16 Dec 2014,"Appcelerator, Inc.",System and method for tagging code to determine where the code runs
US8938491,2 Dec 2008,20 Jan 2015,"Appcelerator, Inc.",System and method for secure binding of client calls and server functions
US8954553,20 Sep 2009,10 Feb 2015,"Appcelerator, Inc.","System and method for developing, deploying, managing and monitoring a web application in a single environment"
US8954989,18 Nov 2008,10 Feb 2015,"Appcelerator, Inc.","Flexible, event-driven JavaScript server architecture"
US9031988 *,13 Nov 2012,12 May 2015,Site Technologies Inc.,Automatic website generator
US9047322,21 Mar 2011,2 Jun 2015,Oracle International Corporation,Techniques for automatically discovering a database device on a network
US20010029514 *,8 Jun 2001,11 Oct 2001,"Digital - Net, Inc.",Computerized prepress
US20010037258 *,10 Apr 2001,1 Nov 2001,Isogon Corporation,Automated retail website creation
US20010039592 *,22 Feb 2001,8 Nov 2001,Carden Francis W.,Web address assignment process
US20010054068 *,13 Jun 2001,20 Dec 2001,"Updatethis, Inc.",System and method for maintaining a web site
US20020063736 *,28 Nov 2001,30 May 2002,Mika Sugimoto,Homepage creation and update program
US20020065846 *,28 Nov 2001,30 May 2002,Atsuro Ogawa,Spreadsheet Web server system and spreadsheet Web system
US20020065850 *,13 Sep 2001,30 May 2002,Imediation S.A. A French Corporation,Method and system for composite site resource generation
US20020073026 *,6 Mar 2001,13 Jun 2002,Gruber Allen B.,System and method for interactive fundraising over a wide-area network
US20020135621 *,20 Mar 2001,26 Sep 2002,Angiulo Michael A.,Auto thumbnail gallery
US20020138513 *,23 Mar 2001,26 Sep 2002,James Korotney,Method for modifying and publishing a web page
US20020140729 *,30 Mar 2001,3 Oct 2002,Price Stephen H.,Dynamic web list display
US20020152197 *,1 Mar 2002,17 Oct 2002,Stocker Jeffrey A.,Automatic generation of personal homepages for a sales force
US20040093226 *,8 Nov 2002,13 May 2004,Gruber Harry E.,Distributed method and system for managing volunteers and other individuals engaged in fundraising campaign
US20040122682 *,18 Dec 2002,24 Jun 2004,Gruber Allen B.,Method and system for efficient validation of nonprofit organizations
US20040133441 *,3 Sep 2003,8 Jul 2004,Jeffrey Brady,Method and program for transferring information from an application
US20040148276 *,29 Jan 2003,29 Jul 2004,International Business Machines Corporation,Data model simplification through field fallout
US20040148307 *,24 Jan 2003,29 Jul 2004,Rempell Steven H,Browser based web site generation tool and run time engine
US20040148342 *,29 Jan 2003,29 Jul 2004,Web.De Ag,Web site having an event creation element
US20040148572 *,28 Dec 2001,29 Jul 2004,Naoya Nakanishi,Automatic edition system
US20040167868 *,11 Jul 2003,26 Aug 2004,"Bea Systems, Inc.",System and method for a virtual content repository
US20040205484 *,1 May 2002,14 Oct 2004,Pennington Stanford E.,System and method for dynamically generating customized pages
US20040205488 *,27 Nov 2001,14 Oct 2004,Fry Randolph Allan,Active web page for editing with any browser
US20040205525 *,30 Apr 2001,14 Oct 2004,Murren Brian T.,Automatic identification of form contents
US20040205528 *,29 Apr 2004,14 Oct 2004,Vlad Alexander,System and process for managing content organized in a tag-delimited template using metadata
US20040205609 *,28 Jun 2001,14 Oct 2004,Milton John R.,System and method for generating and formatting a publication
US20040205630 *,24 Aug 2001,14 Oct 2004,Parks Jeff A.,System and method for application entitlement
US20040210557 *,30 Apr 2004,21 Oct 2004,Adaptik Corporation,Method and apparatus for creating an adaptive application
US20040230508 *,29 Oct 2003,18 Nov 2004,Minnis Raymond Albert,System for generating financial statements using templates
US20040230679 *,25 Feb 2004,18 Nov 2004,Bales Christopher E.,Systems and methods for portal and web server administration
US20040230947 *,25 Feb 2004,18 Nov 2004,Bales Christopher E.,Systems and methods for personalizing a portal
US20040255245 *,16 Mar 2004,16 Dec 2004,Seiko Epson Corporation,"Template production system, layout system, template production program, layout program, layout template data structure, template production method, and layout method"
US20040268228 *,19 Jun 2003,30 Dec 2004,Microsoft Corporation,Framework for creating modular web applications
US20050010910 *,11 Aug 2004,13 Jan 2005,Microsoft Corp.,System for converting event-driven code into serially executed code
US20050024355 *,28 Jul 2004,3 Feb 2005,Atsuko Yagi,Selecting items displayed on respective areas on a screen
US20050028088 *,28 Jun 2004,3 Feb 2005,International Business Machines Corporation,Structured document processor
US20050053224 *,21 Oct 2004,10 Mar 2005,"Sbc Services, Inc.",System and method to provide automated scripting for customer service representatives
US20050060718 *,10 Nov 2004,17 Mar 2005,Microsoft Corporation,Transporting objects between a client and a server
US20050273311 *,6 Jun 2005,8 Dec 2005,A3 Solutions Inc.,Method and apparatus for spreadsheet automation
US20070055944 *,7 Nov 2006,8 Mar 2007,Faud Rashid,Configuration of displays for targeted user communities
US20070136351 *,9 Dec 2005,14 Jun 2007,International Business Machines Corporation,System and methods for previewing alternative compositions and arrangements when composing a strictly-structured flow diagram
US20080235584 *,6 Nov 2007,25 Sep 2008,Keiko Masham,"Information processing apparatus, information processing method, and program"
US20090094508 *,12 Jun 2008,9 Apr 2009,International Business Machines Corporation,Apparatus and method for supporting creation of an electronic document
US20090222416 *,16 Aug 2006,3 Sep 2009,"Wideport.Com, Inc.",Automatic Website Generator
US20100115389 *,13 Jan 2010,6 May 2010,Gautestad Arild O,Method and System for Publication and Revision or Hierarchically Organized Sets of Static Intranet and Internet Web Pages
US20100257446 *,6 Apr 2009,7 Oct 2010,Xerox Corporation,Variable imaging asset upload and verification
US20100332973 *,27 Aug 2010,30 Dec 2010,"Hewlett-Packard Development Company, L.P.","Methods and systems for creating, interacting with, and utilizing a superactive document"
US20110202935 *,,18 Aug 2011,"Webs, Inc.",System and method for providing a web-based operating system
US20110208786 *,,25 Aug 2011,Microsoft Corporation,Presentation of a web-based visual representation of a structured data solution
US20110231220 *,,22 Sep 2011,"Ford Global Technologies, Llc.",On-Line Invention Disclosure System
US20110314370 *,,22 Dec 2011,Microsoft Corporation,Tiered pageview generation for computing devices
US20110320931 *,,29 Dec 2011,Meurlinger Michael Oehman,"Method, apparatus and computer program product for handling data of a database for a website"
US20120011446 *,,12 Jan 2012,Mtld Top Level Domain Limited,Generating user interfaces
US20120110440 *,28 Oct 2011,3 May 2012,Roger Rosner,Efficient creation of documents
US20120246139 *,,27 Sep 2012,Bindu Rama Rao,"System and method for resume, yearbook and report generation based on webcrawling and specialized data collection"
US20130023291 *,27 Sep 2012,24 Jan 2013,"Geomonkey, Inc.",Configurable Groups of Virtual Walls Providing Proximity Related Privileges
US20130167009 *,13 Nov 2012,27 Jun 2013,Oles Tymoshenko,Automatic Website Generator
US20130198659 *,18 Jan 2013,1 Aug 2013,Vistaprint Limited,Implementing website themes in a website under construction
US20130263024 *,18 Jan 2013,3 Oct 2013,Vistaprint Limited,Organizing and Recalling Website Commands in a Website Under Contruction
US20140101531 *,10 Oct 2012,10 Apr 2014,Adobe Systems Incorporated,Simulating dynamic content based on a location
US20140344677 *,31 Jul 2014,20 Nov 2014,C. Douglass Thomas,Method and system for formation of electronic documents
US20140358735 *,24 Jun 2013,4 Dec 2014,"Monscierge, LLC",Modifying An Application To Display Branding Information Identifying A Particular Business
US20150113384 *,2 Jan 2015,23 Apr 2015,Site Technologies Inc.,Automatic Website Generator
WO2006015364A2 *,1 Aug 2005,9 Feb 2006,Lehman Brothers,System and method for data collection and processing
WO2006063146A2 *,8 Dec 2005,15 Jun 2006,Andrew M Dubinsky,"Creating a markup language document having empty fields, and assistance links"
WO2006118767A2 *,12 Apr 2006,9 Nov 2006,Microsoft Corp,In situ user interface template editing
WO2007064656A2 *,29 Nov 2006,7 Jun 2007,Google Inc,Formatting a user network site based on user preferences and format performance data
WO2007101151A2 *,26 Feb 2007,7 Sep 2007,Dana W Paxson,Apparatus and method for knowledge transfer
WO2007117963A2 *,23 Mar 2007,18 Oct 2007,At & T Corp,Method and apparatus for organizing information in a world wide web page format
WO2008003698A1 *,3 Jul 2007,10 Jan 2008,Ibm,Method for defining a wiki page layout using a wiki page
WO2008021330A2 *,13 Aug 2007,21 Feb 2008,Business Helpers Inc,Creating and searching multimedia webpage presentation
