345.townnumber,224,150
249.townname,NORWCIH,NORWICH
67.global_id,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,ed17c963-fb74-4537-a7b0-96471b301658
97.townnumber,169,69
54.townname,NEW HAVEN,WOODSTOCK
57.global_id,d209d152-0472-41c5-844f-9703545bf641,00a73253-5886-40ba-938f-d87e58d736c8
46.shape_length,895.879892125273,3561.63393403669
211.townnumber,147,60
60.objectid,1504.0,1557
36.townname,KILLINGWORTH,LISBON
374.townnumber,146,95
57.townname,NEW HAVEN,NORTH STONINGTON
353.townname,ENW HAVEN,NEW HAVEN
49.shape_length,4495.41730653166,1030.82193561174
45.objectid,1540.0,1542
59.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,ac58fd4d-e01c-4098-b6e5-5c803477a135
58.townname,POMFRET,NEW MILFORD
65.townnumber,108.0,93
31.townname,NEW HAVEN,SCOTLAND
47.townname,COVENTRY,PLAINFIELD
327.townnumber,128,75
34.shape_length,454.040968686018,2118.56469590491
28.global_id,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,4bc5c8ab-397a-44f9-af34-e3534007db86
59.objectid,1499.0,1556
37.global_id,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,0eda5cd7-9b10-47be-8aac-98b124647d18
47.shape_length,1717.51695342568,1390.74700038679
360.townname,WATERFRD,WATERFORD
329.townnumber,75,69
313.townnumber,216,147
47.objectid,1499.0,1544
34.townname,NEW HAVEN,NORWALK
107.townnumber,126,55
349.townnumber,110,32
73.shape_length,954.543716778535,723.796857028689
77.global_id,dce3b51b-8b6f-4b24-a743-905510596720,72d395cf-5a65-4163-ac26-a614cbc96ef4
326.townname,BROKFIELD,BROOKFIELD
223.townname,SIMSBgURY,SIMSBURY
13.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,6bf28fc5-1875-4411-b882-93c2ce37224a
14.townname,NORTH BRANFORD,SOUTHBURY
55.townname,THOMASTON,WINCHESTER
75.global_id,dce3b51b-8b6f-4b24-a743-905510596720,21aea1b6-91ad-47dd-85e9-b7c74e208edd
69.global_id,dce3b51b-8b6f-4b24-a743-905510596720,2ab74a28-0606-4d4a-b87c-8223e59b4a1c
11.global_id,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,23d92eb5-2057-45a1-96f9-f3d597fae661
367.townnumber,232,146
50.objectid,1507.0,1547
51.townname,NEW HAVEN,OLD LYME
48.objectid,1499.0,1545
28.objectid,1503.0,1525
335.townnumber,148,105
355.townname,ANCHESTER,MANCHESTER
42.objectid,1523.0,1539
46.townname,WOODSTOCK,SCOTLAND
74.townnumber,94.0,152
15.objectid,1507.0,1512
52.townname,KILLINGWORTH,MONTVILLE
154.townnumber,120,69
175.townnumber,24,23
239.townname,NEW HAVNE,NEW HAVEN
60.townname,THOMASTON,BROOKFIELD
241.townnumber,179,102
55.objectid,1528.0,1552
15.townname,KILLINGWORTH,MANCHESTER
32.objectid,1499.0,1529
64.objectid,1523.0,1561
45.townname,NORFOLK,WESTPORT
206.townnumber,67,46
293.townnumber,69,25
38.global_id,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,57cc090d-de2e-4cf8-92d4-25b549d5f717
292.townname,SeHARON,SHARON
266.townname,NORT HSTONINGTON,NORTH STONINGTON
44.townname,NORTH BRANFORD,SHELTON
321.townname,ORTH STONINGTON,NORTH STONINGTON
359.townname,WLTON,WILTON
348.townnumber,229,146
61.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,9c2e61c4-d826-44e8-b0a6-f7018b846a86
137.townname,NROTH STONINGTON,NORTH STONINGTON
45.global_id,5568eb91-467a-401f-b9b7-0d1171357a65,d4b56944-af8f-4704-ae7d-0e7ec63b6f69
177.townname,iVOLUNTOWN,VOLUNTOWN
263.townname,NEWINGTOwN,NEWINGTON
96.townnumber,77,69
39.global_id,4f4b0eab-9e10-4128-8556-8c302b91c934,e863a3f3-70e4-4539-afcd-fed6fcd0f382
320.townnumber,106,101
41.objectid,1524.0,1538
62.townname,NORTH BRANFORD,BARKHAMSTED
230.townnumber,23,12
17.townname,KILLINGWORTH,NEW MILFORD
49.townname,NORTH BRANFORD,EAST HARTFORD
224.townnumber,68,55
61.townnumber,111.0,113
61.objectid,1523.0,1558
362.townnumber,93,31
31.global_id,1ed8f70b-ff26-469e-bede-4c50f29727aa,5823506f-c0aa-4fa8-9f37-6b24aaf2eab9
48.townname,NORTH STONINGTON,MIDDLEFIELD
32.shape_length,1825.64688251088,904.508633984631
171.townname,SHEMRAN,SHERMAN
71.objectid,1564.0,1568
260.townnumber,78,47
76.objectid,1509.0,1573
33.global_id,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,bfe466ae-5848-4b0f-9902-1128c428c7f5
63.global_id,0f579294-8459-4d4a-b590-94dd52270246,b59f27a2-abae-485e-8452-735e9a2c8538
54.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,a0269eda-be47-4ca4-841c-b7b76bf1ed13
76.townname,LOOMFIELD,BLOOMFIELD
47.global_id,f2ac5fa1-99ab-47a6-ae9a-dec6fa795fe4,db05234a-3397-4d80-8c8f-4e52333875e0
17.objectid,1498.0,1514
60.global_id,d209d152-0472-41c5-844f-9703545bf641,a5565213-6c96-46b3-9102-b59414b6256a
319.townnumber,176,130
250.townnumber,132,34
276.townname,NORrWICH,NORWICH
13.objectid,1499.0,1510
299.townnumber,121,23
55.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,f711d229-4560-4b5a-acdf-61383b16e39a
78.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,cd16bf4e-77d6-4d89-a39c-6569b1765f80
168.townname,MANCHSETER,MANCHESTER
37.shape_length,8948.25517654852,9647.57052566928
243.townname,REDDING***,REDDING
138.townnumber,73,11
184.townname,HARTFROD,HARTFORD
363.townnumber,190,160
308.townname,GRISWiOLD,GRISWOLD
30.global_id,0f579294-8459-4d4a-b590-94dd52270246,0bd3ed4d-b1eb-4a19-b76a-12ff9ff10090
146.townname,THOAMSTON,THOMASTON
228.townname,NEWTOWiN,NEWTOWN
21.shape_length,1819.6875452321,390.59184613555
24.objectid,1504.0,1521
271.townname,NORIWCH,NORWICH
6.shape_length,4141.22180001054,7918.46413619444
75.townnumber,92.0,5
35.townname,NORTH CANAAN,NORWALK
133.townname,ISBON,LISBON
144.townname,CANTOqN,CANTON
32.townname,NORFOLK,BRIDGEPORT
373.townnumber,24,4
162.townname,ARREN,WARREN
62.objectid,1524.0,1559
227.townnumber,203,103
193.townname,PMFRET,POMFRET
43.shape_length,11356.4326796623,1390.74700038679
294.townname,TOLAND,TOLLAND
198.townname,NEWTONW,NEWTOWN
330.townname,NORWIjCH,NORWICH
366.townnumber,165,122
5.objectid,1503.0,1502
19.townname,NEW HAVEN,CHESHIRE
35.objectid,1504.0,1532
24.townname,KILLINGWORTH,TORRINGTON
68.objectid,1564.0,1565
277.townname,TORRINpGTON,TORRINGTON
40.global_id,1ed8f70b-ff26-469e-bede-4c50f29727aa,8704adc0-9e85-4b49-a1f4-bc700cb46dc9
94.townnumber,106,15
221.townname,SIMSBRUY,SIMSBURY
257.townname,KILLINGLY***,KILLINGLY
40.shape_length,296.416274300777,1697.578759755
58.objectid,1511.0,1555
337.townnumber,108,61
76.shape_length,338.656545440696,3045.54256490848
11.objectid,1503.0,1508
72.global_id,f2ac5fa1-99ab-47a6-ae9a-dec6fa795fe4,2ef4d202-10ea-4ae8-af74-71f688f65905
41.townname,NORFOLK,NORWALK
64.shape_length,296.416274300777,1209.40534741477
27.shape_length,1717.51695342568,24871.9460284511
44.objectid,1503.0,1541
50.townname,KILLINGWORTH,OLD SAYBROOK
354.townnumber,112,76
18.global_id,621bfcdc-28c8-4bab-ab32-0e546ac46ff2,38d1d17f-b1f0-4807-9494-e8bb3f6fa25e
71.global_id,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,1f2f970e-53ae-42cb-9838-2d4c20812a2d
106.townnumber,170,104
43.townname,COVENTRY,PLAINFIELD
73.objectid,1523.0,1570
35.global_id,1bde42a0-d434-4c81-9595-9cc17892200c,8d97cf21-c9b2-49bf-ae81-ac52fb3e8875
75.objectid,1513.0,1572
347.townnumber,157,85
13.shape_length,296.416274300777,1737.10011349675
268.townname,DANBUjRY,DANBURY
18.objectid,1498.0,1515
125.townname,NORWLAK,NORWALK
312.townnumber,128,40
270.townnumber,184,147
77.objectid,1509.0,1574
52.shape_length,30.617755899498,662.013263511584
350.townnumber,168,103
258.townname,BRDGEPORT,BRIDGEPORT
33.townname,NORTH HAVEN,BRIDGEPORT
351.townname,ONRWICH,NORWICH
307.townname,iNEW HAVEN,NEW HAVEN
90.townnumber,108,34
197.townname,WESON,WESTON
343.townnumber,81,42
32.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,836afff1-7c8b-4071-b9f1-76e5c5b6b432
149.townnumber,89,34
313.townname,VOLUNTWON,VOLUNTOWN
368.townname,FARMINGbTON,FARMINGTON
291.townnumber,75,17
41.shape_length,124.267706559789,639.335600272621
335.townname,OLDS AYBROOK,OLD SAYBROOK
197.townnumber,171,157
20.shape_length,1819.6875452321,750.471077937134
240.townnumber,42,4
38.shape_length,4141.22180001054,17285.1091783837
8.objectid,1498.0,1505
36.shape_length,1825.64688251088,785.986993254121
19.objectid,1507.0,1516
48.shape_length,1697.578759755,3661.84443618565
46.objectid,1504.0,1543
20.townname,NORTH BRANFORD,WALLINGFORD
145.townname,DANBUYR,DANBURY
65.global_id,5568eb91-467a-401f-b9b7-0d1171357a65,e833685b-a007-4489-99d2-304da3d8db6a
39.townnumber,157.0,118
29.shape_length,1717.51695342568,4386.02748861192
312.townname,EAST HADDAM***,EAST HADDAM
62.global_id,d209d152-0472-41c5-844f-9703545bf641,fb38a497-f9ca-42ab-afa2-985fe5c86e5a
35.shape_length,1937.58213325981,2522.76071130838
23.objectid,1513.0,1520
17.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,57bad7ec-0ab5-4643-a3ec-798884dbc953
305.townname,SOUTHBRUY,SOUTHBURY
242.townnumber,159,89
22.objectid,1517.0,1519
26.townname,THOMASTON,VERNON
306.townnumber,151,113
366.townname,DEEPw RIVER,DEEP RIVER
22.townname,NORTH HAVEN,PLAINVILLE
50.shape_length,1691.15624605467,2222.68522423194
288.townname,BEyTHANY,BETHANY
171.townnumber,144,127
25.shape_length,1825.64688251088,24.8957932968508
13.townname,NORTH STONINGTON,MANCHESTER
54.shape_length,17393.3390124376,1937.58213325981
29.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,e1f4c96c-c627-4305-ae5b-a27ecbb97a11
52.global_id,42fea995-f578-49e4-924e-a7cdbde8a8ac,4cf6394c-acb0-4587-9b69-a98537f5923d
352.townnumber,202,161
91.townnumber,151,126
70.objectid,1540.0,1567
40.objectid,1511.0,1537
56.shape_length,954.543716778535,106.262231327203
67.shape_length,296.416274300777,3626.60861694786
69.objectid,1498.0,1566
297.townname,BROOKFEILD,BROOKFIELD
59.townname,NORTH STONINGTON,BRIDGEPORT
10.shape_length,4137.08904916255,4156.20346214539
284.townnumber,110,63
217.townname,UFFIELD,SUFFIELD
45.shape_length,422.093881272792,1581.41867689338
54.objectid,1550.0,1551
244.townnumber,136,72
53.global_id,0f579294-8459-4d4a-b590-94dd52270246,c9f4075c-2dfd-4069-ae23-4bdc11240e94
200.townnumber,122,63
9.objectid,1517.0,1506
39.objectid,1507.0,1536
29.townname,NEW HAVEN,MIDDLETOWN
304.townname,REDING,REDDING
70.shape_length,1825.64688251088,18330.8596865377
7.global_id,0f579294-8459-4d4a-b590-94dd52270246,f81c003d-045d-4efb-9666-cc9eb88177e5
231.townnumber,73,34
256.townname,PESTON,PRESTON
245.townname,MIDDLEBUjRY,MIDDLEBURY
68.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,5e92a45a-5080-47ee-930f-d828f3f40c5d
11.shape_length,1825.64688251088,5832.86567813146
38.townnumber,92.0,159
51.objectid,1498.0,1548
316.townname,pNEWINGTON,NEWINGTON
288.townnumber,40,8
50.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,57726c7f-6a4c-4869-bb80-9ed46d9039d6
72.shape_length,737.039742494033,72.8349823343424
34.global_id,dce3b51b-8b6f-4b24-a743-905510596720,640ac525-6a19-4aac-8cb4-d5900436223b
28.townname,POMFRET,SOUTHBURY
319.townname,SOUuTHBURY,SOUTHBURY
42.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,ce622637-96b0-406f-b4ba-3d9470a3ae37
3.objectid,1499.0,1500
260.townname,ELLNIGTON,ELLINGTON
46.global_id,11d885ff-11d9-4dcc-845f-1201fc835ed9,3c951ea3-0cb8-45f5-81fb-eb7ed8d0bf6b
235.townnumber,155,73
334.townnumber,173,82
38.objectid,1513.0,1535
41.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,3998f079-91f1-452f-bf2e-a7bef7180c33
295.townname,SOMERtS,SOMERS
261.townname,MRIDEN,MERIDEN
71.townnumber,101.0,63
31.shape_length,338.656545440696,3561.63393403669
180.townnumber,71,25
29.objectid,1530.0,1526
43.global_id,dce3b51b-8b6f-4b24-a743-905510596720,7989b8f0-c580-438f-9747-917c50480dea
261.townnumber,172,79
113.townname,STAFFOeRD,STAFFORD
340.townnumber,202,124
253.townnumber,69,58
372.townnumber,93,34
331.townname,MANCHESTR,MANCHESTER
306.townname,PRETON,PRESTON
14.global_id,4f4b0eab-9e10-4128-8556-8c302b91c934,8663895d-870d-4c24-9e93-2bb8f84346cb
301.townnumber,146,134
129.townnumber,79,18
69.shape_length,2120.68585047501,10549.8551843622
49.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,cf0f5e3b-d586-4481-92eb-7d21966dc1c3
310.townnumber,242,159
66.objectid,1509.0,1563
8.townname,NORTH HAVEN,MANCHESTER
140.townname,NORTH STONINGhTON,NORTH STONINGTON
26.global_id,63fa3465-5b29-47e1-9e07-ce71f3e57b94,a9c13fbd-9664-4dd1-8dac-ed23f6b4d671
148.townnumber,148,76
4.shape_length,1697.578759755,3491.30478872342
285.townnumber,85,42
309.townname,PLAINFILED,PLAINFIELD
12.shape_length,4137.08904916255,1895.9746358225
27.global_id,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,c8b0742f-3d9c-48e2-93d0-7ee77b159a9f
160.townnumber,165,76
21.townname,NORTH CANAAN,BERLIN
338.townnumber,80,55
