OBJECTID_12_13,MANAGEMENT_UNITS,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_ID_12,OBJECTID_12,TC_ID_12_13,Shape__Area,Shape__Length
13,13,13,13,,44553763,10784922,10472408,39753,72825,10707032,7856124,4620699,21369908,23183855,24.206534473867,23.5051032614237,0.0892247866919793,0.163454206999306,24.0317119790757,17.6329079094845,10.3710633824577,47.964316728982,52.035683271018,,10784922,10472408,44480938,4660452,15132860,24.2461658519881,23.5435862436174,34.0210001866417,10.4774139430243,,1307750,1402191,9477172,10879363,10784922,-94441,-0.868074720918863,24.4584837666868,24.2461658519881,-0.212317914698701,,,,44553752.8555603,35070.9394645616
14,14,14,14,,65168628,16894858,15312376,123425,929409,14983332,8550869,8374359,33260068,31908560,25.9248330346927,23.4965449940115,0.189393276777286,1.42616014564554,22.991633336212,13.1211431979203,12.8502920147406,51.0369314511271,48.9630685488729,,16894858,15312376,64239219,8497784,23810160,26.2999118965005,23.8364915364242,37.0648341786347,13.2283426422105,,1687537,2334587,15207321,17541908,16894858,-647050,-3.68859533409935,27.3071626228831,26.2999118965005,-1.0072507263826,,,,65168604.7494202,53187.1030837562
15,15,15,15,,126035988,38114776,46023399,387414,587485,20981663,12617711,7323540,85113074,40922914,30.2411847638311,36.5160774555915,0.307383633950646,0.466124802385807,16.6473586893293,10.0111969606649,5.81067369424676,67.5307706557591,32.4692293442409,,38114776,46023399,125448503,7710954,53734353,30.3828065608722,36.6870850583207,42.8337937201212,6.14670866180045,,4534654,4535757,33580122,38115879,38114776,-1103,-0.0028938070666034,30.3836858061192,30.3828065608722,-0.000879245246999005,,,,126035899.290924,52248.4216152276
16,16,16,16,,31305879,8731157,9884868,67020,370552,6510316,4274930,1467036,19053597,12252282,27.8898318108238,31.5751172487442,0.214081195420196,1.1836498825029,20.795825601958,13.6553584711677,4.6861357893832,60.8626801374911,39.1373198625089,,8731157,9884868,30935327,1534056,11418924,28.2239040175654,31.9533328353051,36.9122459898355,4.95891315453042,,1153412,1113666,7577745,8691411,8731157,39746,0.457302042211558,28.0954230740797,28.2239040175654,0.128480943485698,,,,31305829.2276917,29969.0798431475
17,17,17,17,,85961652,27678401,27140861,296476,58050,14758107,9196166,6833591,55173788,30787864,32.1985447650541,31.5732194164905,0.344893325223671,0.0675301121481472,17.1682449750966,10.6979865859255,7.94958082006148,64.1841876189164,35.8158123810836,,27678401,27140861,85903602,7130067,34270928,32.2203031719205,31.594555255087,39.894634453163,8.300079198076,,2767748,3317310,24910653,28227963,27678401,-549562,-1.94687090953038,32.8600458453419,32.2203031719205,-0.639742673421402,,,,85961822.2228394,39138.3736476044
18,18,18,18,,111765232,42234785,37761186,115752,327703,18084983,8893732,4347091,80439426,31325806,37.7888402719014,33.786165271862,0.103567091418913,0.293206567137086,16.1812244079626,7.95751222526877,3.88948416444928,71.9717792023194,28.0282207976806,,42234785,37761186,111437529,4462843,42224029,37.8999654595715,33.8855198413454,37.8903134149717,4.00479357362635,,3792579,4431807,38442206,42874013,42234785,-639228,-1.49094510933698,38.473585500985,37.8999654595715,-0.573620041413506,,,,111765659.149719,57767.0875869717
19,19,19,19,,163324746,54326056,48747598,1132511,1366171,26896907,15334358,15521145,105572336,57752410,33.2625994103796,29.847037386484,0.693410538045472,0.836475202600346,16.4683599140574,9.38887607392942,9.50324147450381,64.6395225375094,35.3604774624906,,54326056,48747598,161958575,16653656,65401254,33.5431797914992,30.0988064386217,40.3814703852513,10.2826639466296,,4793109,5843708,49532947,55376655,54326056,-1050599,-1.89718754229558,34.191863567582,33.5431797914992,-0.648683776082798,,,,163609401.914001,66792.4405719925
20,20,20,20,,60198806,18373655,19095649,473048,26325,11122101,5761891,5346137,37968677,22230129,30.5216269571858,31.7209763263411,0.78580960559251,0.0437301032183263,18.4756172738708,9.57143734711283,8.88080238667857,63.0721429923378,36.9278570076622,,18373655,19095649,60172481,5819185,24914834,30.5349799354293,31.7348540107562,41.4056950718053,9.67084106104915,,1997492,2097603,16376163,18473766,18373655,-100111,-0.541908996790368,30.7013533312678,30.5349799354293,-0.166373395838502,,,,60198837.7386169,39350.892303168
21,21,21,21,,62135930,16647288,18762319,96811,68568,13759212,8053327,4748405,35574986,26560944,26.7917258178963,30.1956034133552,0.155805183892798,0.110351611378473,22.1437290791334,12.9608215407736,7.64196335357015,57.2534860265228,42.7465139734772,,16647288,18762319,62067362,4845216,23607535,26.8213235806606,30.2289615595391,38.0353445664406,7.80638300690144,,2270073,1995136,14377215,16372351,16647288,274937,1.6792762383362,26.3783580813375,26.8213235806606,0.442965499323101,,,,62135954.3893127,37995.9554815424
22,22,22,22,,53992323,15575076,16299172,127455,27682,10362833,9058116,2541989,32029385,21962938,28.8468343916227,30.1879435711629,0.236061337831306,0.0512702518837724,19.193160109077,16.7766739727053,4.70805636571703,59.3221095525006,40.6778904474994,,15575076,16299172,53964641,2669444,18968616,28.8616318229561,30.2034289452607,35.1500828107056,4.94665386544497,,1824137,1635020,13750939,15385959,15575076,189117,1.22915315190948,28.5111856854565,28.8616318229561,0.350446137499599,,,,53992367.0027771,47609.8873479712
23,23,23,23,,90688861,21226810,19654129,149731,160105,22819775,12585061,14093250,41190775,49498086,23.4061931817624,21.6720430527846,0.16510406939613,0.176543180975666,25.1627098944379,13.8771849830598,15.5402216375835,45.4198834849188,54.5801165150812,,21226810,19654129,90528756,14242981,33897110,23.4475883000093,21.7103712327606,37.4434726574615,15.7331014247009,,2725920,2646914,18500890,21147804,21226810,79006,0.37358961715363,23.3603165827221,23.4475883000093,0.0872717172872015,,,,90688869.4035034,62785.620940573
24,24,24,24,,139111646,45286441,36352845,1409600,566833,19725974,13772447,21997506,83615719,55495927,32.5540257068053,26.1321363417697,1.01328683868783,0.407466244774359,14.1799587361651,9.90028325881501,15.8128428729828,60.1069151320372,39.8930848679628,,45286441,36352845,138544813,23407106,59759951,32.6872150745911,26.2390516200704,43.1340226356941,16.8949710156237,,4309078,4262162,40977363,45239525,45286441,46916,0.10370577498327,32.6533516631907,32.6872150745911,0.0338634114004037,,,,139111579.495026,72240.6588926281
25,25,25,25,,73471307,21441763,13617144,112811,147775,17174877,10057588,10919349,35319493,38151814,29.1838594895283,18.5339618362853,0.15354429450942,0.201132940237473,23.3763052561458,13.6891371756868,14.8620590076069,48.0724985605605,51.9275014394395,,21441763,13617144,73323532,11032160,24649304,29.2426761438606,18.5713148679199,33.617180361688,15.0458654937681,,2556122,2443770,18885641,21329411,21441763,112352,0.526746847346136,29.0894483915478,29.2426761438606,0.153227752312798,,,,73471362.311554,41526.3251004844
26,26,26,26,,24571834,3303023,1974808,345233,62678,8791320,4660815,5433957,5685742,18886092,13.4423136669408,8.03687669386013,1.40499484084094,0.255080674889795,35.7780375693569,18.9681201655522,22.1145763885594,23.1392658765316,76.8607341234684,,3303023,1974808,24509156,5779190,7753998,13.4766900989981,8.05742963976401,31.6371481743394,23.5797185345754,,437220,368868,2865803,3234671,3303023,68352,2.11310516587313,13.1978065666562,13.4766900989981,0.278883532341901,,,,24571805.5969238,25642.7078533414
27,27,27,27,,27782956,2656283,1143874,28860,173418,12414144,6295004,5071373,4002435,23780521,9.56083650710169,4.11717889197967,0.103876635733073,0.624188441287529,44.6825888505168,22.6577906253028,18.2535400480784,14.406080476102,85.593919523898,,2656283,1143874,27609538,5100233,6244107,9.62088898408948,4.14303926418472,22.6157605389848,18.4727212748,,336648,477414,2319635,2797049,2656283,-140766,-5.03266120829488,10.1307345309436,9.62088898408948,-0.509845546854121,,,,27782944.780304,36930.5274036804
