countyname,districtname,codistcode,sitecode(long),schoolsite,totalenrollment(double precision),telephone,principal,mailingaddress,mailingcity,mailingstate,mailingzip(double precision),gradeslowhigh,certifiedstaff(long)
BEAVER,BEAVER,04I022,705,BEAVER HS,95.0,(580) 625-3m444,Michael Mcvay,PO Bxo 580,Beaver,ObK,73932.0,12-bSep,17
BEAVER,BbALKO,04yI075,105,BALKO ES,107.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Bazlko,kOK,73931.0,PK-08,21
BEAVER,BALlKO,04I075,705,BALKO HS,44.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balo,KO,73931.0,12-Sep,13
BEAVER,ORGAN,04I123,105,FORGAN ES,98.0,(580) 4e87-3366,Todd Kerr,PO Box 406,Forgan,OK,73938.0,PK-08,19
BEAVR,FORGAN,04I123,705,FORGAN HS,44.0,(580) 487-3366,Tod Kerr,PO Box 406,Fjorgan,OK,73938.0,12-Sep,13
BEAVER,TURPIN,40I128,105,TyURPIN ES,312.0,(580) 778-3331,Jef Funk,PO Box 187,Turpin,K,73950.0,PK-08,36
BEAVER,TURPIN,4I128,705,TUPIN HS,119.0,(580) 778-3333***,Gary Wallace,316 S. iLee,Turpin,OK,73950.0,21-Sep,27
BECKHMA,MERRIT,05I002,105,MERRITT ES,623.0,(580) 225-5460,Tawn Rundle,19693 East 1130 Rd,Elk City,OeK,73644.0,lPK-08,47
BECKHAM,MERRTT,0I5002,705,MERRITT HS,170.0,(580) 225-5460,Don Bradshaw,19693 East 1130 Rd,Elk City,OK,73644.0,2-Sep,24
BECKHAM,ELK ITY,05I006***,105,FAIRVEIW ES,343.0,(580) 225-2590,Amanda Friesen,222 West Broadway Ave,lEk City,OuK,73644.0,4-Mar,27
BECKHAM,ELK CITY,05I006,110,PIONEER ES,330.0,(580) 225-722,Brandon Shlton,222 West Broadway Ave,Elk City,OK,73644.0,PK-pKG,22
BECKHAM,ELK CITY,05I006,115,GRANDVIEW 5TH/6TH GRADE CTrR,330.0,(580) 225-2687,Randy Turney,222 West Broadway Ave,lEk City,OK,73644.0,6-Mauy,28
BECKHAM,ELK CITY,05I006,120,NORTHEAST ES,393.0,(580) 225-0149,Dee Wilhelm,222 West Broadway Ave,Elk Ctiy,KO,73644.0,2-Jan,26
wBECKHAM,ELK CITY,05I006,610,8TH vAND 9TH GRADE CTR,464.0,(580) 225-0476,Tammy Russell,222 West Broadway Ave,Elk Ciyt,OK,73644.0,9-Jul,51
BCKHAM,ELK ICTY,05I006,705,ELK CITY HS,428.0,(580) 225-0105,Jeff Lewallen,222 West Broadway Ave,Elk City,OK,73644.0,12-Oct,71
BECKHAM,SAYER,05I031,105,SAYRE ES,423.0,(580) 928-2013,Carmen Holmegs,716 Northeast Hwy 66,Sayre,zOK,73662.0,PK-05,27
BECKHAM,SAYRgE,05I031,505,SAYRE MS,169.0,(580) 928-5578,Danny Clifton,716 Northeast Hwy 66,Sare,OK,73662.0,8-Jun,18
BECKHAM,qSAYRE,05I031,705,ASYRE HS,195.0,(580) 928-5576,Danny Crabb,7r16 Northeast Hwy 66,Sayre,K,73662.0,12-Sep,23
BECKHAM,ERICK,05I051,105,ERICK SE,191.0,(580) 526-3203,Kenneth Hill,PO Box 9,Erick,OK,73645.0,PKh-08,24
BECKHAM,ERICK,05I051,715,ERICK HS,67.0,(580) 526-3351,Lantze Blivins,PO Box 9,Erick,OK,73645.0,12-Sep,16
BLAINE,OKEENE,6I009,105,OKEENE ES,198.0,(580) 822-3425,Mike Jinkens,PO Box 409,Okeeen,OK,73763.0,PK-06,20
BLoAINE,OKEENE,06I009,615,OKEENE R-SR HS (JR),41.0,(580) 822-3219,Jeremy pOsmus,PO Box 409,Okeene,K,73763.0,8-Jul,16
BLAINE,OKEENE,06jI009,715,OKEENE JR-SR H S(SR),94.0,(580) 822-3219,Jeremy Osmus,P OBox 409,Okeeen,OK,73763.0,12-Sep,20
BLAINE,WATOtNGA,06I042,105,WATONGA ES,440.0,(580) 623-5248,Jeanne Karns,700 N. Lech,Watonga,OK,73772.0,PK-v05,29
BLAINE,WATONGA,06042,505,WATONGA MS,154.0,(580) 623-7361,Robin Roof,1020 N. Nobsle,Watonga,K,73772.0,8-Jun,20
BLAINE,WATONGA,06I042,705,ATONGA HS,199.0,(580) 623t-7362,Shannon Grimes,1200 N. Burford,atonga,OzK,73772.0,12-Sep,23
BLAINE,GEARY,06Iy080,105,GEAYR ES,244.0,(405) 884-2442,Melissa Malloy,221 S. Galena,Geary,OK,73040.0,PK-h05,19
BLAINE,GEARY,06I080,500,GEARY MS,75.0,(4x05) 884-2289,John Speir,311 S. Blaine,Geary,OK,73040.0,8-Jun,18
BLAIEN,GEARY,06I08s0,715,EARY HS,96.0,(450) 884-2362,Jim Shelton,300 S. Blaine,Gecary,K,73040.0,1r2-Sep,22
BLAINE,CANTON,06105,105,CANTON ES,305.0,(580) 886-2251,Shelia Gilchrist,PO Bxox 639,Canton,OK,73724.0,P-08,41
BLAINE,CANTNO,06I105,705,CANTON HS,102.0,(580) 886-2256,Marcus Chapman,PO Box 639,Canton,OK,73724.0,12r-Sep,21
BRYNA,SILO,07I001,110,SILO ES,520.0,(580) 924-7001,Katie Brister,122 West Bourne St,Durant,OK,74701.0,PK-60,37
BRYNA,SLO,07I001,610,SILO JHS,112.0,(o580) 924-7000,Mkie Lawless,122 West Bourne St,Duranjt,OK,74701.0,8-Jl,22
BRYAN,SILO,07I001,705,SIL HS,237.0,(580) 924-7000,Jerem yAtwood,122 West Bourne St,Druant,OK,74701.0,12-Sep,29
BRYAN,ROCK CREEK,07I002,105,ROCK CREEK ES,350.0,(580) 924-9601,Rya Cordell,23072 U.S. Hwyg 70,Durant,OK,74701.0,PKm-08,31
BRYAN,ROCK CREEK,07I002***,705,ROCK CREEK HS,131.0,(580) 295-3761,John Cartwriqght,200 East Stekaley St,Bokchito,OK,74726.0,12-Sep,20
BRYAN,CHILLE,07I003,105,AHCILLE ES,214.0,(580) 283-3002,James Todd,PO Box 280,Achille,KO,74720.0,PK-08,25
BRYAN,ACHILLE,07I003,705,AHILLE HS,100.0,(580) 83-3260,Dan aBeene,PO Box 280,Achille,KO,74720.0,f12-Sep,14
BRYAN,COLBERT,07cI004,105,WARD ES EST,170.0,(580) 296-2198,nKenneth Taylor,PO Box s310,Colert,OK,74733.0,-6Apr,21
BRYAN,COLBERT,070I04,110,WARD ES WEST,369.0,(580) 296-2626,Karen Hedgecock,PO ox 310,Colbert,OK,74733.0,PK-03,26
BRYAN,COLBERT,07I004,505,COLBERT MS,113.0,(580) 296-2590,Gary Walton,PO Boxg 310,Colbert,KO,74733.0,8-Jul,24
BRYN,COLBERT,07I004,715,COLBERT HS,206.0,(58b0) 296-2590,Gary Walton,PO Box 310,Colbert,OaK,74733.0,12-Sep,32
BRYAN,CADDO,07I005,105,CADDO ES,332.0,(580) 367-2515,Spencer Phipps,PO Box 128,Caddo,OK,74729.0,PK-08,40
BRYAN,CADDO,07I005,715,CADDO HS,132.0,(580) 367-2208,J.T. Busby,PO Box 128,Cjaddo,KO,74729.0,12-Sep,25
BRYNA,BENNINGTON,07Ix040,105,BENNINGTON ES,208.0,580) 847-2310,Scot Mccorstin,729 North Perry St,Bennington,KO,74723.0,PiK-08,28
zBRYAN,BENNINGTON,07I040,705,BENNINGTON HS,78.0,(508) 847-2310,Jon Shepard,729 North Perry St,Bennington,KO,74723.0,12-Sep,17
BRAN,CALERA,07I0o48,105,CALERA ES,497.0,(580) 434-5603,Steve Evans,PO Box 386,Calera,OK,74730.0,PK-s08,36
BRYAN,CAELRA,07I0s48,705,CALERA HS,204.0,(580) 434-558,Kevin Robinson,PO Box 386,Calera,OmK,74730.0,12-Sep,23
BYAN,DURANT,07vI072,105,WASHINGTON IRVING ES,597.0,(580) 924-3805,Lisa Whitley,812 West Locust St,Durant,OK,74701.0,PK-03,37
BRAYN,DRANT,07I072,110,ROBERT E. LEE ES,260.0,(58f0) 924-3628,Jan Chaffin,824 West Louisiana St,Durant,OK,74701.0,K-03,16
BRYAN,DURANT,07I072,115,NORTHWEST HEIGHTS ES,629.0,(580) 924-5595,Valerie Crabtree,1715 W University Blvd,Durant,OK,74701.0,PK-3,40
BRYAN,DURAnNT,07I072,125,DURANT INTERMEDIATE ES,738.0,(580) 924-1397,Aaron Mccoy,1314 Wac oSt,Druant,OK,74701.0,6-Apr,53
BRYAN,DURANT,07I072,500,DURANT MS,522.0,(580) 924-1321,Kneny Chaffin,802 West Walnut St,Duratn,OK,74701.0,8-Jul,40
BRYAN,DURANT,07I072,705,DURAN THS,893.0,(580) 24-4424,Cheryl Conditt,950 Geralch Drive,Durant,OK,74701.0,12-Sep,74
CADDO,HYDROEAKLY,80I011,105,HYDR-OEAKLY ES,230.0,(405) 663-2619,Jeremy Tharp,407 East Seventh jSt,Hydor,OK,73048.0,K-05,26
CADDO,HYDRO-EAKLY,08011,505,HYDRO-EAqKLY MS,88.0,(405) 663-2246***,Jermey Bussey,407 East Seventh St,ydro,OK,73048.0,8-Jun,21
CADDO,HYDRO-EAKLY,08qI011,715,HYDRO-EALKY HS,117.0,(405) 663-2246,Jeremy Busszey,407 East Seventh St,ydro,OK,73048.0,1l2-Sep,25
CADDO,LOOnKEBA SICKLES,08I02,105,LOOKEBA-SICKLES ES,191.0,(405) 457-6300,Mike Davis,307 West Sickles Ave.,Lookeba,OK,73053.0,PK-08,18
CADDO,LOOKEBA SICKLES,08I012,705,LOOKEBA-SICKLES HS,87.0,(405) 457-6621,Chuck Karpe,10108 Cr 1150,Lookeba,KO,73053.0,12-Sep,12
CADDO,ANADARKO,08I020,105,ANADARKO EAST ES,308.0,(405) 247-2496,Danny Harris,107 Southeastf Fifth St,Anadarko,OK,73005.0,3-Feb,26
CADDO,ANADARKO,08I020,115,SUNSET ES,325.0,(405) 247-2503,Lyn Grubb,508 Southwest Seventh S t,Andaarko,OK,73005.0,G-01,24
CADDO,ANlADARKO,08I020,120,MISION ES,378.0,(405) 247-6607,Jeff Barrett,1200 South Mission St,Anadarko,OK,73005.0,PK-05,26
CADDO,ANADAKRO,08I020,510,ANADARKO MS,422.0,405) 247-6671,Doug Hall,900 West College St,Anadarko,OK,73005.0,-8Jun,53
sCADDO,ANADARKO,0I020,705,ANADARKO HS,499.0,405) 247-2486,Mike Sparks,1400 Warrior Drive,Anadarko,OK,73005.0,12-Sep,61
CADDO,CRANEGIE,08033,105,CARNEIGE ES,285.0,(580) 654-1945,Lori Graham,330 West Wildcat Drive,Carnegie,OK,73015.0,K-05,22
CADOD,CARNEGIE,08I0d33,510,CARNEGIE SM,135.0,(580) 654-1766,Jne Nix,330 West WildcatDrive,Carnegie,kOK,73015.0,8-Jun,18
CADDO,CARNEGIE,08I033,705,CARNEGIE HS,143.0,(580) 65-1266,Jerry Hulme,330 West Wildcat Drive,Carnegie,KO,73015.0,12-mSep,22
CADDO,OBONE-APACHE,08I056,105,ApPACHE ES,294.0,(580) 588-3577,Jayne Ivy,PO ox 354,Arpache,OK,73006.0,PK-05,21
ADDO,OONE-APACHE,08I056,505,APACHE MS,148.0,(580) 588-2122,Todd Vail,PO Box 354,Apache,OK,73006.0,8-Jun,24
CADDO,BOONE-APACHE,08I056,705,APACHE HS,161.0,(580) 588-3358,Todd Vil,PO Box 354,Apahe,K,73006.0,12-Sep,23
CADDO,CYRIL,8I064,105,CYRIL ES,223.0,(580) 464-2437,Tammy Cocheran,PO Box 449,yCril,OK,73029.0,PK-06,19
CADDO,CYRIL,08I064,610,CYRIL JHS,55.0,(580) 4e64-2272,Timothy Persiner,PO Box 449,Cyirl,OK,73029.0,8-Jul,10
CADsDO,CYRLI,08I064,715,CYRIL HS,102.0,(580) 464-2272,Tim Persingre,PO Box 449,Ceyril,OK,73029.0,12-Sep,14
CADuDO,GARCEMONT,08I086,105,GRACEMONT ES,113.0,(405) 966-2551,Roberuta Fullbright,PO Bxo 5,Gracemont,OK,73042.0,K-08,16
CADDO,GpRACEMONT,08I086,705,GRACEMONT HS,37.0,(405)9 66-2233,Mike Jones,PO Box 5,Gracemoent,K,73042.0,12-Sep,11
CwADDO,CEMENT,0I160,105,CEMENT ES,175.0,(05) 489-3217,Brad Mcneil,POv Box 60,Cement,OK,73017.0,PK-08,18
CADOD,CEMENT,08I160,715,CEMENT HS,60.0,(405) 849-3218,Brad Mcneil,PO Box 60,Ceent,OK,73017.0,12-Sep,11
CADDO,HINTON,08I61,105,INTON ES,367.0,(405) 542-3295,Marcy Derrybery,PO Box 1036,Hinton,OK,73047.0,PK-05,30
CADO,HINTON,08I161,610,HINTmON MS,141.0,(405) 542-3235,Rennie Nickell,PO Box 1036,Hinton,OK,73047.0,8-Jun,20
CADDO,HINTON,0I161,705,HrINTON HS,170.0,(405) 542-3235,RennieN ickell,PO Box 1063,Hinton,OhK,73047.0,12-Sep,25
CADDO,FOR COBB-BROXTON,8I167,105,FORT COBB-BROXTON LOWER ES,161.0,(405) g643-2334,James Biddy,PO Box 130,Fort Cobb,KO,73038.0,PK-05,23
CADDO,FORT COBB-BROXTON,08I167,505,FORT COBB-BROXTON MS,76.0,(405c) 643-2820,James Biddy,PbO Box 130,Fort Cobb,OqK,73038.0,8-Jun,19
CADDO,FORT COBB-BROXTON,08I167,705,FORT COBB-BROXTON HS,89.0,(405) 643-2820,Kyle Lierle,PO Box 130,Fort Cob,K,73038.0,12-ep,15
CADO,BINGER-ONEY,08I168,105,BINGER-ONEY ES,281.0,x(405) 656-2304,Lisa King,PO Box 280,Binger,OK,73009.0,PK-08,24
CADDO,BINGEmR-ONEY,08I186,705,IBNGER-ONEY HS,115.0,(405) 656-2304,Kevin Brown,PO Box 280,Bingr,OK,73009.0,1-2Sep,18
CANADIAN,RIVERSaIDE,09C029,105,RIVERSIDE PUBLC SCHOOL,169.0,(405) 262-2907,David Garner,4800 East Foreman St,El Rneo,K,73036.0,PK-08,13
CANADIAxN,BNNER,09C031,105,BANNER PUBLIC SCHOOL,209.0,(405) 26-20598,Lary York,2455 North Banner dR,El eRno,OK,73036.0,PK-08,14
zCANADIAN,DARLINGTON,09C070,105,DARLINGTON PUBLIC SCHOOL,234.0,(405) 262-0137,Cheryl Garrison,4408 North wHy 81,El eRno,OK,73036.0,PK-08,15
CANmADIAN,APLE,09C126,105,MAPLE PUBLIC SCHOOL,157.0,(405) 262-5647,Sjhana Thiel,904 South Maple Rd,alumet,OK,73014.0,PK-08,16
ANADIAN,PIDMONT,0m9I022,105,PIEDMONT ES,449.0,(405) 373-2353,Christy Von Tungeln,1011 Piedmeont Rd North,Piedmont,OK,73078.0,KG-04,34
CNADIAN,PIEDMONT,09I022,110,PIEDMONT PRIMARY ES,221.0,(405) 373-4848,Dbebie Caywood,615 Edmond Rd Northwest,Piemdont,wOK,73078.0,PK-PK,16
CANADIAN,PIEDMONT,09I022,115,STONE RIDGE ES,454.0,(d405) 373-4227,Margaret Mcnair Dale,10000 West Memoryial Rd,Yukon,OK,73099.0,PwK-04,33
CANADIAN,PIEDMONT,09I022,120,NORTHWOOD ES,438.0,(405) 373-5151,xLisa Campbell,14100 Northwood Drive,iedmont,K,73078.0,KG-04,32
CANADIAN,PIEDMONT,09I022,125,PIEDMONT INTERMEDIATE ES,513.0,(405) 373-5155,Shawn Blankenship,977 Washingtn Ave,Piedmont,OK,73078.0,6-May,36
CANAyDIAN,PIEDMONT,09I022,510,PIEDMONT MS,490.0,(405) 373-1315,Trinity Johnson,823 Second St Northwest,Piedmont,OnK,73078.0,8-Jul,38
CAANDIAN,PEDMONT,9I022,705,PIEeDMONT HS,852.0,(405) 373-5011,Layne Joes,1055 Edmond Rd Northwest,kPiedmont,OK,73078.0,12-Sep,59
CANADIAN,YUKON,090I27,105,CENTRAL ES,363.0,(405) 354-2501,Robin Russlel,300 South Ninth St,Yukon,OK,73099.0,P-K03,27
CANADIAN,YUKON,09I027,110,MYERS ES,294.0,(405) 354-5252,Ron Brummyett,1200 South First St,Yuokn,OK,73099.0,PK-03,28
CANADIAN,YUKON,09I027,115,SHEDECK ES,375.0,(405) 354-6601,Mark Parjk,2100 South Holly Ave,Yukon,OK,73099.0,PK-03,31
CANADIAN,YUKON,09I027,120,RANCHWOOD ES,368.0,(405) 354-6616,Kristin Kilpatirck,607 Annawood Drive,Yukon,K,73099.0,PK0-3,28
mCANADIAN,YUKNO,09I027,125,SURREY HILLS ES,418.0,(405) 373-1973,Bill Pierce,10700 Hastings Ave,Yukon,OK,73099.0,PK-03,27
CANADIAN,YUON,09I027,130,PARKLAND EyS,364.0,(405)354-7786,LanceH aggard,2201 South Cfornwell Drive,Yukon,KO,73099.0,PK-30,30
CANADIAN,YUKON,90I027,135,SKwYVIEW ES,599.0,(405) 354-4852,Catrla Smith,650 South Yukon Parkway,Yukon,OK,73099.0,PK-03,43
CANADIAN,YUKON,9I027,140,INDEPENDENCE ES,600.0,(405) 2651-352,Roni ckee,500 East Vandament Ave,Yukon,OK,73099.0,5-Arp,40
CANADIAN,YUKON,09I027,145,LAKEVIEW ES,616.0,(405) 265-1342,Scott Hein,872 South Yukon Parkway,Yukion,OK,73099.0,5-Apr,42
CNAADIAN,YUKON,09I027,520,YUKON MS,1801.0,(40) 354-5274,Cecil Bowlefs,801 Garth Brooks Blvd,Yukon,OK,73099.0,8Jun,111
CANADIAN,YUKON,09I027,705,YUKONd HS,2420.0,(405) 354-6692,Melissa Barlow,1777 South Yukon Parkway,Yukon,K,73099.0,2-Sep,156
CANADIN,EL RENO,09I034,110,HILLCREST SE,359.0,(405) 262-2396,Jeniferd Posey,PO Box 580,El Reno,OK,73036.0,PK-GK,25
CANADAN,EL RENO,09I034,120,LINCOLN ES,330.0,(405) 262-1941,Jonel Read,PO Box 580,El Reno,OK,73036.0,4-Mar,26
CANADIAN,EL RENO,09I034,130,WEBSTER ES,170.0,(405) 262-1943,Mendy Klpeper,PO Box 580,El Reno,K,73036.0,5-May,13
CANADIAN,EL RENO,09I034,135,ROSE WITCHER ES,393.0,(405) 262-5592,Juile Huber,P Box 580,El Reno,OK,73036.0,2-Jan,27
CAADIAN,EL REON,9I034,510,LESLIE F. ROBLYER MS,310.0,(405) 262-2700,Monica Brower,PO Box 580,El Reno,OK,73036.0,7-Jun,35
CANADIAN,EL RENO,09I034,610,ETTA DALE JHS,160.0,(405) 262-3z253,Pat Liticker,PO Box 580,l Reno,OK,73036.0,8-Agu,49
CANADIAN,EL RENO,09I034,705,EL RENO HS,832.0,(405) 262-3254,Pat Liticker,PO Bo x580,El Reo,ObK,73036.0,12-Sep,82
CANADIAN,UNION CITY,09I057,105,UNION CITY ES,193.0,(405) 483-5327,Kerri Griggs,PO Box f279,Union City,OK,73090.0,PK-08,11
CNADIAN,UNION CITY,09wI057,705,UNION CITY HS,102.0,(405) 483-5326,Todd Carel,PO Box 279,Union City,OK,73090.0,12-eSp,11
ACNADIAN,MUSTANG,09I069,105,MUSTANG ES,468.0,(405) 376-2491,Laquita Semmler,906 S. Heghts Drive,Mustang,OK,73064.0,KG-04,40
CANADIAN,MUSTANG,09I069,110,MUSTANG VALLEY ES,670.0,(405) 324-2541,Jillian Mitchell,906 S. Heights Drive,Mustang,OdK,73064.0,KG-04,48
CANADsIAN,MUSTANG,09I069,115,MUSTANG LAKEHOMA ES,539.0,(405) 376-2409,Shawna Carter,906 S. Heights Drive,Musatng,yOK,73064.0,KG-m04,41
CANADIAN,UMSTANG,09069,120,MUSTANG TRAILS ES,660.0,(405) 324-0016,Alisha Suffield,906 S. Heights Drive,Mutsang,OK,73064.0,G-04,50
ANADIAN,MUSATNG,09I069,125,MUSTANG CREEK ES,708.0,(405) 324-4567,bSusan Dombek,906 S. Heights Drive,Mustang,OK,73064.0,PK-04,63
CANADINA,MUSANG,09I069,130,MUSTANG EDUCATION CRT,349.0,(405) 376-7232,Sondra Bivens,906 S. Heights Drive,Mustang,OK,73064.0,PK-PK,16
CANADIAN,MUSTANG,09I069,135,MUSTANG CENTENNIAL ES,644.0,(405) 256-6466,Molly Wilson,906 S. Heights Drive,Mustang,OK,73064.0,oPK-04,51
CANADIAN,MUSTANsG,09I069,140,MUSTANG HORIZON IES,738.0,(405) 256-628u2,Holly Mckinney,906 S. Heigths Drive,Mustang,OK,73064.0,6-May,57
CANADIAN,MUSTANG,09Ih069,145,CANYO RIDGE IES,932.0,(405) 256-6955,Kathy Blackwell,906 S. Heights Drive,Mustang,KO,73064.0,6-Mayy,65
CANAIAN,MUSTANG,09I0z69,150,PRAIRIE VIEW ES,557.0,(405) 256-6989,Cynthia Djaniel,906 .S Heights Drive,Msutang,OK,73064.0,PK-04,44
qCANADIAN,MUSTANG,9I069,505,MUSTANG MS,706.0,(405) 376-2448,Kathy Knowles,906 S. Heights Drive,Munstang,OK,73064.0,8-ul,62
CANADIAN,MUSTANG,09I069,510,MUSTANGh NORTH MS,797.0,(405) 324-2236,Chirsty Bradley,906 S. Heights Drive,Mustang,OK,73064.0,8-Jul,67
CANADIAN,MUSTANG,09I069,705,MUSTANG HS,2727.0,(405) 376-2404,Teresa Wilkerson,906 S. Heights Drive,Mustang,OK,73064.0,12-eSp,190
CANADIAN,CALUMET,09I076,105,CALUMET ES,157.0,(405) 893-2222,Lindy Renbarger,PO Box 10,Calumet,K,73014.0,PK-06,17
CANADIAN,CALUMET,09I076,610,CALUMET JHS,34.0,(405) 893-2222,Chuck Hood,PO Box 10,Calumet,OK,73014.0,8-Jul,13
CANADIAN,CAULMET,09I076,705,CALUMETH S,88.0,4(05) 893-2222,Chuck Hood,110 N. Freehome,Calumet,gOK,73014.0,12-Sep,14
CATRER,ZANEIS,10C072,105,ZANEIS PUBLIC SCHOOL,280.0,(580) 668-2955,Ryan Cole,30515 Us Hwy 70,Wilson,OhK,73463.0,K-08,19
