OBJECTID,ACRES,USE_,MODIFICATIONS,LANDUSE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
6433,16.38843355,School,,Institution/Government,,,,,713880.189127835,3658.35152264085
6434,416.8049821,,10/14/10,Agriculture/Open Space,,,,,18156025.2347092,24946.8501573441
6435,15.86111233,,10/14/10,Agriculture/Open Space,,,,,690909.812185596,3838.90216653247
6436,62.39099748,,10/14/10,Agriculture/Open Space,,,,,2717751.72106322,7284.12768720893
6437,52.20440559,,,Low Density Residential,,,,,2274023.91526058,13576.390452677
6438,4.14555403,,,Low Density Residential,,,,,180580.268259432,1785.64008658197
6439,5.91910516,,,Low Density Residential,,,,,257836.174843043,2307.75626363096
6440,5.57739458,,,Low Density Residential,,,,,242951.251277375,2282.57566809773
6441,6.39627882,,,Low Density Residential,,,,,278621.991904249,2572.83722398364
6442,1556.34718891,,10/14/10,Agriculture/Open Space,,,,,67794483.4898633,32972.6129708252
6443,33.88323035,,,Low Density Residential,,,,,1475953.51401228,11277.1794979699
6444,9.44163193,,,Low Density Residential,,,,,411277.43784722,3499.64962092032
6445,5.48295138,,,Low Density Residential,,,,,238837.341197208,2062.04087749111
6446,7.31803984,,,Low Density Residential,,,,,318773.828950234,3328.02454412366
6447,48.64141797,,,Low Density Residential,,,,,2118820.14599849,15018.6287396101
6448,441.81362535,,10/14/10,Agriculture/Open Space,,,,,19245401.0720286,34320.5411884113
6449,5.56280919,Recreation Center,,Institution/Government,,,,,242315.919830934,2476.43538394415
6450,5.24048277,Public Park,10/14/10,Recreation,,,,,228275.360202082,2284.41830534804
6451,52.56688852,,,High Density Residential,,,,,2289813.68174856,8609.35981153192
6452,15.38282803,,,Business/Commercial,,,,,670076.06728062,3280.73036053221
6453,13.70449361,,,Medium Density Residential,,,,,596967.821092888,4319.66918479058
6454,5.19070596,Franklin Field,,Institution/Government,,,,,226107.149186207,2114.19624826222
6455,44.54336036,,,Medium Density Residential,,,,,1940308.84470925,11265.6897290472
6456,10.62212455,,,Low Density Residential,,,,,462699.665704735,4590.28465601187
6457,3.18072578,Arboretum,10/14/10,Recreation,,,,,138552.458245264,1566.18124672641
6458,29.3279146,,,Low Density Residential,,,,,1277524.05929416,9570.13354828889
6459,9.18667705,,,Low Density Residential,,,,,400171.602286082,3352.16383131529
6460,3.84233975,,,Low Density Residential,,,,,167372.395514504,1666.00285472884
6461,14.5901747,,,Low Density Residential,,,,,635547.886862976,5876.98022392717
6462,71.5994584,School,,Institution/Government,,,,,3118872.47088711,6886.71906872189
6463,15.18673685,,,Low Density Residential,,,,,661534.201284978,3686.84147269839
6464,5.62419436,,,Low Density Residential,,,,,244989.910332789,2224.62900580127
6465,8.13857391,,,Low Density Residential,,,,,354516.394403654,2842.42219073409
6466,6.4872986,,,Low Density Residential,,,,,282586.7018154,2497.70945025495
6467,54.62969504,,,High Density Residential,,,,,2379669.53885504,7857.04387603853
6468,151.31142439,,,Low Density Residential,,,,,6591125.87694891,17036.0154714831
6469,115.92156494,School  Future,,Institution/Government,,,,,5049543.59721954,9999.48963934274
6470,85.27707422,,,Low Density Residential,,,,,3714669.48135384,8741.11684312678
6471,78.38462878,,,Low Density Residential,,,,,3414434.39631872,32381.3649945553
6472,55.83238229,Golf Course,10/14/10,Recreation,,,,,2432058.72095233,10556.5962536006
6473,46.80360247,,,Business/Commercial,,,,,2038764.63335147,6194.69586160707
6474,13.13677564,,,Low Density Residential,,,,,572237.88573635,4644.62811023735
6475,1.06411663,,,Medium Density Residential,,,,,46352.9272538409,929.168335897517
6476,5.93530458,,,Medium Density Residential,,,,,258541.87773235,2449.48952700757
6477,16.09487828,,,Low Density Residential,,,,,701092.953104703,5550.33818867838
6478,6.00665736,,,Medium Density Residential,,,,,261650.052513433,2831.90342573574
6479,39.5578369,,,Low Density Residential,,,,,1723139.35181638,10851.7500846441
6480,130.93724596,,,Low Density Residential,,,,,5703626.53067048,23545.400875876
6481,9.83679259,,,Low Density Residential,,,,,428490.723339922,3263.37332356292
6482,0.02068709,,,Low Density Residential,,,,,901.132018044099,121.110386852281
6483,0.11391589,,,Low Density Residential,,,,,4962.18019189947,386.450932476213
6484,0.29123274,,,Low Density Residential,,,,,12686.1199411726,900.489284003027
6485,6.89207425,,,Low Density Residential,,,,,300218.747751818,2556.17785731245
6486,381.12826399,,10/6/10,Suburban Mixed Use,,,,,16601947.0776667,32823.3723650315
6487,32.15234989,,,Low Density Residential,,,,,1400556.30150836,7829.72126392629
6488,1.15701774,,,Low Density Residential,,,,,50399.6843947204,944.433610446569
6489,4.88411204,,,Low Density Residential,,,,,212751.893995703,1864.0463017927
6490,6.77976249,,,Low Density Residential,,,,,295326.445146591,2984.49703773206
6491,180.22580818,,,Low Density Residential,,,,,7850636.11367625,49295.0310071347
6492,3.73371534,,,Low Density Residential,,,,,162640.591042455,1668.22388459802
6493,4.96985587,,,Low Density Residential,,,,,216486.922050907,2137.59487848583
6494,203.56336908,,,Low Density Residential,,,,,8867220.26121058,15643.3735744929
6495,232.64964236,,,Low Density Residential,,,,,10134218.0705098,40366.5378408046
6496,218.33588733,,,Industrial/Logistics,,,,,9510711.3769413,26729.9591202272
6497,3.46525411,Public Utilities,,Institution/Government,,,,,150946.423249653,1686.95522735847
6498,515.90447552,,,Industrial/Logistics,,,,,22472798.9422692,27591.8754646122
6499,1.48146744,Fire Station No 10,,Institution/Government,,,,,64532.6587496971,1060.63182046421
6500,20.95535909,,,Conservation,,,,,912815.070046768,5608.20020661962
6501,1621.20653759,,,Conservation,,,,,70619756.6177134,57331.3632476248
6502,67.73189298,,,Conservation,,,,,2950401.32967674,10035.4694010211
6503,10.039558,,,Low Density Residential,,,,,437323.2020323,4722.1921810683
6504,4.27351973,Mitigation Bank,,Conservation,,,,,186154.492594638,1696.35436224653
6505,16.53200029,Mitigation Bank,,Conservation,,,,,720133.838495315,5034.27355436396
6506,0.00579674,,9/23/10,Urban Mixed Use,,,,,252.53063729021,520.332582902284
6507,17.69669137,,,Low Density Residential,,,,,770867.911875729,5684.94593467662
6508,11.13841054,Mitigation Bank,,Conservation,,,,,485189.182149629,3003.11551937132
6509,52.41213116,,,Light Industry/Logistics,,,,,2283072.16501487,10542.0363393751
6510,2.35705075,Mitigation Bank,,Conservation,,,,,102673.183960007,1234.68314292654
6511,20.40010018,,,High Density Residential,,,,,888628.466331415,3867.54504564612
6512,48.33432534,,,Conservation,,,,,2105442.83388783,6586.94314499972
6513,165.51067505,,Change per PUD plan 5/20/13,Suburban Mixed Use,,,,,7209644.75759222,14789.5792900703
6514,332.7684124,,From O/R to LI 5/14/13 per KS/JS,Light Industry/Logistics,,,,,14495391.7431046,32021.4897821274
6515,95.82320115,,,Conservation,,,,,4174058.94336179,29273.0875094149
6516,671.86440455,,10/14/10,Agriculture/Open Space,,,,,29266413.2139772,41154.9961634225
6517,15.78946633,School,,Institution/Government,,,,,687789.123934247,3587.09836900588
6518,98.85088373,,,Low Density Residential,,,,,4305944.62599387,30707.4758654402
6519,4.61999437,,,Low Density Residential,,,,,201246.918543169,2266.54958563368
6520,5.21271569,PW Mitigation,,Conservation,,,,,227065.79134014,3199.95151630865
6521,1738.22658046,,10/14/10,Agriculture/Open Space,,,,,75717150.0397579,48785.9520006418
6522,39.9345039,,,Low Density Residential,,,,,1739546.90719877,10925.5228427838
6523,6.64054925,,,Low Density Residential,,,,,289262.320877066,2109.88078095755
6524,7.24937573,,,Low Density Residential,,,,,315782.936289825,3641.45003931513
6525,28.47428651,,10/14/10,Agriculture/Open Space,,,,,1240339.85054682,5385.72442685593
6526,0.15660962,,,Conservation,,,,,6821.91304174972,877.229644615365
6527,758.32900204,Northwest River Park,10/14/10,Recreation,,,,,33032811.3555783,31206.4091919672
6528,0.00413265,,10/14/10,Agriculture/Open Space,,,,,180.015599839391,61.0365210908049
6529,0.00356979,,10/14/10,Agriculture/Open Space,,,,,155.496599041399,61.8582363286729
6530,0.00535765,,10/14/10,Agriculture/Open Space,,,,,233.379860303098,74.4496956568308
6531,3036.10036127,US Navy Northwest Radio Station,,Institution/Government,,,,,132252531.578089,54618.5180107849
6532,17.55413253,,,Medium Density Residential,,,,,764658.009509544,8355.53467679934
6533,0.0010676,,,Medium Density Residential,,,,,46.5041117865734,235.009245798599
6534,86.2719047,,11/02/10,Low Density Residential,,,,,3758003.85098834,9447.19275541538
6535,37.57614466,,10/14/10,Airport,,,,,1636816.86083424,7288.73364942933
6536,105.33197764,,,Low Density Residential,,,,,4588260.66183435,23930.2469314859
6537,1.94615565,,,Business/Commercial,,,,,84774.4355122338,1499.43856374584
6538,0.59000914,,,Business/Commercial,,,,,25700.8067212469,675.281465976038
6539,260.53942366,,10/14/10,Agriculture/Open Space,,,,,11349097.7213989,25281.943839933
6540,9.02614168,,10/14/10,Agriculture/Open Space,,,,,393178.891102507,2889.55132195804
6541,879.81504793,TNC Property,,Conservation,,,,,38324743.8637907,48334.088815962
6542,775.46959481,,10/14/10,Agriculture/Open Space,,,,,33779455.0533432,30614.6873206352
6543,84.67390923,,10/14/10,Agriculture/Open Space,,,,,3688395.71872287,12742.4057730861
6544,3.25787021,,,Medium Density Residential,,,,,141912.875768217,2250.71806619036
6545,3.75977996,,,Conservation,,,,,163775.898525452,4269.01370849591
6546,5.52174115,,,Medium Density Residential,,,,,240527.091180817,2073.22311221172
6547,4.11712938,,,Medium Density Residential,,,,,179341.979749447,1988.38944088615
6548,1.71059515,,,Industrial/Logistics,,,,,74513.5259262502,1163.90713315543
6549,2.81367988,,,Business/Commercial,,,,,122563.850848945,1460.84366116411
6550,4.84427839,,,Medium Density Residential,,,,,211016.790438273,2279.67547208029
6551,6.66659761,,,Business/Commercial,,,,,290397.012391232,3281.38695871536
6552,3.47083178,,,Business/Commercial,,,,,151189.41184738,2125.28322209935
6553,1.76133519,,,Medium Density Residential,,,,,76723.7502337186,1192.59916303212
6554,16.99699121,,,High Density Residential,,,,,740388.902808886,3598.24215652264
6555,96.36369526,,,Low Density Residential,,,,,4197602.74945116,28537.1181531802
6556,15.43317124,School,,Institution/Government,,,,,672268.92541465,3583.64307436611
6557,2.45523842,,,Business/Commercial,,,,,106950.146893863,1542.89496229915
6558,5.66684424,,,Low Density Residential,,,,,246847.768763803,2086.55665041848
6559,22.4585592,School,,Institution/Government,,,,,978294.661093845,5035.66473930903
6560,0.06806777,,,Medium Density Residential,,,,,2965.02006165759,324.088907074157
6561,7.6725577,,,Low Density Residential,,,,,334216.62746804,3090.44795606149
6562,1.80449964,,,Medium Density Residential,,,,,78604.0321386709,1422.59703870253
6563,15.20148681,,,Medium Density Residential,,,,,662176.671632152,5557.50329943112
6564,6.5417365,,,Low Density Residential,,,,,284958.040260602,2446.42548083457
6565,38.56482268,,,High Density Residential,,,,,1679883.84426481,22851.8003563986
6566,1.33388322,,,Medium Density Residential,,,,,58103.9268422911,1133.08877713
6567,335.67064399,,10/14/10,Agriculture/Open Space,,,,,14621813.2827432,16993.6169182888
6568,5.30212836,,,Low Density Residential,,,,,230960.748233916,2796.17939862292
6569,4.025002,,,Low Density Residential,,,,,175329.196204087,2443.50656956686
6570,4.95900343,,,Low Density Residential,,,,,216014.155866281,2584.64305209507
6571,0.05571527,,10/14/10,Agriculture/Open Space,,,,,2426.95875756634,209.494581899998
6572,3.58853742,,,Low Density Residential,,,,,156316.68909725,1948.81672158307
6573,50.26614983,,,Low Density Residential,,,,,2189593.53213405,14243.0951549264
6574,38.27792118,,,Low Density Residential,,,,,1667386.18391245,9687.13526355693
6575,0.58912484,,,Conservation,,,,,25662.3007180365,931.797535967786
6576,10.54888424,,10/14/10,Agriculture/Open Space,,,,,459509.501518392,4418.42769675647
6577,2193.30123842,,,Conservation,,,,,95540201.1833191,94978.0182843541
6578,0.34171036,,10/14/10,Agriculture/Open Space,,,,,14884.8899782356,624.651119831175
6579,46.06102204,,,Conservation,,,,,2006418.30110845,6244.10271851638
6580,166.05032497,,,Low Density Residential,,,,,7233151.79743186,11917.7109995447
6581,399.46893503,,10/14/10,Agriculture/Open Space,,,,,17400866.8718699,26514.6833350109
6582,3.04208305,,,Business/Commercial,,,,,132513.129278773,1467.39229263138
6583,391.86335099,,10/6/10,Industrial/Logistics,,,,,17069567.9443977,27920.5154175349
6584,1.55446385,,10/6/10,Industrial/Logistics,,,,,67712.4139814441,1187.91359792282
6585,0.6162269,Mosquito Control Office,,Institution/Government,,,,,26842.8383451388,657.245806513271
6586,0.000609,,,Low Density Residential,,,,,26.5284823568912,25.7141445367745
6587,62.60842755,,,Low Density Residential,,,,,2727223.06304484,23069.4326893856
6588,71.88291163,,,Conservation,,,,,3131219.62663967,19737.4699680757
6589,24.9675624,,,Conservation,,,,,1087586.99216112,8481.77594223459
6590,289.00102951,,10/14/10,Agriculture/Open Space,,,,,12588884.6890628,17633.3170156903
6591,272.94727373,,10/14/10,Agriculture/Open Space,,,,,11889583.502523,15281.57478429
6592,23.79442302,,10/14/10,Agriculture/Open Space,,,,,1036485.13472945,4205.74125197223
6593,1.74526087,,,Business/Commercial,,,,,76023.5822340033,1079.77139048986
6594,3.44071805,,10/14/10,Agriculture/Open Space,,,,,149877.716539019,2197.97411821337
6595,4.6840751,,,Business/Commercial,,,,,204038.299848111,2165.63508961849
6596,0.64580056,,,Business/Commercial,,,,,28131.0935379111,949.022876689148
6597,129.2117874,,10/14/10,Agriculture/Open Space,,,,,5628465.35566773,10024.0944800343
6598,12.45657416,School,,Institution/Government,,,,,542608.335822325,3439.65916954234
6599,27.68622297,,,Conservation,,,,,1206011.8781715,15082.697063462
6600,8.1920066,,,Low Density Residential,,,,,356843.902540975,2780.12370428491
6601,7.10758391,,,Low Density Residential,,,,,309606.36137187,2577.4184820195
6602,5.30751719,,,Low Density Residential,,,,,231195.461546765,1883.94828825779
6603,6.25827078,,,Low Density Residential,,,,,272610.272824951,2443.94790988137
6604,4.77902004,,,Low Density Residential,,,,,208174.090309925,1999.67002934847
6605,2.34729054,,,Medium Density Residential,,,,,102247.993627552,1459.14844530681
6606,2.67860485,,,High Density Residential,,,,,116680.015896004,2685.79972768341
6607,2.98163424,,,Medium Density Residential,,,,,129879.997063006,1953.46482532237
6608,1.50431403,,,High Density Residential,,,,,65527.8670539516,1055.55520223549
6609,432.57131461,,,Low Density Residential,,,,,18842806.4667526,106117.832994346
6610,7.45079441,,,Low Density Residential,,,,,324556.643718244,3047.10954278784
6611,1.53168269,,,High Density Residential,,,,,66720.0985215325,1499.37132637978
6612,4.10945534,,,Low Density Residential,,,,,179007.870455697,1736.70055752195
6613,4.13152695,,,Industrial/Logistics,,,,,179969.375277108,1902.92160561936
6614,19.98149611,,,Business/Commercial,,,,,870394.062817305,6279.231359617
6615,13.00337967,,,Medium Density Residential,,,,,566427.288778395,3578.99343903249
6616,0.99488019,,,Medium Density Residential,,,,,43336.9849019308,1029.32442463084
6617,0.71454571,,,Medium Density Residential,,,,,31125.6325256035,860.63099230834
6618,3.74509707,,,Medium Density Residential,,,,,163136.361526453,1793.26460187389
6619,1.1678192,,,Low Density Residential,,,,,50870.1985579965,975.27730717013
6620,28.70625363,,,Medium Density Residential,,,,,1250444.67210886,15550.7112514215
6621,9.18409139,,,Low Density Residential,,,,,400059.040515302,3172.03348299146
6622,0.17786397,,,Office,,,,,7747.75114496708,328.192497717338
6623,6.41698733,,,Low Density Residential,,,,,279523.970802452,2388.82389080985
6624,9.48885782,,,Low Density Residential,,,,,413334.687318788,3284.28615963109
6625,6.10075385,,,Low Density Residential,,,,,265748.825506382,2416.30171274009
6626,1.86245661,,,Low Density Residential,,,,,81128.6049261807,1225.29469180699
6627,7.01261386,,,Medium Density Residential,,,,,305469.454167542,2264.46017850916
6628,13.99047031,,,Medium Density Residential,,,,,609424.95807909,8393.91994378604
6629,3.614746,,,Low Density Residential,,,,,157458.273976369,1615.31594188472
6630,5.90250758,,,Low Density Residential,,,,,257113.241883663,2247.10850995002
6631,7.9685146,,,Low Density Residential,,,,,347108.531247454,2923.76027795673
6632,13.1698641,,,Low Density Residential,,,,,573679.25610033,3571.30368960359
6633,6.43188446,,,Low Density Residential,,,,,280172.867804297,2528.34615711511
6634,5.19390975,,,Low Density Residential,,,,,226246.677607726,2152.1791515218
6635,27.09394483,,,Conservation,,,,,1180212.1987803,6532.15779130875
6636,44.56364446,,,Business/Commercial,,,,,1941192.25743716,5870.35110894994
6637,62.34336289,,10/14/10,Medium Density Residential,,,,,2715676.8532025,7475.12237544804
6638,8.00067113,,,Low Density Residential,,,,,348509.140938054,3090.46751481297
6639,6.80234056,,,Low Density Residential,,,,,296309.875534326,2597.23404231113
6640,4.20671237,Fire Station No 14/ Library,,Institution/Government,,,,,183244.334422488,1718.71047296974
6641,10.46209167,,,Medium Density Residential,,,,,455728.710006855,2980.79824490248
6642,0.92901349,,,Low Density Residential,,,,,40467.8753355301,991.231735380592
6643,10.91655038,,,Low Density Residential,,,,,475524.888971217,4683.19305931017
6644,2.79280232,,,Conservation,,,,,121654.460957538,1482.05387195219
6645,5.96436781,Mitigation Bank,,Conservation,,,,,259807.847518775,2490.64821446859
6646,11.22818852,,,Business/Commercial,,,,,489099.84959772,3370.17226884917
6647,11.48766333,,,Medium Density Residential,,,,,500402.633397734,6047.8859982581
6648,3.75732208,,,Medium Density Residential,,,,,163668.992885667,1783.97060435965
6649,3.29397387,,,Medium Density Residential,,,,,143485.499124178,1547.90344104603
6650,92.67395797,,,Light Industry/Logistics,,,,,4036877.42879204,13431.363175382
6651,9.6522805,,,Low Density Residential,,,,,420453.352059557,2988.46169294351
6652,1.76331085,,,Medium Density Residential,,,,,76809.8210107842,1812.73534232944
6653,158.52309745,,,Low Density Residential,,,,,6905265.7076675,30522.6475905329
6654,17.50558076,School  Future,,Institution/Government,,,,,762543.208540515,3591.72988304636
6655,5.32857897,,,Conservation,,,,,232112.962995625,2667.15239486549
6656,65.91470557,,,Low Density Residential,,,,,2871244.41752267,8700.42033219772
6657,159.38563136,,,Conservation,,,,,6942838.27642644,17529.8264556092
6658,634.11616263,,10/14/10,Agriculture/Open Space,,,,,27622100.2169073,40165.1577611636
6659,28.9455138,,,Conservation,,,,,1260866.73987824,11218.4822802421
6660,119.35197165,,10/14/10,Agriculture/Open Space,,,,,5198971.91576664,16198.1582747572
6661,2.32210742,,10/14/10,Agriculture/Open Space,,,,,101151.004963981,1401.9006832782
6662,89.18528005,,10/14/10,Agriculture/Open Space,,,,,3884910.86632732,10846.887164142
6663,1.86650302,,10/14/10,Agriculture/Open Space,,,,,81304.8306691794,1866.84955028984
6664,3.43736094,,10/14/10,Agriculture/Open Space,,,,,149731.434893688,3090.86074242523
6665,18.16806963,,10/14/10,Agriculture/Open Space,,,,,791401.149090344,11010.0660308193
6666,2.89865795,,10/14/10,Agriculture/Open Space,,,,,126265.515499796,2046.32430057823
6667,0.06695796,,,Conservation,,,,,2916.66637333383,418.161622803173
6668,1.11312686,,,Conservation,,,,,48487.7791365816,1230.57948673813
6669,2.52208108,,10/14/10,Agriculture/Open Space,,,,,109861.790123028,1995.32293111697
6670,3.89744901,,10/14/10,Agriculture/Open Space,,,,,169772.93198594,2177.8402304589
6671,7.03693768,,10/14/10,Agriculture/Open Space,,,,,306528.79100968,3700.51402337177
6672,17.03278906,,,Low Density Residential,,,,,741948.436822111,7184.21127894188
6673,3.84443819,,,Conservation,,,,,167463.706791338,4292.57081436271
6674,2.34956641,,,Medium Density Residential,,,,,102347.129929267,1339.31832500779
6675,1.21414045,,,Medium Density Residential,,,,,52887.9898024598,1313.97217606063
6676,2.6814814,,,Medium Density Residential,,,,,116805.307620874,1453.25434204288
6677,13.31981326,,,Low Density Residential,,,,,580211.05219263,4229.74246663035
6678,6.64851526,,,Low Density Residential,,,,,289609.32095111,2352.91218252614
6679,3.63891604,,,Low Density Residential,,,,,158511.19240487,1963.24617770525
6680,10.31351545,,,Low Density Residential,,,,,449256.706913962,3316.12282823876
6681,39.57997618,School,,Institution/Government,,,,,1724103.76628558,5169.38706092839
6682,7.9036916,,,Low Density Residential,,,,,344284.844924249,2691.0332535689
6683,12.93370775,,,Low Density Residential,,,,,563392.277109458,5207.44192510257
6684,32.93299516,,10/14/10,Agriculture/Open Space,,,,,1434561.06843824,6877.78460550155
6685,13.60571167,,,Low Density Residential,,,,,592664.805912064,4716.20639802002
6686,10.4570617,,,Low Density Residential,,,,,455509.597854584,4070.75158845712
6687,11.00415697,,,Low Density Residential,,,,,479341.054734461,3618.8389732603
6688,328.09602472,,,Industrial/Logistics,,,,,14291862.6604083,31367.8490621395
6689,719.60885525,,,Light Industry/Logistics,,,,,29142663.8376431,42768.0387275831
6690,413.28516111,,Change per PUD plan 5/20/13,Business/Commercial,,,,,18002749.9369827,18392.5781938042
6691,4.55432946,,,Business/Commercial,,,,,198386.590401468,1784.40885723514
6692,6.21304353,,,Business/Commercial,,,,,270640.177276262,2418.89555844292
6693,16.89546961,,,Low Density Residential,,,,,735966.69201579,3618.00255059536
6694,5.75645571,,,Office,,,,,250751.146019541,2320.85441875024
6695,6.0539484,,,Business/Commercial,,,,,263709.968094391,2330.40648948692
6696,5.90967472,US Government,,Institution/Government,,,,,257425.42909087,2978.77821266686
6697,19.38238384,,,Business/Commercial,,,,,844296.619101201,4340.2384562436
6698,33.34444826,,,Low Density Residential,,,,,1452484.13538697,11366.285788188
6699,21.3235222,,,Low Density Residential,,,,,928852.596864657,7748.25190808877
6700,8.06968801,,,Low Density Residential,,,,,351515.58923399,2494.8207937926
6701,22.67530134,Vocational Center,Changed 10/1/12 per KES,Office/Research,,,,,987735.850738973,4014.16260611571
6702,521.04868566,,9/23/10 to Multi Use then to SMU 5/14/13 per JS,Suburban Mixed Use,,,,,22696880.2319563,23882.3098605261
6703,356.86039006,,,Conservation,,,,,15544839.3743456,26789.7846127484
6704,419.90901008,,,Low Density Residential,,,,,18291236.3242151,28955.007831247
6705,7.81159423,,Removed B/C when MTP rd removed Apr 2013,Low Density Residential,,,,,340272.964537081,2418.33445048733
6706,17.07355121,School,,Institution/Government,,,,,743723.862478978,3628.52134267612
6707,1.84337157,,,Low Density Residential,,,,,80297.2319145971,1275.23032341011
6708,1.50064109,,,Low Density Residential,,,,,65368.0711564717,3026.9487355729
6709,37.35228394,,,Low Density Residential,,,,,1627065.513908,6767.61737022434
6710,0.99349599,,,Low Density Residential,,,,,43276.724698446,1253.60379826496
6711,2449.04197501,US Navy Fentress,,Institution/Government,,,,,106680268.557246,97610.3037699802
6712,6.05511383,,,Low Density Residential,,,,,263760.72387552,2291.67634890524
6713,4.18244492,,,Business/Commercial,,,,,182187.343567224,1719.07026918496
6714,11.07666985,,,Low Density Residential,,,,,482499.738476975,3757.47009590657
6715,28.28611931,,,Low Density Residential,,,,,1232143.50423484,4502.18581240494
6716,6.58042788,,,Low Density Residential,,,,,286643.445198887,2404.29225877199
6717,12.68735331,,10/14/10,Agriculture/Open Space,,,,,552661.130638644,3089.60622590755
6718,1.08945349,,,Low Density Residential,,,,,47456.614605074,3203.86040143688
6719,26.08938318,,,Low Density Residential,,,,,1136453.62978676,8443.052076432
6720,6.96261529,,,Low Density Residential,,,,,303291.553593982,2522.75124090172
6721,0.02083632,,,Low Density Residential,,,,,907.630803872009,120.394436285952
6722,0.23023677,,,Low Density Residential,,,,,10029.1071818691,724.966655400423
6723,2.31023762,,,Low Density Residential,,,,,100633.862755514,6756.36408687652
6724,0.14907092,,,Low Density Residential,,,,,6493.52408806034,486.897118552932
6725,0.8488069,,,Low Density Residential,,,,,36974.0238372448,2504.55629924245
6726,22.24331697,,,Low Density Residential,,,,,968918.862923547,6591.39922037095
6727,7.74285083,,,Low Density Residential,,,,,337278.575361365,2918.56855941738
6728,2.52693697,,,Low Density Residential,,,,,110073.286991041,1791.24086238669
6729,5.61057998,,,Low Density Residential,,,,,244396.983120757,2282.57114440496
6730,4.10984072,,,Low Density Residential,,,,,179024.688919325,1866.36925049447
6731,3.82033341,,,Low Density Residential,,,,,166413.709621347,1699.97308726416
6732,37.74833165,,10/14/10,Agriculture/Open Space,,,,,1644317.36355226,6127.56856892712
6733,73.12013156,,10/14/10,Agriculture/Open Space,,,,,3185112.71050004,11320.8858448333
6734,9.40015955,,,Low Density Residential,,,,,409470.918784243,3486.53873637985
6735,10.74634973,,,Low Density Residential,,,,,468110.932397214,4650.0278943298
6736,2.6062152,,,Medium Density Residential,,,,,113526.723347495,1417.68637174051
6737,9.88726932,,,Low Density Residential,,,,,430689.454958046,3539.3099946032
6738,131.75576522,,,Low Density Residential,,,,,5739281.26967875,27806.5120064735
6739,10.67693336,,,Low Density Residential,,,,,465087.193822246,2813.22334111772
6740,0.00038575,,,Low Density Residential,,,,,16.8048079754374,19.4742425526337
6741,7.90739129,,,Low Density Residential,,,,,344445.928236598,2901.49991899501
6742,7.02580668,,10/14/10,Agriculture/Open Space,,,,,306044.07450826,2804.96172603433
6743,1.33014033,,,Low Density Residential,,,,,57940.88651851,979.074546014118
6744,7.60380106,,,Low Density Residential,,,,,331221.591799235,2803.0998409548
