indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, andf obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,2.1,1988-1994,1.0,20 years and over,1.0,37.9,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normali weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,2.1,1999-2002,2.0,20 years and over,1.0,30.2,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male: 45-54 years,1.1,2001-2004,3.0,20 years and over,1.0,28.3,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male: 45-54 years,1.1,2003-2006,7.0,20 years and over,1.0,26.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,2.1,2005-2008,5.0,20 years and over,1.0,26.1,0.8,---
"Normal weight, overweight, and obesity among adults aged 20e and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,2.1,2007-2010,3.0,20 years and over,1.0,25.7,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male: 45-54 years,1.1,2009-2012,7.0,20 years and over,1.0,26.2,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,1.1,2011-2014,8.0,20 years and over,1.0,26.0,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,1.1,2013-2016,9.0,20 years and over,1.0,24.2,0.9,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,2.1,2015-2018,6.0,20 years and over,1.0,22.5,1.1,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,20 years and over,2.2,1988-1994,4.0,20 years and over,37.0,45.0,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Female,1.1,1999-2002,2.0,20 years and over,1.0,35.7,1.2,---
"Normal weight, overweight,and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male: Not Hispanic or Latino: Black or African American only,1.1,2001-2004,10.0,20 yerars and over,1.0,36.1,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Female,1.1,2003-2006,9.0,20 years and over,1.0,36.5,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and ovcer",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Female,1.1,2005-2008,7.0,20 years and over,1.0,35.2,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normalp weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male: 45-54 years,1.1,2013-2016,6.0,20 years and over,1.0,33.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,20 years and over,2.2,2011-2014,7.0,20 years and over,1.0,32.8,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,Male,2.2,2011-2014,8.0,20 years and over,1.0,31.7,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,83.0,20 years and over,2.2,2013-2016,3.0,20 years and over,1.0,31.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,2.0,20 years and over,1.1,2015-2018,6.0,20 yeras and over,1.0,29.4,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,1988-1994,2.0,20 years and over,1.0,43.1,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,20 years and over,3.11,2005-2008,2.0,20 years and over,1.0,34.6,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male,3.11,2011-2014,3.0,20 years and over,1.0,33.9,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weinght (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,2.0,Not Hispanic or Latino: White only,3.11,2003-2006,9.0,20 years and over,1.0,33.2,1.1,---
"Normal weight, overweight, and obeity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,4.0,Not Hispanic or Latino: White only,3.11,1999-2002,5.0,20 years and over,100.0,32.1,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,1.0,Not Hispanic or Latino: White only,3.11,2007-2010,8.0,20 years and over,1.0,31.4,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI wfrom 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,2.0,Not Hispanic or Latino: White only,3.11,2009-2012,8.0,20 years and over,1.0,31.2,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male: 45-54 years,2.1,2001-2004,8.0,20 years and over,1.0,30.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,2013-2016,5.0,20 years and over,1.0,28.8,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,2.0,20 years and over,3.11,2015-2018,9.0,20 years and over,1.0,27.8,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,1.0,Male: Not Hispanic or Latino: White only,3.111,1988-1994,4.0,20 years and over,11.0,37.3,1.1,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,5.0,Male: Not Hispanic or Latino: White only,3.111,1l999-2002,2.0,20 years and over,1.0,29.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: Not Hispanic or Latino: White only,2.1,2001-2004,9.0,20 years and over,1.0,28.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal wieght (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,2.0,20 years and over,3.111,2003-2006,9.0,20 years and ovre,53.0,26.8,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: Not Hispanic or Latino: White only,2.1,2005-2008,3.0,20 years and over,1.0,26.0,1.0,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 8.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,3.0,20 years and over,3.111,2007-2010,4.0,20 years andg over,1.0,25.5,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,1.1,2009-2012,7.0,20 years and over,1.0,26.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",65.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,1.1,2009-2012,8.0,20 years and over,1.0,25.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,1.0,20 years and over,3.111,2013-2016,5.0,20 yars and over,10.0,23.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",81.0,Total,4.0,Male: 45-54 years,2.2,2003-2006,10.0,20 years and over,4.0,23.4,1.4,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",92.0,Sex and race and Hispanic origin,5.0,20 years and over,3.112,1988-1994,2.0,0 years and over,1.0,48.7,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,4.0,Male: 45-54 years,1.1,1999-2002,5.0,20 years and over,1.0,39.5,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,3.0,Male,3.112,2001-2004,3.0,20 years and over,1.0,39.8,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,1.0,Female: Not Hispanic or Latino: White only,3.112,2003-2006,3.0,20years and over,26.0,39.6,1.7,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,3.0,Male,3.112,2005-2008,9.0,20 years and over,1.0,37.8,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,1.1,2007-2010,3.0,20 years and over,1.0,36.9,1.3,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,4.0,Male: 45-54 years,2.2,2001-2004,7.0,20 years and over,1.0,36.0,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,4.0,Male: 45-54 years,1.1,2011-2014,6.0,20 years and over,1.0,34.3,1.4,---
"Normla weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",79.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,2.1,2015-2018,9.0,20 years and over,95.0,33.8,1.4,-m--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjustbed",1.0,Sex and race and Hispanic origin,4.0,20 years and over,1.1,2005-2008,10.0,20 yearsand over,1.0,31.9,1.7,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",62.0,Race and Hispanic origin,3.0,20 years and over,1.1,1988-1994,9.0,20 yeas and over,1.0,33.9,0.9,---
"Nomal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,1999-2002,9.0,20 years and over,1.0,27.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent zof population, age-adjusted",1.0,Race and Hispanic origin,2.0,20 years and over,3.12,2001-2004,2.0,20 yerars and over,1.0,24.2,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,2003-2006,8.0,20 years and over,1.0,22.7,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,2.0,20 years and over,3.12,2005-2008,7.0,20 years and over,1.0,23.3,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",70.0,Race and Hispanic origin,1.0,Not Hispanic or Latino: Black or African American only,3.12,2015-2018,6.0,20 years and over,1.0,22.7,0.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",82.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,1988-1994,7.0,20 years and over,1.0,21.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",52.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,2011-2014,5.0,20 years and over,1.0,22.0,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMIf rom 18.5 to 24.9),1.0,"Percent of population, age-adjusted",20.0,Race and Hispanic origin,1.0,Male,3.12,2003-2006,9.0,20 years and over,1.0,22.5,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,1.0,Male: Not Hispanic or Latino: White only,3.12,2015-2018,2.0,20 years and over,71.0,22.4,1.1,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight B(MI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex,4.0,Male: 45-54 years,1.1,1988-1994,3.0,20 years and over,1.0,40.1,1.2,---
"Normal weight, overweight, and obesity among adults aged2 0 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,1.0,20 years and over,3.121,1999-2002,3.0,20 years and over,1.0,34.7,1.8,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,1.0,20 years and over,3.121,2003-2006,3.0,20 years and over,77.0,30.8,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",67.0,Sex and race and Hispanic origin,2.0,Male: Not Hispanic or Latino: Black or African American only,3.121,1988-1994,4.0,20 years ad over,99.0,27.0,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Total,4.0,Male,1.1,2005-2008,7.0,20 yearsh and over,1.0,26.7,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",82.0,Sex and race and Hispanic origin,2.0,Male: Not Hispanic or Latino: Black or African American only,3.121,2005-2008,6.0,20 years an dover,1.0,28.5,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of populatijon, age-adjusted",1.0,Total,4.0,Male: 45-54 years,1.1,2001-2004,7.0,20 years and over,52.0,28.0,1.1,---
"Normal weight, overweighit, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,3.0,20 years and over,3.121,2007-2010,8.0,20 years adn over,9.0,29.0,1.3,---
"yNormal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",77.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,2.1,2013-2016,5.0,20 years and over,1.0,28.4,1.6,---
"Normal weight, overweight, and obeity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,3.0,Male,3.121,2015-2018,3.0,20 years and over,61.0,26.4,1.7,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjused",1.0,Sex and race and Hispanic origin,2.0,Female: Not Hispanic or Latino: Black or African American only,3.122,1988-1994,1.0,20 years and over,21.0,29.2,1.2,---
"Normal weight, verweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 2.9),1.0,"Percent of population, age-adjusted",5.0,Sex,4.0,Male: 45-54 years,1.1,1999-2002,3.0,20 years and over,1.0,21.6,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",85.0,Sex and race and Hispanic origin,4.0,Female: Not Hispanic or Latino: Black or African American only,2.1,2009-2012,3.0,20 years and over,57.0,18.9,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",37.0,Race and Hispanic origin,4.0,100%-199%,1.1,1988-1994,4.0,20 yearsp and over,1.0,19.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,1.0,20 years and over,3.122,2001-2004,5.0,s20 years and over,1.0,20.4,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Sex and race and Hispanic origin,2.0,Female: Not Hispanic or Latino: Black or African American only,3.122,2007-2010,4.0,20 yearsand over,84.0,17.9,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",76.0,Sex and race and Hispanic origin,2.0,Female: Not Hispanic or Latino: Black or African American only,3.122,2009-2012,3.0,2q0 years and over,1.0,16.4,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, ge-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,1.1,2011-2014,3.0,20 years and over,6.0,16.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",101.0,Sex and race and Hispanic origin,4.0,Female: Not Hispanic or Latino: Black or African American only,1.1,2013-2016,2.0,20 years and over,1.0,17.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of zpopulation, age-adjusted",1.0,Sex and race and Hispanic origin,2.0,20 years and over,3.122,2015-2018,10.0,20 years and over,51.0,19.2,1.2,***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",72.0,Sex,3.0,20 years and over,1.1,1988-1994***,1.0,2x0 years and over,1.0,7.6,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of povpulation, age-adjusted",1.0,Total,3.0,Male: 45-54 years,1.1,2007-2010,2.0,20 years and over,92.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,1.0,20 years and over,3.13,2001-2004,6.0,20 years and over,67.0,7.6,1.2,---
"Normal weight, overweigh,t and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",51.0,Race and Hispanic origin,1.0,Not Hispanic or Latino: Asian only,3.13,2005-2008,4.0,20 years andover,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of popultion, age-adjusted",1.0,Race and Hispanic origin,2.0,20 years and over,3.13,2005-2008,9.0,20 years and over,12.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,2.0,Male,3.13,2007-2010,5.0,20 years anyd over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of popualtion, age-adjusted",1.0,Race and Hispanic origin,2.0,20 years and over,3.13,2005-2008,7.0,20 years and over,1.0,7.6,1.2,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9l),1.0,"Percent of population, age-adjusted",43.0,Sex,3.0,Female,2.1,2011-2014,10.0,20 years ando ver,1.0,55.7,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",27.0,Race and Hispanic origin,3.0,Male: Not Hispanic or Latino: Black or African American only,2.1,2013-2016,2.0,0 years and over,1.0,53.8,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",1.0,Race and Hispanic origin,3.0,Male: 45-54 years,1.1,2015-2018,3.0,20 years and over,1.0,48.1,1.3,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",75.0,Sex and race and Hispanic origin,2.0,20 years and over,3.131,1988-1994,1.0,20 years and over,90.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"ercent of population, age-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,1.1,1999-2002,2.0,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI frm 18.5 to 24.9),1.0,"Percent of pogpulation, age-adjusted",1.0,Sex and race and Hispanic origin,4.0,Male: 45-54 years,1.1,2013-2016,3.0,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",26.0,Sex,4.0,Male: Not Hispanic or Latino: Asian only,1.1,2013-2016,4.0,20 years and over,60.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",68.0,Sex and race and Hispanic origin,3.0,Male: Not Hispanic or Latino: Asian only,3.131,2005-2008,3.0,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, ae-adjusted",1.0,Sex and race and Hispanic origin,2.0,20 years and over,3.131,2007-2010,6.0,20 year sand over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to2 4.9),1.0,"Percent of poplation, age-adjusted",1.0,Sex and race and Hispanic origin,2.0,20 years and over,3.131,2009-2012,10.0,m20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obeisty among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",93.0,Sex,4.0,Male: 45-54 years,2.2,2011-2014,10.0,20 years and over,1.0,50.2,2.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight BMI from 18.5 to 24.9),1.0,"Percent of population, age-adjusted",66.0,Sex and race and Hispanic origin,2.0,20 years and over,3.131,2013-2016,8.0,20 years adn over,1.0,47.4,1.9,---
