OBJECTID,OBJECTID_1,instName,unitID,altName,descriptn,effDate,OWEBregion,umbrellaWC,cSteward,defFeature,defFeatu_1,instCode,unitOwner1,unitOwner2,unitOwner3,defFeatu_2,defFeatu_3,created_us,created_da,last_edite,last_edi_1,unitOwner,Shape_Leng,SHAPE_Length,SHAPE_Area
11,12,Middle Fork Willamette Watershed Council,1135855111,Middle Fork Willamette WC,http://www.mfwwc.org/,2000,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,111,0,0,0,n/a,n/a, ,, ,,1135855,1203482.50547,507974.719993084,6789452357.66264
12,13,McKenzie River Watershed Council,2709701112,McKenzie River WC,http://www.mckenziewc.org/,1993,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,112,0,0,0,n/a,n/a, ,, ,2014/05/07 00:00:00+00,2709701,1333914.91492,566909.98358065,6956636171.39157
13,14,Coast Fork Willamette Watershed Council,1135855113,Coast Fork Willamette WC,http://www.coastfork.org/,2001,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,113,0,0,0,n/a,n/a, ,, ,2014/02/10 00:00:00+00,1135855,748187.287531,315736.211004795,3306151599.68384
14,16,Marys River Watershed Council,1155126115,Marys River WC,http://www.mrwc.net/,1998,3 - Willamette Basin, ,OWEB,10-digit HUC,PNW Hydrography Framework,115,0,0,0,n/a,n/a, ,, ,2014/02/10 00:00:00+00,1155126,724377.600223,309887.592388152,1891322787.03783
15,17,Pringle Creek Watershed Council,1167861116,Pringle Creek WC,http://pringlecreek.watershedcouncils.net/,2000,3 - Willamette Basin,Salem Keizer Area Watershed Councils,OWEB,14-digit HUC,PNW Hydrography Framework,116,0,0,0,n/a,n/a, ,, ,,1167861,91925.6390577,39571.0978967068,63305114.0159769
16,18,Pudding River Watershed Council,1135859117,Pudding River WC,http://www.puddingriver.org/,2000,3 - Willamette Basin, ,OWEB,10-digit HUC,PNW Hydrography Framework,117,0,0,0,n/a,n/a, ,, ,,1135859,604792.691976,260839.372598333,2740881554.67141
17,19,Mill Creek Watershed Council,1167861118,Mill Creek WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#Mid-WillametteWatershed Alliance,unknown,3 - Willamette Basin,Salem Keizer Area Watershed Councils,OWEB,10-digit HUC,PNW Hydrography Framework,118,0,0,0,n/a,n/a, ,, ,,1167861,400233.360103,172040.732139178,578559329.798839
18,20,Sandy River Basin Watershed Council,1149054119,Sandy River Basin WC,http://www.sandyriver.org/,1997,3 - Willamette Basin, ,OWEB,10-digit HUC,PNW Hydrography Framework,119,0,0,0,n/a,n/a, ,, ,,1149054,688125.441952,298654.136153388,2626996739.57317
19,21,Tualatin Watershed Council,1155137120,Tualatin WC,http://www.trwc.org/,2004,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,120,0,0,0,n/a,n/a, ,, ,,1155137,865474.136067,376473.228558158,3741841968.41338
20,22,Greater Yamhill Watershed Council,1135862121,Greater Yamhill WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#GreaterYamhillWC,1996,3 - Willamette Basin, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",121,0,0,0,county boundary,12-digit HUC, ,, ,2014/02/25 00:00:00+00,1135862,1034590.51634,447298.844277549,4486892546.59457
21,23,North Santiam Watershed Council,1135859122,North Santiam WC,http://www.nsantiamwatershed.org/,1997,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,122,1135857,0,0,n/a,n/a, ,, ,,1135859,1160566.18418,497819.01362358,3919936426.21364
22,24,South Santiam Watershed Council,1135857123,South Santiam WC,http://www.sswc.org/,1996,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,123,0,0,0,n/a,n/a, ,, ,,1135857,883484.067796,377687.643773353,5303819699.05119
23,25,Clackamas River Basin Council,1155127124,Clackamas River Basin Council,http://clackamasriver.org/,1996,3 - Willamette Basin, ,OWEB,8-digit HUC,PNW Hydrography Framework,124,0,0,0,n/a,n/a, ,, ,2014/01/21 00:00:00+00,1155127,1110078.32214,479631.768396826,4902994822.26084
24,26,Johnson Creek Watershed Council,1136645125,Johnson Creek WC,http://www.jcwc.org/,1992,3 - Willamette Basin, ,OWEB,12-digit HUC,PNW Hydrography Framework,125,0,0,0,n/a,n/a, ,, ,,1136645,292085.654287,126896.996136078,275800344.987726
25,27,Columbia Slough Watershed Council,1135861126,Columbia Slough WC,http://www.columbiaslough.org/,2005,3 - Willamette Basin, ,OWEB,12-digit HUC,PNW Hydrography Framework,126,0,0,0,n/a,n/a, ,, ,2014/02/28 00:00:00+00,1135861,288710.36618,125618.611120691,307435929.550769
26,28,Lower Columbia River Watershed Council,1135847127,Lower Columbia River WC,http://www.lcrwc.com/,1997,3 - Willamette Basin, ,OWEB,10-digit HUC,PNW Hydrography Framework,127,0,0,0,n/a,n/a, ,, ,2014/03/10 00:00:00+00,1135847,725399.66061,318422.457034003,1600545216.53156
27,29,Upper Deschutes Watershed Council,1155130128,Upper Deschutes WC,http://www.restorethedeschutes.org/,1997,4- Central Oregon, ,OWEB,8-digit HUC,PNW Hydrography Framework,128,0,0,0,n/a,n/a, ,, ,,1155130,1974118.89454,836456.689387333,16027414002.2668
28,30,Hood River Watershed Group,1155131129,Hood River Watershed Group,http://www.hoodriverswcd.org/hrwg.htm,1996,4- Central Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,129,0,0,0,n/a,n/a, ,, ,2014/02/18 00:00:00+00,1155131,534873.825517,232722.334238928,2384399866.72324
29,31,Malheur Watershed Council,1135858131,Malheur WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#MalheurWC,1995,5 - Eastern Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",131,0,0,0,n/a,State of Oregon boundary, ,, ,,1135858,2701718.17664,1141719.42030768,24354584979.1068
30,32,Umatilla Basin Watershed Council,1156673132,Umatilla Basin WC,http://www.umatillawatershedcouncil.org/,unknown,6 - Mid Columbia, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",132,0,0,0,n/a,State of Oregon boundary, ,, ,,1156673,1554489.10343,677071.189356406,13976721216.1494
31,33,Walla Walla Watershed Council,1156673133,Walla Walla WC,http://www.wwbwc.org/,2004,6 - Mid Columbia, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",133,0,0,0,n/a,State of Oregon boundary, ,, ,2014/02/27 00:00:00+00,1156673,674613.77977,295268.735178908,2567676401.94137
32,34,Sherman County Watershed Council,unknown134,Sherman County WC,http://www.sherman.oacd.org/watersheds.html,unknown,6 - Mid Columbia, ,OWEB,county boundary,"Oregon Framework data (PNW Hydro, OR/WA BLM)",134,0,0,0,State of Oregon boundary,10-digit HUC, ,, ,2014/01/29 00:00:00+00,0,1235092.57723,535427.22637141,4726869396.07017
33,35,Silver Lake Watershed Council,unknown136,Silver Lake WC,http://www.oregon.gov/OWEB/pages/watershed_council_contacts.aspx#LakeCountyWC,unknown,4- Central Oregon,Lake County Watershed Council,OWEB,12-digit HUC,PNW Hydrography Framework,136,0,0,0,n/a,n/a, ,, ,,0,449166.08103,187062.666801894,869399549.877474
34,36,Upper Sycan Watershed Council,1135854137,Upper Sycan WC,http://www.klamathpartnership.org/#KlamathWP,1999,4- Central Oregon,Lake County Watershed Council,OWEB,10-digit HUC,PNW Hydrography Framework,137,0,0,0,n/a,n/a, ,, ,,1135854,589740.042084,244897.38626613,1578605080.92397
35,37,Upper Chewaucan River Watershed Council,1135854138,Upper Chewaucan River WC,http://www.oregon.gov/OWEB/pages/watershed_council_contacts.aspx#LakeCountyWC,1999,4- Central Oregon,Lake County Watershed Council,OWEB,10-digit HUC,PNW Hydrography Framework,138,0,0,0,n/a,n/a, ,, ,,1135854,519631.358717,214935.964195991,1276801991.29187
36,38,Lake County Watershed Council,1135854139,Lake County WC,http://www.oregon.gov/OWEB/pages/watershed_council_contacts.aspx#LakeCountyWC,1999,4- Central Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",139,0,0,0,State of Oregon boundary,10-digit HUC, ,, ,,1135854,3019053.24979,1255241.16722248,38266900995.8272
37,39,Lake Oswego Watershed Council,1166669191,Lake Oswego WC,http:/www.oswegowatershed.org/,unknown,3 - Willamette Basin, ,OWEB,12-digit HUC,"PNW Hydrography Framework, Topographic basemap",191,0,0,0,n/a,n/a, ,, ,,1166669,78034.5031861,33879.0579896835,39508115.0395132
38,40,Crooked River Watershed Council,1155128140,Crooked River WC,http://crookedriver.deschutesriver.org/,1997,4- Central Oregon, ,OWEB,8-digit HUC,PNW Hydrography Framework,140,0,0,0,n/a,n/a, ,, ,,1155128,2133527.63073,904863.304711614,22730100739.0005
39,42,Stream Restoration Alliance of the Middle Rogue,unknown142,Stream Restoration Alliance of the Middle Rogue,http://www.sramiddlerogue.org/,1999,2 - Southwest Oregon, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",142,0,0,0,n/a,county boundary, ,, ,2014/03/05 00:00:00+00,0,775964.298186,321251.2410823,2900401273.58883
40,44,Glenn-Gibson Watershed Council,1135862144,Glenn-Gibson WC,http://sites.google.com/site/glenngibsonwc/home,1998,3 - Willamette Basin, ,OWEB,14-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",144,0,0,0,n/a,county boundary, ,, ,,1135862,97965.3930857,42208.8038476411,93167529.6892804
41,45,Rickreall Watershed Council,1135862145,Rickreall WC,http://rickreallwc.org/,1997,3 - Willamette Basin, ,OWEB,12-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",145,1162930,0,0,n/a,county boundary, ,, ,,1135862,434725.774116,187153.359191969,527614800.362743
42,46,Claggett Creek Watershed Council,unknown146,Claggett Creek WC,http://www.claggettcreekwatershedcouncil.org/,1999,3 - Willamette Basin,Salem Keizer Area Watershed Councils,OWEB,14-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM, ORMap)",146,0,0,0,urban growth boundary,county boundary, ,, ,,0,147614.118274,63659.9710561999,125148120.682366
43,47,Scappoose Bay Watershed Council,1135847147,Scappoose Bay WC,http://www.scappoosebay-wc.org/,1997,3 - Willamette Basin, ,OWEB,12-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",147,0,0,0,n/a,State of Oregon boundary, ,, ,2014/04/02 00:00:00+00,1135847,304661.954232,133234.830453225,713337331.270351
44,48,Klamath Watershed Partnership,1155134148,Klamath Watershed Partnership,http://www.klamathpartnership.org/#KlamathWP,1996,4- Central Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",148,0,0,0,State of Oregon boundary,10-digit HUC, ,, ,,1155134,2670476.43199,1103445.56068112,25425563217.3572
45,51,Grande Ronde Model Watershed,1164165151,Grande Ronde Model Watershed,http://www.grmw.org/,1992,5 - Eastern Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",151,0,0,0,n/a,State of Oregon boundary, ,, ,,1164165,2366813.71316,1027787.90139119,24336151888.5462
46,52,Harney County Watershed Council,1135852152,Harney County WC,http://www.hcwatershed.com/,1997,5 - Eastern Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",152,0,0,0,n/a,State of Oregon boundary, ,, ,,1135852,3858906.84433,1611744.13290835,48708934797.5287
47,53,North Fork John Day Watershed Council,1156673153,North Fork John Day WC,http://www.nfjdwc.org/,1995,6 - Mid Columbia, ,OWEB,8-digit HUC,PNW Hydrography Framework,153,1135860,1135851,0,n/a,n/a, ,, ,,1156673,1728611.5379,743199.541079028,13617158863.6363
48,56,Owyhee Watershed Council,1135858156,Owyhee WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#OwyheeWC,unknown,5 - Eastern Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",156,0,0,0,n/a,State of Oregon boundary, ,, ,,1135858,2534170.72973,1054828.02153654,29937322185.5703
49,57,Powder Basin Watershed Council,1135845157,Powder Basin WC,http://www.bakercounty.org/Watershed/home.html,1995,5 - Eastern Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",157,0,0,0,n/a,State of Oregon boundary, ,, ,2014/02/25 00:00:00+00,1135845,2443428.45642,1048683.21215399,17642536745.2299
50,58,Luckiamute Watershed Council,1135862158,Luckiamute WC,http://www.luckiamutelwc.org/,2001,3 - Willamette Basin, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",158,0,0,0,county boundary,12-digit HUC, ,, ,2014/02/20 00:00:00+00,1135862,560425.874241,240619.048345729,1900105975.58725
51,59,Greater Oregon City Watershed Council,1155127159,Greater Oregon City WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#GreaterOregonCityWC,2007,3 - Willamette Basin, ,OWEB,12-digit HUC,PNW Hydrography Framework,159,1136601,0,0,n/a,Willamette River, ,, ,,1155127,221435.387665,95958.3990173888,359041453.391652
52,60,Smith River Watershed Council,1135849160,Smith River WC,http://www.smithriverwatershed.org/,2001,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,160,0,0,0,n/a,n/a, ,, ,,1135849,728497.299402,307699.717410955,1837681118.6887
53,61,Necanicum Watershed Council,1155133161,Necanicum WC,http://www.necanicumwatershed.org/,1998,1 - North Coast, ,OWEB,12-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",161,0,0,0,n/a,State of Oregon boundary, ,, ,,1155133,444943.40093,195267.654204498,500432243.325219
54,63,Molalla River Watch,1155127163,Molalla River Watch,http://www.molallariverwatch.org/index.html,2009,3 - Willamette Basin, ,OWEB,10-digit HUC,PNW Hydrography Framework,163,0,0,0,n/a,n/a, ,, ,,1155127,603822.308645,260821.179947616,1801128848.15688
55,64,Bully Creek Watershed Coalition,1135858164,Bully Creek Watershed Coalition,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#MalheurWC,unknown,5 - Eastern Oregon,Malheur Watershed Council,OWEB,8-digit HUC,PNW Hydrography Framework,164,0,0,0,n/a,n/a, ,, ,,1135858,843549.416735,357780.29216138,2938824250.34721
56,65,Lower Willow Creek Working Group,unknown165,Lower Willow Creek Working Group,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#MalheurWC,unknown,5 - Eastern Oregon,Malheur Watershed Council,OWEB,8-digit HUC,PNW Hydrography Framework,165,0,0,0,n/a,n/a, ,, ,,1135858,950203.6742,404353.299700109,3836389132.47769
57,66,Nicolai-Wickiup Watershed Council,1135846166,Nicolai-Wickiup WC,http://www.clatsopwatersheds.org/,1998,1 - North Coast,North Coast Watershed Association,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",166,0,0,0,n/a,State of Oregon boundary, ,, ,,1135846,455191.331352,200171.25794708,627968814.735779
58,67,Skipanon Watershed Council,1135846167,Skipanon WC,http://www.clatsopwatersheds.org/,1998,1 - North Coast,North Coast Watershed Association,OWEB,12-digit HUC,PNW Hydrography Framework,167,0,0,0,n/a,n/a, ,, ,,1135846,274595.609219,120781.635329516,140061592.360035
59,68,Youngs Bay Watershed Council,1135846168,Youngs Bay WC,http://www.clatsopwatersheds.org/,1998,1 - North Coast,North Coast Watershed Association,OWEB,12-digit HUC,PNW Hydrography Framework,168,0,0,0,n/a,n/a, ,, ,,1135846,382991.114426,168154.522615346,991833482.761463
60,70,North Coast Watershed Association,1135846170,North Coast Watershed Association,http://www.clatsopwatersheds.org/,unknown,1 - North Coast, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",170,0,0,0,State of Oregon boundary,12-digit HUC, ,, ,,1135846,971130.220149,426331.911271063,1992174945.20363
61,71,MidCoast Watersheds Council,1155126171,MidCoast WC,http://www.midcoastwatershedscouncil.org/,1995,1 - North Coast, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",171,1155126,1135855,1135864,n/a,n/a, ,, ,2014/02/02 00:00:00+00,1135856,1410869.06598,604044.64989254,7278449116.09433
62,72,Alsea Basin Watershed Council,unknown172,Alsea Basin WC,http://www.alseawatershedcouncil.org/, ,1 - North Coast,Mid-Coast Watershed Council,OWEB,n/a,"Oregon Framework data (PNW Hydro, OR/WA BLM)",172,0,0,0,n/a,n/a,<Null>,, ,,0,725628.327352,309478.636967586,2391457321.1296
63,73,Salmon-Drift Watershed Council,2079700173,Salmon-Drift WC,http://www.salmondrift.org/,2003,1 - North Coast,MidCoast Watersheds Council,OWEB,12-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",173,1158323,0,0,n/a,State of Oregon boundary, ,, ,,2709700,373684.09285,161009.406256269,813802989.720836
64,74,Winchuck Watershed Council,1155129174,Winchuck WC,http://currywatersheds.org/,1994,2 - Southwest Oregon,South Coast Watershed Council,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",174,0,0,0,n/a,State of Oregon boundary, ,, ,,1155129,218589.451612,89716.9545932934,277290067.555033
65,75,Spring Valley Watershed Council,unknown175,Spring Valley WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#SpringValleyWC,unknown,3 - Willamette Basin, ,OWEB,12-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",175,0,0,0,n/a,county boundary, ,, ,,0,121178.944233,52277.0831146054,121529323.118343
66,76,North Clackamas Urban Watershed Council,unknown193,North Clackamas Urban WC,http://www.ncuwc.org/,unknown,3 - Willamette Basin, ,OWEB,12-digit HUC,PNW Hydrography Framework,193,0,0,0,n/a,Willamette River, ,, ,,0,145995.129177,63405.7386946095,116616253.56694
67,77,Lower Nehalem Watershed Council,1135846176,Lower Nehalem WC,http://www.nehalemtel.net/~lnwcouncil/,unknown,1 - North Coast, ,OWEB,10-digit HUC,PNW Hydrography Framework,176,0,0,0,n/a,12-digit HUC, ,, ,,1135846,539933.922597,235776.490328603,1669235475.96337
68,78,Tillamook Bay Watershed Council,1135864177,Tillamook Bay WC,http://www.tillamookbaywatershedcouncil.net/,1998,1 - North Coast, ,OWEB,10-digit HUC,PNW Hydrography Framework,177,0,0,0,n/a,n/a, ,, ,,1135864,709289.670211,308413.130909649,2962411788.14313
69,79,"Nestucca, Neskowin and Sand Lake Watersheds Council","1135864178
","Nestucca, Neskowin and Sand Lake WC",http://www.oregoncoast.com/nnwc/,1996,1 - North Coast, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)
Oregon Framework data (PNW Hydro, OR/WA BLM)
",178,0,0,0,State of Oregon boundary,12-digit HUC, ,, ,,1135864,741193.969006,320748.312382833,1929244680.16912
70,80,Siuslaw Watershed Council,1135855179,Siuslaw WC,http://www.siuslaw.org/,1997,1 - North Coast, ,OWEB,8-digit HUC,PNW Hydrography Framework,179,0,0,0,n/a,14-digit HUC, ,, ,2014/03/03 00:00:00+00,1135855,1323140.56022,560752.603085073,4650168508.41361
71,81,Partnership for the Umpqua Rivers,1135849180,Partnership for the Umpqua Rivers,http://www.umpquarivers.org/,1997,2 - Southwest Oregon, ,OWEB,8-digit HUC,PNW Hydrography Framework,180,0,0,0,n/a,10-digit HUC, ,, ,,1135849,2562708.98539,1072813.05082188,19640577483.2111
72,82,Tenmile Lakes Basin Partnership,2709702181,Tenmile Lakes Basin Partnership,http://tlbp.presys.com/,1994,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,181,0,0,0,n/a,n/a, ,, ,,2709702,289048.782839,121669.64869998,489464600.969411
73,83,Coos Watershed Association,2709703182,Coos Watershed Association,http://www.cooswatershed.org/,1994,2 - Southwest Oregon, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",182,0,0,0,n/a,State of Oregon boundary, ,, ,,2709703,1036991.05922,434904.695519746,3129453971.9617
74,84,Coquille Watershed Association,2709704183,Coquille Watershed Association,http://www.coquillewatershed.org/,1994,2 - Southwest Oregon, ,OWEB,8-digit HUC,PNW Hydrography Framework,183,0,0,0,n/a,n/a, ,, ,2014/02/25 00:00:00+00,2709704,984323.163308,410582.07738754,5126340087.90061
75,85,Floras Creek/New River Watershed Council,1155129184,Floras Creek/New River WC,http://currywatersheds.org/,1994,2 - Southwest Oregon,South Coast Watershed Council,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",184,0,0,0,n/a,State of Oregon boundary, ,, ,,1155129,359355.053635,149734.53778927,752685046.48005
76,86,Elk/Sixes River Watershed Council,1155129185,Elk/Sixes River WC,http://currywatersheds.org/,1994,2 - Southwest Oregon,South Coast Watershed Council,OWEB,10-digit HUC,PNW Hydrography Framework,185,0,0,0,n/a,n/a, ,, ,,1155129,437036.662497,181533.013818816,1087328313.48361
77,87,Port Orford Watershed Council,1155129186,Port Orford WC,http://currywatersheds.org/,unknown,2 - Southwest Oregon,South Coast Watershed Council,OWEB,12-digit HUC,PNW Hydrography Framework,186,0,0,0,n/a,unknown S boundary delineation, ,, ,,1155129,136615.863033,56731.7656355455,73362914.9261937
78,88,Chetco Watershed Council,1155129187,Chetco WC,http://currywatersheds.org/,1994,2 - Southwest Oregon,South Coast Watershed Council,OWEB,10-digit HUC,PNW Hydrography Framework,187,0,0,0,n/a,n/a, ,, ,,1155129,581342.66584,239131.91649625,1662370492.26318
79,89,Illinois Valley Watershed Council,1155133188,Illinois Valley WC,http://www.ivstreamteam.org/#IllinoisValleyWC,1994,2 - Southwest Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",188,0,0,0,n/a,State of Oregon boundary, ,, ,,1155133,1005451.45225,414250.068748165,4409900596.3361
80,90,South Coast Watershed Council,1155129189,South Coast WC,http://currywatersheds.org/,1994,2 - Southwest Oregon, ,OWEB,8-digit HUC,"Oregon Framework Data (PNW Hydro, OR/WA BLM)",189,0,0,0,n/a,State of Oregon boundary, ,, ,,1155129,1487490.43279,615208.059662628,5169453933.12783
81,91,Mid-Willamette Watershed Alliance,1167861190,Mid-Willamette Watershed Alliance,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#Mid-WillametteWatershed Alliance,unknown,3 - Willamette Basin, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM, ORMap)",190,0,0,0,county boundary,14-digit HUC, ,, ,,1167861,484017.961562,208236.232611202,767012564.497182
82,93,Gilliam-East John Day Watershed Council,1135850135,Gilliam-East John Day WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#Gilliam-EastJohnDayWC,1997,6 - Mid Columbia, ,OWEB,county boundary,Oregon Framework Data (OR/WA BLM),135,0,0,0,n/a,State of Oregon boundary, ,, ,2014/01/23 00:00:00+00,1135850,1422247.26873,616768.81203588,7707171201.3265
83,94,Tryon Creek Watershed Council,unknown192,Tryon Creek WC,http://tcwc.tryonfriends.org/,unknown,3 - Willamette Basin, ,OWEB,12-digit HUC,"PNW Hydrography Framework, Topographic basemap",192,0,0,0,Willamette River,Oswego Lake WC boundary, ,, ,2014/01/30 00:00:00+00,0,77615.4851811,33721.7921964281,35135146.8116898
84,96,Middle Deschutes,1155132194,Middle Deschutes, , ,4 - Central Oregon, ,OWEB,8-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",194,0,0,0, ,12-digit HUC, ,, ,2014/03/06 00:00:00+00,1155132,918391.114829,393803.677695885,4962755162.7041
85,97,Wasco County Watershed Council,1155136065,Wasco County WC,http://www.wascoswcd.org/wcswcd_007.htm,1995,4- Central Oregon, ,OWEB,county boundary,PNW Hydrography Framework,65,0,0,0,Middle Deschutes WC,Sherman County WC, ,, ,2014/03/07 00:00:00+00,1155136,1794146.08725,775508.540053518,11144533103.1557
86,98,Upper South Fork John Day River Watershed Council,1135851162,Upper South Fork John Day River WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#UpperSouthForkJohnDayRiverWC,1996,6 - Mid Columbia, ,OWEB,10-digit HUC,PNW Hydrography Framework,162,0,0,0,n/a,Wheeler County Boundary, ,, ,2014/03/21 00:00:00+00,1135851,925712.316046,394234.457086293,4287851675.94223
