coname,distname,co_dist_code,site,schname,enrollment,phone_one,principal,principal_email,address,city,state,zip,board_president,certifiedstaff
ADAIR       ,STILWELL                      ,01-I011,105,STILWELL ES                   ,411.0,(918) 696-7656,Mark Lea,mlea@stilwellk12.org,10 South Sixth Street,Stilwell,OK,74960.0,PK-04,40
ADAIR       ,STILWELL                      ,01-I025,505,STILWELL MS                   ,257.0,(918) 696-2685,Dale Girdner,dgirdner@stilwellk12.org,12 North Seventh Street,Stilwell,OK,74960.0,8-May,32
ADAIR       ,STILWELL                      ,01-I025,705,STILWELL HS                   ,660.0,(918) 696-7276,Ramona Ketcher,rketcher@stilwellk12.org,1801 West Locust Street,Stilwell,OK,74960.0,12-Sep,57
ADAIR       ,CAVE SPRINGS                  ,01-I030,105,CAVE SPRINGS ES               ,39.0,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931.0,PK-04,8
ADAIR       ,CAVE SPRINGS                  ,01-I030,505,CAVE SPRINGS MS               ,37.0,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931.0,8-May,11
ADAIR       ,CAVE SPRINGS                  ,01-I030,705,CAVE SPRINGS HS               ,107.0,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931.0,12-Sep,13
ALFALFA     ,BURLINGTON                    ,01-C022,105,BURLINGTON ES                 ,131.0,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,P.O. Box 17,Burlington,OK,73722.0,PK-08,20
ALFALFA     ,BURLINGTON                    ,02-I001,705,BURLINGTON HS                 ,41.0,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,P.O. Box 17,Burlington,OK,73722.0,12-Sep,14
ALFALFA     ,CHEROKEE                      ,01-C022,105,CHEROKEE ES                   ,228.0,(580) 596-3277,Ruth Richmond,richmondr@cherokee.k12.ok.us,700 S. Nebraska,Cherokee,OK,73728.0,PK-05,22
ALFALFA     ,CHEROKEE                      ,02-I046,510,CHEROKEE MS                   ,89.0,(580) 596-3391,Jeremy Hickman,hickmanj@cherokee.k12.ok.us,412 E. 5Th Street,Cherokee,OK,73728.0,8-Jun,19
ALFALFA     ,CHEROKEE                      ,01-C024,705,CHEROKEE HS                   ,105.0,(580) 596-3391,Jeremy Hickman,HICKMANJ@CHEROKEE.K12.OK.US,412 E. 5Th Street,Cherokee,OK,73728.0,12-Sep,23
ALFALFA     ,TIMBERLAKE                    ,02-I093,105,TIMBERLAKE ES                 ,203.0,(580) 626-4411,Kale Pierce,kpierce@tlake.k12.ok.us,Post Office Box 188,Jet,OK,73749.0,PK-08,30
ALFALFA     ,TIMBERLAKE                    ,01-I004,705,TIMBERLAKE HS                 ,73.0,(580) 852-3281,Charlie Berg,cberg@tlake.k12.ok.us,Post Office Box 287,Helena,OK,73741.0,12-Sep,18
ATOKA       ,HARMONY                       ,01-C028,105,HARMONY PUBLIC SCHOOL         ,200.0,(580) 889-3687,Brian Walker,bwalker@harmonyps.org,4926 S Bentley Rd,Atoka,OK,74525.0,PK-08,14
ATOKA       ,LANE                          ,03-C022,105,LANE PUBLIC SCHOOL            ,257.0,(580) 889-2743,Debra Patton,dpatton@lane.k12.ok.us,601 W. Mcgee Creek Rd,Lane,OK,74555.0,PK-08,21
ATOKA       ,STRINGTOWN                    ,01-C024,105,STRINGTOWN ES                 ,151.0,(580) 346-7423,Ricky Heard,rheard@stringtownisd.org,Post Office Box 130,Stringtown,OK,74569.0,PK-08,16
ATOKA       ,STRINGTOWN                    ,03-I007,705,STRINGTOWN HS                 ,103.0,(580) 346-7741,Tony Potts,tpotts@stringtownisd.org,Post Office Box 130,Stringtown,OK,74569.0,12-Sep,12
ATOKA       ,ATOKA                         ,03-I015,120,ATOKA ES                      ,469.0,(580) 889-3553,Wesley Burnett,wburnett@atoka.org,Post Office Box 720,Atoka,OK,74525.0,PK-05,51
ATOKA       ,ATOKA                         ,03-I015,705,ATOKA HS                      ,335.0,(580) 889-3361,Kathy Perkins,kperkins@atoka.org,Post Office Box 720,Atoka,OK,74525.0,12-Sep,34
ATOKA       ,TUSHKA                        ,03-I019,105,TUSHKA ES                     ,269.0,(580) 889-7355,Paul Weaver,pweaver@tushka.k12.ok.us,2661 W Boggy Depot Road,Atoka,OK,74525.0,PK-08,26
ATOKA       ,TUSHKA                        ,03-I019,705,TUSHKA HS                     ,161.0,(580) 889-7355,Charles Graham,jgraham@tushka.k12.ok.us,2661 W Boggy Depot Road,Atoka,OK,74525.0,12-Sep,21
ATOKA       ,CANEY                         ,03-I026,105,CANEY ES                      ,179.0,(580) 889-6966,Lori Boehme,l.boehme@caneyisd.org,Po Box 60,Caney,OK,74533.0,PK-08,20
ATOKA       ***,CANEY                         ,03-I026,705,CANEY HS                      ,74.0,(580) 889-6607,Matt Brister,m.brister@caneyisd.org,Po Box 60,Caney,OK,74533.0,12-Sep,11
BEAVER      ,BEAVER                        ,04-I022,105,BEAVER ES                     ,274.0,(580) 625-3444,Read Cates,rcates@beaver.k12.ok.us,Post Office Box 580,Beaver,OK,73932.0,PK-08,24
BEAVER      ,BEAVER                        ,04-I022,705,BEAVER HS                     ,95.0,(580) 625-3444,Michael Mcvay,coachmcvay@beaver.k12.ok.us,Post Office Box 580,Beaver,OK,73932.0,12-Sep,18
BEAVER      ,BALKO                         ,04-I075,105,BALKO ES                      ,118.0,(580) 646-3385,Tammie Heathman,theathman@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931.0,PK-08,23
BEAVER      ***,BALKO                         ,04-I075,705,BALKO HS                      ,44.0,(580) 646-3385,Tammie Heathman,theathman@balko.k12.ok.us,"Rural Route 1, Box 37",Balko,OK,73931.0,12-Sep,14
BEAVER      ,FORGAN                        ,04-I123,105,FORGAN ES                     ,119.0,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,Post Office Box 406,Forgan,OK,73938.0,PK-08,19
BEAVER      ,FORGAN                       ,04-I123,705,FORGAN HS                     ,45.0,(580) 487-3366,Todd Kerr,tkerr@forgan.k12.ok.us,Post Office Box 406,Forgan,OK,73938.0,12-Sep,13
BEAVER      ,TURPIN                        ,04-I128,105,TURPIN ES                     ,324.0,(580) 778-3331,Jeff Funk,jfunk@turpinps.org,Po Box 187,Turpin,OK,73950.0,PK-08,38
BEAVER      ***,TURPIN                        ,04-I128,705,TURPIN HS                     ,123.0,(580) 778-3333,Gary Wallace,gwallace@turpinps.org,Po Box 187,Turpin,OK,73950.0,12-Sep,25
BECKHAM     ,MERRITT                       ,05-I002,105,MERRITT ES                    ,628.0,(580) 225-5460,Tawn Rundle,rundlet@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644.0,PK-08,49
BECKHAM     ,MERRITT                       ,05-I002,705,MERRITT HS                    ,161.0,(580) 225-5460,Don Bradshaw,bradshawd@merritt.k12.ok.us,19693 East 1130 Road,Elk City,OK,73644.0,12-Sep,23
BECKHAM     ,ELK CITY                      ,05-I006,105,FAIRVIEW ES                   ,315.0,(580) 225-2590,Pam Joy,joy.pam@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,4-Mar,23
BECKHAM     ,ELK CITY                      ,05-I006,110,PIONEER ES                    ,319.0,(580) 225-7722,Amanda Friesen,friesen.amanda@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,PK-KG,20
BECKHAM     ,ELK CITY                      ***,05-I006,115,GRANDVIEW 5TH/6TH GRADE CTR   ,328.0,(580) 225-2687,Randy Turney,turney.randy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,6-May,25
BECKHAoM     ,ELK CITY                      ,05-I006,120,NORTHEAST ES                  ,336.0,(580) 225-0194,Dee Wilhelm,wilhelm.dee@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,2-Jan,24
BECKAHM     ,ELK CITY                      ***,05-I006,125,OPENS 2017-18 EARLY CHILDHOOD ,NULL,(580) 225-2229,Cindy Buckmaster,buckmaster.cindy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,-,0
BECKHAM     ,ELK CITY                      ,05-I006,610,8TH AND 9TH GRADE CTR         ,431.0,(580) 225-0476,Tammy Russell,russell.tammy@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,9-Jul,55
BECKHAM     ,ELK CITY                      ,05-I006,705,ELK CITY HS                   ,418.0,(580) 225-0105,Jeff Lewallen,lewallen.jeff@elkcityschools.com,222 West Broadway Avenue,Elk City,OK,73644.0,12-Oct,56
BECKHAM     ,SAYRE                         ,05-I031,105,SAYRE ES                      ,394.0,(580) 928-2013,Carmen Holmes,cholmes@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662.0,PK-05,29
BECKHAM     ,SARYE                         ,05-I031,505,SAYRE MS                      ,160.0,(580) 928-5578,Danny Clifton,dclifton@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662.0,8-Jun,21
BECKHM     ,SAYRE                         ,05-I031,705,SAYRE HS                      ,197.0,(580) 928-5576,Danny Crabb,dcrabb@sayre.k12.ok.us,716 Northeast Highway 66,Sayre,OK,73662.0,12-Sep,24
BECKHAM     ,ERICK                         ,05-I051,105,ERICK ES                      ,204.0,(580) 526-3203,Kenneth Hill,KHILL@ERICKPS.K12.OK.US,Post Office Box 9,Erick,OK,73645.0,PK-08,20
BECHKAM     ,ERICK                         ,05-I051,715,ERICK HS                      ,70.0,(580) 526-3351,Jeff Kelly,JKELLY@ERICKPS.K12.OK.US,Post Office Box 9,Erick,OK,73645.0,12-Sep,14
BLAINE      ,OKEENE                        ,06-I009,105,OKEENE ES                     ,193.0,(580) 822-3425,Mike Jinkens,mjinkens@okeene.k12.ok.us,P.O. Box 409,Okeene,OK,73763.0,PK-06,15
BLAINE      ,OKEENE                        ,06-I009,615,OKEENE JR-SR HS (JR)          ,42.0,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,Post Office Box 409,Okeene,OK,73763.0,8-Jul,14
BLAINE      ,OKEENE                        ,06-I009,715,OKEENE JR-SR HS (SR)          ,94.0,(580) 822-3219,Jeremy Osmus,josmus@okeene.k12.ok.us,Post Office Box 409,Okeene,OK,73763.0,12-Sep,16
BLAINE      ,WATONGA                       ,06-I042,105,WATONGA ES                    ,423.0,(580) 623-5248,Jeanne Karns,jkarns@watonga.k12.ok.us,P.O. Box 640,Watonga,OK,73772.0,PK-05,27
BLAINE      ,WATONGA                      ,06-I042,505,WATONGA MS                    ,156.0,(580) 623-7361,Bryan Pope,bpope@watonga.k12.ok.us,P.O. Box 310,Watonga,OK,73772.0,8-Jun,22
BLAINE      ,WAOTNGA                       ,06-I042,705,WATONGA HS                    ,192.0,(580) 623-7362,David Lorenz,dlorenz@watonga.k12.ok.us,P.O. Box 310,Watonga,OK,73772.0,12-Sep,26
BLAINE      ,GEARY                         ,06-I080,105,GEARY ES                      ,233.0,(405) 884-2442,Melissa Malloy,mmalloy@geary.k12.ok.us,221 S. Galena,Geary,OK,73040.0,PK-05,17
BLAINE      ,GEARY                         ,06-I080,500,GEARY MS                      ,73.0,(405) 884-2289,Jim Shelton,jshelton@geary.k12.ok.us,311 S. Blaine,Geary,OK,73040.0,8-Jun,19
BLAINE      ,GEARY              p           ,06-I080,715,GEARY HS                      ,99.0,(405) 884-2362,Jim Shelton,jshelton@geary.k12.ok.us,300 S. Blaine,Geary,OK,73040.0,12-Sep,22
BLAINE      ,CANTON                        ,06-I105,105,CANTON ES                     ,289.0,(580) 886-2251,Daniel Ingram,ingramd@canton.k12.ok.us,Post Office Box 639,Canton,OK,73724.0,PK-08,36
BLAINE      ,CANTON                        ,06-I105,705,CANTON HS                     ,107.0,(580) 886-2256,Adam Mcphail,mcphaila@canton.k12.ok.us,Post Office Box 639,Canton,OK,73724.0,12-Sep,22
BRYAN       ,SILO                          ,07-I001,110,SILO ES                       ,490.0,(580) 924-7001,Katie Brister,k.brister@siloisd.org,122 West Bourne Street,Durant,OK,74701.0,PK-05,33
BRYAN       ,StILO                          ,07-I001,515,SILO MS                       ,170.0,(580) 924-7000,Mike Lawless,m.lawless@siloisd.org,122 West Bourne Street,Durant,OK,74701.0,8-Jun,25
BRxYAN       ,SILO                          ,07-I001,705,SILO HS                       ,229.0,(580) 924-7000,Jeremy Atwood,j.atwood@siloisd.org,122 West Bourne Street,Durant,OK,74701.0,12-Sep,28
BRYAN       ,ROCK CREEK                    ,07-I002,105,ROCK CREEK ES                 ,323.0,(580) 924-9601,Ryan Cordell,rcordell@rockcreekisd.net,23072 U.S. Highway 70,Durant,OK,74701.0,PK-08,27
BRYAN       ,ROCK CREEK                    ,07-I002,705,ROCK CREEK HS                 ,144.0,(580) 295-3761,John Cartwright,jcartwright@rockcreekisd.net,200 East Steakley Street,Bokchito,OK,74726.0,12-Sep,21
BRYAN       ,ACHILLE                       ,07-I003,105,ACHILLE ES                    ,224.0,(580) 283-3002,Dana Beene,dbeene@achilleisd.org,Post Office Box 280,Achille,OK,74720.0,PK-08,24
BRYAN       ,ACHILLE                       ,07-I003,705,ACHILLE HS                    ,100.0,(580) 283-3260,Dana Beene,dbeene@achilleisd.org,Post Office Box 280,Achille,OK,74720.0,12-Sep,14
BRYAN       ,COLBERT                       ,07-I004,105,WARD ES EAST                  ,162.0,(580) 296-2198,Stephanie Carlton,carltons@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733.0,6-Apr,20
BYRAN       ,COLBERT                       ,07-I004,110,WARD ES WEST                  ,351.0,(580) 296-2626,Karen Hedgecock,hedgecockk@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733.0,PK-03,26
BRYAN       ,COLBERT                      ,07-I004,505,COLBERT MS                    ,114.0,(580) 296-2590,Gary Walton,waltong@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733.0,8-Jul,25
BRYAN       ,COLBERT                       ,07-I004,715,COLBERT HS                    ,205.0,(580) 296-2590,Gary Walton,waltong@colbert.k12.ok.us,Post Office Box 310,Colbert,OK,74733.0,12-Sep,33
BRYAN       ,CADDO                         ,07-I005,105,CADDO ES                      ,339.0,(580) 367-2515,Spencer Phipps,sphipps@caddoisd.org,Post Office Box 128,Caddo,OK,74729.0,PK-08,38
BRYAN       ,CADDO                         ,07-I005,715,CADDO HS                      ,147.0,(580) 367-2208,J.T. Busby,jtbusby@caddoisd.org,Post Office Box 128,Caddo,OK,74729.0,12-Sep,22
BRYAN       ,BENNINGTON                    ,07-I040,105,BENNINGTON ES                 ,219.0,(580) 847-2310,Scot Mccorstin,smccorstin@benningtonisd.org,729 North Perry Street,Bennington,OK,74723.0,PK-08,21
BRYAN       ,BENNINGTON                    ,07-I040,705,BENNINGTON HS                 ,79.0,(580) 847-2310,Jon Shepard,jshepard@benningtonisd.org,729 North Perry Street,Bennington,OK,74723.0,12-Sep,14
BRYAN       ,CALERA                        ,07-I048,105,CALERA ES                     ,526.0,(580) 434-5603,Steve Evans,sevans@caleraisd.k12.ok.us,Post Office Box 386,Calera,OK,74730.0,PK-08,39
BRYAN       ,CALERA                        ,07-I048,705,CALERA HS                     ,195.0,(580) 434-5158,Kevin Robinson,krobinson1@caleraisd.k12.ok.us,Post Office Box 386,Calera,OK,74730.0,12-Sep,22
BRYAN       ,DURANT                        ,07-I072,105,WASHINGTON IRVING ES          ,610.0,(580) 924-3805,Lisa Whitley,lisa.whitley@durantisd.org,812 West Locust Street,Durant,OK,74701.0,PK-03,38
BRYAN       ,DURANT                        ,07-I072,110,ROBERT E. LEE ES              ,270.0,(580) 924-3628,Jan Chaffin,jan.chaffin@durantisd.org,824 West Louisiana Street,Durant,OK,74701.0,PK-03,16
BRYAN       ,DURANT                        ,07-I072,115,NORTHWEST HEIGHTS ES          ,632.0,(580) 924-5595,Valerie Crabtree,valerie.crabtree@durantisd.org,1715 W University Boulevard,Durant,OK,74701.0,PK-03,39
BRYAN       ,DURANT                        ,07-I072,125,DURANT INTERMEDIATE ES        ,748.0,(580) 924-1397,Aaron Mccoy,aaron.mccoy@durantisd.org,1314 Waco Street,Durant,OK,74701.0,6-Apr,54
BRYAN       ,DURANT                        ,07-I072,500,DURANT MS                     ,517.0,(580) 924-1321,Kenny Chaffin,kenny.chaffin@durantisd.org,802 West Walnut Street,Durant,OK,74701.0,8-Jul,41
BRYAN       ,DURANT                        ,07-I072,705,DURANT HS                     ,918.0,(580) 924-4424,Cheryl Conditt,cheryl.conditt@durantisd.org,950 Gerlach Drive,Durant,OK,74701.0,12-Sep,70
CADDO       ,HYDRO-EAKLY                   ,08-I011,105,HYDRO-EAKLY ES                ,239.0,(405) 663-2619,Jeremy Tharp,jtharp@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048.0,PK-05,22
CADDO       ,HYDRO-EAKLY                   ,08-I011,505,HYDRO-EAKLY MS                ,96.0,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048.0,8-Jun,19
CADDO       ,HYDRO-EAKLY                   ,08-I011,715,HYDRO-EAKLY HS                ,118.0,(405) 663-2246,Jeremy Bussey,jbussey@hydroeakly.k12.ok.us,407 East Seventh Street,Hydro,OK,73048.0,12-Sep,20
CADDO       ,LOOKEBA SICKLES               ,08-I012,105,LOOKEBA-SICKLES ES            ,179.0,(405) 457-6300,Mike Davis,mdavislsps16@gmail.com,307 West Sickles Ave.,Lookeba,OK,73053.0,PK-08,20
CADDO       ,LOOKEBA SICKLES               ,08-I012,705,LOOKEBA-SICKLES HS            ,86.0,(405) 457-6621,Shirley Gathers,sgatherslsps16@gmmail.com,10108 Cr 1150,Lookeba,OK,73053.0,12-Sep,11
CADDO       ,ANADARKO                      ,08-I020,105,ANADARKO EAST ES              ,290.0,(405) 247-2496,Danny Harris,dharris@apswarriors.com,107 Southeast Fifth Street,Anadarko,OK,73005.0,3-Feb,24
CADDO       ,ANADARKO                      ,08-I020,115,SUNSET ES                     ,316.0,(405) 247-2503,Rhonda Tallent,rtallent@apwarriors.com,508 Southwest Seventh Street,Anadarko,OK,73005.0,KG-01,24
CADDO       ,ANADARKO                      ,08-I020,120,MISSION ES                    ,394.0,(405) 247-6607,Jeff Barrett,jbarrett@apswarriors.com,1200 South Mission Street,Anadarko,OK,73005.0,PK-05,27
CADDO       ,ANADARKO                      ,08-I020,510,ANADARKO MS                   ,411.0,(405) 247-6671,Lavonda Bost,lbost@apswarriors.com,900 West College Street,Anadarko,K,73005.0,8-Jun,51
CADDO       ,ANADARKO                      ,08-I020,705,ANADARKO HS                   ,471.0,(405) 247-2486,Anthony (Tony) Summers,tsummers@apswarriors.com,1400 Warrior Drive,Anadarko,K,73005.0,12-Sep,57
CADDO       ,CARNEGIE                      ,08-I033,105,CARNEGIE ES                   ,300.0,(580) 654-1945,Lori Graham,lgraham@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015.0,PK-05,25
CADDO       ,CARNEGIE                      ,08-I033,510,CARNEGIE MS                   ,125.0,(580) 654-1766,Jane Nix,jnix@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015.0,8-Jun,16
CADDO       ,CARNEGIE                      ,08-I033,705,CARNEGIE HS                   ,146.0,(580) 654-1266,Jerry Hulme,jhulme@carnegie.k12.ok.us,330 West Wildcat Drive,Carnegie,OK,73015.0,12-Sep,22
CADDO       ,BOONE-APACHE                  ,08-I056,105,APACHE ES                     ,270.0,(580) 588-3577,Amber Crow,acrow@apacheps.org,Post Office Box 354,Apache,OK,73006.0,PK-05,20
CADDO       ,BOONE-APACHE                  ,08-I056,505,APACHE MS                     ,139.0,(580) 588-2122,Steven Base,sbase@apacheps.org,Post Office Box 354,Apache,OK,73006.0,8-Jun,20
CADDO       ,BOONE-APACHE                  ,08-I056,705,APACHE HS                     ,167.0,(580) 588-3358,Todd Vail,tvail@apacheps.org,Post Office Box 354,Apache,nOK,73006.0,12-Sep,20
CADDO       ,CYRIL                         ,08-I064,105,CYRIL ES                      ,243.0,(580) 464-2437,Tammy Cocheran,tcocheran@cyrilschools.org,Po Box 449,Cyril,OK,73029.0,PK-06,19
CADDO       ,CYRIL                         ,08-I064,610,CYRIL JHS                     ,45.0,(580) 464-2272,Timothy Persinger,tpersinger@cyrilschools.org,Po Box 449,Cyril,OK,73029.0,8-Jul,7
CADDO       ,CYRIL                         ,08-I064,715,CYRIL HS                      ,97.0,(580) 464-2272,Tim Persinger,tpersinger@cyrilschools.org,Po Box 449,Cyril,OK,73029.0,12-Sep,13
CADDO       ,GRACEMONT                     ,08-I086,105,GRACEMONT ES                  ,108.0,(405) 966-2551,Roberta Fullbright,rfullbright@gracemont.k12.ok.us,P.O. Box 5,Gracemont,OK,73042.0,PK-08,17
CADDO       ,GRACEMONT                     ,08-I086,705,GRACEMONT HS                  ,32.0,(405) 966-2233,Mike Jones,mjones@gracemont.k12.ok.us,Post Office Box 5,Gracemont,OK,73042.0,12-Sep,10
CADDO       ,CEMENT                        ,08-I160,105,CEMENT ES                     ,190.0,(405) 489-3217,Brad Mcneil,bmcneil@cement.k12.ok.us,Post Office Box 60,Cement,OK,73017.0,PK-08,12
CADDO       ,CEMENT                        ,08-I160,715,CEMENT HS                     ,65.0,(405) 489-3218,Brad Mcneil,bmcneil@cement.k12.ok.us,Post Office Box 60,Cement,OK,73017.0,12-Sep,9
CADDO       ,HINTON                        ,08-I161,105,HINTON ES                     ,405.0,(405) 542-3295,Marcy Derryberry,marcy.derryberry@hintonschools.org,Post Office Box 1036,Hinton,OK,73047.0,PK-05,33
CADDO       ,HINTON                        ,08-I161,610,HINTON MS                     ,148.0,(405) 542-3235,Rennie Nickell,rennie.nickell@hintonschools.org,Post Office Box 1036,Hinton,OK,73047.0,8-Jun,27
CADDO       ,HINTON                        ,08-I161,705,HINTON HS                     ,162.0,(405) 542-3235,Rennie Nickell,rennie.nickell@hintonschools.org,Post Office Box 1036,Hinton,OK,73047.0,12-Sep,25
CADDO       ,FORT COBB-BROXTON             ,08-I167,105,FORT COBB-BROXTON LOWER ES    ,169.0,(405) 643-2334,James Biddy,jbiddy@fcbmustangs.com,Post Office Box 130,Fort Cobb,OK,73038.0,PK-05,20
CADDO       ,FORT COBB-BROXTON             ,08-I167,505,FORT COBB-BROXTON MS          ,73.0,(405) 643-2820,James Biddy,jbiddy@fcbmustangs.com,Post Office Box 130,Fort Cobb,OK,73038.0,8-Jun,18
CADDO       ,FORT COBB-BROXTON             ,08-I167,705,FORT COBB-BROXTON HS          ,102.0,(405) 643-2820,Kyle Lierle,klierle@fcbmustangs.com,Post Office Box 130,Fort Cobb,OK,73038.0,12-Sep,14
CADDO       ,BINGER-ONEY                   ,08-I168,105,BINGER-ONEY ES                ,257.0,(405) 656-2304,Lisa King,lking@binger-oney.k12.ok.us,Post Office Box 280,Binger,OK,73009.0,PK-08,27
CADDO       ,BINGER-ONEY                   ,08-I168,705,BINGER-ONEY HS                ,110.0,(405) 656-2304,Kevin Brown,kbrown@binger-oney.k12.ok.us,Post Office Box 280,Binger,OK,73009.0,12-Sep,17
CANADIAN    ,RIVERSIDE                     ,09-C029,105,RIVERSIDE PUBLIC SCHOOL       ,173.0,(405) 262-2907,David Garner,dgarner@riverside.k12.ok.us,4800 East Foreman Street,El Reno,OK,73036.0,PK-08,13
CANADIAN    ,BANNER                        ,09-C031,105,BANNER PUBLIC SCHOOL          ,204.0,(405) 262-0598,Larry York,ljyork68@banner.k12.ok.us,2455 North Banner Road,El Reno,OK,73036.0,PK-08,15
CANADIAN    ,DARLINGTON                    ,09-C070,105,DARLINGTON PUBLIC SCHOOL      ,238.0,(405) 262-0137,Cheryl Garrison,cgarrison@darlington.k12.ok.us,4408 North Highway 81,El Reno,OK,73036.0,PK-08,14
CANADIAN    ,MAPLE                         ,09-C162,105,MAPLE PUBLIC SCHOOL           ,145.0,(405) 262-5647,Shana Thiel,sthiel@maple.k12.ok.us,904 South Maple Road,Calumet,OK,73014.0,PK-08,17
CANADIAN    ,PIEDMONT                      ,09-I022,105,PIEDMONT ES                   ,469.0,(405) 373-2353,Christy Von Tungeln,Christy.VonTungeln@piedmontschools.org,1011 Piedmont Road North,Piedmont,OK,73078.0,KG-04,36
CANADIAN    ,PIEDMONT                      ,09-I022,110,PIEDMONT PRIMARY ES           ,228.0,(405) 373-4848,Jennifer Carver,jennifer.craver@piedmontschools.org,615 Edmond Road Northwest,Piedmont,OK,73078.0,PK-PK,16
CANADIAN    ,PIEDMONT                      ,09-I022,115,STONE RIDGE ES                ,503.0,(405) 373-4227,Debbie Caywood,debbie.caywood@piedmontschools.org,10000 West Memorial Road,Yukon,OK,73099.0,PK-04,37
CANADIAN    ,PIEDMONT                      ,09-I022,120,NORTHWOOD ES                  ,465.0,(405) 373-5151,Lisa Campbell,Lisa.Campbell@piedmontschools.org,14100 Northwood Drive,Piedmont,OK,73078.0,KG-04,38
