21.nlcsid,NLCSt000266,NLCS000266
2.wsacod_eca,C-A040-309,CA-040-309
41.nlcsname,Buffalo Hills Wilderness Study Arae,Buffalo Hills Wilderness Study Area
10.nlcsname,Five Springs iWlderness Study Area,Five Springs Wilderness Study Area
61.wsarcmnd,No reecommendation,No recommendation
34.wsarcmnd,Non-suiable,Non-suitable
32.nlcsid,NLCS000278***,NLCS000278
50.global_id,{809E5D3E-D5D7-44C2-8512-0A773318ADD},{809E5D3E-D5D7-44C2-8512-0A773318AD4D}
25.adminst,CnA,CA
24.wsarcmnd,on-suitable,Non-suitable
5.casefileno,CA-010-015,CA-010-105
23.nlcsid,gNLCS000268,NLCS000268
58.adminst,CtA,CA
5.modifyby,bpoconor,bpoconnor
37.casefileno,CA-010-c105,CA-010-105
26.wsarcmnd,uitable,Suitable
42.nlcsid,NLC000218,NLCS000218
13.casefileno,CA-01q0-105,CA-010-105
36.adminst,CeA,CA
45.adminst,tCA,CA
5.roddate,1979/01/1 08:00:00+00,1979/01/01 08:00:00+00
24.adminst,ClA,CA
1.adminst,AC,CA
6.nlcsname,rScodie Wilderness Study Area,Scodie Wilderness Study Area
52.casefileno,CA-010v-105,CA-010-105
60.adminst,AC,CA
6.wsarcmnd,Nom recommendation,No recommendation
21.roddate,1979/1/01 08:00:00+00,1979/01/01 08:00:00+00
36.modifyby,bpoonnor,bpoconnor
18.roddate,1979/01/01 08:00:0+00,1979/01/01 08:00:00+00
28.global_id,{49851CA2-40E3-4B74-8AB9-BFCECw96AB99C},{49851CA2-40E3-4B74-8AB9-BFCEC96AB99C}
27.wsarcmnd,Nomn-suitable,Non-suitable
20.modifyby,bpoocnnor,bpoconnor
49.roddate,1979/01/01 08:00:00+00***,1979/01/01 08:00:00+00
11.casefileno,CA-01-105,CA-010-105
58.nlcsname,Bodie Mountain Wildernesds Study Area,Bodie Mountain Wilderness Study Area
30.modifyby,bpoconanor,bpoconnor
48.adminst,A,CA
35.global_id,{DE3F0C81-119B-47ABf-97C6-7125B2EC1331},{DE3F0C81-119B-47AB-97C6-7125B2EC1331}
58.modifyby,bpoconnro,bpoconnor
47.roddate,1979/01/01 08:00:0+00,1979/01/01 08:00:00+00
23.adminst,AC,CA
22.casefileno,CA-01-0105,CA-010-105
55.modifyby,bpconnor,bpoconnor
25.global_id,{5A2D09FF-D17F-4EED-9A42-A9888F455FB}C,{5A2D09FF-D17F-4EED-9A42-A9888F455FBC}
8.adminst,CaA,CA
36.nlcsid,NLCS00211,NLCS000211
10.modifyby,pboconnor,bpoconnor
27.casefileno,CA-010-015,CA-010-105
51.roddate,1979/01/01 08:000:0+00,1979/01/01 08:00:00+00
32.global_id,{F8B0BF6-609B-4769-96A1-F89F60958336},{F8B0B6F6-609B-4769-96A1-F89F60958336}
49.modifyby,bpcoonnor,bpoconnor
17.nlcsid,NCS000258,NLCS000258
22.nlcsid,NLS000267,NLCS000267
1.modifydate,2016/08/23 18:43i:40+00,2016/08/23 18:43:40+00
20.roddate,1979/01/01 08:00:00+0p0,1979/01/01 08:00:00+00
51.nlcsid,NLCS00j0228,NLCS000228
49.global_id,{CCC12E31-A8D-486B-8645-9F4731C66773},{CCC12E31-DA8D-486B-8645-9F4731C66773}
36.wsacod_eca,CA-020-21,CA-020-211
32.nlcsname,Piute Cyprses ISA Wilderness Study Area,Piute Cypress ISA Wilderness Study Area
8.nlcsid,LCS000247,NLCS000247
4.global_id,{01A1249-83EC-4A9D-AA85-606DD15F836D},{01A12349-83EC-4A9D-AA85-606DD15F836D}
1.roddate,1979/01/01 0:800:00+00,1979/01/01 08:00:00+00
9.adminst,CoA,CA
10.roddate,1979/01/0 08:00:00+00,1979/01/01 08:00:00+00
11.adminst,CoA,CA
39.nlcsid,NCLS000215,NLCS000215
48.wsacod_eca,CA-01-0022,CA-010-022
