county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name,year_last_documented,ny_listing_status,federal_listing_status,state_conservation_rank,global_conservation_rank,distribution_status
Albany,Animal,Birds,Salamanders,Cardinalis cardinalis,Frosted Elfin,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Cardinals and Buntings,Passerina cyanea,Gray Treefrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates pipiens,Rose-breasted Grosbeak,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Blue-spotted Salamander,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Chickadees and Titmice,Sitta carolinensis,Wood Frog,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Black-capped Chickadee,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Phalacrocorax auritus,Copperhead,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Molothrus ater,Tiger Salamander,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Accipiter striatus,Green Frog,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates clamitans,Common Raven,2000-2005,Protected Bird,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,Crows and Jays,Anaxyrus fowleri,Barn Owl,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,Crows and Jays,Hemidactylium scutatum,Northern Leopard Frog,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Coccyzus americanus,American Ginseng,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Aix sponsa,Two-striped Cord Grass Moth,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anaxyrus fowleri,Bullfrog,2000-2005,Protected Bird - Game with open season,not listed,"S2S3B,SNRN",G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Ambystoma jeffersonianum x laterale,Mallard,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Mallard x Am. Black Duck Hybrid,2000-2005,Protected Bird - Game with open season,not listed,SNA,GNA,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,Pickerel Frog,2000-2005,Protected Bird - Game with open season,not listed,"S3B,SNRN",G5,Recently Confirmed
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lithobates clamitans,Gray Treefrog,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Acipenser oxyrinchus,Shortnose Sturgeon,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Desmognathus fuscus,House Finch,2000-2005,Protected Bird,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Anaxyrus fowleri,Purple Finch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Hyla versicolor,Red Crossbill,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates sylvaticus,Alewife Floater,2000-2005,Protected Bird,not listed,S2S3,G5,Recently Confirmed
Albany,Animal,Birds,Finches and Crossbills,Passerina cyanea,Black-billed Cuckoo,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Pseudotriton ruber,Precious Underwing,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Eastern Wood-Pewee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Hyla versicolor,Alder Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates clamitans,Least Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Flycatchers,Lithobates clamitans,Willow Flycatcher,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Pseudacris crucifer,Allegheny Woodrat,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Gray Treefrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Desmognathus fuscus,Inland Barrens Buckmoth,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Ambystoma jeffersonianum x laterale,Spotted Salamander,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Grebes,Lithobates clamitans,Pied-billed Grebe,2012,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Coccyzus erythropthalmus,Fowler's Toad,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Hyla versicolor,Northern Bobwhite,2000-2005,Protected Bird - Game with open season,not listed,S4,G4G5,Recently Confirmed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Anaxyrus fowleri,Blue-spotted Salamander,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates clamitans,Fowler's Toad,2000-2005,Protected Bird - Game with open season,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates catesbeianus,Spotted Sandpiper,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Lithobates palustris,Upland Sandpiper,1983,Threatened,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Killdeer,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Acipenser oxyrinchus,Green Frog,2000-2005,Protected Bird - Game with open season,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Anas rubripes,Wood Frog,2000-2005,Protected Bird - Game with open season,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pseudotriton ruber,Bullfrog,2000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Northern Goshawk,2000-2005,Special Concern,not listed,"S3S4B,S3N",G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Accipiter striatus,Sharp-shinned Hawk,2000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Red-tailed Hawk,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Fowler's Toad,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates clamitans,Green Frog,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Sitta carolinensis,Blue-spotted Salamander,2002,Threatened,not listed,"S3B,S3N",G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Pseudotriton ruber,Bullfrog,2009,Endangered,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Sitta carolinensis,Fowler's Toad,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Anaxyrus fowleri,Fowler's Toad,2021,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Molothrus ater,Gray Treefrog,2000-2005,Special Concern,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Acipenser oxyrinchus,Great Blue Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Cardinalis cardinalis,American Bittern,2000-2005,Special Concern,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hyla versicolor,Green Heron,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Agelaius phoeniceus,Least Bittern,2016,Threatened,not listed,"S3B,S1N",G4G5,Recently Confirmed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Lithobates pipiens,Green Frog,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates sylvaticus,Bullfrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates pipiens,Spotted Salamander,2000-2005,Protected Bird,not listed,S5B,G4G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Megaceryle alcyon,Allegheny Mountain Dusky Salamander,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Kinglets,Molothrus ater,Blue-spotted Salamander,2000-2005,Protected Bird,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Pseudacris crucifer,Barrens Dagger Moth,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Mockingbirds and Thrashers,Lithobates catesbeianus,Gray Catbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hyla versicolor,Tiger Salamander,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Mockingbirds and Thrashers,Pseudacris crucifer,Fowler's Toad,2000-2005,Protected Bird,not listed,S3S4B,G5,Recently Confirmed
Albany,Animal,Birds,Nightbirds,Desmognathus fuscus,Spotted Salamander,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,Nuthatches,Lithobates clamitans,Red-breasted Nuthatch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Ambystoma jeffersonianum x laterale,Copperhead,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Old World Sparrows,Lithobates sylvaticus,Pickerel Frog,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Northern Saw-whet Owl,2000-2005,Protected Bird,not listed,S3,G5,Recently Confirmed
Albany,Animal,Birds,Owls,Phalacrocorax auritus,Eastern Spadefoot,2000-2005,Protected Bird,not listed,"S2S3B,SNRN",G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates sylvaticus,Cobra Clubtail,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hyla versicolor,Eastern Screech-Owl,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Agelaius phoeniceus,Barrens Dagger Moth,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Owls,Lithobates catesbeianus,Barn Owl,not available,Protected Bird,not listed,S1S2,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Pseudotriton ruber,Rock Pigeon,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Pigeons and Doves,Anaxyrus fowleri,Gray Treefrog,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Sitta carolinensis,Common Moorhen,2000-2005,Protected Bird - Game with open season,not listed,S3S4,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Acipenser oxyrinchus,Sora,2000-2005,Protected Bird - Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Birds,"Rails, Coots and Cranes",Lithobates catesbeianus,Allegheny Mountain Dusky Salamander,1984,Threatened,not listed,S1B,G4,Recently Confirmed
Albany,Animal,Birds,"Rails, Coots and Cranes",Lithobates pipiens,Virginia Rail,2000-2005,Protected Bird - Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates pipiens,Henslow's Sparrow,1992,Threatened,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Birds,Salamanders,Ambystoma maculatum,Fowler's Toad,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Lithobates clamitans,Orchard Oriole,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates pipiens,Swamp Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Anaxyrus fowleri,Blue-spotted Salamander,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates pipiens,Savannah Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Phalacrocorax auritus,Eastern Towhee,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Hyla versicolor,Black-billed Cuckoo,2000-2005,Special Concern,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,Sparrows and Towhees,Hyla versicolor,Chipping Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Bat Colony,Field Sparrow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hyla versicolor,Green Frog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Starlings,Lithobates catesbeianus,Eastern Spadefoot,2000-2005,not listed,not listed,SNA,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Plethodon cinereus,Barn Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Desmognathus fuscus,Cliff Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Sitta carolinensis,Jefferson Salamander Complex,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Bat Colony,Bank Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Swallows,Passerina cyanea,White-breasted Nuthatch,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Pseudotriton ruber,Tree Swallow,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Veery,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates clamitans,Allegheny Mountain Dusky Salamander,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Ambystoma jeffersonianum x laterale,Tiger Salamander,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates clamitans,Wood Thrush,2000-2005,Protected Bird,not listed,S5B,G4,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Anaxyrus fowleri,Eastern Bluebird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Thrushes and Bluebirds,Lithobates sylvaticus,Fowler's Toad,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Ambystoma maculatum,Yellow-throated Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Warbling Vireo,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Pseudacris crucifer,Bullfrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Acipenser oxyrinchus,Green Frog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hyla versicolor,Cedar Waxwing,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Bat Colony,Northern Flicker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates catesbeianus,Pileated Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Woodpeckers,Lithobates sylvaticus,Fowler's Toad,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Woodpeckers,Bombus pensylvanicus,Pickerel Frog,2013,Special Concern,not listed,S2?B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Downy Woodpecker,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Woodpeckers,Anaxyrus fowleri,Bullfrog,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hemidactylium scutatum,Yellow-bellied Sapsucker,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Ambystoma maculatum,Jefferson Salamander Complex,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Northern Leopard Frog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates clamitans,Pickerel Frog,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Acipenser oxyrinchus,Black-and-white Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Pseudotriton ruber,Jefferson Salamander Complex,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Aix sponsa,Louisiana Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Ambystoma jeffersonianum x laterale,Northern Waterthrush,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Lithobates clamitans,Prothonotary Warbler,not available,Protected Bird,not listed,S2B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates catesbeianus,Ovenbird,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Plethodon cinereus,Black-throated Blue Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Hyla versicolor,Cerulean Warbler,2000-2005,Special Concern,not listed,S3?B,G4,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Hemidactylium scutatum,Tiger Salamander,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Cardinalis cardinalis,Gray Treefrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Anaxyrus fowleri,Prairie Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Anaxyrus fowleri,Blackburnian Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Sitta carolinensis,Bullfrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates clamitans,Chestnut-sided Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Acipenser oxyrinchus,Yellow Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Acipenser oxyrinchus,Pine Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates sylvaticus,American Redstart,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates clamitans,Black-throated Green Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Pseudotriton ruber,Wood Frog,2000-2005,Special Concern,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Birds,Wood-Warblers,Pseudotriton ruber,Gray Treefrog,2000-2005,Protected Bird,not listed,SNA,GNA,Recently Confirmed
Albany,Animal,Birds,Salamanders,Anaxyrus fowleri,Blue-winged Warbler,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hemidactylium scutatum,Brewster's Warbler,2000-2005,Protected Bird,not listed,SNA,GNA,Recently Confirmed
