Rank*,Title,Monday 6/6,Tuesday 6/7,Wednesday 6/8,Thursday 6/9
-,HOODWINKED TOO! HOOD VS. EVIL Weinstein Company 80,"$3,561 -58.8% / $45 $9,529,148 / 39","$4,823 +35.4% / $60 $9,533,971 / 40","$4,328 -10.3% / $54 $9,538,299 / 41","$5,893 +36.2% / $74 $9,544,192 / 42"
-,BEAUTIFUL BOY Anchor Bay Films 4,"$1,945 -62.8% / $486 $18,107 / 4","$1,929 -0.8% / $482 $20,036 / 5","$1,426 -26.1% / $357 $21,462 / 6","$2,762 +93.7% / $691 $24,224 / 7"
-,NOSTALGIA FOR THE LIGHT Icarus Films 2,"$1,380 +116.6% / $690 $118,244 / 145","$215 -84.4% / $215 $118,459 / 146","$161 -25.1% / $161 $118,620 / 147","$120 -25.5% / $120 $118,740 / 148"
-,THE LAST MOUNTAIN Dada Films 2,"$969 -81.6% / $485 $18,539 / 4","$724 -25.3% / $362 $19,263 / 5","$1,808 +149.7% / $904 $21,071 / 6","$1,137 -37.1% / $569 $22,208 / 7"
-,THE KING'S SPEECH (PG-13) Weinstein Company 16,"$955 -18.4% / $60 $3,336,044 / 67","$945 -1% / $59 $3,336,989 / 68","$957 +1.3% / $60 $3,337,946 / 69","$1,117 +16.7% / $70 $3,339,063 / 70"
-,KILL THE IRISHMAN Anchor Bay Films 8,"$536 -62.5% / $67 $1,176,902 / 88","$734 +36.9% / $92 $1,177,636 / 89","$682 -7.1% / $85 $1,178,318 / 90","$580 -15% / $73 $1,178,898 / 91"
-,35 AND TICKING Image Entertainment 4,"$470 -41.5% / $118 $59,207 / 18","$395 -16% / $99 $59,602 / 19","$394 -0.3% / $99 $59,996 / 20","$734 +86.3% / $184 $60,730 / 21"
-,THE MUSIC NEVER STOPPED Roadside Attractions 5,"$181 -49.4% / $36 $247,460 / 81","$126 -30.4% / $25 $247,586 / 82","$208 +65.1% / $42 $247,794 / 83","$143 -31.3% / $29 $247,937 / 84"
-,SKATELAND Freestyle Releasing 3,"$159 -42.4% / $53 $19,048 / 25","$153 -3.8% / $51 $19,201 / 26","$58 -62.1% / $19 $19,259 / 27","$152 +162.1% / $51 $19,411 / 28"
-,UNDER THE BOARDWALK: THE MONOPOLY STORY Tostie Productions 1,"$135 +40.6% / $135 $12,665 / 95","$132 -2.2% / $132 $12,797 / 96","$160 +21.2% / $160 $12,957 / 97","$123 -23.1% / $123 $13,080 / 98"
-,THE TOPP TWINS: UNTOUCHABLE GIRLS Argot Pictures 1,"$88 +214.3% / $88 $11,462 / 25",,"$98 -- / $98 $11,560 / 27","$58 -40.8% / $58 $11,618 / 28"
-,BIUTIFUL Roadside Attractions 1,"$22 -15.4% / $22 $5,100,959 / 130","$105 +377.3% / $105 $5,101,064 / 131","$107 +1.9% / $107 $5,101,171 / 132","$66 -38.3% / $66 $5,101,237 / 133"
-,SUPER 8 Paramount -,,,,"$1,000,000 (estimate) -- / $3,086 $1,000,000 / 0"
-,LE RAYON VERT (SUMMER) The Film Desk -,,,,$392 -- / $392 $392 / 1
