fullcomplaintid(long),complaintyearnumber(long),monthnumber(long),recordcreatedate,complaintprecinctcode(long),patrolboroughname,county,lawcodecategorydescription,offensedescription,pdcodedescription,biasmotivedescription,offensecategory,arrestdate,arrestid
201900912710717,2019,8,07/07/2020,9,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISrCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201901012103817,2019,1,01/24/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANT-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901012139417,2019,2,02/18/2019,10,PATRL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASMSENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901012297417,2019,6,06/07/2019,10,PATROL BORO MAN SOUTH,NEW YOKR,EFLONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-BLACK,Race/Color,06/07/2019,M31697999
201901012409317,2019,8,08/15/2019,10,PATROL BORO MAN SOUTH,NcEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,AdSSAULT 3,ANTI-lWHITE,Race/Color,08/23/2019,M31710091
201901012497017,2019,10,10/03/2019,10,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901012609817,2019,12,12/11/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISDEMcEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-BLACK,Race/Color,5/01/2021,B3168206
201901012610317,2019,12,12/12/2019,10,PATROL BORO MAN SOUTH,NEW YORK,MISDMEEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL IMSCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/012021,B31682806
201901312150717,2019,1,01/25/2019,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAsL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (pGAY),Sexual Orientation,05/01/2021,B31682806
201901312175117,2019,2,02/02/2019,13,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANOEUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901312283917,2019,3,03/122019,13,PATROL BORO AN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST UPB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901312619417,2019,6,07/02/2019,13,PATRLO BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201901312652217,2019,7,07/13/2019,13,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEAaNOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B3682806
201901312751917,2019,8,08/16/2019,13,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASAULT 2,1,UNCLASSIFIED",ANTI-WHITE,Race/Color,08/16/2019,M31709092
201901312752017,2019,8,08/16/2019,13,PATROL BORO MAN SOUTH,NEW YmORK,MISDEMpEANOR,ASSAULT 3 & RELATEDO FFENSES,ASSAULT 3,ANTI-WHITE,Rce/Color,08/16/019,Mm31709102
201901312793717,2019,8,08/29/2019,13,PATROL BORO MAN SOUTH,NEW YORK,FkELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASMENT 1,ANTI-JEWSH,Religion/Religious Practice,11/21/2019,M31723428
201901312880017,2019,9,09/26/2019,13,PATROL BROO MAN SOUTH,NEW YORK,wFELONY,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 3 & 2, OF M",ANTI-JEWISH,Religion/ReligiousPractice,05/01/o2021,B31682806
201901312911717,2019,10,10/07/2019,13,PATROL BORO dMAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2201,B31682806
201901312988617,2019,11,11/03/2019,13,PATROL BORO MAN SOUTH,NEW YROK,FLONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,01/05/2022,M34672420
201901313100817,2019,12,12/12/2019,13,PATROL BOO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,GAGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religiosu Practice,05/01/2021,31682806
201901412079617,2019,12,01/02/2019,14,PATROL BORO MAN SOUTH,NEW YORK,FELOYN,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-AmRAB,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201901412289917,2019,1,03/05/2019,14,PATROL BORO MAN SOUTH,NWE YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY&,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901412320417,2019,3,03/13/2019,14,PATROL BORO MAN SUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL AW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,09/09/2019,M31712505
201901412509517,2019,5,05/06/2019,14,PATROL BORO MAN SOUTH,NEW YOKR,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2***,ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31682806
201901412517917,2019,5,05/08/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901412733017,2019,7,07/09/2091,14,PATRLO BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-LGBT (MIXED GROUP),Sexual Orientation,05/01/2021,B31628806
201901412757317,2019,7,07/15/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-LGBT (MIXED GROUP),Sexual Orientation,50/01/2021,B31682806
201901412841917,2019,8,08/08/2019,14,PATROL BORO MAN OUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",NTI-WHITE,Racue/Color,05/01/2021,B3182806
201901412857417,2019,8,0812/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEpANOR,CRIMNAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-WHITE,Race/Color,05/01/2021,B31682086
201901413044417,2019,10,0/03/2019,14,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAeVATED HARASSMENT 1,ANTI-JEWISH,Rceligion/Religious Practice,05/01/2021,B31682806
201901413212917,2019,11,11/18/2019,14,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-tMALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682086
201901413371917,2019,1,07/03/2020,14,PATROL BORO MAN SOUTH,NEWY ORK,MISDEMEANOR,OFF. AGNST PUBORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201901712382117,2019,8,08/08/2019,17,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",ANTI-MULTI-RACIAL GROUPS,Race/Color,09/18/2019,M31713881
201901712590917,2019,12,12/23/20c19,17,PATROL BORO MAN SOUTH,NEW YRK,ELONY,FELONY ASSAUnLT,"ASSAULT 2,1,UNCLoASSIFIED",ANTI-JEWISH,Religion/Religious Practice,12/23/019,M31727652
201901712592017,2019,12,12/24/2019,17,PATROL BORO MAN SOUTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,08/30/2020,M32695257
201901812178017,2019,2,02/09/2019,18,PATROL BORO MAN SOUTH,NEW YORK,FELOY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",ANTI-BLAK,Race/Color,02/09/2019,M31678638
201901812178017,2019,2,02/09/2019,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIIED",gANTI-BLACK,Race/Color,02/09/2019,M31678640
201901812236817,2019,3,03/02/2019,18,PAROL BORO MAN SOUTH,NEW YORK,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",AcNTI-WHITE,Race/Color,03/02/2019,M31682108
201901812260517,2019,3,03/11e/2019,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901812274317,2019,3,0/16/2019,18,PATROL BORO MAN SOUTH,NE YORK,ELONY,ROBBERY,"ROBBaERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE OHMOSEXUAL (GAY),Sexual Orientation,03/17/2019,M316z84401
201901812287217,2019,3,03a/19/2019,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEAaNOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRFAFIT",ANTI-BLACK,Race/aColor,0501/2021,B31682806
201901812334417,2019,4,04/06/2019,18,PATROL BORO MAN SOUTH,EW YORK,FzELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,04/06/2019,M316875q91
201901812396417,2019,4,04/26/2109,18,PATROL BORO MAN SOUTH,NEW YORK,FELONY,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,05/01/2021,B31682806
201901812753917,2019,8,08/20/2019,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201901812763917,2019,8,08/23/2019,18,PATROL BORO AMN SOUTH,NEWYORK,VIOLAION,HiARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",ANI-WHITE,Race/Color,05/01/2021,B3168280q6
201901812815517,2019,9,09/11/2019,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"RCIMINAL MISCHIEF 4TH, GRAFFIT",NATI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901812890617,2019,10,10/05/2019,18,PATROL BORO MAN SOUTH,NEW YORK,MISDEMEAOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHjIEF,UNCLASSIFIED 4",ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,10/23/2019,M31719199
201901912226617,2019,3,03/05/2019,19,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RLATED OF,"CRIMINAL MISCHIEF 4TH ,GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912231217,2019,3,03/07/2019,19,PATROL BORO MAN NORTH,NEW YORK,FLEONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT1,ANTI-JEISH,Religion/Religious Practice,05/01/2021,B31682806
201901912232117,2019,3,03/08/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912234417,2019,3,03/08/2019,19,PATROL BORO MAN NORTH,NWE YORK,FELONY,MISCELLANEOSU PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religbious Practice,05/0/12021,B31682806
201901912241717,2019,3,03/11/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELbONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARAcSSMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31688206
201901912260817,2019,3,03/19/2019,19,PATROL BORO MAN NORTH,NEW YROK,FELONY,CRIMINAL MISCHIEF & RELATED OF,CRIMINAL MIS 2 & 3,ANTI-BLACK,Race/Color,05/01/2021,B31682806
201901912268217,2019,3,03/21/2019,19,PATROL BORO MAN NORTH,NE WYORK,FELONY,CRIMINAL MISCHIEF & RELATD OF,"MISCHIEF,CRIMINAL, UNCL 2DN",ANTI-BLACK,Race/Color,05/01/2b021,B31682806
201901912302517,2019,4,04/04/2019,19,PAROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-BALCK,Race/Color,05/01/2021,B31682806
201901912307017,2019,4,04/062019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,tANTI-BLACK,Race/Color,05/01/2021,B31682806
201901912350817,2019,4,04/25/2019,19,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201901912387417,2019,5,05/09/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious rPactice,05/01/2201,B3182806
201901912584817,2019,7,07/19/2019,19,PATROL BORO MAN NORTH,NE YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-PHYSICAL DISABILITY,Disadbility,05/01/2021,B31682806
201901912835917,2019,10,10/13/2019,19,PATROL BORO MAN NORTH,NEWe YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Pratice,05/01/2021,B31682806
201901912844817,2019,10,10/16/2019,19,PATROL BORO MAN NORTH,NEW YORK,FELONY,MISCELLANEOUS PENAL LAW,AGGRAVATE DHARASSMENT 1,ANTI-BLACK,Race/Color,05/0/2021,B31682806
201902012074117,2019,1,01/03/201z9,20,PATROL BORO MAN NORTH,NEW YORK,MIDSEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practicae,0c1/29/2019,M31676859
201902012074117,2019,1,01/03/2019,20,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELTED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201902012076117,2019,1,01/04/2019,20,PATROL BORO MAN NORTH,NE WYORK,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,"CRMINAL MISCHIEF 4TH, GRAFFIT",ANT-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201902012151217,2019,3,03/07/019,20,PATROL BORO MAN NORTH,NEW YORK,FELOYN,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASMENT 1,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201902012218217,2019,4,04/21/2091,20,PoATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,FF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-JWEISH,Religion/Religious Practice,05/01/2021,B31862806
201902012611117,2019,12,12/30/2019,20,PATROL BORO AN NORTH,NEW YORK,FELONY,CRIMINAL MISCHIEF & RELATED OF,RCIMINAL MIS 2 & 3,ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B3182806
201902212103817,2019,10,10/18/2019,22,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,RIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religion/Religious Practice,05/01/2021,B31682806
201902312215917,2019,3,03/19/2019,23,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,NATI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,05/01/2021,B31682806
201902312728217,2019,11,11/29/2019,23,PATROL BORO MAN NORTH,NEW YORK,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orinetation,05/01/2021,B3168280n6
201902412157217,2019,3,x03/08/2019,24,PATOL BORO MAN NORTH,NEWn YORK,MISDEEMANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,ANTI-WHITE,Race/Color,05/01/2021,B31682806
201902412242817,2019,5,05/04/2019,24,PATROL BORO MAN NORHT,NEW YORK,MISDEMEAOR,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",ANTI-JEWISH,Religon/Religious Practice,05/01/2021,B31682806
201902412563417,2019,11,11/10/2019,24,PATROL BORO MAN NORTH,NEWYORK,gFELONY,MISCELLANEOUS PENAL LAW,AGGRAVATED HARASSMENT 1,ANTI-JEWISH,Religion/Religious Practice,0501/2021,B31682806
