characteristic,sex,raceethnicity,yearvalue,earnings,standarderroronearnings,noteonearnings,countinthousands,standarderroroncountinthousands,noteoncount
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,15790.0,628.0,Reporting standards not met (too few cases for a reliable estimate).,1458.0,53.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,14840.0,1088.0,Reporting standards not met (too few cases for a reliable estimate).,1436.0,56.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,12000.0,662.0,Reporting standards not met (too few cases for a reliable estimate).,1375.0,58.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,13930.0,777.0,Reporting standards not met (too few cases for a reliable estimate).,1349.0,58.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,14000.0,717.0,Reporting standards not met (too few cases for a reliable estimate).,1311.0,55.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2000,22190.0,316.0,Reporting standards not met (too few cases for a reliable estimate).,2585.0,78.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,20750.0,315.0,Reporting standards not met (too few cases for a reliable estimate).,2647.0,64.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,20420.0,338.0,Reporting standards not met (too few cases for a reliable estimate).,2468.0,62.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,21190.0,290.0,Reporting standards not met (too few cases for a reliable estimate).,2513.0,63.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,20590.0,521.0,Reporting standards not met (too few cases for a reliable estimate).,2524.0,76.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,20450.0,851.0,Reporting standards not met (too few cases for a reliable estimate).,2371.0,68.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,20340.0,242.0,Reporting standards not met (too few cases for a reliable estimate).,2378.0,70.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,20160.0,855.0,Reporting standards not met (too few cases for a reliable estimate).,2404.0,80.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,17950.0,1065.0,Reporting standards not met (too few cases for a reliable estimate).,2382.0,74.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,19230.0,798.0,Reporting standards not met (too few cases for a reliable estimate).,2190.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,15640.0,252.0,Reporting standards not met (too few cases for a reliable estimate).,2166.0,84.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,17300.0,1005.0,Reporting standards not met (too few cases for a reliable estimate).,1899.0,76.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,17910.0,422.0,Reporting standards not met (too few cases for a reliable estimate).,1890.0,69.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,18670.0,874.0,Reporting standards not met (too few cases for a reliable estimate).,588.0,43.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,18690.0,1087.0,Reporting standards not met (too few cases for a reliable estimate).,566.0,43.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,17150.0,996.0,Reporting standards not met (too few cases for a reliable estimate).,525.0,41.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,14980.0,922.0,Reporting standards not met (too few cases for a reliable estimate).,552.0,42.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,16640.0,1423.0,Reporting standards not met (too few cases for a reliable estimate).,544.0,33.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,15900.0,967.0,Reporting standards not met (too few cases for a reliable estimate).,560.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,19040.0,1319.0,Reporting standards not met (too few cases for a reliable estimate).,568.0,38.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,16280.0,797.0,Reporting standards not met (too few cases for a reliable estimate).,579.0,36.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,16930.0,2086.0,Reporting standards not met (too few cases for a reliable estimate).,496.0,33.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,12850.0,853.0,Reporting standards not met (too few cases for a reliable estimate).,589.0,33.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,14890.0,1219.0,Reporting standards not met (too few cases for a reliable estimate).,458.0,31.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,12190.0,774.0,Reporting standards not met (too few cases for a reliable estimate).,471.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,12130.0,774.0,Reporting standards not met (too few cases for a reliable estimate).,545.0,35.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2000,20000.0,506.0,Reporting standards not met (too few cases for a reliable estimate).,782.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2001,19450.0,459.0,Reporting standards not met (too few cases for a reliable estimate).,757.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2002,19150.0,480.0,Reporting standards not met (too few cases for a reliable estimate).,795.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2003,18720.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,742.0,48.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2004,18190.0,77.0,Reporting standards not met (too few cases for a reliable estimate).,780.0,37.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2005,18470.0,547.0,Reporting standards not met (too few cases for a reliable estimate).,792.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2006,19320.0,958.0,Reporting standards not met (too few cases for a reliable estimate).,817.0,35.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2007,18570.0,717.0,Reporting standards not met (too few cases for a reliable estimate).,787.0,34.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2008,17140.0,1484.0,Reporting standards not met (too few cases for a reliable estimate).,773.0,37.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2009,16930.0,811.0,Reporting standards not met (too few cases for a reliable estimate).,736.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2010,16700.0,989.0,Reporting standards not met (too few cases for a reliable estimate).,799.0,35.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2011,16160.0,443.0,Reporting standards not met (too few cases for a reliable estimate).,835.0,42.0,Reporting standards not met (too few cases for a reliable estimate).
Total - Hispanic,Female,Hispanic,2012,15580.0,598.0,Reporting standards not met (too few cases for a reliable estimate).,869.0,38.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,21330.0,3487.0,Reporting standards not met (too few cases for a reliable estimate).,84.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,19450.0,2620.0,Reporting standards not met (too few cases for a reliable estimate).,87.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,22340.0,1464.0,Reporting standards not met (too few cases for a reliable estimate).,79.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,23060.0,1847.0,Reporting standards not met (too few cases for a reliable estimate).,81.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,18510.0,1954.0,Reporting standards not met (too few cases for a reliable estimate).,85.0,15.0,Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate). Data for 2000 and 2001 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,19450.0,520.0,Data not available.,233.0,30.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,19450.0,520.0,Data not available.,233.0,30.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,19450.0,520.0,Data not available.,233.0,30.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,19450.0,520.0,Data not available.,233.0,30.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,16130.0,3053.0,Reporting standards not met (too few cases for a reliable estimate).,78.0,10.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,14920.0,3691.0,Reporting standards not met (too few cases for a reliable estimate).,99.0,13.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,19450.0,520.0,Reporting standards not met (too few cases for a reliable estimate).,233.0,30.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,25330.0,547.0,Reporting standards not met (too few cases for a reliable estimate).,1515.0,60.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,23340.0,778.0,Reporting standards not met (too few cases for a reliable estimate).,1547.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,22980.0,893.0,Reporting standards not met (too few cases for a reliable estimate).,1479.0,48.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,22710.0,582.0,Reporting standards not met (too few cases for a reliable estimate).,1535.0,49.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,24190.0,1230.0,Reporting standards not met (too few cases for a reliable estimate).,1554.0,58.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,23340.0,403.0,Reporting standards not met (too few cases for a reliable estimate).,1437.0,50.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,22580.0,773.0,Reporting standards not met (too few cases for a reliable estimate).,1453.0,46.0,Reporting standards not met (too few cases for a reliable estimate).
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,22000.0,161.0,Reporting standards not met (too few cases for a reliable estimate).,1497.0,59.0,Reporting standards not met (too few cases for a reliable estimate).
