objectid,cyclevalue,assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize,units,ctlakeid,nhdbasin,classid,useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length,shape_area
11.0,2020,CT7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",15.79,Acres,2798.0,1100006,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4462.58250687571,687951.067686039
12.0,2020,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.","LAKE, FRESHWATER",4.97,Acres,2759.0,1100006,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,3312.56720850954,216249.040854317
13.0,2020,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.","LAKE, FRESHWATER",70.53,Acres,1148.0,1100004,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,11639.4607225251,3072259.65923727
14.0,2020,CT5207-00-1-L1_01,North Farms Reservoir (Wallingford),"0.5 miles west of Rt. 91, north side of Rt. 68, Wallingford. Headwaters of Wharton Brook.","LAKE, FRESHWATER",66.07,Acres,2030.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9620.46209089377,2878025.34371249
15.0,2020,CT5207-02-1-L1_01,Allen Brook Pond (North Haven/Wallingford),"Impoundment of Allen Brook, just US mouth at confluence Wharton Brook. Includes CT DEEP State swimming area and Trout Park within Wharton Brook State Park. Between Route 5 and I91 (exit 13), Wallingford/North Haven town lines.","LAKE, FRESHWATER",4.79,Acres,24.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2759.56665170985,208496.927382221
16.0,2020,CT5110-04-1-L1_01,Quonnipaug Lake (Guilford),"Guilford just east of Rt 77, 2 miles north of Rt 80.","LAKE, FRESHWATER",96.1,Acres,2346.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18247.4262677462,4186133.74967877
17.0,2020,CT5105-00-2-L1_01,Schreeder Pond (Killingworth),"CT DEEP Chatfield Hollow State Park. Impoundment of Chatfield Hollow Brook, US of Rte 80 crossing, Killingworth.","LAKE, FRESHWATER",3.94,Acres,2544.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2715.78116163805,171589.36393193
18.0,2020,CT5302-00-4-L3_01,"Whitney, Lake (Hamden)","Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).","LAKE, FRESHWATER",140.42,Acres,1549.0,1100004,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,No,34020.8630558587,6116914.66188278
19.0,2020,CT5105-00-2-L2_01,Foster Pond (Killingworth),"South of Rt. 80, across from Chatfield Hollow State Park, Killingworth.","LAKE, FRESHWATER",27.92,Acres,943.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10472.180134575,1216204.57694368
20.0,2020,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","LAKE, FRESHWATER",21.58,Acres,456.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4467.48722362686,940092.739834537
21.0,2020,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.","LAKE, FRESHWATER",22.92,Acres,1635.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,4155.48366402287,998367.840002071
22.0,2020,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.","LAKE, FRESHWATER",2.72,Acres,823.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,1654.87117047857,118638.844686911
23.0,2020,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWATER",189.28,Acres,3467.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,24334.3122221123,8245167.04334499
24.0,2020,CT3400-00-1-L1_01,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border. Headwaters of Fivemile River.","LAKE, FRESHWATER",65.82,Acres,1648.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7524.77206212308,2866999.86337798
25.0,2020,CT3300-00-3+L3_01,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.","LAKE, FRESHWATER",58.66,Acres,2033.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18760.6963392008,2555402.07561616
26.0,2020,CT3700-28-1-L1_01,Wauregan (Quinebaug) Pond (Killingly),Southwestern corner of Killingly.,"LAKE, FRESHWATER",71.06,Acres,2343.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,9990.13750921345,3095502.20998354
27.0,2020,CT4315-10-1-L1_01,Pine Lake (Malones Pond) (Bristol),"East Bristol, south of Pine Street","LAKE, FRESHWATER",8.13,Acres,1752.0,1080207,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5593.24259792881,354019.18031934
28.0,2020,CT4300-00-1+L1_01,Colebrook River (Reservoir) Lake (Colebrook),"Northeast corner of Colbrook, extends slightly into MA and Hartland.","LAKE, FRESHWATER",852.34,Acres,568.0,1080207,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,63814.4863274421,37128146.1703807
29.0,2020,CT5206-01-1-L2_01,Black Pond (Meriden/Middlefield),"On Meriden/Middlefield town border, south side of Meriden Road (Route 66).","LAKE, FRESHWATER",69.89,Acres,239.0,1100004,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18777.7119415127,3044564.32714191
30.0,2020,CT3109-01-1-L1_01,Mono Pond (Columbia),"Southern Columbia, south of Rte 66.","LAKE, FRESHWATER",101.98,Acres,1899.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19222.0255066831,4442177.62010009
31.0,2020,CT3700-00-5+L4_01,Aspinook Pond (Canterbury/Griswold/Lisbon),"Impoundment of Quinebaug River, parts in Canterbury, Griswold, & Lisbon (DS of Segment 02 in Quinebaug River)","LAKE, FRESHWATER",308.86,Acres,69.0,1100001,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,64711.4490705672,13453792.1267319
32.0,2020,CT1100-00-1-L1_01,Porter Pond (Sterling),"Headwaters Wood River near Rhode Island border, Sterling.","LAKE, FRESHWATER",10.4,Acres,2293.0,1090005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4361.25502832462,453216.35243088
33.0,2020,CT2205-00-1-L2_01,Pattagansett Lake (East Lyme),"Pattagansett River system, north side Route 1, East Lyme.","LAKE, FRESHWATER",125.7,Acres,2184.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19706.497826737,5475656.07208822
34.0,2020,CT2205-00-1-L3_01,Gorton Pond (East Lyme),"Impoundment of Pattagansett River, south of I95, East Lyme.","LAKE, FRESHWATER",52.41,Acres,1045.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14586.1936901236,2282996.33871605
35.0,2020,CT2205-02-1-L1_01,Dodge Pond (East Lyme),"Near Niantic village center, west side of Route 161, north of Route 156, East Lyme.","LAKE, FRESHWATER",29.59,Acres,743.0,1100003,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,5134.89383570469,1288826.92081265
36.0,2020,CT4303-02-1-L1_01,Burr Pond (Torrington),"CT DEEP Burr Pond State Park. South of Burr Mountain Rd, Northeast corner of Torrington.","LAKE, FRESHWATER",83.39,Acres,382.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,16500.1561230003,3632584.06798023
37.0,2020,CT4013-00-1-L1_01,Millers Pond (Durham),Durham,"LAKE, FRESHWATER",29.87,Acres,1869.0,1080205,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6859.09879914287,1301271.86320903
38.0,2020,CT3805-00-3-L5_01,Hanover Reservoir (Sprague/Canterbury),Sprague,"LAKE, FRESHWATER",22.85,Acres,1149.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7636.77733865028,995425.298468499
39.0,2020,CT3206-00-1-L2_01,"Chaffee, Lake (Ashford)",Ashford,"LAKE, FRESHWATER",52.15,Acres,1491.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,10048.8438955426,2271699.66935679
40.0,2020,CT3206-12-1-L1_01,Knowlton Pond (Ashford),Ashford,"LAKE, FRESHWATER",110.95,Acres,1465.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,18983.6951677781,4832929.02795286
41.0,2020,CT3800-05-1-L4_01,Big Pond (Lebanon/Windham),Lebanon,"LAKE, FRESHWATER",38.55,Acres,211.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6785.53012223499,1678994.03920449
42.0,2020,CT3202-00-1-L1_01,Keach Pond (Woodstock),Woodstock,"LAKE, FRESHWATER",29.69,Acres,1405.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,7086.94403544225,1293320.20234777
43.0,2020,CT6302-00-1-L1_01,Hatch Pond (Sharon),Sharon,"LAKE, FRESHWATER",19.82,Acres,1171.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,6511.78715882649,863370.963316917
44.0,2020,CT6802-12-1-L1_01,Cat Swamp Pond (Woodbury),Woodbury,"LAKE, FRESHWATER",28.57,Acres,449.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5760.59840474735,1244650.9707812
45.0,2020,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)","LAKE, FRESHWATER",2.63,Acres,519.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,1335.89294511291,114672.529054892
46.0,2020,CT4321-00-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.","LAKE, FRESHWATER",9.4,Acres,112.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4301.44782322676,409580.229077604
47.0,2020,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,"LAKE, FRESHWATER",49.9,Acres,2994.0,1080205,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,8614.07142319367,2173456.36391191
48.0,2020,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.","LAKE, FRESHWATER",580.57,Acres,1554.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,72327.8061340326,25289589.4604226
49.0,2020,CT3705-00-1-L1_01,Griggs Pond (Woodstock),Northwest corner of Woodstock.,"LAKE, FRESHWATER",37.56,Acres,1092.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,7640.62529214094,1635983.49149069
50.0,2020,CT3203-00-1-L2_01,Bigelow Pond (Union),DS of Mashapaug Lake in northern Union.,"LAKE, FRESHWATER",25.8,Acres,214.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,8980.97603020878,1123731.54260915
51.0,2020,CT3201-01-1-L1_01,Black Pond (Woodstock),"Eastern Woodstock, south of Rte 197.","LAKE, FRESHWATER",71.88,Acres,236.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,8213.55301830889,3130968.1663953
52.0,2020,CT3708-00-1-L1_01,Roseland Lake (Woodstock),Southeast section of Woodstock.,"LAKE, FRESHWATER",96.38,Acres,2465.0,1100001,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,10217.3549883874,4198419.69951084
53.0,2020,CT3101-03-1-L1_01,Crystal Lake (Ellington/Stafford),"Northeast section of Ellington, small part in southwestern section of Stafford.","LAKE, FRESHWATER",187.38,Acres,655.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15824.0721676844,8162240.69080054
54.0,2020,CT3700-23-1-L1_01,Alexander Lake (Killingly),Dayville section of Killingly.,"LAKE, FRESHWATER",189.55,Acres,21.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,20428.8341881384,8256818.30413313
55.0,2020,CT3200-01-1-L1_01,Halls Pond (Eastford/Ashford),SW corner of Eastford.,"LAKE, FRESHWATER",83.16,Acres,1132.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,15866.3436360267,3622364.23149572
56.0,2020,CT3108-02-1-L2_01,"Bolton Lake, Middle (Vernon)",Southeast section of Vernon.,"LAKE, FRESHWATER",117.2,Acres,266.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14402.0904400297,5105195.54061232
57.0,2020,CT3108-02-1-L3_01,"Bolton Lake, Lower (Bolton/Vernon)","Mostly in NE corner of Bolton, continues into SE corner of Vernon.","LAKE, FRESHWATER",176.46,Acres,265.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,14188.1128171674,7686569.5593503
58.0,2020,CT3100-00-3-L1_01,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.","LAKE, FRESHWATER",79.49,Acres,792.0,1100002,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17987.1309552964,3462805.21049851
59.0,2020,CT3105-00-1-L1_01,Coventry (Wangumbaug) Lake,"East - Central Coventry. Lake name on TOPO map is Wangumbaug Lake, DEEP state boat launch on this lake referred to as Coventry Lake. WT","LAKE, FRESHWATER",374.45,Acres,3387.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28780.0565177026,16310861.2067953
60.0,2020,CT3502-07-1-L1_01,Moosup Pond (Plainfield),Northeast section of Plainfield.,"LAKE, FRESHWATER",89.27,Acres,1906.0,1100001,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,8348.27434824061,3888701.76511075
