characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,12.9,2.33,,199636,37222.2,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,9.3,2.05,,144012,32829,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,16.3,2.9,,249064,46032.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,13.5,2.41,,205198,37632.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,10.6,2.26,,160966,35391.1,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,14.7,2.7,,225471,42726.8,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,10.6,2.06,,159126,32039.3,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,9.6,2.41,,142271,36546.9,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,10.2,2.56,,147338,38033.8,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,6.7,1.8,,93478,25836.4,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,6.9,1.73,,94860,24270.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,4.1,1.32,,56234,18192.2,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2000,21.7,5.49,,80921,21457.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2001,20.4,5.19,,77452,20453.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2002,15.7,4.48,,63399,18864.9,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2003,18.1,5.05,,68502,19843.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2004,17.6,4.82,,66602,18784.7,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2005,25.0,6.38,,95031,25320.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2006,18.9,5.23,,73403,21059.3,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2008,19.2,6.32,,70220,23868.5,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2009,18.3,6.02,,66453,22748.4,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2010,14.0,4.52,,51283,17271.7,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2011,17.9,5.0,,65478,19081.6,
"Total - Black, non-Hispanic",,"Black, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
Total - Hispanic,,Hispanic,2000,15.6,4.6,,54183,16550.3,
Total - Hispanic,,Hispanic,2001,24.7,5.94,,88614,22237.2,
Total - Hispanic,,Hispanic,2002,16.6,4.7,,64688,19119.6,
Total - Hispanic,,Hispanic,2003,16.5,4.48,,73489,20750.1,
Total - Hispanic,,Hispanic,2004,,,Reporting standards not met.,,,Reporting standards not met.
Total - Hispanic,,Hispanic,2005,17.9,4.85,,83425,23337,
Total - Hispanic,,Hispanic,2006,12.3,3.87,,54403,17540.6,
Total - Hispanic,,Hispanic,2007,12.6,3.12,,61742,16022.7,
Total - Hispanic,,Hispanic,2008,19.3,5.63,,94474,28499,
Total - Hispanic,,Hispanic,2009,,,Reporting standards not met.,,,Reporting standards not met.
Total - Hispanic,,Hispanic,2010,,,Reporting standards not met.,,,Reporting standards not met.
Total - Hispanic,,Hispanic,2011,9.0,2.9,,46428,15318.6,
Total - Hispanic,,Hispanic,2012,9.0,3.0,,50478,17084.2,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2000,,,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2001,,,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,,,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2001,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,17.6,3.71,,140206,30837.4,
"White, non-Hispanic",Male,"White, non-Hispanic",2001,14.7,3.22,,117377,26522.8,
"White, non-Hispanic",Male,"White, non-Hispanic",2002,10.1,2.69,,80468,22125.5,
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,,179785,37075,
"White, non-Hispanic",Male,"White, non-Hispanic",2004,18.3,3.71,,142399,29916,
"White, non-Hispanic",Male,"White, non-Hispanic",2005,14.8,3.56,,114844,28532.8,
"White, non-Hispanic",Male,"White, non-Hispanic",2006,14.5,3.42,,113085,27540.4,
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,,121763,26332.9,
"White, non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,,97302,29009.7,
"White, non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,,96604,28899.9,
"White, non-Hispanic",Male,"White, non-Hispanic",2010,9.5,2.84,,67696,20785.2,
"White, non-Hispanic",Male,"White, non-Hispanic",2011,8.2,2.45,,57580,17570.2,
"White, non-Hispanic",Male,"White, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,30.3,8.6,,57099,17117.2,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,30.5,8.56,,58625,17233.3,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.9,8.06,,49612,16193.6,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,37.4,10.54,,70504,21018.1,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2000,26.7,8.18,,46623,15033.4,
Hispanic,Male,Hispanic,2001,38.2,9.95,,69536,19136,
Hispanic,Male,Hispanic,2002,21.1,6.84,,42585,14503.4,
Hispanic,Male,Hispanic,2003,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2004,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2005,20.4,6.67,,50570,17134.8,
Hispanic,Male,Hispanic,2006,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2007,24.0,5.81,,61742,16022.7,
Hispanic,Male,Hispanic,2008,27.6,8.98,,71085,24042.6,
Hispanic,Male,Hispanic,2009,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2010,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2011,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Male,Hispanic,2012,13.5,5.08,,37239,14335.9,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,,72237,19928.2,
"White, non-Hispanic",Female,"White, non-Hispanic",2001,10.9,2.75,,82259,21231.5,
"White, non-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,,63545,18893.9,
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,,69279,19986.1,
"White, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,,62799,18132.8,
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,,46121,16201,
"White, non-Hispanic",Female,"White, non-Hispanic",2006,14.9,3.54,,112386,27433.6,
"White, non-Hispanic",Female,"White, non-Hispanic",2007,5.1,1.47,,37363,11111.9,
"White, non-Hispanic",Female,"White, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2009,7.2,2.65,,50734,19188.7,
"White, non-Hispanic",Female,"White, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2000,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2001,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2002,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2003,19.9,6.59,,42925,14796.4,
Hispanic,Female,Hispanic,2004,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2005,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2006,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2007,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2008,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2009,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2010,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2011,,,Reporting standards not met.,,,Reporting standards not met.
Hispanic,Female,Hispanic,2012,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,,,Data not available.,,,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,,,Data not available.,,,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,,,Reporting standards not met.,,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,Reporting standards not met.,,,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,,,Data not available.,,,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,,,Data not available.,,,Data not available.
