characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
Total - Female,Female,NULL,2005,9.0,2.2,NULL,111144,27947.5,NULL
Total - Female,Female,NULL,2006,16.2,3.09,NULL,201131,39696,NULL
Total - Female,Female,NULL,2007,4.5,1.18,NULL,56435,15005.4,NULL
Total - Female,Female,NULL,2008,8.1,2.36,NULL,99746,29446.9,NULL
Total - Female,Female,NULL,2009,7.1,2.17,NULL,86376,26892.1,NULL
Total - Female,Female,NULL,2010,5.3,1.62,NULL,63114,19832.5,NULL
Total - Female,Female,NULL,2011,7.3,1.89,NULL,86505,22853.2,NULL
Total - Female,Female,NULL,2012,3.9,1.34,NULL,48302,16653.1,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2000,13.7,2.54,NULL,212443,40755.9,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2001,12.9,2.33,NULL,199636,37222.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,9.3,2.05,NULL,144012,32829,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,16.3,2.9,NULL,249064,46032.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,13.5,2.41,NULL,205198,37632.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,10.6,2.26,NULL,160966,35391.1,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,14.7,2.7,NULL,225471,42726.8,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,10.6,2.06,NULL,159126,32039.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,9.6,2.41,NULL,142271,36546.9,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,10.2,2.56,NULL,147338,38033.8,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,6.7,1.8,NULL,93478,25836.4,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,6.9,1.73,NULL,94860,24270.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,4.1,1.32,NULL,56234,18192.2,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2000,21.7,5.49,NULL,80921,21457.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2001,20.4,5.19,NULL,77452,20453.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2002,15.7,4.48,NULL,63399,18864.9,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2003,18.1,5.05,NULL,68502,19843.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2004,17.6,4.82,NULL,66602,18784.7,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2005,25.0,6.38,NULL,95031,25320.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2006,18.9,5.23,NULL,73403,21059.3,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2008,19.2,6.32,NULL,70220,23868.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2009,18.3,6.02,NULL,66453,22748.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2010,14.0,4.52,NULL,51283,17271.7,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2011,17.9,5.0,NULL,65478,19081.6,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Total - Hispanic,NULL,Hispanic,2000,15.6,4.6,NULL,54183,16550.3,NULL
Total - Hispanic,NULL,Hispanic,2001,24.7,5.94,NULL,88614,22237.2,NULL
Total - Hispanic,NULL,Hispanic,2002,16.6,4.7,NULL,64688,19119.6,NULL
Total - Hispanic,NULL,Hispanic,2003,16.5,4.48,NULL,73489,20750.1,NULL
Total - Hispanic,NULL,Hispanic,2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Total - Hispanic,NULL,Hispanic,2005,17.9,4.85,NULL,83425,23337,NULL
Total - Hispanic,NULL,Hispanic,2006,12.3,3.87,NULL,54403,17540.6,NULL
Total - Hispanic,NULL,Hispanic,2007,12.6,3.12,NULL,61742,16022.7,NULL
Total - Hispanic,NULL,Hispanic,2008,19.3,5.63,NULL,94474,28499,NULL
Total - Hispanic,NULL,Hispanic,2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Total - Hispanic,NULL,Hispanic,2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Total - Hispanic,NULL,Hispanic,2011,9.0,2.9,NULL,46428,15318.6,NULL
Total - Hispanic,NULL,Hispanic,2012,9.0,3.0,NULL,50478,17084.2,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,NULL,NULL,Data not available.,—,***,Data not available.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2001,NULL,NULL,Data not available.,—,—,Data not available.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,NULL,NULL,Data not available.,—,g—,Data not available.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2001,NULL,NULL,Datas not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,17.6,3.71,NULL,140206,30837.4,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2001,14.7,3.22,NULL,117377,26522.8,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2002,10.1,2.69,NULL,80468,22125.5,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2003,23.0,4.52,NULL,179785,37075,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2004,18.3,3.71,NULL,142399,29916,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2005,14.8,3.56,NULL,114844,28532.8,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2006,14.5,3.42,NULL,113085,27540.4,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2007,16.0,3.29,NULL,121763,26332.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2008,12.9,3.77,NULL,97302,29009.7,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2009,13.2,3.81,NULL,96604,28899.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2010,9.5,2.84,NULL,67696,20785.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2011,8.2,2.45,NULL,57580,17570.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,30.3,8.6,NULL,57099,17117.2,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,30.5,8.56,NULL,58625,17233.3,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.9,8.06,NULL,49612,16193.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,37.4,10.54,NULL,70504,21018.1,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2000,26.7,8.18,NULL,46623,15033.4,NULL
Hispanic,Male,Hispanic,2001,38.2,9.95,NULL,69536,19136,NULL
Hispanic,Male,Hispanic,2002,21.1,6.84,NULL,42585,14503.4,NULL
Hispanic,Male,Hispanic,2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2005,20.4,6.67,NULL,50570,17134.8,NULL
Hispanic,Male,Hispanic,2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2007,24.0,5.81,NULL,61742,16202.7,NULL
Hispanic,Male,Hispanic,2008,27.6,8.98,NULL,71085,24042.6,NULL
Hispanic,Male,Hispanic,2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
Hispanic,Male,Hispanic,2012,13.5,5.08,NULL,37239,14335.9,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not avaliable.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Natvie, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alayska Native, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,NULL,72237,19928.2,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2001,10.9,2.75,NULL,82259,21231.5,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2002,8.4,2.42,NULL,63545,18893.9,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,NULL,69279,19986.1,NULL
