characteristic,sex,raceethnicity,year,percentage,standard_erroron_percentage,noteon_percentage,countinthousands,standard_erroron_countinthousands,noteon_count
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,9.7%,1.6,NULL,110.0,18.9,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,9.3%,1.6,NULL,102.0,18.2,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,10.9%,1.3,NULL,119.0,14.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,11.8%,1.4,NULL,133.0,16.2,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,10.9%,1.5,NULL,132.0,17.9,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,9%,1.2,NULL,103.0,14.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,8.9%,1.5,NULL,97.0,16.0,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,13.8%,1.4,NULL,162.0,16.7,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,10.4%,1.3,NULL,130.0,16.4,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,11.7%,1.3,NULL,180.0,19.7,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2013,10.6%,1.1,NULL,167.0,17.5,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,28.3%,8.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,15.5%,6.7,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,23.8%,6.8,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,19.3%,5.1,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,8.6%,3.4,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,13.6%,4.2,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,14%,4.5,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,22.2%,5.2,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,13.2%,3.9,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,18.8%,5.0,NULL,22.0,5.9,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2013,18.4%,4.7,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2000,22.1%,4.7,NULL,51.0,12.2,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2001,23.9%,4.5,NULL,71.0,15.2,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2002,30.6%,5.1,NULL,82.0,16.3,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2003,34.9%,6.2,NULL,67.0,14.8,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2004,35.1%,6.7,NULL,58.0,13.8,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,31.6%,6.0,NULL,54.0,13.6,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,34.3%,5.3,NULL,56.0,15.9,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,29.5%,5.3,NULL,59.0,15.7,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,34.4%,4.3,NULL,70.0,12.8,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2009,29.5%,4.0,NULL,67.0,12.0,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2010,35.9%,3.1,NULL,88.0,14.3,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2011,31.3%,6.2,NULL,67.0,17.7,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2012,36.5%,4.7,NULL,82.0,13.3,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2013,44.4%,4.9,NULL,122.0,24.8,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2003,16.6%,3.2,NULL,76.0,15.7,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2004,20.8%,3.5,NULL,94.0,17.4,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2005,16.8%,2.2,NULL,86.0,11.5,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2006,16.7%,2.0,NULL,79.0,10.1,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2007,13.5%,1.7,NULL,65.0,8.4,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2008,17.2%,2.5,NULL,90.0,14.3,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,23.6%,2.6,NULL,116.0,14.4,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,18.8%,2.5,NULL,92.0,14.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,19.2%,2.2,NULL,105.0,13.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2012,16.9%,2.2,NULL,127.0,17.4,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2013,16.1%,2.2,NULL,113.0,16.7,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2000,7.6%,0.5,NULL,658.0,39.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2001,9.8%,0.6,NULL,822.0,48.0,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2002,11.4%,0.6,NULL,975.0,51.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2003,10.9%,0.6,NULL,932.0,50.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2004,10.1%,0.6,NULL,888.0,49.8,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2005,10.9%,0.6,NULL,945.0,52.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2006,10%,0.4,NULL,872.0,38.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2007,10.3%,0.6,NULL,908.0,53.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2008,10.6%,0.5,NULL,942.0,41.8,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2009,16.4%,0.7,NULL,1474.0,59.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2010,15.2%,0.6,NULL,1364.0,58.5,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2011,15%,0.7,NULL,1329.0,64.4,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2012,12.1%,0.6,NULL,1032.0,47.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2013,13.7%,0.7,NULL,1160.0,57.0,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,22.7%,1.7,NULL,408.0,31.4,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,25%,1.9,NULL,431.0,33.7,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,24.8%,1.9,NULL,441.0,34.0,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,25.5%,1.9,NULL,443.0,34.0,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,26.7%,1.9,NULL,463.0,34.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,27.2%,1.8,NULL,490.0,32.5,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,24.9%,1.6,NULL,464.0,29.2,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,22%,1.4,NULL,419.0,26.0,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,21.8%,1.5,NULL,409.0,27.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,26.8%,1.7,NULL,515.0,32.3,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,31.2%,1.6,NULL,615.0,32.2,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,26.6%,1.4,NULL,542.0,29.7,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,26.1%,1.4,NULL,536.0,29.3,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2013,29.5%,1.6,NULL,624.0,35.5,NULL
Hispanic,Male,Hispanic,2000,13.5%,1.5,NULL,281.0,32.8,NULL
Hispanic,Male,Hispanic,2001,12.2%,1.2,NULL,311.0,29.1,NULL
Hispanic,Male,Hispanic,2002,15%,1.3,NULL,389.0,31.7,NULL
Hispanic,Male,Hispanic,2003,15.2%,1.3,NULL,399.0,32.0,NULL
Hispanic,Male,Hispanic,2004,14%,1.2,NULL,380.0,31.5,NULL
Hispanic,Male,Hispanic,2005,14%,1.0,NULL,368.0,27.7,NULL
Hispanic,Male,Hispanic,2006,11.8%,0.9,NULL,305.0,23.2,NULL
Hispanic,Male,Hispanic,2007,12.3%,0.9,NULL,332.0,24.0,NULL
Hispanic,Male,Hispanic,2008,14.1%,0.9,NULL,371.0,24.4,NULL
Hispanic,Male,Hispanic,2009,18.7%,1.0,NULL,492.0,26.6,NULL
Hispanic,Male,Hispanic,2010,20.3%,0.9,NULL,582.0,27.6,NULL
Hispanic,Male,Hispanic,2011,19.1%,1.0,NULL,596.0,30.9,NULL
Hispanic,Male,Hispanic,2012,19.8%,1.0,NULL,647.0,34.8,NULL
Hispanic,Male,Hispanic,2013,16.2%,1.0,NULL,525.0,31.7,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,9.4%,2.0,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,7.4%,1.9,NULL,47.0,12.4,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,7.5%,1.8,NULL,50.0,12.8,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,9.1%,2.2,NULL,50.0,12.8,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,5.8%,1.8,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,7.8%,1.4,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,9.3%,1.8,NULL,53.0,10.8,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,8.3%,1.9,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,5.6%,1.3,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,5.2%,1.5,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,11.4%,1.6,NULL,70.0,10.0,NULL
"Asian, non-Hispanic",Male,"Asian ,non-Hispanic",2011,9.5%,1.8,NULL,61.0,12.0,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,8.9%,1.7,NULL,68.0,13.4,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,10.2%,1.6,NULL,82.0,12.7,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,24.7%,11.6,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,15.2%,7.0,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,13.8%,5.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9%,4.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,19.5%,7.4,NULL,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,15%,6.7,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,27.9%,8.9,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,20.2%,7.8,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,24.7%,7.7,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,11.2%,5.1,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,NULL,NULL,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,21.3%,6.1,NULL,32.0,10.3,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,27.7%,7.3,NULL,35.0,10.7,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,37.2%,9.2,NULL,34.0,10.6,NULL
