2346.countytwo,Cualebra Municipio,Culebra Municipio
932.statecounty,KS_Hamiltno,KS_Hamilton
1058.statevalue,YK,KY
1242.countytwo,yAntrim ,Antrim 
2140.county,Woo ,Wood 
1708.countytwo,aHywood ,Haywood 
2706.countytwo,Hal ,Hale 
962.statevalue,SK,KS
1041.statecounty,KY_raves,KY_Graves
2908.county,Bladn ,Bland 
180.countytwo,ila ,Gila 
2310.countytwo,Somesret ,Somerset 
2553.statecounty,TN_oHawkins,TN_Hawkins
1635.statecounty,MT_Licoln,MT_Lincoln
180.statevalue,uAZ,AZ
2214.statecounty,OK_Wagner,OK_Wagoner
1717.countytwo,Le e,Lee 
2816.fipstwo,f4409,f48409
1361.statecounty,M_NLincoln,MN_Lincoln
1105.fipstwo,f2211,f21211
48.fipstwo,f10037,f01037
2758.statecounty,TX_imestone,TX_Limestone
2735.countytwo,Ji Hogg ,Jim Hogg 
1593.statevalue,SM,MS
574.countytwo,Cerrov Gordo ,Cerro Gordo 
3229.county,Sheridn ,Sheridan 
89.statecounty,jAL_Sumter,AL_Sumter
891.statecounty,IN_Wane,IN_Wayne
2610.statevalue,N,TN
1327.county,Blue Ebarth ,Blue Earth 
2566.statevalue,NT,TN
2679.statecounty,TX_cEtor,TX_Ector
2694.statevalue,TpX,TX
1297.statevalue,I,MI
3018.fipstwo,f5183,f51183
1288.statecounty,MI_Mlanistee,MI_Manistee
57.county,towah ,Etowah 
1962.statecounty,NM_Qiuay,NM_Quay
1626.countytwo,Glacir ,Glacier 
2456.countytwo,hBrown ,Brown 
446.county,Evaqns ,Evans 
891.countytwo,Wayn e,Wayne 
1252.county,Cpharlevoix ,Charlevoix 
2325.countytwo,Aguas Buenas Municiopio,Aguas Buenas Municipio
3009.statecounty,VA_Scoott,VA_Scott
2825.fipstwo,4f8427,f48427
2074.countytwo,Dleaware ,Delaware 
513.statevalue,A,GA
2998.countytwo,Pulask i,Pulaski 
3197.county,wPutnam ,Putnam 
2448.countytwo,Unio n,Union 
3193.statecounty,WVp_Pendleton,WV_Pendleton
2767.statevalue,XT,TX
1748.statecounty,NC_Staly,NC_Stanly
2929.countytwo,Danvill ecity,Danville city
1507.county,St. Froancois ,St. Francois 
1447.statevalue,O,MO
889.countytwo,Warirck ,Warrick 
454.county,Glascoc k,Glascock 
344.statevalue,L,FL
2446.county,fSpartanburg ,Spartanburg 
435.statecounty,G_ADecatur,GA_Decatur
2737.countytwo,Johnsn ,Johnson 
582.statevalue,cIA,IA
3133.countytwo,Piecre ,Pierce 
2336.county,Canovanas Municipoi,Canovanas Municipio
1141.statecounty,LA_rGant,LA_Grant
488.statevalue,jGA,GA
3103.statecounty,W_Eau Claire,WI_Eau Claire
3156.statevalue,I,WI
225.countytwo,Sacrametno ,Sacramento 
3150.countytwo,Walwort h,Walworth 
1776.county,ivide ,Divide 
1160.statevalue,AL,LA
878.county,Stbeuben ,Steuben 
2567.countytwo,Leis ,Lewis 
2014.countytwo,Jeffersovn ,Jefferson 
2287.statevalue,PmA,PA
2130.statecounty,OH_Stummit,OH_Summit
2404.fipstwo,4f4009,f44009
1661.countytwo,Valxley ,Valley 
2825.countytwo,Star ,Starr 
2266.statecounty,PA_Ciameron,PA_Cameron
2079.statevalue,rOH,OH
1137.statevalue,AL,LA
2302.fipstwo,f4295,f42095
2911.statecounty,VfA_Brunswick,VA_Brunswick
1751.fipstwo,f37s173,f37173
1255.statevalue,I,MI
3169.county,Gant ,Grant 
2119.countytwo,ike ,Pike 
2536.county,Decatuyr ,Decatur 
2339.fipstwo,f70235,f72035
75.statecounty,AxL_Marengo,AL_Marengo
2251.countytwo,Wasoc ,Wasco 
1875.county,oup ,Loup 
852.countytwo,Marsahll ,Marshall 
1029.countytwo,Daiviess ,Daviess 
2300.statevalue,A,PA
1047.statevalue,Y,KY
2493.fipstwo,f40691,f46091
1756.county,Wae ,Wake 
2688.fipstwo,f4813,f48153
2029.county,Osweg ,Oswego 
2576.fipstwo,f4z7109,f47109
1210.statecounty,MD_Hraford,MD_Harford
937.countytwo,Jcakson ,Jackson 
1970.statecounty,M_Socorro,NM_Socorro
593.county,Fremoent ,Fremont 
1287.county,Macob ,Macomb 
729.county,Fultonr ,Fulton 
769.county,organ ,Morgan 
1707.county,Harentt ,Harnett 
3186.statecounty,WV_Mpineral,WV_Mineral
1959.statecounty,M_McKinley,NM_McKinley
2091.statecounty,O_Holmes,OH_Holmes
2009.county,Fultn ,Fulton 
102.countytwo,Bradmley ,Bradley 
2427.countytwo,Greenvxille ,Greenville 
3233.statecounty,bWY_Uinta,WY_Uinta
1689.statevalue,CN,NC
1187.statecounty,MoA_Dukes,MA_Dukes
2949.statecounty,VA_Geene,VA_Greene
2772.county,cLennan ,McLennan 
2882.countytwo,iPute ,Piute 
2321.statevalue,A,PA
517.statevalue,AG,GA
1802.statevalue,D,ND
2062.county,Btuler ,Butler 
2382.statevalue,PrR,PR
1183.county,Wjinn Parish,Winn Parish
3053.county,Columbiae ,Columbia 
2376.statecounty,PR_Oroncovis Municipio,PR_Orocovis Municipio
3136.statevalue,I,WI
1711.statevalue,CN,NC
416.fipstwo,f1304b9,f13049
2478.fipstwo,f64057,f46057
2468.statecounty,SD_Dya,SD_Day
2619.countytwo,Aumstin ,Austin 
195.statecounty,A_Butte,CA_Butte
818.statevalue,IzN,IN
409.countytwo,Bure ,Burke 
39.statecounty,AL_Cheorkee,AL_Cherokee
288.statevalue,O,CO
1411.fipstwo,f20907,f29007
465.countytwo,aHrt ,Hart 
2015.fipstwo,f360i47,f36047
1933.county,Monomuth ,Monmouth 
885.fipstwo,18165,f18165
770.statevalue,L,IL
464.statecounty,GA_Haris,GA_Harris
1655.statecounty,MT_Siluver Bow,MT_Silver Bow
229.statevalue,AC,CA
1538.statecounty,MS_Clake,MS_Clarke
2116.county,Pauding ,Paulding 
2253.county,Wheler ,Wheeler 
407.statevalue,aGA,GA
2682.statecounty,TX_Ellips,TX_Ellis
245.statecounty,CATulare,CA_Tulare
1326.countytwo,Big Stonue ,Big Stone 
1435.statecounty,O_Crawford,MO_Crawford
2596.statecounty,TN_Smiht,TN_Smith
745.fipstwo,f170u89,f17089
3222.statecounty,WY_ohnson,WY_Johnson
2978.statecounty,VA_Mnotgomery,VA_Montgomery
190.statevalue,AvZ,AZ
833.county,Harroison ,Harrison 
394.county,Aktinson ,Atkinson 
1464.statevalue,OM,MO
417.statevalue,A,GA
3234.countytwo,ashakie ,Washakie 
205.statevalue,A,CA
3108.fipstwo,f55045***,f55045
1450.statevalue,O,MO
576.fipstwo,1f9037,f19037
2408.county,Adnerson ,Anderson 
2355.county,Hatillo uMnicipio,Hatillo Municipio
1600.county,Walethall ,Walthall 
1733.statevalue,aNC,NC
2958.fipstwo,f15670,f51670
1425.statecounty,O_Carter,MO_Carter
3109.countytwo,Green Lak ,Green Lake 
2729.statevalue,xTX,TX
2463.countytwo,lay ,Clay 
2092.statevalue,HO,OH
2654.fipstwo,f48805,f48085
347.county,Gulpf ,Gulf 
1239.countytwo,Ager ,Alger 
1344.statevalue,N,MN
2440.statevalue,CS,SC
127.statecounty,AR_Hwoard,AR_Howard
2114.fipstwo,f3921,f39121
1596.fipstwo,f28319,f28139
1783.fipstwo,fy38037,f38037
190.statecounty,AZ_Yaapai,AZ_Yavapai
648.fipstwo,f9181,f19181
2449.countytwo,Williamsburgb ,Williamsburg 
3095.fipstwo,f55e019,f55019
2834.statevalue,TiX,TX
1167.statecounty,LA_St.John the Baptist,LA_St. John the Baptist
2470.county,Dedwey ,Dewey 
2960.county,James Cityt ,James City 
554.countytwo,Honoullu ,Honolulu 
1505.statecounty,MO_tS. Charles,MO_St. Charles
953.statevalue,S,KS
1703.countytwo,Granvill e,Granville 
1975.statecounty,NV_Cason City,NV_Carson City
2290.countytwo,Lancater ,Lancaster 
2850.countytwo,Washingteon ,Washington 
2382.countytwo,pRio Grande Municipio,Rio Grande Municipio
1466.statevalue,O,MO
186.fipstwo,f04y017,f04017
1357.statecounty,N_Lac qui Parle,MN_Lac qui Parle
47.statecounty,LA_Conecuh,AL_Conecuh
2986.statevalue,AV,VA
767.statecounty,IfL_Monroe,IL_Monroe
459.countytwo,Gwinnett ***,Gwinnett 
1929.county,Hudwson ,Hudson 
1368.county,Mille Lac s,Mille Lacs 
990.fipstwo,f2d0191,f20191
7.statecounty,AKD_illingham Census Area,AK_Dillingham Census Area
2759.countytwo,Lipcsomb ,Lipscomb 
1689.county,raven ,Craven 
3168.fipstwo,f54012,f54021
1700.countytwo,Gaton ,Gaston 
2657.county,Coml ,Comal 
2561.statevalue,N,TN
2046.countytwo,Tmopkins ,Tompkins 
588.fipstwo,f1901,f19061
457.countytwo,Grjady ,Grady 
2536.countytwo,Decaur ,Decatur 
512.statevalue,A,GA
258.county,Chffee ,Chaffee 
2381.county,Rincn Municipio,Rincon Municipio
202.county,Glen n,Glenn 
747.countytwo,Kendalel ,Kendall 
611.county,Kekouk ,Keokuk 
2133.countytwo,Unqion ,Union 
513.countytwo,ichmond ,Richmond 
2185.county,Maojr ,Major 
1278.statecounty,MlI_Kent,MI_Kent
416.county,Cahrlton ,Charlton 
806.statevalue,NI,IN
989.statevalue,rKS,KS
828.county,Gibspon ,Gibson 
393.county,Applin g,Appling 
1825.fipstwo,f3015,f31015
1257.county,Crawfor ,Crawford 
888.fipstwo,f1171,f18171
1951.county,Gerant ,Grant 
2850.statevalue,TrX,TX
3094.countytwo,Chippwa ,Chippewa 
3209.statevalue,V,WV
2120.statecounty,OH_xPortage,OH_Portage
1615.countytwo,Casade ,Cascade 
1857.countytwo,Halzl ,Hall 
312.fipstwo,f081w23,f08123
216.statecounty,CA_Mdoc,CA_Modoc
2449.statecounty,SC_Wiliamsburg,SC_Williamsburg
1106.county,Simpso n,Simpson 
1412.countytwo,Barry ***,Barry 
1634.countytwo,Lierty ,Liberty 
2563.countytwo,Knx ,Knox 
16.county,Matanuska-Susitna Borouguh,Matanuska-Susitna Borough
2418.statecounty,SC_Claerndon,SC_Clarendon
2250.statecounty,OR_allowa,OR_Wallowa
2210.fipstwo,f0137,f40137
3046.statecounty,VT_Winsor,VT_Windsor
2728.statevalue,yTX,TX
1921.statecounty,NJ_Atlakntic,NJ_Atlantic
2406.fipstwo,f45030,f45003
2250.countytwo,aWllowa ,Wallowa 
2484.statevalue,DS,SD
1506.county,St. Calir ,St. Clair 
2039.county,Schuyle r,Schuyler 
3209.county,etzel ,Wetzel 
717.county,Crawofrd ,Crawford 
2717.statecounty,TX_Hemphilzl,TX_Hemphill
511.countytwo,Rabnu ,Rabun 
1383.statecounty,MN_Red Lakue,MN_Red Lake
2474.countytwo,Faul k,Faulk 
312.county,Wel ,Weld 
372.county,Okechobee ,Okeechobee 
1066.statecounty,K_YLetcher,KY_Letcher
1969.fipstwo,f30551,f35051
1392.statevalue,N,MN
522.fipstwo,f1363,f13263
2500.statecounty,SD_Mooyd,SD_Moody
2602.statecounty,TN_Uicoi,TN_Unicoi
678.countytwo,Fermont ,Fremont 
3231.countytwo,Sewetwater ,Sweetwater 
1355.countytwo,Kcittson ,Kittson 
2151.countytwo,sCarter ,Carter 
2593.county,Sequatchi ,Sequatchie 
3173.statevalue,VW,WV
2577.county,Mxeigs ,Meigs 
1332.fipstwo,f27032,f27023
1682.countytwo,atawba ,Catawba 
1056.statecounty,KY_Jesdsamine,KY_Jessamine
847.county,Laoke ,Lake 
598.statecounty,IA_Hancok,IA_Hancock
2380.statevalue,R,PR
2459.county,Butt ,Butte 
1400.county,Wadna ,Wadena 
2655.countytwo,xCollingsworth ,Collingsworth 
2509.statevalue,vSD,SD
2539.countytwo,Deyr ,Dyer 
310.countytwo,Teler ,Teller 
3028.statevalue,AV,VA
1223.countytwo,Aroosotok ,Aroostook 
1071.county,Loyn ,Lyon 
280.fipstwo,f8059,f08059
556.county,Kaua ,Kauai 
2902.county,Appogmattox ,Appomattox 
1294.statevalue,dMI,MI
2452.county,eadle ,Beadle 
1170.countytwo,zSt. Mary ,St. Mary 
3122.countytwo,Marfathon ,Marathon 
761.countytwo,Massaic ,Massac 
2507.fipstwo,f46151,f46115
1642.statecounty,MT_kPark,MT_Park
2552.statecounty,TN_Hardni,TN_Hardin
3057.county,Frnklin ,Franklin 
2686.countytwo,Fayetet ,Fayette 
2145.fipstwo,f4007,f40007
2261.statevalue,AP,PA
739.county,Jacksdon ,Jackson 
1283.county,Leawee ,Lenawee 
3016.statevalue,A,VA
687.statecounty,ID_eLwis,ID_Lewis
562.county,Audubno ,Audubon 
2416.county,Cester ,Chester 
3221.county,Ht Springs ,Hot Springs 
2563.fipstwo,gf47093,f47093
159.county,Scot t,Scott 
169.statevalue,RA,AR
1226.statevalue,E,ME
2272.countytwo,Crlinton ,Clinton 
69.fipstwo,f1079,f01079
971.countytwo,Rawlisn ,Rawlins 
1712.county,Hye ,Hyde 
1238.fipstwo,f260a01,f26001
1047.county,Harln ,Harlan 
3073.countytwo,Piece ,Pierce 
2935.fipstwo,5f1600,f51600
690.county,Minidoeka ,Minidoka 
2100.county,Loraiun ,Lorain 
2413.countytwo,Calehoun ,Calhoun 
1269.fipstwo,f20663,f26063
640.countytwo,Shelbpy ,Shelby 
425.countytwo,Cbob ,Cobb 
1541.statecounty,MS_Cpopiah,MS_Copiah
1919.county,Srafford ,Strafford 
2123.county,Riqchland ,Richland 
2660.statevalue,TdX,TX
1293.county,Midlan ,Midland 
359.fipstwo,f1069,f12069
2408.countytwo,Aderson ,Anderson 
1020.fipstwo,f21014,f21041
2302.county,Niorthampton ,Northampton 
66.countytwo,Jefefrson ,Jefferson 
2069.county,Coshocto n,Coshocton 
1620.fipstwo,f3023,f30023
3156.statecounty,IW_Winnebago,WI_Winnebago
1846.statevalue,EN,NE
3149.statecounty,WI_Vials,WI_Vilas
1315.fipstwo,f2649,f26149
44.fipstwo,f01092,f01029
816.county,Davies s,Daviess 
1915.statecounty,NHl_Grafton,NH_Grafton
2977.statecounty,VA_Mjiddlesex,VA_Middlesex
259.fipstwo,f0817,f08017
523.countytwo,Taiaferro ,Taliaferro 
283.countytwo,La Plwata ,La Plata 
2238.countytwo,Lnae ,Lane 
480.statevalue,AG,GA
24.fipstwo,f0224s0,f02240
1133.county,Claeiborne Parish,Claiborne Parish
478.statevalue,AG,GA
2085.statevalue,OtH,OH
1765.county,Adamsj ,Adams 
1789.statevalue,NuD,ND
2131.fipstwo,f3u9155,f39155
1316.county,Tuscolad ,Tuscola 
362.statecounty,LF_Levy,FL_Levy
63.statecounty,AL_Hery,AL_Henry
2514.fipstwo,wf46129,f46129
2044.countytwo,rSullivan ,Sullivan 
1423.statevalue,OM,MO
282.county,Kkit Carson ,Kit Carson 
1056.statevalue,YK,KY
3160.statevalue,WuV,WV
1022.countytwo,asey ,Casey 
2602.countytwo,Uniconi ,Unicoi 
164.statevalue,AdR,AR
1468.statecounty,MO_Madcison,MO_Madison
1501.county,cSotland ,Scotland 
3064.county,iKtsap ,Kitsap 
2713.fipstwo,f48023,f48203
459.county,Gwinnmett ,Gwinnett 
1911.county,Belknpa ,Belknap 
2313.county,Tiog a,Tioga 
1136.fipstwo,22033,f22033
2705.county,uGadalupe ,Guadalupe 
1543.statecounty,MS_DeoSto,MS_DeSoto
1225.statecounty,EM_Franklin,ME_Franklin
3141.countytwo,Sau ,Sauk 
2371.county,Mayaguez Municpio,Mayaguez Municipio
2937.county,Fuquier ,Fauquier 
2501.statecounty,SD_Penington,SD_Pennington
1019.countytwo,Carlisyle ,Carlisle 
1973.statevalue,MN,NM
1621.statevalue,kMT,MT
2206.countytwo,Rogker Mills ,Roger Mills 
1690.statevalue,CN,NC
1771.county,Bvurke ,Burke 
2874.county,Emeryo ,Emery 
809.countytwo,Brwon ,Brown 
2144.statecounty,OK_Aotka,OK_Atoka
90.statevalue,L,AL
1135.statevalue,AL,LA
1073.countytwo,Mfagoffin ,Magoffin 
2141.statecounty,OH_Wyanmdot,OH_Wyandot
1337.fipstwo,f72033,f27033
875.countytwo,Spncer ,Spencer 
768.countytwo,Montgmery ,Montgomery 
2314.fipstwo,f42191,f42119
1677.countytwo,aCbarrus ,Cabarrus 
2555.countytwo,Henyderson ,Henderson 
137.statecounty,AR_Littlea River,AR_Little River
2535.statecounty,TND_avidson,TN_Davidson
202.countytwo,Glenkn ,Glenn 
803.county,Adasm ,Adams 
151.county,Pkie ,Pike 
1165.fipstwo,f2091,f22091
47.fipstwo,zf01035,f01035
2101.countytwo,Lyucas ,Lucas 
868.statecounty,IN_Pulsaki,IN_Pulaski
3195.statecounty,WVP_ocahontas,WV_Pocahontas
575.fipstwo,f19053,f19035
1999.countytwo,Chemnug ,Chemung 
525.statecounty,GA_Tayulor,GA_Taylor
2710.fipstwo,f84197,f48197
1399.county,Wabash a,Wabasha 
2790.countytwo,Ochitree ,Ochiltree 
1502.county,Scotct ,Scott 
1783.county,Grnat ,Grant 
1240.statevalue,MtI,MI
927.countytwo,Grahgam ,Graham 
1397.statecounty,MN_Todd***,MN_Todd
358.statevalue,L,FL
967.fipstwo,2f0145,f20145
1574.county,onroe ,Monroe 
1104.statevalue,YK,KY
733.county,Hamilto n,Hamilton 
38.county,Chamber s,Chambers 
2678.county,astland ,Eastland 
226.statecounty,CA_San enito,CA_San Benito
2027.county,zOrange ,Orange 
3193.statevalue,VW,WV
511.fipstwo,f1321,f13241
611.fipstwo,f19170,f19107
1540.countytwo,Coahom ,Coahoma 
28.county,Yakuta City and Borough,Yakutat City and Borough
1393.county,Stevarns ,Stearns 
2972.countytwo,Manassas icty,Manassas city
2067.countytwo,Clnton ,Clinton 
844.statecounty,IN_nox,IN_Knox
2011.fipstwo,f3639,f36039
83.fipstwo,f01170,f01107
2126.statevalue,aOH,OH
2020.fipstwo,f3607,f36057
893.statecounty,INWhite,IN_White
1394.countytwo,Steee ,Steele 
1253.countytwo,hCeboygan ,Cheboygan 
2643.county,Cam ,Camp 
3169.fipstwo,f54j023,f54023
1651.fipstwo,30085,f30085
2433.county,Lancaste r,Lancaster 
2807.countytwo,Refguio ,Refugio 
1420.statecounty,MO_Cadwell,MO_Caldwell
170.fipstwo,f0h5147,f05147
1611.statevalue,TM,MT
874.fipstwo,f1814v5,f18145
2093.countytwo,Jakcson ,Jackson 
666.statevalue,DI,ID
99.statecounty,AbR_Baxter,AR_Baxter
2405.statevalue,C,SC
2625.fipstwo,f4827,f48027
1087.countytwo,Mosrgan ,Morgan 
2009.countytwo,Fultojn ,Fulton 
2361.county,Juncos Municiipo,Juncos Municipio
2109.statecounty,O_HMonroe,OH_Monroe
3200.statecounty,WV_Ricthie,WV_Ritchie
859.fipstwo,f18131,f18113
3021.fipstwo,f511r87,f51187
1110.county,Trgg ,Trigg 
1115.statecounty,KYW_ayne,KY_Wayne
359.statecounty,FL_Lakbe,FL_Lake
2716.statevalue,X,TX
1836.countytwo,Cojlfax ,Colfax 
779.countytwo,Randolphe ,Randolph 
1948.countytwo,eD Baca ,De Baca 
2008.statevalue,Y,NY
1118.statevalue,YK,KY
1776.statecounty,kND_Divide,ND_Divide
787.countytwo,Sat. Clair ,St. Clair 
2729.fipstwo,f482h35,f48235
2409.countytwo,Bamber g,Bamberg 
2429.statecounty,SC_Hamton,SC_Hampton
1739.statecounty,N_CPolk,NC_Polk
633.countytwo,Pocahonta ,Pocahontas 
467.statecounty,GA_Heny,GA_Henry
2299.statevalue,AP,PA
295.county,Oterjo ,Otero 
984.fipstwo,f201z79,f20179
1894.county,Saryp ,Sarpy 
2122.statevalue,H,OH
8.fipstwo,f020b90,f02090
1491.countytwo,Poplk ,Polk 
558.fipstwo,19001,f19001
693.countytwo,Owhyee ,Owyhee 
3162.statecounty,WV_Brooeke,WV_Brooke
2550.statecounty,NT_Hancock,TN_Hancock
2180.county,atimer ,Latimer 
303.fipstwo,f08150,f08105
109.county,leveland ,Cleveland 
429.fipstwo,f1307e5,f13075
552.county,jGuam,Guam
2364.fipstwo,f72038,f72083
228.statevalue,A,CA
1539.statecounty,MS_Clya,MS_Clay
1324.county,Beltkrami ,Beltrami 
1863.statecounty,NE_Hocoker,NE_Hooker
2194.statevalue,OxK,OK
1400.fipstwo,f21759,f27159
1308.countytwo,rPesque Isle ,Presque Isle 
3037.statecounty,VT_sEsex,VT_Essex
1705.countytwo,Guilfolrd ,Guilford 
2551.statecounty,TN_Hardueman,TN_Hardeman
2473.statecounty,SD_Fall Rivre,SD_Fall River
1230.countytwo,Oxofrd ,Oxford 
1594.countytwo,allahatchie ,Tallahatchie 
376.county,aPsco ,Pasco 
3035.fipstwo,f50005***,f50005
2860.county,Wie ,Wise 
1197.statevalue,A,MA
2602.statevalue,lTN,TN
46.statevalue,zAL,AL
1171.fipstwo,f22103***,f22103
2282.countytwo,Frankluin ,Franklin 
567.county,Bucahnan ,Buchanan 
880.fipstwo,f81155,f18155
1732.county,Oraneg ,Orange 
2008.fipstwo,f3q6033,f36033
2089.statecounty,OH_Hgihland,OH_Highland
3070.county,Okanoga ,Okanogan 
2131.county,Trmbull ,Trumbull 
3109.statevalue,IW,WI
3183.statecounty,WmV_Mason,WV_Mason
1514.fipstwo,lf29213,f29213
11.fipstwo,f02u110,f02110
966.fipstwo,f21043,f20143
892.countytwo,Wexlls ,Wells 
3098.statecounty,WI_Daen,WI_Dane
3214.statevalue,YW,WY
450.statecounty,GA_Forysyth,GA_Forsyth
1076.statevalue,YK,KY
2003.county,Crotland ,Cortland 
1467.statecounty,MO_Mnacon,MO_Macon
2858.fipstwo,48493,f48493
247.statevalue,CmA,CA
276.statecounty,CO_Gunnisxon,CO_Gunnison
2859.fipstwo,48495,f48495
548.fipstwo,f1315,f13315
2587.fipstwo,47141,f47141
1669.countytwo,she ,Ashe 
2774.county,Medinca ,Medina 
594.county,Ghreene ,Greene 
1735.statevalue,C,NC
3135.statevalue,WpI,WI
266.statevalue,OC,CO
2491.fipstwo,f46803,f46083
1413.statevalue,oMO,MO
1818.fipstwo,f3001,f31001
1433.fipstwo,f2951,f29051
1178.statevalue,AL,LA
1595.county,Taet ,Tate 
1433.countytwo,Colye ,Cole 
1949.statevalue,wNM,NM
337.statevalue,L,FL
979.fipstwo,f201s69,f20169
853.statecounty,IN_Mrtin,IN_Martin
3229.countytwo,Shreidan ,Sheridan 
2508.fipstwo,f46171,f46117
1808.statecounty,NDSlope,ND_Slope
2799.statevalue,X,TX
3158.countytwo,Barobur ,Barbour 
634.statecounty,IA_Polfk,IA_Polk
168.statevalue,R,AR
1691.countytwo,uCrrituck ,Currituck 
1641.county,Musselhsell ,Musselshell 
2786.fipstwo,hf48349,f48349
1179.statecounty,A_Webster,LA_Webster
1197.countytwo,oWrcester ,Worcester 
2503.county,Ptter ,Potter 
2169.fipstwo,f400p55,f40055
1372.county,iNcollet ,Nicollet 
2922.statevalue,VbA,VA
1392.countytwo,St. Loius ,St. Louis 
1242.statevalue,I,MI
31.countytwo,Bladwin ,Baldwin 
2178.fipstwo,f4003,f40073
235.county,Santa Cru z,Santa Cruz 
2445.statevalue,C,SC
3008.countytwo,Salem ciyt,Salem city
1520.fipstwo,f2x9225,f29225
353.fipstwo,f1205r7,f12057
427.county,Clquitt ,Colquitt 
2707.county,Hal ,Hall 
2184.statecounty,OKLove,OK_Love
2001.statecounty,NY_Clintno,NY_Clinton
1314.countytwo,St. zClair ,St. Clair 
160.statevalue,AkR,AR
52.statevalue,LA,AL
1933.countytwo,Monmouthb ,Monmouth 
1447.statecounty,MOGrundy,MO_Grundy
3007.countytwo,Russtell ,Russell 
2031.countytwo,uPtnam ,Putnam 
1249.statecounty,MI_Bracnh,MI_Branch
2689.fipstwo,f4815,f48155
1566.statecounty,fMS_Leake,MS_Leake
1395.county,Sdtevens ,Stevens 
1538.fipstwo,f2823,f28023
908.county,Clayx ,Clay 
1271.countytwo,Ioina ,Ionia 
1594.statecounty,MS_Tallahachie,MS_Tallahatchie
739.countytwo,Jcakson ,Jackson 
2069.statevalue,OiH,OH
1626.statevalue,sMT,MT
527.county,eTrrell ,Terrell 
903.county,Cahse ,Chase 
2257.fipstwo,f4205,f42005
1977.statecounty,NV_Claprk,NV_Clark
2984.statevalue,gVA,VA
1972.fipstwo,f35y057,f35057
1629.fipstwo,f03041,f30041
2889.statevalue,T,UT
1187.county,Dqukes ,Dukes 
819.statecounty,I_NDeKalb,IN_DeKalb
2349.county,Florida Muniicipio,Florida Municipio
3019.statecounty,VA_azewell,VA_Tazewell
808.fipstwo,fd18011,f18011
2319.fipstwo,f24129,f42129
2371.statevalue,R,PR
1113.fipstwo,21227,f21227
750.countytwo,LSaalle ,LaSalle 
759.fipstwo,f171c23,f17123
2180.statecounty,O_Latimer,OK_Latimer
724.statecounty,ILE_dwards,IL_Edwards
1730.countytwo,Notrhampton ,Northampton 
613.statevalue,A,IA
308.statecounty,C_OSedgwick,CO_Sedgwick
1843.fipstwo,f310a51,f31051
586.countytwo,es Moines ,Des Moines 
359.statevalue,LF,FL
2129.countytwo,Stalrk ,Stark 
81.countytwo,Morgyan ,Morgan 
1934.countytwo,Morrsi ,Morris 
