yearvalue,statevalue,county,hai,operativeprocedure,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,procedurecount(long),infectionsreported(long),infectionspredicted(double precision)
2020H1,California,Sacramnto,Surgical Site Infections (SSI),Knee prosthesis,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-q250 Beds",104,1,0.45
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reductio nof fracture,30000037.0,Methodist Hospital of Sacramento,Acute Care Hosital,"Communityw, 125-250 Beds",65,0,0.44
202H01,California,Sacramenot,Surgical Site Infections (SSI),Ovarian surgery,30000037.0,Methodeist Hospital of Sacramento,Acute Care Hospital,"Commudnity, 125-250 Beds",22,0,0.01
202H01,Califonria,Sacramento,Surgiacl Site Infections (SSI),Rectal surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.09
20x20H1,Californiaa,Sacramenlto,Surgical Site Infections (SSI),Small bowel surgery,30000037.0,Methodist Hospital of Sacramento,Amcute Care Hospital,"Community, 125-25x0 Beds",32,0,0.65
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoraicc surgery,30000037.0,Methodist Hospital of Sacramento,Acute CareHospital,"Community,1 25-250 Beds",33,0,0.07
20201H,Cailfornia,Amador,Surgical Site Infections (SS),All proceures,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",214,0,1.29
020H1,California,Amador,Surgical Site Infections (SSI),pApendix surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",18,0,0.05
2020H1,Caglifornia,Amador,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000108.0,Sutte Amador Hospital,Acute Care Hopital,"Community, <125 Beds",1,0,0.01
2020H1,California,mador,Surgical Site Infctions (SSI),Cesarean section,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds***",41,0,0.04
m2020H1,California,rAmador,Surgical Site Infections (SSI),Colon surgery,30000108.0,Sutter Amador Hospital,Aute Care Hospital,"Communty, <125 Beds",24,0,0.47
2002H1,Caliofrnia,Amador,Surgical Site Infections (SSI),Exploratory abdominal surgery l(aparotomy),30000108.0,Sutteri Amador Hospital,Acute Care Hospital,"Community, <125 Beds",16,0,0.08
2020H1,California,Anmador,Surgical Site Infections (SSI),Gallbladder surgery,30000108.0,Sutter Amador Hospiatl,Acute Care Hospital,"Community, <125 Beds",33,0,0.12
2020H1,Califyornia,Amadr,Surgical Site Infections (aSSI),Gastric surkgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 eds",5,0,0.05
2020H1,California,Amador,Surgical Site Infetcions (SSI),Hip prosthesis,30000108.0,Sutter Amzador Hospital,Acute Care Hospital,"Community, <125 Beds",22,0,0.08
2020H1,California,Amador,Surgical Site Infections (SSI),nee prosthesis,30000108.0,Sutter Amador Hospital,Acute Care Hospiatl,"Community, s<125 Beds",9,0,0.02
020H1,Caliofrnia,Aamdor,Surgical Site Infections (SSI),Open reduction of fracure,30000108.0,Sutter Amador Hospitla,Acute Caer Hospital,"Community, <125 Beds",26,0,0.13
2020H1,Californai,Amador,Snurgical Site Infections (SSI),Oavrian surgery,30000108.0,Suttre Amador Hospital,Acute Care Hspital,"Community, <125 Bedgs",3,0,0.01
2020H1,California,Amaor,Sursgical Site Infections (SSI),Rectal surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",7,0,0.1
2020H1,California,Amador,Surgica Site Infections (SSI),Small qbowel surgery,30000108.0,Sutter Aamdor Hospital,Acute Care Hospital,"Community ,<125 Beds",8,0,0.14
2020H1,Califorina,Amador,Surgical Site Infections (SSI),Thoracic surgeyr,30000108.0,Sutter Amador Hospital,Acut eCare Hospital,"Community ,<125 Beds",1,0,0.0
2020H1,Californita,Palcer,Surgical Site Infections (SSI),All procedures***,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",425,2,2.25
202g0H1,Calfornia,Placre,Surgical Site Infhections (SSI),Appendigx surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Cahre Hospital,"Comumnity, <125 Beds",29,0,0.07
2020H1,Califrnia,Pslacer,Surogical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000109.0,Sutteru Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.03
2020H1,California,Pqlacer,Surqgical Site Infections (SSI),Colon surgery,30000109.0,Sutter Aubur Faith Hospital,Acfute Care Hospital,"Community, <125 Beds",27,1,0.47
2020H1,Claifornia,Placre,Surgical Site Infcections (SSI),Exploratory abodminal surgery (laparotomy),30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Commnuity, <125 Beds",29,0,0.13
2020H1,California,Placer,Surgical Site Infections SSI),Gallbladder surgery,30000109.0,Sutter Auubrn Faith Hospital,Acuet Care Hospital,"Community, <125 Beds",35,0,0.11
2020H1,alifornia,Placer,Surgical Site Infectiosn (SSI),Gastrc surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care ospital,"Community, <125 Besd",11,0,0.1
2020xH1,California,Placer,Surgical Site nIfections (SSI),Hip prosthesins,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Communityt, <125 Beds",91,0,0.38
2020H1,California,Placer,Surgical Stie Infections (SSI),"Hysterectomy, abdominal",30000109.0,Sutter Auburn Faith Hospital***,Acute Care Hospiatl,"Community, <125 Beds",7,0,0.03
2020H1,Claifornia,Pklacer,Surgica lSite Infections (SSI),"Hysterectomy, vainal",30000109.0,Sutter Auburn Faith Hosiptal,Acut Care Hospital,"Community, <125 Beds",2,0,0.01
20201,Callifornia,Placer,Surgical Simte Infections (SSI),Kidney surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.02
2020H1,California,Placer,Surgical Site Inections (SSI),Knee proshtesis,30000109.0,Sutter Auburn FaithHospital,Acute Care Hospital,"Community, <125 Beds",118,0,0.25
2020H1,California,Pclacer,Surgical Site Infections (SSI),pOen reduction of fracture,30000109.0,Sutter Auburn Faith Hosepital,Acute Care Hospitl,"Community, <125 Bds",28,0,0.15
2020H1,California,Plaecer,Shurgical Site Infections (SSI),Ovarian surgrey,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Communikty, <125 Beds",1,0,0.0
202k0H1,California,Placer,Surgical Site Infwections (SSI),Rectal surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.05
0220H1,Califronia,Plcer,Surgical Site Infections (SSI),Small bowel surgery,30000109.0,Suttmer Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",25,1,0.43
2020H1,California,qPlacer,Surgical Site Infections (SSI),Thoracic surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.03
o2020H1,California,Sacramento,Surgical Site Infections (SSI),Abdominal aortic aneurysm repair,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Mjor Teaching,8,0,0.05
2020H1,California,Sawcramento,Surgical Site Infections (SSI),All procedurse,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,3113,47,41.48
2020H1,California,Sacramento,Surgical Site nfections (SSI),Appendi xsurgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,46,0,0.45
0220H1,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,68,4,2.11
2200H1,Californpia,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113.0,Univerity of California Davis Medical Center,Acute Care Hospital,Major Teachiung,76,0,0.5
2020H1,kCalifornia,Saramento,Surgical Site Infections (SSI),Cesarean section,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,210,2,1.07
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon urgery,30000113.0,University of California Davis Medizcal Center,Aecute Care Hospital,Major Teazching,166,11,9.2
2200H1,California,Sacraemnto,Surgical Site Infections (SS)I,"Coornary bypass,chest and donor incisions",30000113.0,University of California Davis Medical Center,Actue Care Hospital,Major Teaching,39,0,0.47
20201,California,Sacramento,Surgical Site Infections (SSI),"Coronary bypass,chest incision onely",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.01
2020H1,California,Sacamento,Surgical Site Infecitons (SSI),Exploratory abdominal surgery (laparotomy),30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,347,3,4.3
200H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000113.0,University of California aDvis Medical Center,Acute Care Hospital,Major tTeaching,105,1,0.9
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gastpric surgery,30000113.0,University of California Davis Medical Center,Acute Care Hosptal,Major Teaching,65,2,0.83
20r20H1,California,Sacraento,Surgical Site Infections (SSI),Hip porsthesis,30000113.0,University of California Davis Medical Center,Acute Care Hsopital,Major Teaching,118,1,1.37
202H01,California,Sacramento,Surgical Site Infections (SSI)***,"Hysterectomy, abdojminal",30000113.0,University of California avis Medical Center,Acute Care Hospital,Major eTaching,170,1,2.78
020H1,California,Sacramento,Surgical Site Inections (SSI),"Hysterectomby, vaginal",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teachinrg,8,0,0.06
2020H1,Californika,Sacramento,Surgical Site Infections (SSI),Kidneyd surgery,30000113.0,Univeristy of California Davis Medical Center,Acute Care Hopsital,Major Tecahing,176,1,0.58
20201,Calfornia,nSacramento,Surgical Site Infections (SSI),Kidney transplant,30000113.0,University of California Davis Medical Center,Acunte Care Hospital,Major Teaching,160,0,1.0
20201H,California,Sacramneto,Surgical Site Infections (SS)I,Kneev prosthesis,30000113.0,University of California Davis Medical Center,Acue Care Hospital,Major aTeaching,108,0,0.77
2020H1,California,Sacramento,Surgical Site Infecions (SSI),Laminectomy,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,175,0,0.78
2020fH1,Califoernia,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000113.0,University of California Davis Medical uCenter,Acute Care Hospital,Major Teaching,330,9,4.0
0220H1,aClifornia,Sacarmento,Surgical ite Infections (SSI),Ovarian sugrery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teachign,126,0,0.12
2020H1,California,Sacramento,Surgical Site Infection (SSI),Pacemaker surgery,30000113.0,University of California Davis Medical Center,Acute Caqre Hospital,ajor Teaching,2,0,0.0
220H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major eaching,40,0,1.14
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113.0,University of California Daviss Medical Center,Acute wCare Hospital,Major Teaching,190,7,4.21
2020H1,Caifornia,Sacramento,Surgical Site Infections (SSI),Spinal fgusion,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,222,3,3.74
2020H1,Calfornia,Sacramento,Surgical Site Infections (SSI),Spleen surgeyr,30000113.0,University of Califorina Davis Medical Center,Acute Care Hospital,Mafjor Teaching,31,1,0.27
2020H1,California,Sacramento,Surgical Site Inefections (SSI),Thoracic suregry,30000113.0,University of California Davis Medical Center,Acuet Care Hospital,Major Teaching,125,1,0.78
20201,California,El Dorado,Surgical iSte Infections (SSI),Alhl procedures,30000114.0,Blarton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",310,0,1.57
2200H1,Caliornia,El Dorado,Surgical Site Infections (SSI),Appendixs urgery,30000114.0,Barton Memorial Hospital,Acute CareH ospital,"Community, <125 Beds",13,0,0.04
2020H1,California,El Dorado,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic sugrery",30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2002H1,California,El Doradvo,Surgical Site Infections (SSI),Cesarean section,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Communit,y <125 Beds",24,0,0.03
2020oH1,Californa,El Dorado,Surgical Site Infections (SSI),Colon surgery,30000114.0,Barton Memorial Hospital,Acute CareHospital,"Community, <125 Besd",14,0,0.29
2020H1,Califorina,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.06
2020H1,California,El Dorado,Surgcal Site Infections (SSI),Gallbladder surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125x Beds",15,0,0.03
2020H1,Claifornia,El Dorado,Surgical Site Infections (SS)I,Gastric surgery,30000114.0,Barton Memorial Hsospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01
20201H,Calfornia,El Dorado,Surgical Site Infections (SSI),Hip prosthesis,30000114.0,Barton Memorial Hospitahl,Acute Care Hopital,"Community, <125B eds",22,0,0.07
2020H1,California,El Dorado,Surgical Site Infections (SSI),"Hysterecptomy, abdominal",30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",11,0,0.07
2020H1,Caifornia,El Dordo,Surgical Sjite Infections (SSI),Knee prosthesis,30000114.0,Barton Memorial Hospitla,Acute Care Hospital,"Commuanity, <125 Beds",29,0,0.06
020H1,California,El Dorado,Surgical Site Infections( SSI),Laminectomy,30000114.0,Barton Memoryial Hospital,Acute Care Hospital,"Commuity, <125 Beds",14,0,0.04
2020H1,California,El Dotrado,Surgical Site Infections (SSI),Opesn reduction of fracture,30000114.0,Barton Memorial Hospital,Acute Care Hospitla,"Community, <125 Beds",66,0,0.46
2020H1,Caliofrnia,El Dorao,Surgical Site Infections (SSI),Ovarian surguery,30000114.0,Barton Memormial Hospital,Acute Care Hospital,"Communit,y <125 Beds",4,0,0.01
2020yH1,California,El Dorado,Surgial Site Infections (SSI),Small bowel surgery,30000114.0,Barton Memorila Hospital,AcuteC are Hospital,"Community, <125 Beds",8,0,0.17
2002H1,bCalifornia,El Dorado,Surgical Site Infetions (SSI),Spinal fusion,30000114.0,Barton Memorial Hospital,Acute Carre Hospital,"Community, <125 Beds",74,0,0.23
2020H1,Caliornia,El Dorado,Surgical Site Infections (SSI),Spleben surgery,30000114.0,arton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.02
20201,Callifornia,El Dorado,Surgical Site Infections (SSI),Thoracic surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Al procedures,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",315,0,1.5
2z020H1,Califvornia,San Joaquin,Surgicl Site Infections (SSI),Appendixs urgery,30000117.0,Dameron Hospital,Acutge Care Hospital,"Community, 125-250 Beds",22,0,0.06
2200H1,California,San Joaquin,Surgical Site Infections (SSI),Cardiac surgehry,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.02
2020H1,Caliofrnia,San Joaquin,Surgical Site Infections (SSI),Colonsurgery,30000117.0,Dameron Hospital,Acute Care Hopital,"Commuinty, 125-250 Beds",3,0,0.08
2002H1,Califhornia,San Joaquin,Surgical Site Infections (SSI),"Coronary bypass,chest and donor incisions",30000117.0,Dameron Hospitl,Acute Care Hospital,"Community, 125-250 Beds",20,0,0.11
2020H1,Califoxrnia,San Joauqin,Surgical Site Infections (SSI),"Coronary bypass,chest incision only",30000117.0,Dmaeron Hospital,Acute Care Hospital,"Communmity, 125-250 Beds",1,0,0.01
2020H1,California,SanJ oaquin,Suurgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000117.0,Dameron Hosepital,Acsute Care Hospital,"Community, 125-250 Beds",11,0,0.06
2020H1,Californa,San Joaquin,urgical Site Infections (SSI),Gallbladdepr surgery,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",21,0,0.04
2020Hf1,California,San oJaquin,Surgical Site Infections (SSIt),Gastric surgery,30000117.0,Dameron Hospital,Acute Care ospital,"oCmmunity, 125-250 Beds",12,0,0.1
0220H1,Catlifornia,San Joaquin,Surgical Site Infections (SSI),ip prosthesis,30000117.0,Dameron Hospital,Acute Car Hospital,"Communty, 125-250 Beds",46,0,0.26
2020H1,Califonria,San Joqauin,Surgical Site Infections (SSI),"Hysteprectomy, abdominal",30000117.0,Dmeron Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.01
20201H,California,San Joaquin,Surgical Site Infections (SSI),Knee prosthesis,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 152-250 Beds",78,0,0.32
2020H1,California,San Joauin,Surgical Site Inefctions (SSI),aminectomy,30000117.0,Dameon Hospital,Acute Care Hospital,"Community, 125-250 Beds",8,0,0.04
2020H1,Californiya,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000117.0,Dameron Hospital,Acute Care Hospital,"Community, 125-520 Beds",26,0,0.15
20201,California,San Joaquin,Surgical Site Infections (SSI),Pacemakerh surgery,30000117.0,Dameron Hospital,Acute Cre Hospital,"Community, 125-250 Beds",42,0,0.07
2020H1,alifornia,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,30000117.0,Dameron ospital,Azcute Care Hospital,"Community, 125-250 Beds",7,0,0.14
20201,alifornia,San Joaquin,Surgical tSite Infections (SSI),Spinal fsuion,30000117.0,Dameron Hospital,Acute Care Hospital,"Communty, 125-250 Beds",9,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Tohracic surgery,30000117.0,DameronHospital,Acute Care Hospital,"Community, 125-250 Besd",1,0,0.0
2020H1,Califoria,San oaquin,Surgical Site Infectios (SSI),All procedures,30000118.0,Doctorss Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",197,0,0.66
2020H1,California,San Joaquin,Surgical Site Infaections (SSI),Appendix surgery,30000118.0,Doctors Hospital of Manteca,Acute aCare Hospital,"Community, <125 Beds",15,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000118.0,Doctors Hospital lof Manteca,Acute Care Hospital,Community <125 Beds,38,0,0.05
2020H1,California,San Joaquin,Surgical SiteI nfections (SSI),Colon sugrery,30000118.0,Doctors Hospital of Manteca,Acuet Care Hospital,"Communty, <125 Beds",7,0,0.11
2020H1,Califoria,San Joaquin,Surgical Site Infectinos (SSI),Exploratory abdominal surgery (laparotomy),30000118.0,Doctors Hospital of aMnteca,Acute Car eHospital,"Community, <125 Beds",6,0,0.04
2020hH1,Caflifornia,San Joaquin,Surgical Site Infetcions (SSI),Gallbladder surgery,30000118.0,Doctors Hospital of Manteac,Acute Careu Hospital,"Community, <125 Beds",27,0,0.07
2020H1,Califoyrnia,San Joaquni,Surgicafl Site Infections (SSI),Gastric surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, 125 Beds",42,0,0.11
2020H1,alifornia,San Joaqiun,Surgical Site Infectiojns (SSI),Hip prosthseis,30000118.0,Doctors Hospital oxf Manteca,Acute Care Hospital,"Community, <125 Beds",11,0,0.06
