year,state,county,hai,operative_procedure,facility_id,facility_name,hospital_category_risk_adjustment,facility_type,procedure_count,infections_reported,infections_predicted
2020H1,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",26,0,0.12
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",13,0,0.07
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Cesarean section,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Colon surgery,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.02
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",4,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Open reduction of fracture,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",4,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Small bowel surgery,30000122.0,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",28,0,0.32
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",22,0,0.1
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Colon surgery,30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.18
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Open reduction of fracture,30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Thoracic surgery,30000123.0,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.03
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000124.0,Mercy General Hospital,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000124.0,Mercy General Hospital,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000125.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",36,1,0.16
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000125.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",31,1,0.14
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Cesarean section,30000125.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.02
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000125.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Gallbladder surgery,30000125.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Open reduction of fracture,30000125.0,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000127.0,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,16,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000127.0,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,11,0,0.04
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000127.0,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,3,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000127.0,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,2,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000130.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",7,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000130.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",5,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000130.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000130.0,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30000131.0,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Appendix surgery,30000131.0,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,31,0,0.15
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,18,0,0.09
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,7,0,0.03
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000133.0,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),All procedures,30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",42,0,0.12
2020H1,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",28,0,0.08
2020H1,California,Placer,Surgical Site Infections (SSI),Laminectomy,30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.01
2020H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",10,0,0.03
2020H1,California,Placer,Surgical Site Infections (SSI),Spinal fusion,30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",2,0,0.01
2020H1,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,30000134.0,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,25,0,0.41
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,9,0,0.02
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Colon surgery,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,2,0,0.18
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,4,0,0.12
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,4,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Small bowel surgery,30000135.0,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,4,0,0.08
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000141.0,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",10,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000141.0,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000141.0,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000143.0,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",18,0,0.08
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000143.0,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",13,0,0.07
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Cesarean section,30000143.0,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",3,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000143.0,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Open reduction of fracture,30000143.0,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",1,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),All procedures,30000146.0,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),Appendix surgery,30000146.0,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),All procedures,30000149.0,Sutter Davis Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Yolo,Surgical Site Infections (SSI),Appendix surgery,30000149.0,Sutter Davis Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,178,1,1.1
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,57,0,0.29
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,27,0,0.28
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,4,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,6,0,0.13
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,24,0,0.08
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,3,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,9,0,0.06
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,3,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,14,0,0.14
2020H1,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,13,1,0.08
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000151.0,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,16,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000901.0,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",5,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000901.0,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",4,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000901.0,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000973.0,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",5,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000973.0,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",4,0,0.0
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Gallbladder surgery,30000973.0,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),All procedures,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,103,1,0.6
2020H1,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,50,0,0.24
2020H1,California,Placer,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,3,0,0.03
2020H1,California,Placer,Surgical Site Infections (SSI),Cesarean section,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,1,0,0.02
2020H1,California,Placer,Surgical Site Infections (SSI),Colon surgery,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,5,1,0.11
2020H1,California,Placer,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,7,0,0.02
2020H1,California,Placer,Surgical Site Infections (SSI),Gallbladder surgery,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,3,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),Laminectomy,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,4,0,0.03
2020H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,7,0,0.01
2020H1,California,Placer,Surgical Site Infections (SSI),Small bowel surgery,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,9,0,0.06
2020H1,California,Placer,Surgical Site Infections (SSI),Spinal fusion,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,6,0,0.08
2020H1,California,Placer,Surgical Site Infections (SSI),Thoracic surgery,30001370.0,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,8,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30001506.0,Shriners Hospitals for Children Northern California,Acute Care Hospital,Pediatric,57,0,0.46
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30001506.0,Shriners Hospitals for Children Northern California,Acute Care Hospital,Pediatric,2,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30001506.0,Shriners Hospitals for Children Northern California,Acute Care Hospital,Pediatric,11,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30001506.0,Shriners Hospitals for Children Northern California,Acute Care Hospital,Pediatric,44,0,0.4
2020H1,California,Stanislaus,Surgical Site Infections (SSI),All procedures,30001661.0,Stanislaus Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01
2020H1,California,Stanislaus,Surgical Site Infections (SSI),Knee prosthesis,30001661.0,Stanislaus Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.01
2020H1,California,Fresno,Surgical Site Infections (SSI),All procedures,40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,6,0,0.04
2020H1,California,Fresno,Surgical Site Infections (SSI),Appendix surgery,40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,3,0,0.02
2020H1,California,Fresno,Surgical Site Infections (SSI),Cesarean section,40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Fresno,Surgical Site Infections (SSI),Colon surgery,40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,1,0,0.02
2020H1,California,Fresno,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),40000101.0,Community Regional Medical Center,Acute Care Hospital,Major Teaching,1,0,0.0
2020H1,California,Merced,Surgical Site Infections (SSI),All procedures,40000110.0,Memorial Hospital Los Banos,Acute Care Hospital,"Community, <125 Beds",4,0,0.0
2020H1,California,Merced,Surgical Site Infections (SSI),Appendix surgery,40000110.0,Memorial Hospital Los Banos,Acute Care Hospital,"Community, <125 Beds",4,0,0.0
2020H1,California,Merced,Surgical Site Infections (SSI),All procedures,40000113.0,Mercy Medical Center,Acute Care Hospital,"Community, 125-250 Beds",5,0,0.01
2020H1,California,Merced,Surgical Site Infections (SSI),Appendix surgery,40000113.0,Mercy Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0,0.0
2020H1,California,Merced,Surgical Site Infections (SSI),Cesarean section,40000113.0,Mercy Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,0,0.01
2020H1,California,Madera,Surgical Site Infections (SSI),All procedures,40000129.0,Valley Children's Hospital,Acute Care Hospital,Pediatric,670,0,4.69
2020H1,California,Madera,Surgical Site Infections (SSI),Appendix surgery,40000129.0,Valley Children's Hospital,Acute Care Hospital,Pediatric,290,0,1.62
2020H1,California,Madera,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",40000129.0,Valley Children's Hospital,Acute Care Hospital,Pediatric,4,0,0.18
2020H1,California,Madera,Surgical Site Infections (SSI),Cardiac surgery,40000129.0,Valley Children's Hospital,Acute Care Hospital,Pediatric,49,0,0.55
