characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
Total - Male,Male,NULL,2010,31.7,4.96,NULL,479855.0,80208.1,NULL
Total - Male,Male,NULL,2011,38.9,5.12,NULL,589360.0,83198.6,NULL
Total - Male,Male,NULL,2012,36.6,4.59,NULL,570144.0,75601.7,NULL
Total - Female,Female,NULL,2000,48.6,6.05,NULL,645420.0,87228.6,NULL
Total - Female,Female,NULL,2001,42.0,5.11,NULL,569840.0,74161.9,NULL
Total - Female,Female,NULL,2002,46.4,6.19,NULL,636157.0,92189.6,NULL
Total - Female,Female,NULL,2003,43.1,5.57,NULL,598571.0,83255.4,NULL
Total - Female,Female,NULL,2004,41.0,4.89,NULL,577855.0,73444.7,NULL
Total - Female,Female,NULL,2005,34.8,4.91,NULL,492267.0,73688.2,NULL
Total - Female,Female,NULL,2006,44.1,5.51,NULL,622014.0,83241.6,NULL
Total - Female,Female,NULL,2007,37.6,5.05,NULL,536377.0,78060.2,NULL
Total - Female,Female,NULL,2008,37.8,5.59,NULL,545246.0,85356.8,NULL
Total - Female,Female,NULL,2009,27.9,4.87,NULL,404817.0,74694.3,NULL
Total - Female,Female,NULL,2010,28.2,4.62,NULL,414538.0,72367.6,NULL
Total - Female,Female,NULL,2011,28.6,4.24,NULL,419092.0,65794.9,NULL
Total - Female,Female,NULL,2012,34.8,4.5,NULL,526088.0,71784.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2000,59.8,6.44,NULL,1008500.0,118900.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2001,51.9,5.4,NULL,892484.0,100235.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,58.8,6.77,NULL,1005939.0,127290.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,46.9,5.51,NULL,803562.0,101858.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,46.5,4.91,NULL,815344.0,92202.9,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,49.7,5.71,NULL,877309.0,108708.0,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2006,49.4,5.53,NULL,855195.0,103037.6,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,43.9,5.36,NULL,749325.0,99661.5,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,39.3,5.37,NULL,680892.0,98630.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,27.6,4.56,NULL,484223.0,84364.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,30.6,4.61,NULL,552674.0,88600.4,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,34.0,4.51,NULL,583963.0,82671.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,38.5,4.6,NULL,647802.0,82109.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2000,74.4,11.71,NULL,277063.0,48796.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2001,49.3,8.77,NULL,184770.0,35412.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2002,48.5,9.43,NULL,180170.0,38281.9,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2003,53.8,10.01,NULL,189367.0,38369.2,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2004,71.0,10.93,NULL,257262.0,43452.9,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2005,56.7,10.54,NULL,204703.0,41333.1,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2006,46.1,9.17,NULL,162591.0,34644.7,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2007,36.9,7.01,NULL,140227.0,29203.3,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2008,45.7,10.26,NULL,171981.0,41075.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2009,36.6,8.99,NULL,140554.0,36876.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2010,36.2,8.05,NULL,145922.0,35013.7,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2011,39.8,7.93,NULL,159854.0,34260.8,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2012,34.0,7.05,NULL,150049.0,32676.2,NULL
Total - Hispanic,NULL,Hispanic,2000,42.6,7.79,NULL,193844.0,38313.5,NULL
Total - Hispanic,NULL,Hispanic,2001,35.8,6.68,NULL,169359.0,33486.8,NULL
Total - Hispanic,NULL,Hispanic,2002,34.4,6.87,NULL,176229.0,37704.0,NULL
Total - Hispanic,NULL,Hispanic,2003,37.7,6.95,NULL,205821.0,40546.2,NULL
Total - Hispanic,NULL,Hispanic,2004,30.0,5.73,NULL,161223.0,32329.0,NULL
Total - Hispanic,NULL,Hispanic,2005,41.1,7.58,NULL,220028.0,43317.9,NULL
Total - Hispanic,NULL,Hispanic,2006,51.1,8.33,NULL,279019.0,49055.4,NULL
Total - Hispanic,NULL,Hispanic,2007,26.1,4.92,NULL,156119.0,31594.3,NULL
Total - Hispanic,NULL,Hispanic,2008,15.1,4.54,NULL,89244.0,27540.2,NULL
Total - Hispanic,NULL,Hispanic,2009,29.7,6.84,NULL,173366.0,42332.0,NULL
Total - Hispanic,NULL,Hispanic,2010,24.1,5.59,NULL,135493.0,33276.5,NULL
Total - Hispanic,NULL,Hispanic,2011,31.4,5.92,NULL,195298.0,39174.6,NULL
Total - Hispanic,NULL,Hispanic,2012,31.2,5.65,NULL,213150.0,40553.5,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,26.9,9.42,NULL,43140.0,15600.2,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,68.4,22.39,NULL,37206.0,13322.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,65.8,8.39,NULL,559021.0,78977.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2001,57.8,7.22,NULL,497839.0,67774.6,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2002,63.6,8.69,NULL,544128.0,82605.7,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2003,50.9,7.18,NULL,442490.0,67778.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2004,50.9,6.52,NULL,455272.0,62825.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2005,68.5,8.62,NULL,616175.0,85651.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2006,51.7,7.09,NULL,456100.0,67729.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2007,43.5,6.32,NULL,380495.0,60709.6,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2008,37.4,6.63,NULL,327480.0,61525.8,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2009,26.7,5.57,NULL,235764.0,51915.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2010,36.2,6.29,NULL,328327.0,61455.7,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2011,42.4,6.39,NULL,373758.0,60832.7,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2012,37.7,5.81,NULL,321681.0,52464.4,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,94.0,17.29,NULL,162608.0,34048.0,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,52.7,12.26,NULL,89460.0,22369.2,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,50.7,12.57,NULL,84534.0,22870.8,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,43.9,11.72,NULL,70989.0,20298.2,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,83.8,16.17,NULL,137621.0,29287.0,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,61.6,14.65,NULL,103128.0,26657.2,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,40.4,11.47,NULL,65394.0,19619.4,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,31.7,7.71,NULL,57325.0,15177.7,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,40.3,13.04,NULL,70091.0,23842.5,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,43.4,13.01,NULL,79517.0,25503.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,19.8,7.04,NULL,38409.0,14273.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,39.5,10.44,NULL,71277.0,20155.1,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,40.2,10.29,NULL,87717.0,23641.4,NULL
Hispanic,Male,Hispanic,2000,52.5,11.03,NULL,124550.0,28502.1,NULL
Hispanic,Male,Hispanic,2001,43.8,9.54,NULL,108853.0,25292.8,NULL
Hispanic,Male,Hispanic,2002,42.9,9.61,NULL,117733.0,28614.6,NULL
Hispanic,Male,Hispanic,2003,40.9,9.19,NULL,115031.0,27677.0,NULL
Hispanic,Male,Hispanic,2004,32.7,7.79,NULL,90401.0,22605.1,NULL
Hispanic,Male,Hispanic,2005,44.7,10.07,NULL,124944.0,30100.5,NULL
Hispanic,Male,Hispanic,2006,66.4,12.22,NULL,189872.0,38255.0,NULL
Hispanic,Male,Hispanic,2007,31.3,6.58,NULL,99015.0,22631.8,NULL
Hispanic,Male,Hispanic,2008,15.6,6.0,NULL,49174.0,19353.0,NULL
Hispanic,Male,Hispanic,2009,30.0,8.59,NULL,93343.0,28267.3,NULL
Hispanic,Male,Hispanic,2010,28.5,7.68,NULL,83263.0,23890.9,NULL
Hispanic,Male,Hispanic,2011,32.7,7.53,NULL,107256.0,26305.6,NULL
Hispanic,Male,Hispanic,2012,31.9,7.49,NULL,110531.0,27150.2,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,43.7,15.6,NULL,39801.0,14893.6,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"mAerican Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,NULL,NULL,Data not available.,NULL,NULL,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,NULL,NULL,Reporting standards not met.,NULL,NULL,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,53.7,7.42,NULL,449479.0,67952.4,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2001,46.0,6.3,NULL,394645.0,58097.2,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2002,54.0,7.83,NULL,461811.0,73630.2,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2003,42.7,6.49,NULL,361073.0,59065.4,NULL
