HOME TEAM: Stetson,Time,Score,Margin,VISITORS: Kennesaw State
"MISSED JUMPER by GREEN, Willie",00:51,,,"REBOUND (DEF) by OSEMHEN, Andrew"
"FOUL by GRAHAM, Aaron (P1T7)",00:41,58-62,V 4,"GOOD! FT SHOT by BROWN, Yonel"
,00:41,58-63,V 5,"GOOD! FT SHOT by BROWN, Yonel"
,00:41,,,TIMEOUT 30sec
,00:41,,,"SUB IN : BYERS, Charlie"
,00:41,,,"SUB OUT: BROWN, Yonel"
"MISSED LAYUP by ANDREWS, Raymone",00:32,,,"BLOCK by RUCKER, Nate"
REBOUND (OFF) by (TEAM),00:30,,,
"GOOD! 3 PTR by GRAHAM, Aaron",00:30,61-63,V 2,
"ASSIST by ANDREWS, Raymone",00:30,,,
TIMEOUT 30sec,00:28,,,
"FOUL by GRAHAM, Aaron (P2T8)",00:26,61-64,V 3,"GOOD! FT SHOT by LOVE, Delbert"
,00:26,61-65,V 4,"GOOD! FT SHOT by LOVE, Delbert"
,00:26,,,"SUB IN : KOUASSI, Willy"
,00:26,,,"SUB OUT: OSEMHEN, Andrew"
"MISSED 3 PTR by GRAHAM, Aaron",00:17,,,"REBOUND (DEF) by COLEMAN, Orlando"
"FOUL by GRAHAM, Aaron (P3T9)",00:14,,,"MISSED FT SHOT by BYERS, Charlie"
"REBOUND (DEF) by PEGG, Brian",00:14,,,
"MISSED 3 PTR by GRAHAM, Aaron",00:06,,,
"REBOUND (OFF) by PEGG, Brian",00:06,,,
"GOOD! TIP-IN by PEGG, Brian [PNT]",00:04,63-65,V 2,
TIMEOUT 30sec,00:04,,,
"FOUL by ANDREWS, Raymone (P5T10)",00:03,63-66,V 3,"GOOD! FT SHOT by BROWN, Yonel"
,00:03,63-67,V 4,"GOOD! FT SHOT by BROWN, Yonel"
"SUB IN : GLASFORD, B.J.",00:03,,,"SUB IN : PRUITT, Nigel"
"SUB IN : MILLER, Hunter",00:03,,,"SUB IN : BROWN, Yonel"
"SUB OUT: ANDREWS, Raymone",00:03,,,"SUB OUT: BYERS, Charlie"
"SUB OUT: PEGG, Brian",00:03,,,"SUB OUT: RUCKER, Nate"
"TURNOVR by GREEN, Willie",00:02,,,
