77.selat,35 22 30.00,35 22 30.000
9.pnpreason,ARA IN ZONE D,AREA IN ZONE D
136.selat,35 2 30,35 22 30
253.sourcecit,154913_STUDY5,1549138_STUDY5
328.pnpreason,AREA IN ZOEN D,AREA IN ZONE D
271.suffix,cG,G
101.pcomm,034C,043C
381.pcomm,025iC,025C
178.nwlat,5 20 37.5,35 20 37.5
37.pcomm,0022,049C
294.suffix,uG,G
364.sourcecit,154913_8STUDY5,1549138_STUDY5
94.firmid,5110577_35,1510577_35
12.effdate,2006/05/16,2008/06/17
153.effdate,2008c/03/18,2008/03/18
273.firmpan,35001C011G4,35001C0114G
366.pcomm,m001C,001C
344.pnpreason,AREA I NZONE D,AREA IN ZONE D
369.firmid,1u549138_125,1549138_125
164.dfirmid,350z43C,35043C
57.pcomm,094C,049C
285.selat,34x 52 30.000,34 52 30.000
314.firmid,154913f8_160,1549138_160
331.pnpreason,AREA IN ZOE D,AREA IN ZONE D
368.pcomm,0l01C,001C
247.dfirmid,35001oC,35001C
340.dfirmid,53001C,35001C
217.paneltyp,"COMMUNITY BASED, PANELj PRINTED","COMMUNITY BASED, PANEL PRINTED"
86.stfips,28,35
132.effdate,208/03/18,2008/03/18
72.paneltyp,"CUNTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
111.selat,5 30 00,35 30 00
5.effdate,2008/06/17,2006/05/16
7.firmpan,3500220007D,3500220006D
169.pnpreason,ARyEA IN ZONE D,AREA IN ZONE D
104.firmpan,30543C0889D,35043C0889D
127.suffix,rD,D
423.pnpreason,AREAj IN ZONE D,AREA IN ZONE D
54.sourcecit,1526115_ABSE2,1526115_BASE2
107.pcomm,04v3C,043C
458.paneltyp,"COUNTYWeIDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
294.dfirmid,3501C,35001C
268.selat,35 01 52.500***,35 01 52.500
92.suffix,yD,D
211.nwlong,10 707 30,107 07 30
155.pcomm,04C3,043C
14.objectid,22446.0,40955
343.selat,35 01 5c2.500,35 01 52.500
416.pnpreason,AREA IN rZONE D,AREA IN ZONE D
116.sourcecit,1510757_STUDY2,1510577_STUDY2
29.firmid,1526115_27,1526115_41
454.nwlat,32 48 5.000,32 48 45.000
185.effdate,2008/3/18,2008/03/18
465.effdate,208/12/16,2008/12/16
46.sourcecit,152b6115_BASE2,1526115_BASE2
89.selat,35 073 0,35 07 30
43.paneltyp,"COUTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
421.firmpan,350250C100D,35025C0100D
266.sourcecit,1549183_STUDY5,1549138_STUDY5
112.dfirmid,5043C,35043C
199.effdate,008/03/18,2008/03/18
66.paneltyp,"COUNTYWIDE, PANEL PIRNTED","COUNTYWIDE, PANEL PRINTED"
13.sourcecit,1429057_BASE1,1526115_BASE2
114.effdate,20l08/03/18,2008/03/18
438.suffix,,D
2.firmpan,35049C0750D,3500220002D
267.dfirmid,3o5001C,35001C
337.nwlong,-106 43 07500,-106 43 07.500
4.selong,-108 15 e00.000,-108 15 00.000
228.suffix,***,G
429.selong,10 37 30.000,103 37 30.000
83.nwlong,-106 00 0.000,-106 00 00.000
462.sourcecit,1555572_TUDY1,1555572_STUDY1
99.firmid,o1510577_25,1510577_25
19.firmid,1429057_104,1526115_31
278.sourcecit,1549138_STDUY5,1549138_STUDY5
105.suffix,,D
432.effdate,208/12/16,2008/12/16
11.pcomm,0022,049C
339.suffix,eG,G
18.effdate,2006/05/16,2008/06/17
320.pcomm,00C1,001C
344.stfips,24,35
42.nwlong,-106 5 00.000,-106 15 00.000
201.firmid,1515077_15,1510577_15
151.dfirmid,53043C,35043C
349.firmpan,n35001C0290G,35001C0290G
401.nwlat,32 84 45.000,32 48 45.000
159.paneltyp,"COUNTYIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
401.sourcecit,1555572_STUYD1,1555572_STUDY1
29.selong,e-105 56 15.000,-105 56 15.000
255.firmpan,5001C0331G,35001C0331G
315.pnpreason,AREA INx ZONE D,AREA IN ZONE D
119.suffix,,D
408.suffix,,D
363.firmid,a1549138_167,1549138_167
137.pnpreason,AREA IN ZOpNE D,AREA IN ZONE D
126.sourcecit,z1510577_STUDY2,1510577_STUDY2
337.selong,-106 41 150.00,-106 41 15.000
318.sourcecit,154938_STUDY5,1549138_STUDY5
194.pnpreason,AREA IN ZONED ,AREA IN ZONE D
246.sourcecit,5149138_STUDY5,1549138_STUDY5
444.selat,32e 22 30.000,32 22 30.000
67.nwlong,-105 56 15.00,-105 56 15.000
360.pcomm,01C,001C
70.firmid,526115_0,1526115_0
441.firmid,15555723_9,1555572_39
267.paneltyp,"COUNTYIWDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
245.dfirmid,350r01C,35001C
139.dfirmid,3504C3,35043C
208.selat,35 1307.5,35 13 07.5
158.sourcecit,1510577_SUTDY2,1510577_STUDY2
36.firmid,1526115_21,1526115_7
79.suffix,***,D
251.nwlong,-016 41 15.000,-106 41 15.000
29.pnpreason,AREA IN ZONE pD,AREA IN ZONE D
152.effdate,20h08/03/18,2008/03/18
35.firmid,1526115_40,1526115_6
25.stfips,41,35
66.selong,-16 07 30.000,-106 07 30.000
303.pcomm,010C,001C
352.effdate,200809/26,2008/09/26
374.effdate,2008/1t2/16,2008/12/16
454.pcomm,025tC,025C
172.sourcecit,1510577_STDY2,1510577_STUDY2
355.pcomm,00C1,001C
153.stfips,30,35
130.stfips,48,35
53.nwlong,-105 56 1.000,-105 56 15.000
173.dfirmid,3543C,35043C
375.stfips,30,35
52.dfirmid,35094C,35049C
11.firmid,1526115_27,1526115_23
127.pnpreason,NO PSECIAL FLOOD HAZARD AREAS,NO SPECIAL FLOOD HAZARD AREAS
168.stfips,23,35
14.pcomm,0022,049C
305.nwlat,3g5 05 37.500,35 05 37.500
401.selat,32 45 00.00t0,32 45 00.000
416.selat,33 a15 00.000,33 15 00.000
13.effdate,2006/05/16,2008/06/17
444.paneltyp,"COUbNTYWIDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
164.pcomm,04C3,043C
44.pnpreason,AREA NI ZONE D,AREA IN ZONE D
372.paneltyp,"COUNTYWIDE ,NOT PRINTED","COUNTYWIDE, NOT PRINTED"
116.suffix,***,D
424.suffix,bD,D
344.paneltyp,"COUNTqYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
174.dfirmid,5043C,35043C
275.pnpreason,ARA IN ZONE D,AREA IN ZONE D
413.suffix,,D
155.selong,107 0 30,107 07 30
198.paneltyp,"COUNTYWID,E PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
180.firmpan,35043C152v5D,35043C1525D
196.nwlong,107 0730,107 07 30
41.dfirmid,350022,35049C
342.pcomm,01C,001C
184.firmpan,3043C1917D,35043C1917D
403.pnpreason,ARAE IN ZONE D,AREA IN ZONE D
303.nwlong,106 52 30.000,-106 52 30.000
319.selong,-106 24 22.500***,-106 24 22.500
351.pcomm,01C,001C
272.firmid,15491384_1,1549138_41
92.dfirmid,35403C,35043C
314.selong,-106 46p 52.500,-106 46 52.500
359.effdate,2008/09/2t6,2008/09/26
88.pnpreason,AREA IN ZONED ,AREA IN ZONE D
130.selat,35 1 500,35 15 00
242.dfirmid,35010C,35001C
471.nwlong,103 7 30.000,103 37 30.000
41.stfips,33,35
318.effdate,200/09/26,2008/09/26
50.dfirmid,53049C,35049C
460.dfirmid,3502C,35025C
23.sourcecit,1429057_BASE1,1526115_BASE2
141.effdate,2008/031/8,2008/03/18
169.selong,106 334 5,106 33 45
399.nwlong,103 37 3.000,103 37 30.000
293.firmpan,35001qC0090G,35001C0090G
224.pcomm,001C***,001C
100.sourcecit,1510577_SUDY2,1510577_STUDY2
399.suffix,hD,D
257.firmid,1541938_35,1549138_35
224.nwlong,-106 3w1 52.500,-106 31 52.500
252.pcomm,00o1C,001C
421.sourcecit,1555572_STUdDY1,1555572_STUDY1
39.firmid,1526115_30,1526115_10
90.effdate,2008/p03/18,2008/03/18
80.effdate,2008/60/17,2008/06/17
119.sourcecit,151057_STUDY2,1510577_STUDY2
316.selat,35 0 30.000,35 07 30.000
364.selat,5 00 00.000,35 00 00.000
342.selong,-106 5 230.000,-106 52 30.000
17.pcomm,0022,049C
300.firmid,154918_107,1549138_107
203.sourcecit,1510577_STqUDY2,1510577_STUDY2
292.pcomm,00C1,001C
70.selat,3 600 00.000,36 00 00.000
4.firmpan,3500220001D,3500220005D
358.effdate,2008/092/6,2008/09/26
197.firmid,1510577_38,1510577_83
187.effdate,2008/03/81,2008/03/18
200.firmpan,30543C0775D,35043C0775D
430.stfips,49,35
87.firmid,1510577y_77,1510577_77
33.effdate,2006/05/16,2008/06/17
48.suffix,sD,D
105.pnpreason,AREA IN jZONE D,AREA IN ZONE D
33.objectid,22451.0,40974
242.effdate,200/809/26,2008/09/26
411.dfirmid,35025uC,35025C
181.sourcecit,1510o577_STUDY2,1510577_STUDY2
209.stfips,33,35
39.objectid,40784.0,40786
130.firmpan,3043C1889D,35043C1889D
454.paneltyp,"COUNTYWIDE, PANEL PRINTElD","COUNTYWIDE, PANEL PRINTED"
101.effdate,200803/18,2008/03/18
97.pcomm,04C3,043C
260.paneltyp,"COUNTYWIDE, PANEL PRINTEzD","COUNTYWIDE, PANEL PRINTED"
135.firmid,151u0577_51,1510577_51
275.stfips,26,35
187.sourcecit,1510577_STUD2Y,1510577_STUDY2
445.pcomm,05C,025C
27.sourcecit,1429057_BASE1,1526115_BASE2
307.nwlong,-106 48 45.o000,-106 48 45.000
258.sourcecit,1549138S_TUDY5,1549138_STUDY5
92.stfips,42,35
387.pcomm,052C,025C
376.effdate,2080/12/16,2008/12/16
185.suffix,,D
314.nwlong,-106 48 450.00,-106 48 45.000
289.effdate,2008/w09/26,2008/09/26
456.selong,03 45 00.000,103 45 00.000
16.objectid,22446.0,40957
185.nwlong,107 45 00***,107 45 00
381.firmpan,35025C0605D,35025C0650D
23.pcomm,0022,049C
172.effdate,2008/0/18,2008/03/18
49.suffix,nD,D
146.dfirmid,3543C,35043C
13.pcomm,0022,049C
326.pcomm,010C,001C
139.selong,106 3 000,106 30 00
48.firmid,1526115_11,1526115_60
443.firmid,155557w2_21,1555572_21
150.pcomm,04C3,043C
33.firmid,1429057_104,1526115_45
1.firmid,1526115_14,1429057_100
275.dfirmid,5001C,35001C
21.firmid,1526115_40,1526115_33
446.suffix,iD,D
451.stfips,47,35
207.selat,35 2 230,35 22 30
2.nwlat,032 48 45.00c0,032 48 45.000
188.pnpreason,AvREA IN ZONE D,AREA IN ZONE D
354.selong,-1w06 43 07.500,-106 43 07.500
34.firmid,1526115_40,1526115_46
31.firmpan,35049C0925D,35049C0155D
437.nwlong,1c03 15 00.000,103 15 00.000
154.nwlat,35 6 52.5,35 16 52.5
150.nwlong,106 45 00***,106 45 00
296.pnpreason,ARE AIN ZONE D,AREA IN ZONE D
457.dfirmid,3z5025C,35025C
282.effdate,2008r/09/26,2008/09/26
310.sourcecit,1549138_SUDY5,1549138_STUDY5
172.nwlat,3607 30,36 07 30
67.nwlat,35 45 00.000***,35 45 00.000
398.firmid,555572_27,1555572_27
39.pnpreason,AREAc IN ZONE D,AREA IN ZONE D
320.selong,-106 31 52.50,-106 31 52.500
309.selat,35 09 2.500,35 09 22.500
459.pnpreason,AREAIN ZONE D,AREA IN ZONE D
439.effdate,2008/1216,2008/12/16
333.selong,-106 2k2 30.000,-106 22 30.000
382.nwlong,103 30 e00.000,103 30 00.000
191.dfirmid,3504C3,35043C
59.nwlong,-106 15 0.000,-106 15 00.000
249.effdate,008/09/26,2008/09/26
333.selat,3 07 30.000,35 07 30.000
226.sourcecit,1549138_STUwDY5,1549138_STUDY5
372.pcomm,d025C,025C
193.dfirmid,5043C,35043C
328.nwlong,-06 45 00.000,-106 45 00.000
18.pcomm,0022,049C
461.firmpan,3505C1075D,35025C1075D
465.pcomm,02C5,025C
315.stfips,46,35
291.pnpreason,AREA IN ZONED,AREA IN ZONE D
219.suffix,***,C
41.suffix,***,D
382.pnpreason,ARbEA IN ZONE D,AREA IN ZONE D
182.paneltyp,"COUNTYWIDEp, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
426.selat,33 0730.000,33 07 30.000
45.firmpan,3500220007D,35049C0150D
43.dfirmid,3504c9C,35049C
152.pnpreason,NO SPECIAL FLOOD HAZARD AEAS,NO SPECIAL FLOOD HAZARD AREAS
27.firmpan,35049C0750D,35049C1075D
132.sourcecit,1510577_STUYD2,1510577_STUDY2
147.firmpan,3504C1425D,35043C1425D
144.suffix,,D
137.effdate,2008/0/18,2008/03/18
450.suffix,wD,D
253.firmid,149138_46,1549138_46
97.dfirmid,53043C,35043C
359.selat,35 01 52500,35 01 52.500
468.pcomm,02C5,025C
420.dfirmid,3o5025C,35025C
56.pnpreason,AREA IrN ZONE D,AREA IN ZONE D
159.sourcecit,1510577_STUDYf2,1510577_STUDY2
248.pnpreason,REA IN ZONE D,AREA IN ZONE D
391.effdate,2008/2/16,2008/12/16
193.pnpreason,AREA tIN ZONE D,AREA IN ZONE D
195.nwlat,35 15 0p0,35 15 00
94.suffix,,D
153.sourcecit,1510577STUDY2,1510577_STUDY2
386.firmid,1555572b_44,1555572_44
263.selong,-106 33 4.000,-106 33 45.000
339.nwlong,107 00 00.000,-107 00 00.000
369.pcomm,00C1,001C
235.sourcecit,15491z38_STUDY5,1549138_STUDY5
21.firmpan,35049C0725D,35049C1050D
414.nwlong,013 45 00.000,103 45 00.000
269.selong,-106 34 07.500,-106 43 07.500
46.firmid,1429057_101,1526115_58
148.effdate,20l08/03/18,2008/03/18
5.selong,-108 16 52.500***,-108 16 52.500
22.objectid,40784.0,40963
244.selat,35 z01 52.500,35 01 52.500
224.paneltyp,"COUNTWYIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
160.sourcecit,1510577_wSTUDY2,1510577_STUDY2
460.suffix,***,D
28.suffix,***,D
164.effdate,2008m/03/18,2008/03/18
126.effdate,2008/03/n18,2008/03/18
442.selong,130 07 30.000,103 07 30.000
419.effdate,0208/12/16,2008/12/16
232.firmid,1z549138_119,1549138_119
51.pnpreason,AREA IN ZOvNE D,AREA IN ZONE D
31.suffix,fD,D
402.nwlat,3t2 07 30.000,32 07 30.000
111.firmpan,35043C135D,35043C1375D
316.effdate,208/09/26,2008/09/26
200.nwlat,35 52 0,35 52 30
26.selat,35 45 00.000***,35 45 00.000
8.sourcecit,1429057_BASE1,1526115_BASE2
425.suffix,***,D
99.pcomm,0a43C,043C
38.effdate,2006/05/16,2008/06/17
95.effdate,2008/031/8,2008/03/18
240.pcomm,001tC,001C
315.nwlong,-1063 7 30.000,-106 37 30.000
265.nwlong,-106 43 07.50,-106 43 07.500
14.effdate,2006/05/16,2008/06/17
81.suffix,,D
196.effdate,2008/03/18***,2008/03/18
218.selat,036 00 00.000***,036 00 00.000
93.dfirmid,3504x3C,35043C
188.effdate,s2008/03/18,2008/03/18
281.dfirmid,5001C,35001C
85.suffix,,D
112.pnpreason,AERA IN ZONE D,AREA IN ZONE D
350.effdate,200809/26,2008/09/26
6.suffix,,D
301.firmpan,350010C359G,35001C0359G
107.nwlong,1c07 22 30,107 22 30
106.pcomm,43C,043C
460.pnpreason,AREgA IN ZONE D,AREA IN ZONE D
208.selong,106 41 51,106 41 15
100.effdate,2008/031/8,2008/03/18
22.effdate,2006/05/16,2008/06/17
32.paneltyp,"COUNTYIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
389.firmpan,35025C0g875D,35025C0875D
138.effdate,2008/031/8,2008/03/18
83.firmpan,35y049C0526D,35049C0526D
313.sourcecit,1549138_STzUDY5,1549138_STUDY5
389.dfirmid,3502C,35025C
433.suffix,,D
111.sourcecit,1510577_mSTUDY2,1510577_STUDY2
381.selat,33 07 30.v000,33 07 30.000
121.dfirmid,35y043C,35043C
308.suffix,***,G
89.effdate,20c08/03/18,2008/03/18
131.firmpan,3043C1138D,35043C1138D
13.objectid,22451.0,40954
185.pnpreason,AREA IN ZOE D,AREA IN ZONE D
161.effdate,2v008/03/18,2008/03/18
31.pcomm,0022,049C
300.pcomm,00C1,001C
440.dfirmid,30525C,35025C
244.suffix,,G
144.selat,36 073 0,36 07 30
469.paneltyp,"CUNTYWIDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
405.selat,32 07 3.000,32 07 30.000
25.firmpan,35049C0925D,35049C0050D
320.sourcecit,1549138t_STUDY5,1549138_STUDY5
200.effdate,008/03/18,2008/03/18
64.selong,-105 5 230.000,-105 52 30.000
351.selat,35 00 00.00,35 00 00.000
433.firmid,1555i572_20,1555572_20
107.dfirmid,3504v3C,35043C
439.firmid,155y5572_9,1555572_9
204.pnpreason,AREA IN ZOE D,AREA IN ZONE D
367.paneltyp,"COUNTYWIDE, NOT PRINED","COUNTYWIDE, NOT PRINTED"
156.pnpreason,AREA IN ZOEN D,AREA IN ZONE D
243.suffix,iG,G
137.nwlat,3 15 00,36 15 00
268.firmpan,35001C0387G***,35001C0387G
313.pcomm,01C,001C
225.sourcecit,1549138_STUD5Y,1549138_STUDY5
44.firmid,1429057_104,1526115_56
409.sourcecit,155572_STUDY1,1555572_STUDY1
162.effdate,200m8/03/18,2008/03/18
411.selat,33 22 30.00,33 22 30.000
270.pnpreason,AREA IN ZONED,AREA IN ZONE D
110.suffix,nD,D
91.suffix,bD,D
39.dfirmid,350022,35049C
260.sourcecit,154938_STUDY5,1549138_STUDY5
51.selat,35 37 30.00,35 37 30.000
19.pcomm,0022,049C
348.firmid,5149138_131,1549138_131
379.stfips,46,35
115.firmpan,35043C122r5D,35043C1225D
47.firmid,1526115_14,1526115_59
39.selong,-10607 30.000,-106 07 30.000
175.selat,35 51 00,35 15 00
159.nwlat,53 37 30,35 37 30
356.selat,35 11 15.000***,35 11 15.000
22.firmid,1526115_27,1526115_34
277.suffix,***,G
3.suffix,***,D
73.suffix,bD,D
60.pcomm,09C,049C
232.pcomm,00C,001C
248.suffix,,G
142.dfirmid,3i5043C,35043C
5.firmid,1429057_101,1429057_103
467.effdate,200s8/12/16,2008/12/16
295.selong,-106 37 30.00,-106 37 30.000
324.paneltyp,"COUNTxYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
253.dfirmid,3501C,35001C
427.paneltyp,"COUNTYWIDE, NOT PRINTDE","COUNTYWIDE, NOT PRINTED"
60.stfips,30,35
127.firmid,1510577_91,1510577_19
49.effdate,2008/0c6/17,2008/06/17
8.firmid,1429057_106,1526115_20
31.objectid,22450.0,40972
196.suffix,***,D
318.suffix,xG,G
211.sourcecit,1510577STUDY2,1510577_STUDY2
118.nwlong,106q 52 30,106 52 30
133.sourcecit,1510o577_STUDY2,1510577_STUDY2
416.sourcecit,155557k2_STUDY1,1555572_STUDY1
429.dfirmid,3502C,35025C
320.paneltyp,"sCOUNTYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
40.dfirmid,350022,35049C
113.selong,10 30 00,106 30 00
376.dfirmid,35025uC,35025C
204.sourcecit,510577_STUDY2,1510577_STUDY2
312.paneltyp,"COUNTYWIDE, PANL PRINTED","COUNTYWIDE, PANEL PRINTED"
36.selong,-015 52 30.000,-105 52 30.000
196.firmpan,3504C0575D,35043C0575D
18.objectid,22447.0,40959
367.firmid,1549138_12,1549138_172
344.pcomm,001C***,001C
465.paneltyp,"COUNTYWIDE, PANEL PRITED","COUNTYWIDE, PANEL PRINTED"
355.paneltyp,"COUTNYWIDE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
236.sourcecit,1549138_SjTUDY5,1549138_STUDY5
344.nwlong,-106 43 07y.500,-106 43 07.500
290.paneltyp,"COUNTYWIE, PANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
183.dfirmid,3543C,35043C
426.suffix,***,D
30.firmpan,35049C0750D,35049C0135D
467.pnpreason,AREA INZ ONE D,AREA IN ZONE D
469.pnpreason,ARAE IN ZONE D,AREA IN ZONE D
261.firmpan,3501C0327G,35001C0327G
22.pcomm,0022,049C
137.paneltyp,"COUNTYWIDE, PANEL PRINTDE","COUNTYWIDE, PANEL PRINTED"
42.objectid,22451.0,40789
149.dfirmid,3543C,35043C
405.pnpreason,AERA IN ZONE D,AREA IN ZONE D
401.firmpan,3025C1165D,35025C1165D
151.nwlat,35 7 30,35 37 30
181.pcomm,043bC,043C
175.firmid,1510577_8h8,1510577_88
365.pnpreason,AREA INs ZONE D,AREA IN ZONE D
12.firmpan,3500220007D,35049C0825D
127.selat,35 41 5,35 41 15
375.suffix,,D
392.nwlong,130 07 30.000,103 07 30.000
157.effdate,2008/03/81,2008/03/18
41.objectid,40971.0,40788
35.objectid,22451.0,40782
284.sourcecit,1549138_STDUY5,1549138_STUDY5
42.firmpan,3500220007D,35049C0500D
337.pcomm,01C,001C
219.sourcecit,428995_BASE1,248995_BASE1
71.dfirmid,n35049C,35049C
271.selong,-106 52 3.000,-106 52 30.000
81.sourcecit,1526115_BASEj2,1526115_BASE2
287.pcomm,00l1C,001C
358.sourcecit,1549183_STUDY5,1549138_STUDY5
161.pcomm,403C,043C
11.sourcecit,1429057_BASE1,1526115_BASE2
216.nwlong,-10q6 07 30.000,-106 07 30.000
297.selong,-106 30 00.000***,-106 30 00.000
169.sourcecit,151577_STUDY2,1510577_STUDY2
315.pcomm,0d01C,001C
11.objectid,22448.0,40939
210.firmid,510577_111,1510577_111
88.suffix,,D
338.sourcecit,t1549138_STUDY5,1549138_STUDY5
108.selong,107 15 00***,107 15 00
43.effdate,2006/05/16,2008/06/17
274.pcomm,00C1,001C
449.paneltyp,"COUNTWYIDE, NOT PRINTED","COUNTYWIDE, NOT PRINTED"
198.sourcecit,15b10577_STUDY2,1510577_STUDY2
346.paneltyp,"COUNTYWIDE, ANEL PRINTED","COUNTYWIDE, PANEL PRINTED"
373.suffix,,D
463.selat,3 07 30.000,33 07 30.000
31.sourcecit,1429057_BASE1,1526115_BASE2
68.selong,-106 0000.000,-106 00 00.000
468.selong,103 3 30.000,103 37 30.000
28.pcomm,0022,049C
180.dfirmid,53043C,35043C
121.nwlat,36 0i0 00,36 00 00
181.suffix,lD,D
167.pnpreason,AREA IN ZtONE D,AREA IN ZONE D
35.effdate,2006/05/16,2008/06/17
29.objectid,22448.0,40970
24.objectid,22450.0,40965
185.firmid,1501577_49,1510577_49
14.firmpan,35049C0750D,35049C0875D
222.suffix,,C
