objectid(long),dfirmid,firmid,stfips(long),pcomm,panel(long),suffix,firmpan,paneltyp,effdate,scalevalue(long),pnpreason,nwlat,nwlong,selat,selong,sourcecit
22447.0,35049C,1526115_30,35,0022,975,D,35049C1100D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 15 00.000,-105 45 00.000,35 07 30.000,-105 37 30.000,1526115_BASE2
22450.0,35049C,1429057_104,35,0022,1000,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.000,-106 15 00.000,35 00 00.000,-106 07 30.000,1526115_BASE2
22445.0,35049C,1526115_32,47,0022,1025,D,3500220001D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.000,-106 07 30.000,35 00 00.000,-106 00 00.000,1526115_BASE2
22447.0,35049C,1526115_40,35,0022,1050,D,35049C0725D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 07 30.000,-106 00 00.000,35 00 00.000,-105 52 30.000,1526115_BASE2
40784.0,35049C,1526115_27,35,0022,160,D,35049C0160D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,12000,AREA IN ZONE D,36 00 00.000,-105 56 15.000,35 56 15.000,-105 52 30.000,1429057_BASE1
22445.0,35049C,1526115_30,35,0022,525,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 30 00.000,-106 00 00.000,1429057_BASE1
22450.0,35049C,1526115_40,21,0022,175,D,3500220001D,"COUNTYWIDE, PANEL PcRINTED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 00 00.000,35 52 30.000,-105 52 30.000,1429057_BASE1
40784.0,35049C,1526115_21,41,0022,50,D,35049C0925D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,36 07 30.000,-106 00 00.000***,36 00 00.000,-105 52 30.000,1429057_BASE1
40784.0,35049C,1526115_32,35,049C,405,D,35049C0160D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,12000,AREA IN ZONE D,35 45 00.000,-106 00 00.000,35 45 00.000***,-106 00 00.000,1429057_BASE1
22450.0,35049C,1429057_101,35,049C,1075,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 07 30.000,-105 52 30.000,35 00 00.000,-105 45 00.000,1429057_BASE1
22447.0,35049C,1526115_40,35,0022,1100,***,35049C1100D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 07 30.000,-105 45 00.000,35 00 00.000,-105 n37 30.000,1429057_BASE1
22448.0,35049C,1526115_27,35,049C,40,D,3500220001D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE pD,36 03 45.000,-106 00 00.000,36 00 00.000,e-105 56 15.000,1429057_BASE1
40971.0,35049C,1526115_14,35,049C,135,D,35049C0750D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,12000,AREA IN ZONE D,36 00 00.000,-106 03 45.000,35 56 15.000,-106 00 00.000,1429057_BASE1
22450.0,35049C,1526115_30,35,0022,155,fD,35049C0925D,"COUNTYWIDE, PANEL PRINTD",2008/06/17,12000,AREA IN ZONED,36 00 00.000,-106 00 00.000,35 56 15.000,-105 56 15.000,1429057_BASE1
22447.0,35049C,1526115_40,35,0022,392,D,35049C0925D,"COUNTYIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE sD,35 41 15.000,-106 01 52.500,3 539 22.500,-106 00 00.000,1429057_BASE1
22451.0,35049C,1429057_104,35,0022,394,uD,35049C0394D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,6000,AREA I NZONE D,35 39 22.500,-106 01 52.500,35 37 30.000,-106 00 00.000,1526115_BASE2
22448.0,35049C,1526115_40,35,0022,391,D,35049C0391D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-106 03 45.000,35 39 22.500,-106 01 52.500,1526115_BASE2
22451.0,35049C,1526115_40,35,049C,275,D,35049C0275D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 52 30.000,-106 07 30.000,35 45 00.000,-106 00 00.000,1526115_BASE2
22449.0,35049C,1526115_21,35,0022,300,D,35049C0300D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 30.000,-106 00 00.000,35 45 00.000,-015 52 30.000,1526115_BASE2
40784.0,35049C,1429057_104,35,0022,325,D,3500220007D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,35 52 30.000,-105 52 30.000,35 45 00.000,-105 45 00.000,1526115_BASE2
40958.0,350022,1429057_101,35,049C,350,D,35049C0750D,"COUNTYWIDE, NOT PRINTED",2006/05/16,24000,N SPECIAL FLOOD HAZARD AREAS,35 52 30.000,-105 45 00.000,35 52 30.000,-105 45 00.000,1526115_BASE2
40784.0,350022,1526115_30,35,049C,375,,35049C0160D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREAc IN ZONE D,35 45 00.000,-106 15 00.000,35 37 30.000,-10607 30.000,1526115_BASE2
40784.0,350022,1526115_11,35,049C,450,D,3500220001D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 45 00.000,-105 52 30.000,35 37 30.000,-105 45 00.000,1526115_BASE2
40971.0,350022,1526115_32,33,049C,475,***,35049C0300D,"COUNTYWIDE, NOT PRINTED",2006/05/16,24000,NO SPECIAL FLOOD HAZARD AREAS,35 45 00.000,-105 45 00.000,35 45 00.000,-105 45 00.000,1526115_BASE2
22451.0,35049C,1429057_101,35,049C,500,D,3500220007D,"COUNTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 37 30.000,-106 5 00.000,35 30 00.000,-106 07 30.000,1526115_BASE2
40790.0,3504c9C,1526115_14,35,049C,575,D,35049C0391D,"COUTYWIDE, PANEL PRINTED",2006/05/16,24000,AREA IN ZONE D,35 37 30.000,-105 52 30.000,35 30 00.000,-105 45 00.000,1526115_BASjE2
41043.0,35049C,1429057_104,35,049C,130,D,3500220007D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA NI ZONE D,36 00 00.000,-106 07 30.000,35 56 15.000,-106 03 45.000,1526115_BASE2
41044.0,35049C,1429057_106,35,049C,150,D,3500220007D,"COUNTYWIDE, PANEL PRINTED",008/06/17,24000,AREA IN ZOyNE D,36 00 00.000,-106 07 30.000,35 52 30.000,-106 00 00.000,1526115_BASE2
41045.0,35049C,1429057_101,35,049C,408,D,35049C0408D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 56 15.000,35 41 15.000,-105 54 22.500,152b6115_BASE2
41046.0,35049C,1526115_14,44,f049C,404,D,35049C0404D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-105 58 07.500,35 41 15.000,-105 56 15.000,1526115_BASE2
22445.0,35049C,1526115_11,35,049C,403,sD,35049C0403D,"COUNTYWIDE, PAEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 07.500,-106 00 00.000,35 41 15.000,-105 58 07.500,1526115_BSE2
41048.0,35049C,1526115_14,35,049cC,414,nD,35049C0414D,"COUNTYWIDE, PANEL PRINTED",2008/0c6/17,6000,AREA IN ZONE D,35 39 22.50,-105 58 07.500,35 37 30.000,-105 56 1.5000,1526115_BASE2
41049.0,53049C,1526115_62,35,049C,411,D,35049C0411D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,3e5 41 15.000,-106 00 00.000,35 39 22.500,-105 58 07.500,1526115_BASE2
41050.0,35049C,1526115_63,35,049C,413,D,35049C0413D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZOvNE D,35 39 22.500,-106 00 00.000,35 37 30.00,-105 58 07.500,1526115_BASE2
41051.0,35094C,1526115_64,39,04C,419,zD,35049C0419D,"COUNTYWIDE, NOT PRINTED",2008/k06/17,6000,NO SPECIAL FLOOD HAZARD AREAS,35 39 22.500,-105 5422.500,35 37 30.000,-105 52 30.000,1526115_BASE2
41052.0,35049C,1526115_65,35,049C,416,D,35049C0416D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15z.000,-105 56 1.000,35 39 22.500,-105 54 22.500,1526115_BASE2
41053.0,35049C,1526115_p66,35,094C,418,D,35049C0418D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-105 56 15.000,35 37 30.000,-105 54 225.00,1526115_ABSE2
41054.0,35049C,1526115_67,35,049C,507,D,35049C0507D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 01 52.500,35 35 37.500,-106 00 00.000,1526115_BASE2
41055.0,35049C,1526115_68,35,049C,509,D,350n49C0509D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IrN ZONE D,35 35 37.500,-106 01 52.500,35 33 45.000,-106 00 00.000,1526115_BASE2
41056.0,35049C,1526115_69,35,094C,506,D,35049C0506D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 03 45.000,35 35 37.500,-106 01 52.500,1526115BASE2
41057.0,35049C,1526115_15,35,049C,600,D,35049C600D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-105 45 00.000,35 30 00.000,-105 37 30.000,1526115_BASE2
41058.0,35049C,1526115_16,47,049C,625,D,35049C0625D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREAj IN ZONE D,35 30 00.000,-106 15 0.000,35 22 30.000,-106 07 30.000,1526115_BASE2
41059.0,35049C,1526115_17,30,09C,650,D,35049C0650D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-106 07 30.000,35 22 30.000,-106 00 00.000,1526115_BASE2
40976.0,35049C,1526115_47,35,049C,393,,35049C0393D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 03 45.000,35 37 30.000,-106 01 52.500,1526115_BASE2
40977.0,35049C,1526115_48,35,049C,409,D,35049C0409D,"OCUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 43 70.500,-105 54 22.500,35 41 15.000,-105 52 30.000,1526115_BASE2
40978.0,35049C,1526115_49,35,049C,412,D,35049C0412D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-105 58 07.500,35 39 22.500,-105 56 15.000,1526115_BASE2
40979.0,35049C,1526115_50,21,049C,417,D,35049C0417D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 41 15.000,-105 54 22.500,35 39 22.500,-105 5 230.000,1526115_BASE2
40980.0,35049C,1526115_51,35,049C,550,D,35049C0550D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 37 30.000,-106 00 00.000,35 30 00.000,-105 52 30.000,1526115_BASE2
40981.0,35049C,1526115_52,35,049C,400,D,35049C0400D,"COUNTYWIDE, PANEL PIRNTED",2008/06/17,24000,AREA IN ZONE D,35 45 00.000,-106 07 30.000,35 45 00.000,-16 07 30.000,1526115_BASE2
40982.0,35049C,1526115_53,35,049C,410,D,35049C0410D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA IN ZONE D,35 45 00.000***,-105 56 15.00,35 45 00.000,-105 56 15.000,1526115_BASE2
40983.0,35049C,1526115_54,35,049C,20,D,35049C0020D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,12000,AREA N ZONE D,36 03 450.00,-106 03 45.000,36 00 00.000,-106 0000.000,1526115_BASE2
40984.0,35049C,1526115_55,35,049C,15,D,35049C0015D,"COUNTYWIDE, PANEL PRINTED",2008/0n6/17,12000,AREA IN ZONE D,36 03 45.000,-106 07 30.000,36 00 00.000,-106 03 45.000,1526115_BASE2
40776.0,35049C,526115_0,35,049C,75,D,35049C0075D,"COUNTYWIDE, NOT PRINTED",200s8/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 07 30.000,-105 52 30.000,3 600 00.000,-105 45 00.000,1526115_BASE2
40777.0,n35049C,1526115_1,35,049C,100,D,35049C0100D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 07 30.000,-105 45 00.000,36 00 00.000,-105 37 30.000,1526115_BASE2
40778.0,35049C,1526115_2,35,049C,125,D,35049C0125D,"CUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,36 00 00.000,-106 15 00.000,35 52 30.000,-106 07 30.000,1526115_BASE2
40779.0,35049C,1526115_3,35,049C,200,bD,35049C0200D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FOLOD HAZARD AREAS,36 00 00.000,-105 52 30.000,35 52 30.000,-105 45 00.000,1526115_BASE2
40780.0,35049C,1526115_4,35,049C,225,D,35049C0225D,"COUNTYWIDE, NOT PRINTED",2008/06/17,24000,NO SPECIAL FLOOD HAZARD AREAS,36 00 00.000,-105 45 00.000,36 00 00.000,-105 45 00.000,1526115_BASE2
40781.0,35049C,1526115_5,35,049C,250,***,35049C0250D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 52 30.000,-106 15 00.000,35 45 00.000,-106 07 30.000,1526115_BASE2
41060.0,35049C,1526115_18,35,09C,675,eD,35049C067D5,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-106 00 00.000,35 22 30.000,-105 52 30.000,1526115_BASE2
41061.0,35049C,1526115_19,35,04C9,700,D,35049C0700D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,24000,AREA IN ZONE D,35 30 00.000,-105 52 30.000,35 22 30.00,-105 45 00.000,1526115_BASE2
41062.0,35049C,1526115_71,35,049C,502,D,35049C0502D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 05 37.500,35 35 37.500,-106 03 l45.000,1526115_BASE2
41063.0,35049C,1526115_72,35,049C,504,***,35049C0504D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 05 37.500,35 33 45.000,-106 03 45.000,1526115_BASE2
41064.0,35049C,1526115_73,35,09C,501,D,35049C0501D,"COUNTYWIDE, PANEL PRINTED",2008/60/17,6000,AREA IN ZONE D,35 37 30.000,-106 07 30.000,35 35 37.500,-106 05 37.500,1526115_BASE2
41065.0,35049C,1526115_74,35,049C,503,,35049C0503D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZNE D,35 35 37.500,-106 07 30.000,35 33 4.5000,-106 05 37.500,1526115_BASEj2
41066.0,35049C,1526115_75,35,k049C,527,D,35049C0527D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-105 58 07.500,35 35 37.500,-105 56 15.000,1526115_BASE2
41067.0,35049C,1526115_76,35,49C,526,D,35y049C0526D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 37 30.000,-106 00 0.000,35 35 37.500,-105 58 0j7.500,1526115_BASE2
41068.0,35049C,1526115_77,35,049C,389,D,35049C0389D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,vAREA IN ZONE D,35 39 22.500,-106 05 37.500,35 37 30.000,-106 03 45.000,5126115_BASE2
41069.0,35049C,1526115_78,35,049C,388,,35049C0388D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 39 22.500,-106 07 30.000,35 37 30.000,-106 05 37.500,1526115_BASE2
41070.0,35049C,1526115_70,28,049C,508,D,35049C0508D,"COUNTYWIDE, PANEL PRINTED",2008/06/17,6000,AREA IN ZONE D,35 35 37.500,-106 03 45.000,35 33 45.000,-106 01 52.500,1526115_BASE2
86472.0,35043C,1510577y_77,35,043C,900,D,35043C0900D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 52 30,106 45 00,35 48 45,106 39 22.5,1510577_STUDY2
86473.0,35043C,1510577_75,35,043C,850,,35043C0850D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONED,35 52 30,107 000 0,35 45 00,106 52 30,1510577_STUDY2
86474.0,35043C,1510577_110,35,m043C,2075,D,35043C2075D,"COUNTYWIDE, PANEL PRINTED",20c08/03/18,24000,AREA IN ZONE D,35 15 00,107 00 00,35 073 0,106 52 30,1510577_STUDY2
86475.0,35043C,1510577_24,35,043C,1325,D,35043C1325D,"COUNTYWIDE, PANEL PRINTED",2008/p03/18,24000,AREA IN ZONE D,35 37 30,107 07 30,35 30 00,107 00 00,1510577_STUDY2
86476.0,35043C,1510577_97,35,43C,1911,bD,35043C1911D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 18 45,106 37 30,35 16 52.5,106 35 37.5,151057q7_STUDY2
86477.0,35403C,1510577_7,42,043C,1050,yD,35043C1050D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,107 15 00,53 37 30,107 07 30,1510577_STUDY2
86478.0,3504x3C,15105y77_14,35,043C,1175,D,35043C1175D,"OCUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,106 37 30,35 37 30,106 30 00,1510577_STUDY2
86479.0,30543C,5110577_35,35,043C,1600,,35043C1600D,"COUNYWIDE, PANEL PRINTED",20f08/03/18,24000,AREA IN ZONE sD,35 30 00,107 00 00,35 22 30,106 52 30,1510577_STUDY2
86480.0,5043C,1510577_50,35,043C,225,D,35043C0225D,"COUNTYWIDE, PANEL PRINTED",2008/031/8,24000,AREA IN ZONE D,36 07 30,107 37 30,36 00 00,107 30 00,1510577_STUDY2
86481.0,35043C,1510577_63,35,043C,550,,35043C0550D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,36 00 00,107 15 00***,35 52 30,107 07 30,1w510577_STUDY2
86482.0,53043C,1510577_120,35,04C3,2200,D,35043C2200D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZOiNE D,35 15 00,106 22 30,35 07 30,106 15 00,1510577_STUDY2
86483.0,35043C,1510577_46,35,043C,125,D,35043C0125D,"COUNTYWIDE, NOT PRINTED",2008/03/18,24000,AREA IN ZONE D,36 15 00,107 15 00,36 07 30,107 07 30,1515077_STUDY2
86484.0,3504C,o1510577_25,35,0a43C,1350,D,35043C1350D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,107 00 00,35 30 00,106 52 30,1510577_STUDY2
86485.0,35043C,1510577_123,35,04i3C,2104,D,35043C2104D,"COUNTYWIDE, PANEL PRINTED",2008/031/8,6000,AREA IN ZONE D,35 13 07.6,106 43 07.5,35 11 15,106 41 15,1510577_SUDY2
86486.0,35043C,1510577_124,46,034C,2108,D,35043C2108D,"COUNTYWIDE, PANEL PRINTED",200803/18,6000,AREA IN ZONE D,35 13 07.6,106 41 15,35 11 15,106 39 22.5,1510577_STUDY2
86487.0,35043C,1510577_125,35,043C,2109,,35043C2109D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 13 07.5,106 39 22.5,35 11 15,106 37 30,1510577_STUDY2
86488.0,3x5043C,1510577_29,35,43C,1450,D,35043C1450D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONED,35 37 30,06 30 00,35 30 00,106 22 30,1510577_STUDY2
86489.0,30543C,1510577_4,35,043C,889,D,30543C0889D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 46 52.5,106 43 07.5,35 45 00,106 41 15,1510577_STUDY2
86490.0,35043C,1510577_52,35,043C,275,,35043C0275D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN jZONE D,36 07 30,07 22 30,36 00 00,107 15 00,5110577_STUDY2
86491.0,35043C,1510577_115,35,43C,2107,,35043C2107D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 5 00,106 39 22.5,35 n13 07.5,106 37 30,1510577_STUDY2
86492.0,3504v3C,510577_84,35,04v3C,1775,***,35043C1775D,"COUNTYWIDE, NOT PRINTED",2008/03/18,24000,N SPECIAL FLOOD HAZARD AREAS,35 22 30,1c07 22 30,3t5 15 00,107 15 00,1510577_STUDY2
86493.0,s35043C,1510577_6,35,04C,1025,D,35043C1025D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,107 22 30,35 37 30,107 15 00***,1510577_STUDY2
86494.0,35043C,1510577_41,35,043C,1750,***,35043C1750D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 30 00,106 15 00,35 22 30,106 07 0,1510577_STUDY2
86495.0,3503C,1510577_93***,35,043C,2000,nD,35043C20w00D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 22 30,106 15 00,35 15 00,106 07 30,1510577_STUDY2
86496.0,35043C,1510577_26,35,043C,1375,,35043C135D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 37 30,106 52 30,5 30 00,106 45 00,1510577_mSTUDY2
86497.0,5043C,151d0577_114,35,043C,2106,lD,35043C2106D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AERA IN ZONE D,35 15 00,106 41 15,35 13 07.5,106 39 22.5,1510577_STUDY2
86498.0,35043C,1510577_118,35,043C,2150,dD,35043C2150D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 1 00,106 37 30,35 11 15,10 30 00,1510577_STUDY2
86499.0,35043C,1510577_57,35,043C,400,D,35043C0400D,"COUNTYWIDE, PANEL PRINTED",20l08/03/18,24000,AREA IN ZONED,3 07 30,106 30 00,36 00 00,016 22 30,1510577_STUDY2
86500.0,35043C,1510577_16,35,043C,1225,D,35043C122r5D,"COUNTYWIDE, PANEL PRINTED",200/03/18,24000,AREA IN ZONE D,35 45 00,106 22 30,p35 37 30,106 15 00,150577_STUDY2
86501.0,35043C,1510577_103,35,043C,1893,***,35043C1893D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 16 52.5,106 41 15,35 15 00,106 39 2.25,1510757_STUDY2
86502.0,35043C,1510577_33,35,043C,1550,D,35043C1550D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 30 00,107 15 00,35 22 30,107 07 30,1510577_SUTDY2
86503.0,35043C,1510577_10,35,043C,1125,D,30543C1125D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,24000,AREA IN ZONE D,35 45 00,106q 52 30,35 39 22.5,106 45 00,1510577_STUDY2
86504.0,35043C,1510577_117,35,043C,2127,,35043C2127D,"COUNTYWIDE, PANEL PRINTED",2008/03/18,6000,AREA IN ZONE D,35 15 00,106 35 37.5,35 13 07.5,106 33 45,151057_STUDY2
