628.statecounty,IA_O'rien,IA_O'Brien
2562.statevalue,N,TN
269.statefips,74,8
2937.fipstwo,f51016,f51061
1696.statevalue,CN,NC
2010.fipstwo,f36l037,f36037
474.fipstwo,13165,f13165
430.countytwo,Coewta ,Coweta 
354.county,Homles ,Holmes 
1210.countytwo,Harfordg ,Harford 
236.fips,2130.0,6089
1763.fipstwo,f3y7197,f37197
218.statecounty,AL_Barbour,CA_Monterey
151.statecounty,AK_Anchorage Municipality,AR_Pike
2587.countytwo,Putna m,Putnam 
2540.statevalue,TmN,TN
108.statecounty,AZ_Yuma,AR_Cleburne
2657.fipstwo,f48901,f48091
3215.countytwo,Cambpell ,Campbell 
2650.statecounty,T_Clay,TX_Clay
365.county,Mantee ,Manatee 
212.county,Anchorage Municipality,Marin 
216.statecounty,AK_Aleutians East Borough,CA_Modoc
219.statefips,9,6
232.fips,2170.0,6081
143.fips,2016.0,5093
1213.statecounty,MD_Montgoxmery,MD_Montgomery
133.fips,2016.0,5073
329.statecounty,FL_Bradfobrd,FL_Bradford
2310.countytwo,Soemrset ,Somerset 
156.statecounty,AL_Chilton,AR_Pulaski
1603.statevalue,SM,MS
2760.statevalue,X,TX
254.statefips,107,8
1042.fipstwo,f21l085,f21085
312.statefips,43,8
99.statecounty,AK_Southeast Fairbanks Census Area,AR_Baxter
3216.countytwo,Carbno ,Carbon 
87.fips,2050.0,1117
110.fipstwo,f01063,f05027
175.county,Aleutians West Census Area,Swains Island
109.fips,5033.0,5025
75.county,Bristol Bay Borough,Marengo 
317.fipstwo,f090c07,f09007
171.fips,2020.0,5149
1419.countytwo,Buter ,Butler 
52.statevalue,fAL,AL
67.fipstwo,f02068,f01075
17.fips,2016.0,2180
84.statecounty,AR_Washington,AL_Pike
2769.county,Matagodra ,Matagorda 
2286.statecounty,PAl_Indiana,PA_Indiana
2184.county,ove ,Love 
171.statevalue,AfR,AR
1464.county,Lincon ,Lincoln 
125.statevalue,cAR,AR
2291.statevalue,rPA,PA
144.fipstwo,f02060,f05095
372.statecounty,FL_Onkeechobee,FL_Okeechobee
29.fips,2050.0,2290
1536.statecounty,MS_Choctwa,MS_Choctaw
1497.county,Renolds ,Reynolds 
1032.statevalue,Y,KY
1806.statevalue,DN,ND
757.statevalue,IsL,IL
1340.fipstwo,fs27039,f27039
2333.statevalue,R,PR
2119.statecounty,OHP_ike,OH_Pike
1924.countytwo,Caden ,Camden 
980.fipstwo,f2171,f20171
879.statecounty,IN_Sullivan***,IN_Sullivan
2830.statevalue,uTX,TX
243.fipstwo,f02013,f06103
2485.statevalue,D,SD
495.county,Motngomery ,Montgomery 
1728.countytwo,Neash ,Nash 
390.statevalue,L,FL
103.fips,2090.0,5013
70.fipstwo,f02020,f01081
1424.countytwo,Carroll ***,Carroll 
1735.countytwo,Pevnder ,Pender 
92.county,Anchorage Municipality,Tuscaloosa 
2343.statecounty,PR_Coamo Municiio,PR_Coamo Municipio
117.fips,2188.0,5041
131.statecounty,AK_Bristol Bay Borough,AR_Jefferson
1795.county,ountrail ,Mountrail 
2232.statecounty,OR_HoodR iver,OR_Hood River
2029.statevalue,Y,NY
508.statevalue,A,GA
705.statevalue,LI,IL
184.fips,5077.0,4013
401.county,BenH ill ,Ben Hill 
1633.countytwo,Lewifs and Clark ,Lewis and Clark 
2713.fipstwo,fd48203,f48203
65.fips,1005.0,1071
231.statefips,29,6
174.statecounty,AL_Perry,AS_Rose Island
2408.fipstwo,f4007,f45007
206.statefips,27,6
360.county,eLe ,Lee 
529.statecounty,GA_Tit,GA_Tift
1082.statecounty,Y_Menifee,KY_Menifee
188.fips,2016.0,4021
1992.statecounty,NY_Albnay,NY_Albany
196.fips,2090.0,6009
18.county,Bristol Bay Borough,North Slope Borough
1828.statevalue,E,NE
1017.county,Calldoway ,Calloway 
266.statecounty,C_ODenver,CO_Denver
121.statecounty,AL_Talladega,AR_Fulton
18.fips,2100.0,2185
1296.county,Motcalm ,Montcalm 
37.statecounty,AK_Fairbanks North Star Borough,AL_Calhoun
2047.county,lster ,Ulster 
180.statevalue,Z,AZ
185.county,Anchorage Municipality,Mohave 
297.county,dPark ,Park 
2876.statevalue,zUT,UT
260.fipstwo,f02050,f08019
59.fips,2188.0,1059
1911.county,Belknapg ,Belknap 
2281.county,Foorest ,Forest 
187.statevalue,ZA,AZ
218.fips,2016.0,6053
42.fipstwo,f02170,f01025
638.county,Sc ,Sac 
2349.statevalue,R,PR
2652.statecounty,TnX_Coke,TX_Coke
228.fipstwo,f04017,f06073
80.fipstwo,f02090,f01101
185.statevalue,ZA,AZ
720.countytwo,DeKlb ,DeKalb 
1698.county,Forsyfth ,Forsyth 
2363.county,Lares Municpio,Lares Municipio
1686.county,Cla y,Clay 
1181.statevalue,LjA,LA
2519.countytwo,Bento ,Benton 
201.fipstwo,f02100,f06019
204.statefips,54,6
2460.statecounty,SDC_ampbell,SD_Campbell
1372.county,Niocllet ,Nicollet 
3088.county,Barro n,Barron 
2039.countytwo,Scuyler ,Schuyler 
1184.countytwo,Barnstabdle ,Barnstable 
820.statevalue,NI,IN
248.statefips,24,6
112.statecounty,AR_Dallas,AR_Craighead
1552.county,Holme ,Holmes 
2902.statecounty,V_AAppomattox,VA_Appomattox
2447.statevalue,C,SC
2677.fipstwo,f4811,f48131
74.fipstwo,f02016,f01089
337.statecounty,LF_Columbia,FL_Columbia
2835.statecounty,TX_Throckmortno,TX_Throckmorton
121.fips,1007.0,5049
63.fips,2164.0,1067
2091.countytwo,Holmbes ,Holmes 
853.countytwo,Mratin ,Martin 
101.statecounty,AK_Dillingham Census Area,AR_Boone
543.fipstwo,13305,f13305
246.statefips,12,6
115.statevalue,RA,AR
218.fipstwo,f02220,f06053
89.statecounty,CA_Mendocino,AL_Sumter
1706.statecounty,NCHalifax,NC_Halifax
2671.statevalue,XT,TX
225.statefips,58,6
3180.fipstwo,f54405,f54045
1966.statevalue,MN,NM
2351.statecounty,wPR_Guayama Municipio,PR_Guayama Municipio
875.countytwo,Spence r,Spencer 
2763.statevalue,TkX,TX
211.fipstwo,f02261,f06039
2162.statevalue,K,OK
1228.fipstwo,f2013,f23013
811.countytwo,Css ,Cass 
2867.countytwo,yBeaver ,Beaver 
2472.countytwo,Edmundsk ,Edmunds 
1250.countytwo,Calnhoun ,Calhoun 
141.fips,2050.0,5089
20.fips,2122.0,2195
404.statecounty,GA_leckley,GA_Bleckley
1148.statecounty,LA_Lafaette,LA_Lafayette
735.fipstwo,f17j069,f17069
40.fips,2105.0,1021
198.fips,2110.0,6013
2374.countytwo,Naguabo Municipvio,Naguabo Municipio
716.fipstwo,1f7031,f17031
1022.countytwo,Calsey ,Casey 
201.fips,1017.0,6019
140.fips,2105.0,5087
992.statecounty,KS_Treog,KS_Trego
1054.countytwo,Jackon ,Jackson 
1030.statevalue,KcY,KY
165.fipstwo,f01011,f05137
1877.statecounty,NE_McPuherson,NE_McPherson
2491.statevalue,DS,SD
2014.fipstwo,f3b6045,f36045
1789.statevalue,NsD,ND
1976.statecounty,NV_Churhcill,NV_Churchill
12.fipstwo,f02100,f02122
13.statecounty,AK_Bethel Census Area,AK_Ketchikan Gateway Borough
120.fipstwo,f02050,f05047
59.statefips,2.0,1
1653.countytwo,Sankders ,Sanders 
2106.statecounty,OH_nMeigs,OH_Meigs
16.statecounty,AK_Fairbanks North Star Borough,AK_Matanuska-Susitna Borough
249.statecounty,AZ_Yuma,CA_Yuba
3055.countytwo,Douglasw ,Douglas 
539.statecounty,A_Walton,GA_Walton
150.fips,2100.0,5107
121.fipstwo,f01063,f05049
2486.statecounty,SD_Jeruld,SD_Jerauld
1400.county,Wzadena ,Wadena 
1276.statevalue,oMI,MI
2662.statecounty,TX_Cottle***,TX_Cottle
2366.fipstwo,f7h2087,f72087
2200.statecounty,K_Pawnee,OK_Pawnee
2434.fipstwo,f4o5059,f45059
113.statevalue,R,AR
974.statecounty,KS_aRice,KS_Rice
3164.countytwo,Calhcoun ,Calhoun 
225.fips,6039.0,6067
140.statecounty,AL_Colbert,AR_Madison
254.statecounty,AK_Fairbanks North Star Borough,CO_Baca
135.fipstwo,f05007,f05077
195.fips,2100.0,6007
1522.fipstwo,f292b29,f29229
1683.countytwo,Chtaham ,Chatham 
2517.countytwo,Andersonz ,Anderson 
65.statefips,2.0,1
134.statevalue,RA,AR
220.fipstwo,f01099,f06057
670.county,Cnayon ,Canyon 
1590.statecounty,qMS_Simpson,MS_Simpson
280.statefips,53,8
78.statefips,2.0,1
1965.countytwo,Sano Juan ,San Juan 
589.fipstwo,f1963,f19063
1677.statevalue,oNC,NC
670.fipstwo,f160l27,f16027
2791.statecounty,TtX_Oldham,TX_Oldham
242.statecounty,AK_Haines Borough,CA_Sutter
31.statecounty,AK_Aleutians West Census Area,AL_Baldwin
2603.statevalue,NT,TN
2151.countytwo,Cartser ,Carter 
123.fips,2016.0,5053
1372.statevalue,MvN,MN
1084.county,Mecalfe ,Metcalfe 
307.statefips,61,8
417.statecounty,GA_Chabtham,GA_Chatham
250.statecounty,AZ_Yuma,CO_Adams
979.fipstwo,f201w69,f20169
2214.county,Wagoenr ,Wagoner 
906.statevalue,S,KS
3143.statecounty,WkI_Shawano,WI_Shawano
217.fipstwo,f02050,f06051
1299.fipstwo,f2123,f26123
2627.countytwo,Blacno ,Blanco 
1428.statevalue,OM,MO
1232.statecounty,ME_Piscataqkuis,ME_Piscataquis
234.statecounty,AZ_Yuma,CA_Santa Clara
887.countytwo,Wbash ,Wabash 
311.statefips,48,8
264.fipstwo,f02060,f08027
136.statecounty,AL_Conecuh,AR_Lincoln
1833.statecounty,NE_hCerry,NE_Cherry
1549.statecounty,MSH_ancock,MS_Hancock
17.county,Dillingham Census Area,Nome Census Area
97.fips,1069.0,5001
3127.county,Monkroe ,Monroe 
1707.county,Harnet t,Harnett 
1921.statevalue,NvJ,NJ
116.fipstwo,f02100,f05039
40.county,Hoonah-Angoon Census Area,Chilton 
153.statecounty,AK_Fairbanks North Star Borough,AR_Polk
608.countytwo,Jeffqerson ,Jefferson 
662.statevalue,DI,ID
104.statefips,2.0,5
1761.statecounty,NC_Wildkes,NC_Wilkes
71.statefips,2.0,1
182.fips,2050.0,4011
2818.statevalue,XT,TX
583.statecounty,IA_Dais,IA_Davis
2475.county,Gant ,Grant 
1221.fipstwo,fb24047,f24047
105.fips,2013.0,5017
373.county,range ,Orange 
55.fipstwo,f01043,f01051
252.statecounty,AK_Hoonah-Angoon Census Area,CO_Arapahoe
2987.statecounty,VA_Odrange,VA_Orange
201.county,Fairbanks North Star Borough,Fresno 
230.fips,2164.0,6077
165.statecounty,AK_Aleutians East Borough,AR_Stone
14.fips,2100.0,2150
1128.fipstwo,f220w17,f22017
73.county,Kenai Peninsula Borough,Macon 
310.statefips,24,8
137.fipstwo,f02105,f05081
708.countytwo,Crroll ,Carroll 
292.countytwo,Monezuma ,Montezuma 
151.fipstwo,f01015,f05109
767.statevalue,L,IL
138.fipstwo,f06023,f05083
1437.statevalue,tMO,MO
93.fipstwo,f02220,f01127
133.statevalue,nAR,AR
183.statevalue,Z,AZ
2488.fipstwo,f40677,f46077
118.statevalue,RA,AR
2162.countytwo,Delawar e,Delaware 
24.fips,2020.0,2240
172.fipstwo,f01029,f60010
43.fipstwo,f02090,f01027
99.fips,1023.0,5005
3194.countytwo,Plenasants ,Pleasants 
237.statecounty,AK_Aleutians East Borough,CA_Sierra
188.statevalue,wAZ,AZ
2674.fipstwo,f84125,f48125
115.county,Juneau City and Borough,Cross 
2085.statevalue,HO,OH
75.statefips,2.0,1
2639.countytwo,Caldewll ,Caldwell 
2692.countytwo,Frweestone ,Freestone 
518.statevalue,sGA,GA
1293.county,Midlaknd ,Midland 
164.fips,2016.0,5123
229.statefips,22,6
33.statefips,2.0,1
21.fips,2090.0,2198
2815.statevalue,sTX,TX
88.statefips,2.0,1
3069.countytwo,ason ,Mason 
768.statevalue,IoL,IL
110.statefips,2.0,5
1725.county,Mtchell ,Mitchell 
2640.statevalue,TxX,TX
872.fipstwo,f11839,f18139
103.statecounty,AL_Mobile,AR_Calhoun
2097.statecounty,OH_oLawrence,OH_Lawrence
110.statecounty,AL_Geneva,AR_Columbia
154.fipstwo,f02016,f05115
2829.statecounty,TX_Stton,TX_Sutton
2973.statevalue,AV,VA
55.fips,2122.0,1051
1869.statecounty,E_Keya Paha,NE_Keya Paha
640.fipstwo,fd19165,f19165
3017.statecounty,V_ASurry,VA_Surry
2967.statevalue,rVA,VA
686.statecounty,IDL_emhi,ID_Lemhi
23.fipstwo,f02060,f02230
817.statevalue,NI,IN
2665.statecounty,TX_mCrosby,TX_Crosby
90.statefips,2.0,1
210.statefips,81,6
193.fips,2013.0,6003
2638.county,urnet ,Burnet 
2588.countytwo,hea ,Rhea 
2779.county,Mitchel l,Mitchell 
153.fips,2013.0,5113
56.statefips,2.0,1
232.statefips,55,6
454.county,Glacock ,Glascock 
170.fips,2105.0,5147
108.statefips,2.0,5
158.fipstwo,f02100,f05125
1400.statevalue,NM,MN
163.statecounty,AL_Cleburne,AR_Sharp
5.fips,2050.0,2060
137.county,Kodiak Island Borough,Little River 
51.fips,2050.0,1043
1517.statecounty,MO_Warruen,MO_Warren
2473.county,Fall iRver ,Fall River 
123.fipstwo,f02100,f05053
266.statevalue,OC,CO
247.statefips,13,6
308.statecounty,CO_Sedgwik,CO_Sedgwick
1219.statecounty,MD_Washinigton,MD_Washington
3051.statevalue,AW,WA
1611.statecounty,MT_uBlaine,MT_Blaine
161.fips,2020.0,5131
112.fipstwo,f02240,f05031
451.fipstwo,f31119,f13119
917.countytwo,Dogulas ,Douglas 
2948.statevalue,dVA,VA
872.statecounty,IN_Ruh,IN_Rush
1366.statecounty,MN_MscLeod,MN_McLeod
1055.statecounty,KY_Jefferosn,KY_Jefferson
58.fips,1023.0,1057
42.statecounty,AK_Anchorage Municipality,AL_Clarke
1054.statecounty,KY_Jckson,KY_Jackson
76.fipstwo,f02110,f01093
159.statecounty,AK_Denali Borough,AR_Scott
71.county,Dillingham Census Area,Limestone 
236.countytwo,Shaspta ,Shasta 
2663.statevalue,eTX,TX
1413.fipstwo,f29u011,f29011
1593.county,Sunfilower ,Sunflower 
1260.fipstwo,f2645,f26045
195.fipstwo,f02150,f06007
2906.countytwo,oBedford ,Bedford 
1364.countytwo,Marshlal ,Marshall 
2229.statevalue,R,OR
1826.countytwo,Borwn ,Brown 
1851.statevalue,E,NE
64.statecounty,AL_Barbour,AL_Houston
2668.statevalue,X,TX
2675.statecounty,TX_Dimit,TX_Dimmit
2578.statecounty,TN_yMonroe,TN_Monroe
723.fipstwo,17045,f17045
164.statevalue,AeR,AR
2097.statevalue,HO,OH
2808.fipstwo,f483e93,f48393
210.fips,1019.0,6037
60.fips,2016.0,1061
208.fipstwo,f02180,f06033
81.fipstwo,f02020,f01103
750.county,LaSlle ,LaSalle 
181.fipstwo,f01015,f04009
952.countytwo,Marsnhall ,Marshall 
1256.statecounty,MzI_Clinton,MI_Clinton
207.statecounty,AL_Coffee,CA_Kings
2411.countytwo,Baufort ,Beaufort 
99.fipstwo,f02261,f05005
1817.statecounty,ND_Willimas,ND_Williams
1392.fipstwo,f27173,f27137
196.fipstwo,f02013,f06009
824.fipstwo,f18403,f18043
782.countytwo,Saxline ,Saline 
2477.county,Haatkon ,Haakon 
2264.statevalue,A,PA
976.county,Rook s,Rooks 
58.fipstwo,f02068,f01057
125.fips,1069.0,5057
72.fips,2110.0,1085
155.fips,2020.0,5117
526.statevalue,A,GA
928.countytwo,Grnat ,Grant 
1572.statecounty,M_SMarion,MS_Marion
147.fips,2090.0,5101
3216.statecounty,WYCarbon,WY_Carbon
894.countytwo,Wfhitley ,Whitley 
223.county,Haines Borough,Plumas 
138.fips,1109.0,5083
516.county,Screvfen ,Screven 
1224.statevalue,E,ME
209.statecounty,AK_Kodiak Island Borough,CA_Lassen
185.statecounty,AK_Anchorage Municipality,AZ_Mohave
118.fipstwo,f02070,f05043
204.county,Impeerial ,Imperial 
2611.countytwo,Wilon ,Wilson 
76.statefips,2.0,1
146.statecounty,AK_Haines Borough,AR_Nevada
3183.statevalue,V,WV
1115.fipstwo,f22131,f21231
1952.countytwo,uadalupe ,Guadalupe 
139.fips,2050.0,5085
57.statefips,2.0,1
3145.countytwo,St. Csroix ,St. Croix 
34.statecounty,AK_Bristol Bay Borough,AL_Blount
1422.fipstwo,29029,f29029
202.statecounty,AL_Cleburne,CA_Glenn
2999.fipstwo,f51705,f51750
3000.fipstwo,f51157***,f51157
1183.fipstwo,f2227,f22127
1484.statecounty,MO_Oazrk,MO_Ozark
300.statecounty,OC_Prowers,CO_Prowers
169.fips,2105.0,5145
1672.statevalue,CN,NC
3086.countytwo,Adam ,Adams 
1734.statevalue,C,NC
77.statefips,2.0,1
174.fipstwo,f05087,f60030
420.fipstwo,f13075,f13057
467.statevalue,AG,GA
786.countytwo,Shebly ,Shelby 
100.statefips,2.0,5
179.fips,6039.0,4005
1533.countytwo,alhoun ,Calhoun 
54.fips,2020.0,1049
2128.county,Shebly ,Shelby 
1625.county,Garfeield ,Garfield 
119.fips,2110.0,5045
50.fipstwo,f02070,f01041
2660.statevalue,TnX,TX
482.statevalue,AG,GA
467.statecounty,GbA_Henry,GA_Henry
37.fips,2105.0,1015
594.fipstwo,f1973,f19073
107.fips,2016.0,5021
33.fipstwo,f02110,f01007
106.fipstwo,f02020,f05019
165.fips,6039.0,5137
42.statefips,2.0,1
3180.statecounty,VW_Logan,WV_Logan
2920.statevalue,AV,VA
132.fips,1105.0,5071
2955.county,Henrcio ,Henrico 
111.fipstwo,f02164,f05029
2611.fipstwo,4f7189,f47189
2490.statecounty,SD_Larence,SD_Lawrence
501.statevalue,AG,GA
2388.fipstwo,f72311,f72131
96.statefips,2.0,1
1525.county,Saipan Municipatlity,Saipan Municipality
997.statecounty,KS_Wilsocn,KS_Wilson
1192.fipstwo,f2017,f25017
203.county,Aleutians West Census Area,Humboldt 
214.fips,2090.0,6045
476.county,Jofnes ,Jones 
47.fipstwo,f01033,f01035
3085.countytwo,Yakim a,Yakima 
487.statevalue,A,GA
965.fipstwo,fm20141,f20141
2860.statecounty,TX_Wse,TX_Wise
226.statecounty,AK_Denali Borough,CA_San Benito
843.fipstwo,f1881,f18081
181.statecounty,AL_Coffee,AZ_Graham
3084.statecounty,WA_Witman,WA_Whitman
109.statecounty,AK_Lake and Peninsula Borough,AR_Cleveland
236.fipstwo,f02068,f06089
209.fips,2068.0,6035
1236.statevalue,iME,ME
167.fips,2016.0,5141
971.statecounty,KSq_Rawlins,KS_Rawlins
61.statefips,2.0,1
91.fipstwo,f02016,f01123
2966.statecounty,A_Lexington city,VA_Lexington city
124.fipstwo,f02070,f05055
166.fips,5007.0,5139
2948.fipstwo,f5077,f51077
161.statevalue,RA,AR
1518.fipstwo,f2922m1,f29221
3169.fipstwo,f54032,f54023
130.fips,2110.0,5067
977.statevalue,KnS,KS
57.fipstwo,f02100,f01055
188.statecounty,AK_Bethel Census Area,AZ_Pinal
162.fips,2090.0,5133
3135.countytwo,Portag e,Portage 
175.statecounty,AL_Shelby,AS_Swains Island
46.fips,2020.0,1033
149.fipstwo,f02013,f05105
2710.statecounty,T_Hardeman,TX_Hardeman
88.fips,2050.0,1115
1990.countytwo,Washeo ,Washoe 
2490.fipstwo,f4681,f46081
95.statefips,2.0,1
1833.county,iCherry ,Cherry 
207.fips,2068.0,6031
971.countytwo,Rawlin ,Rawlins 
229.county,Aleutians East Borough,San Francisco 
1697.fipstwo,f73065,f37065
2457.statecounty,SD_Burle,SD_Brule
38.statefips,2.0,1
246.statecounty,CA_Imperial,CA_Tuolumne
1103.statevalue,Y,KY
36.fipstwo,f02020,f01013
66.fipstwo,f02050,f01073
36.fips,2050.0,1013
1344.countytwo,Freeorn ,Freeborn 
2930.countytwo,Diceknson ,Dickenson 
98.fips,2090.0,5003
246.fipstwo,f02240,f06109
2341.fipstwo,f2039,f72039
2065.statecounty,OHClark,OH_Clark
2667.fipstwo,f4811,f48111
1745.countytwo,Rutherfod ,Rutherford 
220.fips,2090.0,6057
107.statecounty,AL_Talladega,AR_Clay
160.statecounty,AZ_Yuma,AR_Searcy
926.fipstwo,20063,f20063
504.countytwo,Pickes ,Pickens 
297.statefips,23,8
129.county,Denali Borough,Izard 
1615.statecounty,MT_Casade,MT_Cascade
1272.countytwo,Isco ,Iosco 
2438.countytwo,Marboro ,Marlboro 
1617.countytwo,Csuter ,Custer 
3098.statevalue,IW,WI
180.fipstwo,f02068,f04007
73.statevalue,L,AL
3184.statevalue,V,WV
757.statecounty,IL_aMdison,IL_Madison
172.statecounty,AL_Coffee,AS_Eastern District
94.fips,2050.0,1129
225.fipstwo,f02110,f06067
103.fipstwo,f02170,f05013
2892.county,Wsatch ,Wasatch 
3026.fipstwo,f15840,f51840
2026.statevalue,kNY,NY
1650.fipstwo,f30803,f30083
2484.fipstwo,f460i69,f46069
2627.statecounty,TX_Blanczo,TX_Blanco
3145.statevalue,kWI,WI
1819.county,Antelopqe ,Antelope 
122.fips,2016.0,5051
1434.fipstwo,f2053,f29053
2747.statecounty,TX_Kinnney,TX_Kinney
739.statevalue,LI,IL
1719.statecounty,uNC_Lincoln,NC_Lincoln
2379.county,Ponce Muniipio,Ponce Municipio
162.statecounty,AZ_Yuma,AR_Sevier
2071.statecounty,OmH_Cuyahoga,OH_Cuyahoga
2706.countytwo,ale ,Hale 
63.fipstwo,f02164,f01067
939.countytwo,ewell ,Jewell 
716.countytwo,Coork ,Cook 
142.statevalue,RA,AR
3127.statevalue,I,WI
207.county,Haines Borough,Kings 
3204.statecounty,WV_Tuckre,WV_Tucker
2024.fipstwo,f3665,f36065
28.fips,2050.0,2282
865.statevalue,IvN,IN
2785.county,bNacogdoches ,Nacogdoches 
2002.fipstwo,f360m21,f36021
160.fips,2050.0,5129
158.fips,1005.0,5125
1642.statevalue,MoT,MT
2889.fipstwo,cf49045,f49045
672.county,Cavssia ,Cassia 
1987.fipstwo,f3202p3,f32023
177.fipstwo,f01031,f04001
159.fipstwo,f02050,f05127
232.fipstwo,f02050,f06081
816.fipstwo,f18q027,f18027
2703.statecounty,XT_Gregg,TX_Gregg
70.county,Lake and Peninsula Borough,Lee 
43.fips,2016.0,1027
102.county,Bristol Bay Borough,Bradley 
921.statecounty,K_SEllsworth,KS_Ellsworth
1829.countytwo,Bulter ,Butler 
2877.fipstwo,f49012,f49021
206.county,Juneau City and Borough,Kern 
206.fips,2090.0,6029
118.fips,1113.0,5043
1394.statecounty,MN_Seele,MN_Steele
157.statevalue,RA,AR
132.statecounty,AK_Bristol Bay Borough,AR_Johnson
2917.statecounty,VA_Carrolil,VA_Carroll
123.statevalue,RA,AR
1743.statecounty,NnC_Rockingham,NC_Rockingham
195.statefips,79,6
347.statevalue,L,FL
28.fipstwo,f01099,f02282
240.statecounty,AK_Denali Borough,CA_Sonoma
49.fips,2105.0,1039
183.fips,5077.0,4012
1797.countytwo,Oilver ,Oliver 
245.statefips,102,6
288.fipstwo,f0i8075,f08075
2222.county,Cltsop ,Clatsop 
2915.countytwo,ampbell ,Campbell 
1918.countytwo,Rokingham ,Rockingham 
2597.fipstwo,f4716o1,f47161
112.fips,5007.0,5031
449.fipstwo,f13151,f13115
1774.fipstwo,f8019,f38019
50.statefips,2.0,1
1741.county,Rchmond ,Richmond 
189.county,Dillingham Census Area,Santa Cruz 
219.county,Hoonah-Angoon Census Area,Napa 
421.countytwo,Clake ,Clarke 
339.statecounty,FL_Dvixie,FL_Dixie
2177.county,Ky ,Kay 
80.statecounty,AK_Aleutians West Census Area,AL_Montgomery
646.statevalue,A,IA
448.countytwo,Fvayette ,Fayette 
39.statefips,2.0,1
60.statefips,2.0,1
1622.statecounty,MT_ergus,MT_Fergus
517.countytwo,Sminole ,Seminole 
2141.countytwo,Wyanodt ,Wyandot 
1831.countytwo,Ceda r,Cedar 
1735.statecounty,NC_Pendre,NC_Pender
2459.statecounty,SD_Bdutte,SD_Butte
828.countytwo,Gibso n,Gibson 
233.fips,6001.0,6083
212.statecounty,AL_Talladega,CA_Marin
243.statecounty,AR_Miller,CA_Tehama
419.county,Chatttooga ,Chattooga 
1329.statevalue,MmN,MN
3132.county,Pein ,Pepin 
27.fips,2090.0,2275
2061.countytwo,Borwn ,Brown 
229.statecounty,AK_Hoonah-Angoon Census Area,CA_San Francisco
1972.countytwo,Torance ,Torrance 
161.fipstwo,f02105,f05131
2523.statecounty,TN_Cambell,TN_Campbell
221.countytwo,Oranxge ,Orange 
56.fips,2016.0,1053
45.fips,2105.0,1031
1738.fipstwo,f3747,f37147
2199.statecounty,K_Ottawa,OK_Ottawa
2377.statevalue,RP,PR
