330.locationvalue,"(41.9a103537220529, -87.6944040130463)","(41.9103537220529, -87.6944040130463)"
492.address,3037 S. Daniel Dr.,13037 S. Daniel Dr.
31.latitude,41.91735785,41.85461476
75.longitude,-87.62470713,-87.62098184
270.propertytype,AOR,ARO
65.propertyname,Indiana Manor Ton Homes,Indiana Manor Town Homes
39.ycoordinate,1893459.955,1911621.628
213.propertytype,RAO,ARO
390.propertyname,Enola A. Dew Senior Apths.,Enola A. Dew Senior Apts.
63.address,4611 N. Broadway,5822 N. Western Ave.
392.managementcompany,Biickerdike Apts.,Bickerdike Apts.
70.longitude,-87.62823221,-87.65347906
67.locationvalue,"(41.8663497712922, -87.7121808603313)","(41.8664397712922, -87.7121808603313)"
12.latitude,41.91735785,41.96822423
33.communityareaname,Auburn Greham,Auburn Gresham
46.longitude,-87.59851524,-87.60107403
25.address,850 W. Garfield Blvd.,5009 N. Sheridan Road
523.longitude,-72.66112652,-87.66112652
350.locationvalue,"(41.965272561138, -87.6546360397986)","(41.965272561138, -87.6546360379986)"
40.latitude,41.86339815,41.6815901
67.xcoordinate,1157757.47,1153440.124
389.longitude,4.371767790000007,-87.62823221
75.propertytype,Inter-generationl,Inter-generational
46.address,15 S. Homan Ave.,901 E. 104th St.
15.locationvalue,"(41.7837305569286,k -87.6190897249257)","(41.7837305569286, -87.6190897249257)"
466.communityareaname,oLgan Square,Logan Square
32.ycoordinate,1868414.146,1921625.294
428.propertytype,Multifamiyl,Multifamily
68.address,15 S. Homan Ave.,3220 N. Lincoln Ave.
58.address,4611 N. Broadway,1106 E. 42nd Pl
13.propertyname,enaissance Apts.,Renaissance Apts.
71.longitude,-87.68971871,-87.71116895
528.propertytype,Multifamiy,Multifamily
307.managementcompany,NHS RedevelopmentC orp.,NHS Redevelopment Corp.
17.address,1345 S. Fairfield Ave.,6808 N. Wayne Ave.
21.latitude,41.82035789,41.96549759
140.managementcompany,LUoCHA,LUCHA
12.ycoordinate,1894894.51,1931569.979
65.longitude,-87.68971871,-87.62119166
223.phonenumber,77-286-5400,773-286-5400
264.managementcompany,FLATS Leasnig,FLATS Leasing
28.address,3507 W. North Ave.,5801 N. Pulaski Road
29.ycoordinate,1945401.689,1929421.65
176.locationvalue,"41.9398115920219, -87.6531639140428)","(41.9398115920219, -87.6531639140428)"
485.longitude,-68.66517114,-87.66517114
150.communityareaname,West Tgown,West Town
197.propertytype,Mulitfamily,Multifamily
11.latitude,41.91735785,41.91744385
57.latitude,41.86736961,41.85590751
281.managementcompany,Wilmot Propertise,Wilmot Properties
242.propertyname,he Venn,The Venn
519.propertytype,Sneior,Senior
32.locationvalue,"(41.905311557355, -87.6663826052792)","(41.9405311557355, -87.6663826052792)"
477.propertyname,Andeurson Point,Anderson Point
76.address,1122 W. Chicago Ave.,3800 S. King Dr.
275.locationvalue,"(41.8832759033884, -87.6202692165246)","(41.8382759033884, -87.6202692165246)"
53.managementcompany,InterstateR ealty Management Co.,Interstate Realty Management Co.
18.latitude,41.88041381,41.89385878
414.locationvalue,"(41.7389509995196, -87.6058433793708)","(41.7839509995196, -87.6058433793708)"
207.managementcompany,"Leasing and Managment Co., Inc.","Leasing and Management Co., Inc."
60.latitude,41.77928099,41.88672742
48.phonenumber,773-471-44f44,773-471-4444
48.address,15 S. Homan Ave.,2626 W. 63rd St.
442.locationvalue,"(41.5853397217037, -87.7247100762886)","(41.8553397217037, -87.7247100762886)"
408.address,12045 S.Emerald Ave.,12045 S. Emerald Ave.
417.phonenumber,773-2276-332,773-227-6332
526.xcoordinate,1168623.474,1168610.474
34.communityareaname,Oaklfand,Oakland
51.address,3507 W. North Ave.,1200 N. Clybourn Ave.
10.ycoordinate,1910367.063,1930840.623
75.managementcompany,Mercy Housirng,Mercy Housing
44.ycoordinate,1877677.36,1903206.5
212.managementcompany,"Urban Property dvisors, LLC","Urban Property Advisors, LLC"
450.managementcompany,A Safe Haven Foundatino,A Safe Haven Foundation
485.propertyname,Mors Senior Apts.,Morse Senior Apts.
431.phonenumber,737-424-6986,773-424-6986
523.xcoordinate,1167135.996,1167071.996
398.address,727 W. Lake Stw.,727 W. Lake St.
502.communityareaname,Grsand Boulevard,Grand Boulevard
389.propertytype,Senisor,Senior
361.managementcompany,"Urban Property uAdvisors, LLC","Urban Property Advisors, LLC"
328.managementcompany,Lawnrdale Christian Residential Svcs.,Lawndale Christian Residential Svcs.
357.phonenumber,312-u791-0458,312-791-0458
13.address,3507 W. North Ave.,6200 S. University Ave.
300.xcoordinate,1152273.525,1152271.525
129.locationvalue,"(41.8698245594426, -877.159038458016)","(41.8698245594426, -87.7159038458016)"
26.address,15 S. Homan Ave.,636 E. 50th St.
151.propertytype,Supportive ousing,Supportive Housing
15.latitude,41.91735785,41.78373056
533.phonenumber,773-6386-490,773-638-6490
375.propertytype,Senoir,Senior
38.latitude,41.77928099,41.781408
34.address,4618 N. Western Ave.,1060 E. 41st St.
68.longitude,-87.69582442,-87.66923761
39.latitude,41.77928099,41.91332565
66.managementcompany,Itnerstate Realty Management Co.,Interstate Realty Management Co.
184.managementcompany,Interfaith Housig Corp.,Interfaith Housing Corp.
183.locationvalue,"(41.96446223237479, -87.6664173l4463559)","(41.96446223237479, -87.66641734463559)"
66.longitude,-87.68971871,-87.69349569
411.propertytype,Multifaxmily,Multifamily
313.locationvalue,"(41.8738772655858, -87.69906107872393)","(41.87387726552858, -87.69906107872393)"
343.propertytype,wMultifamily,Multifamily
506.phonenumber,312-876-1442,312-867-1442
40.address,1129 S. Sacramento Ave.,11701 S. State St.
384.propertytype,Mgultifamily,Multifamily
507.longitude,-70.61651411,-87.61651411
317.communityareaname,West iRdge,West Ridge
470.address,62 1W. Belmont St.,621 W. Belmont St.
10.latitude,41.91735785,41.96576829
389.managementcompany,Hoslten Management Corp.,Holsten Management Corp.
15.ycoordinate,1864093.117,1864591.098
82.propertytype,Multifmily,Multifamily
32.address,4444 W. Lawrence Ave.,1501 W. Melrose St.
39.address,15 S. Homan Ave.,1750 N. Spaulding Ave.
42.address,8132-44 S. Racine Ave.,1911-21 W. Irving Park Rd.
106.propertyname,Hollgywood House Apts.,Hollywood House Apts.
47.latitude,41.75064862,41.95553133
244.locationvalue,"(41.821u80819274104, -87.60454649932994)","(41.82180819274104, -87.60454649932994)"
517.communityareaname,PortagePark,Portage Park
17.latitude,41.88041381,42.00577097
53.ycoordinate,1899627.529,1901334.737
64.address,15 W. 37th St.,400 E. 41st St.
256.longitude,-19.656478210000003,-87.65647821
151.phonenumber,773-924-1r107,773-924-1107
27.address,2501 W. Armitage Ave.,1955 N. Richmond St.
51.latitude,41.8902013,41.90378958
31.address,1345 S. Fairfield Ave.,2021 S. Morgan St.
529.communityareaname,Douglsa,Douglas
450.locationvalue,"(41.o8665872953847, -87.6987787748764)","(41.8665872953847, -87.6987787748764)"
57.ycoordinate,1884060.021,1890761.089
252.phonenumber,77n3-265-0983,773-265-0983
81.managementcompany,Bickecrdike Apts.,Bickerdike Apts.
61.longitude,-87.63436122,-87.59376104
549.address,3836 W. Cermak oad,3836 W. Cermak Road
246.phonenumber,773g-276-5338,773-276-5338
251.propertyname,Capsa Sor Juana,Casa Sor Juana
116.propertytype,Snior,Senior
88.locationvalue,"(41.855174808435, -87.6506275348033)","(41.8551748018435, -87.6506275348033)"
236.propertyname,2211 N. Milwaukee Aev.,2211 N. Milwaukee Ave.
353.address,142 W. Taylor St.,1342 W. Taylor St.
106.managementcompany,Heartland Housiing,Heartland Housing
381.managementcompany,EWCAN,WECAN
489.propertytype,Multifamly,Multifamily
52.address,1122 W. Chicago Ave.,30 W. Cermak Road
42.latitude,41.77928099,41.95407205
184.propertytype,Multifmily,Multifamily
47.address,722-46 E. Bowen Ave.,4054 N. Kedzie Ave.
294.managementcompany,The Resurrection Projegct,The Resurrection Project
441.phonenumber,773-324-1754,773-324-1745
36.xcoordinate,1158185.871,1178081.304
507.phonenumber,773-9242-100,773-924-2100
286.phonenumber,737-281-5252,773-281-5252
254.managementcompany,"esident Management Services, Inc.","Resident Management Services, Inc."
53.address,6100-24 S. Prairie Ave.,1939 W. Lake St.
63.ycoordinate,1899627.529,1938700.509
9.locationvalue,"(41.9028780789855, -87u.6896325218596)","(41.9028780789855, -87.6896325218596)"
496.address,a10426 S. Michigan Ave.,10426 S. Michigan Ave.
43.address,15 S. Homan Ave.,1623 N. Talman Ave.
16.latitude,41.82035789,41.86736961
213.address,3208 N. Suthport Ave.,3208 N. Southport Ave.
362.managementcompany,iPnnacle Living,Pinnacle Living
42.ycoordinate,1905796.728,1926537.708
113.managementcompany,Golub Realty Serdvices,Golub Realty Services
28.ycoordinate,1863023.368,1938044.237
5.propertyname,Urbanite Aartments,Urbanite Apartments
444.phonenumber,12-948-0116,312-948-0116
19.managementcompany,Hispanic HousingD ev. Corp.,Hispanic Housing Dev. Corp.
61.propertytype,wARO,ARO
79.phonenumber,73-508-1000,773-508-1000
526.longitude,-1.656169950000006,-87.65616995
248.locationvalue,"(41.99875752479431, -87.66076275537927)","(41.99875752497431, -87.66076275537927)"
70.address,15 S. Homan Ave.,927 W. Wilson Ave.
520.managementcompany,Hlosten Management Corp.,Holsten Management Corp.
185.propertyname,65th Street Apst.,65th Street Apts.
175.propertyname,Lorington Apjts.,Lorington Apts.
394.address,501 S. Princeton Ave.,5041 S. Princeton Ave.
23.address,2501 W. Armitage Ave.,180 N. Ada St.
229.communityareaname,uWest Pullman,West Pullman
154.address,1712 W. 1a7th St.,1712 W. 17th St.
35.ycoordinate,1877980.711,1877442.503
83.communityareaname,Near Norpth Side,Near North Side
473.managementcompany,"Urban Property Adfvisors, LLC","Urban Property Advisors, LLC"
106.propertytype,Senoir,Senior
205.locationvalue,"(41.7314821221761, -87.658220627921)7","(41.7314821221761, -87.6582206279217)"
9.latitude,41.82035789,41.90287808
53.latitude,41.91735785,41.8849038
41.address,722-46 E. Bowen Ave.,848 W. 103rd St.
289.managementcompany,St. Andrmew's Court LP,St. Andrew's Court LP
199.propertyname,Nelsno Mandela Apts.,Nelson Mandela Apts.
68.ycoordinate,1910367.063,1921523.945
209.propertytype,ultifamily,Multifamily
110.phonenumber,773-548-7895,773-548-8795
337.phonenumber,773-389-5785,773-398-5785
35.latitude,41.77928099,41.81886863
67.longitude,-87.65616995,-87.71218086
371.communityareaname,Wodlawn,Woodlawn
225.communityareaname,Austn,Austin
409.managementcompany,Preservation Housing Mangement LLC,Preservation Housing Management LLC
338.address,705-23 S. Imndependence Ave.,705-23 S. Independence Ave.
13.managementcompany,AMCO,AIMCO
55.ycoordinate,1836577.477,1886029.528
16.xcoordinate,1156646.009,1156574.009
345.propertytype,Multfiamily,Multifamily
14.address,3507 W. North Ave.,901 W. 63rd Street
257.xcoordinate,1159864.028,1159807.028
189.communityareaname,Logna Square,Logan Square
219.phonenumber,77u3-989-8000,773-989-8000
181.communityareaname,Near West Sicde,Near West Side
23.ycoordinate,1877677.36,1901500.005
27.latitude,41.97361773,41.91725621
55.address,4611 N. Broadway,2825 S. Halsted St.
14.latitude,41.82035789,41.77959999
542.phonenumber,312-878-t0300,312-878-0300
389.xcoordinate,1176362.441,1176346.441
375.address,6151 S. Mihcigan Ave.,6151 S. Michigan Ave.
32.latitude,41.89636176,41.94053116
58.latitude,41.86339815,41.81813912
507.xcoordinate,1179690.248,1179638.248
60.longitude,-87.70066623,-87.77013329
263.communityareaname,Austni,Austin
49.address,6100-24 S. Prairie Ave.,240 W. 107th Place
13.latitude,41.82035789,41.782231
335.address,5900-6100 S. Green/Poria/Sangamon,5900-6100 S. Green/Peoria/Sangamon
503.phonenumber,773-22-76332,773-227-6332
539.phonenumber,773-935-463,773-935-4663
9.address,1129 S. Sacramento Ave.,1154 N. Campbell St.
331.address,611 Ee. 50th St.,611 E. 50th St.
147.managementcompany,"Urban Peroperty Advisors, LLC","Urban Property Advisors, LLC"
119.propertytype,Supportive Hosing,Supportive Housing
288.managementcompany,oodlawn Comm. Dev. Corp.,Woodlawn Comm. Dev. Corp.
435.communityareaname,Enlewood,Englewood
27.longitude,-87.69582442,-87.70031066
38.ycoordinate,1827364.136,1863775.147
137.locationvalue,"(4.18290621082689, -87.62716567775)","(41.8290621082689, -87.62716567775)"
156.communityareaname,Avondae,Avondale
300.managementcompany,LmUCHA,LUCHA
85.address,340 E. 8th St.,340 E. 38th St.
557.longitude,-84.69706305,-87.69706305
159.locationvalue,"(41.8239192006736, -87.6124684434g156)","(41.8239192006736, -87.6124684434156)"
409.propertytype,Mutifamily,Multifamily
45.latitude,41.89636176,41.89433675
426.phonenumber,773-92-2815,773-925-2815
67.propertyname,Rjoosevelt Towers,Roosevelt Towers
13.xcoordinate,1158185.871,1184799.335
497.propertyname,6602-22 W. iDversey,6602-22 W. Diversey
26.latitude,41.86736961,41.80413302
18.ycoordinate,1894894.51,1904540.247
557.xcoordinate,1157555.975,1157527.975
56.ycoordinate,1907856.105,1920108.203
12.propertyname,Mayfair Cmmons,Mayfair Commons
132.phonenumber,773-9040170,773-904-0170
494.address,1424-28 E. 53rd S.t,1424-28 E. 53rd St.
50.address,15 S. Homan Ave.,1200 E. 78th St.
58.ycoordinate,1910367.063,1877174.699
467.address,251 7W. Fullerton Ave.,2517 W. Fullerton Ave.
461.address,3512-46 W Fifth Ave.,3512-46 W. Fifth Ave.
559.managementcompany,Interstate Realty ManagementCo.,Interstate Realty Management Co.
71.address,1345 S. Fairfield Ave.,541 N. Homan Ave.
51.propertyname,Clbyourn 1200,Clybourn 1200
530.propertyname,Rebecca Walker Cocmplex,Rebecca Walker Complex
11.communityareaname,Logan quare,Logan Square
8.address,3507 W. North Ave.,1957 N. Fairfiled Ave.
402.managementcompany,Bickerdike Apst.,Bickerdike Apts.
20.address,4611 N. Broadway,4500 S. Wabash Ave.
446.phonenumber,312-239g-3218,312-239-3218
159.communityareaname,sOakland,Oakland
29.communityareaname,Uptowsn,Uptown
409.address,92 W. Montrose Ave.,912 W. Montrose Ave.
5.xcoordinate,1159482.293,1178127.358
59.ycoordinate,1894894.51,1880416.049
5.latitude,41.9099065,41.7952753
507.managementcompany,Peoples Co-Op Management Srvice,Peoples Co-Op Management Service
457.locationvalue,"(41.8919075104178, -87.715q9646598521)","(41.8919075104178, -87.7159646598521)"
30.managementcompany,Nevelle 2,Nevelle 22
20.ycoordinate,1868790.595,1875236.623
11.ycoordinate,1893459.955,1913163.369
54.latitude,41.9099065,41.76795883
168.propertyname,Tiera Linda Apts.,Tierra Linda Apts.
41.xcoordinate,1152641.115,1172263.727
43.longitude,-87.70066623,-87.69319452
515.phonenumber,12-818-1722,312-818-1722
33.ycoordinate,1868414.146,1852465.795
425.phonenumber,312-13-5812,312-913-5812
495.propertytype,Mulitfamily,Multifamily
19.ycoordinate,1910367.063,1910568.81
70.ycoordinate,1877980.711,1930693.074
185.managementcompany,"Urban Propert yAdvisors, LLC","Urban Property Advisors, LLC"
75.xcoordinate,1176346.441,1178767.713
23.latitude,41.75064862,41.88527083
47.ycoordinate,1868414.146,1927005.643
98.propertytype,mARO,ARO
29.address,3507 W. North Ave.,1032 W. Montrose Ave
51.ycoordinate,1945401.689,1908293.946
401.propertyname,Buffet Placle,Buffet Place
282.communityareaname,eRogers Park,Rogers Park
25.locationvalue,"(41.973617725694, -87.6547892430962)","(41.9736177253694, -87.6547892430962)"
522.address,4130j S. Oakenwald Ave.,4130 S. Oakenwald Ave.
410.propertytype,Multifamiyl,Multifamily
554.propertytype,Multifalmily,Multifamily
73.xcoordinate,1159227.225,1182801.325
351.phonenumber,773-25e2-0600,773-252-0600
257.propertyname,Churchview Manor Independnet Living,Churchview Manor Independent Living
502.locationvalue,"(41.8098256489654, -87.6229993768o141)","(41.8098256489654, -87.6229993768141)"
8.ycoordinate,1910367.063,1913119.953
65.ycoordinate,1913073.871,1875605.784
49.locationvalue,"(41.6989956380033, -87.2695434504419)","(41.6989956380033, -87.6295434504419)"
54.address,722-46 E. Bowen Ave.,1450 E. 70th St.
52.ycoordinate,1827364.136,1889816.861
131.propertytype,Multifhamily,Multifamily
6.phonenumber,773-893-480t0,773-893-4800
472.communityareaname,Montclaer,Montclare
203.propertytype,Senisor,Senior
74.xcoordinate,1152641.115,1145250.308
172.phonenumber,77-3649-4639,773-649-4639
37.address,1129 S. Sacramento Ave.,1447 N. Washtenaw Ave.
158.phonenumber,7732-27-6332,773-227-6332
4.latitude,41.82035789,41.81957647
277.propertyname,Xavier oChicago,Xavier Chicago
309.phonenumber,773d-583-4182,773-583-4182
257.longitude,-3.689679490000003,-87.68967949
406.address,186 N. St. Louis Ave.,1816 N. St. Louis Ave.
45.ycoordinate,1863023.368,1904711.76
485.xcoordinate,1165932.898,1165843.898
62.longitude,-87.71469504,-87.69444711
69.longitude,-87.65616995,-87.68715329
8.phonenumber,7i73-772-8500,773-772-8500
35.address,6100-24 S. Prairie Ave.,1137 E. Bowen Ave.
489.locationvalue,"(41.9134312154579, -87.714887918676)7","(41.9134312154579, -87.7148879186767)"
56.address,3507 W. North Ave.,3060 N. Milwaukee Ave.
468.phonenumber,872-777-4924***,872-777-4924
31.ycoordinate,1899627.529,1890349.587
278.propertytype,RO,ARO
401.communityareaname,Lake Viwe,Lake View
77.managementcompany,Evergreen Real Etate LLC,Evergreen Real Estate LLC
509.communityareaname,North eCnter,North Center
69.xcoordinate,1169143.773,1160128.527
77.address,722-46 E. Bowen Ave.,5628-30 S. Halsted St.
78.address,1129 S. Sacramento Ave.,459 W. Division St.
232.propertytype,Multifoamily,Multifamily
38.address,722-46 E. Bowen Ave.,6227-29 S. Cottage Grove Ave.
288.propertyname,South Park lPaza,South Park Plaza
331.phonenumber,31t2-577-5555,312-577-5555
43.communityareaname,West Twn,West Town
41.locationvalue,"(41.707009427373y9, -87.6447816603137)","(41.7070094273739, -87.6447816603137)"
37.longitude,-87.60848349,-87.69434381
198.managementcompany,Interstate Realty Management C.o,Interstate Realty Management Co.
208.communityareaname,Grnd Boulevard,Grand Boulevard
